ennonde dieule creat our	-|--|-|---|-|-----⌫--|
dieus seilliplaist mendeliure	----|-|-|-|-----||-|------|
entelmaniereetentelpoint	-|--|------|-|-|--|----|
que iademesdit	--|-|-|-----|
nia itpoint	||-⌫-|----|
carse u r tousui cessansm ent i r	--|--⌫-⌫|---|--⌫--|---|-⌫---⌫-⌫|
doiton lemesdirehai r	---|-|-|------|---⌫|
ce abonneraison	-||----|-----|
carmesdismuetdetraison	--|-----|---|-|------|
e ntr ais onmain t	-⌫|--⌫---⌫-|----⌫|
ces euent bi enmaintesetmaint	-|-⌫----|--⌫-|------|-|----|
napart endi eunedieus en	||---|-|--⌫-|-|----|-|
orgar t di eu sdehon t ee tdan ui	-|---⌫|--⌫--⌫|-|---⌫-⌫|-⌫||--⌫-|
ce ausqu i main ent enloiaute	--⌫--|--⌫|----⌫--|-|------|
etme doinst	-|-|-----|
por sauo lente	--|-|--⌫----|
queie puisse	--|-|-----|
u enira chief	-⌫---||----|
d erecorde rde chief enchief	-⌫|-------⌫|-|----|-|----|
latres plu smerueilleuse estoi re	-|---|---⌫|-----------|-----⌫-|
quionquesfustmi seenmem oire	--|-----|---|--⌫-|-|---⌫---|
estreena ut orite	----|-|-⌫--⌫----|
pourcequeleestde uerite	---|-|-|--|--|-|-----|
estraite dou tansancien	-------|--|---|-----|
de s leta nsdeoc lesien	--⌫|-|--⌫-|----⌫-----|
d ire leuousuorrai	-⌫--|-|---|-----|
uezencileconmencement	--|-|-|-|-----------|
esestoire sdou roid	-|-------⌫|--|--||
t rueueonque	-⌫----|-|--|
unsrois de sartaigne	--|---|-|--------|
fuiadi s qui caldus ot	-|----⌫|--|-----|-|
poissansfuet de	-------|-|-|-|
gr a ntreno n	--⌫-⌫-|----⌫|
en fan sot maisnesaipasquans	--⌫---⌫|-|---|-|--|--|----|
mais biensa iqueacel uitans	---|---|--⌫|--||---⌫-|---|
o tenesp aigneune pucele	-⌫|-|---⌫----|--|-----|
nondo neynabele	--|--⌫-|------|
ne couuenistquerre	-|--------|-----|
hoirsfudetrestoute lat erre	----|-|-|--------|-|-⌫---|
despaigneet detou tlepays	|-------|-|-|---⌫|-|---|
sagefuenfais et e n	---|-|-|---|-|-⌫|
caldusliro is quimoutf uber	-----|-|--⌫-|--|---|-⌫|--|
l afistreq uerre	-⌫|---|---⌫----|
etdemand er	-|------⌫-|
pourun sienfil let	---|-|---|---⌫|-|
queli mar iage sau int	--|-|---⌫----⌫|--⌫--|
marcadigasa nonauoit	---------||--|----|
sagesetbiausetp reus	----|-|----|-|-⌫---|
et l arges etcourtoiset	-|-⌫----|-|-------|-|
moutparfurentlesnocesgran s	---|--|-----|--|----|----⌫|
cararreees telement	--|------|-------|
furent quilafiertatel	-----|-|-|-----||--|
n es entrame rent pas	-⌫||-------⌫---|--|
ynabel e etmarcadigas	------⌫|-|---------|
ma isco ma miset conme	--⌫-|--⌫|-⌫--|-|----|
mou t mener en thonneste uie	---⌫|-----⌫--⌫|-------|--|
espai gne mo u t honnoreren t	-----⌫--|--⌫-⌫|----------⌫|
roimarca digaset a mere nt	--|-----⌫----|-|-⌫----⌫-|
carmoutfus age s etu ailla ns	--|---|-|-⌫---⌫|-|-⌫-----⌫-|
h o nno urente ndans	-⌫-⌫---⌫-|----⌫----|
etdousetcourtoise t loiaus	-|---|-|-------|-⌫|-----|
et dou cor s hardiset	-|--|---⌫|-----|-|
a pointsot donneret prometr e	|----|--|-----|-|-------⌫|
etl a rgeme nt ensesbon sme tre	-|-⌫-⌫-----⌫-|--|-|---⌫|--⌫--|
une te che ensoncuer manoit	--|--⌫--|-|--|---|-----|
telequeadesl isam blo it	---|--|---|-⌫|---⌫---⌫-|
quilnepouoit troph o nnorer	-|-|-|-----|---|-⌫-⌫-----|
lesbons n etropdou sien	--|---|-⌫|---|--|---|
gent estraite deuilonnie	---|-------|-|-------|
namoitp ointensacon paignie	|----|-⌫---|-|-|---⌫------|
ain s iamoit	---⌫||----|
lescheual iers	--|------⌫---|
lesd amoisiausl es esc uiers	--|-⌫--------|-⌫-|---⌫----|
lignageerentgen t il	------|----|---⌫-⌫-|
telge n te nt ourluiamoit i l	--|--⌫-⌫|-⌫--⌫--|--|----|-⌫|
cartelgen t couuoit e n ttous	--|--|---⌫|-------⌫-⌫-⌫|---|
lon neuretle preu leursei gnours	|--⌫---|-|-|---|---|---⌫-----|
tel gent pour	--|---|---|
leur seignours	---|--------|
m orroie n t	-⌫------⌫-⌫|
laouliuilains enf uiroien t	-|-|-|-----||---⌫-------⌫|
carli uilains pa r droitnecr ient	--|-|------|--⌫|----|-|--⌫---|
hontequantdeuil ainlieu	----|----|-|---⌫--|---|
neu ila in neseuentcremir	-|-⌫---⌫-|-|-----|-----|
h ontequant il cuide ntmorir	-⌫---|----|-|-----⌫-|----|
dont nafiertpas	---||-----|--|
queliu ilain	--|-|-⌫----|
aientnulgra nt princeen leurmai n	----|--|---⌫-|-----|-|---|---⌫|
richesuil ainsne	-----|---⌫---|-|
iam aisse son	---⌫--|-|--|
preunisauoit	---|||-----|
car sanatureace	--|-|-----||-|
queplus aetilpluscouuoite	--|---||-|-|---|-------|
pou litouchedeq uelpar tuiengne	--|-|-----|-|-⌫--|---⌫|------|
auoirsma iskasonoes le	-----|--⌫--||--|--|-|
pour ce ma rcadigas haoit	---|-|--⌫-------|----|
les uil ains	--|---⌫---|
etgentisamo it	-|-----|---⌫-|
carbiensauoit quelig entis	--|---|-----|--|-|-⌫----|
fer o ituilonniea enu i s	---⌫-⌫-|-------||---⌫-⌫|
hommout folement oeure	--|---|-------|----|
qu igrantcons eiluilaindesc ueure	--⌫|----|----⌫--|-----|----⌫----|
carq uip a ruilainu eu t o uur er	--|-⌫-|-⌫-⌫|-----|-⌫--⌫|-⌫---⌫-|
de sonnourbiendoitm eserr e r	-||-----|---|---|-⌫-----⌫-⌫|
c aria uila in neloeront	-⌫-|-|----⌫-|-|------|
nule honnou rpui s qu	---|------⌫|---⌫-⌫-|
iliuerr ont	-||----⌫--|
queseur a us enpuist	--|---|-⌫-|-|----|
perieusnedecorsne	------|-|-|---|-|
car piecac ond istcepr ouerbe	--|----||-|-⌫--|-|--⌫-----|
de pute rac ineputeherbe	-|---|---⌫--|---|----|
et siredist ona la f ois	-|-|-----|-||-|-⌫--|
a de sreua	-⌫--⌫|---|
bonfaitentour	--|---|-----|
lui a uoi r gent	--|-⌫---⌫|---|
qui aimentmieusho nn our k	--|-----|----|--⌫--⌫--||
cisroisenhaut eh onnour	--|---|-|----⌫|-⌫-----|
pourcequelesgentisama	---|-|--|--|-----|--|
lesb onss otbienuersluitorner	--|-⌫--|-⌫-|---|---|--|-----|
et moutle ssotbien honnorer	-|---|--⌫|--|---|-------|
etdousi en	-|--|--⌫-|
largementdon noit	--------|---⌫---|
cha scunselonccequilual o it	---⌫---|-----|-|-|-|---⌫-⌫-|
ainsilefistci lroisadont	----|-|---|--⌫|---|----|
et s e li ro iquiore sont	-|-⌫|-|--⌫|--|--|---|
et liprinceai nsilefaiso ient	-|-|-----|--⌫--|-|-----⌫---|
iecro ibienque	-|---⌫|---|--|
mieusenua urroient	----|-|--⌫-------|
desafenmediraiunmo t	-|-|----|----|-|--⌫|
doneynabelequ iainc n ot	---|------|--⌫|---||-|
so ncuer saoulédonnourfai r e	--⌫|---|------||-----|---⌫-⌫|
dame fudetresbon afaire	---|-|-|---|--|-----|
lespo ures gentisdamoiseles	--|--⌫---|-----|---------|
et lesorp helines puc eles	-|--|---⌫------|---⌫---|
dame sdesconseilli es	----⌫|------------⌫-|
estoient pa r liadrecies	-------|--⌫|-|-------|
fis tmaintegrantbonte	---⌫|-----|----|----|
carplaine estoitd	--|-----|-----||
et depit ieetdedoucour	-|-|---⌫-|-|-|------|
et d es ensap e ns e ́d onnour	-|-⌫|-⌫--|--⌫-⌫--⌫-⌫||-----|
car largece	--|------|
la c onronnee	-|-⌫-------|
fue nsonc uerenracinee	-|-⌫|--|-⌫--|--------|
leroiamamoutetchi eri	-|--|--|---|-|---⌫--|
etliroi slamamout	-|-|---⌫||--|---|
lapr emiereanneeorentil	-|--⌫-----|----|----|-|
ce tesmoigne lestoireun f il	-|--------||------|-|-⌫-|
truislisant	----|-----|
preusnepuis	----|-|---|
ne fusttrouuezennulpays	-|---|------|-|--|---|
ne q uidar messitre s	-|-⌫-||--⌫--|-|---⌫|
eu stces achiezcom cilot	--⌫-|-|-⌫-----|--|--|-|
sicomlamerlaterr ec lot	-|--|-|--|-|----⌫|-⌫--|
forsqueiudas maca beus	------|----|----⌫---|
e thector d etroiessans plus	-⌫|-----|-⌫|-----|---|---|
mais a ces deus	---||--|---|
naati roie	|----⌫---|
nuluik aenuis mentiroie	----|||----|--------|
b iaus etgen setn o bleset nes	-⌫---|-|---⌫|-|-⌫-⌫---|-|--|
fuet otnoncleomad es	-|-|-|--|-------⌫-|
i enecuitpasqueplu scourtoi s	-⌫|-|---|--|--|---⌫|-------⌫|
ueist onques prince s n erois	----|-----|------⌫|-⌫|---|
que il es toitnendou tésmie	--|-|--⌫---||-|---⌫---|--|
kains uneseu le uil onnie	|---|--|---⌫-|---⌫----|
nedis tnenefista nului	-|---⌫|-|-|---||----|
tan tparauoitfranchi seenlui	---⌫|--|----|-------⌫-|-|--|
etfi nedebonairete	-|--⌫-|----------|
etsen s norrie nloi aut e	-|---⌫|----|-⌫|---⌫---⌫|
detout bien f u sientechi és	-|---|---|-⌫|-|-------⌫--|
quni fai lli	-|||---⌫--|
rien s ce sachiés	----⌫|-|-------|
cheuauchier	----------|
lefistsesperes enuoiie r	-|---|--|----|-------⌫|
engreceeta prendregr iiois	-|----|-|-⌫------|--⌫----|
quant grieu sotpour sa uoir	----|----|--|---|--⌫---|
cou lo ign e enalemaigne	---⌫--⌫---⌫|-|--------|
auoe c lui	----⌫|--|
auo it grantconpaign e	---⌫-|----|--------⌫|
debaronse tdecheualiers	-|-----|-⌫|-|---------|
de damoisiausetde scuiers	-|---------|-||-⌫------|
kalui ert bien	||--|--|---|
aferissant	---------|
qu il menastnobleuieetgr ant	-|-|-----|----|--|-|--⌫--|
a cetansces t ueritez	|-|---||--⌫|------|
auoitnoncouloig nea grapine	----|--|-------⌫-|-⌫------|
enc elpaysta ntde mora	-|-⌫-|---|--⌫-|--⌫---|
qu ilsottyoi sl o rss enala	-|-|--|----⌫|-⌫-⌫-||-|--|
ouroia ume	-|----⌫--|
de fr ancedroit	-|--⌫---|----|
queonad ont	--|-|--⌫--|
gaule no nmoit	----|--⌫----|
pouraprendre s enset h onnour	---|-------|-⌫--|-|-⌫-----|
etcequ ila fiert aualour	-|-|-|-|-⌫----||-----|
tansencelui	---|-|----|
anciens es c ris	------|--⌫-⌫--|
tr ueue on queto usi oursa	--⌫---|-|--|--⌫-|-⌫---||
france laf lours etl a	-----|-|-⌫----|-|-⌫|
darm esdonnourdege ntillece	|---⌫-||-----|-|--⌫-------|
decourtoisieetdelarg ec e	-|---------|-|-|----⌫--⌫|
ce est l atoucheet lexamplaire	-|--|-⌫|-----|-||---------|
d ecec on doitlaissieret	-⌫|-||-|---|-------|-|
tantamendacild am oi si aus	---|-----|--|-⌫--⌫--⌫--⌫--|
que nus mieudres	--|--|-------|
ne n us p lus b iaus	-|-⌫-|-⌫--|-⌫---|
nefuste nnulpays trouués	-|---|-⌫|--|---|-------|
ne det o utes g enssi amés	-|-|-⌫-⌫---|-⌫--|-|----|
enfrance demouralo nctans	-|-----|------|--⌫-|---|
naip asnonmétous	|-|-⌫-|-----|---|
quot marcadigasligenti s	-|-|---------|-|-----⌫|
ded on e ynabele	-|-⌫--⌫|------|
au cleruis	-|---|--|
t ro isfill e sor ent	-⌫--⌫-|----⌫-⌫|--⌫--|
do ntlainsnee	--⌫-||------|
fuelyador apel ee	-|------|----⌫-|
e tl autr eotnonfenia disse	-⌫||----⌫|-|--|-----⌫----|
quin estoit ne	--||-----|-|
laidenenic e	----|-|---⌫|
maisbonneetbeleet ensaignie	---|----|-|---|-|--------|
s iquedet ous	-⌫|--|-|-⌫--|
biensfugarnie	----|-|-----|
e t latierc eauoitnon marine	-⌫|-|-----⌫|----|--|-----|
quitantparau oit biautefine	--|---|--|--⌫--|-----|---|
que n ature faire l e s ot	--|-⌫----|----|-⌫|-⌫-|
fist a u mie us qu elepot	---|-⌫|---⌫-|-|--|--|
sigentem ent estoi ttailli e	-|------⌫--|-----⌫|------⌫|
onl eustsouha idie	-||---|-----⌫---|
carenliformeradroiture	--|-|-|-----||-------|
mistdi eusentie remen tsacu re	---|--⌫--|-----⌫-----⌫|-|--⌫-|
natu reriens nioubl ia	----⌫-|----|||----⌫-|
cro idieus lic onm anda	---⌫|----|-|-⌫---⌫---|
pourceni osaoublier	---|-|||--|------|
rienqued i eu sliu oltconmander	---|--|-⌫-⌫--⌫|-|-⌫--|--------|
fi sts i le	--⌫-|-⌫|-|
quel e fubele etauenant	-|--⌫|-|---|-|------|
ta ntamenderentet t an t	--⌫-|---------|-|-⌫--⌫|
le stroisser eursque elesfurent	--⌫|----|---⌫---|--|---|-----|
daag etel quepar rai son	|---⌫|--|--|--|---⌫--|
peust chascuneauoir baron	----|-------|----|----|
de le urteches	-|--⌫-|-----|
uousparle rai	---|-----⌫--|
auplu sbriementque ie	-|---⌫|-------|--|-|
bienu ouspuis	---|-⌫--|---|
dir eaupremiermot	---⌫|-|------|--|
quenule deles	--|---||---|
qui n efus ttoutede	--|-⌫|---⌫|----|-|
orreuenraialeurbiaute	-|-------||---|-----|
dont leuoirdiraiseie	---|-|---|----|-|-|
se lonc ce	--⌫---|-|
lestoiretrui s	|------|----⌫|
si bele en	-|---|-|
espai gnenauoit	-----⌫--||----|
qu e t outela	--⌫|-⌫---|-|
ma insbele est oit	--⌫--|---|---⌫--|
dechasc unedeuiserai	-|-----⌫--|--------|
aumieusq ueporrai	-|----|-⌫-|-----|
lainsneefubeleetplaisans	|------|-|---|-|-------|
sage etcourtoi s eetauenans	---|-|-------⌫-⌫|-|------|
etdemanier efu	-|-|------⌫|-|
e td estre	-⌫||----|
t elco nme puc e l edoitestre	-⌫-|--⌫--|---⌫-⌫-⌫|---|----|
corsetmenbresot si	---|-|------|-|-|
quesea d roitle	--|-||-⌫---|-|
uous de uis	---|--⌫--|
ie ne croi que enlifa us ist	-|-|---|--|-|-|--⌫--⌫--|
pardroit aferesist	--|----|--------|
a damois elenobleet gente	|------⌫--|----|-|----|
ets ert dassez ioeneiouuente	-||--||----|----|-------|
u int troisansot	-⌫--|----|--|-|
or estdroisqueieuous	-|--|----|--|-|---|
labiautedesa	-|-----|-|-|
suerseconde	---|------|
bl anchefuet	--⌫----|-|-|
uerm eilleetblonde	----⌫----|-|-----|
sac hiezqueleotuin tdeusans	---⌫---|-|--|-|---⌫|---|--|
e tp re sertp lusbelede us tan s	-⌫|-⌫--⌫|--|-⌫--|---|--⌫-|---⌫|
que celequeiaideui see	--|---|--||-|----⌫--|
oruous diraidela	-|---|----|-|-|
briementparmil e	-------|----|-⌫|
boisme nuois	---||-⌫|---|
cefula plus bele des	-|-|-|---|---|--|
detrestout bienfu	-|-------|---|-|
sesc ue r spla ins	--|-⌫--⌫-⌫|---⌫--|
uintansauoit ne	---|--|----|-|
p l usne mains	-⌫-⌫-|-|----|
pou oir mou stre ́ uousai	---⌫--|---⌫----⌫|---|-|
dechascune c equei en	-|-------|-⌫|--||-|
d esoremais s eroitsaison	-⌫-|--|---|-⌫----|-----|
quei e moust rassela	--|-⌫|-----⌫----|-|
quoicleomadesestoit	---|--------|-----|
sipreus quechascun sl eprisoit	-|----|--|-------⌫|-⌫|------|
etque t out	-|--|-⌫--|
sen e smer ueilloient	|-|-⌫----⌫---------|
cilqui de luiparler oo ient	--|--|-|--|-----|--⌫---|
dece sai bienlaueri te	-|-|--|---|-|----⌫-|
mo utl onguementau oit esté	--⌫-|-⌫--------|--⌫--|----|
li rois m arcadigasenguerre	-|---|-⌫--------|-|-----|
liuor rentsa terre	-|---⌫---|-|----|
cin cro iqui alui ma rchissoient	---⌫|--⌫|--||--|--⌫----------|
pois santfurent etmoutauo ient	----⌫---|-----|-|---|---⌫---|
seur marca digasgrantenuie	---|-----⌫----|----|----|
po ur c equilmeno i tteleuie	--⌫-|-⌫|-|-|----⌫-⌫|---|--|
del a terre queiltenoit	-|-⌫|----|--|-|-----|
quechascunss	--|-------||
enesmeru eilloit	-|------⌫------|
po uparloitons edeluinon	--⌫|------|-|-⌫|-|--|--|
tantpa r estoit d egran t	---|--⌫|-----|-⌫|----⌫|
sen shonnour ualour et noblece	---⌫|------|-----|-|------|
humili tepiti e lar gece	------⌫-|----⌫|---⌫---|
deb onn airetecour to isie	---⌫---⌫-----|----⌫--⌫---|
ioursens a conpaignie	----|-|-⌫|---------|
har dis etdeseurcorage	---⌫--|-|-|---|-----|
fu m outetdefieruasselage	-|-⌫--|-|-|---|--------|
l icin c roidontiecipa rol	-⌫|---⌫|--|---|-|-|--⌫--|
firentque m usar tetquefol	-----|--|-⌫----⌫|-|--|--|
quimoustrerent l e urcruau te	--|----------|-⌫-⌫-|-----⌫-|
a home d esi g rant bonte	|---|-⌫|-|-⌫---|----|
m aisc efist enuielamale	-⌫--|-⌫|---|----|-|---|
quienenfer mai nteame	--|-|----|---⌫--|--|
par enuiee nprentonso uuent	--|----|-⌫-----|-|--⌫----|
cedontont rop tartse repen t	-|---|-|-⌫--|---|-|-----⌫|
ci lr oitout ensambleiure rent	--⌫|-⌫-|---|-------|----⌫---|
sor marcadigasassamblerent	--|---------|-----------|
mou t lon guemen t	---⌫|---⌫------⌫|
leguerrierent	-|----------|
lu ietsa gentmo ut traueil lierent	--⌫|-|-|---|--⌫-|-------⌫------|
e tlifirent	-⌫|-|-----|
ma intgrant dam age	--⌫--|----|---⌫--|
maiscom hom	---|--|--|
d egrantuasselag e	-⌫|----|--------⌫|
s etint co ntresesanemis	-⌫|---|--⌫---|--|-----|
ma i smoutlorent	--⌫-⌫|---||----|
arriere mi s	------|--⌫|
desaterre k essilliéorent	-|-|----||--------|----|
dou pis lifirent que ilporent	--|--|-|-----|--|-|-----|
toutli ci ncroi	---|-|--⌫-|--|
n iregardoientd ro it netort	||----------|-⌫--⌫-|-|---|
carmoutauo ient gran tde sir	--|---|---⌫---|----⌫|--⌫--|
d el e uruole nt eacom plir	-⌫|-⌫-⌫-|----⌫--⌫|----⌫---|
etquant roismar cad igasuit	-|----|---|---⌫---⌫---|--|
lifa is oienttelde s p it	-|--⌫--⌫----|--|--⌫-⌫-⌫-|
que saterre	--|-|----|
a essilmetoient	|----|-------|
et sapou re gent destr ui soient	-|-|---⌫-|---|-----⌫--⌫-----|
s achiez que	-⌫-----|--|
moutpreslitouchoi t	---|---|-|-------⌫|
mai pa rto ut estrenepouoit	--|--⌫|--⌫-|----|-|-----|
cardetout esparslassailloient	--|-|----⌫-|---||-----------|
cilcincroi	--|---|--|
qui le guerrioient	--|-|----------|
m aintes fois	-⌫-----|---|
leuruintaud eu an t	---|---|-|-⌫--⌫--⌫|
mainteenuaye forte etgrant	-----|-----|----|-|----|
leu r fistm arcadigassouuent	---⌫|---|-⌫--------|------|
c ar mout deff endoit	-⌫-|---|----⌫-----|
ai grement	--⌫------|
lui etsagent	--|-|-|---|
etson pays	-|--|---|
comcheual iers preus	--|------⌫---|----|
unmess ageascinc roistramist	-|----⌫--|-|---|---|------|
etdep ar lu is auoirl eurfist	-|-|-⌫-|--⌫|-⌫----|-⌫--|---|
kaun d a us	||-||-⌫-|
combatreuorroi t	-------|------⌫|
lequelqu eil	-|---|--⌫|-|
ouauplusua illant delor	-|-|---|--⌫-----|-|--|
co rsacorse tp ar te lcouuent	--⌫-||---|-⌫|-⌫-|--⌫|------|
que secil acui combatroit	--|-|--||--|---------|
parsesarmesle conque roi t	--|--|----|-|------⌫---⌫|
kespaignela iroit atous iours	|-------|--⌫----||---|----|
iseroitses retours	|-----|--|------|
ciles tparl uiconquis	--|--⌫|--|-⌫-|------|
quiluoisentfors	-|-|------|---|
deson pays	-|--|---|
cepourquoitelchose manda	-|---|---|--|----|----|
ce fupour la pitiequ il a	-|-|---|-|----|-|-||
quiluoi tessill ie r	-|-|---⌫|------⌫--⌫|
ne n apouoir	-|||-----|
de ladr ecier	-||---⌫----|
carmout a uo ientgran tpouoir	--|---|-⌫--⌫---|----⌫|-----|
cil cincroicesachie zde uoi r	--|---|--|-|------⌫|-|---⌫|
quantliroicem ant	----|-|--|-|-⌫--|
ent end irent	---⌫---⌫----|
leurauan tage pasneuire nt	---|----⌫---|--|-|----⌫-|
tro p estoituaillans	---⌫|-----|-------|
rois m arca diga s	---|-⌫----⌫----⌫|
et poissans	-|-------|
et pourcelio ntremandé	-|---|-|-|-⌫-|-------|
que sebataille ai ournonm é	--|-|-------||-⌫--|----⌫-|
ueutprendreater me de deus	---|------||---⌫-|-|---|
quechascu ns	--|------⌫-|
d au ssetenraquois	|--⌫|-|----|----|
et que riens ne l iforferont	-|--|----|-|-⌫|--------|
dusquesatantqu eil uen ro nt	------|-------⌫|-|---⌫--⌫-|
toutdroitauiour	---|----|-|---|
dela bataill e	-|-|-------⌫|
cuident q uece lorua ill e	------|-⌫-|-|--|--⌫---⌫|
car bient rois tans	--|---|-⌫---|---|
que toutliespa ignol n est oient	--|---|-|----⌫----||---⌫----|
marcadigas leurrema nda	---------|---|----⌫--|
k aceluiioursec ombat ra	||----|---|-|-⌫-----⌫-|
aauscesache ntparuerte	|--|-|-----⌫-|--|----|
donnee enfu lase urte	-----|-|-|-|--⌫---|
siqu eam besdeusles par ties	-|--⌫|--⌫------|--|---⌫---|
s entinrenttres b ienapaiies	|-|------|---|-⌫--||-----|
ente lpointi l u ecdemoreren t	-|--⌫|----|-⌫-⌫-⌫-|---------⌫|
et lesno uuel es	-|--|--⌫----⌫-|
sen alerent	|-|------|
enmaint pay sta ntquilauint	-|----|---⌫|--⌫---|-|----|
cleomade s enuint	--------⌫|-|---|
lanouu e lela il	-|----⌫-⌫-|-|-|
elroiaumedefranc e	-|------|-|-----⌫|
qu antcele nouueleoyot	--⌫--|---|------|-|-|
auplustostqueilonq ue s	-|---|---|--|-|---⌫--⌫|
se smut pour	|-⌫---|---|
alercele part	---|---|---|
k a enui squiteroit sapart	||----⌫|--------|-|---|
dedeffendrece dontdeuoit	-|--------|-|---|-----|
estresir es	----|---⌫-|
qua n tdieuplairoit	---⌫-⌫|---|-------|
iecroikainsho m de	-|---||---|--⌫|-|
si poudans	-|--||--|
selonc lepointde ce luitans	-----|-|----|-|--⌫--|---|
eusttelforcecomcilot	---|--|----|--|--|-|
queuintcincan ssa nspl usn	--|---|---|--⌫|--⌫-|--⌫-||
adontertpourenf es	----|--|---|---⌫-|
cil quinauoittrente ans	--|--||----|-----|--|
deto us ie usouapartenoit	-|--⌫-|--⌫-|-|---------|
forc e et uigour tousceauspassoit	----⌫|-|-----|---|----|------|
quidetel ieusent remetoient	--|-|--|--||---⌫---------|
li plu seurmoutsemerueilloi ent	-|---⌫---|---|-|----------⌫--|
quei lquisi	--|-⌫|--|-|
ioenesestoit	-----|-----|
telfor ce e tt eluigourauoit	--|---⌫-|-⌫|-⌫-|-----|----|
