oreoeztuitcomm unement	--|--|---|----⌫------|
l ui etsage nt fo r ment	-⌫-|-|-|--⌫-|--⌫-⌫---|
lidecipl e si	-|------⌫|-|
orentf ain	----|-⌫--|
deieun erfurent tuit uain	-|----⌫-|-----|---|---|
deierusalemse ni ssirent	-|--------||-⌫|-⌫------|
un figie rdeuanteus choisir en t	-|-----⌫|-----|--|-------⌫--⌫|
cele part pristre nt aaler	---|---|-------⌫-||---|
el fig iercuidierentt ro uue r	-|---⌫--|---------|-⌫--⌫---⌫|
aucu ndeu sp eu stmengier	----⌫||--⌫|-⌫--⌫-|------|
pourleur grant meseseestanchier	---|---|----|-----|---------|
mesonques n i trouue rentrien	--|-----|||------⌫---|---|
forsfuei lle sdontf u	---|----⌫---⌫|---|-⌫|
chargi ébien	------⌫-|---|
ma leoizsoitdient iltuit	--⌫----|---|----|-|---|
lia rbr equ inep orte fr uit	-|-⌫---⌫|--⌫|-|-⌫---|--⌫--|
ihesuscristet s acom paignie	-----|----|-|-⌫|---⌫------|
d ilecs enuin ten bethanie	|---||-|---⌫|-|-------|
iconte len	|----|--|
d e lac istde	-⌫|-|-⌫--|-|
quantihesu	----|----|
cristuin t enbe tain e	----|---⌫|-|--⌫----⌫|
sialachiesl a madelene	-|--|----|-⌫|-------|
ma rie etmar the	--⌫--|-|---⌫--|
l eursereurs	-⌫--|------|
laza ronfufrere aeus yy	----⌫--|-|----||--|-|
aioi efurentre ce u	|---⌫|-----|--⌫--⌫|
mariesistaspiez ihesu	----|---|-|---|----|
quisesparolesescostoit	--|--|------|--------|
etmarthe l ostela tornoit	-|-----||----|-⌫------|
mo ultsontioieus	--⌫--|---|-----|
que ihesucrist fu o uec	--|----|----|-|-⌫--|
marthe dista	-----|---||
nostreseigneur	-----|-------|
sir e c omman dea	---⌫|-⌫-----⌫-||
mariequ el meuiengne	----|-|-|-|------|
aces choses ap a reillier	|--|-----|--⌫-⌫-------|
ihesuslidistsanz	-----|-|---|---|
marthelessetasuer	-----|----|-|---|
deltoutaelleumarie	--|---||----|----|
deuersso ila	-----|--⌫|-|
meill e urpa rtie	-----⌫-⌫-|--⌫---|
marietotsoncuerau oit	----|--|--|---|--⌫--|
ihesucristdisoit	----|----|-----|
quart ioraprespa quesflori e	----|--|----|--⌫---|-----⌫|
esto itihesusembethanie	----⌫-|-----|-|-------|
d epitieplo ura	-⌫|----|---⌫--|
quant lela dre resuscita	----|-|--⌫--|--------|
etlostelsymonle liep reus	-||----|----|-|----⌫---|
pouez sauo i rne fupasseus	----|----⌫-⌫|-|-|--|---|
de s deci ple siot assez	--⌫|----⌫---⌫||-|----|
li forsenez	-|-------|
li ladrese t	-|-----|-⌫|
sasuerm ar ie	-|---|-⌫--⌫-|
m oulti o t bel e co mpa ingnie	-⌫---||-⌫|---⌫|--⌫---⌫-----|
estoientsa integent	-------|--⌫---|---|
uaillanzetpreusetde	-------|-|----|-|-|
granzgen s	----|---⌫|
donc se sont au men gie r as is	---|-|---|-|---⌫---⌫|--⌫-|
iudasifulianemis	----||-|-|-----|
etdamedieutrestotnu piez	-|-------|------|-|---|
amarieem p ristgra n t pitiez	|----|-|-⌫---|---⌫-⌫|-----|
quemoultle sauoitdescr euez	--|----|--⌫|----|-----⌫---|
me scefesoit	--⌫|-|-----|
hu mil itez	--⌫---⌫---|
a insiuo usuouloit demostrer	-⌫---|--⌫-|------|--------|
comnou sde uons alui aler	--|---⌫|--⌫---||--|---|
lamagdalaine apo rpensé	-|---------||--⌫------|
com l e porra se rui r a gre	--|-⌫|----|--⌫---⌫||--|
parquoiporraauoirlaschance	--|---|----|----|--------|
dese spe c hiezdo ntapesa nce	-|--⌫|--⌫-⌫---|--⌫-||----⌫--|
que enson cuerli	--|-|--|---|-|
filzest auro i sdeparad is	---|--|-|--⌫-⌫|-|-----⌫-|
quidescen didel cielpournous	--|------⌫-|--|---|---|---|
nostreu eraissec ors	-----|-⌫----|---⌫--|
el eauoitdu nchier o igne ment	--⌫|----||-⌫|----|-⌫----⌫---|
uneliuret ote ga l ment	--|----|-⌫-|-⌫--⌫-⌫---|
forme ntiert ch ier etpr ecieus	-----⌫-|---|--⌫--|-|--⌫-----|
porp ensasoiq uea uglor ie us	----⌫---|--|-⌫-|-⌫|----⌫--⌫-|
lechiefetl es piezen	-|----|-|-⌫-|---|-|
bien tostpourcemerciauroit	---|---|---|-|----|-----|
totsouauetsen es t uenue	--|------||-|--⌫|----|
quele nefust aperce ue	-|--|-|---|------⌫-|
en s ama in tint s onoig neme nt	-|-⌫|--⌫-|---|-⌫-|---⌫----⌫-|
qui mieusua loitquornear gent	--|----|--⌫---|-|-|-|--⌫---|
aus piez ihesu selessealer	--|---|----|-|----|---|
formentcommenca a plorer	------|-------||-----|
gra nz soupirsgeta dep arfont	---⌫-|------|---|-|-⌫-----|
pechiez en lermes	------|-|-----|
del oi ng ne mentd esusgeta	-||--⌫--⌫--⌫---|-⌫---|---|
a sescheueuzle sess uia	|--|------|--⌫|---⌫--|
be ssoitet	--⌫----|-|
mieusplo roit	----|---⌫---|
ad amedieuf ormen tp laisoit	|-⌫------|-⌫-----⌫|-⌫------|
lagrant fleireurde l oingnement	-|----|-------|-||---------|
em plil a m eson etl a gent	--⌫--|-⌫|-⌫---|-|-⌫|---|
lideciple quilontueu	-|------|--||--|--|
auq uan t l onte n desdaingtenu	---⌫---⌫||--|-⌫|-------|---|
etmoult sen sontesmerueill ié	-|----||-|---|----------⌫--|
esto ientmielie	----⌫---|--|--|
litraitresiudas	-|-------|----|
qui tot lesensauoitperdu	--|--|-|---|----|----|
sonfeloncuer n epotce ler	--|----|---|-⌫|--|--⌫--|
asons e igneur	|--|-⌫-⌫-----|
pri stapal er	---⌫-||---⌫-|
puis liadit	---|-||--|
sembla do mmefel on	-----||-⌫--|---⌫-|
as soffer t tel gastement	-|------⌫|--|--------|
decestprecieu soignemen t	-|---|-------⌫|--------⌫|
ilu aloi t bienyy	-|-⌫----⌫|---|-|
etpl usassezcar	-|--⌫-|----|--|
moult e rt chi ers	----|-⌫-|---⌫--|
moultmieuzue nis tqui l fu stdonne z	----|----|--⌫---⌫|-|-⌫|--⌫-|-----⌫|
as pouresgenzqu	-|-----|---|-|
ilfustgastez	-|---|-----|
pour cenel	---|-|-||
disti uda s	---|-⌫---⌫|
qu eustcure depouregent	-|---|---|-|----|---|
mesli lerres amoit	--|-|-----|----|
sus touteriensle s	--|----|----|--⌫|
auoitchiers	----|-----|
ihesuslir espon t simplement	-----|-|-⌫-----⌫|---------|
etsanznisun c orro uc ement	-|---|--|-|-⌫----⌫--⌫----|
diualess iez ester marie	---|----⌫--|----|----|
fetqu ele estm amie	--|-|--|--||---|
despo uresauroizuo us as sez	--|--⌫---|-----|--⌫-|--⌫--|
feroizs e uousuoulez	-----|-⌫|---|-----|
mes lo ngu ement	--|--⌫---⌫----|
nem aroizmie	-||----|--|
ainz gu erpire uozcompaignie	---|--⌫-----|--|---------|
cequ e l e afet	-|-|-⌫-⌫||--|
moultl aimet	----||--|-|
ainzque ie so ie enceuelis	------|-|--⌫-|--------|
m oncorsaromatizera	-⌫-|---|----------|
de l oi ngnementmieuzli sera	-||--⌫-------|----|-|---|
cilipardontoz se spec hiez	-|-|-----|--|--⌫|---⌫---|
touzlesnouuiaus	---|--|-------|
et tozlesu iez	-|--|--|-⌫--|
mo ult abonneeuu re fet enmoi	--⌫--||----|---⌫-|--|-|--|
pouruoiruousdiembonnefoi	---|---|---|-|-|----|--|
en memoir etenu	-|------⌫|---|
tre stoziorz mesceque fet ma	---⌫---|---|--|-|--|--|||
oin zamesp iez	---⌫||--|-⌫--|
les doulereu s	--|--------⌫|
bo nl afetsienen estli	--⌫|||--|---|-|--|-|
iudas esc ari ot lentent	----|---⌫---⌫-||-----|
pet itd e duel	---⌫-|-⌫|---|
li t rai tres fu	-|-⌫---⌫---|-|
moultiriez	----|----|
sachiezde fin efupasliez	------|-|-|-⌫|-|--|---|
entresesden z di st bellement	----|--|---⌫|--⌫-|--------|
eusne lent ent	--|-||---⌫--|
cest eperteresto rerai	----⌫|----|-----⌫----|
uous r endrai	---|-⌫-----|
asfausiuisquimen	-|---|---|--||-|
debo nsd enie rs	-|--⌫-|-⌫----⌫-|
e tuous pendront	-⌫|---|-------|
litr aitresp lus nedeme ure	-|--⌫-----|-⌫--|-|----⌫--|
ein z se ntormemeis me leure	---⌫||-⌫-----|----⌫-||---|
ausprinces uinte t ala	--|------|---|-⌫||-|
amoientde noient	------|-|-----|
dites moifeti l a	----|--|--|-⌫||
queme dorr ez	--|-|----⌫-|
s eieuousliure	-⌫|-|---|----|
m on s eigneur	-⌫-|-⌫------|
queuo us h aez tant	--|--⌫-|-⌫--|---|
illimistr e ntencouuenant	-|-|-----⌫-⌫-|-|--------|
yydenie rs gagi ezlesmoi	-|-----⌫-|----⌫-|--|--|
nousle tafierons parf oi	---|-||-------|--|-⌫-|
unseniotquis ot deuente	--|-||-|--|-⌫-|-|----|
ciert que iudas nese	|---|--|----|-|-|
moultt ost yy	----|-⌫--|-|
den ie rslitent	---⌫--⌫-|-|---|
iudasmoultuolontiersle s	----|----|---------|--⌫|
desoremess e penera	--|--|--|-⌫|-----|
commentson s eigneu rtra ira	------|--|-⌫------⌫|---⌫--|
lapaque suintet li	-|-----⌫|---|-|-|
li decipledieusont uenu	-|------|---|---|---|
il enquierentsiredi nos	-|---------|---|-|--|
l au ostrepasqu eoutendroiz uos	-⌫|-⌫----|-----⌫|-|-------|--|
pierre si ehan aapelé	------⌫|-⌫---||-----|
entrezd itil enla	-----|-⌫-|-|-|-|
unhommesienconterroiz	-|----|-|-----------|
eue portant	--|------|
silid iroiz	-|-|-⌫----|
ma pasqueueilensa meson	-|-----|---|-|-|----|
etieettuitmicom paignon	-|-|-|---|-|---⌫------|
mengier trestout priueemen t	------|-------|---------⌫|
illeuoudra	-|-|-----|
m oultdouce men t	-⌫---|-----⌫---⌫|
ciluont la	--|---|-|
pour pour apareillier	---|---|----------|
la c anedieuet lemeng ier	-|-⌫--|---|-|-|----⌫--|
li du iamise nsont	-|--⌫|--||-⌫|---|
enla c iteensontentré	-|-|-⌫--|-|---|-----|
pour f ere	---|-⌫--|
l ecomma ndeme nt	-⌫|-----⌫-----⌫-|
auroi delciel omnipot ent	-|--|--|---|-------⌫--|
to ut silontfetetconreé	--⌫-|-||--|--|-|------|
co mmeih esu s	--⌫--|--⌫---⌫|
lo tcom mandé	|-⌫|---⌫-----|
li u espresfu tos tauesprez	-|-⌫-----|-|---⌫|-------|
nostre siress	-----|----||
en est alez	-|--|---|
uenuenest en lameson	---|-|--|-|-|----|
oluil i yycompaignon	|--|-⌫|-|---------|
assiss e sonttuitaumen gier	----|-⌫|---|---|-|---⌫---|
iudasn esistmiederrier	----|-⌫|---|--|------|
d euantsonmestre s estasi s	-⌫----|--|-----||--|---⌫|
litraitreslianemis	-|-------|-|-----|
l inostres i r estantlamoit	-⌫|-----|-⌫-⌫-⌫-|---||----|
toutes euresolui me n ioit	-----|----||--|--⌫-⌫---|
mes eltraitorde malart	--|-|------|-|--|--|
qui mo ultest o itdepute part	--|--⌫--|---⌫-⌫-|-|---|---|
auoitihesusmalcompaignon	----|-----|--|---------|
quiplainsestoit detraiso n	--|-----|-----|-|------⌫|
tra itr es quefesoit	---⌫---⌫-|--|-----|
com me no stres iresbeuoit	---⌫-|--⌫---|-⌫---|-----|
si li emblo itpar trais on	-|-|-----⌫-|--|-----⌫-|
l e pl usb eaumo rs deson poison	-⌫|--⌫-|-⌫--|--⌫-|-|--|-----|
etlesc uel e deuant	-||---⌫---⌫|-----|
ille sauoient bienandu i	-|-|-------|---|----⌫|
iadieunen f eistnulsemblan t	-|---||-|-⌫---|--|-------⌫|
e ndormissie rten	-⌫------||--⌫-|-|
ieha ns libons euu angel istres	----⌫-|-|---|---⌫-----⌫-----|
touzli mieudresdeses me nistres	---|-|-------|-|--|--⌫------|
endormises t deseu rsonmestre	------||--⌫|-----⌫|--|-----|
doitil estre	---|-|----|
e mpetitde urefurauiz	-⌫|----||-⌫--|-|----|
a montelci else sesp eriz	-⌫---|-|--⌫-|--⌫|---⌫---|
tel choseuit	--|----|--|
neuueilpas	-|----|--|
adescrir e	|-------⌫|
frere fet die usmoultb on ne ment	----|--|---⌫-|----|-⌫--⌫--⌫---|
conseiluo usrequierdou ce me nt	------|--⌫-|------|---⌫--⌫--⌫-|
moulta ieug rant	----|-⌫|-|-⌫---|
deceste pas que a	-|----|---⌫--||
uous mengier	---|------|
quenemengereme s o uous	--|-|------|--⌫||---|
tantquede m ortser ai	------|-|-⌫--|---⌫-|
pour uouss offerrai	---|---|-⌫-------|
quenailliez	--||------|
a perdic ion	|------⌫--|
l inostresires si leur dist	-⌫|-----|----|-|---|---|
et ensa mainl epainprist	-|-|-|---|-⌫|---|----|
asonpe regraces	|--|--⌫-|-----|
beneistle ietsi	------|--⌫|-|-|
ilice usez	-|--|---|
ceestmes corsquiciu eez	-|--|--|---|--|-|-⌫--|
creez certainnement	----|------------|
gardezquenendoutezn oien t	-----|--||-|-----|-⌫----⌫|
moncorsmeng iez mon	--|---|----⌫--|--|
sa ncbeuez	--⌫-|----|
quepar ice sauuezserez	--|--|--|-----|----|
se lereceue zdignem ent	-|-|------⌫|------⌫--|
mie uzuousen	---⌫-|---|-|
iu geme nt	--⌫----⌫-|
queuousseroiz	--|---|-----|
ensambleom oiemparadis	-------||-⌫-|-|------|
dipasp ouruo usseu lement	-|--|-⌫--|--⌫-|---⌫-----|
mes a toute	--||----|
celeaut regen t	---|---⌫-|---⌫|
quic e oientet	--|-⌫|----|-|
quilorront	--||-----|
et qui en a pres nou suendront	-|--|-|-⌫---|---⌫|-------|
mo strera pertement	--⌫----|-⌫--------|
commeilferont	----|-|-----|
lesacrement	-|--------|
cee s t mes corsqueciueez	-|-⌫-⌫|--|---|--|-|---|
sus lauteliertrepresentez	--||----|---|----------|
lanouel eloi	-|-----⌫|--|
que uueilqueuous	--|----|--|---|
te nezdemoi	--⌫--|-|--|
en remenbr anceleferez	-|-------⌫---|-|----|
demadouleurqueuousuer re z	-|-|------|--|---|---⌫--⌫|
liun s d euousme	-|--⌫|-⌫|---|-|
etausiuismeliurera	-|--|---|-|------|
totes tesc ri ten escreture	--|--⌫|---⌫--⌫|-|--------|
delfil zmarie lauenture	--|---⌫|----||-------|
ain sicouuien ttot	---⌫-|-------⌫|--|
de luia auenir	-|--||-----|
etnepo rquantma l a u endra	-|----⌫-----|--⌫|-⌫-⌫----|
acel ui qui metraira	|---⌫-|--|-|-----|
mi euz liu enist parfoiassez	--⌫--|-|-⌫----|--|--|----|
qui lnefu stiade mere nez	-|-⌫|-|--⌫-|-|-|---|--|
li dec ipl e	-|---⌫---⌫|
qua n tlontoi	---⌫-⌫||--|-|
tuitleurme mbre	---|---|--⌫---|
leursontfr emi	---|---|--⌫--|
n iacel uipaornait g rant	|||---⌫-|---||--|-⌫---|
et qui souuen tne lidemant	-|--|------⌫|-|-|-----|
chascunendroitsoi	------|------|--|
cequet u dizestce	-|--|-⌫|--|--|-|
en char itequarleme di	-|----⌫--|---|-|-|-|
etdamed ieusiresp ondi	-|-----⌫--|-|----⌫---|
o moimeniueet omoibo it	|--|-----|-||--|--⌫-|
quimoncor sf aitiltrairdoit	--|--|---⌫|-⌫--|-|----|---|
lifel iudasarespondu	-|--|----||-------|
suiiedoncce mestre ihesu	--|-|---|-|-----|----|
oilce es tuura iement	--|-|-|-|---⌫-----|
ia l as tudit ape r t ement	-||-|-|--|---⌫-⌫-⌫----|
orlessen tlidecipleester	-|------⌫|-|------|----|
de la tr aisonapaller	-|-|--⌫----||-----|
autrechoseuontenq uerant	----|----|---|---⌫-----|
liquie us dieus seral iplusgrant	-|----⌫-|----|---|-⌫|---|----|
plussaintetdep lus gra nt	---|----|-|-|-⌫--|---⌫-|
et de p lushaute disnite	-|-|-⌫--|----|------|
freredistdieuslarichege n t	----|---|----|-|----|--⌫-⌫|
qui damedieunaiment noie nt	--|-------||-----|----⌫-|
qui cuidentestreli p lushaut	--|------|----|-|-⌫--|---|
nonsont certe s assezenfau t	--|---|-----⌫|----|-|---⌫|
mesentr euous issin ie rtpas	--|----⌫|---|---||--⌫-|--|
liplus h a uts e ra liplus	-|---|-⌫-⌫-|-⌫-⌫-|-|---|
cilquipl usse	--|--|--⌫-|-|
u oudra haucier	-⌫----|------|
se urtouslestuethumili er	--⌫-|---||-----|------⌫-|
eta touz lecouuients eruir	-||---|-|-------|-⌫----|
et sauolente	-|-|------|
icicommeserianz	--|----|------|
iesersaus petizeta s	-|---|--|----|-|-⌫|
ien iuing p aspourseignorer	-|||---|-⌫-|---|--------|
n epourmestri edemen er	-⌫|---|------⌫|-----⌫-|
mondouz pere q uiestlas us	--|---|---|-⌫-|--|---⌫-|
pouruou smenenuoiacaius	---|---⌫||-|-----|-|--|
etieisui p our uoir	-|-||--|-⌫--|---|
et si ser aiencroiz	-|-|---⌫-|-|----|
apres moiuou s	----|--|---⌫|
estuetaler	-----|---|
seuousu oulez el ci el	-|---|-⌫----|-|--⌫-|
paricelmeismesentier	--|---|-----|------|
seuou sme uoulezdesuoier	-|---⌫|-|-----|-------|
uousestesial imien	---|----|-|-⌫|---|
aue zsoffertpourmi	---⌫|------|---|-|
luous guerre donnerai	|---|------⌫-------|
pere emprierai	---|-|------|
quiluou sen r endeg uerr edon	-|-|---⌫|-|-⌫---|-⌫----⌫---|
il ensam eso n	-|-|-|-⌫---⌫|
suslesyytrosne s se roiz	--|--|-|------⌫|--⌫---|
la gen tisraeliugeroiz	-|---⌫|-----|-------|
aui ugeme ntou	-|-⌫-----⌫-|-|
ensemble o	-------||
moiquanti elfera i	--|----|-⌫||----⌫|
pierresymo n seztuamis	-----|----⌫|--|-|---|
com meiert iriezlianemi s	---⌫-|---|----|-|-----⌫|
qu i tecui datolir	--⌫|-|---⌫-|----|
quetu necreusses enmoi	--|-|-|-------|-|--|
mesiaiproié	--||-|-----|
pourtoi forment	---|--|------|
quetu c roies ueraiement	--|-|-⌫----|---------|
que ie suiroisdel ciel lasus	--|-|--|---|--|---|----|
terre d ecaius	----|-⌫|-|--|
desorsoies sageset	--|-|----|----|-|
s i confortetes freres	-⌫|-------|--|-----|
or ontlideciple cen é	-|--|-|------|---⌫-|
et de lata ble sontleué	-|-|-|--⌫--|---|----|
tablefuleu e e	----|-|---⌫-⌫|
graces re ndentligneont chantee	-----|--⌫----|----|--|------|
etlibonmestrese	-|-|--|-----|-|
isn el ementsesdrasos ta	---⌫--⌫----|--|---|--⌫-|
dunmantelsest	|-|-----||--|
ilauront ialeur piez lauez	-|-----|-|---|---|----|
enunbacinpris teueclere	-|-|----|----⌫|--|----|
puisestu enuzaus	---|--|-⌫---|--|
piezs aint pere	---|-⌫---|---|
osté ssirenelfetes pa s	-----⌫|---|-||----|--⌫|
ialesm ienspi ezne laueras	-|--|-⌫---|--⌫-|-|------|
fasdistdieus	--|---|----|
do ncnaurastuia par ten	--⌫-||----|-|-|---⌫|-|
sainzpierres	----|------|
liasrespondu	-|-|-------|
et ma ins me lieuestu	-|--⌫--|-|-----|-|
ainzqu eienaie	------⌫|-||--|
pa rt entoi	--⌫-|-|--|
tout t o nplesi rdemoi	---|-⌫-⌫|-----⌫|-|--|
quantota tou zl eur piez	----|-||---⌫|-⌫--|---|
sesdr asraprisetr af ublez	--|--⌫-|-|---|-|-⌫--⌫----|
moulthum blemententreus s	----|---⌫------|---|--||
orentendezque	-|-------|--|
illeurdist	-|---|---|
sau ezquaifetet	---⌫-|-|-|--|-|
demostr é	-------⌫-|
cest essamp le du m ilite	---|------⌫-||-⌫-⌫----|
uou sm apelez mestre e tseigneur	---⌫||-----|-----|-⌫|-------|
si ferés bience st gr anthenneu r	-|-----|---|--⌫-|--⌫--|------⌫|
sachi ez de	-----⌫-|-|
fine mentez	-|-|-----|
parmo iaur oizdurable uie	--|--⌫|---⌫--|------|--|
se ieme sui agenoilliez	-|-|-|--|----------|
deuant uou spour	-----|---⌫|---|
lauer uospiez	----|--|---|
cest ee s samplequeieuo usle s	----⌫|-⌫-⌫-----|--|-|--⌫-|--⌫|
ainsideuezuous	----|----|---|
liunsalautre douceme nt	-|--|||----|-------⌫-|
si co mi ai f etapert em ent	-|--⌫||-|-⌫-|-----⌫--⌫--|
abesseroiz	---------|
plu sha ut elciel omoiseroiz	---⌫|--⌫-|-|---||--|-----|
o r si uou sd irai unerien	-⌫|-|---⌫|-⌫---|--|---|
ilserauoircesachiezbien	-|---|---|-|------|---|
mo ultuousuerr ai esparp eill ier	--⌫--|---|----⌫-|------⌫----⌫--|
ences ten uit	-|---⌫-|-⌫--|
eschergu etier	--------⌫----|
chascunde uousmeguerpira	------|-|---|-|-------|
pour la paor queila ura	---|-|---|--|-|-⌫--|
et tres touzuousuer ra i	-|----⌫---|---|---⌫--⌫|
quepaor aroizdemorrir	--|---|----|-|-----|
ierema indreouec la gent	-|----⌫----|---|-|---|
qui ma ui enaimentnoient	--|-|--⌫||-----|-----|
desquelipastorsestferuz	-----|-|------|--|----|
lifl ozdesbrebizestuaincuz	-|--⌫-|--|-----|--|------|
ier eceurepour uoustouzmor t	-|-⌫-----|---|---|---|---⌫|
occirrontatort	--------||---|
ap resmamortme tr o uuerez	--⌫--|-|---|-|--⌫-⌫-----|
engalileemequerez	-|------|-|-----|
asai ntper enoi entneplot	|---⌫-|---⌫|---⌫--|-|---|
dedamedieuc equeil o t	-|-------|-⌫|--|-|-⌫|
ce quetu d iz	-|--|-|-⌫-|
feroieiemoultaenuis	-----|-|----||----|
anoient demon fouir	|-----|-|--|----|
otoim estuetuiureetmorir	|--||-----|----|-|----|
dieulirespontmoultsimplemen t	---|-|------|----|---------⌫|
ein cois l orrastoutau trement	---⌫---||----|---|--⌫------|
ainzquecoc	------|--|
chantehautne bas	-----|---|-|--|
yyfo iz tume renoieras	-|--⌫-|-|-|--------|
sainzpere respondiapres	----|---|-------|----|
c estech osenedites mes	-⌫---|--⌫--|-|----|--|
ie nelfer oiepourmorir	-|-||---⌫--|---|----|
deuou sneme puetnus partir	-|---⌫|-|-|---|--|-----|
pour angoissene	---|-------|-|
ne degue r pire u ostr eamor	-|-----⌫-⌫---|-⌫----⌫|---|
lia ut redientensemen t	-|-⌫--⌫-|----|-------⌫|
ne fuiro ient noie nt	-|-----⌫---|----⌫-|
orlessiezfe td i eus	-|------|--⌫|-⌫-⌫--|
au trecho seue il dema nder	--⌫--|---⌫-|--⌫-|----⌫---|
tantcommeiai	---|----||-|
ouousesté	|---|----|
sanzes cha rpe	---|--⌫---⌫--|
etnuz piezalé	-|--|---|---|
et sanzsachet	-|---|-----|
et san z meson	-|---⌫|----|
nauezuouseu	|---|---|-|
t ozten s auonsasse z eu	-⌫-|---⌫|----|----⌫|-|
celia uoientrespondu	-|-|-⌫-----|-------|
oruousdire	-|---|---|
que u ousf eroiz	--|-⌫--|-⌫----|
glaiuechas cu n deuous prendro iz	-----|----⌫--⌫|-|---|-------⌫-|
et quinel asacot e uende	-|--|-|||-|---⌫|----|
etbo nlachat s is end esf e nde	-|--⌫||----|-⌫||-|-⌫---⌫-⌫--|
ilecenontyy aportez	---|-|--|-|------|
sirefo nt il yyenauez	---|--⌫-|-|-|-|---|
bienacerezetbien aguz	---|-----|-|---|---|
bie ntranchan zetbienesmoluz	---⌫|--------⌫|-|---|------|
oreniadistila ssez	-|-|||---|-|-⌫---|
limie namio rm	-|---⌫|--|-⌫||
alezdeci pa ssez celpont	---|-|-|--⌫---|--|---|
tuiten sam blep assezsen sont	---|--⌫---⌫--|-⌫----||-|---|
f orsiudas quise n erte mblez	-⌫--|----|--||-⌫|--|-⌫----|
ne sai ouil es toitalez	-|--|-|-|--⌫---|---|
uenuen so ntenunuergier	---|-|--⌫-|-|-|------|
ouestoientlioliuier	-|-------|-|------|
mo ntoliuetotnomlileus	--⌫-|-----|-|--|-|---|
dieusi aloit souuenttoz	----||----|------|--|
orsontilec	-|---|---|
toz assemblez	--|--------|
freresdist i lciuousestez	-----|---|-⌫|-|---|----|
nedormezpa saincoisuueillez	-|-----|--⌫|------|-------|
mercicriezde uozpe chiez	----|----|-|--|--⌫----|
queuousna iez t e mptation	--|---||-⌫--|-⌫-⌫-------|
cogitation	---------|
quant i ssileurotser monné	----|-⌫--|---|-|---⌫-----|
unp ou loingdeussenestalé	-|-⌫-|----||--||-|--|---|
oso ie nayy d eus	|--⌫|-⌫||-||--|
ceus q ui liere ntpluspriuez	---|-⌫-|-|---⌫-|---|-----|
liunsdeceus	-|--|-|---|
o tnomsain tperes	-⌫|--|----⌫|----|
sa int iaque s	--⌫--|-----⌫|
etsainti ehanses f reres	-|----|-⌫---|--|-⌫----|
o r fistgr a ntsenblantd e dolor	-⌫|---|--⌫-⌫-|-------|-⌫|----|
t ristesdeu in t	-⌫-----|---⌫--⌫|
etplainsde plor	-|-----|-|---|
freresdist	-----|---|
dieus iusqu	----|----|
estm ametris te sanz	--||--|----⌫-|---|
tenezu ous o m oide do rmir	----|-⌫--||-⌫-|-|--⌫---|
macharapaor	-|---||---|
