formCi comence liseconz	---|-|------|-|-----|
q ui est fez de ceamonest e	-⌫-|--|--|-|-|-------⌫|
eleiu g ecoumande.	|-|--⌫-⌫|-------||
Lem pe re reAli xan dreditCeus qui ueul e nt de m ande r	|--⌫--⌫--⌫-|---⌫---⌫--|--|---|--|----⌫-⌫-|--⌫-⌫----⌫|
doiuenta uoirlorp rueuescar i ln est	------|-⌫---|--|-⌫-----|--|-⌫||--|
miedro itner aisonq uel e urau ersaires oi ttenuà	--|---⌫-|-|-⌫----|-⌫-|-⌫-⌫-|--⌫------|-⌫--⌫|---|-|
mos trer ses chartre s	---⌫---|--|-------⌫|
que celuiqui	--|----|--|
dem andeenpuisseproue r s	---⌫---|-|-----|-----⌫||
entenc ioncarsec ilqui	------⌫--|--|-|-⌫-|--|
demande neprueuecilquidesfen tdoit	------|-|-----|--|--|------⌫|---|
estre assous.	----|-----||
Cist meismesempereres ditIlnes tmienouele chose	---|------|--------|--|-||--⌫|--|-----|----|
queceluiacuil endemande	--|----||--||-|------|
argentseilueutpro uer	-----|-|-|---|---⌫--|
paieme ntouau t rechose	------⌫-|-|--⌫-⌫-|----|
parqu il s epuisse desfendre	--|-|-|-⌫|-----|--------|
demandequeli	------|--|-|
creancier mostre	--------|-----|
sesescrizpa rque il prueue	--|-----|--⌫|--|-|-----|
cequeildit.	-|--|-|--||
Ci st meismesempereresd itàunhom e	--⌫-|------|--------|-⌫-|-|-|---⌫|
quilideman daseilauoit pleto	--|-|-----⌫-|-|-|----|---||
le procureordes chosesdelEmpireseles	-|--------|--|-----|-||-----|-|--|
escrizquicelprocuraor auoitli seroient	-----|--|--|--------|----|-|-------|
mo stré àprouercomentil	--⌫----|-|-----|-----|-|
l auo itpaiéLes	|---⌫-|----|--|
in strumenz quisontco umu nelànost reprocu reor et à	--⌫-------|--|---|--⌫---⌫--|-|----⌫-|-----⌫---|-|-|
toi te serontmostréfet	--|-|-----|------|--|
liempereresà fere les trancrir e sel onc q uile st	-|--------|-|---|--|--------⌫|---⌫--|-⌫|-|-⌫-|
chose costumee.	----|-------||
Ets ea ucune foizenasmes tier	-|-⌫|-⌫----|---|-|-|---⌫---|
àpr ouerta peticionpar	-|--⌫---|-|-------|--|
deuant autreiugeilcomanderaque	-----|----|---|-|--------|--|
tesoient mo stré –ceestle procuratordenoz	-|-----|--⌫----||-|--|-|---------|-|--|
cho sespriuee s–cequeleiuge	---⌫--|------⌫||-|--|-|---|
coumandera qu el e sprin c ipausinst rum enzte	---------|--⌫|-⌫-⌫|----⌫-⌫----|----⌫---⌫--|-|
soient mostrez	-----|------|
nemielestrancrizca r parlestr ancrizne	-|--|--|-------|--⌫|--|--|--⌫-----|-|
proueroiesriens.	---------|----||
Etce meis mes dit	-|-|----⌫--|--|
laut antique qu iestci segniee quid it	|---⌫------|--⌫|--|-|------|--|-⌫-|
Seau cunfetman cione n unechartrequil mostre	-|--⌫--|--|---⌫---|-⌫|--|------|-|-|-----|
eniugemen td	-|-------⌫||
autrec hartre	----|-⌫-----|
ilnepour ariensproue r pa rcelechar trequil	-|-|----⌫|----|-----⌫|--⌫|---|----⌫--|-|-|
mos tre se iln emostre l aut rechartredomce le	---⌫--|-|-|-⌫|-----||---⌫-|------|--|--⌫-|
ilmostre ou para utre m aniere	-|-----|-|--|-⌫---|-⌫-----|
prueue ce q	-----|-||
il demande.	-|------||
Cist meimesemper eresd itCe quelemp erere Antonin	---|-----|-----⌫---|-⌫-|-|--||---⌫----|------|
monper edi t	--|---⌫|--⌫|
en laprumiereloidecest titreeten	-|-|-------|--|-|---|----|-|-|
laquarteloietc eq ue	-|-----|--|-|-⌫|-⌫-|
iedis enlaca rte loidec esttitre	-|--|-|-|--⌫--|--|-|-⌫--|----|
sacordeor a ison	|-----||-⌫-⌫---|
dedroitet de equitécar	-|----|-|-|------|--|
n esontmiemoutdiu er s oudesa cordablesli	-⌫|---|--|---|---⌫--⌫|-|----⌫--------|-|
unsà l autrecar	--|-||----|--|
i lestgrantd if eran cesecel ui qui	-⌫|--|----|-⌫--⌫----⌫-|-|---⌫-|--|
demandeueut	------|---|
q ue celuiqui desfentlim ostreses instr um enz	-⌫-|----|--|------|-|-⌫----|--|-----⌫--⌫--|
àprou er sademande –	-|----⌫-|-|------||
etcedesfent li empereres Anton i nenlapru miere loi	-|-|------|-|--------|-----⌫-⌫|-|-|---⌫----|--|
etenlaquarteetc eque	-|-|-|-----|-|-⌫|--|
nosdi sons en l a quinte loique cel uiquidesfent	--|--⌫---|-|-⌫|-----|--|--|---⌫-|--|------|
pu et des irrierquecelui qui dem andemos tre s esescr iz	--⌫-|---⌫-----|--|----|--|---⌫---|---⌫--|-⌫-|----⌫-|
parqu ei lpuisseprouerpaiementouautr echo se	--|--⌫|-⌫|-----|-----|-------|-|----⌫|---⌫-|
mei smespouonsentendrequecesteloi	---⌫---|-----|-------|--|----|--|
fetdiferance entrei n strume nzqui	--|--------|----|-⌫-⌫------⌫-|--|
aucunapropres –queceus	----||------||--|---|
nes ttenuz de mostrer à	|--⌫|----|-|------|-|
sonauersairese	--|--------|-|
nestcelui quidemandeàcelu iqui	|--|----|--|------|-|----⌫|--|
desfent–et	------||-|
autresreso ns quisontcomunes quecelespuetde mander	-----|----⌫-|--|---|------|--|----|---|--⌫-----|
autrec o mesuen instrument.	----|-⌫-⌫-|---|---------||
Ci monstre comente nd oit feresemondre.	-|------|-----|-⌫|-⌫--|---|-------||
Ciuie n t unt itre	-|---⌫-⌫|-|-⌫---|
quidit q uecelui quiueu tdeman deraucune	--|--|-⌫-|----|--|---⌫|-----⌫--|-----|
chose pariuise doi tsonauersairesemond re ceestuochier	----|--|----|---⌫|--|--------|------⌫-|-|--|------|
ceest fereuenirpardeuantle	-|--|---|----|--|-----|-|
iugepourpl e dier àlui	---|---|--⌫-⌫---|-|--|
E tsontaucunespe rson e s qui nepueent uochierautresen	-⌫|---|------|--⌫----⌫-⌫|--|-|-----|------|-----|-|
EtdeceditliempereresAlixandres	-|-|-|--|-|--------|---------|
Ilaui entà	-|---⌫--|-|
bones meurs quecel ui	----|----|--|---⌫-|
quiestoit serfetestfra nchizporte r euerance	--|-----|---|-|--|---⌫----|----|-⌫-------|
àlafame s onseg nor.	-|-|---|-⌫-|---⌫--||
Ausine lapoura semond reà	---|-|-|----|------⌫-|-|
en acongiéauantdeupretor.	-||------|----|--|-----||
Li emperere s	-|--------⌫|
Gordi enditCilqui	-----⌫-|--|--|--|
estfranchizdeseru itudeoùilestoit	--|-------|-|----⌫----|--|-|-----|
n e puetsemon dre à	-⌫|---|-----⌫--|-|
pletson patronqu ile	---|--|-----|--⌫|-|
franch iousa	------⌫|-|-|
pa trones e	--⌫----|-⌫|
el efufameneleur speres ne	--⌫|-|---|-|----⌫|----|-|
le urs meres	--⌫--|----|
àceu s q uiles	-|---⌫|-⌫-|--|
ontfranchin eleu rs	--|------|-⌫|---⌫-|
enfanz n elesoirsia soit ce	-----|-⌫|--|---|-|---|-|
que il soient	--|-|-----|
est rang es ne il	---⌫----⌫-|-|-|
quisontfranch iz ne leurenfanzlespourro nt clamer	--|---|------⌫-|-|---|-----|--|------⌫-|-----|
Neence stec hosene pardone	-|-|--⌫--|-⌫---|-|------|
lenàsimplicitéquar	|-|-|----------|---|
le droitdenatureueut	-|----|-|-----|---|
que lenportehonour à ces	--||-|----|-----|-|--|
pe rsones .	--⌫-----||
Orparolelenpere re àunqui	-|-----||------⌫-|-|-|--|
fuf ranchietpuisfistsemon d re le	-|-⌫-----|-|---|---|-----⌫-⌫-|-|
fu izsons egnor àplet.	--⌫-|--|-⌫----|-|---||
Siprioitque l e mpereor	-|-----|--||-⌫------|
lif istquiterla poinequeildeuo it pour	-|-⌫--|-----|-|----|--|-|----⌫-|---|
ceet ditlemper e reque	-|-|--||-----⌫-⌫-|--|
pour no ia nt demandepardo ndelapeinepar l estres	---|--⌫--⌫-|------|-----⌫|-|-|----|--|-⌫-----|
lemper eor .	|-----⌫--||
LiemperereDeo clecienre spontàune	-|-------|---⌫------|--⌫----|-|--|
fame quilidemandoit s ele p ouoitsemondre	---|--|-|--------||--|-⌫----|-------|
emperereSetu esfors	-------|-|-|-|---|
deupouoir ton peret ul epuezsemo ndrepar le	--|-----|--|---|-⌫|-⌫|---|----⌫---|--|-|
con giéd eui uge	---⌫---|-⌫-|-⌫--|
mes ceu squison tenpouoi rd eleurpere	--|---⌫|--|---⌫|-|-----⌫|-⌫|---|---|
n epueent ennule maniere ple diercontreuse tce	-⌫|-----|-|---|------|---⌫---|----|--|-⌫|-|
meismesdoitestreg ardéuersl a	------|---|----|-⌫----|---|-⌫|
Ciparoled esco uenancesqegen zfontentreaus .	-|-----|-⌫-|--⌫-------|-|---⌫|---|---|---||
Ciuientletitre qui paroledes	-|----|-|----|--|-----|--|
couenance set	---------⌫|-|
uientparraison aprésceldesus caril	----|--|-----|-----|--|----|--|-|
auientsouentquecex qui u ien entà plet font	-----|-----|--|--|--|-⌫---⌫--|-|---|---|
leur couena nces parquii l selessentde	---|------⌫---|--|--|-⌫|-|------|-|
Mespourc eleachoisonparole	--|---|-⌫--|-------|-----|
ce ltitregeneraum entde to utesl esc o u ena n ces.	--⌫|----|--------⌫--|-|--⌫---|-⌫-|-⌫-⌫-⌫---⌫-⌫--||
laprumiere lo ide ces t	-|-------|--⌫|-|---⌫|
tit re un telqua sUnpreudo me	---⌫-|-|--|---⌫|-|------⌫-|
Liu nsauoitn onFrontonetliautres Fili ns	-|-⌫-|----|-⌫-|------|-|-|-----|----⌫-|
Lep reudomefist s ontestament et fistses.	-|-⌫------|---|-⌫-|--------|-|---|--||
fuizoirsetpr iaàsonfui zFelinque	---|---|-|--⌫-|-|--|---⌫|----|--|
seilmo ure u s t sanzo ir quil	-|-|--⌫---⌫-⌫-⌫|---|-⌫-|-|-|
l essas tl ap artie	-⌫-----⌫|-⌫|-⌫----|
desonher itaieà son	-|--|---⌫----|-|--|
fre res ore nt entreustel co uuant que ce lui quide uoi t	---⌫--|---⌫-|---|--|--|--⌫----|--|--⌫--|--|--⌫---⌫|
rand r e sapartie	----⌫-⌫|-|-----|
deleritaie à	-||------|-|
lau tre donast	|--⌫--|-----|
tant ost la t ierce partieetfust quite	----⌫--|-|-⌫----|-----|-|---|----|
deu sorplus.	--|------||
Apréslonc	-----|---|
t ensF elin s	-⌫--|-⌫----⌫|
otunfuizet m ourut	-|-|---|-|-⌫----|
nemiesanzoir	-|--|---|--|
Cistfuizu int à l	---|---|-⌫--|-||
empe reord em ande rdroitcariluoloit	----⌫---|-⌫--⌫----⌫|----|--|-|-----|
recour erceq ueson pere auoi tdoné	------⌫-|-|-⌫-|--|---|----⌫|----|
a ̀sonfrere quineli	-⌫|--|----|--|-|-|
deuoitr iensd onerpour cequeso n	-----|-⌫---|-⌫---|----⌫-|--|--⌫|
pere nes toit miemorzsanzoir	---||--⌫---|--|---|---|--|
Et lempe re rerespontq u elacouuenancequifu	-||----⌫--⌫-|------|-⌫-⌫|-|---------|--|-|
freresne est miepour ceto rcenierequeFelin	-----|-|--|--|---|-|--⌫-------|--|----|
otenfantcarlachose	-|-----|--|-|----|
mie certei neseilenauroi tou nonet	--|------⌫-|-|-|-|-----⌫|-|--|-|
po urcequela cho se e stoitnoncerteine	--⌫---|--|-|---⌫-|-⌫----|--|-------|
etcele nonce rtenitélifuaquitee p ar la	-|---|--|--⌫-------|-|-|------|-⌫-|-|
couenance cel ecouenancefudroiturier e.	--------|---⌫|--------|-|----------⌫||
LiempereresSeuer ditIeauoie leri tache	-|--------|----|--|-|----||---⌫----|
sileuendi .	-|-|----||
Les craa ncier s mon peredeuoient àmoidem a n derlesdete s	--|----⌫-----⌫|--|---|-------|-|--|---⌫-⌫-⌫--|--|----⌫|
monpereca r	--|---|--⌫|
i est oieoir i asoitc e queieeusse	|---⌫--|--|-⌫|---|-⌫|--|-|----|
uenduleritachemes i l	----||-------|--|-⌫|
semo ndrentl esacheteors etc eus r eçu rentleursdemandes	----⌫-----|-⌫-|--------|-|-⌫--|-⌫----⌫---|----|-------|
qu i bie nsenpueent escuser.	--⌫|---⌫||-|-----|------||
Apréssiueulent demanderà mois e n	-----|-|------|-------|-|--||-⌫|
oiconseilà lempereoretil re spont	-|------|-||-------|-|-|--⌫----|
p uisde sfe ndreparexcessiondecouenance carilsenble	-⌫--|--⌫---⌫---|--|--------|-|--------|--|-|-----|
qui laien t fetcouantàmoiqueil	-|-⌫|----⌫|--|-----|-|--|--|-|
ne m edemander o ntriens.	-|-⌫|--------⌫-⌫-|----||
Cistm eismes empere r es ditLeserf auc reancier	---|-⌫-----|------⌫-⌫-|--|-|---|-|-⌫-------|
nepuetferelac on diccions on	-|---|---|-|-⌫--⌫------|-⌫-|
segnorp oiorparsa c ouenance	-----|-⌫---|--|-|-⌫-------|
se ilueutquiter	-|-|---|-----|
partie de ladeteoud onergregneu r	-----|-|-|---|-|-⌫---|-------⌫|
respitme s	-----|--⌫|
bie n lapuet	---⌫|-|---|
fe remeil leur.	--⌫-|----⌫---||
Ie demandoieuneterre etauoie meu	-|--------|--|----|-|----|--|
lepletaprés sirenonc ̧aiau	-|---|-----|-|------⌫--|-|
pletuoloie	---|-----|
retorner à mon p let	-------|-|--|-⌫--|
Lempe rere di tquei enepuiscefere.	|----⌫---|--⌫|--|-⌫|-|---|-|---||
Iedeuoie de niers àun	-|-----|--⌫----|-|-|
homesil enpaié une p artie de	---|-||-|----|--|-⌫----|-|
lautrepa rtieme quitapour ceque ie	|----|--⌫---|-|----|---|-|--|-|
liaida ià	-|----⌫|-|
ouli f isautresbeson g nes	-|-|-⌫-|-----|-----⌫-⌫--|
Iedo u toie que ne	-|--⌫-⌫---|--|-|
fussebi enaquite ́sidemandaicons eill	----|--⌫-|------⌫|-|-------|----⌫---|
a ̀lem pereoretil	-⌫||--⌫-----|-|-|
re spontque dela	--⌫----|--|-|-|
unepartie de	--|-----|-|
l a detesui qui tepar	-⌫|---|--|---⌫-|--|
droitder it ece est que	----||--⌫--⌫|-|--|--|
ia mésnemepue triensd e mand e ret de	--⌫---|-|-|---⌫|----|-⌫-⌫----⌫-⌫|-|-|
partiesui quite pa rdroitdeupretor	-----|--|----|--⌫|----|--|-----|
queil mep uetdem andermesie	--|-|-|-⌫--|---⌫----|--|-|
mepuisde sfendreparexc e s sio ndeu couantquil	-|---|--⌫------|--|---⌫-⌫-⌫---⌫|--|-----|-|-|
me fistcar seie leussepaiépar	-|---|--|-|-||----|----|--|
meserrance iep ouroi edemande r.	---------|-|-⌫-----⌫|-------⌫||
Cistmeismesempere resd itLes co u enance squis ont fetes contre	---|------|------⌫--|-⌫-|--|--⌫-⌫------⌫|--|-⌫--|----|-----|
loioucontre	--|-|-----|
lescons tituci onsoucontrebonescoutumesn edoiuentauoirnule	--|----⌫------⌫--|-|-----|----|-------|-⌫|------|----|---|
Ieauoieundeteurqui mede uoit argent.	-|----|-|-----|--|-|--⌫---|-----||
Ilmefist sonoi r.	-|-|---|--|--⌫||
Seieprisso n heri taiela d emandeque i auoi e	-|-|---|--⌫|----⌫---|-|-⌫-----|--||----⌫|
contreluiest confondue car ie	-----|--|--|--------|--|-|
ne puis demanderà	-|---|-------|-|
Mes p osomqueu nsu encousinm ep ledase ur ce l	--|-⌫---|--|-⌫|--⌫-|-----|-⌫|-⌫---|--⌫-|--⌫|
eritaie etie	------|-|-|
leuei nqui	-|---⌫---|
parsen tence .	--|---⌫----||
lirandil eritachepar tel couant quil paiast	-|----||-------|--|--|-----|-|-|-----|
toutes lesdetes deu	-----|--|----|--|
mortet cequ el e mortme	---|-|-|--⌫|-⌫|---|-|
Lie mperer esditquecesteco uenancedoit estregardeeet	-|-⌫------⌫-|--|--|----|--⌫------|---|----|-----|-|
s eilnelaueut ga rdergele puis	-⌫|-|-|-|---|--⌫---|-|-|---|
ple diercontreune accio nqu ianonexstipulatu	---⌫---|-----|--|-----⌫|--⌫||--|-|--------|
s eie mi ssti pula cionen lacouenan ce.	-⌫|-|--⌫|---⌫----⌫---|-|-|-------⌫-||
Unshuemauoitberbiz silesbai llaàgarder	--|---|----|-----|-|--|---⌫--|-|-----|
à moitiéàunpastorquiauoit	-|------|-|-|-----|--|----|
nonApolinaire	--|---------|
CestApolinaireneuouloitob eiràtel co uan t.	---|---------|-|------|--⌫--|-|--|--⌫---⌫||
L iempereredi tquilen doitestre	-⌫|-------|--⌫|-|-|-|---|----|
contrein tparleuiuge	--------⌫|--|--|---|
Ie auoiemame requip l edoita ̀	-|----|-|--⌫-|--|-⌫-⌫----|-⌫|
pourcequil	-----|-|-|
reten oitsesse rs.	-----⌫--|--|--⌫-||
Ma mereue inquileplet	-|---|--⌫----|-|---|
etcelqu ideuoit randre à	-|--|--⌫|-----|-----|-|
m ameresessers	-⌫|---|--|---|
silengign aqu eleli	-||------⌫|-|--|-|
promi stque iame ́sriensne	-----⌫-|--|----⌫-|----|-|
lidemanderoit.	-|----------||
Liempereres	-|--------|
ditqu e cestecouenanceestf etepa rengin et à	--|--⌫|----|--------|--|-⌫--|--⌫|----|-|-|
male foie t	---|--|-⌫|
p ourceriensneualt .	-⌫--|-|----|-|---||
Et setameredemandese s sers et	-|-|-|---|------|--⌫|---|-|
ce lui demande la poineq ui	--⌫--|------|-|----|-⌫-|
lifuesp oir	-|-|---⌫--|
promi se se lacouenancene f ustg a rdee le	-----⌫-|-|-|--------|-|-⌫--|-⌫-⌫---|-|
iugel adeli uerra .	---|-⌫|----⌫----||
Iemariai unef ameque i eauoi enourieen	-|-----|--|-⌫--|--|-⌫|----⌫|-----|-|
mono stel.	--|-⌫---||
Silidon ai.	-|-|---⌫-||
liuresen doua ire.	-----|-|----⌫--||
Sifiscouantque	-|--|-----|--|
selemoureustquel e douairemefustrandu	|--|-------|--|-⌫|------|-|---|----|
Ie demantled ouair elen meditencontr e	-|-----|-|-⌫-----⌫||-|-|--|-------⌫|
que ie naidro itde de mand er que laco uenance	--|-||-|---⌫-|-|--⌫----⌫-|--|-|--⌫------|
dece lecouenanceneneist	-|--⌫-|--------|-|----|
Lem perered itquecesteco uenanc e ne fu mienue	|--⌫-----|-⌫-|--|----|--⌫------⌫|-|-|--|--|
car i épaié largent	--||-|----||-----|
quantie fislacouenanc e et	----|-|--|-|--------⌫|-|
pource bien pui sdemander mes	---|-|---|---⌫|-------|--|
lors neneistaccionde lacouenance quantele	---|-|----|-----|-|-|--------|----|--|
est nuesanznul uestement.	--|--|---|--|--------||
Mesperes auoit	--|----|----|
u ne famequiesto itmamarastr e.	-⌫-|---|--|----⌫-|-|-------⌫||
Celemarra s tre	---|-----⌫-⌫--|
s idon aen	-⌫|---⌫|-|
douaireàmonpere un chanpq uiestoit engagié	------|-|--|---|-|----|-⌫-|-----|-------|
àusu ri ers.	-|---⌫--⌫--||
Misperes fistcouantàmamarrastrequ	--|----|---|-----|-|-|--------|-|
elepaiastlesus ures de	--|-----|--|--⌫---|-|
celedeteetquelepreist	---|---|-|-|--|-----|
lesfruizde celchanp.	--|----|-|--|----||
Apré sl am ortmonpereieuouloiequ	-----⌫|-⌫|-⌫--|--|---|-|------|-|
elepaiastencoreles usu res	--|-----|-----|--|---⌫--|
emperere d it queienainu lea cc iondela	-------|-⌫-|--|-||-|--⌫-|-⌫--⌫--|-|-|
coue nance quemon	----⌫----|--|--|
perefistiasoit cequ il i euststipulac ion	---|---|-|---|-|-|-||---|--------⌫--|
messelecha np	--|-|-|---⌫-|
fudonépris iéen	-|----|----⌫--|-|
doua ireissi comlac hartesenb ledirecel	----⌫--|---|--|-|-⌫----|----⌫-|---|--|
p r isierfet que le champsoitacheté e t pourasd emande r	-⌫-⌫----|--|--|-|----|---|------|-⌫|-----|-⌫------⌫|
queà randre	--|-|-----|
c ou ientpar acc i ondac ha t	-⌫--⌫---|--|---⌫-⌫-||--⌫--⌫|
Nos deuonssau o ir que les	--|-----|---⌫-⌫-|--|--|
darianesc o uenancesdoiu ent	-------|-⌫-⌫-------|----⌫--|
estrega rdees .	----|--⌫----||
Poso md onques un telquasUnshu em	----⌫|-⌫-----|-|--|---|--|--⌫-|
mede uoit denie rs.	-|--⌫---|-----⌫-||
Ie fis couan tàli quer iens	-|--|-----⌫|-|-|--|-⌫---|
demandasse .	---------||
A pré sunior il	-⌫----⌫|-|--|-|
mefistcouantque	-|---|-----|--|
se ielidemandassema detequil ne	-|-|-|---------|-|---|-|-|-|
se desfend roi tpa rrai so n del ac ouenanceque ie	-|-------⌫---⌫|--⌫|---⌫--⌫|-|-⌫|-⌫-------|--|-|
liau o iefetee tcefufet	-|--⌫-⌫-|---|-⌫|-|-|--|
pardeuantl e i uge .	--|-----|-⌫|-⌫--||
Certesditl empererequese ieretorneà ma	-----|--||-------|--|-|-|------|-|-|
pru mieredem and eetilse	---⌫----|---⌫---⌫|-|-|-|
ueltdesfendrepar le cou a nt	---|--------|--|-|---⌫-⌫-|
que ie li f is ne	--|-|-|-⌫-|-|
liuau drar iens .	-|---⌫--|-⌫---||
I l i aun smarch iez quiso nt	-⌫|||--⌫|-----⌫--|--|--⌫-|
apelezdebonefoiaut res de	-----|-|---|--|---⌫--|-|
droite stroi t.	----|-⌫-----⌫||
Esmarchiez q ui sontd e	-|-------|-⌫-|---|-⌫|
bonefoiseaucu necouenance i ui entenm eis mes	---|--|-|----⌫-|--------||--⌫--|-|-⌫---⌫--|
lemarch iéoue rraumentaua ntou aprésc eleco uenance	-|-----⌫--|-|-⌫-------|---⌫-|-|-----|-⌫--|--⌫------|
enge ndreacc ion mess enprésl emarchiégr antpi eceo u	----⌫---|---⌫--|--||------|-⌫|-------|--⌫--|--⌫--|-⌫|
auantcelecouenanceneualt à	----|---|--------|-|---|-|
doneracc ionmesseulementexcession .	----|---⌫--|--|--------|--------||
CeleloimettelcasIl	---|--|--|--|--|-|
estcouantauectoiquetu m escriroie sunliure	--|-----|---|--|--|-||---------⌫|-|----|
Aprésfeismest elcouantq uesetucistliu res	-----|------|-⌫-|-----|-⌫-|-|-|---|---⌫--|
nemeussesesc rit	-||-----|---⌫--|
entreci e tPas quesquetumedouraies .	----|-|-⌫|---⌫---|--|-|-|-------||
l iures parnon	-⌫----|--|--|
de pein e .	-|----⌫||
Ence stecouenance fu fetestipulacion.	-|--⌫--|--------|-|---|----------||
Tunefeisle l iure	-|-|---|-|-⌫---|
sicontu meusencouant	-|--|-||--|-|-----|
Or ueugepledier	-|--|-|------|
c ontretoisi demant à le mpereorqueiepourai	-⌫----|--|-|-----|-||-⌫------|--|-|-----|
consiureetlemper ered it	-------|-||-----⌫--|-⌫-|
queiep uisdemander par	--|-|-⌫--|-------|--|
stipulatuouquetufacesceque meusen	--------|-|--|-|----|-|--||--|-|
couantoup uisdemand er l a p eineque	-----|-|-⌫--|------⌫-|-⌫|-⌫---|--|
parstipulacion.	--|----------||
Iede m andoiequelesbiensdemona uersaireme	-|--⌫-⌫-----|--|--|----|-|--|-⌫-------|-|
fussentiugié.	------|-----||
Cenedoiz tu demandersanz or dre	-|-|---|-|-------|---|--⌫--|
Uns preudo n sauo itun fui z	--|------⌫-⌫|---⌫-|-|---⌫|
fille ma riasaf i lleetlido na	----|--⌫--|-|-⌫-⌫--|-|-|--⌫-|
so ndouaire et fi s tcouan tà sa filleet à	--⌫|------|-|--⌫-⌫|-----⌫|-|-|----|-|-|
so ngend requesafil leauro itla	--⌫|----⌫-|--|-|---⌫-|----⌫-|-|
moit iéde soneritache	----⌫--|-|--|-------|
quantilmour oitoutr e sondouair e .	----|-|----⌫--|----⌫|--|------⌫||
Lepereuoloi taprés fere suen	-|---|-----⌫|-----|---|---|
testame ntàsauo l enté.	-------⌫-|-|-|--⌫-⌫----||
Demandéfuà	-------|-|-|
l empere orsele pere	|------⌫-|-|-|---|
pooit c efereetdit	----|-⌫|---|-|--|
l em perere	|--⌫-----|
que celecouenance ne	--|---|--------|-|
