entre normendieet bre taigne	----|--------|-|---⌫-----|
aicurede t e lharn oi s	-|---|-|-⌫-⌫|----⌫--⌫|
maisuous plourésetie rirai	---|---|-------|-|-|----|
ke iac ertes n	-|-|-⌫----||
ipl o uerai	|--⌫-⌫----|
sirefont il couest la	---|---|-|--|--|-|
encelbos a un moutsainth om e	-|--|--||-|---|----|-⌫--⌫|
oules gens	-|--|---|
seu ontco nf esser	-|-⌫--|--⌫--⌫----|
qu ideleurmals uoellent	--⌫|-|---|---|-------|
alonsse nosiconfesso n s	----|-|--||--------⌫-⌫|
et no smalissesdela issons	-|--⌫|-------|----⌫-----|
onn e doitpas t o ustans	-|-⌫|---|--|-⌫-⌫-|---|
m al faire	-⌫-|----|
ains se doitonad ieuretraire	---|-|---|-||-⌫--|-------|
confe sser faitil cent	-----⌫---|---|-|---|
entenrai ioudechouen fa b le	-------|--|-|---|-|--⌫-⌫-|
m aldeh aitquipor	-⌫-|---⌫--|--|--|
c ho ui ra	-⌫--⌫|-⌫-|
nequisespiesiportera	-|--|--|---||------|
maissilauoitauquesa	---||-|----|-----||
i iroie bienporlui aerdre	|----|---|--|--|-----|
carautrem entn	--|------⌫--||
ir aiiou mie	--⌫-|--|--|
s iferésuiausparc ompai gnie	-⌫|-----|----|--|-⌫-----⌫---|
sirefont il	---|---|-|
iuenr ésuous	|----⌫--|---|
faite scestebontepor	-----⌫|----|----|--|
faitil ir a iioubien	---|-|--⌫-⌫|--|---|
keia p ordieun eferairien	-|-|-⌫-|---|-⌫|----|---|
uo s tr ecompa i gnie m imaine	--⌫-⌫--⌫|-----⌫-⌫---|||----|
amain e moncheual	-----⌫|--|-----|
sira iauoeccespapelars	|---⌫|----|--|-------|
miex amer oi edeusma rlars	---|----⌫--⌫|---|--⌫----|
uoiredeusbien petism oiss ons	----|---|---|----|-⌫----⌫--|
ket oute s leurconfessi ons	-|-⌫----⌫|---|--------⌫--|
maiskeii uoisporaustruffer	---|-|||---|--|--|------|
quantilsero nt fait	----|-|----⌫-|---|
sironsreuber par	|----|-----|--|
mainte part	-----|---|
conf essionsregn art	----⌫------|----⌫--|
kilfistent re	|-|---|---⌫-|
lescouff le	|-------⌫-|
telsconfesse ch iet au ns ouffle	---|-------|--⌫--||-⌫|-⌫-----|
sirefont il or mo nt ésdo nq ues	---|---|-|-|--⌫--⌫--|--⌫--⌫--|
keciexdie xkine	-|---|---⌫|-|-|
ment ionques	----⌫|-----|
fa c e deuou ss auolente	--⌫-⌫|-|---⌫|-⌫|------|
etuousd oinst	-|---|-⌫----|
u raiehumilite	-⌫---|-------|
par foifai ti liace	--|--|---⌫|-⌫|-|-|
quepointdumilit e smeuiegn e	--|----||------⌫-⌫|-|-----⌫|
nequ e iou deboina ires	-|--⌫|--|-------⌫---|
keiamaiscremusn es er oie	-|-|---|-----|-⌫|-⌫--⌫--|
atantsesontauoiemis	----|-|---||---|--|
ci lencuifu li	--⌫|-|--|-|-|
uaderriere aus tr estoutcantant	-|-------|--|--⌫-----|------|
etc iluontdeuant lui plourant	-|-⌫-|---|-----|--|-------|
si homeuonttout deuantlui	-|---|---|---|-----|--|
i l ne leurfaitforsdire	-⌫|-|---|---|---|---|
forsramprosnerpinchieret poindre	---|---------|-------|-|------|
etcila usi com porluioindre	-|--|-⌫--|--|--|--|-----|
d ientadessa	-⌫---|---|-|
t a ntuontle	-⌫-⌫-|---|-|
d r o itchemin a nté	-⌫-⌫-⌫-|-----|-⌫---|
kilsontuenusans nularest	|-|---|---|---|--|----|
alhermitageen	||--------|-|
laiense ntrere nt cest la	-----|-⌫------⌫-||--|-|
elmoust iertroeuent lesaint h ome	-|-----⌫--|-------|-|----|-⌫--|
etleur sir ee strem es	-|---|---⌫|-⌫-|---⌫-|
quimout es toitcru eusetfors	--|---|--⌫---|---⌫--|-|---|
etfeletfierset plu s	-|--|-|----|-|---⌫|
keciensderués	-|----|------|
n eleuswarous	-⌫|---|-----|
se spies r esgar defiere ment	--⌫|---|-⌫-----⌫-|-----⌫---|
s i serafice	-⌫|-|-----|
sire fontil	---|---|-|
cardescendés	--|---------|
u enésensseuousa mandés	-⌫----|--|-|---|-⌫------|
siprierés ui ausdie umer chi	-|-------|--⌫--|---⌫|---⌫--|
memo uueraide chi	-|--⌫-----|-|--|
faitilpor coilipr ierai	---|-|--|--|-|--⌫----|
porluiri ens neferai	--|--|--⌫--|-|----|
maisesploit i é s tost uostreafai re	---|-------⌫-⌫--⌫|---|-----|----⌫-|
carladedensnaiieque faire	--|-|-----||-|-|--|----|
bien uo ique c e stedemouree	---|--⌫|--|-⌫-⌫--|-------|
metaurrato ute ma	-|-----|--⌫--|-|
or oirrentfo rtlipeler in	-|------|--⌫-|-|-----⌫-|
e tmarchea nt parlechem in	-⌫|-------⌫-|--|-|----⌫-|
qu ei oudeusc ederrochier	--⌫|-⌫-|-----⌫|---------|
orsenironts ans	-||-|----|-⌫--|
en combrier	--⌫-------|
simaitdiexcepo ise mi	-||--|---|-|--⌫--|-|
iamaisse miex	|------|---|
par saintr emi	--|----|-⌫--|
uousnefuisciésia maisco nfe s	---|-|--------|-|---|--⌫---⌫|
enalaiscent si empes	-|--------|-|-|--|
ciluoie n t b ienn enfera	--|----⌫-⌫|-⌫--||-|---|
elmoustieru ont d eu antl	-|-------|-⌫--|-⌫--⌫--||
siparlerentau sainthe rmite	-|--------|-|----|--⌫----|
c ascu nsasaparoled ite	-⌫----⌫-||-|-----|-⌫--|
au plustresbeleme nt qu	-|---|---|------⌫-|-|
eta u plustres brie me ntq uil sot	-|-⌫|---|---|----⌫--⌫-|-⌫|-|--|
i lles assautmouthumlement	-⌫|--|-----|---|--------|
maisqu ece fu	---|--⌫|-|-|
p aruncouuent	-⌫-|-|------|
que tous ioursma i s	--|---|----|--⌫-⌫|
sega rdero nt	-|--⌫-----⌫-|
de ma l issequanquilporo nt	-|--⌫-⌫---|-----|-|----⌫-|
otroie nthumlement	------⌫-|--------|
apres li dis ent	----|-|---⌫--|
bo inement	--⌫------|
m aistresn o sireest ci deuant	-⌫------|-⌫|---|--|-|-----|
por dieu car la pel ésauant	--|---|--||-⌫---⌫--|----|
neueutpor riensuenir	-|---|--|----|----|
se poroita uenir	-|-----|-⌫----|
iuenr oitporuopriere	|----⌫--|--|-|-----|
uom aniere	-|-⌫-----|
quita n tporoit direnefa ire	--|--⌫-⌫|-----|---|-|--⌫--|
kill epeust	|-|-⌫|----|
a bienatraire	|---|------|
i laroit fai tb oineiournee	-⌫|----|---⌫|-⌫---|------|
main a laiornee	---|||------|
uoloitil char	-----|-|---|
ilnousatentchi ence stporce	-|---|----|--|-|--⌫-|----|
ma isil ni ueu tuenir	--⌫-|-|||---⌫|----|
oriue r raiecuitporuous	-||--⌫-⌫-|-|---|--|---|
certessigneurfait	-----|------|---|
ieme nuoel bienmetre a	-||-⌫|---|---|----||
uoismout re douta nt	---|---|--⌫-----⌫-|
atantenuatout apoi ant	|---|-|-|---|----⌫--|
lifebles hom	-|-----|--|
al s igneur dist amou tbas	-|-⌫-----|---||---⌫|--|
sire bien s oiiésuousuenus	---|---|-⌫-----|---|----|
on do ithuimetretousmals	-|--⌫-|--|----|---|---|
etrepentiretc onfesser	-|-------|-|-⌫-------|
etdouc ementa	-|----⌫----||
dieupenser	---|-----|
sipe nsés bien quiuou sdesfent	||--⌫----|---|--|---⌫|------|
car ie n ip en serainient	--|-|||-⌫--⌫----|----|
l iboins hom	-⌫|----|--|
nen otpo intdire	|-|-|--⌫--||--|
moutdouce m ent lipristadir e	---|-----⌫-⌫--|-|----||---⌫|
c ar descendé sbiaus sire	-⌫-|---------⌫|----|---|
puisque u ous	------|-⌫--|
estesch eualiers	----|--⌫-------|
uousdeuésauoir gentil	---|-----|----|-----|
ie sui pr estr es si	-|--|--⌫----⌫-|-|
uous requier	---|------|
porcelu iquipo r n oussoffr i	--|----⌫|--|--⌫|-⌫--||----⌫|
mortsouffri	---|------|
keuous parl é s un	-|---|----⌫--⌫|-|
parle r dyable iou	-----⌫|-----|--|
q u a ués uou s amoi aparti r	-⌫|-⌫---|---⌫||--||-----⌫|
iesuilegiers adepar ti r	-|--|------||-----⌫--⌫|
deuost remaison	-|----⌫-|-----|
miexameroi euncr asoison	---|------⌫|-|--⌫-|----|
sirefaitilcecroiie	---|---|-|-|---|-|
or nefa itesdontp ormoi rie n	-|-|--⌫---|---|-⌫-|--|---⌫|
forsque ta ntseulementpourdieu	---|--|--⌫-|--------|---|---|
or a e nuoustr o p	-||-⌫|---|--⌫-⌫|
fier plaidieu	---|-------|
sirese tqu ant	----|-⌫|--⌫--|
ian ife rai bienne p r oiiere	-|||--⌫--|---|-|-⌫-⌫-----|
neaumosneniorison	-|------|-|-----|
uou sue nrésfait il	---⌫|--⌫----|---|-|
etnoc apeleetn ocouu ent	-|-|-⌫----|-|-⌫|----⌫--|
iira i fait	|---⌫|---|
ilpartelcouuent	-|--|--|------|
aumo sne n	----⌫--||
nepatre nos treni	-|-----⌫---⌫--|||
sir efa i t i loriuené s	---⌫|--⌫-⌫|-⌫|-||-----⌫|
ne uoussiets ireuenés	-|---|---|-⌫|-------|
uousnecesseriésfait il	---|-|---------|---|-|
lorsde sce n tpar tres fin	---|--⌫---⌫-⌫|--|---|--|
ore ens faitil amaleioie	--|--|---|-||---|---|
fu st huiemprise	--⌫-|--|------|
c esteuoie	-⌫---|---|
malme leuai seiesi main	--|-|-----⌫-|-|-|---|
liboinshom	-|----|--|
lepristp arle	-|----|-⌫-|-|
moutdoucementauantl ape le	---|--------|----||---⌫-|
silen mena en sacapele	-||-|---|-|-|-----|
tan tqu i l uintdeuant sonau tel	---⌫|-|-⌫|---|-----|--|--⌫--|
sirefaitililnia e l	---|---|-|-||||-⌫|
orestesuou sen m apr is on	-|----|---⌫|-|-⌫|--⌫--⌫-|
neletené sam es prison	-|-|-----⌫||-⌫--⌫-----|
silamoi uouscouuien t	|-||--|---|-------⌫|
por tantm eferiés deco ler	--|---|-⌫|------|----⌫--|
ke uous i amaismescapiscie ́s	-|---|-⌫|---||----------⌫-|
por rienquefai repeusciés	--|---|--|---⌫-|--------|
si marésditeuostr euie	-||----|---|-----⌫|--|
c ilkifelest	-⌫-|-|--|--|
et pla in sd	-|---⌫--⌫||
lirespon tcertesn ouferai	-|------⌫|-----||-|----|
etporitantuousdesfer ai	-|--|----|---|------⌫-|
queiade moin orés nient	--|-|-|--||----|----|
la iscéma lerdeliurem ent	--⌫----||-⌫--|--------⌫--|
sirefaitilu o us niir é s	---|---|-|-⌫-⌫-|||--⌫--⌫|
maiss iluou spl aistu ous	---||-|---⌫|--⌫---|-⌫--|
etu ostre uie etuosp echies	-|-⌫----|--|-|--|-⌫-----|
dontuous es te ssientechiés	---|---|--⌫--⌫|-|---------|
ieuoelfaitil	-|---|---|-|
sauoiruostre	-----|-----|
nonferai uoirdis t	--|----|---|---⌫|
ildansp restre	-|---|-⌫-----|
iame couuinenesarés	-|-|------|-|-----|
ienes u ipa s si en iurés	-|-|-⌫-⌫|--⌫|-|--⌫-----|
que iedesisse rienspouru ous	--|-|------|----|---|-⌫--|
non mais pour	--|---|---|
dieulegl o rious	---|-|--⌫-⌫----|
esdites et	-|----|-|
iafai tilne m en	-|---⌫|-|-||-|
mam enas tes	|--⌫----⌫--|
pres u a queie	---|-⌫|--|-|
senseroitlisieclesdeli ures	|-|-----|-|------|----⌫---|
u uousestesu	|---|----||
sos uyures	--||----|
ki m on estre uolés	-|-⌫-|----|-----|
et encoreparestauoir	-|-----|--|-------|
me uolés faire a forche dire	-|-----|----||-----|---|
orestes uouscer tes tropsire	-|----|---|---⌫--|---|---|
quiparforcheme uol e ́sfaire	--|--|-----|-|---⌫-⌫-|----|
iehir cedontien ai	----|-|---|-||-|
sif ere ́sfaitil biaus amis	-|-⌫---⌫-|---|-|----|---|
quediex quienlac roi sfu m i s	--|---|--|-|-|-⌫---⌫|-|-⌫-⌫|
uousmecea ura ie	---|---||---⌫-|
penitanche	---------|
d oin stta nt	-⌫---⌫-|--⌫-|
de repentanche	-|----------|
keuousconis siésuos	-|---|-----⌫----|--|
i escouteraior commenchiés	|---------|-|-----------|
lors le regardel it irans	---|-|------|-⌫|-⌫----|
quifelest oitetmalquer ans	--|--|---⌫--|-|--|----⌫--|
lipreudom otpaourmoutfiere	-|------|-|----|---|----|
negardeleurequ	-|----||---|-|
i l lefiere	-⌫|-|----|
m aisilm et touten	-⌫--|-|-⌫-|---|-|
se lira maine l	-|-|--⌫----||
es criture	--⌫------|
et lidistmout tres d ouc ement	-|-|---|---|---|-⌫---⌫----|
dieu omnipotent	---|---------|
uiausunseulpechiet	----|-|---|------|
seuousa uié s	-|---|-⌫----⌫|
u ia uscommenchi ét	-⌫--⌫-|---------⌫--|
biens a i que d i ex uous aideroit	---|-⌫-⌫|--|-⌫-⌫-|---|-------|
aram ener u ouie a dr oit	|---⌫---|-⌫|--||--⌫--|
iauoir fait	-|---|---|
ilunnen orrés	-|-||-|-----|
s iferaiuo iruoirno nfe re ́s	-⌫|----|--⌫-|---|--⌫|--⌫--⌫-|
comments inemendirésrien	------|-⌫|-||-|-----|---|
etsineua urré sf aire bien	-|-|-|--⌫-----⌫|-⌫---|---|
tout c est du elmorrés	---|-⌫--|--⌫-|------|
ia moi pechie tdirenorrés	-|--|------⌫|---||-----|
si fe raiuoir qui quilanuit	-|--⌫--|---|--|-|-|----|
ainsi serés iusq ua l anuit	---||-----|----⌫||-⌫|---|
keie n esache aucune cose	-|-|-⌫|----|-----|---|
leparcl oze	-|-----⌫--|
ilest hui iours que die x s	-|--|--|----|--|---⌫||
et k epornouslemort souf fri	-|-⌫|--|---|-|---|----⌫--|
ieuousconiu r	-|---|-----⌫|
de celemort	-|---|---|
qu il a n emidestruit et	--⌫||-⌫-⌫--|-------|-|
desains de	-|----|-|
saint esdemartires	-----⌫-|-|-------|
queuosc uers	--|--|-⌫---|
ne soi tplusent ires	-|---⌫|---|---⌫---|
ains u os com mancdistli hermites	---|-⌫-|---⌫---|---|-|-------|
que uoust ousuospechies	--|---|-⌫--|--|------|
etsinalésplus atendant	-|-||----|---|-------|
ormemenésu ousbien tendant	-|-|-----|-⌫--|---|------|
fait lisiresqui	---|-|----|--|
tou sfupris	---⌫|-|---|
dontfumasetsi tressou spr is	---|-|--|-|-|---|---⌫---⌫-|
q u il endeuint trestous honteu s	-⌫|-|-|-----|-------|------⌫|
commentdya bleestes uousteus	------|---⌫--|----|---|---|
kepa rforcediremestuet	-|--⌫|----|---||-----|
puiscautrementestre nepuet	----|--------|----|-|---|
maugr esmennes les uosdir ai	-----⌫-|--|--|--|--|---⌫-|
maisia certes	---|-|-----|
plus n enferai	---||-|----|
lors li comm encepa r granti re	---|-|----⌫---|--⌫|----|-⌫-|
to ussespech ie saun e	--⌫-|--|----⌫--⌫||--⌫|
mot am ot tre st out	--||-⌫-|---⌫--⌫--|
queainsdemotn imesconta	--|---|-|--|||-------|
q uantileutse	-⌫---|-|--|-|
confessedite	-------|---|
seapel a lesaint	-|----⌫|-|----|
he rmi t e	--⌫---⌫-⌫|
conte ́tousmesfa is	-----⌫|---|--|--⌫-|
este suousorebienrefa is	----⌫|---|--|---|----⌫-|
orestes uosbi e nencraissie ́s	-|----|--|--⌫-⌫|----------⌫-|
iecuitiamaisne	-|---|-|---|-|
finissiés	---------|
seuscedittrestout a fait	|----|--|-------||---|
quanquesiouaielmon def ait	-------|--|-|-|---⌫-|-⌫--|
orai toutdi t etqu	-|-|---|--⌫|-|-|
lairém eu ouse m pai sencore	-----|-⌫|-⌫--|-⌫|---⌫|-----|
or m enp uis iou uiausbienaler	-||-|-⌫--|--|----|---|---|
iamais neruisauous parler	-|---|-|---||---|-----|
que iou aie	--|--|--|
u ousm aués	-⌫--||----|
san splai e	---⌫|----⌫|
quiparf or c e m	--|--|-⌫--⌫-⌫||
auésfa itdire	----|--⌫-|---|
li b oinshom not	-|-⌫---|--||-|
talent derire	-----|-|---|
ainsempleuremouttenrement	---|-|-----|---|--------|
pourchouquecilne	---|---|--|--|-|
s ire cou a ditlipreud on	-⌫--|--||--|-|-----⌫-|
uous auésbienditdusqu aso n	---|----|---|--|----||--⌫|
maisquecouest	---|--|--|--|
san srepentance	---⌫|---------|
soruolié s fairepenitan ce	|-|------⌫|----|-------⌫-|
sim ariés	-||-----|
auquesrap aié	-----|---⌫---|
ormaué sf aitcilbie n p aiié t	-||----⌫|-⌫--|--|---⌫|-⌫-----⌫|
quepenea ntm e uolé s faire	--|-----⌫-|-⌫|-----⌫|----|
ma ldehait	--⌫|-----|
aqu efair e	|--⌫|----⌫|
neq uiia ueutqueiele	-|-⌫-|-|---|--|-|-|
et se iefa i releuoloie	-|-|-|--⌫-⌫-|-|-----|
quelp enitance medouriés	---|-⌫-------|-|-------|
certesquele que uous	-----|----|--|---|
ditesl e do ntuo lentiers sire	----|-⌫|--⌫-|--⌫-------|---|
pourtousuos	---|---|--|
pec hies desconfire	---⌫---|---------|
uous iunerésunpoide tans	---|-------|-|--|-|---|
les ue nred is du squ ase tan s	--|--⌫----⌫-|--⌫--||--⌫|--⌫|
set ansfa it	--|--|--⌫-|
ilnon feraitrois	-|--|----|----|
nonu oirles uenred is	--|-⌫--|--|------⌫-|
taisié su ous ent rie ns	-------⌫|-⌫--|--|---⌫-|
cestcouque	|--|--|--|
faire nepo roi e	----|-|--⌫---⌫|
si alésdes c ausu nseul	-|----|---⌫-⌫--|-⌫|---|
nonferaipar saint abr e h an	--|----|--|----|---⌫-⌫-⌫-|
langessanschemise	-----|---|------|
ma char sseroit t antostremise	-|----⌫|-----|-⌫-----|-----|
ete stranleede	-|-⌫-------|-|
siprendés	-|-------|
une desepline	--|--------|
cascu n mat ind u ne uergel e	-----⌫|---⌫-||-⌫-|------⌫|
faiti lp esmenouele	---|-⌫|-⌫---|-----|
poroieceso u ffrir	-----|-|--⌫-⌫----|
nem ac ar rompre	-|-⌫|-⌫-|-----|
sialés faitilou tre mer	-|----|---|-|--⌫--|--|
cist mot fait ils o ntt ropamer	---|--|---|-|-⌫-⌫-|-⌫--|---|
taisié suous ent ceestwiseuse	-------⌫|---|--|-|--|------|
car lim ers es t tropperille use	--|-|-⌫--|--⌫|---|-------⌫--|
alésa r o meuasaint	----||-⌫-⌫-|||----|
pointfait il parmame	----|---|-|--||--|
s alés cascuniou rau mosti er	|----|-----|---⌫|-|-----⌫-|
siescouté sledieumestier	-|--------⌫|-|---|------|
sisoiiéstant agen il lons	-|------|---||---⌫--⌫---|
c aiiésdi tesdeusorisons	|-----|--⌫--|---|------|
lepatenost ree tlesalu	-|--------⌫-|-⌫|-|---|
diexuous d oinst salu	---|---|-⌫----|---|
trop iaroit	---||----|
fait i l g ra ntluit e	---|-⌫|-⌫--⌫-|----⌫|
tou scisafa iresriens n afruite	---⌫|--|---⌫---|----||------|
ca r cert es	--⌫|----⌫-|
ien enferai rie n	-||-|----|---⌫|
comment si neferés n u lb ien	------|-|-|-----|-⌫-⌫|-⌫--|
si dieuplaistetuous	-|---|-----|-|---|
anchois queuou s p artés	------|--|---⌫|-⌫-----|
ormefaitesseulemen t	-|-|-----|--------⌫|
pourl amo rdieu	---||---⌫|---|
l etout po iss ant	-⌫|---|--⌫---⌫--|
qu euous portésmen ba risel	--⌫|---|------|--|--⌫----|
desousacestruissel	-----||---|------|
enlefontainele	-|-|-------|-|
si nes er és mie ble c hiés	-|-|-⌫--⌫--|--|---⌫-⌫----|
plainlemapor té s	----|-||----⌫---⌫|
cuites soiiés etdeporté s	-----|------|-|--------⌫|
d epe chies et depenitance	-⌫|--⌫----|-|-|--------|
d ont u ousiamai s narésdoutance	-⌫--|-⌫--|-|---⌫||----|-------|
ainsprenctousuospech ie ssor	---|----|---|--|----⌫--⌫|--|
orauéspe nitanceamoi	-|----|--⌫------||--|
lisireslot dedesdaingrist	-|----||-|-|-------|---|
apresparlaet si lidist	----|----|-|-|-|---|
cinafait i lmie	-|||---|-⌫|--|
grantp aine	----|-⌫---|
sei e uois a celefo ntaine	-|-⌫|---||---|--⌫-----|
ceste penitance	----|--------|
ert tostfaite	--|---|----|
orchaf aitilque lk il mehaite	-|--|-⌫--|-|---⌫||-|-|----|
li preudomlebareilli	-|------|-|-----|-|
etcil ausic omlui	-|--|---|-⌫-|--|
ne n c a ille	|-⌫|-⌫-⌫---|
p ristle bar e ilmout uiu ement	-⌫---|-|---⌫-⌫-|---|---⌫----|
p orcfai tilpar t e lcouue nt	-⌫--|---⌫|-|--|-⌫-⌫|-----⌫-|
keierepos n	-|-|----||
iprende rai	|------⌫--|
desciqueplainle uousrendrai	----|--|----|-|---|------|
luouskerkeensi	|---|----|---|
atantsestalauoiemis	|---||--||-|---|--|
sihomeuaurrenta p resco rre	-|---|-------|-⌫-⌫--|--⌫--|
mais ilsensot	---|-||-|--|
mout bienres corre	---|---|---⌫----|
iauoi rfait	-|---⌫|---|
u e rr anus	-⌫-⌫--⌫|--|
al ef on tainees t to st uenu s	|-⌫|-⌫--⌫----|--⌫|--⌫-|----⌫|
lebare il t outde plaini bou t e	-|----⌫-|-⌫--|-|----||---⌫-⌫|
maisaincdedens n	---|---|-----||
enentra g oute	-|----|-⌫---|
etse l asaiedetous sens	-|-||----|-|---|---|
quil nisthorsde	-|-||--|---|-|
d ont commenchaaairer	-⌫--|--------||----|
et mortetp laiesa iurer	-|---|-|-⌫----||----|
dontcuidequillaitestoupé	---|----|-|-||--|-------|
adedensb oute ́	|-----|-⌫----⌫|
mais illetrueue	---|-|-|-----|
witpartout	--|--|---|
