O rentendéz	-⌫|--------|
Q ue enunmoslefurentandu i ouuré	-⌫-|-|-|----|-----|----⌫|-----|
demere soitnés	-|---|---|---|
plusgranten seüst deuiser	---|----|-|-----|------|
A milesfuen	-⌫----|-|-|
B erriaport éz	-⌫---|-----⌫--|
Auuergneautre te l	-------|-----⌫--⌫|
P uisnes e u irent	-⌫--|-|-⌫|-⌫----|
deuantquinzean spass éz	-----|-----|--⌫|----⌫--|
Tant queil furent d e nouuela doubé	---|--|-|-----|-⌫|-----|-⌫-----|
lautreoi ̈souuent	|----|--⌫|------|
Il sentresamble nt	-||-----------⌫-|
Et d elabouche etdo uuis etdou	-|-⌫|-|-----|-|--⌫|--|-|--|
Douche uauchier etdes armesporter	--|---⌫-------|-|--|----|-----|
p lusbiaxne	-⌫--|---|-|
puet o n de uiser	---|-⌫|--⌫----|
Dexl esfis t	--|-⌫-|---⌫|
parmiracle	--|------|
prinsarmesnouu elles	----|----|----⌫----|
Enice l iorag uerpie saterre	-|---⌫|--||-⌫-----|-|----|
mer eseror setdammo iselles	---⌫|-----⌫|-|-----⌫------|
fre r esa laissiéz en	---⌫-⌫-||--------|-|
Beorg es le	-----⌫-|-|
Amileque rre	----|---⌫--|
Iluecdem ande doucompaingnonnouuelles	----|---⌫---|--|----------|--------|
Maisiln entr euue mie	---|-||-|--⌫---|--|
Amis estuenusen	---|--|----|-|
uerdelai serandiu rais confés	-------|-|----|-⌫---|------|
Pui sremontaelbond estrierquiert f rés	---⌫|------|-|--|-⌫------|-|---|-⌫---|
Passaauant	----|----|
ligenti zprouzuaslé s	-|-----⌫|----|------⌫|
Bor g oingne senuaitliberapers	---⌫-⌫-----||-|---|-|--|----|
Mongieufum oultgransli	------|-|-⌫---|----|-|
Morti ers et	-----⌫--|-|
Chomi ne t	-----⌫|-⌫|
Trauesuint	-----|---|
E tua querrantdant	-⌫|-|-------|---|
Ami le bar on	--|-|---⌫-|
Che urol puietant que il uinten	---⌫---|---|---|--|-|---|-|
T antqueilui nta	-⌫--|--|-|--⌫-||
Borccondis tau pont	---||-|---⌫|-|---|
Laseharberge chié sun	-|-|-------|-----⌫|-|
oste felon	---|----|
Icellenui ti iu tl i g entizhom	-----|---⌫||--⌫|-⌫|-⌫----|--|
E taumatinsen uinten	-⌫|-|----||-|---|-|
Iluec dem andedeso n	----|---⌫---|-|--⌫|
bo ncompaingnon	--⌫|----------|
Mais ilnet reu ueescuier negarson	---|-|-|-⌫---⌫-|------|-|-----|
Ne cler c ne layqui len	-|----⌫|-|--|--||-|
die rais on	--|----⌫-|
Tornézsenesten	------||-|--|-|
Amispassele	---|----|-|
Gar ri g ant	---⌫--⌫-⌫--|
Pui l leet	---⌫-⌫-|-|
Sesilela auant	-----|-|----|
Sel onclamernot chastelen	---⌫--|-|--||-|------|-|
Ne borc ne uillen en ul	-|---|-|----|-⌫|-⌫-|
harb ergement	----⌫-------|
Queil niuoist	--|-|||----|
soncompaing n on querant	--|--------⌫-⌫-|------|
Amile sui ntde u ersor i ant	-----⌫|--⌫-|-|-⌫--|--⌫-⌫--|
Et sesco mpainsde uers	-|--|--⌫-----|-|---|
Ih erusalant	--⌫--------|
Puisretorneen	---|------|-|
Gascoingne	---------|
Seignorbaronun	------|----|-|
petitm e ntendéz	----||-⌫-------|
Amiledeuommezretorner	----|-------|-------|
Sisten la se lledou	---|-|-|--⌫--|--|
destrierse iorn é	-------|--⌫----⌫-|
Fistsai orneetouta	---|-|-⌫----|---||
sauolenté	-|-------|
Iln euol tpaslebondestrier	-|-⌫|---⌫|--|-|--|-------|
ali c u ensencontré	|-|-⌫-⌫--|--------|
uiex iertet blans	---|---|-|----|
con meflors	---⌫-|----|
Deuotr equi se tpar t erreet par m er	--|-|-⌫----⌫|-⌫|--|-⌫---|-|--|-⌫-|
Oumontnotli eun	-|---||-|--⌫-||
en lac restiente ́	-|-|-⌫---------⌫|
Ne bonmon stier ou	-|--|---⌫----|-|
Dexso it aouréz	--|--⌫-|------|
Queilnisoitne	--|-|||---|-|
uenuz nealéz	----|-|----|
Etlisienscorstraueilliéz etpen éz	-|-|----|---|-----------|-|---⌫--|
u oitlelicuensenha ut	-⌫--|-|-|----|-|--⌫-|
sestescriéz	|--|-------|
Pelerin sfrer ede	-------⌫|----⌫|-|
Deu soie ́z sauuéz	--|----⌫-|------|
En maintes terresié zu enu s	-|------|-----|---⌫|-⌫---⌫|
Parcellefoi que	--|----|--|--|
u eïztuhome	-⌫---|-|---|
quime puistresambler	--|-|----|--------|
Distli paumiers	---|-|-------|
Lai ssié zmoiporpanser	---⌫-----⌫|--|--------|
Oie dis til	--|---⌫|-|
ensuira menb réz	-|--|--⌫----⌫---|
Pasquesene sté	------|-|-⌫---|
Il natel uillee nla	-|||--|----|-⌫|-|
cres tient é	----⌫-----⌫-|
Deuant moiuintuns	-----|--|---|--|
F ranssi conraéz	-⌫---|-|-------|
Ami sa non si	---⌫||--|-|
Clermont nés	-------|---|
Amilebienadouz ans passéz	----|---||---|--|------|
F ran ce r eto rner	-⌫---⌫-|-⌫---⌫---|
Maisil ne nfin necha scun iordeparler	---|-||-⌫|---⌫-|---⌫---|--|-|-----|
cuensloitsi c onmenc ea	----||--|-|-⌫------⌫||
ui ntaupaumierqueléz lui	--⌫-|-|------|--|---|--|
T ro is foislibaise lementonetlenés	-⌫--⌫-|---|-|----|-|-----|-|-|---|
Pelerins frere	-------|----|
Dext e puisse sauuer	--|-⌫|-----|-----|
Le c ompaingn onque uozci menoméz	-|-⌫--------⌫-|--|--|-|-|-----|
Ien el ui onque s	-|-⌫-|-|-----⌫|
oï pa rler	--|--⌫---|
Quilmeresamble de	-|-|-|-------|-|
uen iretdaler	---⌫-|-||---|
D oucheuauchi ere tdesarmesporter	-⌫-|---------⌫-|-⌫|--|----|-----|
Maisporit antqu e uozen	---|--|--⌫--|--⌫|--|-|
uoz donra i ie	--|-----⌫|-|
cest anelnoelé	---|---|-----|
Ennulleterrenele saurézporter	-|----|----|-|-|------|-----|
Sel u ol éz	--|-⌫--⌫--|
uendr e nesoit bienachatéz	-----⌫|-|---|---|-------|
d argent se panrel e n	|-----|-|----||-⌫|
De uu o zp roiquien crois fu penéz	--⌫|-⌫-⌫|-⌫--|--|-|----|-|-----|
S en nulleu i llelepoïssi éztr ouuer	|-|----|-⌫-⌫--|-|-------⌫--|--⌫----|
Quecis chaitis poïst a lui parler	--|--|------|-----||--|-----|
onquesmais m oultlai desirré	-----|---|-⌫---||-|-------|
Neuozmouuézdecestchemin	-|--|------|-|---|-----|
Qui se torn euers	--|-|----⌫|---|
Amileslipre use t l i cortois	-----|-|---⌫-|-⌫|-⌫|------|
paumiersse depa rtdem anoi sLézuneroc hedelézun	-------|-|----⌫-|---⌫----⌫|---|--|---⌫-|-----|-|
b ru ieroisAencontré dant	-⌫--⌫-----||--------|---|
Ami lecortois	--|-|------|
Il l econnut	-|-⌫|-----|
sito st comilleuoi t	-|--⌫-|--|-|-|---⌫|
Moult b elemen tlipaumierslapelloit	----|-⌫------⌫|-|-------||-------|
Deu si remoult gransmerue ill es	--|--⌫-|----|----|-----⌫---⌫-|
Iermatinnetuoztrouuais i de st roit	--|-------|--|------|-⌫|--⌫--⌫---|
Doucompain gnon dontpar lastezamoi	--|-------⌫---|---|---⌫-----||--|
Tornézarrierelechem in quiest d rois	------|------|-|----⌫-|--|--|-⌫---|
De xnef azpasque cortois	--⌫|-|-⌫-|--|--|------|
Qu asseneru ozd eüsse	-|------|-⌫-|-⌫-----|
Amisf ucorto isetuail lans	---|-⌫|-----⌫-|-|----⌫---|
bient restoutaesciant	---|-⌫------||------|
Quecee st oit	--|-|-⌫--⌫--|
sescompainsliuaill ans	--|-------|-|-----⌫--|
Dont l ipaumiers liot ditle samblant	---|-⌫|-------|-|-|--|-|-------|
Ilpr instse scharp e	-|--⌫---||-⌫------⌫|
s i entraistdouz	-⌫|-|-----|---|
Et aupaumierlesdonna maintenant	-|-|------|--|----|---------|
Le destrier	-|-------|
hu rtedesesper ons	--⌫--|--|-----⌫--|
Siua ita préz	-|--⌫-|-⌫----|
Ami s licuens a esperons	---⌫|-|----||-------|
L ed estrie rhu r teet broche d erandon	-⌫|-⌫------⌫|--⌫-⌫-|-|-----|-⌫|-----|
galoslor s	----|---⌫|
se me teltroton	-|--⌫|-|-----|
Enmisau oieencon tra	---|-|-⌫--|-----⌫--|
Quigar doitbestesel chem i nla amont	--|---⌫---|-----|-|----⌫-⌫|-|----|
Porsetberbise taual et	---|-|-----|-⌫|---|-|
uoitle li cuenss il	---|-|-|----|-⌫||
amisar aison	|--||-⌫----|
Amisb i ausfrere	---|-⌫-⌫--|----|
D e ubien t ed onst	-⌫-⌫|---|-⌫|-⌫---|
uiztupasserpariciun franchom	--|-|-----|--|--|-|----|--|
Quimeresambled aler etdefason	--|-|-------||---|-|-|----|
Naie uoirsirelibergersli re spo n t	---|---|---|-|------|-|--⌫---⌫-⌫|
ui hu ise u oz	-|--⌫|-|-⌫-|
Ne uoz ramembres iredou	-|--|-------|-⌫--|--|
Queuozfe ï ste zau paumiersor	--|--|--⌫--⌫---⌫|-|------|--|
Torn ézarriere lechem ina	----⌫--|------|-|----⌫-||
uoztei ngabrico n	--|---⌫-||-----⌫|
Bienuozdeüst conduire	---|--|-----|-------|
Tante n tendi	---|-⌫-⌫----|
Amis au parler	---|-|-----|
Etasnouuelles	-|-|--------|
quiluolot demand er	-|-|----|------⌫-|
Etsonch eualunpetitreposer	-|--|--⌫---|-|----|------|
Reprinsts auo iesiseprentaesrer	-------|-⌫|--⌫-|-|-|----||----|
uint au n e aig uequantfu ou trepasse ́z	---||-⌫-⌫|---⌫-|----|-|--⌫--|-----⌫-|
Ostela selle li	---|-|----|-|
cheua x est witréz	-----⌫|--|------|
ram is e siesttost remonté z	-|-⌫--⌫|-|--|---|--------⌫|
Ainzqueilfustdemie	---|--|-|---|----|
lieuealéz	----|----|
Deu an tluigardesiaueüunsprés	---⌫--⌫|--|----|-||---|--|----|
Touzfu f loris	---|-|-⌫----|
s i conmee l mois	-⌫|----|-⌫|---|
A m ileu it enmili eu	-⌫-⌫--|-⌫-|---|--⌫-|
ainz mai ssileconnut asséz	---|---⌫|-|-|-----|-----|
Asbonnesarmes	-|-----|----|
dontiliertadou béz	---|-|---|----⌫---|
Etasn ouu e llesque o nliotcont é	-|-|-⌫---⌫-⌫---|--|-⌫|-|-|----⌫-|
Leche ualbroch edesespe ronsdoréz	-|---⌫--|-----⌫|--|----⌫---|-----|
Isnellement est cellep a rtaléz	----------|--|----|-⌫-⌫-|----|
leu it qui	-|-⌫-|--|
lo tiaauisé	|-⌫|-|-----|
uersluise torn equantillotrauisé	---|--|-|----⌫|----|-||-|------|
uertu sesont entr	----|-|---|---|
sebai sentet estraingnentsoef	-|---⌫---|-|-----------|---|
A poinesontest aintetde fi n é	|--|-|---|---⌫---|-|--⌫--⌫-⌫-|
Lorestrierrompentsiso nt	--|------|------|-|--⌫-|
cheüelpré	----|-|---|
O rparlerontensambl e	-⌫|--------|-------⌫|
Orson tliconteenmilepréassiz	-|---⌫|-|----|---|-|---|----|
Quilesueï st baisieret	--|--|----⌫-|------|-|
coni o ïr	----⌫-⌫--|
Dexnef i sthome	--|-|-⌫-⌫-|---|
cuipitiésnen prei ̈ st	--|------||-|----⌫-⌫-|
Deusire ce d istli cu ens	--|---|-|-⌫--|-|--⌫--|
For mentmedueilque	---⌫---|-|----|--|
lonctans uoz	---|---|--|
Ila passe ́set a nstouzacomplis	-||-----⌫|--|-⌫-|---|-------|
Quene finaid alerparle	--|-|----||---|--|-|
non demande ret querir	--|-------⌫|-|-----|
Biaxdouzco mp ainsceli	---|---|--⌫--⌫---|-|-|
Tout autressiuozai	---|-------|--|-|
iesetans quis	-|--|--|---|
O rle w eult	-⌫|-|-⌫---|
soie nz assiz	----⌫-|----|
O renir ons	-⌫|-|--⌫--|
Lirois aguerre silnozweultdetenir	-|---||-----||-|--|----|------|
uostrehom seraietliuostresconquis	-----|--|----|-|-|------|------|
Carmolt uozuoibelhome	--|---|--|--|--|---|
Orsont liconteand uiassizsor	-|---|-|----|---⌫-|----|--|
entrafient compai ngnie	---|-----|------⌫----|
nou uel le	---⌫---⌫-|
Liduibaron ont remises lor selle s	-|--|----|--|------|--|-----⌫|
Enlor mainstiennentlesesp ees nouu elles	-|--|----|-------|--|---⌫--|----⌫----|
Passentlesborsetlescitéztrauersent	------|--|---|-|--|-----|---------|
Pari s n e	----⌫|-⌫|
finentne narrest e nt	-----|-||------⌫-⌫-|
Ez uozleroiqui ertapr e stéz	-|--|-|--|-|-⌫--|---⌫-⌫----|
Illes retient	-|--|------|
uolentierse tacerte z	---------|-⌫||-----⌫|
Carmoltlesuitbiaush ome s	--|---|--|--|----|-⌫---⌫|
ilui nrenta	-|--⌫----||
Leualicrismaintenantdes	---|-|---|---------|--|
Laproieacoille n t quiier tdeuantlep ont	-|----|-------⌫-⌫|--|---⌫|-----|-|-⌫--|
Lors sadoubala maisnie	---||-----|-|------|
uestenth aubersl ace nt el mesreons	------|-⌫-----|-⌫---⌫-|--⌫--|----|
Ceingent es pees	-------|--⌫---|
assenestre s	-|--------⌫|
Monte nt essellesdes	-----⌫-|-|-----|--|
destriers arra go ns A lor cols pe ndent lesescusas	--------|----⌫--⌫-||--|---|--⌫----|--|----|-|
Et enlorpo ins lesroiaus	-|-|--|--⌫--|--|-----|
confa non s	-----⌫---⌫|
Oeure ntles portes lesponslieuent	-----⌫-|--|-----|--|---|------|
Sisen issirent aforce	-||-|-------||----|
Iusqual agait	----|||----|
n ifontarrestiso n	||---|---------⌫|
Laueïs siézun esto rsifelon	-|-----⌫----|-|----⌫|-|----|
T ant e l mefraintetperciétant	-⌫--|-⌫-⌫-|-----|-|------|---|
bla zo nLun mortsor	---⌫--⌫||-|---|--|
l autr e trebuchierelsablon	|----⌫|---------|-|-----|
ferirentan duili	-------|--⌫--|-|
co mpaing no n	--⌫------⌫--⌫|
Do uzc ontesprinren t	--⌫-|-⌫----|-------⌫|
Si les enuoi en t a	-|--|-----⌫--⌫||
Parisen prison	----|-|-----|
Liés en fu	----|-|-|
C harles et safil lepar nonCest	-⌫-----|-|-|---⌫-|--|--||--|
Belissansala	--------||-|
clerefason	----|----|
Huim aisor re ́zde	----⌫--|--⌫--⌫-|-|
Hard re ́ lefelon	----⌫--⌫|-|----|
Qui porchasalamorte ltra ïson	--|-------|-|-----⌫|---⌫----|
Porlesco ntes ocirre	--|--|--⌫---|-----|
Icellenuit lont	-----|---||--|
ilains iz l aissié	-|----⌫-|-⌫------|
Iusqua de ma in queildut	----||--⌫--⌫-|--|-|--|
escla irier	-----⌫----|
Nostreem pereress estu estus etch au cie ́z	-----|--⌫------||--|-⌫----|-|--⌫--⌫---⌫-|
Me sseet ma t innes uait oïr	--⌫--|-|--⌫-⌫----|---|---|
aumons tier	-|----⌫---|
offrande pui ssenest r ep airiéz	-------|---⌫||-|--|-⌫--⌫------|
Puisestentréz lib e r	---|--|------|-|-⌫-⌫|
enunue rgier	-|-|--⌫----|
Deiouste lui	-------|--|
Hardré le loseng ier	------|-|------⌫--|
Par salosengelep rinstaacointier	--|-|------|-|-⌫----||--------|
Drois empereresbienuoza	----|--------|---|--||
Dex aid ié	--|---⌫--|
uos annem isauézprinsetloiéz	--|-----⌫-|----|----|-|-----|
Douzenauézquete n e ́zprisonniers	---|-|----|--|--⌫-⌫-⌫-|----------|
Quiconmen cierentceste	--|------⌫------|----|
c h a scepr emiers	-⌫-⌫-⌫--|--⌫-----|
O r uoz dirai d roisemp ereres chiers	-⌫|--|----|-⌫---|---⌫-----|-----|
Depart i rfaiteztrestou zuoz	------⌫-⌫|-----|-------⌫|--|
Amile leguer rier	----|-|----⌫---|
Chascundon nézcentliuresdede niers	------|---⌫---|---|-----|-|--⌫----|
E tun murletchascunpo r	-⌫|-|-----|------|--⌫|
lo r cors aais ierSil	--⌫|---|----⌫--||-|
n esewelent	-⌫|-|-----|
h arbergier	-⌫--------|
Ens us de uoz	---⌫-|-|--|
lesfaitez harbergi er	--|-----|--------⌫-|
Iceu oz uo iliedire	--|-⌫-|--⌫-|-|---|
Nos t reemperere sentent le	---⌫-⌫-|--------⌫|-----|-|
Har drédist il	---⌫---|---|-|
cuerauéz defe lon	---|----|-|--⌫--|
Qu ime blasmézanzdouzles	--⌫|-|-------|------|--|
compaingnons	-----------|
Deüss iézdi rec	------⌫---|--⌫-||
on lordonnastmangons	-|--|------|------|
Ale ́z ar riere to rnézuoz dentornoz Nai soing	---⌫-|--⌫----|--⌫----|--||----|--||-|----|
deuoslose nges	-|--|----⌫---|
No streempereresfum ou ltgent izetfi er s	--⌫---|--------|-|-⌫--⌫-|----⌫-|-|--⌫--⌫|
Hardrézfu et feletlosengiers	-------|-|-|--|-|---------|
De bien r esp ondre	-|---|-⌫---⌫----|
apparei lliéz	-------⌫-----|
Drois empereresbienuoz aie ssaié	----|--------|---|--|-|-⌫-----|
bien asnouuiauscheualiers	---|-|-------|---------|
Touzmes auo irsuozsoitappareillié z	---|--|---⌫--|--|---|------------⌫|
Etquantqueia iett r estuit mi	-|-------||-⌫|-|-⌫-⌫-----|-|
Aien tendonquatrechastiax enfiés	----⌫|-|--|-----|-------|-|----|
Oute x contéz q ui	-|--⌫|------|-⌫-|
facentaprisier	-----||------|
Etdist lirois	-|---|-|---|
Oroi pl aitquibien	-|-|--⌫--|--|---|
Ce meres amble rai so ns etami stiéz	-|-|---⌫----|---⌫--⌫-|-|---⌫-----|
Lo rs en montarent s usel pala is	--⌫-|-|--------|-⌫-|-|----⌫-|
p len nier	-⌫---⌫---|
Amile s et	-----⌫|-|
Amisau uis	---|-|--|
u oi en t leroiencontre	-⌫--⌫--⌫|-|--|-------|
sont dr es cié	---|--⌫--⌫---|
Puiss erassieentsorle pauement	---|-⌫|--------|--|-|-------|
Deuant eulssist	-----|---|---|
Hardrézlire no ie ́z	-------|-|--⌫--⌫--⌫-|
Seignordist il tenir m ede uéz	------|---|-|----|-⌫|--⌫---|
roi uoz a iieb ienaidi é	--|--|-⌫|-|-⌫--|----⌫-|
Toutorendroit lemailfiancié	---|--------|-|||-|-------|
Chascundonraquatr e chastiax	------|----|-----⌫|-------|
cité qui m ou ltfait	----|--|-⌫--⌫-|---|
Estceuoirspar uo chief	--|-|----|--|-|----|
Siu oza ï t liuerais	-|-⌫-|-⌫--⌫|-|-----|
Iusti ciers	-----⌫----|
Conmeuersnoziestezdecuerentiers	----|---|--|-----|-|---|------|
Etque bienle sauommez	-|--|---|-|-------|
Nost reempereresfumou lt pre uzetnob ile	----⌫-|--------|-|---⌫-|---⌫-|-|---⌫--|
Charles lirois	------|-|---|
o t uneguerr eemp rinse	-⌫|--|-----⌫|---⌫----|
Lohe raincpar i re	----⌫----|--|-⌫-|
Bienadouz e	---||----⌫|
ansuoire bien	--|----|---|
prezdequinze	---|-|-----|
Paisneacordene t riue	---|-|-----|-|-⌫---|
Aumat in netse leuali traït res	-|---⌫--⌫--|-|---|-|------⌫--|
Hardréz cu i licors	-------|--⌫|-|---|
Deu maudie	--|-----|
Monteelcheualquant lasellefumis e	----|-|-----|----|-|----|-|---⌫|
Passel esterresetles	----|-⌫-|-----|-|--|
gransma n andies	----|--⌫-⌫-----|
Ni uelleneces se	--⌫----|-|---⌫-|
Desce ndusest au	-----⌫---|--|-|
perron sozl oliue	-----|--||----|
L es deg rézm onte de la sa le perrinne	-⌫-|---⌫---|-⌫---|-|-|--⌫-|-------|
Departlapre sse d e lacheualerie	-----|-|---⌫--|-⌫|-|---------|
Go mbaus leuoit sili a prins a	--⌫----|-|---|-|-||----||
Dex uo zbeneïe	--|--⌫|------|
P arcuicondui tuenéz enceste ui lle	-⌫-|--|------⌫|-----|-|----|--⌫--|
D istlitraïtres	-⌫--|-|--------|
Par leuos trebi axsire	--|-|---⌫--|--⌫-|---|
Forme ntmeh etlirois etlaro ïnn e	-----⌫-|-|-⌫-|-|---|-|-|--⌫----⌫|
D ui sou doier	-⌫-|---⌫----|
portentamoienuie	------||--|----|
A mis et sescompain s	-⌫--|-|--|-------⌫|
Carlesnozfaitezdetranchie r	--|--|--|-----|----------⌫|
I e uoz donraidemonauoirmil liure s	-⌫|--|-----|-|--|----|--|-----⌫|
uost remerci biaxsir e	----⌫-|----|---|---⌫|
Il uaauant sa foi li apleuie	-|-|----|-|--|-||-----|
Qu ildoitles conte sdetranch ier etocirre	-|-|---|--|-----⌫|--------⌫--|-|-----|
Lorsprinst	---|-----|
Hardrézcongiélimaus	-------|------|-|---|
tra ïtres	---⌫-----|
Gombaus li distou	------|-|---|-|
moultotfe lonnie	----|-|--⌫-----|
Deuale ́ z biaussire	--|---⌫-⌫|----|---|
Hardrézs enu a sacongiédemandé	-------||-|-⌫|||------|-------|
Gomb ausli donn euol ent iers etde	----⌫--|-|----⌫|---⌫---⌫---|-|-|
Ilen auale	-|-|----|
le smaube rinsdegréz	--⌫|-----⌫---|------|
Etu in t a u also n	-|-⌫--⌫|-⌫-⌫-|--⌫|
dest riera trouué	----⌫---||------|
Parson estriera	--|--|------||
Har dr ézsus monté	---⌫--⌫--|--|-----|
Passelesterre se tlesamplesregnés	----|--|-----⌫|-⌫|--|-----|------|
Etles c hastiax	-|--|-⌫------|
lesbors etlescitéz	--|---|-|--|-----|
Parisn es estpasarrestéz	----|-⌫||--|--|--------|
Il des cendie lbo r ca sonostel	-|---⌫----|-⌫|--⌫-⌫||--|----|
iut desc i qualaior ner	--|----⌫|-|||----⌫--|
Aumainselieue	-|---|-|----|
q uantiluit le iorcler	-⌫---|-|--|-|--|---|
Au monstieruaporlamesseescouter	-|-------|-|--|-|----|-------|
Amile sli be r	-----⌫|-|--⌫|
Quan t i l le uo ientsil on t	----⌫|-⌫|-|--⌫---|-||--⌫|
arraisonné	----------|
Hardr éouf ustezuozaléz	-----⌫-|-|-⌫----|--|----|
Deu seignor i anorrézueritéA	--|------|-⌫-|-----|------||
Lambertalaip or uoz orer	------|---|-⌫-|--|---|
Por uo z me sui traueilliézet	--|--⌫|-|--|-----------|-|
Dient li cont e	----|-|----⌫|
Noz les auonsas séz	--|-|-⌫----|--⌫---|
Gombausfistses home s assambler	------|---|--|----⌫|--------|
Sesb riésfis t faire e tpars aterre ale r	--|-⌫----|---⌫|----|-⌫|--|-⌫|----|---⌫|
Tan tquilo tbienqu a tre mille dar méz	---⌫|-|-|-⌫|---|--⌫-⌫--|----||--⌫---|
E nlorchemin	-⌫|--|-----|
so nt mainte nantentré	--⌫-|------⌫---|-----|
Par isnes e sontarre sté	---⌫-|-|-⌫|---|----⌫---|
Pa rdelalia ueen un broilletram e ́D	--⌫|---||--⌫-|-|-|-------|---⌫-⌫||
ysetdauborset	-|-||-----|-|
doliuie rs plantéz	|------⌫-|-------|
Laiens enentren tquen i on tdemore ́	-----|-|------⌫|--|||--⌫|------⌫|
L ai enzse tinrent	-⌫--⌫--|-|------|
litr aïtor prouué	-|--⌫-----|------|
i u rent desci a	-⌫-⌫---|----||
Un mésenuoienta	-|---|-------||
Parislacité	----|-|----|
Etcili ua cui	-|--||-|--|
Dexpuistmaldonner	--|----|--|-----|
Iusqu aup alaisne	----|-|-⌫----|-|
seuoltarr ester	-|---|---⌫----|
Sus enlasaleenmontelesde gréz	--|-|-|---|-|----|--|--⌫----|
Hard réuers luiprinst	----⌫--|---|--|-----|
En zen l oreille liconseil lasouef	--⌫|-||------|-|-------⌫-|----|
Amisbiauxfrere ouest	---|----|----|-|--|
Gombaus rem éz	------|---⌫--|
Deusire elbrueil en estentréz	--|---|-|-----|-|--|------|
Ens ac o mpaingne milc heualiersarméz	-|-⌫|-⌫-⌫-------|--|-⌫--------|-----|
Deusir e o ra	--|---⌫|-⌫||
ilfaitqu eb er	-|---|--⌫|-⌫-|
Et iefera i	-|-|----⌫|
lescheualiers monter	--|---------|-----|
Etlesdouzcon tesque ildoi taffoler	-|--|---|---⌫--|--|-|---⌫|------|
Bienl i difrere nelaistpases chaper	---|-⌫|-|----|-|----|--|--⌫-----|
D ist limessaiges	-⌫--|-|--------|
Ielidiraiasséz	-|-|----|-----|
L i més sentornecui	-⌫|---||-|----|--|
Dexpuistmaldonne r	--|----|--|-----⌫|
P ari sistniuoltpluss eiorner	-⌫---⌫|--|||---|---|-⌫------|
P oruoir leuozdisommez	-⌫-|---|-|--|-------|
Ha rdr é zfistcom traïtres et lerre	--⌫---⌫--⌫|---|--|--------|-|----|
Iluintascontessaraison	-|---|-|-----|-|-----|
Seignordistilo nmafa it	------|---|-|-⌫|||--⌫-|
demonstree	---------|
Gom bausuien ta moul tgrantassamblee	---⌫---|----⌫||----⌫|----|--------|
Ici doiti estrea nsoizprime sonnee	--|---|-⌫----|-⌫----|----|-----|
Se la estoituoproescemonstree	-|-|-----|-|------|-------|
Liés e nseroit	----|-⌫|-----|
Ch arlesliemperere	--⌫----|-|-------|
Fransoisloïrentt o utma intenantsarmerent	-------||------|-⌫-⌫-|--⌫-------||-------|
ueste nthaubers	-----⌫-|------|
et leselmes fermerent	-|--|----|--------|
Hardréslesgu ielitraïtres li	-------|--|--⌫-|-|--------|-|
Cui licors	--|-|---|
Deuma udie	--|--⌫---|
Licheualiersont de	-|--------|---|-|
lauil le is su	-|---⌫-|--⌫-|
Enlordos ont lesblansha ubers uestus	-|--|--|--|--|----|--⌫----|-----|
Etenl orchie ́slesuers elmesaguz	-|-|-⌫-|----⌫-|--|---|----|---|
agaitn isont	----|||---|
