laisdegugemer	---|-|------|
d e ci pre setde bla ncei uo i re	-⌫|--⌫---⌫|-|-|---⌫--|-⌫--⌫-⌫-|
aufrique a	-------||
ert lacout equ idedens fu	--|-|----⌫|--⌫|-----|-|
lesautresdr asne saipr isier	--|-----|--⌫-|-|--|--⌫----|
mai s tan tu os	---⌫|---⌫|-⌫-|
di delo rellier	-|-||-⌫------|
k i su seustsoncie ftenu	-⌫|--⌫|---|--|---⌫|---|
ilnele ustiamaisken u	-|-||-⌫--|-----|---⌫|
l acouu er ture	-⌫|----⌫--⌫---|
tai llié dun drapalixandrin	---⌫----||-|---|---------|
deuscandelabresdefin or	---|----------|-|--|-|
lespieresualen t	--|-----|-----⌫|
elci efdel anef furentmis	-|--⌫-|-|-⌫|--|-----|--|
des useutdeus	---⌫-|--|---|
ciergesespri s	------|-----⌫|
decesestoitm oltmerueill iés	-|-||-----|-⌫--|--------⌫---|
des o rlelitse stapo iés	---⌫-⌫|-|--||-⌫-|---⌫---|
reposes oi	-----|-⌫-|
saplai edeut	-|----⌫|---|
puisest le ués aler	---|--|--⌫---|---|
ilnepeut mieretor ner	-|-|---|--|-----⌫--|
la nes esto it enhautemer	-|--|----⌫-|-|----|--|
atoutluiu adel iurement	|---|--|-⌫|---⌫-------|
etsouefuent	-|----|---|
n ieutnientdesonrepaire	||--|----|-|--|------|
mou testdolans neset	---⌫|--|-----|-|--|
nestmeruelle seils esmaie	|--|-------|-|-||-----|
q uegr a ntdolorade sa	-⌫-|--⌫-⌫-|----||-|-|
s ousfrirlies tuets	-⌫------|-|--⌫---||
etpriediuque	-|---|--|--|
kasonpl aisirle metea port	||--|--⌫----|-|---||---|
seledeffendede la mo rt	-|-|-------|-|-|--⌫-|
ain sleuespre	---⌫|-|-----|
la usagar ison aura	-||-|---⌫---|---|
sousuneanciennecite	---|--|-------|---|
quiciesestoitdecelregne	--|---|-----|-|--|----|
l isire squilem aite noit	-⌫|----⌫|--|-|-⌫----⌫---|
mo ut ert uixhome tfenme	--⌫-|--|--|--|-⌫|----|
une damedehautpar age	--|---|-|---|---⌫--|
france et cor t oisebeleets age	-----|-|---⌫-⌫---|---|-|-⌫--|
i alousestoi ta demusure	-⌫----|-----⌫||-------|
carce por po rtelanature	--|-|---⌫--⌫--|-|-----|
que toutli	--|---|-|
uie lsoie ntialous	---⌫|----⌫-|-----|
mout he tcascunsqueilsoit	---|--⌫|------|--|-|---|
tesestdaageli	--|--||---|-|
ga rd oitmie a gas	--⌫--⌫--|--||--|
enu nuergiesou s l edonion	-|-⌫|-----|---⌫|-⌫|-----|
u nclosauoit toutenu i ron	-⌫|---|----|---|---⌫-⌫--|
de uertmabrefuli	-|---|----|-|-|
moutpar es toi tespeset ha us	---|--|--⌫---⌫|----|-|--⌫-|
for sunese uleentree	---⌫|--|--⌫--|-----|
celeerte tnuit e t ior gardee	---|--|-⌫|---|-⌫|--|-----|
del autre p artfu c los	-||----|-⌫--|-|-⌫--|
nusni peuti ssir ni ent rer	--|||---|-⌫---|-|---⌫--|
nefu staunbatel	-|--⌫-||-|----|
quib esoigeustucastel	--|-⌫----|---||-----|
lisi reotfaitd edensce	-|--⌫-|-|---|-⌫----|-|
por sa fenme	--|-|----|
met rea seur	---⌫-||---|
cambreso u sciel nauoitsi b ele	-----|--⌫-⌫|---||----|-|-⌫--|
alentreefu lacapele	||-----|-|-|-----|
lachambre er tpaintetot	-|------|--⌫|-----|--|
uenu sl adieuess ed	----⌫|-⌫|-------⌫||
fumoltbienmisee nlapainture	-|---|---|---|-⌫|-|-------|
l esl etr e smostrentl a	-⌫-|-⌫---⌫-⌫|-------|-⌫|
conmentondoitamortenir	------|-|---|---|----|
etloiaument etbi en	-|--------|-|--⌫-|
en liure ouideu il ensegne	-|----|----||-|------|
conm entcascun ss amorrestra gne	----⌫--|------⌫||---|------⌫--|
en fuardant l e iet oit	-|-|-----|-⌫|---⌫--|
tos ciaus es cu menioit	--|----|--⌫--⌫------|
iama i s sonliureli roient	----⌫-⌫|--|----|--⌫-----|
son conmandement	--|-----------|
la fu lada me enclose et	-|-|-|--⌫-|------|-|
une pucel e as on saruise	--|-----⌫||-⌫-|------|
li auoits essirebaillié	-|----|-⌫-|---|-------|
qui molt ert franceetensegni é	--|---|--|-----|-|-------⌫-|
en t relesdeusotg rantamor	--⌫-⌫-|--|---|-|-⌫---|---|
oliestoitquantil esroit	|-|-----|----|-|-----|
desilaqueilre pairoit	---|-|--|-|--⌫------|
home n efen me	---|-⌫|---⌫-|
n eia d e c e mu raillnescist	-⌫|-|-⌫|-⌫|--⌫----||-----|
unsuixprestresb lanse t	--|--|-------|-⌫---|-⌫|
gardo itlaclef de ce l postis	-----⌫-|-|---|-|--⌫|-----|
lepl usbasmenbrea uoit	-|--⌫-|--|-----|-⌫---|
a utrementn ifupascreu	-⌫-------|||-|--|---|
le seruice	-|------|
diulidisoit	--|-|-----|
etasonmengierleseruoi t	-||--|------|-|------⌫|
ce l iormeismeainsreleuee	--⌫|--|-----|---|------|
fuladameeluergiealee	-|-|---|-|-----|---|
dormi auoitapresmengi er	----|----|----|-----⌫-|
sis ertaleeesbanoii er	-||--|---|--------⌫-|
e nsanbleo lieutlamescine	-⌫------||-|--|-|------|
gardaauallesl amarine	----|---|--|-⌫|-----|
la nefuirent	-|--|-----|
quiuintsiglan t	--|---|------⌫|
siconli flos ueno itmontant	-|--|-|---|----⌫-|------|
neuoientrien	-|-----|---|
q u ila con duie	-⌫-⌫|-|---⌫---|
uauttornerenfuie	---|-----|-|---|
s el a paor n est pasmeruei lle	|-||---||--|--|------⌫--|
laface l e ndeuintuerm eille	-|---||-⌫|-----|----⌫----|
maislamesci n e fu plussag e	---|-|-----⌫-⌫|-|---|---⌫|
etplus h ardie decorage	-|---|-⌫----|-|-----|
silec onfortee t aseure	-|-|-⌫------|-⌫|-----|
celepartuagrant aleu re	---|---|-|----|----⌫-|
sonmantel oste	--|-----|---|
lapu c ele	-|--⌫-⌫--|
entre enlanef quimolt	----|-|-|--|--|---|
nitroua nulerien uiuant	||----|---|---|-----|
f ors seul lec eualierd ormant	-⌫--|---|-|-⌫------|-⌫-----|
arestutsoisi lesgarda	------|--|-||------|
paleleuoit mort	---|-|---|---|
ariere ualadamoisele	-----|-|-|--------|
ha stiuementsa dame apele	--⌫--------|-|---|----|
auenturelidit	-------|-|--|
mout plaint le	---|-----|-|
mort queele	---|--|--|
l a damedistor ialons	-⌫|---|---|-||----|
et siles t	-||-|--⌫|
mors nouslenfourons	---|---||--------|
et nos pr estresno sa idera	-|--|--⌫-----|--⌫|-⌫----|
seil est uis siparlera	-|-|--|--|-|------|
ensanbleiuont ne	-------||---|-|
tar gentmes	---⌫---|--|
ladameauan t	-|---|----⌫|
et ce leapr es	-|--⌫-|---⌫-|
quant e le est	----|-⌫-|--|
nef entree	--|-----|
deuant lel itestarest ee	-----|-|-⌫-|--|-----⌫-|
leceualierar eg ardé	-|-------||-⌫--⌫----|
mout pl aint soncorsetsabiaute	---|--⌫---|--|---|-|-|-----|
porlui estoittr istreet dolen te	--|--|-----|--⌫----|-|-----⌫-|
molt plaetpui s	---|--|-|---⌫|
distma rfusaiouuente	---|--⌫|-|-|-------|
desorlepislimist	----|-|--|-|---|
c autlesentietlecuersain	-⌫--|-|----|-|-|---|---|
kisou slecos te	-|---⌫|-|---⌫-|
li ba toit	-|--⌫---|
li ceuali ersquisedor moit	-|------⌫--|--|-|---⌫---|
sestesue illiés sil aue ue	|--|----⌫------|-|||--⌫-|
mo uttre sdoucementle salue	--⌫-|---⌫|--------|-|----|
biensetquilestuenus ariue	---|--|-|-|--|----||---|
la dame plo uran set pa n siue	-|---|---⌫----⌫|-|--⌫-⌫---|
lirespon dimolt boinement	-|------⌫-|---|--------|
demandaliconfaiteme nt	------|-|----------⌫-|
iles tuenus e t dequ elterre	-|--⌫|----|-⌫|-|--⌫-|----|
ets il ert escillie ́s pa r	-||-|--|--------⌫-|--⌫|
damefaitceni am i e	---|---|-||||-⌫-⌫|
mais siluousplaist	---||-|---|-----|
queie uous die	--|-|---|--|
mauenture uousconterai	|-------|---|-------|
deri en neuousen	-|--⌫-|-|---|-|
de bretaignelamenorsui	-|--------|-|----|--|
enbo isalai	-|--⌫-|---|
c a cierdeshui	-⌫-⌫---|--|--|
une be stebl an ceiferi	--|--⌫--|--⌫--⌫-||---|
etlisa i eteresorti	-|-|--⌫-⌫--|------|
enlaqui ssemasinauré	-|-|---⌫--|||-|-----|
ia mais nequi t	--⌫---|-|---⌫|
au oirsant e	--⌫--|----⌫|
bi s ses e plai s tetp arla	--⌫-⌫-|-⌫|----⌫-⌫|-|-⌫---|
moutmemaudi etsi	---|-|----|-|-|
se pa runemesc ine	-|--⌫|--|----⌫--|
ele soittrouuee	--|---|------|
qu antiouoila desti nee	--⌫--|--|-|-|-----⌫--|
hastiuement d uboisissi	----------|-⌫|---|---|
e nh auene	-⌫|-⌫----|
ceste n efui	----|-⌫-|-|
en entrai sifisfolie	-|-----|-|--|----|
omoisen estlanes	|--||-|--|-|--|
iesuiariue ́s	-|--|-----⌫-|
conmentanonces teci tes	------||--|---⌫-|--⌫--|
be le dame por	--⌫-|---|--|
di uuous pri	--⌫|---|--|
conse l lis mo iuostr e merci	-----⌫-⌫--|--⌫|-----⌫|----|
car i ene saiq uelpart aler	--|-⌫|-|--|-⌫--|---|---|
ne lanefne	-|-|--|-|
saigo uerner	--|--⌫-----|
elerepontbiau	--|-----|---|
sire ciers	---|----|
co nseluou sdonraiuolentiers	--⌫---|---⌫|-----|---------|
cestec it e sest monsegnor	----|-⌫--⌫-⌫|--|--|-----|
etlacontreetot entor	-|-|------|--|----|
riceshomestde hautparage	----|--|--|-|---|-----|
maisuixest	---|--|--|
e tde granteage	-⌫|-|----|---|
angouseusementest ialous	-------------|--|-----|
par celefoisqueioudoiu ous	--|---|---|--|--|--|-⌫--|
dedenscemurmaenfermee	-----|-|--|||-------|
nia q ue une	|||-⌫-|--|
seuleentr ee	----|----⌫-|
unsui xpr e s tr eleporte	--|--⌫|--⌫-⌫-⌫--⌫|-|----|
m ausfuset male	-⌫--|--|-|---|
flam be larde	----⌫-||---|
ci s uiet nuit	-|-⌫-|-|---|
etior enclose	-|--|------|
ia nesera inul io r si	-|-|----⌫|--|--⌫|-|
q ueien isses	-⌫-||-|---||
ilnelconmande	-|-||-------|
ume sirene me demande	|-|---|-|-|------|
iaici ma cambreet macapele	|-|-|-|-----|-|-|-----|
en sanb leomoi	--⌫----⌫-||--|
ceste pucele	----|-----|
seuousipla istadem ourer	-|---||---⌫--||---⌫----|
tant queuo us	---|--|--⌫-|
mixpuissieserer	--|-------|---|
uolen tie rs uo us seio rnerons	-----⌫---⌫-|--⌫-|----⌫------|
etdeboncueruous	-|-|--|---|---|
seruiro ns	-------⌫-|
quantila la	----|-||-|
parole oie	-----|--|
ladameformentenmercie	-|---|------|-|-----|
oliseior neracedit	|-|-----⌫---|-|--|
estantsestdre ciésel	-----||--|---⌫----|-|
aiuent apaine	-----||----|
la damele prentsi	-|---|-|----|-|
lenma inne	|----⌫---|
des or le litalames c ine	---⌫-|-|--||-|---⌫-⌫--|
tr es un do ssal qui porcor tine	--⌫-|-|--⌫---|--|--|---⌫---|
fuen lac amb re	-|-|-|-⌫---⌫-|
apare illi és	-----⌫----⌫--|
l aes t liceualiers couciés	-⌫|--⌫|-|--------|-------|
e nbacin sd or l eueaporterent	-⌫|-----⌫||-||--|---------|
sa plaieet sa qu isselauerent	-|----|-|-|--⌫---|-------|
decainsilbl anc	-|------|--⌫--|
li osterentdentor	-|-------||----|
pui s lon tes troitementbendé	---⌫||--⌫|--⌫---------|-----|
moltle tien enteng r ant	---|-|----⌫--|-|-⌫-⌫--|
quantlimangiers a uue spre uint	----|-|-------|-⌫|--⌫---|---|
la puceletout enretint	-|-----|---|-|-----|
ceualierseu tas se s	--------|--⌫|--⌫--⌫|
bienfupeuset abeurés	---|-|---|-|-------|
amorsle point	----|-|----|
dune est incele	|--|---⌫-----|
ded ens lecuerleslamame le	---⌫--|-|---|--|-|----⌫-|
porla da me	--|-|--⌫-|
s i n auré tout	-⌫|-⌫----|---|
t out asonpaisoublié	-⌫--||--|---|------|
desapla ienu lmal nesent	-|-|---⌫-|--⌫|--|-|---|
touts epla intd angus ceusement	---|-⌫|---⌫--||-----⌫--------|
ala me s cinequildutseruir	|-|--⌫-⌫---|--||--|-----|
priaquellaist alerdormir	---|-|-|----|---|-----|
silalaisc ié	-|||-----⌫--|
desqu il liadonécongi e	----|-|-||----|-----⌫|
deua nt sadame enes talee	----⌫-|-|---|-|--⌫|---|
quiauques est	--|-----|--|
iaescaufee	-|-------|
delfudont gugemersesent	--|-|---|------|-|---|
quison cuer	--|--|---|
alumeet espre nt	----|-|-----⌫-|
liceualierse stremes	-|--------|-⌫-|----|
pensise stoitet angouscous	-----|-⌫----|-|---------|
nese tencore c e	-|--⌫|-----|-⌫|
etneporquant bien s	-|---------|---||
ap arcoi t	--⌫-----⌫|
sep arla damenestgaris	-|-⌫-|-|---||--|----|
delamortestseur s et fis	-|-|---|--|----⌫|-|--|
halasfa iti l	-|--|--⌫-|-⌫|
quellefer ai	---|-|---⌫-|
irai ali silidirai	---||-|-|-|----|
queleeu st merciet	-|--|--⌫-|----|-|
cai ti fd esc onse illié	---⌫--⌫|-⌫---⌫----⌫-----|
seler efu s e	|--|-⌫---⌫-⌫|
maproii ere	-|-----⌫--|
ettantfustor geill eus e e tf iere	-|---|---|--⌫-----⌫---⌫|-⌫|-⌫---|
do ntmes tuetile nsimorir	--⌫-||--⌫---|-|-⌫--|----|
u de cest m alt ous iors languir	|-|---|-⌫-|-⌫--|---|------|
lorssoupirae npoi de	---|------|-⌫|--|-|
u enusau trespor pens	-⌫---|--⌫---|---⌫---|
e tdistqu esosfrirliestuet	-⌫|---|--⌫|------|-|-----|
carensifait qui	--|---|---|--|
mixnepo eut	--|-|--⌫--|
t o ut e lanuita s i	-⌫-⌫--⌫|-|---||-⌫|
et souspir é ettraueill ié	-|-------⌫-|-|--------⌫--|
en soncueraloitr ecordant	-|--|---|----|-⌫-------|
lesparoles e t l esanblant	--|------|-⌫|-⌫|-------|
lasex uairs etlabele bou ce	--|-|----|-|-|---|---⌫-|
dontladoucors aucuer litouce	---|-|------|-|---|-|----|
lapel eamie	|----⌫|---|
entre sesdensmercili	----|--|---|----|-|
seilseustq uele sentoit	-|-|----|-⌫|--|------|
et c o mamors	-|-⌫-⌫|----|
l edestregnoit	-⌫|----------|
moute n fu stlies mienensien t	---|-⌫|--⌫-|---|---|------⌫|
unp oiderasou a g ement	-|-⌫-|-|-----⌫-⌫-⌫----|
li tolistauqueslado lour	-|-----|-----|-|--⌫---|
dont ilotpal el acou lour	---|-|-|---⌫|-⌫|---⌫---|
ele ne senpuetnientloer	--|-||-|---|----|---|
par matinetain s laior nee	--|------|---⌫||----⌫--|
estoitladamesu sleuee	-----|-|---|--⌫|----|
ueilliéauoitde	-------|----|-|
cesepl aint	-|-|--⌫---|
cefa itam ors q ui ledes traint	-|--⌫-|--⌫--|-⌫-|-|---⌫-----|
la pucele qui	-|-----|--|
ale s anbla n ta	|-|-⌫-----⌫-⌫||
desada me q uiia	-|-|--⌫-|-⌫-|-|
leceualier quiseiorno it	-|-------|--|-------⌫-|
cambre por garison	-----|--|------|
maiselnesetsel	---|-|-|--|-||
ainmeu no n	----||--⌫|
la dam eestentree elmostier	-|---⌫|--|-----|-|------|
et c eleuait au	-|-⌫--|---|-|
asi ssesest	---⌫--||--|
deuan tle lit	-----⌫|-|--|
ape lesilid ist	---⌫-|-|-|-⌫--|
amieuestmadam e	---||--|-|---⌫|
por quest elesitostleuee	--|-|--|--|-|---|----|
atant s eteutsi sospira	|---|-⌫|---|-|------|
lamescinelaresona	-|------||------|
siredis tele	---|---⌫|--|
gardesquet rop ne uosceles	-----|--|-⌫--|-|--|----|
amerpoes enitel g uisse	---|---|-|---|-⌫----|
bienaré suostre	---|----⌫|-----|
qui madame uauroi tamer	--|-|---|------⌫|---|
moutde uroit b ienporlipener	---|--⌫----|-⌫--|--|-|----|
cestea morsseroi t	----|-⌫---|-----⌫|
couuenable	---------|
seuosestie ́sandoiestable	-|--|-----⌫-|----|------|
uo usestes biaxete l e	--⌫-|----|---|-|-⌫-⌫|
estb e l e	--|-⌫-⌫-⌫|
ilrespon dia lapucele	-|------⌫-||-|-----|
ie su idete leamorsupris	-|--⌫|-|--⌫-|---|-----|
t ostmeporratorn er a pis	-⌫--|-|----|----⌫-||--|
sorn en a iconseilet aie	|-||-|-⌫|------|-|--|
co nseilliesmoimadou ceamie	--⌫--------|--|-|---⌫-|---|
keferaiiou	-|----|--|
decest e amo r	-|----⌫|---⌫|
l a p ucelepargrantdou cour	-⌫|-⌫----|--|----|---⌫---|
alece ualierconforté	|-|--⌫-----|--------|
etdes aiueaseu ré	-|-||---|----⌫--|
de tou sle s biens q uele	-|---⌫|--⌫|----|-⌫|--|
pue tfai re	---⌫|---⌫-|
moutestcortoiseetde boinaire	---|--|-------|-|--⌫-------|
quantl a dameotlamescine	----|-⌫|---|-|-|------|
p a sn esoublie	-⌫-⌫|-⌫||-----|
sauoiruoloi tque cilfaiso i t	-----|-----⌫|--|--|-----⌫-⌫|
seilueilloitu ild orm oit	-|-|-------||-|-⌫---⌫--|
poramors es	--|---|-⌫-|
cue rs nefine	---⌫-|-|---|
aua nt apelelemescine	---⌫-|----|-|------|
au c eualier lafaituenir	-|-⌫------|-|---|----|
bienlipora touta	---|-|---|---||
mostreretd ir esonco rage	------|-|-⌫--⌫|--|--⌫---|
preu a damage	--|||-----|
ille salueet el elui	-|-|----|-|--⌫|--|
e ngra nteffroier ent andui	-⌫|---⌫-|-----|--⌫--|----|
i lnelosoitni ent requerre	-⌫|-||----|--⌫--|-------|
por cou quilest	--|--|-|-|--|
sel limost ra st	|-|-|----⌫--⌫-|
quen e lhaistetesl o ngast	--|-⌫||----|-|---⌫-⌫----|
maisquinemostres	---|--|-|-----||
