form Cicomence lauiede	---|-|------|-|--|-|
Lilio nsdegue rp itot elama nie re	-|---⌫-|-----⌫--⌫|---⌫|-|--⌫---⌫-|
d e safelonieetsidemora enl a mes on	-⌫|-|------|-|-|-----|-|-⌫|---⌫-|
aussintcomeunebe stedontee.	------|---|--|--⌫--|-----||
Qantceuit seinzIe r oime s	---|-|--|----|--⌫-⌫----⌫|
il pa rlaa ses f rerese t	-|--⌫--||--|-⌫----|-⌫|
si distBe aussigno roresgardez qele oeure	-|---|--⌫--|-----⌫|-|-------|---|----|
n osporroit faireqia nostreSignor	-⌫-|------|----|-||-----|-----|
fustplesan se tpourfi table carsicomie croinos tre	---|------⌫|-⌫|------⌫----|--|-|--|-|---|---⌫--|
Siresqi p uis sa nzestoi tdeluigu e rirne	----|-|-⌫---⌫--⌫-|-----⌫|-|--|--⌫-⌫--|-|
l‘e nuoi am ie	-|-⌫----⌫|-⌫-|
citant seulement porl aga rissond eson	-|---|--------|--|-⌫|--⌫-----|-⌫|--|
piécomporlade m ost ran ceq‘ ilnosa idas ten	---|--|--|-|--⌫-⌫---⌫---⌫-|-|-|--|-⌫----⌫|-|
nostreserui ce .	-----|-----⌫-||
Do nt resp ondiren t	--⌫-|----⌫-------⌫|
lifre remouthumlementetsidistrentBeausperestu	-|---⌫-|---|--------|-|-|-------|----|----|-|
sezbienqeno st reas neqi la	--|---|-|--⌫--⌫-|--⌫-|-|-|
buschesol oit apor ter aur oit	-----|---⌫--|----⌫--|---⌫--|
mes tier d‘uneg ard equi a	---⌫---|-|--|-⌫---⌫|--||
lui fustentent iu e carnos	--|---|------⌫--⌫|--|--|
resoi gnonsmoutqeaucunecruele besten eled euore	-----⌫----|---|-|-----|-----|----|-⌫|-|-⌫----|
qi nosenfacedama ge .	-|--|-|---|----⌫-||
s‘ilte plestc oma ndeaces tlionq ‘	-|-|-|----|-⌫---⌫--||---⌫|---|-⌫|
gardeacest a sne etsilemein t	----||---|-⌫--|-|-|-|----⌫|
enpastu reetsilegart al‘ aler e t	-|-----⌫-|-|-|-|---||-|---|-⌫|
au u enirenm eso ncar cenos	-|-⌫---|-|-⌫---⌫|--|-|--|
samblelamiudrechoseafere.	-----|-|-----|----||---||
Einsintle f ist s einzIeroimes carilcomandaaulion	------|-|-⌫--|-⌫---|-------|--|-|------|-|---|
q‘ ilgardast l‘as ne	-|-|------|-|--⌫-|
par gran t	--|----⌫|
diligense.	--------||
Etilsi fis t aguisede bon	-|-|-|---⌫||----|-|--|
pa steuret enquel	--⌫----|-|-|---|
c‘o nqesle uqeli asnesalast	-|-⌫---|--⌫|-|-|----|----|
em past ureestoit li l ions	-|----⌫--|-----|-|-⌫---|
ensa mbleo lui et	----⌫---||--|-|
silifubonsdesfen derresetbons	-|-|-|---|------⌫-----|-|---|
aidierr ess‘ il en eüst mestier qa nt	-------⌫-|-|-|-|----|------|--⌫-|
liasne s reuenoit	-|----⌫|-------|
en mesonpor feres‘ oe u reqiia	-|----|--|---|-|--⌫-⌫-|-|-|
costum e mout bien	------⌫|---|---|
lionsen sambleolu i	----|--⌫-----||--⌫|
Tantalae insi la chos e qe lilion sremena	---|--|-⌫---|-|----⌫|-|-|----⌫|-----|
so nasneenpasture un	--⌫|---|-|------|-|
io rq‘il auoiti acesteoeure	--⌫|-|-|----|-⌫|----|----|
grant p iecedemenee .	----|-⌫---|------||
D on tauintqeg ranz talen z ded o r mir prist	-⌫--⌫|----|-|-⌫---|-----⌫|-|-⌫-⌫-⌫--|----|
il secouchaetendormimout fermement si	-|-|-----|-|------|---|--------|-|
comesa natureliaportoite te nsignoit	---|-|-----|-|-------|-⌫|-⌫-------|
Sicom li lionsdorm oi ten	-|--|-|----|----⌫--⌫|-|
telmanier e il	--|------⌫|-|
aui n tqe marcheant passerentpar	---⌫-⌫|-|--------|--------|--|
il ue cqip or huileach eters ‘	--⌫--⌫|-|-⌫-|----|---⌫---|-⌫|
en alerenten Eg ypte.	-|------|-|--⌫---||
u irent l ‘asnetoutse ulen	-⌫----|-⌫|---|---|--⌫-|-|
lapas ture	-|---⌫---|
etsanz ga rdeil l epris t rent sil ‘en	-|---|--⌫--|-|-⌫|----⌫-⌫---|-|-⌫|-|
menerent par	-------|--|
f elen essecouoitise.	-⌫----⌫---|--------||
A pre ́scepetitd‘ eures‘ esueilla	-⌫---⌫-|-|----|-|---|-|-------|
q ines auoi t m otdeso ndomache.	-⌫|-|-⌫----⌫|-⌫-|-|--⌫|------||
Et lo rs c o mençaaquer re l‘ asneqiliest o it	-|--⌫-|-⌫-⌫-----||----⌫-|-|---|-|-|---⌫-⌫-|
en gar de charc hiez .	-|---⌫-|-----⌫---||
nele pottroueren l ap ast ure	-|-|--|-----|-|-⌫|-⌫---⌫--|
ilfu mout dolenzetplein z	-|-|---|-----|-|-----⌫|
degra nt an goissesi c omençaaalerunegra nt	-|---⌫-|--⌫-----|-|-⌫------||---|--|---⌫-|
piecedelioramontet aualsus	----|--|--|----|-|---|--|
e tiustot muiant	-⌫|--|--|-----|
q‘iluoloittrouerlab e steq‘ i l au oitp erdue	-|-|-----|-----|-|-⌫-⌫--|-|-⌫|--⌫--|-⌫----|
Et q antiluit	-|-⌫--|-|--|
qe tro uerne	-|---⌫--|-|
lapo r roitennule	-|--⌫-⌫---|-|---|
maniere etqu‘il en auoi t l‘ espera ncepe rdue	------|-|--|-|-|----⌫|-|------⌫--|--⌫---|
il uinta laporte	-|---||-|----|
del‘abeïe sanzl‘ asneetarre s tadefors n e	-|-|-----|---|-|---|-|----⌫-⌫-|-----|-⌫|
n‘osamieentrer	-|--|--|-----|
dedenzpor lemesfet	-----|--|-|-----|
fetauoitsi comil soloit	--|----|-|--|-|-----|
entrerq ant ilramenoit l‘as ned e	-----|-⌫--|-|-------|-|--⌫-|-⌫|
la pasture.	-|------||
Qantse i nzIeroimeset	---|--⌫-⌫-|-------|-|
lifrer edelam esonuirentlel ion arreste ra	-|----⌫|-|-|-⌫---|-----|-|-⌫--|-------⌫||
la porte del‘ab e ïes anzl ‘asneetq‘	-|----|-|-|--⌫-⌫--|-⌫--|-⌫|---|-|-|
ilauoittantat argiéq‘il	-|----|---|--⌫-----|-|-|
n‘est oitr eu enuza droite	-|---⌫--|-⌫--⌫---||-----|
heu re sicomilsoloitilcu idierentq‘	---⌫-|-|--|-|-----|-|--⌫-------|-|
ocislora snee t m engié et por	---|--|-⌫--|-⌫|-⌫-----|-|--|
uoudrentd onertel uiandecom	-------|-⌫---|--|-----|--|
ilsoloient	-|-------|
d onerein zli diso ie nt u at‘enet	-⌫---|---⌫|-|----⌫--⌫-|-⌫|-|-|-|
s imeng uela	-⌫|----⌫-|-|
partieqit‘estrem e sedelasne	-----|-|-|--|---⌫-⌫-|--|---|
qetu asocissi ra e mpliz taglotonieE t	-|-|-|---|-|--⌫-⌫----|-|-------|-⌫|
e n coredeïssent i lce i lnele	-⌫-⌫---|--------|-⌫|-|-⌫|-|-|
s auoientmiecer tainnement sel ilionsauoitfetlem al	-⌫------|--|---⌫---------|-|-⌫|----|----|--|-|-⌫-|
limetoient.	-|-------||
Et por ce sauoir s ‘esmurentne	-|--|-|-----|-⌫|-------|-|
se iqanzdes fre ressi s‘ enalerenta	--⌫|---|--|---⌫--|-|-|-|------||
lapastureou lilionssoloitl‘asn emener si	-|------|-|-|----|-----|-|---⌫|----|-|
qist rentd ‘ unepa rtet d ‘autre	----⌫---|-⌫|--|--⌫-|-|-⌫|----|
s‘ iliapa rauenture trouassentau cuneenseigne	-|-|-|--⌫|-------|---------|--⌫---|-------|
tracedelsancdelorbe stemesonqestantne	----|--|---|-|--|--⌫--|--|----|---|-|
sorentqerre q‘ilen	-----|----|-|-|-|
peü ssenttr ouer	----⌫----|--⌫---|
enseignes nenoueles.	--------|-|------||
D ont leno nc ier ente insiasein t Ieroime .	-⌫--|-|--⌫--⌫---⌫--|-⌫---||----⌫|------||
Q antil l‘ oïi lparlasi	-⌫--|-|-|--|-⌫|----|-|
dist Beausf reres ieuoz proiq euos	---|----|-⌫----|-|--|---|-⌫|--|
soffrez em p es ledomache	------|-|-⌫-|-|------|
de l‘ asneet s ineleidengiezneencha ciez	-|-|---|-|-⌫|-|---------|-|-----⌫---|
ces t lion me s donez luis a	---⌫|---|--⌫|----|--|-⌫|
uian de telecom	----⌫-|---|--|
illasoloitauoir et sile	-|-|-----|----|-|-|-|
norrissiezq‘ ilned efaille.	---------|-|-|-|-⌫------||
taill iez labuischesicomuos sol iezsiatelez	-----⌫--|-|------|-|--|--|---⌫--|-|-----|
l elion elleu	-⌫|---|-|--|
asnesilanoz	---|-|-|--|
Einsin t le firentlifr e re	------⌫|-|-----|-|--⌫-⌫-|
comseinzIe roimes lo rconman da.	--|----|--⌫-----|--⌫|------⌫-||
furemise n	-|----|-⌫|
lap ortesirots a	-|-⌫---|-|--|-⌫|
gr aceetaloitchascun i or au bois ensambleo	--⌫--|-|----|------|-⌫-|-|---|-------||
undesf reres o u ens amble.	-|--|-⌫----|-⌫|---⌫----||
asneloraportoi tet	---|--|-------⌫|-|
at reioitbu sche.	--⌫-----|--⌫---||
Ei nsint esploit aparn esai combie nd e	--⌫----|-------⌫|--|-⌫|--|------⌫|-⌫|
tensta ntqeun	---|--⌫-|-|-|
iour uin tq‘il otoeurelessie.	---|---⌫|-|-|-|----|-----||
Adont s‘esmut parla	----|-|----|--|-|
uolent énostreSignorsico mie	------⌫-|-----|-----|-|--⌫|-|
Encore f ustilm uebeste si s‘enala	-----|-⌫--|-|-⌫-|----|-|-|-|--|
a la champa ignepor e nq uerres‘	|-|------⌫---|--|-⌫--⌫----|-|
ilsauro itiaparau enture no uel esde sonc omp aignon.	-|-----⌫-|-|--|--⌫-----|--⌫---⌫-|-|--|-⌫---⌫-----||
Do nt cerchapartozl esa nglesdel	--⌫-|-----|--|--|-⌫-|-⌫----|--|
boi s etfosses etqarrieresetala t antq‘ il	---⌫|-|-----|-|--------|-|--|-⌫--|-|-|
fumout lasse z etq ‘	-|---|-----⌫|-|-⌫|
qi estoitelcom unchemin .	-|-----|-|---⌫-|-----||
la uenu z mout traueillieze tmoltangoi sseus	-|----⌫|---|----------|-⌫|---|-----⌫----|
de lauoieilresgardasiloing	-|-|---|-|-------|-|----|
comilonq espot enuiron	--|-|---⌫-|--|------|
lui siuithomes	--|-|--|----|
qi chame uscharchiezamenoient etdeuanttotelarote	-|-----⌫-|--------|--------|-|-----|---|-|---|
uenoit li asnesetporceq‘il	-----|-|----|-|--|-|-|-|
estoit tropl oingporlui conoistrese mistil	-----|---|-⌫---|--|--|--------|-|---|-|
ala u oi e ncontre	|-|-⌫-|-⌫------|
Costumeesten cele regionqeqant	------|--|-|---|-----|-|---|
marche antmeinent chameus poraporter	------⌫--|------|------|--|------|
granzfesde	----|--|-|
lon teig n escontrees q‘ ilont unasne qui porteen	---⌫----⌫-⌫-|-------|-|-|--|-|---|--|----|-|
so ncolu necordeaqoili	--⌫|--|-⌫-|----||--|-|
chamel sont li iezsi	-----|---|--⌫--|-|
s‘en uetdeua nt etl icha me l le siue nt	-|-|--|----⌫-|-|-⌫|---⌫--⌫|-|----⌫-|
tout soefle pasl i un s	---|---|-|--|-⌫|--⌫|
aprés l‘ aut resanzissi rde uoieet einsintsiuoient	-----|-|---⌫-|---|----⌫|-|---|-|------|-------|
asneli chamel	---|-|-----|
solonccestecos t ume .	-----|----|---⌫-⌫--||
Qantlima rc heanzuir ent lelio netill‘apro ismierent	---|-|--⌫--⌫----|---⌫--|-|---⌫|-|-|-|----⌫--------|
ilorentgrantpoor .	-|----|----|---||
Li lions rec onutl‘as ne	-|----|---⌫---|-|--⌫-|
sicomençaamuiremout	-|-------||----|---|
durementetlorslorcorutseuremesil	-------|-|---|--|----|----|--|-|
n‘enbleç a	-|-|-----⌫|
nuln enefistmal delorcorsne	--|-⌫|-|---|--|-|--|---|-|
greua ncec arlimarchea nzdeguerpirent	-----⌫--|-⌫-|-|-------⌫-|-----------|
tote slorchosessi s‘ en foïrentporla poour de	----⌫|--|-----|-|-|--⌫-------|--|-|----|-|
la be ste q‘il	-|--⌫--|-|-|
ueo i entuenir grantet hisdeuse.	---⌫-⌫--|----|----|-|-------||
Etsi com il s‘e nfui oientli lion s	-|-|--|-|-|-⌫|---⌫----|-|----⌫|
muioitetsiferoitlaterrede sakeuem out	-----|-|-|-----|-|----|-|-|---|-⌫--|
L icham elqi charchiezestoient e r entmolt espoentez.	-⌫|----⌫-|-|--------|-------|-⌫-⌫--|---|--------||
Lors les acuelli lilionss il es	---|--|------|-|----|-⌫|-⌫-|
enmenad eua ntlui etchaçatantq ‘il ui ndr ent	-----|-⌫---⌫-|--|-|-----|---|-⌫|-|--⌫---⌫--|
at out l ‘a sneal‘abeïe .	--⌫--|-⌫|-⌫--||-|-----||
Qantiluindrentala	---|-|-------||-|
por teetlifrere	---⌫-|-|-|----|
lesu irentilaleren taseint Ieroime	--|-⌫----|-|------⌫||----|------|
si li dist rent.	-|-|----⌫---||
Qan t iloi ̈ cestenouele	---⌫|-|--⌫|----|-----|
i lissifors siconman daaourirles p o rtes	-⌫|---|---|-|------⌫-||----|--|-⌫-⌫---|
et puissid i stDe scharc hieznos ostes	-|---|-|-⌫-⌫-|--⌫------⌫---|--|----|
desfesqeilp ort entpuis	--|--|-|-|-⌫---⌫--|---|
lordonezameng ieretaprés esg arderons	--|----||----⌫--|-|-----|---⌫-------|
qe nostr eSiresuo udra a no u s demost rerqi si	-|-----⌫|----|--⌫---||--⌫-⌫|------⌫--|-|-|
serf s omesde ceste chosedemostre r et fere	---|-⌫---|-|----|----|--------⌫|-|---|
Lifrer efirentce	-|----⌫|-----|-|
conmandaet atorner entmoutbienles	-------|-|-------⌫--|---|---|--|
chameusetaaisierent.	------|-|---------||
L ilionscomençaa alermolt li ement par	-⌫|----|-------||---|---|--⌫----|--|
tout l‘encloistredel‘	---|-|---------|-|-|
a bei ̈esi sec ouchadeuantc hascunfrere	-⌫---⌫-|-|-|-⌫----|-----|-⌫-----|----|
s‘ iluousistdireq‘iln‘auoitmief a ite	-|-|------|---|-|-|-|----|--|-⌫-⌫--|
lafeloniec‘on liauoitsus mise.	-|------|-|-|-|----|--|---||
Qantceuirent lifrere	---|-|-----|-|----|
ilfi ren tlorpe neance por	-|--⌫---⌫|--|--⌫-----|--|
lacruia utédel	-|-----⌫---|--|
b lasme dontill‘auoientretéa	-⌫----|---|-|-|------|----||
tor tcarado nt	---⌫|--|---⌫-|
estoientmoinepiue tdozne	-------|----|--|-⌫|--|-|
nesa uoient mieta nt de mal com e	-|--⌫-----|--|--⌫-|-|--|---⌫|
C eus q iorso nthetnostre Sire.	-⌫--|-⌫|-|--⌫-|--|-----|---||
Nus n‘ enporroitconter nedireLor	--|-|-|------|-----|-|---|--|
mausnelormalaue ntures.	---|-|--|------⌫-----||
Deu hee nt etlesEscr ituresEtlor	--|---⌫-|-|--|----⌫-----|-|--|
ordremescestdel	----|------|--|
Ianuspreudom n‘ er t	-|--|------|-|--⌫|
lor compei ns	--|------⌫-|
Qi ne s‘enplaignec‘ estla	-|-|-|-|------|-|--|-|
E nmoi neaplusde l arrecinsQ u‘en us ur ier de	-⌫|---⌫-||---|-|-⌫-------|-⌫-|-|--⌫--⌫--|-|
fa useté .	--⌫-----||
Ets eli cu ens	-|-⌫|-|--⌫--|
la u e ri téSa uoi td e lor cuersles	-|-⌫-⌫--⌫--|--⌫---⌫|-⌫|--|----|--|
felonsIaneseroitl i	-----|-|-|-----|-⌫|
anssilonsQepor	--|-|---|-|--|
e usf eïstnulerie n Car ieli	-⌫-|-⌫----|---|---⌫|--|-|-|
mant selsace bien	---|--|---|---|
Qeporluiferoient petitN‘enorissons	-|--|--|-------|----|-|-|-------|
n‘enfetn‘en	-|-|--|-|-|
Li frere se int Ieroimedis oi ent del lion ueezicin ostre	-|----|--⌫--|------|---⌫--⌫--|--|---|---|--|-⌫----|
paste urqe	-----⌫-|-|
nos dampnio ns sicruelment com sece fustunsdeuorri eres	--|-------⌫-|-|--------|--|-|-|---|--|-------⌫---|
et nostre Siresnosademo strémoutbeau	-|-----|----|--||----⌫----|---|---|
mir acle porce qu‘ i lfu st de cest blas me	---⌫---|--|-|--|-⌫|--⌫-|-|---|----⌫-|
S ei nzIeroimesqi bien	-⌫--⌫-|-------|-|---|
sauoitce q e	-----|-|-⌫|
aauenirestoitdeceste chosed ista	|-----|-----|-|----|----|-⌫--||
sesfreresApar eilliez qeuos	--|-----|----⌫------|-|--|
aiezuiand e s aoésceus qiue ndrontsi	---|-----⌫-⌫||---|---|-|--⌫-----|-|
qu‘ ilsoi entre ceü zhono rablementsi com l‘	--|-|---⌫--|--⌫----⌫|----⌫--------|-|--|-|
ostesre c euoir.	----|--⌫-⌫----||
Ilfirentei nsint	-|-----|--⌫----|
com l or seintperelo rconmandoitcaril	--|-⌫-|----|---|--⌫|---------|--|-|
netr espa ssa ss entm iede	-|--⌫----⌫---⌫--⌫--|-⌫-|-|
leg ier o bedience .	---⌫--|-⌫-------||
Qanttotce fufetetatorné	---|--|-|-|--|-|------|
unsmessages	--|-------|
u intq ilor	-⌫--|-⌫|--|
d is t et anonc ̧aq‘ilauoithostes ala	-⌫--⌫|-|-----⌫-|-|-|----|-----||-|
port eqiuoloientueoirl e peredela	----⌫|-|-------|----|-⌫|---|-|-|
Se inz Ieroimes comand ac‘onouristla portesi	--⌫--|-------|------⌫|-|-|-----|-|----|-|
leslessastl‘en	--|------|-|-|
a lui uenir.	|--|----||
Cile nt rere ntenzto thon teus encor e	--|-⌫--⌫----⌫-|--|--⌫|---⌫---|-----⌫|
fussentilmandé	------|-|-----|
Ettan tostcom	-|---⌫---|--|
iluir ents eintIeroimeillic heïrentaspiez	-|---⌫--|-⌫---|------|-|-|-⌫-------|-|---|
siliproierent mercie tpardondelm esfetq‘il	-|-|--------|----|-⌫|-----|--|-⌫----|-|-|
fe tauoient.	--⌫|------||
SeinzIeroimes	----|-------|
lesre dreça et	--|--⌫-----|-|
s ilor dist	-⌫|--|---|
etam onestaq‘iluneautre foiz nefeïssent	-|--⌫-----|-|-|--|----|---|-|--------|
tele oe ur e mespreïss ent lorchoseset	---|--⌫--⌫|--|-------⌫--|--|-----|-|
lesautruilessassentne	--|-----|---------|-|
nelescouo itassent.	-|--|----⌫-------||
Dont lorfi strendrelorcham eusatoteslor charges	---|--|--⌫-|-----|--|----⌫--||----|--|------|
qeonquesriensn‘ en fudetrete	-|-----|----|-|-|-|------|
Do ntparleren t	--⌫-|--------⌫|
limarcheanztui ta	-|--------|---⌫||
uneuoizetsidistrent	--|---|-|-|-------|
Beausperenos t eprions qetua	----|---|--|-⌫|-----|-|-||
oésle luminai re del‘ egl is s efereet	---|-|-------⌫-|-|-|---⌫--⌫-⌫|---|-|
aoéslesbesoi gnes desfrer esde	|---|--|-----⌫---|--|----⌫-|-|
cestemes on faciezpren dre lamoit iéd e l‘uil e	----|---⌫-|-----|----⌫--|-|----⌫--|-⌫|-|---⌫|
q e nozcham eusa porterentcarnossau ons	-⌫|--|----⌫--|-⌫--------|--|--|---⌫--|
biencerteinement qeno sp lusalamesen Egyptepor nostre	---|-----------|-|--⌫|-⌫--|-----|-|-----|--|-----|
u tilit e ́q e por l ‘ut il itédemarcheandise.	-⌫-----⌫-⌫|-⌫|--|-⌫|--⌫--⌫---|-|-----------||
S einz Ieroimes lor	-⌫---|-------|--|
res pondie t dist	---⌫----|-⌫|---|
uosn‘au ezmierequis droitureet leidecho se	--|-|--⌫-|--|-----|-------|-|----|---⌫-|
seroitqenosq i d euonsauoir	-----|-|--|-⌫|-⌫----|----|
pitiéde sgen zetmis ericordee t	-----|--⌫|---⌫|-|---⌫-------|-⌫|
aid iera l orbesoingetdon erd elno streuos	---⌫--||-⌫-|------|-|---⌫-|-⌫-|--⌫---|--|
greuissionsetpreï ssonsdel	----------|-|-----⌫----|--|
qoinosn‘ auo nsnulesoffrete	--|--|-|---⌫-|---|-------|
Dontrespondir e nt	---|---------⌫-⌫-|
lim a rc he anz aseintI eroime	-|-⌫-⌫--⌫--⌫--||----|-⌫-----|
etsidistr entNo s nemengerons	-|-|-----⌫--|--⌫|-|--------|
c eenzn enepre nderonsnulesde	-⌫---|-⌫|-|---⌫------|----|-|
totesnoschoses tres q‘a ta ntqe uosauroiz	----|--|-----|----⌫-|-⌫--⌫-|-|--|-----|
