quitot ueltfairesanzconseil	--|--|---|----|---|------|
damorsdu sien i mist	|----|-|---||---|
asi stzz douz	---⌫-|-|---|
mo ntespran t	--⌫-|------⌫|
puis fistle neset p uisla face	---|---|-|--|-|-⌫--|-|---|
plu scler quec ristal	---⌫|---|--|-⌫-----|
neq ue glace	-|-⌫-|----|
les denz pl us bl anches qu en	--|---|--⌫-|--⌫-----|--⌫||
il les achetax x	-|--|-----|-⌫|
quantchascunneo tparsoi	----|--------|-⌫|--|--|
l esleuresiio intent elgui s e	-⌫-|-----||--⌫--|-|-⌫-|---⌫-⌫|
cunpoi ilai s sa d ouuerture	|-|--||---⌫-⌫-||--------|
selonc raisonetpa r mesure	-----|-----|-|--⌫|-----|
e tqua ntelotfai te	-⌫|---⌫-|-|-|---⌫-|
doucoritouche	-----||-----|
f emequiu n e	-⌫--|--|-⌫-⌫|
foizl a sent	---|-⌫|---|
desamor alumeet espren t	-||---|----|-|------⌫|
enpre sliafait lementon	-----⌫|-||---|-|-----|
etdetoutesparzenui ron	-|-|-----|---|----⌫--|
leuaitpolissanten sam e in	-|---|--------|-|-|-⌫-⌫-|
ta ntque ilest soef etpl ain	--⌫-|--|-|--|---|-|--⌫--|
cl eretluis antsontli sorc il	--⌫-|-|----⌫--|---|-|----⌫-|
frontasisoutil	----||-|-----|
cheueuso t crasrecercelez	------|-⌫|---|---------|
quipl usluisent cors esmerez	--|--⌫-|------||--|------|
l otfaita soncommant	|-|---||--|------|
parleuiaire li espant	--|-|-----|-|-----|
unecoulorquinestpasfa i nte	--|-----|--||--|--|--⌫-⌫--|
etpar la facequi estpainte	-|--|-|---|--|--|-----|
nese pa listne n ese	-|-|--⌫---|-|-⌫|-|
tantfa cechautnetantnepluet	---|--⌫-|----|-|---|-|----|
nenedes mente n	-|-|---⌫---|-⌫|
tele estausoircom aumat in	---|--|-|---|--|-|---⌫-|
lesmainsot blanches etuermeilles	--|----|-|-------|-|---------|
elemeismesem eru eille	--|-----|-|-⌫---⌫----|
c oment ele lefist sibien	-⌫----|--|-|---|-|---|
quant lesgarden	----||------||
iblasmerien	|-----|---|
de quanqueleuo ltliest	-|-----|--|--⌫-|-|--|
qu enepuetestrem i elzas sis	--⌫|-|---|----|-⌫-⌫--|--⌫--|
partelenging	--|--|-----|
etparteleure	-|--|--|---|
etpar telsenle f ist	-|--|--|--|-|-⌫--|
nepuet e nnulleutrouer	-|---|-⌫|--|--|-----|
sibeau da mo iselnesonp er	-|---|--⌫--⌫---|-|--|-⌫-|
auo i tia xxanz	---⌫-⌫|-|-|--|
mol t est oi tbeausetauenanz	---⌫|---⌫--⌫|----|-|------|
m oltamoitetbois	-⌫--|----|-|---|
ciertso nde duit	|---|--⌫|--⌫---|
etsapr oi ere	-|-|--⌫--⌫--|
qu ilpeu stporcouc erftrou ue r	-|-|---⌫-|---|-|-⌫--|----⌫--⌫|
e np ooitsoncu er oste r	-⌫|-⌫---|--|--⌫-|----⌫|
nulerien s	---|----⌫|
damesdechambr es fuitet het	----|-|------⌫-|---|-|--|
parauentureert repairiez	--|-------|--|--------|
duboi stoz lasettrauailliez	-|---⌫|--|--|-|----------|
decorreest oitbien	-|----|---⌫--|---|
esc haufez	---⌫-----|
sen estcreue sabeautez	|-|--|----|-|------|
ila uoi t moltfres che coulor	-|-⌫---⌫|---|----⌫--|-----|
sicom pas soitlezunet or	-|--|---⌫---|--|--|-⌫-|
desfenestresa iusgardé	--|--------||--|-----|
lafi ll eau roide	-|--⌫--⌫|-|--|-|
d aneotnomladamoi sele	-⌫--|-|--|-|-----⌫---|
ent otle pais n otsibel e	-|-⌫-|-|---||-|-|---⌫|
elechoisile iouincel	--|-----|-|-------|
mol tleuit	---⌫|-|--|
c oint egen tet b el	-⌫----⌫|---⌫|-|-⌫-|
graillepar flansetparle	------|--|----|-|--|-|
les brazauoi tauque s forniz	--|---|----⌫|-----⌫|-----|
l onsetgrailesauoitlesdoiz	-⌫--|-|------|----|--|---|
etlesianbes et les piezdroiz	-|--|-----|-|--|---|----|
uoitle cheualqui s e	---|-|-----|--|-⌫|
etfaitfremir totela	-|---|-----|---|-|
de quanqu e le l iue oit f aire	-|-----|-⌫-|-⌫|--⌫--|-⌫---|
nelipooit il riensdesplaire	-|-|----|-|----|--------|
tantle sg ardequel ne	---||-⌫--⌫---|-|-|-|
ta nt comel auiser lepuet	--⌫-|--|-|-----|-|---|
molt se merueil le siadroit	---|-|-------⌫-|-||----|
porqoisiuolen tiers	--|--|-|-----⌫----|
amor s regardecelepart	----⌫|------|---|---|
uerslapucelegi ete	---|-|-----|--⌫--|
lapuc e le se sen tfe rue	-|---⌫-⌫-|-|---⌫|--⌫--|
alaterrechietesta ndue	|-|----|----|----⌫---|
isnelementoeure	---------|----|
p a r tot sonpiztouchesamain	-⌫-⌫|--|--|--|-----|-|---|
p laiecuide trouer dehors	-⌫---|----|-----|-----|
maisele stoit	---|-|-⌫----|
dede nzl e	----⌫-|-⌫|
lor sentqueelcors	--|---|--|-|---|
sienestauquesesperdue	-|-|--|-----|-------|
m oltdureme ntsest dementee	-⌫--|------⌫-||--|-------|
co ulormue e	--⌫---|---⌫|
haiamorscomest puisanz	--|----|--|--|------|
comestt a seignoriegranz	--|--|-⌫|--------|----|
tunedoutes	-|-|-----|
conteneroi	----|-|--|
lesplusrichesmez	--|---|-----|--|
e ne sf roi	-⌫|-⌫--⌫--|
amors estrageetdesuerie	----|--|---|-|-------|
quitotegent	--|---|---|
serreet l ie	----|-|-⌫-|
a morsangoi sse a m ors es t raint	-⌫---|-----⌫--|-⌫-⌫--|--⌫-⌫----|
amo rsnercistuia ireettaint	---⌫-|------|---⌫--|-|----|
amors destraint amorsanbr ace	----|--------|----|----⌫--|
amo rs met g ent enmal e	---⌫-|--|-⌫--|-|---⌫|
cheualch ier	--------⌫--|
qu ilnont ne uoie ne san tier	-|-||--|-|---|-|---⌫---|
amors a sicesteconquise	----||-|----|-------|
q uel eneset	-⌫|--⌫|-|--|
enqueleguise	-|----|----|
ele sedoie	--|-|---|
puissi faitzz soup ir	---|-|---|-|----⌫-|
or a froidureetora chaut	-||-------|-|-||----|
toutefremistetpuis tressalt	----|------|-|---|-------|
amorsa sii cesteat ei nte	----||-|-⌫----|--⌫--⌫--|
que el enasafacetainte	--|-|-||-|---|-----|
uin tetle iortresp asse	---⌫|-|-|--|-----⌫---|
l a puceleestde pensser lass e	-⌫|-----|--|-|------|----⌫|
sonl itfis t fa ireuages i r	--|-⌫-|---⌫|--⌫--|-|---⌫-⌫|
torn e zztor nep otdormir	----⌫|-|--|-|-⌫-|-----|
dormirn epot amor nelaist	-----|-⌫|--|---|-|----|
halasse fai teleque doit	-|----|---⌫|--|--|---|
n epuisdo rmir nereposer	-⌫|---|--⌫---|-|------|
t orner les faitles	-⌫----|--|---|--|
re t orner	--⌫-⌫----|
en painesuietentrauail	-|----|--|-|-|------|
nesai p orqoi gemetrauail	-|--|-⌫-|--|-|-|------|
cemest auisdur lit	-||--|---|--|--|
de dieusoient	-|---|-----|
tu itcilmaudit	--⌫-|--|-----|
quilemedurentherso ir faire	--|-|-|-----|--|--⌫-|----|
f elonetde p utaire	-⌫---|-|-|-⌫-|---|
bi e n aperceue	--⌫-⌫|-------|
la coute nefu	-|----|-|-|
l aplume nest pas	-⌫|----||--|--|
a incois estto teamoncelee	-⌫-----|--|--⌫-|--------|
gr ant merueilleaidecequ e	--⌫--|--------|-|-|-|--⌫|
de cepranraige bien	-|-|------|-|---|
geferai cezfe mesleuer	-|----|--|--⌫--|----|
porcestecouteremuer	--|----|----|-----|
lorsue st une peliceh ermine	---|--⌫-|--|-----|-⌫-----|
et uaitaulitalameschine	-|---|-|--||-|-------|
esueillelasilia	-------|-|-|-||
facetost son lit	---|---|--|--|
celelifistisnelepas	---|-|---|--------|
ostelacoute	---|-|----|
etpu islesdras	-|--⌫-|--|---|
etr emueneisl	-|-⌫---|---||
elemeism eimis tlamein	--|-----⌫||---⌫|-|---|
t ortelacoutemuet	-⌫---|-|----|---|
orleuelth autet	-|-|---|-⌫--|-|
orleueltabaissierasp ie z	-|-|---|--------|-|-⌫--⌫|
orestli cha u ezt rop baissiez	-|--|-|---⌫-⌫-|-⌫--|-------|
or e stest roit	-|-⌫-|---⌫---|
etor estgrant	-|-|--|----|
unepartpendant	--|---|------|
sanorrice ua itma ud isant	-|------|--⌫-|--⌫--⌫----|
por ce qui l	--|-|-|-⌫|
nertasontalent	|--||--|-----|
a uisliestquebienes to it	-⌫--|-|--|--|---|--⌫--⌫-|
sauezpor qo i	----|--|--⌫|
queleauoit	-|--|----|
le iouincelentroubl ie ́	-|-------|--------⌫--⌫|
el otzz poipensé	-|-|-|--|-----|
liest menb ré	-|--|----⌫--|
lo rsreco mmence	--⌫-|----⌫-----|
las s e f ai teleq u e	---⌫-⌫|-⌫--⌫|--|-⌫-⌫|
pu etes tre	--⌫-|--⌫--|
pasbiensorsenes tr e	--|---|--|-----⌫--⌫|
or suisor dest re moi quechaut	-|--|--|----⌫-|--|--|----|
ceneme done ne ne u a ut	-|-|-|---|-|-|-⌫-⌫-|
iadamedieus	-|--------|
quegen ai biendenulepart	--|-||-|---|-|---|---|
estlilizd ont	--|-|--|-⌫--|
ou plussuitendrequ enesuei l	-|---|--|-----|--⌫|-|----⌫|
cuerune grant	---|--|----|
qu i s imalumemon	--⌫|-⌫||----|--|
quantuueildorm ir	----|----|----⌫-|
simefr e mis	-|-|--⌫-⌫--|
ormereliefet ormegis	-|-|-----|-|-|-|--|
acelu ipenser	|----⌫|-----|
que g e ui hier parci passer	--|-⌫|-|---|--|-|-----|
etqu ai geafaire	-|-|-|-||----|
cestlarien s quiplusm e	|--|-|----⌫|--|---|-⌫|
q u antme membr e des a	-⌫-⌫--|-|-----⌫|-|-⌫|
quechaut desabonte	--|----|-|-|----|
espoir feletuilai n s	-----|--|-|-----⌫-⌫|
etenui eusetdir e plains	-|----⌫--|-||--⌫|-----|
g editque il uersm oi	-⌫|--|--|-|---|-⌫-|
mesprisporqo iblasmerle doi	------|--|--⌫|------|-|--|
porqo i lo er	--|--⌫|--⌫-|
il mes anble molt debonaire	-|-|-⌫----|---|--------|
dontme uientore	---|-|----|--|
sozcieln ahomequi ne	--|---|||---|--|-|
soit beausadesmesu re	---|----||-------⌫-|
nushom plus	--|--|---|
belecr iatur e	---|--⌫-----⌫|
neuit nepue testremauuais	-|--|-|---⌫|----|------|
g e nele blamerai	-⌫|-|-|-------|
parfoi ilestetbeaus	--|--|-|--|-|----|
ettoique chaut quantiln esttiens	-|--|--|----|----|-||--|----|
aquefair e s e roitil mi ens	|--|----⌫|-⌫-⌫---|-|--⌫--|
ianestilpasraisonnebie ns	-||--|-|--|-----|-|---⌫-|
ne droiz qu ege	-|----|--⌫|-|
praignebaro n	------|----⌫|
congie duroi non	-----|-|--|--|
congie lasses i lonc respit	-----|----|-⌫|---|-----|
ian auroi ioie	-||----|---|
iapardieusegesens auoie	-|--|---|-|-|---|----|
le sienconseilnaten deroie	-|---|------||----⌫-----|
donttienggeore telparole	---|----|-|--|--|-----|
orainz fui saige etorsu ifole	-----|--|----|-|-|--⌫|---|
ue lz tu par toitelcon seil	--⌫-|-|--|--|--|---⌫---|
enn e t euient	---⌫|-⌫|----|
il mi elzaten d re	-|--⌫--|----⌫-⌫-|
filleesderoineetderoi	----|-|-|----|-|-|--|
de cepranraigebien conroi	-|-|------|-|---|-----|
seignor aurain ip uisfail lir	------|----|||-⌫--|----⌫--|
il n esta mon plaisir	-||--||--|------|
etq uest ce doncn ailbo nte	-|-⌫|--|-|---|||-|--⌫--|
adonquescestpl etm andé	|------|---|--⌫-|-⌫----|
t e plaistilbienoil parfoi	-⌫|-----|-|---|--|--|--|
mais genesaipa s neneuoi	---|-|-|--|--⌫|-|-|--|
commen tge	------⌫|-|
peussesauoi r	-----|-----⌫|
quegeli deiss el euoir	--|-|-|-----⌫|-⌫|---|
uels qu i lle	---|-|-⌫|-|
s aicheoilbie n	-⌫----|--|---⌫|
quantil meplaistsor toterien	----|-|-|-----|--|---|---|
etquan que	-|----⌫--|
liuoifai re	-|--|---⌫-|
pardienemeporroitdesplaire	--|--|-|-|------|--------|
et sigen t	-|-|---⌫|
otlesestriersdar gent	-|--|-------||--⌫---|
qu e lcol queluis	--⌫-⌫|--|---|--|
et que l esmains	-|---⌫-⌫-|----|
ge uilasse etleslorains	-|-|----|-|--|------|
etquele bouche porbaisie r	-|----|-----|--|------⌫|
seoit so rl edestrie r	----|--⌫|-⌫|-------⌫|
hedie usporrai geuiure tant	-|---⌫-|-----|-|----|---|
q ue gelepuisseamontalent	-⌫-|-|-|-----||--|-----|
auoirnelaurai	----|-||----|
passanzf aille	--|---|-⌫----|
entree suien gr ant bat aill e	-----|--|-|--⌫--|---⌫----⌫|
ainsi se d ementepar s o i	----|-|-⌫-----|--|-⌫-⌫|
to utenuit fuengrant ef fro i	--⌫--|---|-|-|----|--⌫---⌫|
orpen se or pleur eetor	-|---⌫-|-|-----⌫|-|-|
orli pla istqu elese reliet	-|-|---⌫--|-|--|-|-----|
ors echast iueorsecon fort e	-|-⌫|-----⌫--|-|-|---⌫----⌫|
etpuis siuorroitestre	-|---|-|------|----|
en tel to rment en tel doulor	-|--|--⌫----|-|--|-----|
f utot enuit	-⌫|---⌫|---|
greu eefuettraua illie	----⌫-|-|-|-----⌫----|
e t puis zz	-⌫|---|-|
poiasaa gi e	--|----⌫--⌫|
de tel torm en tde t ele mo rt	-|--|----⌫--⌫|-|-⌫--|--⌫-|
les elzclot et puissi sendort	--|--|---|-|---|-||-----|
ainz que leior	---|--|-|--|
peu stchoisir	---⌫-|------|
seresueillanepotdormir	-|--------|-|--|-----|
ainz uaitestera lafenestre	---|---|----||-|-------|
gar daa destre eta senestre	---⌫-||-----|-||-------|
sau oirse luerroitnulep art	---⌫--||-⌫|------|---|-⌫--|
celuiqui sil espr ant	----|--|-||----⌫--|
et qu antel o ttantentendu	-|--⌫--|-|-⌫|---|------|
gard a aualsi laueu	----⌫|---|-|||--|
deloi n gueni rle iouincel	-|---⌫-⌫|----⌫|-|-------|
maison quero is neuisibel	---|--⌫--|--⌫-|-|-|-|--|
ne sib ie n fait sicomlui	-|-|-⌫--⌫|---|-|--|--|
plaintsoi etpu is sou pireettranble	-----|--|-|--⌫-|---⌫---|-|------|
onques maisn e	-----|---|-⌫|
sot r ien sdamer	--|-⌫---⌫||---|
en est uet malend urer	-|---⌫--|--|---⌫---|
amorsmefait s o uen tt ranbler	----|-|---|-⌫-⌫---⌫|-⌫------|
nepuisd amo rsconseiltro uer	-|---||---⌫-|------|---⌫--|
autantm amast	-----||----|
et il en fust	-|-|-|---|
quienparlast	--|-|------|
etmonpereleco ns ent oit	-|--|---|-|--⌫--⌫---⌫--|
geledeuroieauoi r pardroit	-|-|------|----⌫|--|----|
maisn es tpas droi zquelerequiere	---||--⌫|--|----⌫|--|-|-------|
assezsomes	----|----|
dunemaniere	|--|------|
du ne beaute neduna aige	|-⌫-|-----|-||-|-⌫---|
nosnesomesp a s d un lignaige	--|-|----|-⌫-⌫||-|-------|
amonper e q uefaire	|--|---⌫|-⌫-|----|
ilententason autr eaffair e	-|-----||--|----⌫|------⌫|
que p orra ige doncdeuen ir	--|-⌫----⌫|-|---|-----⌫-|
porraitezmaus soufrir	-----|--|---|------|
manderm estuetc e queg eq uier	-----||-----|-⌫|--|-⌫|-⌫---|
maismessaigenio snoncier	---|-------|||-⌫|------|
as s ez uaut mie lzque g el idie	--⌫-⌫-|---|---⌫-|--|-⌫|-⌫|--|
doutquilnemesc ond ie	---|-|-|-||---⌫---⌫-|
etsildu toutme s condisoit	-||-|-|---||-⌫-⌫--------|
autresmess age	-----|----⌫--|
nusnefer asibienla	--|-|---⌫|-|---|-|
qua n t ciz	---⌫-⌫|--|
qui e lest	--|-⌫|--|
q u antilo se	-⌫-⌫--|-|-⌫-|
qu elpart leporrai ge tro uuer	--⌫-|---|-|-----|-|---⌫---|
commentporraialui pa rler	------|-----||--|--⌫---|
demain quan tge	-----|----⌫|-|
u e r ra ileior	-⌫-⌫-⌫--⌫|-|--|
gemenistrai	-||-|-----|
cilqui e nlachanbre	--|--|-⌫|-|------|
si latenraienz	-||------|--|
par ou ilu ontch as cun	--|-|-|-⌫--|--⌫--⌫--|
qua nt er tdes autresesloigniez	---⌫-|--⌫|--|-----|---------|
lic he r raiaspiez	-|-⌫--⌫-⌫--|-|---|
conteraili lagra nthaschie	-------|-|-|---⌫-|------|
quant geli	----|-|-|
auraitotgehi	----|--|---|
cr ierai lipordie ume rci	--⌫----|-|--|---⌫|--⌫--|
quest icedanequ etudi z	-|--|--|---|--⌫|-|--⌫|
estdont tonsens	--|---|--|---|
ainsipetiz	----|----|
astu totehonte perdue	-|-|---|----|-----|
quelraig eta es comm eue	---|----⌫|||--⌫----⌫--|
estusifole etsi	-|-|-|---|-|-|
qu astuetdimoitapen ssee	-|-|-|-|-|--|-|---⌫---|
assezuautmi elzquegeli	----|---|--⌫--|--|-|-|
oil fait elebien	--|---|--|---|
amorn asoingde sei g norie	---|||----|-|---⌫-⌫----|
ciln aimepasb i enquineprie	--||---|--|-⌫-⌫-|--|-|---|
lasseorai perdules e ns	----|-|-|----|-|-⌫-⌫-|
orsui cheueengrant po rpe ns	-|--|----|-|----|--⌫---⌫-|
ouuueilalertracier	-|----|---|------|
quantnesaiuoiene sentie r	----|-|--|---|-|------⌫|
quecha utcenemegrieuerie n	--|---⌫-|-|-|-|-----|---⌫|
queamormaidera bien	--|---||-----|---|
qua nt c e	---⌫-|-⌫|
et de uisé	-|--⌫----|
sia e ns on	-||-⌫|-⌫-|
c onseiltrouué	-⌫-----|------|
qu el e i ra	-|--⌫|-⌫-|
ace seti ent	|-|-|--⌫--|
l anui t tresspass e leio ruient	-⌫|---⌫|---------⌫|-|--⌫|----|
to u tela nuitfu endoulor	--⌫-⌫-|-|---|-|-|-----|
o nc n edormidesi au ior	-⌫-|-⌫|----|-|-|-|--|
sitostcomme	-|---|----|
la clarteuit	-|-----|--|
totsoauet issi du lit	--|-----|---|-|--|
merueil leest damorquicefait	-------⌫-|--||---|--|-|---|
quitotenbraceeta soitr ait	--|--|------|-||--|--⌫--|
sages hom fait	----|--|---|
estre sanz h onte	----|---|-⌫---|
sau oirquil	---⌫--|-|-|
aitriensnelimonte	--|----|-|-|----|
amorensei gnealer pa r	---|-----⌫--|---|--⌫|
seuremen tetsanz conduit	--------⌫|-|---|------|
tantcomplus sent	---|--|---|---|
letanso scur	-|---|-⌫---|
le cuerfe lonet dur	-|---|--⌫--|-|--|
to telac hangé	--⌫-|||-⌫-----|
a mor etmuet	-⌫--|-|---|
tantlamaine c om	---|-|----|-⌫-|
eur eestsiqualamort	---⌫|--|-|-||-|---|
amorsnegardedroitnetort	----|-|----|----|-|---|
neis danela filleau roi	---|---|-|----|-|--|
aele iat raitea soi	|--|-|-⌫----||--|
ne s et do ntestde	-|-⌫-|--⌫-|--|-|
qu el paraige	--⌫-|------|
ne n en tentpasson folcoraig e	-||--⌫---|--|--|--|------⌫|
quid e coitbie n quanquele	--|-⌫-⌫---|---⌫|-----|--|
he dieuscom a enpris folplait	-|----|--||-----|--|----|
ele a la chanbre desfermee	--||-|------|--------|
g uichets enest	-⌫-----||-|--|
e tuai tsicom cheminsli	-⌫|---⌫|-|--|------|-|
iusquea lbo isne s	-----|-⌫|--⌫-|-||
qui esto itpres de la cit e	--|----⌫-|---|-|-|---⌫|
auo it bienesgar dé	---⌫-|---|-----⌫--|
desfenestr es	--|-------⌫-|
ou elestoit	-|-|-----|
quantleuall ezilueques uoit	----|-|----⌫-|-------|---|
lors e st lez	---|-⌫-|--|
toutenue fors	----|--|---|
de ch e mis e	-|--⌫-⌫---⌫|
affu bleefud unman tel	----⌫---|-||-|---⌫--|
ilueque satent	-------⌫|----|
eleporpense q uedira	--|-------|-⌫-|---|
dieusfaitelequa nt i l	----|---|--|---⌫-|-⌫|
donezq ueiaiehardement	----|-⌫-||--|--------|
de di reluitotmontalant	-|--⌫-|--|--|--|-----|
atantfinese s oroi sons	|---|---|--⌫|----⌫---|
mai ntenantuitsescompaignons	---⌫------|--|--|----------|
sontuenu zsip res	---|----⌫|-|-⌫--|
quei lueoirnelespot	--|-⌫|----|-|--|--|
derrierszz arbre se	-------|-|----|-|
etcilpasse nt outresen uont	-|--|-----⌫-|----||-|---|
etnarcisusue noitderr iere	-|-------|--⌫---|----⌫---|
toz seus parm iune charnier e	--|---|----⌫|--|--------⌫|
etsiuint dr oi t	-|-|---|--⌫--⌫|
ala pucele	|-|-----|
silesgardam olt	-||------|-⌫--|
la uitbele	-|--|---|
porcequ a te l eureertl eue e	--|-|-||--⌫|---|--|-⌫---⌫|
cuida se fu st dees se o ufe e	----|-|--⌫-|----⌫-|-⌫|--⌫|
ducheua ldesc e nt	-|-----⌫|----⌫-⌫-|
si lencline	-||------|
presdeluisetraistlameschin e	---|-|--|-|-----|-|-------⌫|
ain zquelid ie sa parole	---⌫|--|-|-⌫-|-|-----|
presdeluisetrais tsilacole	---|-|--|-|-----⌫|-||----|
merueil lesoipor qoil a fai t	-------⌫-|--|--|--|||---⌫|
demandelique	------|-|--|
s ir e fait	-⌫--⌫|---|
elneuosanui t	-|-|--|----⌫|
unelassequitot bien fuit	--|----|--|--|---|---|
etqui molt poi prise sauie	-|--|---|--|----|-|--|
s epor c enonquen uos	-⌫|--|-⌫|--|-|-|--|
b e aussire gele uosdibien	-⌫-⌫--|---|-|-|--|-|---|
enuosmefi sor	-|--|-|-|--|
touteri e n	----|--⌫-⌫|
mescuer sests i poruos destroiz	--|----⌫|--|-⌫|--|--|-------|
des oremaisestilb ien	--|--|---|--|-|-⌫--|
qu e uosa iezdemoim erci	--⌫|--|-⌫--|-|--|-⌫---|
ne luosmantpasainzleuos	-||--|---|--|---|-|--|
gepripor moinon porau trui	-|--|--|--|--|--|--⌫---|
e sgarde moigardequisui	-⌫-----|--|----|--|--|
pard ieuges uifille	--|-⌫--|-|-⌫-|----|
gequiainsiparo lat oi	-|--|----|----⌫||-⌫-|
poruostreamorpe ns ior et nu it	--|-----|---|--⌫-|--|-|--⌫-|
amor mem ai neet cond uit	---|-|-⌫--⌫-|-|----⌫--|
ni uenisse pasaut rement	||------|--|---⌫-----|
elm adoné	-|||----|
telha rdement	--|--⌫------|
et sac hiezque merciuos	-|---⌫---|--|----|--|
q uee nuos	-⌫-|-⌫|--|
esttote mauie	--|---|-|--|
beausiredo nemoitamor	---|---|--⌫-|--||---|
renmoi santetoumoi doulor	--|--|----|--|--|-----|
tuseulme puez	-|---|-|---|
santedoner	----|----|
no snospoo ns bien entr ame r	--⌫|--|---⌫-|---|----⌫---⌫|
quassez so mesd unae	-|----|--⌫--||-|-|
d unema nieree tdebeaute	|--|--⌫----|-⌫|-|-----|
na rcisus l oi sienrit	--⌫-----||-|-|-|--|
sili a dit	-|-||--|
pardie upuc ele m oltesfole	--|---⌫|---⌫--|-⌫--|-|---|
quionq ues esm eus parole	--|---⌫--|---⌫--|-----|
etmalech oseas molt emprise	-|---|--⌫--|-|---|------|
quant da morses si	----||-⌫---|-|-|
entrep rise	------⌫---|
uenistencor dorm ir	-----|----|----⌫-|
queicisiseu le u eni r	--|--|-|---⌫-|-⌫---⌫|
meru eilleas faitetquehardie	----⌫----|-|---|-|--|-----|
silet ienga grantuile nie	-|-|-⌫---||----|----⌫--|
doita insialerfillea roi	---|-⌫---|---|----||--|
