apr esde ceque sainz	---⌫-|-|-|--|----|
repos eengaliceapresse zlaidem anzdessar razi ns.	-----⌫|-|-----|-------⌫|------⌫--|--|---⌫----⌫-||
p orquoiiemeruoill emolt q uetuqui tantes	-⌫-|---|-|--------⌫|---|-⌫-|-|--|-----|
t erres e sacquisesnede l iuresma	-⌫----|-⌫|-------|-|--⌫-⌫----|-|
terredessarrazins.	----|--|--------||
porquoi ietefais	--|---|-|-|---|
asauoirquare nsic	|-----|---|-⌫---|
c umnostresirest	-⌫-|-----|----||
aifa itlep lusp uissant	-|--⌫-|-|-⌫--|-⌫------|
d es roisterriensausi ctai l esleu	-⌫-|---|-------|----⌫|||-⌫|----|
entretozpordeliurermaterrede	----|--|--|-------|-|----|-|
l amaindesmoabitie ins et porapp araillierplaine mantmauo ie	-⌫|---|--|--------⌫--|-|--|---⌫--------|------⌫---|-|--⌫-|
et pe r ce tuacqueres lacorone degloire	-|--⌫|-|-|-------|-|-----|-|-----|
la uo iedes	-|--⌫-|--|
esto ilesquetuasuehuoucielsignefieq ue	----⌫---|--|-|-|---|-|---|-------|-⌫-|
tuuan rasens ambletungrantost p orcombat r eala	-|---⌫--|---⌫----|--|----|--|-⌫-|------⌫-⌫||-|
g entpaeni mmepordeliurer mauoieet mate rre	-⌫--|-----⌫--|--|-------|-|---|-|-|--⌫--|
poru eniror er en	--|-⌫---|--⌫-|-|
ete nmunsepulcreettan i rasdes ces	-|-⌫|--|-------|-||-|-⌫--|--|--|
contreesi usquea g alicee t	-------|-⌫----||-⌫----|-⌫|
aprestoi maintepu pl ei uanr onten	----|--|-----|--⌫--⌫||----⌫--|-|
pelinaig e deslun edes	--------⌫|--||--⌫|--|
me rs iusqu ealau tre porce qu	--⌫-|-----⌫|||--⌫--|--|-|-|
ip uissent empitrerper don delor mesfaizet qu il	|-⌫------|-------|---⌫--|-|--|------|-|-|-|
recom p oien tl es loset	-----⌫-⌫----⌫|-⌫-|--|-|
le smirac lesdenostreseignoretir ontdes to ntemps	--⌫|-----⌫--|-|-----|------|-|--⌫--|--|--⌫|----|
iusq uesalafindou mu nde.	----⌫--||-|--|--|--⌫--||
cumtuporrasquarie teseraen	--|-|-----|---|-|-|---|-|
a ideentotesc hosesetportun	-⌫--|-|----|-⌫----|-|--|--|
labo r ie teempi tre raiuers	----⌫|-|-|----⌫---⌫--|---|
nostre seignorl acorone	-----|------|-⌫|-----|
deuie etsisera ites	-|--|-|-|----⌫|--|
nunsengrant l osiusque e n	---|-|----|-⌫-|-----|-⌫|
e n telmeniereapparus tli apostres a	-⌫|--|------|-------⌫|-|-------||
etceschose s	-|--|-----⌫|
oies cha rles app araillase s gens et sesoz et	---|---⌫---|---⌫------|--⌫|---|-|--|-|-|
antraienespa igneporcombatre contrel es persiens .	-----|-|----⌫---|--|-------|-----|-⌫-|-------||
lap r emie recitequecharle sesso iia	-|-⌫-⌫----⌫-|---|--|------⌫|----⌫--|
fu pampiloine.	-|---------||
e tsisdeuant celisanzpanrepertrois	-⌫|--|-----|---|---|----|--|----|
ilfistsa prierea	-|---|-|-----||
nostr e seignor	-----⌫|------|
beaus si reihesucrizporlacu if oi	----|--⌫-|----|---|--|-|--⌫|-⌫-|
iesuiuenuz ences contrees	-|--|----|-|--|-------|
p or combatrecontreles m es creanzdonemoipanre	-⌫-|-------|-----|--|-⌫--⌫-----|---|--|----|
c este cite al onordeto n nu n.	-⌫---|---|||---|-|--⌫|--⌫||
otu bieneurezsainziasques se	|-|--------|----|------|-|
cee st uoirsquetuappari ssas	-|-⌫-|----|--|-|------⌫---|
la moip an re .	-|--|-⌫--⌫-||
ett antostperle	-|-⌫-----|--|-|
dondedeu etpe rla	--|-|--|-|--⌫|-|
pri eresaintia squeli murcheirent de	---⌫--|----|--⌫---|-|--|-------|-|
cefaiton lassaices	-|---|-|-----|--|
quiuorrentreceu oirbaptoismeet les autreso ccito ntoz	--|------|-----⌫--|--------|-|--|-----|-⌫---|-⌫|--|
cestmirac le oilisa rrazin	---|-----⌫-|-|-|--⌫-----|
uenoientadeuantdech a rl e etli	-------||-----|-|--⌫-⌫--⌫|-|-|
aportoienttreh uet lirandoien tles citezet	---------|----⌫|-|-|--------⌫|--|----|-|
ce leterre d esouzsontrahu.	--⌫-|----|-⌫----|--|----||
lagentsa rrazineueoientlesfr ancois	-|---|--⌫------|------|--|--⌫-----|
sinoblementues tuz etapparailliezilgit oientarr ierslor	-|--------|---⌫--|-|-----------|-|---⌫----|---⌫---|--|
ar mes etles	--⌫--|-|--|
receuoientenpais e tagranthonor	---------|-|---|-⌫||----|----|
etuintplai nement	-|---|----⌫-----|
kar lesuisit er lesepu lcresaint ia squeet	---⌫--|-----⌫-|-|----⌫---|----|--⌫---|-|
des enqui s enalaiiusque a	--|----||-|---|-----||
fichaienlamersa	-----|-|-|--|-|
lancee trandi g racesa deuet	----|-⌫|----|-⌫----||--|-|
asaintia sque quil	|----|--⌫---|--||
auoit iusqueenquiamené quar	----|-----|----|-----|---|
i l nepooit	-⌫|-|----|
a ler enoutre	-⌫--|-|----|
et fistabap tierlesme screanz	-|---||---⌫---|--|--⌫------|
perla mai n	--|-|---⌫|
turpi n larc eu esquec estasauoirces qui	-----⌫||---⌫--⌫----||--||-----|--|--|
seuosirentco nuertir	-|-------|--⌫------|
qu iencorn estoie ntbaptiz ié .	--⌫|----||------⌫-|------⌫--||
etcesquineseu orent conuertirfista	-|--|--|-|-|-⌫----|--------|---||
occ irreoua	---⌫---|-||
metreenla prisondes	----|-|-|-----|--|
cresti ens.	------⌫--||
desenqui sanal a iper toteespaigned es	--|----||-|--⌫-⌫|--|---|-------|-⌫-|
les ci tez etles plusgranz uilesque charles a cquist	--|--⌫--|-|--|---|----|----|--|------|-⌫-----|
ado nquesen galice	---⌫----|-|-----|
sontcestestotes cescit ez	---|-----|----|--|---⌫-|
pr i stcharles.	--⌫-⌫-|------||
lesunesabataille	--|---||-------|
le sautressanz batai l le	--⌫|-----|---|-----⌫-⌫-|
charles acquistfor squelusernequi es ten	------|------|---⌫---|------|--|--⌫|-|
uauluer t qu	-------⌫|-|
in epostpranre .	|-⌫|---|-----||
fin uientil deuan tet let sist	--|----|-|-----⌫|-||-|---|
de ua ntp eryymois etfistpri ere	--⌫--⌫-|-⌫-|-|---|-|---|---⌫--|
asaintias que	|----|---⌫--|
limurcheiren t etesten d esser tiusquea	-|--|-------⌫|-|--|-|-⌫-----⌫|-----||
a rendroit.	-⌫-------||
un s granzgorznoirsi	--⌫|----|---|----||
sordiouaigranz paisons n oirs.	----|-|-|----|------|-⌫---||
auc unesdes di tes	---⌫---|--|--⌫--|
cit ezacquistrentdeuantchallelegr ant	---⌫-|----------|-----|-----|-|--⌫--|
gallesetliem paraor dea le m aignequi	-----|-|-|--⌫-----|-|-⌫--⌫-⌫----|--|
puisreuindrentaspaiensiusque	---|---------|-|-----|-----|
a tempsdechar le .	|----|-|----⌫-||
etapressamortm aint	-|----|-|---|-⌫---|
roietmain tp rincesecombaterentenespaigne	--|-|----⌫|-⌫----|-|----------|-|-------|
cont rel as	----⌫-|-⌫-|
sa rrazins.	--⌫------||
c lodoueespre miers	-⌫-------|---⌫----|
francois crestiens c lotaires	-------|--------|-⌫-------|
dagobe rspupins charl em arte skarlescharuoz loyset karl emaignes	------⌫-|-----|-----⌫|-⌫----⌫|-----|------|---|-|----⌫-------|
soumire ntenlortemps	-------⌫-|-|--|----|
toteespaig ne.	---|------⌫-||
c esontl e s	-⌫|---|-⌫-⌫|
c harlesma lditquanti l lesot	-⌫-----|--⌫---|----|-⌫|--|-|
ac q uisesp ar	--⌫-⌫----|-⌫-|
granttrauailetporc eele ssont sanz	----|------|-|--|-⌫|---⌫|---|---|
h a bi torslus erne	-⌫-⌫--⌫---|---⌫---|
u ento secapparreetadanie .	-⌫----⌫-|-------|-|-----||
charlesd estr ui tlesydolesetlesuainesymai gesquil	------|-⌫----⌫--⌫|--|-----|-|--|-----|----⌫--|-|-|
trouaenespai gneforsquelyd ole qu	----|-|-----⌫--|------||--⌫--|-|
on ap ele salancadi squiestenl ate rea landalup h	-|--⌫--|---------⌫|--|--|-|-⌫|--⌫-|-⌫--------⌫|
lisarrazintesmoi gne n tqueliydoledema humet	-|-------|------⌫---⌫-⌫|--|-|----|-|--⌫----|
la queleilaorent i lla	-|----|-|-----|-⌫|-|
fist en son	---|-|--|
n un et enclotdedanz	-⌫-|-|-----|-----|
perenchantemantune	--|-----------|--|
legionded yablesqui	-----|-|-⌫-----|--|
tienentpersigrant force celeydole que	------|--|-|----|----|---|----|--|
apuetbrisier.	|---|------||
come acuns crestien sanapruche maintenantest perilliezet quant	---|----|--------⌫|-|------|---------|--|--------|-|----|
unssarra zin s iu ientpor	--|-----⌫---⌫||-⌫---|--|
aorerilsanrepaire	----|-||-|------|
to zsain s.	--⌫|----⌫||
se acunsoise ausse assietdesusilmuert maint enant.	-|----|----⌫--|-|-----|----|-|----|-----⌫----||
m erestune	-⌫-|--|--|
pierred eanciene	-----|-⌫|------|
ouredemainsarrazine	---|-|---|--------|
per des ouzes t l ar geet quar ree	--|---⌫--|--⌫|-⌫--⌫-|-|----⌫--|
et p e rde sus	-|-⌫-⌫|--⌫--|
estroiteetsies tdetant dehautc ome	-------|-|-|--⌫|-|---|-|---|-⌫--|
unscr ozsu etuoler.	--|--⌫-|--⌫-|----||
suscelepierreest celey maigequi e stdebon	--|---|-----|--|---|-⌫----|--|-⌫-|-|--|
archal enforme	-----|-|----|
d ometornee	|--|-----|
safacedeuers	-|---|-----|
oriantetensa dextre	-----|-|-|-|-----|
maintientunegrant	---|----|--|----|
e t di entli	-⌫|--⌫--|-|
sa rr azinque cele cler sl i charra dela	--⌫--⌫---|--|---|----⌫|-⌫|-----|-|-|
mainenlanque	---|-||-|--|
liroisseraneze nfra ncequimet retoteespaigne	-|---|---|--|-⌫|---⌫--|--|---⌫-|---|-------|
alalo i cre stienne .	|-|--⌫|---⌫------||
et quantil uerron tq uela	-|----|-|------⌫|-⌫-|-|
choi teilesc ondrontlorr icheces	----⌫-|-|---⌫------|--|-⌫------|
e ts enf uiront.	-⌫||-|-⌫-----||
charlesacreus tlesepulcres aint iasque	------|------⌫|-|-------|-⌫---|-----|
et s englisedelor	-||------|-||-|
etde largent	-|-||-----|
queliroi etliprinc ede espaignelidonerent	--|-|--|-|-|-----⌫|-|-------|-|-------|
etfistenquide moranceper tr ois an z poraorn er	-|---|----|--⌫------|--|--⌫--|--⌫|--|----⌫-|
etiestaublit	-||--------|
auesq u e et	-----⌫-⌫|-|
cheno ine sse lonc	-----⌫---⌫|--⌫---|
lareigl esa i ntysidore	-|-----⌫|--⌫-⌫-|------|
aues quee tconfess or et	----⌫--|-⌫|-------⌫-|-|
la ornai auenanme n tde	-|----|--------⌫-⌫|-|
cl oches d epailes	--⌫----|-⌫|-----|
deliurese tde aut reso rn emanz.	-|-----|-⌫|-|---⌫--|-⌫--⌫----||
et douremena ntdou tressorquilraportaide	-|--|------⌫-|--|------|-|-|-------|-|
espaigneil fist	-------|-|---|
m aint e s eng lise sc	-⌫----⌫-⌫|---⌫----⌫||
sauoirlenglisede	-----||------|-|
no st redamede aquisgrainelenglise d esaint iasqueen	--⌫--⌫-|---|-|----------||------|-⌫|----|-----|-|
celemeis uilel eng lise desaint	---|---|---||---⌫---|-|----|
iasqueaboorg e l engli sede	-----||-----⌫||-----⌫-|-|
sa intiasquea tolouse	--⌫--|-----||------|
etceliquiesten gasquoigneentre	-|---|--|--|-|---------|----|
l acit eq uo n di t a xeetsa inti eham	-⌫|---⌫|-⌫|-⌫|--⌫|-⌫-|-|--⌫--|-⌫---|
de sardue enla uoiede	-|-----|-|-|---|-|
s aintiasqu elenglise desaintiasqu e	-⌫---|-----⌫||------|-|----|-----⌫|
aparisent res aigneet	|----|---⌫-|-⌫----|-|
montmartreet	---|-----|-|
f ist abbaiessanzcompep e rlemonde.	-⌫--|------|---|----|-⌫-⌫|-|----||
q uan tcharle sfu	-⌫---⌫|------⌫|-|
re pairiezenfrance aygola nzacquistlater rede	--⌫------|-|-----|------⌫-|------|-|---⌫-|-|
aspaigneetoccitcesque charlesau oitla ssié	-------|-|----|--|--|------|--⌫--|--⌫----|
por garder lescha steause t lescitez.	--|-----|--|---⌫-----|-⌫|--|----||
et quantce oitcharles sirepaira arriers	-|----|-|--|------|-|------|------|
enespaigneensamble s es	-|-------|-------|-⌫-|
aozdesquex m iles dea ngeli e rs estoitg uierres.	--|--|---|-⌫---|-|-⌫-----⌫-⌫-|-----|-⌫------||
com eliaozcharlef ust hostalez	---⌫|-|--|-----|-⌫--|-------|
a baioneilauientquu ns ch eu aliersqui auoit nun	|-----|-|-----|-|-⌫-|--⌫--⌫-----|--|----|--|
rom ariques fumol t ma laide s	---⌫------|-|---⌫|--⌫-----⌫|
etpr uch ains de lamortqui	-|--⌫---⌫---|-|-|---|--|
seconfessae tcomunia.	-|-------|-⌫|------||
et comand a etzz	-|------⌫|-|-|
suencusi mqu il uandast sonc heu al et donast	---|----⌫|-|-|------|--|-⌫---⌫-|-|-----|
ascle rsetasbeseignou s	-|---⌫-|-|-|---------⌫|
le cheualie rmo rtcilcu iilot	-|--------⌫|--⌫-|--|--⌫|-|-|
comande ́ uandi	-------⌫|----|
lecheualyy sols etlesd espandi	-|-----|-|---|-|--|-⌫------|
enboireete nmain giereten	-|----|-|-⌫|----⌫---|-|-|
ma s por cequeliuaniance n os tre seignor s uet	--⌫|--|-|--|-|-------|-⌫--⌫--|------|-⌫--|
estrepr uchennea c eus	----|--⌫------||-⌫--|
qui malfontlimorsapparutaceluiqui	--|--|---|-|---|------||----|--|
auoitrecehu le p risdou c heual apre ssamortp er	----|-----|-|-⌫--|--|-⌫----|----⌫|-|---|-⌫-|
etliditsaiches tu	-|-|--|------|-|
que deu s maiperd o né	--|---⌫||-|----⌫-⌫--|
mes mesfaiz.	--|------||
mas po r c eque	--|--⌫|-⌫|--|
tuesret enuamal droitles	-|-|---⌫--||--|----|--|
chosesque iet auoi e coma n déad oner porl e	-----|--|-||----⌫|----⌫-⌫--||-⌫---|--|-⌫|
remede dem arme	-----|-||---|
i a iestéen	|-⌫|----|-|
gri espoinesper yy	---⌫-|-----|--|-|
porquo i ie te	--|---⌫|-|-|
f aissauoirquetuserasdemainen enfer et	-⌫--|-----|--|-|----|-----|-|----|-|
ieserai enparedis.	-|----|-|------||
limors s ede partie tliuisseesuoilla	-|---|-⌫|--⌫----|-⌫|-|--|-|-------|
tozespaonte zetlerecumpail a ndemainatoz .	--|--------⌫|-|-|-------||-⌫------||--||
etcesdel o stpa rlanze nsam b lede	-|--|-||-⌫-|--⌫----|-⌫----⌫-⌫-|-|
cele auan ture lidyableuin drent suscelui	---|----⌫---|-|-----|---⌫----|--|----|
ulanten samblancede	----|-|--------|-|
lyonsde lous	----|-|---|
e tdeuea u setlerauir ent	-⌫|-|---⌫-⌫|-|-|-----⌫--|
uif etsain	--|-|---|
entrelesautres.	----|--|-----||
cilfuq uisperm onzet per uaus a	--|-|-⌫--|--|-⌫--|-|--|---||
pieetacheualet ne	--|-||-----|-|-|
postestretrouez.	---|----|-----||
etcum li ooz s an	-|--|-|--||-|
t respassastperlesdesersd elaterre des	-⌫---------|--|--|-----|-⌫|-|----|--|
nauarr oisperyyior s apr escef ait	------⌫--|--|-|---⌫|---⌫-|-|-⌫--|
futro uezsanzl	-|---⌫--|---||
a rm e tozdebrisiez enlautace d	-⌫--⌫|--|--------|-||-----||
unero iche de suslaqui ai bien troisl egues	--|--⌫---|--⌫--|-|--|-|---|----|-⌫----|
yyiorneesd e lacit e ou ilfu rauiz	-|------|-⌫|-|---⌫|-|-|-|----|
orent enqui	----|----|
la sié lecors etlarme an	--⌫---|-|---|-||---|-|
orent p ortéenenfer.	----|-⌫----|-|----||
p orquo ic ilqui r eti enen tc e qu	-⌫-|---⌫|-⌫-|--|-⌫---⌫----⌫|-⌫|-|
doneret quon com andea donerenarm o ne	----|-|-|-|---⌫---||----|-|---⌫-⌫-|
serontperpe tuaplemant dam pné .	-----|-----⌫---------|---⌫---||
comecharle se t milesquerissient	---|------⌫|-⌫|----|----------|
aygolantperespa ig ne i ll e	-------|--|----⌫--⌫-|-⌫|-⌫|
trouerent perauantureen la terequondit de	--------|--|-------|-|-|---|-|-|--|-|
campis su sle	-----|--⌫|-|
flu uequ o n	---⌫-|-|-⌫|
dit ce iaenun e praerie de tres grant	--|--⌫-|-|--⌫|------|-|---|----|
plenaceo uq uelleukarle	------|-⌫|-⌫--|--|----|
fundaiuneabbaieenlaqu ellerepossentsainz fauconset	-----|--|-----|-|-|--⌫---|--------|----|------|-|
sainz pri mit is	----|---⌫---⌫-|
iaiarandroit	|-|--------|
grantu ileetgrasse .	----|-⌫--|-|-----||
etqu antch arles	-|--⌫--|--⌫----|
sapru chai delostaygo lantc il li	|----⌫---|-||--|----⌫---|-⌫-|-|
mandabatailleasa uolunteyyc ontreyyyycont re	----|-------||-|------|-|-⌫----|-|-|----⌫-|
yyyycontreyy	-|-|-----|-|
yycontreyyyy contre yyyy	-|-----|-|-|-----|-|-|
co nt re yy	--⌫--⌫-|-|
ouzzcontre zz.	-|-|-----|-||
ch arl esanenu oia yy	--⌫---⌫-|-|---⌫--|-|
contreyydesaygolan te tlisarrazin furentu ain cu .	-----|-|--|-------⌫|-⌫|-|-------|-----|-⌫---⌫-||
apr e s yycontr e	---⌫-⌫|-|-----⌫|
sarrasin fur ent uain cu .	-------|---⌫--|----⌫-||
apresyycont reyyetlisarrasinfuren t	----|-|----⌫-|-|-|-|-------|-----⌫|
apresyy contre yyet u nepartie	----|-|-----|-|-|-⌫-|-----|
de sarrasinsfurentocciset li autres	-|--------|-----|----|-|-|----||
an foirent.	-|------||
apres ceay golanzgetai	----|-|--⌫-----|----|
etcoigneu sque ch arl e sperdroit etli	-|-------⌫|--|--⌫---⌫-⌫|-------|-|-|
ma ndaiqui lueniss e ntl	--⌫---|-|-⌫|------⌫-⌫-||
andem ainenplai ne bataille	-----⌫--|-|----⌫-|-------|
laqu el c hosefuacordee	-|--⌫-|-⌫---|-|------|
desparties.	--|------||
de crestieinsq ui eurentappara illies	-|---------|-⌫-|-----|------⌫-----|
lorarmeslesoirdeuant la	--|----|-|---|-----|-|
bataillef i c herentle shastesde	-------|-⌫-⌫-⌫-----|--⌫|-----|-|
lo rlances t o tes droi tesdeuantles a bergesen	--⌫|-----|-⌫-⌫--|----⌫--|-----|--|-⌫-----|-|
etl andemainillestrouerent cuuertesdeescorce	-||-------|-|--|--------|-------|-|------|
e t fuillies	-⌫|-------|
et cestoit signesdeceus qu i deuoientrece uoir martyre	-||-----|-----|-|---|--⌫|-------|----⌫---|------|
en la bataille.	-|-|-------||
et cilqui furentmoltmerueilleus	-|--|--|-----|---|----------|
les tranch erentapres	--|------⌫----|----|
racinesqui	------|--|
demorentcr eurent e nmeniere de pe rches	-------|--⌫-----|-⌫|------|-|--⌫----|
etdeuindrentgrant arbr equienco reappariss ent en	-|---------|----|----⌫|--|----⌫-|--------⌫--|-|
celleuet maintesan iauoitd e	--|--|-|------|-||----|-⌫|
et ce f utgrant ioie s	-|-|-⌫-|----|----⌫|
p ro fitdes armesmasgranzdescroisemanz	-⌫--⌫--|--|----|--|----|------------|
des cors .	--|---||
a celui iors bataille essambleedesparties yydes	|----|---|-------|--------|--|------|-|--|
crestiei nsi	--------⌫-||
fur en toc cisetli duxmiles	---⌫--⌫|--⌫--|-|-|--|----|
li peresroolanti	-|----|------||
re ceutmar tyr e	--⌫---|---⌫---⌫|
aueccescuileslancesfoillirent.	---|--|--|--|-----|---------||
etcheuascharlei	-|-----|-----||
et charlesde moraia pie	-|------|--⌫----||--|
e nsambleyy cresti einstoz	-⌫------|-|------⌫---|--|
apie enmiles sarrasins et trait ioouse	|--|---|--|--------|-|----|-----|
s es pe eetantranchaimai nsd esm e screanzp er	|--⌫--⌫|-|-|-------|---⌫-|-⌫-|-⌫-⌫------|-⌫-|
lem oita nt.	-|-⌫----⌫-||
etdeui ronleuesp re lespartiesse	-|----⌫--|-|----⌫-|--|------|-|
retrair ent aloraberges.	-------⌫--||--|------||
etlandemainquatrem erquisdelombar d ieensamble	-||-------|-----|-⌫-----|-|------⌫-⌫-|-------|
homesaarmesuind r enten	----||----|----⌫-⌫--|-|
s ecorsach arle .	-⌫----||--⌫---||
et quantaygolenz lesotils anfoi	-|----|-------|-|--|-||-|--|
ascontr eesdou liege etcharles s anrepairaen	-|-----⌫--|--|----|-|------||-|------|-|
e ncestebata illepueton e ntandr e ces qui	-⌫|----|----⌫---|---|-|-⌫------⌫|--|--|
se com batentpor i hesu	-|---⌫-----|--|-⌫---|
qua rausi cumli cheua li ercharleap pa raillerent	---⌫|---|--|-|-----⌫--⌫-|-----|--⌫--⌫---------|
lo r ar mesde uant	--⌫|--⌫--|--⌫---|
labataille au si nosn osdeuons apparail lieret garnirde	-|-------|--⌫-|--|-⌫-|-----|--------⌫---|-|-----|-|
bonesu ertuz	----|-⌫----|
por combatre contrele s uic es etdeuons	--|-------|-----|--⌫|---⌫-|-|-----|
auoirfoicontre h eresiecharitecontr	----|--|-----|-⌫-----|------|----|
aine largice contreauari cehumi litecontreorg uil	---|------|-----|-----⌫-|----⌫---|-----|---⌫--|
chasteycontreluxureassiduelorisoncontre	------|-----|-----|-------|-----|-----|
latemptation d oudyablepourete c o ntrele s deliz	-|---------|-⌫-|-----|------|-⌫-⌫---|--⌫|----|
dou mundeperseue rancec on tr edespe rance taisib lete	--|----|-------⌫----|-⌫--⌫--⌫|-----⌫----|------⌫---|
con tretancom obediencec on trela uolunte humaine	---⌫--|-----|--------|-⌫--⌫--|-|------|------|
etensic serai no strelance florie a	-|----|----|--⌫---|----|-----||
iordouiuise.	--|--|----||
molt bieneureeetbienflo riesera	---|--------|-|---|---⌫--|---|
ouparadisli arm ede	-|------|-|---⌫|-|
celuiquilo iamentsecombat raicontre	----|--|--⌫-----|-|------⌫--|-----|
les uices.	--|----||
etausicu mli cheual i erch ar le furentmort en	-|---|--⌫|-|------⌫-⌫-|--⌫--⌫-|-----|---|-|
batailleporlafoi	-------|--|-|--|
au sin osdeuo nsmortifier	--⌫-|-⌫-|----⌫-|--------|
ennoslesuices et nosdeuonsgarn ir	-|--|--|----|-|--|-----|----⌫-|
persaint esuertuz porcequenospui siensauoir le	--|-----⌫-|-----|--|-|--|--|---⌫----|----|-|
signe deuictoireor né deflorsouregne	----|-|-------|--⌫--|-|----|-|----|
celestial.	--------||
apresd ec e	----|-⌫|-⌫|
aygola nz amassaig enzsanz num brec	------⌫-|------|-⌫--|---|---⌫--||
est asauo irsarrazinsmorasta insmo abitieins	--||----⌫-|--------|-------⌫--|--⌫--------|
ethiopieinst urs affriq ueinspersieinsettex ephum le roi de	----------|-⌫--|------⌫----|--------|-|---⌫----|-|--|-|
ar abe bo r rca leroi d alixandrieauitu m	--⌫--|--⌫-⌫--|-|--||---------|-----⌫|
le roi debugi eopi nca	-|--|-|----⌫|---⌫--|
le roid aga bie fatimum le roidebarbar ieailis	-|--||---⌫--|------|-|--|-|------⌫-|----|
leroide marrochaph inorge roid ema ioricemaimun t	-|--|-|------|---⌫-----|--|-⌫|--⌫-----|------⌫|
d emeq ues eb rahi m	-⌫|---⌫--|--⌫----⌫|
l e roide sibile	-⌫|--|-|-----|
a ltumaior deco rdub ieetsanuientiusque	-⌫-------|-|--⌫----⌫-|-||-|----|-----|
engascoigneetla p rist	-|--------|-|-|-⌫---|
etenq ui il mandai	-|---⌫-|-|-----|
acharle qu ilue nistaluienpaisa	|-----|-|-|--⌫---||--|-|---||
petitemesnieetil li donroitgranz	-----|-----|-|-|-|------|----|
rich acesyy	----⌫---|-|
cheuasc hargie zd or etd	-----|-⌫------⌫||-|-||
argen tsiluoloitobeir	-----⌫||-|-----|----|
etced is oit so ulemantporceque	-|-|-⌫--⌫--|--⌫------|--|-|--|
il leuolo it coignostre	-|-|----⌫-|---------|
etoc c irreen bataille.	-|--⌫-⌫---|-|-------||
mascharlespansa bi en cele fraudeetuienta	--|------|----|--⌫-|---|-----|-|----||
lu i ensambleyyarmeures	--⌫|-------|-|-------|
deferiusque	-|--|-----|
ayymilles de lacited e ag e n ni	|-|-----|-|-|---|-⌫|--⌫-⌫-⌫-|
ete nquiles escondiet	-|-⌫---|--|------|-|
manai auecluiyyche ualiersiusqueaunemontaigne	----|---|--|-|---⌫------|-----||--|--------|
presdela cite et	---|-|-|---|-|
enq uilassa	---⌫-|----|
ce us etm uaisonueste man t	--⌫-|-|-⌫--|--|-----⌫---⌫|
sonescul mis darriersdos sanzlanceaueclu i	--|----|--|-------|--|---|----|---|--⌫|
zzsoul cheualiers	-|---|--------||
a n ui e nt alacite .	-⌫|--⌫-⌫-||-|---||
etci lde lacitelordirentqu	-|--⌫|-|-|---|--|-----|-|
ilqueroient .	-|--------||
