q uipres de	-⌫-|---|-|
fetla ui e illed eliurem ent	--|-|--⌫-⌫---|-⌫-------⌫--|
et cilqu isoncomma ndement	-|--|--⌫|--|-----⌫------|
uou t fere san z nulcontredit	---⌫|---|---⌫|--|--------|
quela uieilleli dit	--|-|------|-|--|
amou rsenso ndestro it	----⌫-|-|--⌫|------⌫-|
etcele plie mo ltestroit	-|---|---|--⌫-|------|
leser co t et	-|---⌫--⌫|-|
met sousse isele	--|---||-⌫----|
puisest leueedesa sel e	---|--|----|-|-|---⌫|
siafubla zz ma ntel c ourt	-|-----|-|--⌫---|-⌫---|
einsiuerscelostel	----|---|--|----|
iorde marchi e	--|-|------⌫|
lauieille ot moltbienesp i e ́	-|------|-|---|---|---⌫-⌫-⌫|
que lisire n iert paslaiens	--|-|---||---|--|-----|
etd ieus dist eleso itc eans	-|-⌫---|---|--|--⌫-|-⌫---|
dieus s oitouo smadouce	----|-⌫--||--⌫|-|----|
etil ert hui	-|-|--|--|
mercide lame	----|-||--|
delautreda mequiest morte	-||----|--⌫-|--|--|----|
dont m e s c uersmolt sedesconforte	---|-⌫-⌫|-⌫---|---|-|----------|
m e intiorma	-⌫-⌫--|--|||
ceanzh onor ee	----|-⌫----⌫-|
b ie n ueignie z	-⌫--⌫|-------⌫|
uosdameau be ree	--|---|--⌫--⌫--|
distuene z seoir	---|----⌫|----|
ma damei euosuie igueoir	-|---|-⌫|--|---⌫-|----|
uos acoi nter me	--|----⌫---|-|
ienepasse puis uostre	-|-|----|---|-----|
que laut re damemortefu	--||---⌫-|---|----|-|
quion quesneme fistrefu	--|--⌫---|-|-|---|---|
d e riensqueie	-⌫|----|--|-|
lidemandasse	-|---------|
c ertesseieli d emandass e	-⌫----|-|-|-|-⌫--------⌫|
a fere unecho se	|---|--|---⌫-|
selfeist ele par monc hief	-||----|--|--|--|-⌫---|
dieu s lasoillee lmefistmeint bien	----⌫|-|-----|-⌫|-|---|----|---|
dameaubereefaut	---|------|---|
il uosrien	-|--|---|
ser iensuo s faut di tesle nos	-|-⌫---|--⌫|---|--⌫--|-|--|
oildameie uiei ga uos	--|---|-|----⌫||--|
unegouteamafill e en	--|----||-|----⌫|-|
siuoi lauoirde	-|---⌫|----|-|
uos uinblanc	--|--|----|
s ou ldeuospeinsfetiz	-⌫--⌫|-|--|----|----|
mesquece soitlepluspetiz	--|--|-|---|-|---|----|
dieusmerc icomi ensui	----|----⌫|--||-|--|
messim en ang oise l a teuse	--|-||-|---⌫---|-⌫|----|
m econuientdemander	-⌫|-------|-------|
ie n enso i onques truande r	-||-|--⌫|-----|-------⌫|
eincne men	---|-||-|
soiaidierparmame	--|-----|--||--|
etuos enarés dist	-|--|-|----|---|
qui iertapriueemesnie	--|---||-----|-----|
c ele qui bienest enr esnie	-⌫--|--|---|--|---⌫----|
de lesla bou rioisesasiet	--⌫--|-|---⌫-----||----|
certes dist	-----|---|
elemolt m esiet	--|---|-⌫|---|
quei oidetoi	--||-|-|--|
sigrant bi en dire	-|----|--⌫-|---|
commentse contie ntor tons ire	------|-|------⌫-|-|--|-⌫--|
te fet ilpoint debel e chiere	-|--|-|----|-|---⌫|-----|
hacomil a uo itl	-|--|-|-⌫--⌫-||
autr echi ere	----⌫|---⌫--|
el auoitmolt des o ndelit	-|----|---|-|-⌫-⌫|----|
b ienuodroieuoe r	-⌫--|------|---⌫|
lors sauroie certa inement	---|------|-----⌫------|
setugis ausir ichem ent	-|-|--|---|-⌫-----⌫--|
comfesoitlapremierefame	--|-----|-|-------|---|
m eintenan tselieu eladame	-⌫--------⌫|-|----⌫|-|---|
etpuisd ameaubere e	-|---|-⌫--|------⌫|
enunecham breil uecques pres	-|--|----⌫--|--⌫------|---|
an deusensemble senalerent	--⌫---|-------||-|------|
d e plusors chosesi parlere nt	-⌫|------|-----||-------⌫-|
mesla uieillela sert	--|-|------|-|---|
moutreses robes	-----|--|----|
apreslimout re	----|-|----⌫-|
unegran tcouche	--|----⌫|-----|
puisdit ladameci secouch e	---|--|-|---|-|-|-----⌫|
le ssonflanc	--⌫|--|----|
li lizfude	-|--|-|-|
haut fuerreblanc	---|-----|----|
ouilot grant	-|-|-|----|
coutede pl ume	----|-|--⌫--|
et porcequeil	-|--|-|--|-|
ad eseureunecoute pointe	|-⌫-----|--|----|-----|
la uieille	-|------|
otune ag uillepointe	-|--|--⌫----|-----|
et zzdeelencel	-|-|---|-|--|
que desouz	--|-----|
seis sel eportot	|---⌫---⌫|-----|
moltlet intpresd eso ncost e l	---|-|-⌫--|---|-⌫|--⌫|----⌫-⌫|
quequel a dame de l o s te l	--|--|-⌫|---|-||-⌫-⌫--⌫|
limoutresabeso ignetote	-|-----|-|----⌫---|---|
etlauieille meintenan tboute	-|-|------|---------⌫|----|
pardesouzlacoute	--|-----|-|----|
etlor sdistpuis	-|---⌫|---|---|
l apentecouste	-⌫|----------|
ge messirichelit	-|--|-|----|--|
plusasasezdetondelit	---|-|---|-|--|----|
con ques not	|--⌫---||-|
lautre ce mesemble	|----|-|-|-----|
at ant s enissent dela	|-⌫--||-|-----|-|-|
etlauieil le	-|-|-----⌫-|
toriorssermonne	--|---|-------|
lad ame meint enant lidone	-|-⌫--|-----⌫----|-|---|
deuin et unemi ch e	-|--|-|--|--⌫--⌫|
piece des a	----|-|-⌫|
e tdepo is	-⌫|-|--⌫-|
biena labourioiseabertee	---||-|--------|------|
la uieille	-|------|
q uelen esetpas	-⌫|--|-⌫|--|--|
qu elabou téd eso us	-|-||---⌫--|-⌫---⌫-|
p lus nes e st	-⌫--|-||-⌫-|
laui eill e arest ee	-|--⌫----⌫|-----⌫-|
en sames one s t ret ornee	-|-|---⌫-|-⌫-⌫|---⌫----|
quiaso noste ls	--||--⌫|----⌫||
duborge isdireme	-|-----⌫-|---|-|
tozseusde lauile repere	--|---|-|-|---|-----|
etotestéenson a fere	-|-|----|-|--|-⌫---|
que dormirseuol eit	--|-----|-|---⌫--|
por ce quelec hief li do leit	--|-|--|-|-⌫---|-|--⌫---|
ensachambreentresise couche	-|-|------|----|-|-|-----|
tan tos tcom ilfususlacou c he	---⌫---⌫|--|-|-|--|-|---⌫-⌫-|
s is entle sercot bochoie r	-⌫|-⌫--|-|-----|-------⌫|
lor slecommenc eaen poig nier	---⌫|-|-------⌫||--⌫----⌫---|
q uecestqu i leg rieue	-⌫-||--|--⌫|-|-⌫----|
meintenant lacouchesouzli eue	---------|-|-----|------⌫--|
si enatr etle	-|-||--⌫-|-|
sercotfors	-----|---|
orli bo utastelcors	-|-|--⌫----|-|---|
zzco utelpardesou z le	-|--⌫---|--|-----⌫|-|
n entresistilgout e	|-|------|-|----⌫|
tant estd urem e ntesbahiz	---|--|-⌫----⌫-⌫-|------|
h alasd istilt antsuitraiz	-⌫|--|-⌫--|-|-⌫--|--|----|
oncce ste fame ne ma ma	--|--⌫--|---|-||-⌫-|
lorsuint al	---|---|||
uissil efe rma	--|-|-⌫|--⌫--|
mein tenanta lesercot pris	----⌫-----||-|-----|---|
car ialosiela soupris	--|------|||------|
quie st pir e que	--|-⌫-|---⌫|--|
mald edens	--|-⌫|---|
deforsl eremire etdedens	-----|-⌫|-----|-|-----|
q uilsemblec achater leu eille	-⌫|-|-----||------|-|-⌫----|
n ilnamembrequi	|-|||-----|--|
ne s edu eil le	-|-⌫|--⌫---⌫-|
tantestple ins d e	---|--|---⌫--|-⌫|
corouzetd ire	-----|-||--|
dis t ilque	---⌫|-|--|
porrai dire	-----|---|
decest sercotbiensaip ar m	-|---|-----|---|--|-⌫-||
quile stau	-|-|-⌫-|-|
lecheo rmafame	------⌫|-|---|
eleconsenti	--|-------|
lorsl eprist ets i	---|-⌫|----|-|-⌫|
apre s sor sonlitsapoia	----⌫|--|--|--||----|
etpe nssaqueil	-|--⌫---|--|-|
porr a fer e	----⌫|---⌫|
et complusp ense	-|--|---|-⌫---|
ason afere	|--|----|
pl us sestdeablesen	--⌫-||--|------|-|
tantquei funuis	---|--||-|---|
que leshuisuitclosparla	--|--|---|--|---|--|-|
lor s prentsa famesi la rue	---⌫|----|-|---|-|-|--|
p armilusfors delameson	-⌫---||-|---|-|-|----|
celequi n e	---|--|-⌫|
setl acheson	--||------|
apoide duel ne stacoree	|--|-|---||-⌫-|-----|
atantesuosdam eauberee	|---|-|--|---⌫|------|
quide luis e pernoitregart	--|-|--|-⌫|------|-----|
ma b elef illedieusuosgart	-|-⌫--|-⌫---|----|--|---|
f etlauie ille	-⌫-|-|---⌫---|
quefetesc i	--|----|-⌫|
hadameauberee merc i	-|---|------|----⌫|
monsire e stcoro c iéa	--|---|-⌫-|----⌫-⌫--||
nes ai quelen liaconté	-|-⌫-|--|--|-||-----|
c armefetestantdebo nte	-⌫-|-|----|---|-|--⌫--|
qu auecmoi	-|---|--|
ueigniez ch es mon p e rre	-------|--⌫-|--|-⌫-⌫--|
e lepa rse in tpere	-⌫-|--⌫|--⌫--⌫|---|
u odroieporgrantchose	-⌫-----|--|----|----|
p er estec hose	-⌫--⌫-|-|-⌫---|
ilcuideroit queentrese t	-|--------|--|-------⌫|
tonseignorf et	--|------|-⌫-|
ou quil t eustpriseprouee	-|-|-||---|----|-----|
etotonlecheortrouee	-||--|------|-----|
or est espoirleuileiniures	-|--|-----|-|-----|----|
etdemein ensera del iur es	-|-----|-|---|---⌫---⌫-|
mes ie teloen	--|-|-|-|-|
ui eignes auecmoi	--⌫-----|---|--|
qued es or sontlesruesui des	--|-⌫-|-|---|--|---|--⌫--|
mieusenpl oias	----|----⌫---|
que t unecuides	--|-⌫|-|-----|
lepeinlacharleu inl espois	-|---|-|---|-|-⌫-|-⌫-|---|
doublepo is	-----|--⌫-|
leguer redon etl eser uise	-|----⌫----|-|-⌫|---⌫---|
etsie r t totfe t	-||--⌫-⌫|--|--⌫|
quantquetusaur asdem ande r	-------|-|----⌫-|---⌫----⌫|
com mander	---⌫-----|
cartusera s moltbien ce lee	--|-|----⌫|---|---|--⌫--|
enunechambrea	-|--|------||
queiaamene	--|-|--|-|
t i s au ra	||-⌫--⌫-|
ius quatant que tessiresau ra	---⌫-||---|--|--|----|--⌫-|
trespas see totesiures ce	-------⌫--|---||-----⌫-|
meinte na ntl a uieillesadre ce	------⌫--⌫-|-⌫|------||----⌫-|
uerssonos tel ladam eenmei ne	---|--|--⌫--|-|---⌫|-----⌫-|
damedist eleune sem ei ne	---|---|--|--|---⌫--⌫-|
porriezuos molt bie n cie stre	------|--|---|---⌫|-|-⌫---|
quenusne saura ia	--|--|-|----|-|
uostreestre	-----|----|
proiem olt demengier	----|-⌫--|-|------|
me sla bor iois een f i stdan gier	--⌫|-|---⌫----⌫|-|-⌫-⌫-|---⌫---|
meni as ti usqu	----⌫--⌫|-⌫---|
por quoielea	--|---|--||
telhonte eue	--|----|--|
dameaubereese st	---|------||-⌫-|
acestmot del ieplu sproier	|---|--|-|-⌫-|---⌫|-----|
lorslame neeporcouchier	---|||--⌫--|--|-------|
enunechambrei lue c deiouste	-|--|------|-⌫---⌫|-------|
sor bon s draset sor b one	--|---⌫|---|-|--|-⌫--|
pui s frema bienlusa laclef	---⌫|----|---||-||-|---|
desonostels	-|--|----||
en ist soef	-|--|---|
pourleual letquined or tpas	---|-|---⌫--|--|-|-⌫--⌫|--|
torneetr etorne e n sonlit	----|-|-⌫-----|-⌫|--|--|
moltc rientla uieillenel	---|-⌫----|-|------|-||
decequeli aen c ouent	-|-|--|-||-|-⌫----|
ducuer ensoupireforment	-|---|-|------|------|
lorssaut de son littr estouz nuz	---|---|-|--|--|--⌫-----|--|
puisseu es t s ien	---|-|-⌫--⌫|-⌫|-|
a un efenes trea poier	|--⌫|-----⌫--|-⌫----|
et lauieille	-|-|------|
quisonloier	--|--|----|
chi ef en c h iefdeser uir	---⌫-|-|-⌫-⌫--|-----⌫--|
et le uallet en gre seruir	-|-|-----|-|--|-----|
ne gu enchi st destrenesenestr e	-|--⌫-----⌫-|-----|-|-------⌫|
le uallet t rueuea la fen e st re	-|-----|-⌫----||-|---⌫-⌫--⌫-|
quilidemandequieus noueles	--|-|------|-----|------|
ieste dir ai	|-|-|---⌫-|
dist elebeles	---|--|----|
carietien gt	--|-|----⌫||
amieenmes laz	---|-|--|--|
pueztouzt essoulaz	---|---|-⌫-|-----|
deme inaprescestee ur e	----⌫-|----|----|-⌫--⌫|
le ualletl o t plus	-|-----||-⌫|---|
ned emeure	-|-⌫-----|
quela uieilleaseruia gre	--|-|------||----||--|
soefa uale le gre	---|-⌫---|-|--|
a lostels enuienent ensembl e	||----||-|------|-------⌫|
nauoitgueressicom	|----|-----|-|--|
que labourio ise	--|-|------⌫--|
iertendor m ie	---|-----⌫-⌫-|
quidesiroitsamie	--|-------||---|
se deschauceetsis e	-|--------|-|-|-⌫|
damefetilse le sorgeille	---|--|-||-⌫-||-------|
que feraig ie	--|----|-⌫-|
ou rerueil paruostrecongie	--⌫--|---|--|-----|-----|
ca rbien m auezr en dum on	--⌫|---||---|-⌫--⌫-|-⌫-|
conseillere ad r oit	----------||-⌫-⌫--|
fe t lauieilleuasic ouche	--⌫|-|------|-|-|-⌫----|
etse point uers toi sec orouche	-|-|----|---|--|-|-⌫------|
etelecrieet	-|--|---|-|
lieuelarobe	----|-|---|
si ent reens	-|---⌫-|--|
sitos t com elte se ntira	-|---⌫|--|-|-|--⌫----|
autre men tlabes oigneira	-----⌫---⌫|-|---⌫----|--|
meintena ntla uer rastesir	--------⌫-|-|---⌫--|----|
porras fere tonple sir	-----|---|--|---⌫--|
le u alletestaulit al e z	-|-⌫----|--|-|--|--⌫-⌫|
l eslabourioise sest couche z	-⌫-|-|--------||--|------⌫|
et moltsoefal uiadoise	-|---|---||-⌫-|-----|
atant sesueilla labo rioise	----||-------|-|--⌫-----|
quidepaour e st	--|-|----|-⌫-|
tressaillie	----------|
quantce li sen tsiest	----|--⌫-|---⌫|-|--|
hors dulitm es cillen bracha	---|-|--|-⌫-|--||--⌫-----|
etd istbeletreez	-|-⌫--|---|----|
queiesuiuostrechi e ramis	--|-|--|-----|---⌫-⌫|---|
auez adolour	---||-----|
mestant ai fetl a	--|---|-|--|-⌫|
d ieumerc i	-⌫--|----⌫|
quetote soleuostiengci	--|---|---|--|----|-|
dedenzcestechambreenserree	-----|----|------|-------|
parl econsei l	--|-⌫|------⌫|
dameaubere e	---|------⌫|
certesdist eler ien s	-----|---|--|-⌫---⌫|
qu e ie c rieraiiasihaut	--⌫|-|-⌫-----|-|-|---|
qu e ciuer rezmolttost	--⌫|-|---⌫--|---|---|
tot elagentdeceste	---⌫|-|---|-|----|
parfoidist	--|--|---|
ilriensneuos	-|----|-|--|
c iuoigeforsque uosho nte	-⌫|--|-|---|--|--|--⌫--|
quantlagrantgen te tlamenue	----|-|----|---⌫|-⌫|-|----|
u osuerron tlesmoitotenue	-⌫-|------⌫|--|--|---|--|
ilest iapres demienuit	-|--|-|---|-|------|
niaurazzseulq uine cuit	||---|-|---|-⌫-|-|---|
que iaiefe t	--||--|--⌫|
agrantp lente	|----|-⌫----|
de uostr e corsmauolen te	-|-----⌫|---|-|-----⌫-|
mieusuie ntasez quesoitemblee	----|---⌫-|---|--|---|-----|
ac eusdeforsnostrea semblee	|-⌫--|-----|-----|-⌫------|
quenu s fors	--|--⌫|---|
qu enostroisle s ache	--⌫|--|----|-|-⌫---|
atantsoe f uerssoilas ache	----|---⌫|---|--|-|-⌫---|
silenbrace parmile s f lans	-||------|----|--⌫|-⌫---|
qu el otmolttendre s	-|-|-|---|------⌫|
etmo ltblans	-|--⌫-|----|
laboucheli bese	-|-----|-|---|
laborge isenesetqueface	-|-----⌫--|-|--|--|---|
mi eu sliuendroit estr e	--⌫--⌫|-|-------|----⌫|
quelporroit acuil lir tellos	-|-|------|-----⌫--|--|--|
parsesuoisinsettelrenon	--|--|------|-|--|----|
iamesnauroitse	-|--||-----|-|
oresttorne eenautre fueil	-|--|-----⌫|-|----|----|
labourge iseletso n orgeil	-|------⌫--|--|--⌫|-----|
molt laso uageet	---||---⌫---|-|
moltlapese	---||----|
etle ualletlacoleet	-|-|-----||----|-|
lizz pres delautrese	-|-|---|-||----|-|
etceles ifet	-|---|-⌫|--|
b el atr et	-⌫-|---⌫-|
siseioent ensembleet	-|-|----|-------|-|
por quoi asemble ́ son t	--|---|-------⌫|---⌫|
aumatinetquantlaune	-|------|----||---|
da meaubereesechauceetlieue	--⌫-|------|-|-----|-|----|
si lourat orneau mieus qu	-|---|--⌫---|-|----|-|
char de po r cet	---|-|--⌫-⌫|-|
pouci nsen rost	-----⌫-|-|---|
atant sontasisau	----|---|---|-|
facedangie r	---|------⌫|
einz mengeren tassez etburen t	---|--------⌫|----|-|-----⌫|
et andu i e n bon grerechu rent	-|----⌫|-⌫|--|--|-----⌫---|
leseruisedame auberee	-|------|---|------|
etquantc eui ntala	-|----|-⌫|--⌫-||-|
quelesoleil ason	--|-|-----||--|
d roit torn e	-⌫---|----⌫|
dameaubereelo urato urne	---|------|--⌫-|---⌫---|
cequele set quelor fuboen	-|-|--|--|--|--|-|---|
mesele ni met	--|--|||--|
rie ns du soen	---⌫-|-|---|
ce le nuiton tasessoulas	--⌫-|---|--⌫|---|-----|
ambeduiiu rentb ras	------|--⌫---|-⌫--|
conques deueilliernefi nere nt	|-----|-|-------|-|--⌫----⌫-|
etquelesmatin essonerent	-|--|--|-----⌫-|-------|
corn illea l abeie	----⌫---|||----|
tantost que lacl oc hea oie	------|--|-|--⌫--⌫-||--|
dameauberee sis	---|------|-||
siseuestet	-|-|---|-|
sisapareille	-||--------|
etuienta ulit oucilsegisent	-|----|-⌫|--|-|--|-|-----|
quiloramorssentredeuisent	--|--|----||------------|
ors usfet elebele fi lle	-|-⌫-|--|--|---|--⌫--|
siironsaseinte	-|----||-----|
entremoi ettoiau moustier	----|--|-|--|-|-------|
des ora roie stumestier	--|-|-⌫----⌫|-|------|
q ue tessi resatoisacordast	-⌫-|--|--⌫--||--||-------|
leu alletmoltsedescord ast	-|-⌫----|---|-|-------⌫--|
l osecontredire	|--|---------|
etla uiei llelipri sta dire	-|-|----⌫--|-|---⌫-||---|
laim oi amonta lentouurer	--|-⌫-||--|--⌫---|-----|
encorporras bienrecourer	----|-----|---|-------|
a tamieet aton	||---|-||--|
l auie ille prist chande lesyy	-⌫|---⌫---|----|------⌫--|-|
dontchascuneaplusdune toise	---|-------||---||--|----|
e ntrel auieille et	-⌫---|-⌫|------|-|
la bourioise	-|--------|
s en sontissuesdeloste l	|-|---|-----|-||----⌫|
aumo ustie ruont deuant l	-|--⌫-----⌫|---|-----||
nostre dame deuantl image	-----|---|-----||----|
et lauieille qui molt	-|-|------|--|---|
l afetcouchier iusa laterr e	-⌫|--|-------|--||-|----⌫|
etlidistb i en q ue	-|-|---|-⌫-⌫-|-⌫-|
desag uerre	-|-|-⌫----|
soitpasu a il l ant	---|--|-⌫-⌫--⌫-⌫--|
la uiei lleafe tes	-|----⌫--||--⌫--|
desch andelesqueele auoit	--|--⌫------|--|--|----|
enunelamp eoufeuardoi t	-|--|----⌫|-|--|-----⌫|
les alumadec hiefen chie f	--|----|-|-⌫---|-|----⌫|
lunedes croi zl imistau	|--|--|----⌫|-⌫|---|-|
lautreadestre	|----||-----|
etlaq uarte mist	-|-|-⌫----|---|
lors uintal uisilaseure	---|---||-⌫-|-||-----|
etgardezc ommentqu	-|-----|-⌫-----|-|
i lauie ign e	-⌫|----⌫---⌫|
neuos mou e z	-|--|---⌫-⌫|
ta nt queie u ie igne	--⌫-|--|-|-⌫--⌫---|
t e nezuosciendementiers	-⌫-⌫--|--|-|-----------|
d amedist ele	-⌫--|---|--|
uolent iers	------⌫---|
ei nsi lad ame	--⌫--|-|-⌫--|
secontien t	-|-------⌫|
u ieille sa uoietient	-⌫-----|-|---|----|
uers lostel aub orioist otdroit	---||----|-|-⌫-----|-⌫-|----|
quiporsafame iriez estoit	--|--|-|---|----|-----|
si quilne sesetcons eillier	-|-|-|-|-|--|----⌫------|
esueillier	---------|
cour tcele partethurte etboute	----⌫|---|---|-|----|-|----|
leb org ei soreille etesc oute	-|-⌫---⌫--⌫|------|-|---⌫---|
quibien uosisttel	--|---|-----|--|
dont il sepoistresioir	---|-|-|----|------|
atantson hui sourirc ommande	----|--|---⌫|----|-⌫------|
etdame auber eedemande	-|---|-----⌫-|------|
tanto stcomel	-----⌫-|--|-|
ent radedans	---⌫-|-----|
