unemeniere de gent sunt	--|------|-|---|---|
q ue uostr eh onorsii	-⌫-|-----⌫|-⌫---|-||
com uoussauez	--|---|----|
queil estdroi s	--|-|--|----⌫|
lidus cui ilsambl emoutgrief	-|--|--|-|-----⌫|---|----|
li ditienuenraibie n	-|--||-|-----|---⌫|
partenssicom ie cuit	--|---|-|--|-|---|
amesaise fucelenuit	|------|-|---|---|
lidusnedo rmirne po uoit	-|--|-|--⌫---|-|--⌫---|
porle cheualier quilam oit	--|-|--------|-|-|--⌫--|
carb iencuidoitqu	--|-⌫--|------|-|
eustmeffait	---|------|
amo r par due ait	---⌫|---⌫--|--|
et pour cetouten uitu il la	-|---|-|----|-⌫--|-⌫--⌫-|
lendemain parmatin leua	|-------|--|----|---|
etfit celu i a soi uenir	-|--|----⌫||--|----|
quesa fam elif aithair	--|-|---⌫|-|-⌫--|---|
s ans cequederiensai tme spr is	-⌫--|-|--|-|----|--⌫|--⌫---⌫-|
mainten antl	-------⌫--||
aa ra isonmis	||--⌫---|--|
seulaseulquiln	---||---|-|-||
i ot quexdeux	|-|-|-|---|
c ertesfa itilceest	-⌫----|--⌫-|-|-|--|
grans deux	----|---|
qua ntprouesceauez	---⌫-|-------|---|
etilna enuo us lo iau te	-|-|||-|--⌫-|--⌫---⌫-|
sim en a uez m outdec eu	-||-|-⌫--|-⌫--|---⌫-|
cariaimoutlo nguement creu	--||-|---|--⌫-------|---|
que u ousfu ss iez debone	--|-⌫--|--⌫--⌫--|-|---|
lo iausa toutlem ainsue rsmoy	--⌫---||---|-|-⌫---|--⌫-|--|
uous a ia more u e	---|-⌫|-⌫--|-⌫-⌫|
sinesaid o ntuous	-|-|--|-⌫-⌫-|---|
tel panceeets itricheresse	--|-----|-|-⌫|----------|
queproie auez	--|----|---|
la duchesse	-|-------|
etrequise de druerie	-|------|-|------|
siauez faitgran t uilenie	-|---|---|----⌫|------|
q ue plusuilainne	-⌫-|---|-------|
nesteutquerr e	|-----|-----⌫|
issie ztantosth orsdema	-----⌫|------|-⌫--|-|-|
ieuo us endoi ngco n giesansdoute	-|--⌫-|-|---⌫-|--⌫-⌫--|---|----|
etlau os uee et deffenstoute	-|-|-⌫-|--|-|------|----|
sin ientrez	-|||-----|
pouoi e fairepran dr e	-----⌫|----|----⌫--⌫|
ieuousferoie tan tostpendre	-|---|-----|---⌫---|-----|
q uantlicheualie rsseent ent	-⌫---|-|--------⌫-|-|---⌫--|
m altalente sprent	-⌫-------|-⌫-----|
s ique tuit litramblent	-⌫|--|---|-|--------|
car desa mi eli	--|-||-⌫--⌫|-|
dont ilsetquilnep eutioir	---|-|--|-|-|-|-⌫--|---|
paraler etuen i r	--|---|-|---⌫-⌫|
etp arrepairier	-|-⌫-|--------|
do nt li dusueutqu	--⌫-|-|--|---|-|
ilsoiteschis	-|---|-----|
etdautrepartli	-||----|---|-|
faitmoutma l	---|---|--⌫|
sequetr aitourde sloial	-|--|--⌫-----|--⌫-----|
letients essi resetatort	-|----|-⌫-|--⌫--|-||---|
ensi grantde sconfort	-|-|----|--⌫-------|
camo rt setientet atrahy	||--⌫-|-|----|-||----|
siref ait ilpor deumer c i	---|-⌫--|-|--|--|---⌫-⌫|
necreezia nene	-|----|-|-|-|
queuersuosfussesio sez	--|---|--|----|-|-⌫--|
cequememetez	-|--|-|----|
a to rtseure	|--⌫-|----|
ie nen p e nsai	-||-|-⌫-⌫---|
ne iorneh eure	-|--|-|-⌫---|
samal fait	||--|---|
qui l euosadit	--|-⌫|--||--|
neuousuaut riens li e scondis	-|---|---|----|-|-⌫------|
fai tlid usnepoin tn eni	---⌫|-|-⌫-|-|----⌫||-||
eleme ismes c onté ma	--|--⌫----|-⌫----|||
en que lmenier e ete nqu el	-|---⌫|------⌫|-|-⌫|--⌫-|
uouslauezprie eetrequise	---||---|----⌫|-|------|
com met raitres	---⌫-|-⌫------|
et t elchosedeitesuous	-|-⌫-|----|-----|---|
peutest redontelese	---|---⌫-|---|--|-|
madamea dit ceq uiliplait	-|---||--|-|-⌫-|-|----|
distcilqui moutfu esbahis	---|--|--|---|-|------|
r iens liesc o ndis	-⌫---|-|---⌫-⌫---|
rien snemiuautquei end eis se	----⌫|-|||---|--||-|-⌫---⌫-|
si nestriens queie n	-||--|----|--|-||
pa rcoiienfusseb ien creus	--⌫|--||-|----|-⌫--|----|
quedecen ia riens eu	--|-|-||||----|-|
s iacedis tliduspar	-⌫||-|---⌫|-|--|--|
a cui il souuien tdesa	|--|-|-------⌫|-|-|
car biencuidoi t po ruoirs auoir	--|---|------⌫|--⌫|---|-⌫----|
que sa fame lideist uoir	--|-|---|-|----|---|
conques noy	|-----||-|
queon parl ast	--|-|----⌫--|
enautre lieuamast	-|----|---|----|
lidusau cheuali er	-|--|-|-------⌫-|
s euous me uouliez	-⌫|---|-|------|
paruost reloialcra ntement	--|----⌫-|----|---⌫------|
q ue uousme	-⌫-|---|-|
diri ezuraiement	----⌫-|--------|
c equ e ieuous	-⌫|--⌫|-|---|
dem ande r oie	---⌫----⌫-⌫--|
paruostredit certainsse roie	--|-----|--|-------|--⌫---|
seuosauezcefaitou	-|--|---|-|---|-|
c ed ontuousaiensoupe con	-⌫|-⌫--|---|-|-|-----⌫--|
cilqui tostcon uoite e tdes ire	--|--|---|---⌫----|-⌫|---⌫--|
sonsig n ordel ire	--|---⌫-⌫-|-||--|
quil aen uerslisans dec erte	-|-||--⌫---|-|---|---⌫---|
etquiredoutetelep erte	-|--|------|---|-⌫---|
comm ed egerpirla contree	----⌫|-⌫|-----|-|------|
ouceleestqui	-|---|--|--|
plusli agr ee	---|-|---⌫-|
respon tque	------⌫|--|
tou tsa nscontre dit	---⌫|--⌫-|------⌫--|
fera ceq uelidusa dit	---|-|-⌫-|-|--||--|
quilnesetne	-|-|-|--|-|
neseprantguarde	-|-|----|-----|
de cedon tlid us	-|-|---⌫|-|-⌫-|
net ormensnel ilaitpenser	-|-⌫-----|-|-⌫|---|-----|
ce que li du sweut demand er	-|--|-|--⌫|---|------⌫-|
deriens for sde	-|----|---⌫|-|
celeproiere	---|------|
lesaireme n tentelmeniere	-|-------⌫-⌫|-|--|------|
empr istli duset	-|--⌫--|-|--|-|
cilli fis t	--|-|---⌫|
et lidusma intenant	-|-|--|--⌫-------|
sachiezpar fineueri te	------|--|---|----⌫-|
quei euousai	--|-⌫|---|-|
ar rierede boncue r	--⌫----|-|--|---⌫|
nem ela isse	-|-⌫|--⌫---|
deuoustelmesfaitnetel	-|---|--|------|-|--|
com me l aduchesce mecon te	---⌫-|-⌫|-------|-|---⌫-|
iat antne letenisseauoire	-|-⌫--|-|-|------||----|
secene mefeist	-|-|-|-|----|
etme meist engra nt douta nc e	-|-|----|-|---⌫-|-----⌫--⌫|
queiesgar suostrecontenanc e	--||-----⌫|-----|---------⌫|
etde cointiseetd	-|-|-------|-||
au tr er ien	--⌫--⌫|-⌫--|
aquoi on peut sauoi rmo utb ien	|---|-|---|-----⌫|--⌫-|-⌫--|
que uousam ez	--|---|--⌫-|
ouques cesoit	-|---|-|---|
e t quantailloursne	-⌫|----|-------|-|
s apersoit	|-------|
nusqu amez damoiseleou dame	--|-|---|--------|-|---|
ie me pen squesesoitma fame	-|-|---⌫|--|-|---|-|---|
quim edit queuousla proiez	--|-⌫|--|--|---|-|-----|
s enenpuisest r edesuoi ez	-⌫||-|---|---⌫-⌫|------⌫-|
carie croiqueinsissoitlafai re	--|-|---|-|-----|---||----⌫-|
pour riens que	---|----|--|
nusensaiche faire	--|-|-----|----|
seuous ne medite squa illours	-|---|-|-|----⌫|-|-⌫------|
amezen tellieu	---|-|--|---|
par amor s	--|----⌫|
quemelaissiezsans	--|-|-------|---|
nuled oute	---|-⌫---|
s auoirlaue r itetrest oute	-⌫----|-|--⌫-⌫--|-----⌫---|
etse sefai reneuoulez	-|-|-|---⌫-|-|-----|
comme pa riurs uousenalez	----|--⌫----|---|-|---|
horsd e mate rresans de l oy	---|-⌫|-|--⌫--|---|--⌫-⌫-|
c ilznesetnul	-⌫--|-|--|--|
con soil de	---⌫---|-|
carle i e u apart isif ort	--|-|-⌫-⌫||----⌫|-|-⌫--|
t ientamort	-⌫---||---|
carci ldit la uer itepure	--||-⌫|--|-|---⌫--|---|
cilne se pariure	|-|-|-|------|
tientsilmesfai ttant	----||-|------⌫|---|
qu i ltrespasse leconuenant	-|-⌫|--------|-|--------|
casadamesami e a	||-|---||---⌫||
ilestseursqu illaperdra	-|--|----|-|-|-|-----|
peut aperc euoir	---|-----⌫----|
et cilnedita u ducleuoi r	-||-|-|--|-⌫|--|-|---⌫|
pariu reses te tfoi	-----⌫--|--⌫|-⌫|--|
et pe rt lepais etsamie	-|--⌫-|-|---|-||---|
maisdo upaisneli	---|--⌫|---|-|-|
chau ssist	----⌫----|
se samieli remans ist	-||---|-|------⌫--|
quesor touterie nspe rdrecr ient	--|--|----|---⌫-|--⌫---|--⌫---|
etporcequadesl i	-|--|-|-|---|-⌫|
grant ioieetdou	----|---|-|--|
ae u entresesbras	|-⌫|----|--|---|
si se panse silamessert	-|-|----|-|-|------|
etsepars on	-|-|--|-⌫-|
m esfait l apert	-⌫-----|-⌫|---|
q uant osoi	-⌫---||--|
nelapeutmene r	-|-|---|----⌫|
co mmen tporr asanslidurer	--⌫----⌫|----⌫|---|-|----|
siestentelpoint aut recy	-|--|-|--|----|---⌫---|
conlic hastelainsderoucy	--|-|-⌫---------|-|----|
q uia ucu erna uoits	-⌫-|-⌫|--⌫-||-⌫---||
di t enuer dune chancon	--⌫|-|--||--|------|
p ardieuamorsforsmeta	-⌫-|---|----|---||-||
dundoussola s	|-|---|----⌫|
etde l a compein gnie	-|-|-⌫|-------⌫---|
etd es samblansque me soloit mo nstrer	-|-⌫-|-------|--|-|-----|--⌫-----|
c ele q uim	-⌫--|-⌫-||
ierte tc om peingneet	---|-⌫|-⌫--⌫------|-|
etq uantr esgart s asimple corto isie	-|-⌫---|-⌫-----|-⌫|-----|-----⌫---|
etles dousm osquemesoloit parler	-|--|---|-⌫-|--|-|-----|-----|
co m me nt me peuten cors li	--⌫-⌫--⌫-|-|---|-|---|-|
c uers durer	-⌫---|----|
enparttrope st mauais	-|---|---|-⌫-|-----|
li cheual ier s	-|------⌫---⌫|
en teleengoisse	-|---|-------|
leuoirl ic ogn oiss e	-|---|-⌫|-⌫---⌫----⌫|
ou simenteetlaitl e	-|-|----|-|---|-⌫|
etq u a ntilestainsispensis	-|-⌫-⌫-⌫-|-|--|-----|-----|
ne s etli quex liuautmi ex	-|-⌫-|-|---|-|---|--⌫-|
liyaue do ucu erliui entasiex	-|---|--⌫|--⌫-|-|--⌫--|-|--|
po urladoulorquilse	--⌫-|-|-----|-|-|-|
p orchasse	-⌫-------|
etlides centaual sa face	-|-|---⌫---|---|-|---|
si quei l o tle	-|--|-⌫|-⌫|-|
uismoillié	--|-------|
lid us n en o tpasle	-|-⌫-||-|-⌫|--|-|
quilpencequ ili atel	-|-|----|-|-|||--|
que r ecognoistrene li	--|-⌫----------|-|-|
lorsditlidusisnellepas	---|--|-|--|---------|
queneuo usfiezpas	--|-|--⌫-|---|--|
enmoi tan t co nuousdeuss iez	-|--|---⌫|--⌫|---|-----⌫--|
c uidiezuous s emede iss iez	-⌫-----|---|-⌫|-|--⌫---⌫--|
uostreconsoilpriueement	-----|------|---------|
queioudeisseanule	--||-|-----||---|
iemelairoie auantsansfaute	-|-|------|----|---|----|
traire lesdens lun apres	-----|--|---||-|----|
hasirefait c isques tplainsdir e	-|---|---|-⌫-|-|--⌫|-----||--⌫|
iene saique ie puisse	-|-|--|--|-|-----|
n e quei e puisse deuenir	-⌫|--|-⌫|-----|------|
maisieuourroie m iexmo rir	---|-|-------|-⌫--|--⌫--|
queperdrese que ie perdroi e	--|-----|-|--|-|-------⌫|
seleuoirdituous enauoie	-|-|---|--|---|-|----|
etil e stoit de	-|-|-⌫----|-|
que leusserecogneu	--||----|-------|
auiorqui so itenmonuiuant	-|--|--|--⌫-|-|--|-----|
lorsdit li dusieuouscreant	---|--|-|--|-|---|-----|
su rl ecors et lame	--⌫|-⌫|---|-||--|
amoret sor l a foi	---|-|--|-⌫|--|
queieuosdois or uostre	--|-|--|--|-⌫-|-----|
queiaen tout monaai ge	--|-|-|---|--|---⌫-|
ne nniertacreaturenee	|-⌫||---||-------|--|
par m oi nouueleracontee	--|-⌫-|------|-------|
ne s amblantfa itg ran tnepetit	-|-⌫------|--⌫-|-⌫---⌫|-|----|
etc ilen plorantliadit	-|-⌫-|-|------|-||--|
sire iou uou sdirai ainsi	---||-|---⌫|----|----|
iainuostre	|--|-----|
nieced euer gy	----|-⌫|---⌫-|
ete lemoitantconpeut	-|-⌫-|--|---||-|---|
or medites fait ce lidus	-|-|----|---|-|-|--|
uoulezc onuo us enqueuure	-----||-|--⌫-|-|------|
sauoitnusforsuousduicest	-----|--|---|---|--|---|
etlicheu alier sli	-|-|----⌫-----⌫|-|
nennilc re atured oumont	-----|-⌫--⌫----|-⌫-|---|
etditli dusce	-|--|-|--|-|
n auint onques	|----|-----|
comment iaue nez uos donq ues	------||---⌫--|--|----⌫--|
necommentsauezl ieunet ens	-|------|----|-⌫--|-|-⌫--|
parfoyfait il sireparsens	--|--|---|-|---|--|---|
ieleuousdira isans riens taire	-|-|---|----⌫|---|----|----|
quanttantsa uez denostreaffa ire	----|---|--⌫--|-|-----|----⌫--|
lorsli atoutes	---|-||-----|
racon t ees	-----⌫-⌫--|
sesuenues ets esalees	--|-----|-|-⌫-|----|
etlac onuenancepremiere	-|-|-⌫--------|-------|
etdoup etitchien lameniere	-|--|-⌫---|----|-|------|
lo rsdit lidus ieuousrequier	--⌫-|--|-|--|-|---|------|
quea uos treter mepre m ier	--||---⌫--|---⌫-|---⌫-⌫--|
uo illiezque	--⌫-----|--|
uos tre compains soi e	---⌫--|-------|---⌫|
d a l erouo sen cesteu oie	|-⌫-⌫-||--⌫|-|----|-⌫--|
carie ueil sauoi rsans	--|-|---|-----⌫|---|
es l oingne	--⌫-⌫-----|
se ainsi s u a uostre beso ingne	-|-----⌫|-⌫|-----|----⌫----|
sin ens auramaniecerien	-||-|-⌫---|-|----|---|
etcilrespon tie l	-|--|------⌫|-||
otr o i bien	---⌫-⌫|---|
ilneuousg riet	-|-|---|-⌫---|
etsaic hiezbienieirai anuit	-|----⌫---|---|-|---|----|
et lidusdit queilira	-|-|--|--|--|-|--|
ei nsli serasolasetieu	--⌫-|-|---|----|-|--|
entrau so nt deuisiélelieu	---|--⌫|-⌫-|-------|-|---|
ouassembleronttout	-|-----------|---|
s itostcom me	-⌫|---|---⌫-|
fu anui tié	-|----⌫---|
c arp resdileucass es	-⌫-|-⌫--||----|---⌫-|
ni ec e auducmanoit	--⌫--⌫|-|--|-----|
mainte na ntsont	------⌫--⌫-|---|
misau chemin	--|-|-----|
tan tquilso nt uenuauiardin	---⌫|-|-|--⌫-|---|-|-----|
du snefu pasgrant piece	--⌫|-|-|--|----|----|
uitl e chienn et	--|-⌫|------⌫-|
quisanuintaubousdouuer gier	--||-|---|-|---|--|---⌫---|
ouil trou ua	-|-|----⌫-|
l e cheualier	-⌫|--------|
qui grantioiea fa itauchienn et	--|----|---||--⌫-|-|------⌫-|
tan to st alauoiesemet	---⌫--⌫-||-|---|-|--|
li cheualiers et le duclait	-|---------|-|-|--|---|
etlidu sap res lis	-|-|--⌫|--⌫--|-||
presdela chambr eetne semeut	---|-|-|------⌫|-|-|-|---|
e sc onc eau miexquilpeut	-⌫--⌫---⌫|-|---|-|-|---|
arbr emoutgrante tmoutlarge	----⌫|---|----|-⌫|---|----|
cestoitcou uer scom d une	|-----|---⌫---⌫|--||--|
etmou tentanta luicel er	-|---⌫|-----||--|---⌫-|
dileucuit enlachambreentrer	|----|--|-|-|------|-----|
le cheua lieretuit issir	-|-----⌫---|-|--|----|
s anieceetcont re li uenir	-⌫|----|-|----⌫-|-|----|
ho rsde la chamb reenun pra el	--⌫-|-|-|-----⌫-|-|-|---⌫-|
etoitelapel	-|-|--|---|
comelelifitparsolas	--|--|-|--|--|----|
desalus debouchee t deb ras	-|----|-|-----|-⌫|-|-⌫--|
cardesesbiaxbraslac o la	--|-|--|---|---||--⌫-⌫-|
etp lus de yy	-|-⌫--|-|-|
foi sle baisa	---⌫|-|----|
ainsquefeitlong ueparole	------|---|----⌫-|-----|
e tcislarebais e et	-⌫|--|-|------⌫|-|
etlidit madame mamie	-|-|--|-|---||---|
m amormon cuerma druerie	|---|--|---|-|------|
mesperanceetquanques iain	|--------|-|-------||--|
saichiezquei	-------|--||
aieugr antfain	-|-|--⌫--|---|
de s treououssicomme	|-⌫-⌫--||---|-|----|
despuis l ore	--|---||--|
queien ifui	--|-|||--|
elerespontm on dous	--|------|-⌫-|---|
mondou s amismadouce	--|---⌫|---|-|----|
a in s pu isne	-⌫--⌫|--⌫-|-|
anuiast lademeure	------|-|------|
de riensnemede ul	-|----|-|-|--⌫-|
c ar ia io moi	-⌫-||-⌫||--|
ceque ieueu l	-|--|-|---⌫|
ka nt ciiestespreus	--⌫-|-|-----|----|
et haitiés	-|-------|
et l itresbienuen ussoiez	-|-⌫|---|---|---⌫-|----|
cisdit etuous la bien tr ouuee	--|--|-|---|-|---|--⌫----|
toutoili dusal entree	---|-|-|--|||-----|
qui assez p resdileuc sestut	--|----|-⌫--||----||----|
sa nieceala uo i sbien c onnut	-|----||-|--⌫-⌫|---|-⌫----|
si bieneta lacontenan ce	-|---|-||-|--------⌫-|
queilesttous hor s d edoutance	--|-|--|---|---⌫|-⌫|-------|
etsetint de c eladuches ce	-|-|---|-|-⌫|-|------⌫-|
queditli ota mentere sc e	--|--|-|-||-------⌫--⌫|
etmoutliplait or uoitilbien	-|---|-|----|-|---|-|---|
mesfaitrien	------|---|
d ecequeilla	-⌫|-|--|-|||
illeuc cesta i nsismaintenus	-----||--|-⌫-⌫---|--------|
t ou te la nuit endementiers	-⌫--⌫-|-|---|-----------|
quela dameetli	--|-|---|-|-|
c h eu a liers	-⌫-⌫--⌫-⌫----|
dedanslacha mbre en	-----|-|---⌫---|-|
zz li tfurent	-|--⌫|-----|
et sansd ormiren sambl eiurent	-|---|-⌫----|--⌫-----⌫|-----|
a tel ioieeta	|--|---|-||
te ldeport	--⌫|-----|
qu ines traison	-|||--⌫|-----|
quenusrecort	--|--|-----|
ne neledienenel oie	-|-|-|--|-|-||--|
s eilnat antauoir t el ioi e	-⌫|-||--⌫--|----|-⌫-|---⌫|
con amorsafi nsamans d onne	--|----||--⌫-|----|-⌫---|
pei n nelor gerredonne	---⌫-⌫-|--|---------|
ca r cis qui	--⌫|--|--|
telio i ena tant	--|--⌫-⌫||-⌫---|
cil loi oite triens	|-||--⌫--|-⌫|----|
puisqui n a a	-----|||||
amorlecuer	---|-|---|
carnusnesauroitanulf eur	--|--|-|------||--|-⌫--|
combien u auta telioieauoir	------|-⌫--||--|---|----|
sam orne li faisoitsauoir	|--⌫-|-|-|------|-----|
e ttexbiensn au ientmiea	-⌫|--|----||--⌫---|--||
car cee st	--|-|-⌫-|
ioiesans cor rous	---|---|---⌫---|
e t sola setenuo ise ure	-⌫|----⌫|-|----⌫---⌫--|
mai stantia qui petit	---⌫|---|||--|----|
c e stauisa lam antqui la	|-⌫-|---|||--⌫--|--|||
