signororescoutésque	-----|-|--------|--|
carli proiés biaussire	--|-|------|----|---|
qu esi grantdeulne	--⌫|-|----|---|-|
por amordieulepere	--|---|---|-|---|
es peritable	--⌫--------|
se mendo nésco ng i et	-||-|--⌫---|--⌫--⌫-⌫-|
prendraiuos armes	-------|--|----|
sim e nen france	-||-⌫|-|-----|
qu erreuos marces	--⌫---|--|-----|
biaus fieus	----|----|
el ie s dieusbien te	--⌫--⌫|----|---|-|
pui sses rendre	---⌫---|-----|
mo niretag e	--⌫|------⌫|
b ele se ur	-⌫--|--⌫-|
do ceami ece	--⌫-|---⌫|-|
di st elie s	--⌫-|----⌫|
noussomesnutet	---|----|--|-|
pourena uonsdont	----||-⌫---|---|
n ous f ussienspiechamors	-⌫--|-⌫------|-----|---|
ne f ustlermites	-|-⌫--||------|
uois ta iols aorliens la	----⌫|-⌫---||------|-|
alf or tr o iloeysqui	-|-⌫--⌫|-⌫-⌫|----|--|
estnos si res	--|--|--⌫--|
sauenoitque	|------|--|
eu stfurnie	--⌫-|-----|
et d i eus lido noitfaire	-|-⌫-⌫--|-|--⌫---|----|
a meroitlirois	-⌫-----|-|---|
et laroine	-|-|----|
sirec he d i stla	---|-⌫-|-⌫-⌫-|-|
chouporcoidit es	---|--|--|---⌫-|
mesenfes est sii ouenes	--|----|--|-|-⌫-----|
point deuid es	----|-|---⌫-|
molttostletorne r ont	---|---|-|-----⌫-⌫--|
f rancafolie	-⌫---||----|
se ie percmonenfa nt	-|-|---|--|----⌫-|
iere caitiue	---|------|
ce sttousmes	|-⌫-|---|--|
recouri ersma	-------⌫--|-|
beles eu rdoucea mie	---|-⌫--⌫|----|-⌫--|
ce dist liber	-|---|-|--|
ne de sh aitiéslenfant	-|--⌫--⌫------||-----|
n enecosés	-⌫|-|-----|
maisno us lipr ion s	---|--⌫-|-|--⌫---⌫|
pars abonte	--|-⌫|----|
altendou che	--|-|---⌫--|
franc ea lroi	-----⌫|-⌫|--|
s il u enoi tenbataille	|-|-⌫----⌫|-|-------|
nea lious ter	-|-⌫|----⌫--|
molttos tleporoit	---|---⌫|-|-----|
d ieusamenistrer	-⌫---|---------|
corde s mieusamés	--|--⌫|----|----|
sirechedist	---|--|---|
merchi porde	-----|--|-|
mesenfesestsiiouenes	--|----|--|-|------|
queilne set	--|-|-|--|
querrezzostel	-----|-|----|
neau n gentil homene	-||-⌫|-----|---|-|
setpa rl er	--|--⌫--⌫-|
francois son t orgellou s	-------|---⌫|--------⌫|
de mesuré	--⌫------|
laideng i er leua urontet	-------⌫-⌫-|-|--⌫----|-|
ilne l por oitsoufrir	-|-||---⌫--|------|
neendur e r	-|-----⌫-⌫|
tostre spondr oit	---|--⌫------⌫--|
fo li e car	--⌫--⌫|--|
s i laro ie n t lifranc	-⌫||---⌫--⌫-⌫|-|----|
tos tafolét	---⌫|------|
ieremanro ielasse mon	-|-------⌫-|----|--|
iamaisn a roie ioie en	-----||-⌫---|---|-|
n eliai quedo ner q u	-⌫|-|-|--|--⌫--|-⌫|
il pui stpo rter	-|---⌫-|--⌫---|
qua nt lentendiai ols s	---⌫-||------|--⌫--||
enr istli ber	-|-⌫--|-|--|
t ai siésfistilma	-⌫--⌫----|---|-|-|
dame plusn	---|---||
en parlés	-|------|
maldeh aitqu ila irap or	------⌫--|--⌫|--⌫--|-⌫-|
que iou neuois een	--|--|-|----⌫|-|
francealroiparler	-----|-|--|-----|
nauésau oir	|----|--⌫--|
dieus a asses	----||----|
quidelsi enme donra	--|--|--⌫-|-|----|
quant elies	----|----|
oren irésbiausfieus	-|-|----|----|----|
alcongiet dei	-|------|--|
i hesusuos i laist fai re	-⌫----|--||----|---⌫-|
parsabonte	--|-|----|
dontliroismieus uous	---|-|---|----|---|
ase skies ne as tabl es	-|-⌫----|-|-|----⌫-|
fieusneiués	----|-|----|
celuitientonasot	----|----|-||--|
quip lus ense t	--|-⌫--|-|--⌫|
carse liuns les	--|-|-|--|--|
aimelautreles	---||----|--|
lorscommenche	---|--------|
grantguerre	----|-----|
sa nsnul catel	--⌫-|--|----|
c uredautrui	-⌫--||-----|
fe me e namer	--⌫-|-⌫----|
car chouestun pechies	--|---|--|-|------|
quedex mou lthet	--|--|---⌫-|--|
etse ele u osaime	-|-|--|-⌫-|---|
laissi e leeste r	------⌫|-|----⌫|
siuosgard e ́s molt bi en	-|--|----⌫-⌫-|---|--⌫-|
del e niu rer	-||-⌫---⌫--|
etsachiésbienqu	-|-------|---|-|
iu r eche est grantuieutes	--⌫-⌫---|--|----|------|
u ee ́spre u dome	-⌫--⌫-|---⌫-⌫---|
les erués	-|-⌫-----|
seuous seés enba nt	-|---|----|-|--⌫-|
s iuous leu és	-⌫|---|---⌫--|
lesg rans et lespetis	--|-⌫---|-|--|----|
toushonorés	---|-------|
gard équenulpoure hom	----⌫-|--|--|----|--|
ne uosg abés	-|--|-⌫----|
ancois iporiés	-----||------|
q ueco nquester	-⌫-|--⌫-------|
c eferaiioub iaus	-⌫|----|--|-⌫---|
oreniré sen	-|-|----⌫|-|
biausfieus ai ols	----|----|--⌫--|
siporter ésme sa rmeset	-|------⌫--|--⌫|-⌫---|-|
senmenrésmarchegai	|--------|--------|
ensambleouous	-------||---|
quantuo suenrés biaus	----|--⌫|------|----|
troueré sd us	--------⌫|-⌫-|
uesques etarcheu esqu es	------|-|------⌫----⌫-|
poureserése tnuset	----|-----|-⌫|--|-|
be song ou s	--⌫----⌫--⌫|
et desgarnis	-|--------|
s ou frai tous	-⌫--⌫----⌫---|
maisilni ara	---|-|||--|
certesp lusfran cde	-----|-⌫--|----⌫|-|
caru os esteslinies	--|-⌫-|----|-|---|
lenperr eour	|------⌫---|
iesaibie n	-|--|---⌫|
fiex sas ero u r	---|-|-⌫---⌫-⌫|
celé suo strecorage tout	-----⌫|--⌫---|-----|---|
a estr o us	|----⌫-⌫-|
tantcai és faitbataille	----|--⌫--|---|-------|
etgransestou rs	-|----|-----⌫-|
etgue rres afineesuoia n t	-|---⌫---|------|----⌫-⌫|
quantli roislesara	----|-|---|-|---|
siferaiiou b iaussire	-|----|--|-⌫---|---|
chedistaious	--|---|----|
biausfiexchedi st	----|---|--|--⌫-|
eliee nten désmoi	---|-⌫----⌫---|--|
ie uosc astier aifaire	-|--|-⌫------⌫-|----|
donr a ico nseil	----⌫-⌫|--⌫----|
parboine foi	--|----|--|
u os eniré s en f ra nche	-⌫-|-|----⌫|-|-⌫--⌫---|
se ruirleroi	--⌫---|-|--|
teldame aen orliens	--|---||-|------|
s eleu iuoit	|--|-⌫----|
quiuosferoita iese	--|--|-----|-⌫-|-|
u ous ueoit	-⌫--|----|
el e estse uruost re	--⌫|--|--⌫-|----⌫-|
meresi aroit	---|-|----|
celésuos trecorage	-----|---⌫--|-----|
tan tc aiésfai tbataill e	---⌫-|----|---⌫|-------⌫|
etgrantt ornoi	-|----|-⌫----|
etgue rrea fin ees uoiant	-|---⌫--|-⌫---⌫--|-----|
uou siarésgrantp reu	---⌫||----|----|-⌫--|
ire ́s enfrance	---⌫-|-|-----|
che distelie	--|---|---|
ieuoscommanc adie u	-|--|------||---⌫|
l e fiexmarie	-⌫|---|----|
qui leci elet	--|-|--⌫-|-|
terrea e stablie	----||-⌫------|
quantuous uenrés e n	----|---|------|-⌫|
f rance le	-⌫----|-|
d ie uslemaudie	-⌫--⌫-|-|-----|
ne tenésmie	-|-----|--|
carquiuerses t etfel	--|------|--⌫|-|--|
etplainsdenuie	-|-----||----|
cacha defra nce	----|-|---⌫--|
parfe lonie	--|--⌫----|
traié sa sboinsosteus d	------⌫|-⌫|----|-----||
anchiserie	---------|
m angi és a grant	-⌫----⌫--||----|
parsignorie	--|-------|
nebeuésmietropd e	-|-----|--|---|-⌫|
uin sorlie	--|--|--|
car nel tienton	--|-||----|-|
sag ecoiquenusdie	---⌫|-----|--|--|
ainsenest asottésqu	---|-|--|-------|-|
o r en irés	-⌫|-|----|
a d i eucongie	|-⌫-⌫-|-----|
senmenré s marche ga i mon	|--------⌫|------⌫--⌫|--|
boinde str ier	---|--⌫---⌫--|
par le foitqueuo s	--|-|---|--|--⌫|
doiuostrebel cief	--|-----|--|---|
ilnenanulmillor	-||-||--|-----|
en nulresnie	-|--|-----|
maisil estmalgardés	---|-|--|--|------|
mal pors iengie ́	--|----⌫------⌫|
li cheuausest molt	-|------|--|---|
de shaitié	--⌫-------|
etsiestdef fe rés yy	-|-|--|---⌫--⌫---|-|
maispensés delceu al c	---|------|--|---⌫-||
delfeure et de l	--|----|-|-||
au a inenesoit	--⌫-⌫--|-|---|
uenrésbia uxfiex	------|---⌫-|---|
le moisen t ier	-|---|--⌫-⌫--|
que trestoutciaus de	--|-------|----|-|
fra nceporésgaingier	---⌫--|-----|-------|
poruneliewe core e t	--|--|----|---|-⌫|
e slaissier	-⌫--------|
nelesteu t d esperon	-||-----⌫||------|
to uchi er	--⌫----⌫-|
g ardésne leu endésne	-⌫-----|-|-|-⌫-----|-|
enga giés	----⌫----|
tostsemblerap lusbi aus	---|-------|-⌫--|--⌫--|
ma l ancheses tmolt	-|-⌫----||--⌫|---|
tortemes esc usuies	----|--|---⌫-|---|
etm es h a ubersnefu	-|-⌫-|-⌫-⌫----|-|-|
piech afroiés	-----⌫|------|
nemese lmesforbi s ne	-|--|-⌫---|-----⌫|-|
esclairi és	--------⌫--|
pourem enten irésace	------⌫--|-|----||-|
p r e mier	-⌫-⌫-⌫---|
que nem enrés	--|-|-⌫-----|
po r tere ́s fieu s	--⌫-⌫----⌫-|----⌫|
dedeni ers	-|----⌫--|
ceus ferés	---|-----|
auo streoste	|--⌫---|---|
semprecangier	-----|------|
sa résdeco l ongoisyy	|-⌫---|-|--⌫-⌫-----|-|
sausumieus	---||----|
ertsenecaus et	--|-------|-|
desp ens iers	----⌫---⌫---|
uouss e résberl a rg es	---|-⌫-⌫---|--|-⌫-⌫--⌫-|
boinuiuendiers	---|---------|
aut r essi con	---⌫-⌫---|--|
fiexqua nti ceus f auront	---|---⌫-|-⌫---|-⌫-----|
dexestes cieus	--|--|-|----|
liroisde sa in te gloire	-|---|-|--⌫--⌫-|-----|
lidroitur ier s	-|-------⌫---⌫|
quiuousenuoi eraq ue	--|---|-----⌫--|-⌫-|
mes tie rsiert	---⌫---⌫-|---|
quantl entendi ai ols	----||------|--⌫--|
m oult enfulie s	-⌫---|-|-|---⌫|
quilsoiason	-|-||-||--|
p eresicastoier	-⌫--|-|-------|
trestoutessesparolles	---------|--|-------|
retientilbien	------|-|---|
en son ceurle s	-|--|---|--⌫|
etmistelb rief	-|---|-|-⌫---|
eleslior ent	---|-|--⌫--|
puistel mestier	---|--|------|
si gnorch e saué suous	--⌫---|--⌫|-----⌫|---|
que cest uertes	--||--|-----|
lioiseus deboinairesdel	-|-----|----------|--|
bos ramés	--|-----|
ilmeismessafaite bien	-|------||-----|---|
autressiaiolsel bos	-------|----|-|--|
fai tli bers	---⌫|-|---|
l esco nsausdesonpe re	-⌫-|--⌫----|-|--|--⌫-|
mis tsiengre s	---⌫|-|-|---⌫|
il notua let en	-||-|--⌫--|-|
francemieusdotrinés	-----|----|--------|
ne mi eusazzpreu dome	-|--⌫--||-|----⌫---|
se ustparler	--⌫--|-----|
delceual etdes	--|----|-|--|
siuos diraicomm entse	-|--|----|----⌫--|-|
uou suolés	---⌫|-----|
carsespereslot	--|--|----||-|
fait souentmont er	---|-----|----⌫-|
par ladedensle bos	--|-|-----|-|--|
ense nzz pre	--|-⌫|-|--|
etleboin ceua lcore	-|-|---|----⌫|---|
et tre storner	-|---⌫------|
e tdeparo lle	-⌫|-|----⌫--|
lenamous tré	|-||----⌫---|
aiols le retientbien	----|-|------|---|
commesenés	----|-----|
cour s des	----⌫|--|
es toilesdelremuer	--⌫-----|--|-----|
delre fai t d elalune	--|--⌫---⌫|-⌫|-|---|
d el rafermer	-⌫-|-------|
de choupar sa uo itil	-|---|--|--⌫--⌫-|-|
qu antquilenert	--⌫----|-|-|--|
auiseladucoisel en	----|-|------||-|
ot moustré	-|-------|
i lnot plussage	-⌫||-|---|---|
f em ee nyychites	-⌫--⌫|-⌫|-|-----|
etmoiseslermite l	-|-----||-----||
otdoct riné	-|----⌫----|
d eletres de g ramairel	-⌫|-----|-|-⌫------||
ot es colé	-|--⌫----|
biensauoit	---|-----|
etenbrieu er	-|-------⌫-|
et latinet romans	-|----|-|-----|
sauoit pa rler	-----|--⌫---|
ne entereuilsache	-|-|---||-|----|
iatan t es rer	-|---⌫|--⌫--|
ilapelaso n perepar	-|----|--⌫|---|--|
amo r di euor	---⌫|--⌫-|-|
mentende ́s	|-------⌫-|
enuoie ́s enfra nce	------⌫-|-|---⌫--|
p or conquester	-⌫-|---------|
au fort roi	-|---|--|
loeysi rai	----|-⌫--|
si n ai apris mes	-||-|----|--|
armesaporter	----||-----|
quant onquesencorehome	----|-----|-----|---|
neu i ios ter	-|-⌫|---⌫--|
uers autrecheuali er	---|----|-------⌫-|
sireporamordie um	---|--|---|---⌫||
enaprendés	-|--------|
de d itetde p a roll e	-|-⌫-|-|-|-⌫-⌫----⌫|
seuossaués	-|--|-----|
enb a taille	-|-⌫-⌫-----|
nencampen trés	|-|---|--⌫----|
etcheualier meuie n t	-|--------|-|---⌫-⌫|
poragreuer	--|------|
c om men tlepo rai iou	-⌫--⌫---⌫|-|--⌫--|--|
mieusadamer	----|-----|
biausf ieusche dist	----|-⌫---|--|---|
elie moltest esber	---|---|---⌫-|--|
cortoiset preuset	------|-|----|-|
et porpensés	-|---------|
certes chou est	-----|---|--|
sens quedemandés	---|--|--------|
nen deuésde nul	|-|-----|-|--|
homeestreb lamés	---|----|-⌫-----|
en di rala	-|--⌫-|-|
b ienbroch iésledestri er	-⌫--|-----⌫---|-|------⌫-|
parlesc ostes	--|--|-⌫----|
et baisi és uostreespiel	-|-----⌫--|-----|-----|
si le b ra nlés	-|-|-⌫--⌫----|
tantcomce ual peut	---|--|--⌫--|---|
rendre uersluiuenés	-----|---|--|-----|
grant copsorso n escu	----|--|--|--⌫|---|
que lui etle ceual	--|--|-|-|----|
acrauente ́s	---------⌫-|
al r ecerqier desrens	-|-⌫-------|--|---|
souent to rne ́s	-----|--⌫---⌫-|
m on ioielekarlon haut	-⌫--⌫---|-|-----|---|
etsouente t menug rans	-|-----|-⌫|---|-⌫---|
serés cremuset	-----|-----|-|
redouté s	--------⌫|
aut retelfistuosperes	---⌫----|---|--|----|
quechiueés	--|--|----|
sire chedit	---|--|--|
estueri tes	--|----⌫--|
bienc onoiquec	---|-⌫---|--||
uoirque ditaués	---|--|--|----|
oruouspleui ge bien	-|---|----|-|---|
maloiautes	-|-------|
ne feraicouardieenmon	-|----|-------|-|--|
nefeloniet raison porp e nser	-|------|-⌫-----|----⌫-⌫---|
neiaamo nlinagene	-|-||--⌫|-----|-|
s erarep ro ue ́	-⌫--|---⌫--⌫--⌫|
coni truisseboisdie	|-||------|------|
nelasquete s	-|--------⌫|
edieusche distelie	|----|--|---|---|
moltparesber	---|--|-|--|
biensaiqu encorearai	---|--|-|-----|---|
parmonenfant aiolsc	--|--|-----|----||
ai engenré	-|-------|
cha résmondi s t	-|-⌫---|--|--⌫-⌫|
aiols u os lesrarés	----|-⌫-|--|-----|
d ecouso iésuo s	-⌫|--|--⌫---|--⌫|
ras eurés	---⌫-----|
sedie u smemaine	-|---⌫-⌫|-|----|
francea sauet e	-----||-----⌫|
queal roiloeys pui sse	--|-|--|----|---⌫--|
ancoisque uosuoiéstout	--------|--|-----|---|
cestanp asser	---|-|-⌫----|
les uos uoilto utes	--|--|---|--⌫---|
rendre etaqui ter	-----|-|----⌫--|
quant elie s le ntent	----|----⌫||-⌫----|
liesful iber	---|-|-⌫|--|
oren irésenfranche	-|-|----|-|------|
aiols fiexgens	----|---|---|
ie uoscommanc a	-|--|------||
omni potent	----⌫-----|
et mer e t	-|--|-⌫|
teree tue nt	---|-⌫|--⌫-|
q u idemortuos	-⌫-⌫|-|---|--|
deffenge etde to rment	-------|-|-|--⌫----|
b iausfieuso r	-⌫---|----|-⌫|
sag es etdecle r sens	---⌫-|-|-|---⌫|---|
retenésb ien	-------|-⌫--|
ca stiement	--⌫-------|
ded ieusde sainte	-|-⌫---|-|-----|
fiexte d e f fenc	---|-|-⌫-⌫-⌫---|
latulesara s	-|-|-|----⌫|
n e prenamaua ishome	-⌫|---||----⌫-|---|
a coin tement	-⌫----⌫-----|
tostenar oie shont e	---|-|--⌫---⌫|----⌫|
mienensie nt	---|-----⌫-|
un neueuai enfrance	-|----|-|-|-----|
qutesparens	-|--|-----|
ilest f iexmaser or	-|--|-⌫--|-|---⌫-|
dame he rsent	---|--⌫----|
sa nongilebers o	||--|-------||
leco rs gent	-|--⌫-|---|
siguerroie	-|-------|
franceapent	-----|----|
tout choufaitilp o ur	---|---|---|-|-⌫-⌫-|
moidonte st do lent	--|---|-⌫-|--⌫---|
teremo ncas ement	---|--⌫|---⌫----|
bia usfieus ale ́s alui	---⌫-|----|---⌫-||--|
pr emierement	--⌫---------|
seiluosconi s so itpar	-|-|--|----⌫-⌫--⌫-|--|
nesun s ens	----|-⌫--|
ilneuosfaur oitia	-|-|--|----⌫--|-|
mienen sien t	---|--⌫----⌫|
sireche d ist aio ls	---|--|-⌫--|---⌫-|
cestporno iant	|--|--|--⌫---|
ains iraiamononcle	---|---||--|----|
uf ranceapent	|-⌫----|----|
ca sem ent	--⌫---⌫--|
ienequerraiiaautr e	-|-|------|-|----⌫|
enmonui uent	-|--|--⌫---|
iu squ es i	--⌫---⌫-||
lecouenent	-|-------|
ca rch ouestliplus	--⌫|--⌫-|--|-|---|
richesdemespare ns	-----|-|--|----⌫-|
quantlentendielies	----||------|----|
moltfu ioia ns	---|-|----⌫-|
