kipetitsemmepetitque lt	-|----|----|----|---⌫-|
ausil uisanzetausifais	---|-⌫-----|-|---|---|
maintenantpresde luis est	---------|---|-|--||--|
et licheualier slidem an de	-|-|---------⌫|-|---⌫--⌫-|
ueis tuh uipar cestela nde	---|-|-⌫-|--|----|--⌫--|
cinc cheualiers e tt roispuceles	---|---------|-⌫|-⌫---|------|
liu a lles aautres no u eles	-|-⌫-⌫---||-----|--⌫-⌫---|
enquerr eetd emanderentent	-------⌫|-|-⌫------|-----|
asalancesam ain li	|-|----|-|-⌫--|-|
se lpren tetdi stbiaxsire chi ers	-||----⌫|-|--⌫-|---|---|---⌫--|
uosqui au ez	--|--|--⌫-|
noncheu a lier s	--|----⌫-⌫----⌫|
que e storcheq ueuostenez	--|-⌫-|-|--|-⌫-|--|----|
orsui ie moltbienassenez	-|--|-|---|---|------|
faitli cheualierscem estuis	---|-|---------|-||--|--|
iequido iebiaxdo lsamis	-|-----⌫-|---|--⌫-|---|
noueles aprendredetoi	------|-------|-|--|
ettules uels oir de	-|-|--|---|--|-|
selt ed iraice	-||-⌫|-⌫---|-|
dites u osfaitilconla	----|-⌫-|---|-||-|-|
sic omiefazmes	-|-⌫-|-|--|--|
gaue l o s	----⌫-⌫-⌫|
naieu alle ttuiez to z sos	---|-⌫----⌫|-|--|--⌫|--|
ainsenfierton tot demanois	---|-|----|-|--|-------|
dontualtmiex li	---|---|---|-|
un sde cestrois	--⌫|-|--|----|
gauelosqueuosueezchi	------|--|--|---|--|
queq ua nquesie	--|-⌫--⌫----|-|
bes t esau	---⌫-⌫-|-|
ochi desi l oing	---|-|-|-⌫---|
come onporroitd	---|-|------||
u nboiontraire	-⌫|----|-----|
uallet deche n aiie que	-----|-|--||-|-|--|
maisdes cheualiers m er espont	---|--|---------|-⌫|-⌫-----|
d i moisetusez	-⌫|--|-|-|--|
etle spuc ele sueis tu	-|--⌫|---⌫---⌫|---|-|
liuallesal	-|-----|-|
p iedele scu	-⌫-|-||-⌫--|
leprentetdi sttotenapert	-|----|-|--⌫-|--|-|----|
c e quees t et	-⌫|--|--⌫|-|
decoiuoss ert	-|--|--|-⌫--|
ualletfa it	-----|--⌫-|
enautrenouele memes	-|----|-----|-|--|
queiene qui ernedema nt	--|-|-|---⌫-|-|----⌫-|
ie quidoiesediexmauan t	-|------|-|---||----⌫|
quetunouelesme deisse s	--|-|------|-|------⌫|
ainzque demoilesa preisses	------|-|--|--|-⌫-------|
ett uuelsqueietesap raign e	-|-⌫|---|--|-||-|--⌫-----⌫|
ietediraicomentqu ilprai gne	-|-|----|-------|-|----⌫--|
car atoi uolentiersmac ort	--||--|---------||--⌫--|
escuanon c equeieport	---||--|-⌫|--|-|---|
esc uanon uoirefaitcil	---⌫||--|----|---|--|
neledoimieten iruil	-|-|--|--|---⌫-|--|
ca ril m est tantde bonefoi	--⌫|-||--|---|-|---|--|
que senus lanceoutr aitamo i	--|-|--|----|-|--⌫--||--⌫|
encontretoz l esco ps s emet	-------|--|-⌫-|--⌫-|-⌫|--|
cest l is er uices q uilme	|--|-⌫|-⌫--⌫----|-⌫|-|-|
at an tcilqui furent arriere	--⌫--⌫|--|--|-----|------|
uindrentto te	-------|--⌫-|
la charriere	-|--------|
uerslorseignorplus	---|--|------|---|
que le pas	--|-|--|
si lidientisnellepas	-|-|----|---------|
sireque uos distc istgalois	---|--|--|---|-⌫--|-----|
il nesetpas	-|-|--|--|
t otes leslois	-⌫---|--|---|
fait li sires ediex m	---|-|---|-⌫|---||
c a riennulequelidem ant	||---|---|--|-|---⌫--|
ne meresp ontilainc	-|-|----⌫--|-|---|
ai nsdemande de qu anqu il	--⌫-|------|-|--⌫---|-|
comentanon	-----||--|
etconen fait	-||-|-|---|
siresachieztot entresait	---|------|--|--------|
que ga lois	--|--⌫---|
sonttotparnature	---|--|--|-----|
pl usfolque	--⌫-|--|--|
bestesen pa sture	-----|-|--⌫----|
cistest a usi come unebeste	---|--|-⌫--|---|--|----|
fol sest quidalez lui sareste	---⌫|--|--|----|--||-----|
selamuse ne ueltmuser	-|-|---|-|---|----|
etle tansen	-|-|---|-|
fol ieuser	---⌫-|---|
ne saifaitilmaissedieu	-|--|---|-|---|-|---|
ain squeso i e mis	---⌫---|--⌫-⌫|--|
quanquiluold ra to tli di rai	-----|-|----⌫-|--⌫|-|--⌫--|
iaa utre mentnenpartirai	-|-⌫----⌫---||-|-------|
lorsli de mandederech ief	---|-|--⌫----|------⌫--|
ualletfaitil	-----|---|-|
ne tesoitgrief	-|-|---|----|
m aisdes c inccheual iersme	-⌫--|--|-⌫--|------⌫---|-|
pucelesautr esi	------|----⌫--|
suilese nco n t rasneueis	|-|--|-⌫---⌫-⌫-⌫--|-|---|
etliualles letenoitpris	-|-|-----|-|-----|---|
parleh auberc et si	--|-|-⌫-----|-|-|
or me dites	-|-|----|
quecestqu euosauez uestu	--||--|--⌫|--|---|----|
ualle tfa it	-----⌫|--⌫-|
ildon tnelse s	-|---⌫|-||--⌫|
ie nonuallet c est mes haub ers	-|--|-----||--|--|----⌫--|
au sipesansc omefers	--⌫-|-----|-⌫--|---|
quil estdefer ceuoistubien	-|-|--|-|--|-|---|-|---|
de cefaitiln esa i ierien	-|-|---|-|-⌫|--⌫|-|---|
maismoltestbiax se diex	---|---|--|---|-|---|
quenfaitesu osetque uosuaut	-|-|-----|-⌫-|-|--|--|---|
uallet c esta dire legie r	-----||--||---|-----⌫|
se uoloiesa moi lanci er	-|------||--|-----⌫-|
saiete trai re	-----|----⌫-|
porroies nul	-------|--|
dans che ualiersdetels	---|---⌫------|-|---|
gartdiex l esbisses et	---|---|-⌫-|-----|-|
q ue nuleocir ren	-⌫-|---|----⌫-||
en porroie	-|------|
apres ne corroie	----|-|------|
e t li cheu alier slire dit	-⌫|-|----⌫-----⌫|-|--⌫--|
u alletseda me diex tait	-⌫----|-|--⌫--⌫---||--|
mesesdirenoueles	-|--|---|------|
descheualiers e tdespuceles	--|---------|-⌫|--|------|
etcilqui p etit	-|--|--|-⌫---|
li distfustesuosensinez	-|---|-----|--|---|--|
naieualletcenepuet estre	---|-----|-|-|---|----|
que nsipeustia nushom nestre	-|-⌫--|----|-|--|--|-----|
qui uosatorn adontensi	--|--|-----⌫|---|---|
ualletietedi r ai bien	-----|-|-|--⌫-⌫-|---|
ditesledo n tm olt	----|-|--⌫-⌫|-⌫--|
uole ntier s	----⌫-----⌫|
n apasencorc incans	||--|----|-⌫--|--|
quetotcestharnoi sm edona	--|--|---|------⌫|-⌫|---|
lirois art us	-|---|---⌫-|
quimadouba	--||-----|
maisormere diquedeuindrent	---|-|-|--⌫-|--|---------|
l ic heualierquipa r chi ui ndrent	-⌫|-⌫-------|--|--⌫|--|--⌫-----|
q u iles troisp uceles conduient	-⌫-⌫|--|----|-⌫-----|--------|
uontille p asouil	---|-|-|-⌫-|-|-|
se nfuient	|-⌫|-----|
etcildistsire or	-|--|---|---|-|
lep lush aut mo ntqueuos	-|-⌫--|-⌫--|--⌫-|--|--|
quicele m on taigne	--|---|-⌫--⌫-----|
las on tli de st roit d eualbone	-|-⌫--⌫|-|--⌫--⌫---|-⌫|------|
etq uedechefait i lbiax	-|-⌫-|-|--|---|-⌫|---|
li herceormam ere	-|------|-|-⌫--|
quisesterres	--|--|-----|
s ementet ere nt	-⌫----|-|---⌫-|
etseces ge ns	-|-|--|--⌫-|
i trespasserent	|------------|
l esuiren tse luosdiront	-⌫-|-----⌫|-||--|-----|
etcildien tq u iliiront	-|--|----⌫|-⌫|-||----|
au ec lu ise	--⌫-|--⌫|-|
il les imaine	-|--||----|
dusqu aceus	----||---|
quihercent	--|------|
liual lesprents onchaceo r	-|---⌫--|----|-⌫-|------⌫|
ou liherceor	-|-|------|
he rcoientlest erres	--⌫------|--|-⌫----|
auainess ont semee s	------|-⌫--|-----⌫|
iluirentlors eignor	-|-----|--|-⌫-----|
sitramble ren t totdep aor	-|-------⌫---⌫|--|-|-⌫--|
porcoii lle	--|--|-⌫|-|
porlescheualiers qu e iluirent	--|--|---------|--⌫|-|-----|
quiauec lui	--|---|--|
arméue noient	----|--⌫-----|
queb ienseuents	--|-⌫--|-----||
ill i auoient	-|-⌫|------|
l or afaireditetlorestre	-⌫-|-----|--|-|--|----|
que il uolroitch eu al iers	--|-|------|--⌫--⌫--⌫---|
e ts a mereeni stroi t	-⌫|-⌫|---|-|-⌫-----⌫|
cardestor nerlenquidoitlen	--|------⌫--||-|------|--|
queia cheualierneuei st	--|-|--------|-|---⌫-|
ne lorafair en apreist	-|--|-----⌫||------|
etliuallesdistas bouier s	-|-|-----|---|-|------⌫|
ueistesuos cinc	------|--|---|
ch eualiers	--⌫-------|
e t trois p uc ele schipas ser	-⌫|----|-⌫--⌫---⌫|--|---⌫--|
ilnefinerenthui	-|-|-------|--|
destrois fon tlibouier	-------|---⌫|-|-----|
ualles au cheualier	-----|-|--------|
qui tantauo it alu ipa rlé	--|---|---⌫-||--⌫|--⌫---|
pa rchi sont alé	--⌫|--|---|---|
li cheual ie re t l es	-|------⌫--⌫|-⌫|-⌫-|
maisormeredites noueles	---|-|-|------|------|
delroi quiles cheualier s	--|--|--|--|---------⌫|
o uilplusesta it	-⌫|-|---|----⌫-|
ualletfait	-----|---|
il direte we il	-|---|-|--⌫-|
que liroisseior nea cardoei l	--|-|---|-----⌫-||-------⌫|
namiee n c or passé	||--|-⌫-⌫-⌫-|-----|
q ueili estoit	-⌫-|-||-----|
qu e ieifui	--⌫|-||--|
l t rouesenqui	|-⌫----|----|
bie nert qui le	---⌫|--|--|-|
t ensaignera	|---------|
iaside storn eznesera	-|-|--⌫-----⌫-|-|---|
ta ntost li che ualierss en pa rt	--⌫----|-|---⌫------||-|--⌫-|
lesgra nsgaloscui	--|---⌫-|----|--|
quileustlesautres	-|-|---|--|-----|
etli uall esnesestpa s	-|-|----⌫-|-||--|--⌫|
dere tornerason	-|--⌫-----||--|
ou samere dolantet noir	-|-|---|-----|-|---|
auoitlecu er porsademore	----|-|--⌫-|--|-|-----|
grantio ie	----|--⌫-|
meisme l ore	-----||--|
qu e l eleuoi tnepas	-|-⌫-⌫|-|---⌫|-|--|
celer la ioieque	----|-|---|--|
car comemereq uimol t	--|---|---|-⌫-|---⌫|
c ortcontre lu ietsileclaim e	-⌫--|-----|--⌫|-|-|-|-----⌫|
biaxfi xb ia xf ixplusdecentf ois	---|--⌫|-⌫--⌫|-⌫-|---|-|---|-⌫--|
b iax fix moltaesté des t rois	-⌫--|--|---||----|---⌫-⌫---|
mes cuer spor uostre demor ee	--|----⌫|--|-----|-----⌫-|
dedoe l aie stéac o r ee	-|---⌫|-|-⌫---|--⌫-⌫-⌫-|
siq ue parpoi mort e nesui	-|-⌫-|--|--|----⌫|-|--|
ouauez uostantesté	-|---|--|---|----|
oudame ieleuosdira i	-|---|-|-|--|----⌫|
iade r ien neuos	-|-|-⌫--|-|--|
me nt irai	--⌫--⌫---|
car ieaimoltgrantioieeue	--|-|-|---|----|---|--|
ch osequeiai ueue	--⌫--|--||-|---|
me re dontne soliezuosdire	--⌫-|---|-|-----|--|---|
quel iangl e	--|-⌫|----⌫|
e tdi e xnostre si re	-⌫|--⌫-⌫|-----|--⌫-|
sont s itr esbelc onquesnature	---|-⌫|--⌫-|--||-----|-----|
ne fistsibelecreat ure	-|---|-|---|-----⌫--|
n elm on de	|-|-⌫--⌫-|
n asibelerien	||-|---|---|
biaxf ix encorled i	---|-⌫-|----|-|-⌫|
iel di por	-||-|--|
taisie z m ereneuiieo r	------⌫|-⌫--|-|-|-|-⌫|
lesp l usbelesch osesqui s ont	--|-⌫-⌫-|----|--⌫---|--|-⌫--|
qu iparle ga steforestuont	--⌫|--|-|--⌫--|-----|---|
il sontplus bel sicomieq uit	-|---|---|--|-|--|-|-⌫--|
qu edie xn equesi	--⌫|---⌫|-⌫|--|-|
lamereentre ses brasle	-|---|----|--|---|-|
etdistbiaxfixa dieu t erent	-|---|---|--||---|-⌫|---|
grantp a o rdetoi	----|-⌫-⌫-⌫|-|--|
tuas ueusicom ie	-|-|--|-|--|-|
lesangl esdontlagentse plaignent	--|----⌫-|---|-|---|-|--------|
quiocientquanqui lataigne nt	--|-----|-----|-⌫|-------⌫-|
nonaiuoirmerenon ainon	--|-|---|---|--|-|--|
cheualie rdient quil	--------⌫|----|-|-|
pa smeacest m ot	--⌫--||---|-⌫-|
quecheuali e rnomer li ot	--|-------⌫-⌫|----|-|-|
etqua nt elefuredre chiee	-|---⌫-|--|-|-----⌫----|
femecorrechiee	---|---------|
ha l assecomsuim a lbaill ie	-|-⌫---|--|--|-⌫-⌫------⌫-|
bia xdols fixdecheualerie	---⌫|---|--|-|---------|
uosquidoiesibien garder	--|------|-|---|-----|
que ia nen oissiezparle r	--|-||-|------|-----⌫|
neque i anul	-|--|-⌫|--|
nenueissiez	|-|-------|
c h eu ali ersestr ede ussie z	-⌫-⌫--⌫---⌫--|----⌫|--⌫-----⌫|
biax fix sedame die u pl eust	---|--|-|----⌫---⌫|--⌫---|
quiuostre pereuoseust	--|-----|---|--|---|
gar de ́et	---⌫--⌫|-|
uosautr es amis	--|----⌫-|---|
notcheualierde si	|-|--------|-|-|
haut pri s	---|---⌫|
tan tre douté	---⌫|--⌫-----|
netant crem u	-|---|----⌫|
co muostreperes fu	--⌫|-----|----|-|
e ntoutesl es illes de me r	-⌫|-----|-⌫-|----|-|--⌫|
biax fixbi enuospoez	---|--|--⌫-|--|---|
dechaez der ien	------|-|-⌫--|
deson li gnage	-|--|--⌫----|
q ue iesuideche uali ersne e	-⌫-|-|--|-|---⌫----⌫--|--⌫|
desmeill orsde ceste co nt ree	--|-----⌫--|-|----|--⌫--⌫--|
esil l esdemer	-|--⌫-⌫-|-|--|
n ot lignage	|-|------|
me illor delmienenmo ne a ge	--⌫----|--|---|-|--⌫|-⌫-⌫-|
maislimei l lo r	---|-|---⌫-⌫--⌫|
sontdecheu	---|-----|
bienenpluisorslius ueu	---|-|-------|---|--|
me sch eancesauien ent	--⌫---⌫-----|-----⌫--|
asp reudomesquise	-|-⌫-------|--|-|
engran t honor eten	-|----⌫|----|-|-|
malue stiezhontene pereche	-----⌫----|----|-|------|
nedechietpasqu elenepuet	-|------|--|-|--|-|---|
mais lesbuensdechaoir es tuet	---|--|----|-------|--⌫---|
uostre peressi ne l s a uez	-----|----|-|-||-⌫-⌫--|
laiambenaurez	-|----|-----|
sique ilmehaaignadelcor s	-|--|-|--------|--|---⌫|
sa gra ntterresesgranstresors	-|---⌫-|----|--|----|------|
que ilauoit comepreudom	--|-|----|---|------|
ala t otaperdi tion	--|-⌫-||-----⌫---|
sichaiengrantpourete	-|---|-|----|------|
apourietdeshi ret é	-----|-|-----⌫---⌫-|
etesc ill iéfure nta tort	-|---⌫---⌫--|----⌫-||---|
li gent ilhomeapr essa m ort	-|----⌫-|---|---⌫-|-|-⌫--|
pandragonquimo rs	--------|--|--⌫-|
etperesle bon ro iartu	-|----|-|--|--⌫|---|
les terresfurentescillies	--|-----|-----|--------|
e tlespouresg en sauillies	-⌫|--|-----|-⌫--⌫|-------|
si senfuiquifuirpot	-||-|--|--|---|--|
u ostrepere cestmanoirot	-⌫----|---|---|-----|-|
ichien cesteforestgaste	---|-|----|-----|----|
nepot fuirm aisen	-|--|---|-⌫--|-|
grant hast e	----|----⌫|
en lit i ereaportersi	-|---⌫-⌫--|------|||
qu aillors	-|------|
nesot ouilfuist	-|--|-|-|----|
et uo squip etis estiiez	-|--⌫|--|-⌫---|------|
deusmol tbiaxfreres	---|---⌫|---|-----|
petis es tiez et al aitans	----|--⌫---|-|--⌫-----|
peuauiie z pl us	--|-----⌫|--⌫-|
dedeusa n s	-|---|-⌫-⌫|
qu a ntgrant fu rentuostredui	--⌫-⌫-|----|--⌫---|-----|--|
auconseil lorpere	-|------|--|---|
aleren t adeus corsro iaus	------⌫||---|---|--⌫---|
por auoirarmes et cheuax	--|----|----|-|-----|
au ro ideschaua lonal a	-|--⌫||-------⌫--|--⌫|
liais nezettantserui l	-|---⌫--|-|---|----||
q uecheualiersfuad oubez	-⌫-|---------|-|--⌫----|
etl i a utresquip uis	-|-⌫|-⌫----|--|-⌫--|
fu au roib an d egomorr et	-|-|--|-⌫-|-⌫|------⌫-|
io randui liuallet	--⌫|----|-|-----|
adoubéet ch eualierfur ent	------|-|--⌫------|---⌫--|
ete n unio r meismemurent	-|-⌫|-|--⌫|-----|-----|
po rreueniralo r	--⌫|------||--⌫|
meuoloientfa ire	-|-------|--⌫--|
et lo rpere	-|--⌫|---|
quipuis n e s	--|---||-⌫|
qua armesfuren t desconf it	-||----|-----⌫|-------⌫-|
a armesfurent mort	|----|-----|---|
gra ntd oel e t gr a nt	---⌫-|-⌫--|-⌫|--⌫-⌫-|
delainsnea uinrentmer ueilles	-||-----|-⌫------|---⌫------|
c orbe letlescorneilles	-⌫----⌫|-|--|---------|
