aladolour del	|-|-----|--|
auoircroisement	----|---------|
senef i e .	-----⌫-⌫||
brasforsauoi r uertut	---|---|----⌫|-----|
doneiral cunec housediscorudesenefie	-----|--⌫---|-⌫----|--------|------|
baldreit ueirestre	-------|---|----|
delui centenfermet eit se nefie	-|--|---|--------⌫--|--⌫----|
braiesue stirar doi r	-----|--⌫---|--⌫---⌫|
couteuestir segureteit s enefie.	----|-----|---------|-⌫-----||
c oroneprendre usoi ueircoron eir	-⌫----|------||--|---|-----⌫--|
gaingn ese nefie	------⌫|--⌫----|
c oronedepalmes auoirsormunteme ntsenefie .	-⌫----|-|-----|----|----------⌫-|------||
coronedorauo irde sour plusourauoir	-----||-|---⌫-|--⌫---|------|----|
se ingnerie sse nefi e.	--⌫--------⌫|--⌫----⌫||
co rone delaur ierauoirbonegra s e sen e f ie	--⌫---|-|----⌫--|----|---|---⌫-⌫|---⌫-⌫-⌫-|
coro n ededeu er ses	----⌫-⌫|-|---⌫--⌫--|
floura uoiruilen tortsenefie	----|-⌫---|----|---|------|
cielu eirflamboir f el o ni e	---|-⌫--|-------|-⌫--⌫-⌫--⌫|
colonsueirtristec es enefie.	-----|---|-------⌫|-⌫-----||
ceu elz tondusauoircroisemenss enefie.	---⌫--|-----|----|---------|-⌫-----||
c heues de sonchi esueirtolir perdesenefi e	-⌫----|-|--|---⌫-|---|----|----|------⌫|
ceuelusso i	------|--⌫|
ueir enfermeteitsenne fie.	---|----------|-----⌫--||
cieflau eirdau cu nhome deliurancede	---|---⌫--||--⌫--⌫|---|---------|-|
c remo ursenefi e.	-⌫----⌫-|------⌫||
ciefblan ke a uoir gaingnesenefie.	---|----⌫-|-⌫---|------|------||
sonchieftondre damaig ese nefie	--|----|-----|------⌫|--⌫----|
chachementnuefauo irgaaigneude ciuementsene fie.	---------|---|---⌫-|------||--⌫-------|----⌫--||
c h ac e mensu ie schacierenpiremens senefie.	-⌫-⌫--⌫-⌫---|-⌫--⌫|------|---------|------||
c hien s ue ir	-⌫----⌫|--⌫-|
gi ueraueca lcun home graise de sonauersa re senef ie .	--⌫--|---|-⌫---|---|-----|-|--|------⌫-|-----⌫-||
chie nsueirplusourseskiwei r	----⌫-|---|-------|-------⌫|
sesannemissenefie.	--|------|------||
cirges ueir u cire	-----|---||---|
ioiesenefie .	---|------||
parl eir amortg aingne senefie.	----⌫--||---|-⌫-----|------||
gesirauec s as erurd amai g e senefie .	----|---|-⌫|-⌫---|-⌫----⌫-⌫|------||
ge sirauec saf emm e damaige sen efie	--⌫--|---|-|-⌫---⌫|------|---⌫---|
gesir auec mar le segureteit	----|---|---⌫-|---------|
senef ie .	-----⌫-||
gesira ue cuirgineanguos senefie.	----|-⌫--⌫|------|-----|------||
gran slumiereu eirgaingnesenefie	----⌫|------|-⌫--|------|------|
alcunangeueiremp eg emenssenef ie .	----|---|---|---⌫--⌫----|-----⌫-||
carbons mai ngiers esanne mis delui parleir	------|---⌫----|-⌫-|----⌫--|-|--|------|
s enef ie.	-⌫----⌫-||
uo mi r sonmaing ierdamaigeua lcundese s sacréscho ses	--⌫--⌫|--|-----⌫--|------||-⌫---|-|--⌫|------|---⌫--|
descco urir senefie.	------⌫---|------||
estrec oroneit	----|-⌫------|
entreplusour smortsenefie .	----|-------⌫|---|------||
mo ntei ral cier	--⌫----⌫|-|---|
hono urssenefie.	----⌫--|------||
lechielueir	-|----|---|
ente rrea gai tsenefi e.	-|--⌫--|-⌫---⌫|------⌫||
lecierueircheirioiesenefi e.	-|---|---|----|---|------⌫||
cocumbr eucaor des cei rannuisenefie .	-------⌫||----⌫--|---⌫|----|------||
licesblankesueir grief	----|------|---|----|
te nchons senefi e .	--⌫-----|------⌫||
assalhir nuluicremurssenefie.	-------|----|------|------||
se maisonueirardoirboenm esaige	-|-----|---|-----|---|-⌫-----|
coltel prendrete sannumidetoiparlei rsenefie.	-----|------|--⌫|-----|-|--|------⌫|------||
coltel doneir	-----|-----|
sonann emis defen d resenefie	--|---⌫---|-----⌫-⌫-|------|
sorchar monteir	--|---|------|
use ir tenchonssenefie .	|--⌫-|-------|------||
lir e uueirlire ioie s ene fie.	---⌫||---|---|---|-⌫---⌫--||
fresfromaigesueirumaingier	---|--------|---||-------|
g a ingne se nefie saleis fromai ges	-⌫-⌫----|--⌫----|-----|------⌫--|
ueir nul le b ien s enefie	---|---⌫-|-⌫--|-⌫-----|
carb onsestiensueirses	----⌫--|------|---|--|
annemisdestruissenefie.	------|-------|------||
en sem blroiuenp e reurmanoirioiesenefie.	--⌫---⌫-|--||---⌫-⌫---|-----|---|------||
ch arbo n suisu eirsesannemis contregard eir	--⌫----⌫-⌫|--|-⌫--|--|------|----------⌫--|
s ene fie.	-⌫---⌫--||
c har treescrit ea cusementsenefie.	-⌫---⌫--|------⌫|-⌫-------|------||
chartelirbonmesaig e senefie.	-----|--|--|------⌫|------||
sonchiefueir aplani er honoursenefie .	--|----|---|------⌫-|-----|------||
se char u eir n a urei rgrie fenferm eteitsenefie.	-|---|-⌫--|-⌫-⌫----⌫|----⌫|------⌫----|------||
char maingier	---|-------|
pe chietsenefi e.	--⌫----|------⌫||
auuglét ueirperdesen efi e.	-------|---|----|---⌫---⌫||
cendresuei rseurteit sen efie .	------|---⌫|-------|---⌫---||
ueir leece senefie .	---|----|------||
tymbreuharpe u eir grant t enchons	-----||----|-⌫--|----|-⌫------|
monteir enhauttrauailhe oubonmesaig e senefi e	------|-|---|--------|-|--|------⌫|------⌫|
c orsa uoi r uelhutenpegem entsenefie .	-⌫--|-⌫---⌫|-----|-------⌫--|------||
ueirl efemmede ueniruuiure bonmesa i ge	---|-⌫|----|--⌫----|-----|--|----⌫-⌫-|
crucifiersoi ueir gra nstribu lations	--------|--|---|---⌫-|-----⌫------|
en boisa l eir amistier sene fie .	-|---|-⌫-⌫--|-------|----⌫--||
guardesue ir etaueceazhabiteiran nui	------|--⌫-|-|---|--|-------|--⌫--|
s enefie .	-⌫-----||
a hauthome p arl eir	|---|---|-⌫---⌫--|
u au eclui al ei r besoingnesenefie.	|--⌫-|--|--⌫--⌫|--------|------||
adeu parl eir	|--|----⌫--|
gaing neumerueilhe	-----⌫-||--------|
cuirsoi u eirisnel eme ntb esoingn e senefie .	---|--|-⌫--|-----⌫---⌫-|-⌫-------⌫|------||
cuilichie ft resau t la nguer	--|-|----⌫|-⌫-----⌫|--⌫----|
senefi e .	------⌫||
dest reparti e	----⌫-|-----⌫|
del cieftres autnullebi nsene f ie .	--|---|----⌫--|----|--⌫|----⌫-⌫-||
cuiliso uraine partiedel c hieftresautbi ensene fie.	--|-|--⌫-----|-----|--|-⌫---|------|--⌫-|----⌫--||
sa m a isonueoir	-|-⌫-⌫---|----|
c haoirperild e se uie	-⌫----|----|-⌫|-|--|
s enefi e .	-⌫-----⌫||
semaisonuei rdestruiredamaige	-|-----|---⌫|--------|------|
se n ef ie.	--⌫-⌫--⌫-||
sesde nsde s ostr ainsetsouer ans ules	--|--⌫-|--⌫-⌫----⌫---|-|-----⌫--||--|
mausele i ssamanechai r	-------⌫-⌫|-----|----⌫|
alcundesesamispe rde rat	----|-|--|---|--⌫---⌫--|
ci entsen do lourd esancalcun	--⌫--|--|--⌫---|-⌫|---|----|
amisperder a.	---|------⌫||
dra g onsuei r di gniteitsennef ie .	---⌫-⌫--|---⌫|--⌫------|------⌫-||
coroneueir gai ngneuio i ese nefie	-----|---|---⌫---||--⌫-⌫|--⌫----|
