communalmen tuo usquia ués	-----------⌫|--⌫-|--|-⌫---|
cascunsend roits oi q uesilesto it	------|---⌫---|-⌫-|-⌫-||-|----⌫-|
fius au n roiou	---||-⌫|--|-|
fius arice empereourneporo itplus tr aireahounour	---||---|--------|-|----⌫-|---|--⌫---||------|
quilnauoi ttechene	-|-||----⌫|----|-|
qui pas n estoitage ntco mmunequil n	--|--||-----||--⌫-|--⌫----|-|-||
ou mont dansel e	-|---|------⌫|
tant c ourtoisefrance nebele nedame	---|-⌫-------|-----|-|---|-|---|
denuledeuisenepourbiaute	-|---|-----|-|---|-----|
nepour fr an kise quil	-|---|--⌫--⌫---|-|-|
amastuail lantunealie.	----|----⌫---|--|---||
n auoi t cure	|----⌫|---|
dautrema nier eamoit	|----|--⌫----⌫|----|
tout es celes aquip arloitatout esuolentie rs	----⌫-|----||--|-⌫-----||----⌫-|--------⌫-|
p arla mais aincnulen	-⌫---|---|---|---||
en couuoita	-|-------|
nelontdautre ch ose	-||--||----|--⌫--|
blasméfo rsque trop amoit	------|--⌫----|---|----|
amadasparnon l ap eloient etp ar	-----|--|--||--⌫------|-|-⌫-|
enui e leno umoient tuitl iplus eurde senu ie us	----⌫|-|--⌫------|---|-⌫|----⌫--|--⌫|---⌫--⌫-|
ama dasl efinamoureus	---⌫--|-⌫|--|-------|
parenuoi seuree tpa r gasle fin amoureusamadas	--|-----⌫----|-⌫|--⌫|--|-|--|-------|-----|
lapel oientmaisnesa uoient	|----⌫----|---|-|--⌫-----|
comilueraipropheteestoient.	--|-|----|-------|-------||
licheualier mult l egabo ientlienuoisié tli	-|--------|---|-⌫|----⌫---|-|---------⌫|-|
demand oien t pour coiil namoit par	------⌫----⌫|---|--|-||----|--|
a mour au cun e	-⌫---|--⌫---⌫|
dam edeualourouaucuneg entilpucele	---⌫|-|-----|-|-----|-⌫----|-----|
quifustf ranceensegn ie	--|---|-⌫----|------⌫-|
detous bi ensenam enderoitp lusfransetplus	-|---|--⌫--|-|--⌫-------|-⌫--|----|-|---|
c ourtoi s se roitetplus hardis et	-⌫------⌫|--⌫---|-|---|-----|-|
mi x uaillansdetouterie ns plus	--⌫|-------|-|----|---⌫-|---|
entenda ns.	-------⌫-||
a t ous cheus	|-⌫--|----|
qui c hel idisoie nt disoit quenuain se	--|-⌫-|-⌫|------⌫-|-----|-|-|---|-|
traui llo ient carilne	-----⌫---⌫---|--|-|-|
sen set entrem etreneiasentente n	|-|--|------⌫---|-|-||------||
i quiert metre	|-----|----|
onques sauoirdamourn ule	-----|-----||----|-⌫--|
dou ceur nul edolournulcorag enenulpenser	---⌫---|---⌫|-----|--|-----⌫|-|--|-----|
unrega rt iete r .	-|----⌫-|----⌫||
maispui sau int enpeude tensquil	---|---⌫|--⌫--|-|--|-|---|-|-|
aut repourpens don tilotiresettourme ns	---⌫-|-------|---⌫|-|-|---|-|------⌫-|
etpetitd assu ag emens.	-|----||----⌫--⌫----||
carleducquise s i re estoit	--|-|--|--|-|-⌫-⌫-|-----|
desa f e meune filleauoit qui multe stoit	-|-|-⌫-⌫-|--|----|----|--|---|-⌫----|
e tgen teetbele.	-⌫|---⌫-|-|---||
notsi renoumee	|-|-|-------|
pucele decha	-----|----|
les mo nsde	--|--⌫-|-|
grantbiauted e	----|-----|-⌫|
fran cisene de b onte.	----⌫---|-|-|-⌫---||
lechiefo t bel et bien reont la greue	-|----|-⌫|--|-|---|----|-|----|
droiteet b lancle	-----|-|-⌫---|-|
deliesetblonslescri ns p lus reluisa ns que	-----|-|----|--|---⌫-|-⌫--|-------⌫-|--|
n est orsfins	|--|--|---|
auoitet biaus et	----|-|----|-|
lonsaua llitoucen tas talons	---|---⌫|-|------⌫|-|-----|
le uisotblancetbientraitise t	-|--|-|----|-|---|------|-⌫|
leseu xuairs etsignouris do u c le re gartet	--|--⌫|----|-|--------|--⌫-⌫|-|--⌫---|-|
sim ple et sage quenus	---⌫--|-|---|--|--|
n i potnoterfolagenenul sambl an tdelecerie	||--|----|-----|-|--|-----⌫--⌫|-|------|
nulse ultres pas deuilenie	--|--⌫-|----⌫--|-|------|
biaun esbiau uis et	---|-⌫-|---|--|-|
bou ce bele	---⌫-|---|
fresce couleurcom f l eu rnou uele.	-----|------|--|-⌫-⌫--⌫|---⌫---||
decorses talignieetgentes icom nature i	-|---|--⌫|------|-|----|-⌫|--|-----||
mists entente aluifourmer en	---||------||--|------|-|
to uz endro is pieset ia mbe sbrasmain setdois	--⌫-|-----⌫-|---|-|--⌫---⌫|---|----⌫|-|---|
sans toutestekesestoitf aitesicomymageen	---|-----|----|-----|-⌫---|-|--|----|-|
orpourtraite	-|---------|
chiereco urtoiseeten uo isie	-----|--⌫------|-|--⌫--⌫---|
enuerstousf ransh omeshaitie.	-----|---|-⌫---|-⌫---|-----||
filne f ille li dusn auoit	--|-|-⌫---|-|--||----|
forsl uito utseul pourcelamoi t	---|-⌫-|--⌫-|---|---|-||----⌫|
car eleestoit multdeboi n air emultpre use t	--|--|-----|---|-|---⌫|---⌫|---|---⌫-|-⌫|
demulthaut	-|---|---|
parsoitenoitgrant c ortp lenier ecom	--|--|-----|----|-⌫--|-⌫------⌫|--|
pucele d esam aniere qui	-----|-⌫|-|-⌫-----|--|
tantes toitriche et proisie	---|--⌫---|----|-|------|
de chaualiers agrant maisnie de ualles et	-|---------||----|------|-|-----|-|
dedamoisiaus qui	-|---------|--|
seruent pour a d ousnouiausfil	------|---|-⌫-⌫--|------|--|
bar o nsdupais.	---⌫-⌫-|-|---||
l a puc elefu d e	-⌫|---⌫--|-|-⌫|
ne c uic qua cel	-|-⌫--|-||--|
iou r fus t trouuee	---⌫|---⌫|------|
puc ele oumo ndeplus	---⌫--|-|--⌫--|---|
no umeefu parnon	--⌫---|-|--|--|
iene c uic	-|-|-⌫--|
iusqu enbabilone fus tplus	----|-|-------|---⌫|---|
beledameseuenedueldecheualier	---|---|---|-||--|-|--------|
maisuneteche	---|--|----|
auoitensoiconquesnefufillea	----|-|--||-----|-|-|----||
nulroinempereour nadu cn	--|--||--------|||--⌫||
a contequisiteni st	|----|--|-|----⌫-|
petitdeconteau dro it	----|-|----|-|---⌫-|
damorcomel	|---|--|-|
d amoursisourquidieestoitetsi	|----|-|---------|-----|-|-|
si orgill euseuers toushou messidesdaigneus e	-|------⌫---|---|---|---⌫--|-|-----------⌫|
qu elnepr isoit en soncorage	-|-|-|--⌫----|-|--|-----|
p our biauteneporu asselagenul houme	-⌫--|-----|-|--|-⌫-------|--|----|
umondepo ur	|----|--⌫-|
rik ecepourparentene pour	---⌫--|---|------|-|---|
hautecequ i regar tlifesist	------|--⌫|-----⌫|-|-----|
deloel multpar	-||--|---|--|
estoit degrant orgue l .	-----|-|----|-----⌫||
requise ntlauoient pluisou r maisaincn iu aut	-----|-⌫-||------|-------⌫|---|---|||-⌫--|
onq ues neuautpar druerie auo ir	---⌫--|-|---|--|------|---⌫-|
a min eestre	-⌫-|-⌫|----|
endespit auoi t to u samans	-|-----|----⌫|--⌫-⌫|----|
lapucel ep r e us	-|-----⌫|-⌫-⌫-⌫-|
etuaill ans.	-|-----⌫--||
aunhautiouriss i auint queli	|-|---|---|---⌫|----|--|-|
feste tint a sonrice castel diionuenu isont	----|---||--|---|-----|----|---||---|
baron del a	----|-|-⌫|
contreeetdupais.	------|-|-|---||
enl asale de	-|-⌫|---|-|
ma r b rebis fu la	--⌫-⌫-⌫-|--|-|-|
fe ste faitele iourdeseru ic ed egranthou no ur	--⌫--|----|-|---|-|----⌫--⌫|-⌫|----|---⌫--⌫-|
d eri ch esboiresde uiande selo nc cou	-⌫|--⌫--⌫-|-----|-|-----|----⌫-|--|
quec ascuns de mande	--|-⌫-----|--⌫----|
c ascunsi fu mult rice ment seruis	-⌫-----||-|---|----⌫---|-----|
selonclesien t alent.	-----|-|---|-⌫----||
lidusfu multioians e t liesdes es houmes	-|--|-|---|-----|-⌫|---|-|-⌫-|-----|
quiluit haitiés .	-|-|--|-------||
li senescau s a	-|--------⌫||
ic elio u rser ta	--⌫-|--⌫-⌫|---⌫||
la tablesonsignour dunmesroialau n	-|----|--|------||-|--|----||-⌫|
doublie rmultreluisansdef in	-------⌫|---|--------|-|-⌫-|
ormier etamadas	-|---|-|-----|
deuant sonpere	-----|--|---|
d euantsonperealatabl eerec uipuis auint	-⌫----|--|---||-|----⌫|--|-⌫-|---|----|
m a inteauent u re.	-⌫-⌫---|-----⌫-⌫-||
li dusla pelaa	-|--||-⌫---||
droit urele	-----⌫--|-|
meslicommandea portersabele fille	--|-|-------||-----|-|---|----|
etpresenterquiti ntaunepa rtsafeste	-|--------|--|--⌫-||--|--⌫-|-|----|
compucele de haut e	--|-----|-|----⌫|
lidamoisiaxbienenseigniéscom e courtoiset	-|--------|---|----------|---⌫|-------|-|
afaitie ́sdecestmessag es e	-------⌫-|-|---|------⌫|-⌫|
fi stpresto tou tlemestournéss enest.	--⌫-|----|-⌫---⌫|-|--|-------||-|--||
deuantladamoisele	-----|-|--------|
uintsaluela du	---|----|-|-|
mes q uiltintlefi stdepar leduc	--|-⌫|-|---|-|--⌫-|-|--|-|--|
etla pucele	-|-|-----|
boinementlerecoit et cel u imerchiele ualle tdere manoir	--------|-|-----|-|---⌫-⌫|------|-|-----⌫|-|--⌫-----|
p ri e car	-⌫--⌫|--|
n acure ke	||---|-|
i lsenaille.	-⌫||-|----||
amis faitele prens i	---|---|--|---|-⌫|
taillecestm es ded ens cesteesquie le.	-----|---|-⌫-|---⌫--|----|------⌫-||
chilqu ilapriere f u beleafaitto u tson	---|--⌫|-|-----|-⌫|---||---|--⌫-⌫|--|
commandement .	-----------||
or e escoutéscomgranttourm e ntliauintdecele	--⌫|--------|--|----|-----⌫-⌫-|-|----|-|---|
auenture deceld onton quesmaisn ot	-------|-|--|-⌫--|--⌫---|---||-|
s isou spris	-⌫|---⌫----|
uoel quemo rse ndutes trededoel.	---|--|--⌫-|-⌫|--|--⌫--|-|---||
n estpas meruellequ	|--|--|-------|-|
celefestea te ldelit si tres bel eet	---|----||--⌫|----|-|---|---⌫|-|
sienuoisiea	-|-------||
cieref ine	----|-⌫--|
e tsi haitiequ e nulefemenot	-⌫|-|-----|--⌫|---|---||-|
maistantbiauteenso i n e	---|---|-----|-|--⌫|-⌫|
bi a usam bl ant.	--⌫-⌫|---⌫--⌫--||
e nl esgar derdela	-⌫||-----⌫--|-|-|
sautaucuerune estincelequi defi ne amorl	---|-|---|--|--------|--|-|--⌫-|---||
iaen esttosmaset	-|-|--|--|--|-|
s o u pris et e nt rés	-⌫-⌫-⌫---|-|-⌫--⌫---|
en s igranteffr oiquilne	-|-⌫|----|----⌫-|-|-|-|
setnul conse il desoi .	--|--|-----⌫-|-|--||
nesetsi laioieou do lour ou	-|--||-⌫||---|-|--⌫---|-|
amertumeoudoucour	-------|-|------|
nese tse il l auito u	-|--⌫|-|-|-⌫|--|-⌫|
non parsong e ouparauis i on	--|--|----⌫|-|--|----⌫-⌫-|
siala memoireper d ueetsi tourblee	-||-|------|---⌫-⌫-|-|-|-------|
l aueuequedesamainchietli	-⌫|---|--|-|-|---|----|-|
cou t ia xdont	---⌫-⌫--⌫|---|
il do it trencier les	-|--⌫-|-------|--|
morsiaxsour latablesour	------|---|-|----|---|
ledoublier.	-|-------||
la couleur liprista cangiereten la	-|------|-|----||------|-|-|-|
fac e et oumenton.	---⌫|-|-|-----||
un so usp irieta al arro n	-|--⌫---⌫-|---||-⌫----⌫|
trespa rmil esuaines du cuer ha	---|--⌫--|-⌫-|-----|-|---|-|
fait il comiememoer por uousma	---|-|--|-|-|---|--|---|-|
b eledoucesoer	-⌫--|----|---|
bensaiqueuou s	--|--|--|---⌫|
nemame ́smie.	-||---⌫-|--||
s ima ué senuostrebaillie queiamais par	-⌫||-⌫---⌫|-|-----|------|--|-----|--|
nu ledeuis ed euostreamornequier	--⌫-|-----⌫|-⌫|-----|---|-|----|
b ele ne mel aissiés mori ren uos	-⌫--|-|-|-⌫-------|----⌫|-|--|
loiiens a teltristr o ur.	------||--|------⌫-⌫-||
dec estenouuele	-|-⌫---|------|
dolourquasi gr a nt ang ouss el	-----|-||-|--⌫-⌫-|---⌫----⌫||
assautned ist	-----|-|-⌫--|
paslaparol eenhautmaiscoiement kenus ne	--|-|-----⌫|-|---|---|-------|-|--|-|
ainsniparlade	---|||----|-|
langue unmo t	-----|-|--⌫|
ens on corage	-|-⌫-|-----|
en sonse croi	-|--|--⌫---|
fait ceste deuis epar	---|----|-----⌫|--|
car ornepuetaplusueniretiete	--|-|-|---||---|----|-|---|
a presungrantso uspir.	-⌫---|-|----|--⌫----||
pa l esdeuint aual	--⌫-⌫-|-----|---|
s aclinepasméschietdeuan tlamescine.	|-----|------|----|-----⌫|-|------||
la puce lesesfr oi e etcrieahaute	-|----⌫-||----⌫--⌫|-|---||----|
uoissaintemarie	---|-----|----|
uall etisalent etseriant	----⌫-||-----|-|------|
uiel etiouenepetitet	---|-|-----|----|-|
tuitcuident	---|------|
doie mo rir.	---|--⌫--||
m aistostreuint	-⌫--|---|-----|
ungrantsosp irfaitmultatrait alonge	-|----|----⌫-|---|---||----||----|
aucuerlisiet ladouce paine et	-|---|-|---|-|----|----|-|
lacaleu rs ki tot l alumeetde	-|-----⌫-|-|--||----|-|-|
dou ceure t damertume.	---⌫---|-⌫||-------||
d amerestmeruilleuse cosemeruelles fa it en poide	|---|--|----------|---|--------|--⌫-|-|--|-|
quibienueutamors espr ouuermaintemeruelle ipuet	--|---|---|----|----⌫----|-----|-------||---|
tr ouuercardech oseamerefa itmiel e t	--⌫----|--|-|--⌫--|----|--⌫-|---|-⌫|
de douceurf aitsauoirfiel	-|------|-⌫--|-----|---|
et decaut froit et	-|-|---|----|-|
de froitcautetdehautba s etde	-|----|---|-|-|---|--⌫|-|-|
bashautet d emalbien	--|---|-|-⌫|--|---|
e t debienm al	-⌫|-|---|-⌫-|
d edesirie rire mortal decaa steardeurmul t aigre	-⌫|-------⌫|--|-----|-|---⌫--|-----|---⌫|----|
uis coulouréfaitta in te tmultpaile	--|--------|---|--⌫--⌫|-⌫|---|----|
etfait amer couke onhet	-|---|---|--|-|-|--|
lifiusausenes callesetquisi desirre	-|---|-|-----⌫--|-|--|--|-|------|
acruel cuer ce ketous io rsot	|----|---|-|-|---|--⌫-|-|
c ontre cuer.	-⌫----|---||
l a pucelefrancheetcourt oisedo u m ala d amoisel	-⌫|-----|------|-|-----⌫---|--⌫|-⌫-||-⌫------|
lipo iseet mul tleplaintma is	-|--⌫--|-|---⌫|-|-----|--⌫-|
com amorslaen	--|----|||-|
sa baillie.	-|------||
e spoir seele	-⌫----|-|--|
leseust et son c uer	-|----|-|--|-⌫--|
d er ie ns con neus tseledaig nast et	-⌫|-⌫--⌫-|---⌫----⌫||--|----⌫---|-|
b i e nu ausist ladolourdu cuer	-⌫-⌫-⌫|-⌫-----|-|-----|-|---|
litraisi st.	-|------⌫-||
est eust en autre t erreautremire mand er ne	---⌫---|-|----|-⌫---|----|---|----⌫-|-|
q uer r ede monpellierne	-⌫---⌫-⌫|-|---------|-|
desalerne car sa	-|------|--|-|
doleur tout e	-----|----⌫|
gouuerne ladamoi seleet son	-------|-|-----⌫---|-|--|
se le seustfust len despitne le set	-|-|----|---||-|-----|-|-|--|
miesi leplai nt car	--|-|-|----⌫-|--|
presde mortleuoi tataint .	---|-|---|-|---⌫|-----||
li cheualie rlidamoisel les pucele setli	-|--------⌫|-|-------|--|------⌫|-|-|
da nsel lep laignoientcarn	--⌫---|-|-⌫---------|--||
otco nfortenlui	-|--⌫----|-|--|
f orslapr ocain e morttantagreuexmal	-⌫--|-|--⌫-----⌫|---|---||-----|--|
e tcruel .	-⌫|----||
condui tl en on ta s o n o stel etsi	------⌫||-|--⌫||-⌫-⌫|-⌫---|-|-|
c ouciéenunl it.	-⌫-----|-|-|-⌫-||
detoutlem ontliest petitforsquedesa	-|---|-|-⌫--|-|--|----|------|-|-|
douce doleurdontmuertasi tres granttristeur	----|-----|---|----||-|---|----|-------|
questre son uoeles tsiaquis que	-|----|--|---|--⌫|-|----|--|
pre s demorte n estsouspris.	---⌫|-|---|-⌫|--|-------||
l emang ier	-⌫|----⌫--|
et leboiureperts i quelic uir sa s	-|-|-----|---|-⌫|--|-|-⌫---⌫|-⌫|
oss aher t	-||----⌫|
lacarss enfuit	-|---||-|---|
tan t es tdestrois	---⌫|--⌫|-------|
simall a uit a cestefoisquede mi	-|--|-⌫|--||----|---|--|--⌫-|
en lan gueu r.	-|---⌫----⌫||
maisainctristranssigrantd oleurnesouff ri	---|---|--------|-|----|-⌫----|-|-----⌫-|
pour yseu labloie	---|---|-|----|
netantmal sans confort	-|---|--|---|------|
deioieco mamadas ena	-|---|--⌫|-----|-||
mai silasoncuersicouuertquenus ne	---⌫|-||--|---|-|------|--|--|-|
ils edeutnanulhomedir ene	-|-⌫|---|||--|---|---⌫|-|
pour ce demaineuie maleouuisli	---|-|------|--|---|-|--|-|
pert quila sipale	---|-|-||-|---|
adol euramisesentente .	|---⌫--||---||------||
asoimeismesedementee tdistdix	|--|-----|-|------|-⌫|---|--|
compargrantf olage	--|--|----|-⌫----|
sui siespris	--|-|-----|
dem ortelragequi	-|-⌫----|---|--|
qu estr ene puet	-|----⌫|-|---|
s a nsnu l confortmorir mes tuetcar cel e qui	-⌫-⌫-|--⌫|------|----||--⌫---|--|---⌫|--|
sirauie etcuer	-|----|-|---|
masi destr oite tliiéd es	||-|-----⌫--|-⌫|----|-⌫||
amorestroitq ue i ens ui	---|------|-⌫-||-|-⌫-|
alamortliu réssepar	|-|---|---⌫---|-|--|
li nensuideli urés.	-||-|--|----⌫----||
dontderué s	---|------⌫|
cuitqu eleme doie	---|-|--|-|---|
pard i uainsme	--|-⌫-⌫|---|-|
lairoit mori r .	------|----⌫||
certesienecuicmieneferoit	-----|-|-|---|--|-|-----|
p asteluilenie	-⌫-|--|------|
m ul tseder esne	-⌫--⌫|-|---⌫---|
enso n porpens	-|--⌫|------|
di uersementselonc sonsens queil	--⌫--------|-----|--|---|--|-|
ne setquildoiefaireasses a	-|--|-|-|---|----|----||
malpaine etcontraire	--|----|-|--------|
delangoussequ il aemprise.	-||-------|-|-||------||
e n maintemanieredeuise	-⌫|-----|------|-----|
son uoloir	--|-----|
et sauolenteta ntquila	-|-|------|--⌫-|-|-||
un conselt rouué ou ilseueut dutou ttenir	-|-----|-⌫-----|-|-|-|---|-|---⌫|----|
n e ue utson consel descouuri raestrangen e	-⌫|--⌫-|--|-----|---------⌫||-------|-⌫|
apriuécarpor unual p l aindor rasé	|-----|--|--|-|--|-⌫-⌫--||-|----|
neuauroitil queleseus tho m qu i	-|------|-|--|-|----⌫|--⌫|--⌫|
deluita ntpriuésfustsen en	-|--|--⌫-|------|---|-||-|
uenoitparlui ac hief.	-----|--|--||-⌫---||
pour couuaurabienli soit	---|--|----|---|-|---|
griefceler trestoutlesienco rage	----|----|-------|-|---|--⌫---|
sansmandeme ntet sansmessa geu au raparleralapucele	---|-------⌫-|-|---|-----⌫-|-⌫--⌫-|-----||-|-----|
sauoi r de	-----⌫|-|
cesteardeurnouu elelequelil d oit	----|-----|----⌫--|-|---|-|-⌫--|
plaind reou doloir oudenulbienconfort	------⌫-|-|-----|-|-|--|---|------|
au que lqui ltourtou	-|---⌫|-|-⌫|----|-|
maloubiencelerliueutsourtoute rien	--|-|---|----|-|---|---|----|---|
saladole urdoit reue rtirsiuaudrapar	||-|----⌫-|---|----⌫---|-|-----|--|
lui se ulmori r	--|--⌫-|----⌫|
et seila sauol ente de ce que	-|-|-||-|---⌫---|-|-|--|
t antadesiréque s ademandeetsarequeste	-⌫--||------|--|-⌫|------|-|-|-------|
sansd elaiance li soitpre stesi	---|-⌫-------|-|---|---⌫--|-|
u aurauiureetestre l iesi amaisnul io r	-⌫---|----|-|----|-⌫--|-⌫----|--|--⌫|
nertco ur eciés .	|--|--⌫--⌫-----||
liquexkauieg nemult secrient	-|---||-----⌫-|---|-|-----|
pourtantaubiencel er se tient carplus	---|---|-|---|---⌫-|-|----|--|---|
auientbien a celersans uergougne	-----|---||----|---|--------|
quetr oppa rler.	--|--⌫-|--⌫---||
cos eceleepu et	---⌫|----|--⌫-|
on dire carpa r	-|---|--|--⌫|
rai sonoeurematire	---⌫--|----|-----|
m ais quant de bouce	-⌫--|----|-|----|
est horsis sue paro leet	--|---|--⌫--|----⌫-|-|
dau truientendueiamaistantco msiec ledurraen	|--⌫---|-------|-----|---|--⌫|----⌫-|----|-|
tel mesurene	--|-----|-|
uenra quesaine mentsoi tbien	----|--|-----⌫---|---⌫|---|
celeepuiscune	----|----|--|
fois estesc ap eepourceseueut teni r	---|--|---⌫--⌫-|---|-|-|---|----⌫|
en soi et atouscoilesonse croi.	-|--|-||---|----|--|--⌫---||
de toutsetien ta cheluoloir.	-|---|-|----⌫||---|-----||
orea confort	--||------|
me ni u e e t boitplusq uilnese utce	--⌫--⌫-⌫|-⌫|---|---|-⌫|-|-|--⌫-|-|
l econ fo rtedontsedeut .	-⌫|---⌫--⌫--|---|-|---||
boire mengieriuer ala.	----|------|---|--||
confortade sperance u aineet ui entacort a	------|||-⌫-------|-⌫---|-|--⌫--||---||
quelque paine	------|----|
afoiblecorsacouleurpale.	|-----|---||------|---||
l idusettuitc hilde	-⌫|--|-|---|-⌫--|-|
lasalelifisentio ie e tbiausanlant	-|---|-|-----|--⌫-|-⌫|---|------|
desauen ue	-||----⌫-|
son t ioia nt .	---⌫|----⌫-||
idoinelabe le	-----|-|--⌫-|
faiturequiltient sour toute creatureen	------|-|-|----|---|----|-------|-|
son coragepour amie	--|-----|---|---|
etdautremaniereanemie	-||----|------|-----|
gra ntioies ansf aintis ecarmult l	---⌫-|---|-⌫--|-⌫------⌫|--|---||
aimeens on cuer etprisedeboi neamoursans	---|-|-⌫-|---|-|----|-|---⌫-|----|---|
c arnesot pasla deruerie	-⌫-|-|--|--|-|-------|
l agrantr a gela mortelpa inequ e p o u r	-⌫|----|-⌫-⌫-|-|-----|--⌫--|--⌫|-⌫-⌫-⌫|
lu iamadasdemain equi	--⌫|-----|------⌫|--|
si tresgra ntesro urqu en	-|---|---⌫-|----⌫-|-|-|
osagrantdol ou ruient en lac hambre lames c i ne	|-|----|---⌫--⌫|----|-|-|-⌫-----|-|---⌫-⌫-⌫-|
dequinepuetau oirmescine.	-|--|-|---|--⌫--|------||
mult escieriementlatrouu e.	---|-----------|-|-----⌫||
commeamorsli command e etroeuelas alu e	----|----|-|-------⌫|-|----|-|-⌫---⌫|
dungrant souspirparf ontdecuer	|-|----|------|----⌫--|-|---|
loncaloisiretdunr egartdouc	---||-----|-||-|-⌫----|---|
e tpiteussim p le souefetamour eus.	-⌫|-----|---⌫-⌫-|----|-|-----⌫--||
