asse zmepletetmoltle	----⌫|-|---|-|---|-|
queplu samoi tqu e rien s	--|---⌫|----⌫|--⌫|----⌫|
entr eusma innent ioie mo ltgrant	---|--|--⌫-----|---|--⌫-|----|
a liloisi r	|-|-----⌫|
dittots on plesir	--|--|-⌫-|-----|
puislimost r aconfaitemen t	---|-|----⌫-⌫|-----------⌫|
du roi aura acor dement	-|--|---|----⌫-----|
m o ltli auoit pesé	-⌫-⌫-|-|----|----|
decequillotsiconge e	-|-|-|-||-|-|-----⌫|
parencuse mentlauoitfe t	--|------⌫---||----|--⌫|
ele sem partson ami	--||-|---|--|--|
mes quantiluint au	--|----|-|---|-|
sico nmencierentaplorer	-|--⌫----------||-----|
tristantenga lessen reua	-------|-|--⌫--||-|---|
tantq uesononclelema nda	---|-⌫-|--|----|-|--⌫--|
porla i oie quilot eue	--|-|-⌫--|-|-|-|--|
de samiequilo tueue	-||---|-|-|-⌫|---|
par lebas tonq u ilote scrit	--|-|---⌫--|-⌫|-|-|-⌫----|
siconlaroineli	-|--|-|----|-|
por lesparole srame mbre r	--|--|------⌫|----⌫----⌫|
tris tantqui	----⌫---|--|
biensa u o ithar per	---|--⌫-⌫-⌫-|---⌫--|
enauoitfetnouellai	-|----|--|----|--|
asse zbrie mentle n omerai	----⌫|----⌫---|-|-⌫-----|
godelef la pelent englois	------||-⌫-----|------|
c hieu re fue i llapelent	-⌫----⌫--⌫---⌫-⌫||------|
dit uosen a ilauerite	--|--|-|-⌫|-|-----|
du laidonti	-|--|---||
aiiciconté	-|--|-----|
