decesmessages enuoiathiebauz	-|--|-------|-----|-------|
uosplaist etli du xlor	--|-----|-|-|--⌫|--|
respon ditq ueillo rre querroitr espit	------⌫--|-⌫-|-|--⌫|--⌫-------|-⌫----|
ior et ad onca r oitson	--|-|--⌫--|-⌫-⌫--|--|
conse ilensemble	-----⌫-|-------|
etporroi ent	-|------⌫--|
direceq ue	---|-|-⌫-|
ilrequer oient	-|------⌫----|
ilatte ndirent tre sc iquau ior que	-|----⌫------|---⌫--⌫--|-|--|--|
il lor otmisil entrerent	-|--|-|--|-|--------|
palais quimul te re riches	-----|--|---⌫|-⌫-|-----|
biaxettroue rentleduce t son	---|-|-----⌫---|-|--|-⌫|--|
cons ei len une cham bre e tdi strent	----⌫--⌫|-|--|----⌫--|-⌫|--⌫-----|
lormessag e en t elmanie re sire	--|------⌫|-|-⌫-|-----⌫-|---|
n osso mesatoi uenu	-⌫-|--⌫--||--|---|
le shals b arons de	--⌫|---|-⌫----|-|
fr ance qui	--⌫---|--|
lesinedelacroispor la	-|---|-|-|----|--|-|
honte iesucristue ngier	----|---|----|--⌫----|
etpor ierusalem	-|--|--------|
conquerre sediex	--------|-|---|
le uueltsoffrir	-|----|------|
e tporce qu ilseu ent	-⌫|--|-|-|-|---⌫--|
nullegenz n	----|---||
ont si grant pooir	--|-|----|----|
et lauostr e gent u os	-|-|-----⌫|---|-⌫-|
prientpor dieuq ue	-----|--|---|-⌫-|
uosaiezpitie	--|---|----|
delaterredo ltremer et de la	-|-|----||-⌫------|-|-|-|
honteiesu cristcomentil	----|---|----|-----|-|
puissent auoirnauie et estoire	-------|----|----|-|------|
enqu e l man iere fa itli	-|--⌫-⌫|---⌫---|--⌫-|-|
du xen toteslesmanieresfont	--⌫|-|----|--|-------|---|
lim essageque	-|-⌫-----|--|
uoslorsaurez	--|--|-----|
loer n econseilier	---|-⌫|---------|
queilfairene	--|-|----|-|
soffrir puissentcert esfa itli	------|-------|----⌫-|--⌫-|-|
duxg ra nt	--|-⌫--⌫-|
cho senosont	---⌫-|--|--|
requi se etbien semblequei lbe ent	-----⌫-|-|---|-----|--|-⌫|--⌫--|
a ha lt afairee tnosuos	|--⌫-|-----|-⌫|--|--|
res pond rons duia y yiorzet	---⌫----⌫---||-||-⌫|---|-|
neuosmerue illiés mie se	-|--|-----⌫------|--|-|
est lonsq uaril	--|---|-⌫--|-|
co n uient	--⌫-⌫----|
multpense rasigra nt ch ose	---|-----⌫||-|---⌫-|--⌫--|
li te rmesq ueliduxlor	-|--⌫---|-⌫-|-|--|--|
mistilreuindrente lpalai stot esles	---|-|---------|-⌫|-----⌫|---⌫-|--|
parole squelafurentdit eset	------⌫|--|-|-----|---⌫-|-|
r etraitesneuos	-⌫-------|-|--|
pui smie rac onter	---⌫|--|---⌫----|
me slafins dela	--⌫|-|---|-|-|
parole fu tel sseignor	-----|-|---⌫|------|
faitliduxn os uos	---|-|--|-⌫-|--|
dir ons ce que	---⌫--|-|--|
nosauo nsprisa	--|---⌫-|---||
conseil se nos ipoonsmetre	------|-|--||----|----|
gr antconseiletleconm und e la	--⌫--|------|-|-|----⌫-|-⌫|-|
terre queill otroi tetuosuos	----|--|-||-----⌫|-|--|--|
co nseiller oiz seuos lepo rroizfaire ne	--⌫--------⌫--|-|--|-|--⌫----|----|-|
nosferonsuissiersa passer	--|-----|-------||-----|
y yetyy y ych euaus	-⌫|-|-|-⌫|--⌫----|
esc uier set	---⌫----⌫|-|
es nes yyyy ch eualierset	-|--|-|-|--⌫-------|-|
yy yyet yym ill eseri anza	-|-|-|-|-⌫---⌫|----⌫--||
atozcescheuausetcesgenz	|--|--|------|-|--|---|
ierttelx la conuen anceque	---|---|-|------⌫---|--|
il porterontuiandea	-|--------|-----||
uosfero mesalmains entel	--|----⌫--|-|----|-|--|
ondonraporl echeua lyyyy	-|----|--|-⌫|-----⌫|-|-|
et por l omeyy	-|--||--|-|
etto tescesconuenances qu e nos	-|--⌫--|--|----------|--⌫|--|
uosdeuisonsuostendrons	--|-------|--|-------|
an desle ior quenosd e partirons	-|--|-|--|--|--|-⌫-⌫--------|
delpor tde uenise	--|---⌫|-|-----|
a faireleseruise	|----|-|------|
dieuetlacrestienteenquelque leu	---|-|-|---------|-|------|--|
quece soitla s omme	--|-|---|-|-⌫---|
au oi rqui	--⌫--⌫|--|
ciest deuantnomez	-|--|-----|----|
yyyymille ma rs	-|-|----|--⌫-|
et tantferomes nosplus	-|---|------|--|---|
nos metromes ga leesarmeesporlamor	--|-------|--⌫---|-----|--||---|
par tel conuenancequ e	--|--|---------|--⌫|
t antcon nos treco mpaig niedurrade to te s	-⌫--|--|---⌫--|--⌫-----⌫--|----|-|--⌫--⌫|
conq ues t es que	----⌫---⌫-⌫-|--|
no sferonsp armerou	--⌫|-----|-⌫-|--|-|
l am oitieen aur onset	-⌫|-⌫----|-|---⌫--|-|
uoslautre or si	--||----|-|-|
conseilliez seuo sle p orroizfairene	----------|-|--⌫|-|-⌫-----|----|-|
limessagesen uont et	-|------||-|---|-|
distrentquil	-------|-|-|
parl eroiente nsemble et lo r	----⌫------|-⌫------|-|--⌫|
en respondrontl endem ain conse ill ierent	-|----------||-----⌫--|-----⌫---⌫-----|
soietp arlere ntensemblecele	--|-|-⌫------⌫-|-------|---|
nuitet sisacorderentalfaire	---|-|-||---------|-|----|
et demain uindrent deuant leduc	-|-----|-------|-----|-|--|
distren t s irenos som esp rest	-------⌫|-⌫--|--|---⌫-|-⌫---|
d aseur erceste con uenance et	|-----⌫-|----|---⌫------|-|
lid u xdi stquil	-|-⌫-⌫|--⌫-|-|-|
enparleroi ta	-|--------⌫||
gent et ce que iltroueroitil	---|-|-|--|-|--------|-|
lelorferoits auoir	-|--|-----|-⌫----|
l endem ainaltier ziormandalidux	|-----⌫--|-|----⌫|--|----|-|--|
eresageset proz	--|----|-|---|
songrantconseiletl icons eilse r ede	--|----|------|-|-⌫|----⌫---|-⌫-⌫|-|
yy homes de s	-|----|--⌫|
plussagesdela	---|----|-|-|
t erreper s on	-⌫---|--|-⌫-|
sensetenginque il	---|-|----|--|-|
au oitmultcleret multbon les	--⌫--|---|---|-|---|--|--|
mistenceque illoerent	---|-|-|--|-|------|
uol tren tensi les mist	---⌫----⌫|---|--|---|
pu is yyyyp uis	--⌫-|-|-|-⌫--|
yytantquetuitle	-|---|--|---|-|
creanterent et lo erent p uis	----------|-|--⌫----|-⌫--|
ensembleb ienyyyy en	-------|-⌫--|-|-|-|
lachapelle desain t	-|-------|-|----⌫|
marc la plusbele	---|-|---|---|
quisoitetsilordistque	--|---|-|-|--|---|--|
il oiss ent messe delsaintespirit	-|----⌫--|----|--|----|------|
etpreiassentdieu quei ll e s	-|---------|---|--|-⌫|-⌫-⌫|
conseillastd e la request e	----------|-⌫|-|-------⌫|
as messages que	-|-------|--|
illorauoient	-|--|------|
faiteetil si	----|-|-|-|
fir entmultuolentiers	---⌫--|---|---------|
quant la m essefu	----|-|-⌫---|-|
dite li dux	---|-|--|
mandaporle s messag eset que	----|--|--⌫|------⌫-|-|--|
requissenta	---------||
totlepueple	--|-|-----|
hunblement qu eiluolsissentque cele	---------|--⌫|-|---------|--|---|
conuenanc efustfaiteli message	---------⌫|---|----|-|------|
uindrentelmostiermultfurent	-------|-|------|---|-----|
esga r d e ́demaintegentq u il	----⌫-⌫-⌫-⌫|-|-----|---|-⌫|-|
nesauo ient aincm aisue uz	|-|---⌫---|---|-⌫--|--⌫-|
iofrois de	------|-|
uilehardoin li	----------|-|
m are scha usdecampaigne	-⌫---⌫----⌫-|-|--------|
mou stra la	---⌫---|-|
paroleparl acor tet	-----|--||----⌫|-|
uo lent e a sautres message set lor dist	--⌫----⌫|-⌫|-----|-------⌫|-|--|---|
sei gnorlibaronde fr anc e li	---⌫---|-|----|-|--⌫---⌫|-|
plus halt etliplus po estei	---|---|-|-|---|--⌫----|
auozenuoiezs i	|--|------|-⌫|
uoscrientmerc ique il uospre igne	--|-----|----⌫|--|-|--|---⌫---|
pitiezde ierusalemquiesten	-----|-|--------|--|--|-|
seruagedetu rsque	------|-|--⌫-|--|
dieuuoilliezlor	---|-------|--|
compaignie a	---------||
lahonteies u	-|----|---⌫|
crist uengier	----|------|
etpo rceuosi	-|--⌫|-|--||
ont esli s queilseuentque	--|----⌫|--|-|-----|--|
nulles genz	-----|---|
gr an t pooir	--⌫--⌫|----|
soientconmeuoset la uostre	-----|----|--|-|-|-----|
genzetnosconmand erent quenosuos	---|-|--|-------⌫----|--|--|--|
enchaissie nsa spiezetquenos	----------⌫-|-⌫|---|-|--|--|
n leueissiensdesqueuos	|----------|--|--|--|
arie ́s otroie ́	----⌫-|------⌫|
queuosariez piti e	--|--|----|----⌫|
l aterre s aintedoutremer	-⌫|----|-⌫----||-------|
mantenantliyy mess age s agenoi llent	--------|-|-|----⌫--||------⌫----|
a lorpie zmult	|--|---⌫|---|
p lorantetl i	-⌫-----|-|-⌫|
duxettuitl ia u t re s	--|-|---|-⌫|-⌫-⌫-⌫-||
escrieren ttuita uneuoiz etten den t	---------⌫|---||--|---|-|---⌫---⌫|
lorm ainsen	--|-⌫---|-|
haltetdi str e nt	---|-|--⌫---⌫-⌫-|
nosl otrionsnoslotrions	--||------|--||------|
enki ot sigr an t brui tet	---|-|-|--⌫--⌫|----⌫|-|
si grant noiseque	-|----|----|--|
etquantc elegran tnoiseremest	-|----|-⌫--|----⌫|----|-----|
et ce legrantpi tie queonques	-|--⌫-|----|--⌫--|--|-----|
plusgrant ne uit nus homli	---|----|-|--|--|--|-|
bonsd uxdeue n isequi mult	---|-⌫-|-|--⌫-⌫--|--|---|
ere s ages	--|-⌫---|
etprozmontael leteri	-|---|----|-|-----|
etpa rlaaupueple et	-|--⌫--|-|-----|-|
se ing no r ue ezl onorque d iex	--⌫---⌫--⌫|--⌫-||---|--|-⌫--|
uosa faitequela	--||----|--|-|
meillorgenz	------|---|
ont guerp itote l	--|-----⌫|---||
autregenze t ont r equ is uostr e	----|---|-⌫|--|-⌫---⌫-|-----⌫|
compaingni edes ihalte	----------⌫|-|-⌫|----|
ch osee nsemble	--⌫--|-⌫------|
fai recond ela rescholseno st re	---⌫-|--|-⌫|-|--------|--⌫--⌫-|
desparo lesque	--|----⌫--|--|
dist bones	---|----|
ne uospuis	-|--|---|
tout raconter ensi finala chose	---|-------|---|---|-|----|
etde f ai reles chartres prist ren t	-|-|-⌫--⌫-|--|-------|-----⌫---⌫|
lendemainiore tfu rentf aites	|-------|--|-⌫|--⌫---|-⌫----|
et deuiseesquante lesfurentfaitessi	-|-------|----|-⌫--|-----|-----|-|
fula chosete ue	-|-|----|--⌫-|
queoni roiten babil loin e	--|-|-⌫---|-|-----⌫----⌫|
porc e queparbabil loine	--|-⌫|--|--|-----⌫----|
poroient mielslestu rsdestruire que	-------|----|--|--⌫-|--------|--|
p araltre terreetenoiancefu	-⌫-|----|----|-|-|-----|-|
d e u isé queeniroit outre	-⌫-⌫-⌫---|--|-|----|----|
il estoit adonque squa res meetfu deuisé	-|-----|-------⌫|---⌫---⌫-|-|-|------|
quedesainio hanenun	--|-|---|--⌫--|-|-|
fu yyyy anzetyyapres	-|-|-|--|-|-|----|
inca r nationies ucristdeuoientlibar on	----⌫-⌫-----|---⌫|----|-------|-|---⌫-|
etlipele ri nestreenueni se	-|-|----⌫--⌫|----|-|----⌫-|
etli uass ialappareillié	-|-|----⌫--|-----------|
contre als	-----|--|
quante le sfure nt faiteset saell ees	----|-⌫--⌫|----⌫-|-----|-|-----⌫--|
sifurentaporteesdeuant le	-|-----|-------|-----|-|
pala isouli gran t c onsei lere	----⌫-|-|-|----⌫|-⌫-----⌫|--|
etlipe ti z etquantli dux	-|-|--⌫--⌫|-|----|-|--|
lorli urales	--|--⌫--|--|
soesc hartressi	---|-⌫------|-|
sageno illamult plorante t iura	|-----⌫---|---|------|-⌫|---|
sainz abonefoiab ien	----||---|--||-⌫--|
tenirlesconuenzqui	----|--|------|--|
e t t olzs es	-⌫|-⌫--|-⌫-|
c on seilsaisiquiere	-⌫--⌫----|---|--|--|
etlime ssagereiurer ent	-|-|--⌫----|-------⌫--|
chartre satenir	-------⌫||----|
etlessaire men zal or sei ngnors	-|--|-----⌫---⌫||-⌫-|---⌫-----|
etles lorqueilles	-|--|--|--|-|--|
ten roienta	---⌫-----||
bonefo isachiezquela	---|--⌫|------|--|-|
maintelerme ploreede pi tieet maintena nt	-----|----|-----|-|--⌫--|-|--------⌫-|
enuoie rent lormessa geslun epartie	------⌫---|--|-----⌫--||--⌫|-----|
l a utrearomeala pos toile	|-⌫---||---|||-⌫---⌫----|
i nn oce ntp orco nf ermer c este conuenance	-⌫--⌫---⌫-|-⌫-|--⌫--⌫----|-⌫---|---------|
eti l lefistmultuolenti ers	-|-⌫|-|---|---|-------⌫--|
etl ors enprunterent	-|-⌫--|-----------|
yyyymars da rgent	-|-|---||-⌫----|
enl a uille etsi	-|-⌫|----|-|-|
les baillerent le ducpor	--|---------|-|--|--|
conme ncierlenauile ensi	-----⌫----|-|-----|---|
pr i strentcongieporraleren	--⌫-⌫-----|-----|--|----|-|
lorpais et	--|---|-|
cheuau chierent par loriorneestant	------⌫-------|--|--|------|---|
queil uind rent	--|-|----⌫---|
plasenceen lom ba r dieen k ise	-------|-|---⌫--⌫-⌫--|--⌫-⌫|-|
partirentioffrois limare s ch aus	--------|-------|-|----⌫-⌫--⌫--|
dechampai gneet	-|-------⌫--|-|
ala rzmakeriaus si se n	---⌫-|--------|-||-⌫|
al er entdr oitenfr anceet	--⌫--⌫--|--⌫--|-|--⌫---|-|
l iautres enalere nt a	-⌫|----||-|-----⌫-||
piseporsauoirquele	---|--|-----|----|
aie ilfe roienta late rre d outremer	--|-|--⌫-----||-|--⌫--||-------|
quantioffroislimare schausd ec hamp aigne	----|-------|-|----⌫-----|-⌫|-⌫----⌫----|
passamoncenin s	----|--------⌫|
siencontralecontega u tierde	-|-------|-|----|--⌫-⌫---|-|
bren equi sena loi t	----⌫|--||-|-⌫---⌫|
en pui leconqu errel aterre	-|---⌫-|-----⌫---|-⌫|----|
sa f amequeilauoit	-|-⌫--|--|-|----|
espouseepuisque ilo tla croiz	-------|------|-|-⌫|-|----|
p riseet qu iere fi le	-⌫---|-|--⌫|--|--⌫-|
tancre a ue c luien	-----|-⌫--⌫|--|-|
aloit gaut iersde mo mbeliartet	----|----⌫---|-|--⌫-------|-|
eutaicesdecouelans	-------|-|-------|
r oberzdeioenuile et	-⌫----|-|-------|-|
g rantpartie dela	-⌫---|-----|-|-|
bo ne gentdechampaignequ i cro isiéestoi ent	--⌫-|---|-|---------|--⌫|---⌫----|-----⌫--|
et quantil lor	-|----|-|--|
c onta lesno u ellescoment	-⌫---|--|--⌫-⌫----|-----|
auoien tespl oitiéen fire nt	------⌫|----⌫-----|-|----⌫-|
multgrantioieetmult	---|----|---|-|---|
presierentlafair eetli	---------||-----⌫|-|-|
distr en tnossomes ia	-----⌫--⌫|--|----|-|
meu etquantuos ue ndr oiz	--|-|----|--|--⌫---⌫--|
u osnos troueroiztoz	-⌫-|--|--------|--|
prestmesles	----|--|--|
auen t uresauienent e nsi condie u	----⌫-⌫---|-------|-⌫--|--|---⌫|
p lai st ne n o re nt	-⌫---⌫-|-||-⌫--⌫-|
nulpooirque	--|----|--|
p lusassembla sse nt	-⌫--|--------⌫---⌫-|
enlo st ce	-||-⌫-|-|
mult granzdomages q ue multest oi ent	---|----|------|-⌫-|---|---⌫--⌫--|
preuetuaillant	---|-|-------|
e tensise pa rtirentsi	-⌫|---|-|--⌫------|-|
casc unss auoie	----⌫--|-⌫|---|
tantcheuauchai offroisl i	---|--------|-⌫------|-⌫|
maresc ha uspar	------⌫--⌫-|--|
sesiorneesque i l uint	--|------|--|-⌫|---|
enc ampaign eet	-|-⌫-------⌫|-|
trouasonseign or	----|--|-----⌫-|
tibaut maladeetdeshaitié	-----|-----|-|---------|
fumult liez	-|---|---|
uenueetquan t cil li	----|-|----⌫|--|-|
otcont eelanouel le	-|----⌫-|-|-----⌫-|
c omenti lauoi ent esploitiési	-⌫----|-⌫|----⌫--|---------|-|
dist qu ilch euau cher oitcequil	---|-|-|--⌫----⌫----⌫--|-|-|-|
nauoitpiecafaitet	|----|----|---|-|
leuasus et cheua lcha	---|--|-|-----⌫---|
comgrantdo magescar	--|----|--⌫----|--|
onquespu is necheualchaque	-----|--⌫-|-|--------|--|
cele foi z	---|---⌫|
s a mala diecrut et	-⌫|----⌫--|---|-|
de uiseet son lais et	--⌫---|-|--|---|-|
depart isonauoirque ildeuoit	------⌫|--|----|--|-|-----|
porteraseshomes e t	-----||--|----|-⌫|
compaignonsdont il	----------|---|-|
debon snus	-|---⌫|--|
ho m acelior	--⌫||--|--|
pl us etsicom anda	--⌫-|-|-|---⌫---|
sicom chascu ns receuroit	-|--|------⌫-|--------|
auoir qu eili ureroit sorsain s	----|--⌫|-|-⌫------|--|----⌫|
lostde uenise a	|--|-|-----||
ten irensiconil lauo it	---⌫-|---|--|-||---⌫-|
promismulti ot	-----|---||-|
quimaluaisementletindrente tm ult	--|-----------|-|-------|-⌫|-⌫--|
blasméuneautr epartie	------|--|----⌫|-----|
comandali cuen sdeson	------|-|----⌫|-|--|
reteni ret po rporter	------⌫|-|--⌫|-----|
en lost etpor	-||--|-|--|
d epa rtir	-⌫---⌫---|
la ou enuerroitque	-|-|-|------|--|
ilserro it	-|-----⌫-|
ensimorutli quenset	---|----|-|----|-|
d elmonde qui	-⌫-|----|--|
belefine nki otmult	---|--|-⌫--|-|---|
grant puepleas sembléde	----|-----|--⌫------|-|
sonlignag e et	--|------⌫|-|
homesdel duel ne	----|--|---|-|
conuientmiea parl er qu i	-------|--||----⌫-|--⌫|
illuecfu faizq ue	-----|-|---|-⌫-|
o nquesplus	-⌫----|---|
fu faizpor	-|---|--|
home etilledutbien	---|-|-|-|--|---|
es trecar onqueshom des on	--⌫--|--|-----|--|-|-⌫-|
aag e nefu	---⌫|-|-|
plusamésde	---|----|-|
ses homes etdelautr e	--|----|-|-||----⌫|
enter rezfude lezsonpere	-----⌫--|-|--⌫--|--|---|
aumostierdemonsegnor	-|------|-|--|-----|
sain testienea troieslacont es seremest	----⌫|------||-----|-|----⌫--⌫-|-----|
saf e mequibl anche auoit	-|-⌫-⌫-|--|--⌫----|----|
nom mu ltbelemult	--|--⌫-|---|---|
bone quierefilele	---|--|--|---|-|
r oid enauar re qui auoitdelui	-⌫-|-⌫|-----⌫-|--|----|-|--|
unefilieteetere	--|------|-|--|
g ross ed unfil	-⌫----⌫||-|--|
quant licuens	----|-|----|
fu enterrésm ahiusd emonmoren ci	-|--------|-⌫----|-⌫|--------⌫-|
symon s de m on fort	-----⌫|-|-⌫--⌫---|
i offroi sdeioe nuile	-⌫------⌫|-|---⌫----|
quieresenescha usetioffroislimeresch ausal ere nt	--|--|--------⌫-|-|-------|-|-------⌫--|--⌫---⌫-|
alducoedon de	-|--|----|-|
borgoigneet	--------|-|
silidistrent	-|-|-------|
siretuuoizl edomage	---|-|---|-⌫|-----|
qui ala terred	--||-|----||
est auen uzpordieute	--|----⌫-|--|---|-|
u olonsproier	-⌫----|-----|
la cro ize t secorlaterr e	-|---⌫-|-⌫|----|-|----⌫|
dou tremerelleucestuiet	|--⌫-----|-|--|-----|-|
nos te fero nstots on	--|-|----⌫-|--|-⌫-|
auoirbaillieretteiureronssor	----|-------|-|-|-------|--|
sai nzetleteferonsaus	---⌫-|-|-|-|-----|--|
autr esiurer qu enosteseru irons	----⌫-|----|--⌫|--|-|----⌫----|
abonefoial si	|---|--|--⌫-|
c om nosfeis siens lui	-⌫-|--|----⌫----|--|
uolentequeilrefu sasachiez	------|--|-|----⌫-|------|
que i lpeu stbien	--|-⌫|---⌫-|---|
mielxfaire	----|----|
ioff roide iu henuile	----⌫--|-|--⌫------|
cargiere ntle	--------⌫-|-|
me s sagequealtret elo ffrefeis t au	--⌫-⌫---|--|------⌫-|-⌫---|----⌫|-|
con t eba rleduct hibautqui erecos ins	---⌫-⌫|--⌫-----|-⌫-----|--|--|---⌫--|
qui mortes toitetrefusale autr es i	--|---|--⌫---|-|-----|-|----⌫--⌫|
multfu gr anz desconforz	---|-|--⌫--|---------|
a spel erinset	-⌫|---⌫----|-|
celsquide u oientalerel	---|--|--⌫-⌫----|---|-|
seruisedie udelamortle	------|---⌫|-|-|---|-|
conte thibau tdeca mpaigneetpristrentunp arlement	----|------⌫|-|--⌫------|-|--------|-|-⌫-------|
alch ie fdelmoisa	-|--⌫--⌫|--|---||
s eissonspor sauoirqueil	-⌫------|--|-----|--|-|
porr oient fair eenquifurentlicuen sbaudoins	----⌫----|----⌫|----|-----|-|----⌫|-------|
deflandr e set	-|------⌫-⌫|-|
dehennau t	-|------⌫|
licuens loeisdebloiset	-|----|----|-|----|-|
de c hartainlicuens	-|-⌫------|-|----|
ioffro isdelperche	------⌫-|--|-----|
huesdesanpolet mainta utrepreud om e	---|-|--|--|-|----|-⌫---|-----⌫--⌫|
iof frois li	---⌫----|-|
maresch aus lormostralapa role	-------⌫--|--|-----|-|--⌫---|
e tlof fre queil	-⌫||--⌫--|--|-|
auoient fait e leduc	------|----⌫|-|--|
de borg oig ne	-|----⌫---⌫-|
etl econtede bar leduc	-|-⌫|----|-|---⌫----|
et comentil lau oient	-|-----|-||--⌫----|
ref uséseig norf aitil	---⌫---|----⌫--|-⌫--|-|
escoltez ieuos loeroieune	-------|-|--|------|--|
ch osese uos i	--⌫--|-|--||
acordezlimar chis	------|-|---⌫---|
bo nif ac esde	--⌫---⌫--⌫-|-|
monferatestmult	-------|--|---|
plu s p roisiez	---⌫|-⌫------|
cestioruiuese uos	---|--|---|-|--|
lemandiez deu enirqueil	-|------|-|-⌫---|--|-|
pristle signedela	----|-|----|-|-|
croiz ets eme i stelleu le	----|-|-⌫|--⌫-⌫-|-|--|-|
campaignee t	--------|-⌫|
li d onisiezla	-|-⌫------|-|
seingneurie	----------|
ostasseztost la	--|----|---|-|
par olesdi tes a uantetarri ere	---⌫---|--⌫--|-⌫---|-|----⌫--|
m ais lafinsde la parole	-⌫--|-|---|-|-|-----|
fut elsquetu itse	-|-⌫--|--|--⌫-|-|
accorder entli grant et li	--------⌫--|-|----|-|-|
escritese tlimess ageeslit	-------|-⌫|-|----⌫--|----|
etfuenuoiez querreet	-|-|------|-----|-|
aliorque il	-|--|--|-|
misparcamp aigneet	--|--|----⌫----|-|
parmifran ce uil fumult	----|----⌫-||-|-|---|
honorezetparle roide	------|-|--|-|--|-|
franc ecui	-----⌫|--|
cu s inilere	--⌫-⌫-|-|--|
ensiuintaunparleme ntasoisson squi	---|---||-|-------⌫-||-------⌫|--|
nomezfu etilluecfu	----|-|-|-----|-|
l ag rant fo isonsdesconte s e t	-⌫|-⌫---|--⌫----|--|-----⌫|-⌫|
des barons et d es	--|-----|-|-⌫-|
cr oisiezcom	--⌫-----|--|
iloir entqueli	-|---⌫--|--|-|
marchisuenoitsi al erent	------|-----|-|--⌫----|
enc ont rel uis ilonorer ent	---⌫---⌫-|-⌫-|-⌫||------⌫--|
multal matin sifu	---|-|----|-|-|
liparlem enz enunuergier	-|------⌫--|-|-|------|
labaiem adame	|----|-⌫|---|
s aintemariedesoissons	-⌫----|----|-|-------|
requist r en tlemarchisque	-------⌫-⌫--⌫|-|------|--|
ilauo ientmandé et	-|---⌫---|-----|-|
li prientpordieu	-|-----|--|---|
ilpreingnel acroiz et	-|-------|-⌫|----|-|
re coiuela seignorie del	--⌫----|-|--------|-||
etsoitelleulecon te	-|---|-|--|-|---⌫-|
t h iba utdecampaigneet	-⌫-⌫---⌫-|-|--------|-|
preignesonauoir	------|--|----|
ho mes etlencha irentas	--⌫--|-||-----⌫----|-|
pi ezmultplorantetil	--⌫-|---|------|-|-|
rechieta spiez et dit	------|-⌫|---|-|--|
queil le fe ramul tu olen t iers	--|-|-|--⌫-|---⌫|-⌫----⌫-⌫---|
ens ifist li	---⌫|---|-|
lorproiereetrecut	--|------|-|----|
seigneuried el ost maintenantli	---------|-⌫||--|---------|-|
euesquesde	-------|-|
mis sirefo lque s	--|---|--⌫----⌫|
libonsho m etd ui blanc	-|---|--⌫|-|-⌫-|----|
au oitamené	--⌫--|-----|
