O iezseignourbarounDie usuouscroiss e	-⌫--|-------|-----|---⌫-|---|------⌫|
Co nquisauuns l aterreen	--⌫----|----|-⌫|----|-|
uirunetenlé	----|-|-|--|
Niaremis chas tel bu rc n enf ermeté	|||----|----⌫--|--⌫-|-⌫-|-⌫------|
Or irumsà	-|----|-|
amirab lec ité.	------⌫-|-⌫---||
Amachorlat ient kadmut	------|-|-⌫---||-|--|
gran tforté	----⌫|-----|
E mutgr ant empirelàdedensamen é	|--|--⌫--|-----|--|-----|----⌫-|
Barunskarialuns porseintecharité	-----|--||----|--|-----|-------|
KarsiDe u cel eauerno so tdestiné	--|-|--⌫|---⌫|---|--⌫|-⌫|-------|
Ri cheen pori u n sferenos p oure parenté	--⌫--|-|----⌫-⌫-⌫|---|--|-⌫---|-------|
Pusirrunsen Franceketantauunsde siré	--|-----|-|-----|-|---|----|--⌫----|
DistTerril Ard enoisTu as	---|----||---⌫----|-|-|
lesen deué	-|--|----|
fust esmie nezfor por secle pe ner	----⌫-|--|--|--|--|----|--⌫--|
Epurg ent destruirehonir etuergunde r.	|--|-⌫--|--------|----|-|--------⌫||
-Terri ditKarlema inesmo lt	|----|--|-------⌫---|--⌫-|
grantt orte nauez.	----|-⌫--|-⌫|---||
Chascunn adk une	------||-||--|
suncorsà garder	--|---|-|-----|
BAR ONd istl e mpereresfetespes si	---⌫-|-⌫--||-⌫-------|----|--|-|
E nc esestrang es	-⌫|-⌫-|-------⌫-|
terressont noscorstraui lli ez	-----|---|--|---|-----⌫---⌫-|
D ontieuousaiàtor t	-⌫--|-|---|-|-|---⌫|
seurésdeuos moillierz	------|-|--|--------|
Pouenauésen fans e tiemain sch eualiers.	--|-|----|--⌫---|-⌫|-|----⌫|--⌫-------||
Gar dés dem ainàl	---⌫---|---⌫--|-||
aubesoiésapareilliez	---|-----|----------|
Etsifaitestrosserl e smurs	-|-|-----|------|-⌫-⌫|---|
etles som ierz	-|--|---⌫---|
Ie m en iraiàCor dre steus es t	-||-|---|-|---⌫---⌫|---|--⌫|
mesdesirie rz.	--|-------⌫-||
- nonDieuempereresdistlid anois Ogie r z	|--|---|--------|---|-|-⌫----|----⌫-⌫|
uosnosau ezsouentpeneze ttrauill iez	--|--|--⌫-|-----|----|-⌫|-------⌫--|
. X XuII . anz	|-⌫---||--|
acom plistousantierz	----⌫---|---|------|
Qu eueni sen E spaig ne otot	--⌫|----⌫|-|-⌫-----⌫-||--|
mainscheualiers	----|---------|
Puisneiui.I III.nuissansmon	---|-|--||-⌫--||---|---|--|
hauberc doubli er	------|------⌫-|
T rès parmile udes maillesma nestlipe us	-⌫---|--|----⌫|--|------||-⌫|--|-|--⌫-|
OnditqueKa rlemai n es c onquierttousl es	-|--|--|--⌫------⌫-⌫-|-⌫-------|---|-⌫-|
N o n faitpa r saintDenisu ai llant.IIII. deniers	-⌫-⌫|---|--⌫|----|----|-⌫--⌫----||---||------|
Ainslesconq u ier tRolla ns etli cuensOli uie rs	---|--|----⌫-⌫---⌫|-----⌫-|-|-|----|---⌫---⌫-|
EtNaimes àla ba r beet	-|-----|-|-|--⌫-⌫-|-|
iequisuiO gier s.	-|--|--|-⌫----⌫||
Quantuosestessoef en uostrelitcouchi ez	----|--|----|---|-|-----|--|------⌫-|
Etmangie zlesgastia usles p oonsle spl ouiers	-|------⌫|--|------⌫-|--|-⌫---|--⌫|--⌫-----|
Etbe u iezleclarélep ime ntleuin uelz.	-|--⌫-⌫--|-|-----|-|-⌫---⌫-|-|--|---||
Lorsme naciezEsp aign e	---|--⌫-----|---⌫----⌫|
l aterreàe ssillier	-⌫|----|-|-⌫-------|
Mais uosn e n ferrés	---|--||-⌫|------|
iaenescuch eu alier.	-|-|---|--⌫--⌫----||
Damedieumec on fondequi	-------|-|-⌫--⌫----|--|
Seg estoie	-||-----|
la ̀ fors mo n tésso rmondestrier	--⌫|---|--⌫-⌫---|--⌫|--|-------|
Etfuisse de mes armesmultbienaparilliez	-|-----|-|--|----|---|---|---------|
Se i eneuos prenoie parmon	-|-⌫|-|--|------|--|--|
cor sprisonier	---⌫|--------|
-Par s aint	|--|-⌫---|
DenisdistK arles	----|---|-⌫----|
uos d itesuo ir Ogier	--|-⌫---|--⌫-|----|
Contreuostr e pr o esceneme uo ilaf ic hier	-----|-----⌫|--⌫-⌫---|-|-|--⌫-|--⌫--⌫---|
Iesuiuostredroi tsiressifaitesgrant	-|--|-----|----⌫|----|-|-----|----|
Quantuosantelmaniere	----|--|-|--|------|
simecontraliez .	-|-|---------||
BARONdistl em pereres u nerienuosuoildire	----|---||--⌫------|-⌫-|---|--|---|---|
suienmoncuer	--|-|--|---|
coreciéset plainsdir e	--------|-|-----||--⌫|
Ie uoi ici Ogierquiàme contralie	-|--|--|----|--|-|-|--------|
Mar lepensali d us parmab arbeflorie .	--|-|----|-|-⌫-|--|-|-⌫---|-----||
Damedie ule	-------⌫|-|
fil sainteM ar ie	--|-----|-⌫--⌫-|
.anzquenE s paigneuenismes	|--|-|-|-⌫-⌫-----|-------|
Puisneiui.	---|-|--||
III I .nuissansmabro ign etresli e.	---⌫||---|---|-|---⌫---⌫|------⌫||
Romp u s estmes	----⌫-⌫|--|--|
bl i auset	--⌫-⌫--|-|
mabroi gnesar tie	-|----⌫--|---⌫--|
Certes pluss uiuelusque	-----|---|-⌫-|----|--|
nestcheure l nebiche.	|--|------⌫|-|----||
Ie meuanterai ia si	-|-|-------|-|-|
f erai u ilonie	-⌫---|-⌫-----|
De ̀sHuisc en td Auig non so rlamerd e ci	--⌫-|-----⌫--⌫||----⌫--|--⌫|-|--|-⌫|-|
que à Saint Gil e	--|-|----|---⌫|
Dèsl emontdeMong iudeci	---|-⌫|---|-|----⌫-|---|
que enGalice	--|-|-----|
Nepardeç àuers	-|--|----⌫-|---|
Romesicomlimonstorn ie	---|-|--|-|---|----⌫-|
citénechastelne	----|-|------|-|
bourcne manantie	----|-|-------|
parforceetparuert u conqui se .	--|----|-|--|----⌫|------⌫-||
PrimesconquisBor de le	-----|------|---⌫--⌫-|
par macheualerie	--|-|---------|
fisàP amerse s torer u n euile	--|-|-⌫----|-⌫-⌫----|-⌫-⌫|---|
PrisleGroingetlEsto ileet Quari on ausinques	---|-|-----|-||----⌫--|-|-----⌫-|--------|
D etout es	-⌫|----⌫-|
icesterresa ii elas eignorie	---|-----|-⌫|-⌫|-|-⌫-------|
Qu i s ireclameroitde la m oie	--⌫|||----------|-|-|-⌫--|
Enorezi se roitlànefaudroitil	-----||--⌫---|--|-|-------|-|
A prèsparl aR icharsl i dusdeNormendie	-⌫----|----⌫|-⌫-----|-⌫|--|-|--------|
Cest Richartsanspour	|--|------|---|---|
kedeRoenfusi r e.	-|-|---|-|--⌫-⌫||
QuideFescampf ist fairelaplu s me stre	--|-|------|-⌫--|----|-|---⌫|--⌫---|
Encorei g ist	-----||-⌫--|
e n fiertreen une	-⌫|------|-|--|
h o n sidis ti lgrantfoli e	-⌫-⌫|-|---⌫|-⌫|----|----⌫|
Orgoilet grant	-----|-|----|
outr age etmultlaide esto tie	----⌫--|-|---|----|----⌫--|
uosdite sempererela	--|----⌫|-------|-|
te rreauésconquise	--⌫--|----|-------|
DèsHuisce nt s orla	---|------⌫-|-⌫-|-|
merdeci que	--|-|-|--|
àSa i n t Gile	-|--⌫-⌫-⌫|---|
Nailchastelneuilequeuosnaiés	||-|------|-|---|--|--||----|
Estorgese t NauarePa np e lunela	-------|-⌫|-----|--⌫--⌫-⌫---|-|
DèslemontS aintM ichie ld eci	---|-|---|-⌫---|-⌫-----⌫|-⌫|-|
q ueenGalice	-⌫-|-|-----|
Nepa rdeçàuersRomesicomli	-|--⌫|-----|---|---|-|--|-|
monstornie	---|-----|
Naciténe c hastel	||----|-|-⌫-----|
recet n emanan tie	----|-⌫|-----⌫--|
Que n ai éspris	--||--⌫--|---|
p ar force etpar	-⌫-|----|-|--|
uertuconquise	----|-------|
Ensiledit esuosmèsnos	---|-|---⌫-|--|---|--|
neldi sons mi e .	--|--⌫---|--⌫||
Iesa i t eus. u.	-|--⌫|-⌫--||||
c i tezseDiexme b enéie	-⌫-⌫--|-|---|-|-⌫-----|
Q uisireclam eroit de uostre seignorie	-⌫-|||------⌫----|-|-----|--------|
perdroitlateste làne faudroi t	-------|-|----|--|-|-------⌫|
-Richarsdist l	|------|---||
emperere merueillesauésdites	-------|---------|----|----|
Esp oir uoslessaue zma isienelessai	---⌫--|--|--|----⌫|--⌫-|-|-|--|--|
E t c a r lesle	-⌫|-⌫-⌫|--|-|
mesnomezse	--|----|-|
Diexuosben éie.	---|--|---⌫---||
EtRic har s li respontNonferaibiax dous	-|---⌫---⌫|-|------|--|----|---|---|
Que F ranc ̧ois ont congié	--|-⌫----⌫---|--|------|
dalerdeuo s eru isse	|---|-|-|-⌫---⌫---|
Se ielesuonomoie	-|-|--|-|-----|
cesero itui lonie .	-|----⌫-|--⌫----||
-Richarsdistlempererepar	|------|---||-------|--|
maba rbef lorie	-|--⌫--|-⌫----|
Nep arla foique d oiaufil	-|-⌫-|-|--|--|-⌫-|-|--|
sainteM arie	-----|-⌫---|
Seu osdes.u.	-|-⌫-|--||||
c iteznouelesne	-⌫---|------|-|
Mam isté se t lauostre	|--⌫-----⌫|-⌫|-|-----|
erttotedepartie	--|---|-------|
Etuo staudrailatesteàm	-|--⌫|------|-|----|-||
espéeforbie.	-----|-----||
EtR icharslirespontA ins les	-|-⌫-----|-|------|-⌫--|--|
nomeraisire .	------|---||
SauezuosMontorgue ilet Montesclair la ric he	----|--|---------⌫-|-|----------|-|---⌫-|
EtsauezuosL uisernequi	-|----|--|-⌫------|--|
sor merest bastie	--|--|--|-----|
Oïs tesaincparler delatourdAu gor ie	----⌫--|---|-----|-|-|---||--⌫---⌫-|
L acité de	-⌫|----|-|
Carsa ud equitantest beleetriche	-----⌫--⌫|--|---|--|---|-|----|
Cert esc es .u.cités	----⌫-|-⌫-||||-----|
nauezencoremie.	|---|-----|--||
Q uisi reclameroitdeuostre seignorie	-⌫-|||----------|-|-----|--------|
Ile nperdroit la teste lànefaud roitil	-|-⌫|-------|-|----|--|-|----⌫---|-|
Quant lentent	----||-----|
l emperere	|-------|
àpoinenrag edi re.	-|--||-----⌫||-⌫-||
Ilen a a pelé.I.che ua lie r	-|-||-⌫----||||---⌫--⌫---⌫|
uamoifa itostuenir Floriantde Nubie	-|--|--⌫|---|----|-------|-|----|
C est.I.mienla tiniers queIhesu	|--||||---|--⌫------|--|----|
Q ue por Dieu areceu	-⌫-|--|---||----|
créan ceet ba testire	------⌫-|-|--⌫------|
Cil mesauram ultbienlesn ou eles dire	--|-|----|-⌫--|---|--|-⌫--⌫---|---|
Onl iaa menéet Karlesliescrie	-|-⌫||-⌫----|-|-----|-|-----|
F lor i ant dist lirois	-⌫---⌫-⌫--|---|-|---|
seDiex uosbené ie	-|---|--|-----⌫-|
Sau riez uos	---⌫---|--|
Luisernequ isor merestb astie	-------|--⌫|--|--|--|-⌫----|
-Oïldist Flor iantseDiexmeb enéie.	|---|---|----⌫---|-|---|-|-⌫-----||
En trestoutelat errena	-|--------|-|-⌫---|||
riuierepetit e	------|-----⌫|
Quenaie a ̀monfauconane	--||--|-⌫|--|-----|--|
ousorceille	-|--------|
-ParDieu dist l empererepor	|--|---|---||-------|--|
celeuosuoil	-|-|--|---|
Mo nto rgueiletMontesclai rlariche	--⌫---⌫-----|-|----------⌫|-|----|
Oïsteson c	------|--⌫|
p ar lerde la	-⌫--⌫--|-|-|
Lac itédeCarsaudequitant est bele	-|-⌫---|-|-------|--|---|--|---|
EtFlori ant respontOi ̈lcer tes	-|-----⌫--|------|--⌫-|---⌫--|
bia ussir e	---⌫-|---⌫|
Mès sachiez	---|------|
enson cuerpensa mult gr antfol i e	-|--|---|----|---|--⌫--|---⌫-⌫|
Qui deces.u.	--|-|--||||
citezn ouelesuos a	----|-⌫-----|--||
E torgoilet	-⌫|-----|-|
out ragee t	---⌫---|-⌫|
mult gra n tlecherie.	---|---⌫-⌫|-------||
Rois lessiez	---|------|
l esest eruosnespenriezmie	-⌫-|---⌫-|--|--|------|--|
Onques Ih esun	-----|--⌫--||
ifurec lamez e n sauie	|-|---⌫----|-⌫|-|--|
-Parm abarbe dist K ar lesc	|--|-⌫|----|---|-⌫--⌫--||
au menton mebalie	-|-----|-|----|
seroie ainçoistousles iors dema uie	-----|-------|---|--|---|-|-|--|
ci tez naie l a seig norie.	--⌫--||--|-⌫|----⌫----||
-Rois le s siez leseste ruos nespanr iezmie .	|---|--⌫-⌫---|--|----⌫|--|--|----⌫--|--||
Q uant Franç ois l enten di renttouzli sansl or	-⌫---|------⌫--||-----⌫--⌫---|---|-|---|-⌫-|
Tuitmau die nt Richa r t ledu cde Nor mendie.	---|---⌫---⌫-|-----⌫-⌫|-|--⌫|-|---⌫-----||
Liiors esttrespass ez liuespres uin tatant	-|---|--|--------⌫-|-|------|---⌫|----|
Des noue lesRichartfur entFrançois	--|----⌫--|------|---⌫--|--------|
DusNaimes e napele	--|-----|-⌫|----|
Karlonau poilferr ant	-----|-|---|----⌫--|
Ca rre tornon senFrance	--⌫|--⌫------⌫|-|-----|
p orDieule ro i amant	-⌫-|---|-|--⌫|----|
Etsiuerronsnosfemeset	-|-|------|--|----|-|
no s petisa nf ans .	--⌫|----|-⌫--⌫--||
fer ons parmonchief dist	---⌫--|--|--|----|---|
Karles au poilb lanc	-----|-|---|-⌫---|
Neia n iraià Cordes qui tant par	-|-||---|-|-----|--|---|--|
estuaillant	--|-------|
S aurai ces	|----|--|
. u. citezdontli	|||----|---|-|
r enonsestgrant .	-⌫----|--|----||
Quant Françoisle n tendirent nani otnul	----|--------||-⌫-⌫--------||-||-|--|
Et Karlessec ouchaen. I.l it	-|-----|-|-⌫----|-||||-⌫-|
qui fu grant	--|-|----|
Don t li po me l e stoient a ̀	---⌫|-|--⌫--⌫|-⌫------|-⌫|
orresplendissant	-|-------------|
n ido rmi onques	||--⌫--|-----|
ains uaforment	---|-|------|
At ant e suos .I. angrecleretresplandis sant	--⌫--|-⌫|--||||----|---|-|----------⌫---|
QueDiex i enuoia parsondignecommant.	--|---||-----|--|--|----|------||
Karleced is tlian gresnete	----|-|-⌫--⌫|-|--⌫---|-|-|
ua e smaiant	-|-⌫------|
Faito i ant on co ragebautet	--|--⌫|-|-⌫-|--⌫---|---|-|
l iéet ioiant	-⌫--|-|-----|
Cetemande lisir esàquili	-|-|----|-|---⌫-|-|--|-|
monsapant.	---|----||
N eredout erl es	-⌫|------⌫-|-⌫-|
eues nelesriuieres grans	---|-|--|-------|----|
Lesporsne lespass agesneles gransdesrubans	--|---|-|--|----⌫---|-|--|----|--------|
Ma is uat enà Luisernela	--⌫-|-||-|-|-------|-|
fo rtcitéuai llant.	--⌫-|----|---⌫----||
Ainçoisquel	-------|--||
aiesprisene ua incus	---|----|-|--⌫----|
les Persans	--|------|
Aur astu . I.se cor ss ibel et s i	---⌫-|-||||--⌫---⌫|-⌫|--|-|-⌫|
C onques sigr antnan	|-----|-|--⌫--||-|
neamirant.	-|------||
Ie netesai pl usdire maiscil te	-|-|-|--|--⌫-|---|---|--|-|
soitaidant	---|-----|
Quien lasaintecroissoffri	--|-|-|-----|----|-----|
mortetahan	---|-|---|
Atantsanua	----||-|-|
lia ngres . K arlesremest ioia nt	-|-⌫----||-⌫----|-----|----⌫-|
QUAN Tsan reuali angres	----⌫||-|---|-|-----|
si bessala	-|----|-|
c l artez.	-⌫-⌫----||
Karl e sliemper eresfu mult asséurez	----⌫-⌫|-|-----⌫---|-|---|--------|
Aumat inseleuaquant	-|---⌫-|-|---|----|
il fu aiorn e z	-|-|-----⌫-⌫|
Etc ommandeàdestendr e etpau illons et	-|-⌫------|-|--------⌫|-|---⌫-----|-|
Le s somi ersfont chargier etlesozaroutez	--⌫|----⌫--|---|-------|-|--|-|------|
Puisne fu .I.	---|-|-||||
seus iors acom pliset	---|---|----⌫---|-|
Que . XII.	--||--||
liues gran s	----|----⌫|
ne sconuenist er rer.	--⌫|--------|--⌫--||
Karl es ser egard a et u it Fr ançoisp lorer	----⌫-|-|-⌫-----⌫|-|-⌫-|--⌫------|-⌫----|
Lor enfansetlorfemes	--|-----|-|--|----|
d ureme nt regreter.	-⌫-----⌫-|-------||
Barond istl em pereregr ant	----|-⌫--||--⌫-----|--⌫--|
dueluos uoimener	---|--|--|----|
Iene men me r uoil mietropu os	-|-||-|--⌫-⌫---|--|---|-⌫-|
poez pener.	---|----||
en France a r iereretorner	-|-----|-⌫-⌫---|-------|
Ielordoinsbon cong ié ienelor	-|--|----|--|----⌫--|-|-|--|
Maisunechoseuoilque	---|--|----|---|--|
sac he ntdeuerté	---⌫--⌫-|-|-----|
foiqueiedoisa inte	--|--|-|--|--⌫---|
crestienté	----------|
Ilet t ouzseslinagessera	-|-|-⌫--|--|------|---|
sersracheté	---|-------|
Touzlesio r sdes auie serailsersclamé	---|--|--⌫-⌫|-|-⌫|--|---|-|---|-----|
.IIIIm.et.uIIc	|----||-||---|
. ensontdelo st torné	|-|---|-||-⌫-|-----|
Ga scoi nsetAngeuinsainsn an	--⌫----⌫-|-|-------|---||-|
i ot. I.del	|-|||||-|
EtK arles l emperere	-|-⌫----||-------|
lesa t ousanbreuez	--||-⌫--|-------|
Ileucfuren tlis ers premeraicontroué.	----|-----⌫|-|-⌫--|-------|--------||
Lost s estaro ut éesipensentde lerrer	|--||--|---⌫--⌫--|-|------|-||----|
T antcheu auchent paruausetparpuisetparprez	-⌫--|----⌫------|--|---|-|--|---|-|--|---|
Pa rpluiesparor és parbeltans	--⌫|-----|--|--⌫--|--|--|---|
et par cler	-|--|---|
ilsont uenuà	-|---|---|-|
Lu isernesormer.	--⌫-----|--|--||
Si l aKarles	-|||-----|
a sisselepremieriordesté	-⌫----|-|------|--||----|
fuil. uII .ansc	-|-||--||--||
onquesnipotentrer.	-----|||--|-----||
Etli enfantdeFr ancese	-|-|-----|-|--⌫---|-|
furentaüné	-----|-----|
àParis l acité	-|----|-⌫|----|
Enlag r euedeSaineuenu	-|-|-⌫-⌫--|-|----|---|
et aüné.	-|-----||
Bertra ntli fils	------⌫-|-|---|
Naimona premerai nsparlé.	-----||--------⌫-|-----||
Sei gnorce di stBertran t	---⌫---|-|--⌫-|-------⌫|
o roezmonpansé	-⌫|--|--|-----|
Kar les estan Espa igneo	---⌫--|--|-|----⌫---||
lui s ongrantbarné	--|-⌫-|----|-----|
Il a.XXuII.anzacomplise tp assez	-|||----||--|-------|-⌫|-⌫----|
Qu ilanmen a	-|-|-----⌫|
lespe resquinos on tangendrez .	--|--⌫--|--|--|--⌫|--------||
Ornosonttan t no smeresetcouchiéset	-|--|--|---⌫|--⌫|----|-|--------|-|
Me rci Dieu quenoss omes cheualieradoube ́.	--⌫--|---|--|--|-⌫---|--------|------⌫||
Carfaisons roi enFrance	--|------|--|-|-----|
seuosle com mandez	-|--|-|---⌫-----|
clameronse t	--------|-⌫|
Etdequinostandronstotes	-|-|--|--|-------|----|
nosheritez	--|------|
Senosnos mellionsce sero i tgrans ui lte z	-|--|--|-------|-|----⌫-⌫|----|--⌫---⌫|
lirespond irent Si	-|-------⌫----|-|
co mman dez.	--⌫----⌫--||
distBertran t	---|-------⌫|
iln osc onui entiurer	-|-⌫-|-⌫----⌫--|----|
Ce lui q ue	--⌫--|-⌫-|
n ouzuoldrons fai reroicor on é	-⌫--|-------|---⌫-|--|---⌫--⌫-|
Que seilledesditlechiefauracope ́	--|-|-|-|-----|-|----|---|----⌫|
respondire ntC e fai t àcréanter	----------⌫-|-⌫|---⌫|-|--------|
.L.e t.IIII m.quit ui t	|||-⌫||----⌫||--|-⌫--⌫|
fu re ntsené.	--⌫--⌫-|----||
Dequiferonsnos roi	-|--|-----|--|--|
dien tlibacheler.	----⌫|-|-------||
Au nepartsetraient li .	|-⌫-|---|-|------|-||
uII.des plusaisne z	--||--|---|-----⌫|
lesplus haus	--|---|---|
homes dumielsanpara ntez.	----|-|----|------⌫---||
Seignor ced istBertrantor a u onsnosiuré	------|-|-⌫--|-------|-|-⌫-⌫--|--|----|
FoiquedoisaintDen is	--|--|--|----|---⌫-|
iendi raimon	|-|--⌫--|--|
uésSan son	---|---⌫--|
deBorgo i gnequigen tils	-|-----⌫-⌫--|--|---⌫---|
S a l as e rou rKarlonlefortroi	||-⌫|-⌫-⌫---⌫|-----|-|---|--|
Etsi e n a lidus . I.	-|-|-⌫||-|--||||
ualletange ndre ́	-----|----⌫----⌫|
Napa s encor	||--⌫|----|
que ilfuadobe ́	--|-|-|-----⌫|
Car fe s ons celuirois eu os l e commandez.	--|--⌫-⌫--|----|--|-⌫|-⌫-|-⌫|--------||
Sereuient lemperereariereen son	-|------||-------|-----|-|--|
Et iltr ueue ce lui qu elaio n s	-|-|--⌫---|--⌫--|--⌫||---⌫-⌫|
Il ne l ociramie de son linageest	-|-||----|--|-|--|-----|--|
Etsei l ne reuientsiaural erité	-|-|-⌫|-|------|-|---||-----|
Carnosneuolonsmie	--|--|-|-----|--|
Karlon deseriter.	-----|--------||
Etli enfa n t respondentBienlauez	-|-|----⌫-⌫|---------|---||---|
co mmandé.	--⌫------||
Aiceleparoleo n tlenfant apelé.	|----|-----|-⌫-⌫||-----|-----||
S ireGuisd eBorgo ignedist Bertr ant	-⌫--|---|-⌫|-----⌫---|---|-----⌫--|
çàuene z	---|----⌫|
P remerainiuintGuilefiz	-⌫-------||---|--|-|--|
Aprèsi ui nt Ber tra n l efizal duc	-----||--⌫-|---⌫---⌫|-⌫|--|-|--|
BerarddeMun tiderfizTe rr ile	-----|-|---⌫----|--|--⌫--⌫|-|
SiuintEstus d e Lengres	||---|----|-⌫|------|
fizalducOdon	--|-|--|---|
EG efre i l	|-⌫----⌫||
A ngeuinle f izà	-⌫-----|-|-⌫-|-|
E lefizAngeler SauarileGasco n	|-|--|------|-----|-|-----⌫|
E s ifu AlbersfizBasinleB urgoin on	|||-|-----|--|----|-|-⌫------⌫-|
L efizRichard i	-⌫|--|------||
Sif u lefizIu oi re	||-⌫|-|--|--⌫--⌫-|
d IuorieHaston	|-----|-----|
E lefizAnséissi fu l efizHuon	|-|--|------|||-|-⌫|--|---|
fi zGerinGerin sun compai non .	--⌫|----|----|--|------⌫--||
Tutlimeillur	--|-|------|
iuindrentetdeplus	|-------|-|-|---|
g ra ntren on.	-⌫--⌫-|---⌫-||
Ken ustendraenFr ance	-|-⌫-|-----|-|--⌫---|
e n pes etàr eson	-⌫|--|-|-|-⌫---|
unréalme sansegno r	-|------|--|-----⌫|
un b oton.	-|-⌫---||
EtlienfantdientE t nos ben lo tré um	-|-|-----|----|-⌫|--|--||-⌫----⌫-|
UndesfizGuenelons ene st	-|--|--|-------||-|-⌫-|
e n pezleu ez	-⌫|--|---⌫-|
Maucionot nunsifumainés	------|-|--|-|-|------|
Grant fueparcréusiot	----|-||-------|-|-|
pend antle n és	----⌫--|-|-⌫--|
Siotl ab arbe rousseetfumo ltet lez	-|-|-⌫|-⌫---|-----|-|-|--⌫-|-|--|
Be rt ran dit	--⌫--⌫--|--|
Mau cioncertesbenditassez	---⌫---|-----|--|--|----|
emfeit rei	-|---|--|
enF rancei e	-|-⌫----|-⌫|
mensuipresen tez	|-|--|------⌫--|
Sidemantl a	-|-----|-⌫|
coro n ekeuoslam e	----⌫-⌫|-|--|-|-⌫|
Sidemei fe it esrei	-|-|--|--⌫--⌫-|--|
granthonure n aurez	----|----|-⌫|----|
Ka ruos serrezpor meienhaucéetamez.	--⌫|--|-----|--|--|-------|-|---||
Baruns i es eiereis siuuslecoman d ez	-----|-⌫|-⌫--|---|-|--|-|-----⌫-⌫-|
Molt ert bienenploïee n meilarealtez	---|--|---|-------|-⌫|--|-|------|
Karie suigentilsho m e degrantparentez	--|-|--|------|--⌫||-|----|-------|
Alorines t miniepemunco sinHardrez	-----|--⌫|-|---||--|--⌫--|------|
munparenteF oc herle b arbe z	--|-----||-⌫--⌫--|-|-⌫----⌫|
E tIsoartlii esneseBrihan	-⌫|-----|-|-⌫----||-----|
M a lueisine	-⌫-⌫------||
M alingresetMiles et	-⌫-------|-|----|-|
Forre ́s .	-----⌫-||
Nesaikeplusendie trop	-|--|-|---|-|--|---|
sui e nparentez.	--|-⌫--------||
Esie stmunpereGue nesk	|-|-⌫-|--|---|---⌫--||
od Kar lon est ale z	-|---⌫--|--|---⌫|
od a fem mesikeb enlesauez	-||---⌫-|-|-|-⌫-|-|----|
