qui presdem oise uorratraire	--|---|-|-⌫-|-|----|-----|
quequeladamede	--|--|-|---|-|
limostresabe soignetote	-|-----|-|--⌫-----|---|
e tlauiel le maintenantbout e	-⌫|-|----⌫-|---------|----⌫|
desozlacoute	----|-|----|
certes fait	-----|---|
el ledespent ecouste	--⌫-|--|----⌫------|
gema issirich e li t	-|--⌫-|-|----⌫|--⌫|
plu s asassezdeton delit	---⌫|-|----|-|--|----|
conquesnotlautre	|-----||-||----|
bienm enm embr e	---||-|-⌫----⌫|
atants en yss ent	|---||-|---⌫--|
delachanbre	-|-|------|
ueille adesser m one	-----|---|---⌫-⌫--|
l adamemaintenantlidone	-⌫|---|---------|-|---|
plain potde	----|--|-|
uinet unemiche	--|-|--|----|
etunegr antpiecede f li c he	-|--|--⌫--|----|-|-⌫--⌫-⌫-|
etd epoisune	-|-⌫|---|--|
grantpot ee	----|---⌫-|
bienest labori oise	---|--|-|----⌫---|
par laueille maisno usotpas	--|-|-----|---||-⌫|--|--|
sisen reuintisnellepas	-||-|-----|---------|
la uiellea sonotel	-|-----||--|---|
douborio is direme couien t	--|-----⌫-|---|-|------⌫|
etestuenusason	-|--|----||--|
et ditquedorm i r se uoloit	-|--|--|----⌫-⌫|-|-----|
porcequelechie fli doloi t	--|-|--|-|----⌫|-|-----⌫|
en sa chan breuasisecouc he	-|-|----⌫--|-|-|-|----⌫-|
tant o stcomil fu sorsah uche	----⌫-⌫-|--|-|-|--|-|-⌫---|
sis entles orcotbosoier	-|-⌫--|-|-⌫----|------|
lelitapr i s aparoi er	-|--||--⌫-⌫||-----⌫-|
sian a tr aitle	-|-||--⌫--|-|
sorcot fors	-----|---|
et quilor s li bo u ta toucors	-|--|---⌫|-|--⌫-⌫--⌫|-|---|
zzcoutelp arenmiles	-|-----|-⌫-|---|--|
nen issitil gou te desanc	|-|----|-|---⌫-|-|---|
tantfu durem antesmar riz	---|-|-----⌫--|-----⌫--|
he dieusdistil coms uitrai z	-|----|---|-|--|-⌫-|----⌫|
parce lle q uelan medona	--|--⌫--|-⌫-|--|-|---|
lorsuintal uis sileferma	---|---|||--|-|-|----|
maintenanta les orco t pr i s	---------||-|-⌫----⌫|--⌫-⌫|
ca r i alosielaso rpris	--⌫|-⌫-----|||--⌫----|
quiest piresquem ausde denz	--|--|----|--|-⌫--|-|---|
defo r sleremire	----⌫-⌫|-|-----|
biensa nblecach e ter le	---|--⌫---||---⌫-⌫--|-|
a manbre quen eli d oille	|-----|--|-⌫|-|-⌫----|
tou zfuplain sdecorrozetdi re	---⌫|-|-----⌫|-|-----|-||-⌫-|
ditilqueporraidi re	--|-|--|-----|--⌫-|
de ce st sorcotbie n	-|--⌫-|-----|---⌫|
sa i parmame	--⌫|--||--|
a ulecheormafa me	-⌫|------|-|--⌫-|
quison sol a z	--|--|---⌫-⌫|
ainz c o ns anti	---|-⌫-⌫--⌫---|
que lleeustmon costesanti	-|-⌫--|---|--|----|----|
lors lepristetsil estoia	---|-|----|-|-||-----|
apres sorsonlitsapoia	----|--|--|--||----|
e tpen seque ilporra f aire	-⌫|---⌫-|--|-|----|-⌫---|
m ais complus	-⌫--|--|---|
pensea cest afaire	----||---|-----|
etpluslidoub l e cesanuiz	-|---|-|----⌫-⌫|--|----|
a in s isfu	-⌫--⌫-⌫-|-|
t antque il	-⌫--|--|-|
quiuit leshuis	-||--|--|---|
clo us parlarue	---⌫-|--|-|--|
lorsp ren t sa fame	---|-⌫---⌫|-|---|
par lebr azfo rsde	--|-|--⌫-|--⌫-|-|
cellequ in esot	----|--⌫|-⌫|--|
lo choison	|-⌫------|
a pod e duelnest a co r ee	|-|-⌫|---||--|-⌫--⌫-⌫-|
atantezuosdameauberee	|---|-|--|---|------|
p renoitreg art	-⌫-----|---⌫--|
madouce fi lled i eus tega	-|----|--⌫--|-⌫-⌫--|-|-|
faitla uielle que fai z t u	---|-|-----|--|---⌫|-⌫|
hadame aubereemer ci	-|---|------|---⌫-|
me s sires est	--⌫|----|--|
m ellezamo i	-⌫----||--⌫|
ets in esai dir e porquoi	-|-⌫|-⌫|--|---⌫|--|---|
nesaiquelan	-|--|--|--|
li a conté	-||-----|
fai testan t debonte	---⌫--|---⌫|-|----|
c auecmoi ueigniez ch ezm on	|---|--|-------|--⌫-|-⌫-|
a u oifait el le	-⌫-⌫-|---|--⌫-|
parsaintp ere	--|----|-⌫--|
ieneuoudro iepo r grant	-|-|------⌫-|--⌫|----|
ueuz tuq uet es perest e	---|-|-⌫-|-⌫-|----|-⌫|
quicuideraquaies mesfet	--|------|-|---|-----|
uer stonseignordaucun	---⌫|--|------||----|
uilenie de tonc ors	------|-|--|-⌫--|
queil tait b outeefors	--|-||--|-⌫----|---|
queiltaitp risep r o uee	--|-||--|-⌫---|-⌫-⌫-⌫--|
auecton lecheortrouee	---|--|------|-----|
este spoirli	--|-⌫----|-|
ui lainsy ures	--⌫----|-⌫---|
enserademaind eliures	-|---|-----|-⌫------|
em bon efoy	-|---⌫|--|
tenuie gnesauecmoi	|-|---⌫---|---|--|
gens son tces ruesuoides	---|---⌫|--|---|-----|
emploias quetunecuides	-------|--|-|-|-----|
charles pois	---|--|---|
randut esera a pois	----|-⌫|---||---|
legerredon etle seruise	-|-------|-|-|------|
car ilyerttota	--|-|---|--||
q uanquetu	-⌫-----|-|
saurasde mande r	-----|--⌫-----⌫|
ne tefa u d raque	-|-|--⌫-⌫-⌫-|--|
co mmander	--⌫------|
ca rt userasmolt bi encel ee	--⌫|-⌫|----|---|--⌫-|---⌫-|
en un echambrean cortin ee	-|--⌫|------|--⌫------⌫-|
queia nus hom ne tisaur a	--|-|--|--|-|||----⌫|
iusqua tant quetes	----||---|--|--|
t respas sé tot e siuress e	-⌫------⌫--|---⌫||------⌫|
m aint enantla d amesa dr esse	-⌫----⌫----|-|-⌫--||-⌫--⌫---|
uiel l eal otel	----⌫-⌫|||---|
elleu ne semaine	---|-⌫-|------|
se u rementes tre	--⌫-⌫-----|--⌫--|
sarau os treestre	---|-⌫--⌫--|----|
enfitdongier	-|--|------|
adieunep leu st	|---|-|-⌫---⌫-|
iuquelseut	---|-|---|
un echambreillecdeiouste	--⌫|------|----|-------|
sor blansdr aset	--|----|--⌫-|-|
sormole coste	--|---|----|
u iellebi encouerte	-⌫----|--⌫-|------|
chambreouert e	------|-----⌫|
ainzfermabienl	---|----|---||
de lacha nbre senist	-|-|---⌫---||-|--|
reuient plusquele pas	------|---|--|-|--|
qui nedormo i t pas	--|-|-----⌫-⌫|--|
ainztorneet retor neen	---|----|-|-----⌫-|-|
moltcri ent la ue ille	---|---⌫--|-|--⌫---|
nelobl iat	-||---⌫--|
dece que lioten	-|-|--|-|-|-|
s opiremoltsouant	-⌫----|---|-----|
e ts as iet	-⌫||--⌫--|
littotn u z	--|--|-⌫-⌫|
et se l ieue sies tuenu s	-|-|-⌫---|-|--⌫|----⌫|
aune fenestreapoier	|--|-------|-----|
etlauielle qui son	-|-|-----|--|--|
uo stdechief an	--⌫-|-|----|-|
chief d eseruir	----|-⌫------|
et leualletangre seruir	-|-|-----|-|--|-----|
neganch i d estre n es enestre	-|-----⌫|-⌫----|-⌫|-⌫------|
auualletuienta la fenestre	-|-----|----||-|-------|
cil li dema nde	--|-|----⌫--|
queusnouelles	----|-------|
ies tedir aifetelle belles	|-|-|---⌫-|--|---|-----|
ta mie anmes	|-⌫--|-|--|
faire en por ras tonsolaz	----|-|---⌫--|--|----|
iuques demainapresces teeure	-----|-----|----|---⌫-|---|
etliuallez pl us ne demeure	-|-|-----|--⌫-|-|------|
quelaui elleotse ru i ang re	--|-|--⌫---|-|--⌫--⌫|-|-⌫-|
soefaualelede gre	---|----|-|--⌫--|
et sen r euont and uiansanble	-||-|-⌫----|---⌫-|-------|
nauo it gaires sicommoisanble	|---⌫-|-----|-|--|--|-----|
quelabori oise	--|-|----⌫---|
yertandormi e	---|-------⌫|
lauiellene s obli a mi e	-|-----|-||----⌫|--⌫|
ainz sedeschauseet	---|-|--------|-|
sedespoill e	-|--------⌫|
da me faitil ce lle	--⌫-|---|-||-⌫--|
e te lle criequ efera igie	-⌫|-⌫--|---|--⌫|----⌫|--|
ou rerueilp ar uostre congie	--⌫--|---|-⌫-|-----|-----|
mauez te numondro it	|---|--⌫-|--|---⌫-|
conseilleraia droit	-----------||----|
fait la uielle uasite	---|-|-----|-|-|-|
et cel l eestuerstoi	-||--⌫-⌫|--|---|--|
pointfaroche	----|------|
e tellecri eet tu	-⌫|---|---⌫|-|-|
lieue les drassite musse anz	----|--|---|-|-|----|--|
b ien sai des quete sentira	-⌫--|--|--|--|-|------|
la b esoigneautrema nt ira	-|-⌫------|-------⌫-|--|
liualleznestplus demorez	-|-----||--|---|------|
lez laborioisec	--|-|-------||
e tm olt s oef a li	-⌫|-⌫--|-⌫--||-|
esueill elaborioise	-------⌫|-|-------|
quidurement estt res saillie	--|-------|--|-⌫---⌫------|
quantcelisentsifutsa illie	----|---|---|-|--|--⌫----|
fo rsdou litmais c illembrassa	--⌫-|--|--|---|-⌫-||-------|
e tdit belletr aiez uossa	-⌫|--|----|--⌫---|--|-|
ca riesu i	--⌫|-|--⌫|
u ostredo z a mis	-⌫----|--⌫|-⌫--|
qui tanta uez	--|---|-⌫--|
mais tantaifetla de merci	---|---|-|--|-|-|----|
q ue totenueuostien	-⌫-|---|--|--|---|
parfoifait ell erien	--|--|---|---⌫|---|
queiecrieraiiasi hau t	--|-|------|-|-|---⌫|
i serontmo lt tostacor ru e	|-----|--⌫-|---|----⌫--⌫|
que l agrant gent	--|-⌫|----|---|
et la m enue	-|-|-⌫---|
parf oi faitcilneuos monte	--|-⌫-|---|--|-|--|----|
sineuoigefors	-|-|--|-|---|
uostrehon te	-----|---⌫-|
quant lag rant	----|-|-⌫---|
gent etlamenue	---|-|-|----|
uos uerront	--|------|
lezmoito tenue	--|--|--⌫-|--|
qui lestiapresde mienui t	-|-⌫|--|-|---|-|------⌫|
niaura celui qui n ecuit	||---|----|--|-⌫|---|
quei ai efa it agrantplente	--||--⌫|--⌫-||----|-----|
deuostrecorsma	-|-----|---|-|
moltuau t ormi eus	---|---⌫|-|--⌫--|
aces defoi z	|--|-----⌫|
cesteassanbl ee	----|-------⌫-|
quenusfor s	--|--|---⌫|
denous yyle	-|---|-|-|
atantso efuerslui lasach e	----|--⌫-|---|--|-|----⌫|
silembrass e	-||-------⌫|
auoitdon giez et blans	----|---⌫---|-|----|
l abouchelibai se et	-⌫|-----|-|---⌫-|-|
laborioise n e setqueface	-|-------|-⌫|--|--|---|
mieus li ui entestre	----|-|--⌫--|----|
quelporroitacoi ll irtellous	-|-|------|----⌫--⌫-|--|---|
uoisinsettelren om	------|-|--|---⌫-|
iauroitse hontenon	|-----|-|----|--|
molts asoagemolts aquoise	---||-----|---||------|
uallezsouantlabaise	-----|-----|-|----|
aunepartdelautre setrait	|--|---|-||----|-|----|
et ellelifa it	-|---|-|--⌫-|
puisio ignentanssanbleetsi font	---|--⌫-----|--------|-|-|---|
cep orcoias sanbléisont	-|-⌫-|--|--⌫------||---|
aumat in etquantlaubecrieue	-|---⌫--⌫-|----||---|-----|
dameauberee si	---|------|-|
si lorat or nemiaus qu e pot	-|--|--⌫--⌫-|----|--⌫|--|
char de porcetpoucinsa nrot	---|-|---|-|------|-⌫|--|
et quantil uindrentau	-|----|-|-------|-|
n iac elque face d ongier	|||-⌫-|--|---|-⌫-----|
ainzmang e rent asseze t	---|----⌫-⌫---|----|-⌫|
emmedu ianbongreres urent	------⌫|-|--|--|---⌫----|
le ser uis e dam eauber e e	-|---⌫---⌫|---⌫|-----⌫-⌫|
etquantceuint ala uespree	-|----|-|---||-|------|
queli solaus	--|-|-----|
ason droitt orne	|--|----|-⌫---|
dame aube r eelo rato rne	---|----⌫-⌫-|--⌫|---⌫--|
sequellesot	-|-|---|--|
quilo rfubon	--|--⌫|-|--|
cariln iauoit	--|-|||----|
riendou sien	---|--|---|
cellenu itont	----|--⌫-|--|
a ss ezsolaz	-⌫--⌫-|----|
emmed ui iurentbraza braz	-----⌫-|-----|---||---|
conquesdeuei ller	|-----|-|---⌫---|
nefine rent	-|----⌫---|
ta ntque lesmatinessonerent	--⌫-|--|--|------|-------|
asain t corni llelabaie	|----⌫|-----⌫--||----|
tantostco ml acloche	------|--⌫|-⌫|-----|
dame aube ree	---|----⌫--|
si s esueille	-||-------|
s iseuestet sis apa reille	-⌫|-|---|-|-||---⌫-----|
aulit oucilgi s o ient	-|--|-|--|--⌫-⌫-⌫---|
quiloramorss entredisoient	--|--|----||------------|
f etellebellefille	-⌫-|---|----|----|
si enyr onasaintecornille	-|-|--⌫-||-----|-------|
entremoiettoiaumos tier	----|--|-|--|-|---⌫---|
desor auroiest u mestier	--|-|------|-⌫|------|
qu etes sires ato i	--⌫|--|----||--⌫|
sacor dast	|----⌫---|
liuallez moltlan destornast	-|-----|---||-|---------|
m aisilnel	-⌫--|-|-||
o secontredi re	-⌫-|--------⌫-|
uielleliprista dire	-----|-|----||---|
lai moiam o ntalant	--|--||-⌫-⌫|-----|
encorporras bienrecourer	----|-----|---|-------|
atamieetaton dedu it	||---|-||--|----⌫-|
lauielle a uoit	-|-----|-⌫---|
chandoi llesyy	-------⌫---|-|
don chacu nne auo itunet oise	--|-----⌫--|---⌫-|--|-⌫---|
entre lauielleet	----|-|-----|-|
lab or ioise	-|-⌫--⌫----|
anduisenissent del	----||-|-----|-||
aumostieru ontdeuantlau tel	-|------|-⌫--|-----||--⌫--|
n ostredamedeuant limage	-⌫----|---|-----||----|
e t lauiellequi moltfusage	-⌫|-|-----|--|---|-|---|
fis tla d amegesira	---⌫|-|-⌫--|----||
etli prieque de sa	-|-|---|--|-|-|
n elisoituaillant yyno iz	-⌫|-|---|-------|-|--⌫-|
la uielleotfaiteyy cro iz	-|-----|-|----|-|---⌫-|
desc ha ndoilles	--|-⌫--⌫-------|
q uelleauoit	-⌫|---|----|
aunelampeoufe u auoit	|--|----|-|--⌫|----|
les al umedechief a n chief	--|--⌫--|-|----|-⌫|----|
lun e des croiz limistau chi ef	|--⌫|--|----|-|---|-|---⌫-|
etlautreaupiez	-||----|-|---|
l atierceade st re	-⌫|-----||--⌫--⌫-|
laquarte l imita	-|-----|-⌫|--||
lors uientali	---|----||-|
silaseu re	-||----⌫-|
s oieztote	-⌫---|---|
commant quil aueigne	------|-|-|------|
neu osmou ez	-|-⌫-|---⌫-|
iuquesieui egne	-----|-|--⌫---|
ciuosgisezendement iers	-|--|----|--------⌫---|
d amefaitelleuolentiers	-⌫--|---|---|---------|
eta ubereeplus nesorio rne	-|-⌫-----|---|-|-----⌫--|
totmainten ant	--|-------⌫--|
san t orne	|-|-⌫---|
u ers l ostel	-⌫--||----|
auboriois totdroit	-|------|--|----|
que porsafame	--|--|-|---|
irez est oit	---|---⌫--|
tantost sonhuisourircommande	------|--|---|----|-------|
etdameaubereecommande	-|---|------|-------|
al otel uient	||---|----|
ethurteetboute	-|----|-|----|
l ibo rioisor oille e tescos te	-⌫|--⌫----|--⌫----|-⌫|-----⌫-|
quimo ltuossist telchoseoir	--|--⌫-|------|--|----|--|
d ont ilse	-⌫--|-|-|
peustesioir	----|-----|
tantostson	------|--|
huiso urircommand e	---|-⌫---|-------⌫|
et da meauber eelid emande	-|--⌫-|-----⌫-|-|-⌫-----|
sitos tcom elle	-|---⌫|--|---|
antra leans	----|----|
lifai llizli mal	-|---⌫---|-|--|
enseign iez	-------⌫--|
dame au beree	---|--⌫----|
bienueigniez	---|-------|
fait ci l qu iuosmo ine a	---|--⌫|--⌫|--|--⌫--||
celle eure	----|---|
ce lle arespondrenesor iorne	--⌫--||--------|-|---⌫----|
