unsbersfuiae nlan tifpopled eu	--|---|-|-|-⌫||--⌫--|----|-⌫-|
de ure lmen t fud oiee e ncesiur snefud	--⌫|--⌫----⌫|--|--||-⌫|--|---⌫|-|--|
nul eaperteuis iun	---⌫|-----|---⌫--|
a uinta une	-⌫---||--|
feizquelieuescheshe ly se fudaculchépur	---|--|-|-------|--⌫-|-|--|-------|--|
pe rdu au e itlaueu e deueille scen euee r ne	--⌫--|--⌫-⌫-|-|---⌫|-|------⌫--|-⌫|---⌫|-|
lumier edeu	------⌫|--|
morte samu elsedormei t elte mple	---||----⌫-|-|------⌫|-|--⌫---|
ul arch e de uestei t edeu	||----⌫|--⌫|-----⌫||--|
esam uel respundi	|---⌫--|-------|
curuterranmentahelye di st cisuiuenuz	----|--------||---||--⌫-|-|--|----|
kartu mapelas	--|-||-----|
lieu esch es respund i nunfis	-|--⌫----⌫-|-------⌫|--|--|
ua te ndorm ir	-||-⌫|----⌫-|
edeu derechiefsam u el apelaesamuel chalt	|--|--------|---⌫-⌫-|----||-----|----|
leuauin taleue sche	---|---⌫|||---⌫---|
sil areisna	-||------|
samu el ne	----⌫-|-|
fu dencorea	--⌫|-----||
deu acuuinte z nelaparoledeu	--|--------⌫|-|-|-----|--|
nel ifudmanifesteerespundi	-|-⌫|--|---------|-------|
lieuesch es netapelaipasmaisua	-|------⌫-|-||-----|--|---|-|
ariere d ormir	-----|-⌫----|
tierce fiededeus amuel	-----|----|--|-⌫----|
ap ela etierce fiezahel ysamuel	--⌫--||-----|---||---⌫|-----|
returnaed ist sire ueezmeiicikar	------||-⌫--|---|---|--|--|--|
tumape las	-||---⌫--|
iduncen tendihelyquede u	----|--⌫----|---|--|--⌫|
o ut samuelapeléesili dist	-⌫-|-----|-----||-|-|---|
repaireatun litese	------||--|--||-|
lumtap elemaisres pund	|-||--⌫--|---|---⌫---|
sirekartis ser fse sculteesamuelasun	---|--|--|---⌫-|-⌫-----||-----||--|
litretur nae	--|-----⌫-||
uinteape lasamuel	---||---⌫-|-----|
sam uel samuel	---⌫--|-----|
sa muelr espundiparol esire	--⌫---|-⌫------|-----⌫|---|
kartisserfs escult e edunc	--|--|----|------⌫||---|
distlisiresasamuelu noure frai	---|-|----||-----|-⌫|---|---|
enisraeleteleserra	-|-----||---|----|
ke cornerun tli	-|--------⌫|-|
les oril lesaceluiqui l	--|----⌫--||----|--||
orrad enceliur	----|-|--|--|
s usci terai encun treh ely tuitcoqueioaip ar lé	-⌫----⌫----|-----⌫--|-⌫--|---|-|--|-|-|-⌫--⌫--|
surlui esur	--|--||--|
samaignee i o	-|------|-⌫|
l cume nceraies ilas summerai	|----⌫-----||-⌫||--⌫-------|
de uantque	--⌫---|--|
io i ugerei esama isun	-|-⌫------⌫|-|--⌫---|
parma na ble men tpurse iniquite	-----⌫--⌫---⌫---⌫|--|-|-------|
bien soutque ses fizouerouent malement e	---|---|--|--|--|--------|-------||
chastiernesuoleitepu r coai	-------|-||-----||--⌫|-|-|
iu réen cuntrela maisunhel y	--⌫--|--⌫-----|-|-----|---⌫|
que lainiqu i te deluinier t ia espurg eene	--|-|-----⌫-⌫-|-|--||---⌫|-|------⌫-|-|
par dun s nepar	--|---⌫|-|--|
sacrefises e	---------||
samueldormid ies qu e lematinecreme i t a	-----|-----|---⌫--⌫|-|----||-----⌫-⌫||
mus tr erahel ylaui siun mais	---⌫--⌫-||---⌫|-|--⌫---|---|
helyla pelaesili dist	---||-⌫---||-|-|---|
samuel belf iz	-----|--|-⌫-|
quelepa rolees tc oqued euso d tei	----|--⌫---|--⌫|-⌫|--|-⌫--|-⌫|--|
ioteprique	-|-|--|--|
nel meceiles e si tu mec e ilesicel	--|-|-----||-|-|-|-⌫-⌫---|---|
maluiengesur	--|-----|--|
deuadparlé	--|-|-----|
demeisa muelatant	-|--|--⌫---||---|
limustrae nulechosenencela	-|-----||---|----||-|---|
hely respundis ires	---|-------|-⌫---|
esti lfradquebon	--|-⌫|---|--|--|
liiertesam uelcrut eesforcha e	-|---||---⌫--|---||-------||
deus fud oueclien ule	---|--|---|-||-⌫--|
des esparol es	-|-⌫-|-----⌫-|
e nueinne chai	-⌫|---|-|---|
e tu itli poplesde isra el des dan i esq u	|--⌫-|-|-----|-|----⌫-|--|--|-⌫---⌫|
