form Cilqu ifist	---|--|--⌫|---|
mesdeFranceni sseL enors qui s	--|-|-----||-⌫--||----|--||
iest arestee .	|--|------||
Dexlauoit asaltres presteeCar des	--||----|-|-----|------|--|--|
Grezoisn edesRomainsNe di tanmes	------|-⌫|--|------|-|--⌫|-|--|
neplusne mains	-|---|-|----|
D axestlaparoleremeseEtes t aintela	|-|--|-|-----|-----|-|--⌫-⌫----|-|
uiuebrese.	---|----||
CrestienscomancesonconteS i con	--------|------|--|----|-⌫|--|
liliure sno sr eco n t eQ uitrezfudunem pereor	-|-----⌫|--⌫|-⌫---⌫-⌫-⌫|-⌫-|---|-||-|--⌫-----|
Puissantderichesceetdenor	-------|-|-------|-||---|
Quitin t GreceetCostantinoble .	--|---⌫|----|-|------------||
Empererizot	--------|-|
cointee tnobleDonlemperere	-----|-⌫|----|--||-------|
M esai nzfu lipre mie rssigranz	-⌫-|--⌫-|-|-|---⌫---⌫-|-|----|
Q ueliaut resnes sa nce eüstQueli	-⌫-|-|---⌫--|---⌫--⌫--|----|--|-|
pre miers seluipleüstP oïstcheualie rs	---⌫----|-|--|------|-⌫----|--------⌫-|
deuenir Et tot	------|-|--|
lemp iremain ten i r .	|---⌫--|----⌫---⌫-⌫||
LipremiersotnonAlixandres Alisfu	-|-------|-|--|---------|---|-|
a pelez l im and res .	-⌫----|-⌫|-⌫---⌫--||
Alixandres otnon lipereEtTan talis	---------|-|--|-|---|-|---⌫----|
otnon lamere .	-|--|-|---||
DelempererizTan ta lisDelemp ereor etd	-||--------|---⌫--⌫--|-||---⌫----|-||
AlisLa parole at an t	---|-|-----||-⌫--⌫|
l e sseronDAlixandre	-⌫-⌫-----||--------|
uosc onteronQu itantfuc orageus etfier sQue	--|-⌫------|--⌫|---|-|-⌫------|-|----⌫|--|
ildeignac heual iers Deueniransare gion .	-|-----|-⌫-----⌫---|------|-|-|--⌫---||
feiremenssionDelroi	----|-------|--|--|
Artus qui lorsreigno it	----|--|---|------⌫-|
Etdes b ar onsque il	-|--|-⌫--⌫--|--|-|
saconpai gnietoziorzP arq uestoitdotee	-|------⌫---|--|---|-⌫-|-⌫|-----|----|
sacorzEtr enom ee	-|---|-|-⌫----⌫-|
parlemonde.	--|-|----||
Comantquela fins	-----|--|-|---|
lanrespondeEt	|-|-------|-|
co mantqu eillenaueingne N estri ens	--⌫---|--⌫|-||-|-------||--|--⌫--|
nee quiledeteingne Elmont que	--|--|-|--------|-|---|--|
anBr eteingne.	-|--⌫-------||
Mesainze s tdroizquecongié	--|---|-⌫-⌫|----|--|------|
preing neAson pereque ilsan aille	------⌫-||--|---|--|-||-|----|
An Bre taignenanCornoaille.	-|---⌫-----||-|---------||
Porcongiéprand reet	--|------|-----⌫-|-|
d e mand e ruaalempereor parler.	-⌫-⌫----⌫-⌫|-|||-------|-----||
Alixandre sli biax li	---------⌫|-|---|-|
preuzI alidira q uexest	----|-⌫|-|---|-⌫--|--|
s esueuz Et q ue	-⌫-|---|-|-⌫-|
iluialtfei reet	-|----|---⌫-|-|
anprand reBiau perepor e noraprandr eEt porconquer re	-------⌫-|---|---|--|-⌫--|-------⌫|-|--|-------⌫-|
pri setl os Un donf et il querreuos	---⌫|-|-⌫-|-|--|-⌫-|-|-----|--|
ieuuel queuosme do in gni ezNe ia	-|---|--|--|-|--⌫--⌫---⌫-|-|-|
ne l e mepor loigniez Seotroierleme	-|-⌫|-|---⌫-------|-|------|-|-|
D ecene cuid ee stregreuez	-⌫|-|-|----⌫|-⌫---|-----|
L emperere s ne	|--------⌫|-|
p one bien L	-⌫|-|---||
enor so nfil	---|--⌫|--|
sortote rien	--|---|---|
Doitiluo loir etcouoitier	---|-|--⌫---|-|--------|
Moutcuid eroitbienesploitier C uideroitet s iferoitilS	---|----⌫----|---|---------|-⌫-------|-|-⌫|-----|-||
ilacroi ssoit l enor	-|-----⌫----||---|
Biax fil z fetil ieuos otroi	---|---⌫|--|-|-|--|----|
uostr e pleisir etdites	-----⌫|------|-|----|
moiQ ueuosuolez	--|-⌫-|--|----|
quei e uosdoin gne.	--|-⌫|--|----⌫--||
Orabienfeitesa besoingne	-||---|----|-|--------|
Liuaslezqu i	-|-----|--⌫|
moutanfu liezQantli dons li	---|-|-|---|---|-|---|-|
fuotroiez Quiltantdesirroit aauoir.	-|------|-|-|---|--------||----||
Sir ef etiluolezsauoirQue	---⌫|-⌫-|-|----|-----|--|
uosm auezacreantéIeuuel	--||---|--------|-|---|
auoir a gr ant	----||--⌫--|
plantéD euos tre	------|-⌫|---⌫--|
oretd euos trearge ntEt	-|-|-⌫|---⌫--|----⌫-|-|
conpaignonsde uostregentTexconie	----------|-|-----|---|--|--|-|
les uoldraieslireCar	--|------|-----|--|
issiruueldeuostreempireS irai presantermon	----|---|-|-----|-----||---|--------|--|
seruiseAuroi qui	------|-|--|--|
Bre taing n eiu stisePorcequecheualier me face	---⌫-----⌫-⌫|--⌫----|--|-|--|--------|-|---|
au r aiarmee laf aceNe hiaume elchief	--⌫-⌫-|----|-|-⌫--|-|-----|-|----|
pleuisAnulior queie soie uisTant	-----||--|--|--|-|---|--|---|
qu eli rois Artusmeceingn eL espee	--⌫|-|---|----|-|------⌫||----|
ledeing neC ard	-|-----⌫-|-⌫-||
autrui neuu elarmespr an dre.	-----|-|--⌫-|----|--⌫--⌫--||
Lempere res sanzplus atandr e R espo ntB iax	|------⌫--|---|---|------⌫|-⌫----⌫-|-⌫--|
Deune di tes	--|-|--⌫--|
Ci st païs	--⌫-|----|
estuos t re s toz quites	--|---⌫-⌫--⌫|--|-----|
E t Costantin obl e lariche	-⌫|---------⌫---⌫|-|----|
Nemedeueztenir por	-|-|----|----|--|
chich eQantsi beldon uos uu e ldon er	-----⌫|---|-|--|--|--|--⌫-⌫|---⌫-|
DemainuosferaicoronerEt c heualiers	-----|--|----|------|-|-⌫--------|
seroiz demain	-----|-----|
ToteG receier tanuostremainEt	---|-⌫---|---⌫|-|-----|---|-|
de nozbaronsrec eurez Sicon	-|--|-----|---⌫----|-|--|
reçoiure lesd euezLess eireman zetlesh omages .	--------|--|-⌫---|--|-⌫-------⌫|-|--|-⌫-----||
Quice ref usei ln estpassage s.	--|-|---⌫--|-⌫||--|--|----⌫||
Liuaslez antantlaprom ess eQ uel andemainaprésla	-|-----|-----|-|----⌫---⌫|-⌫-||-------|-----|-|
messeLe uialtses	----|-|----|--|
peresado ber Etdit	----|---⌫--|-|--|
qu iliert ma lués oub er En	-|-|---|--⌫----|-|-⌫-|-|
a utre païsqueelsuen.	-⌫---|----|--|-|---||
feireu olezmon	----|-⌫---|--|
buen D ecequeie uos ai requis Or	---|-⌫|-|--|-|--|-|-----|-|
medone zet	-|----⌫|-|
u eiret g risEt	-⌫--|-|-⌫--|-|
boenscheuaxet drasdesoie Careinçois	----|-----|-|---|-|---|--|-------|
queche ual ierssoi euoldrais eruirlero iAr tu Nai	--|---⌫---⌫---|---⌫|------|-⌫----|-|--⌫|--⌫-||-|
pasancorsigrant uertu Queiepoïss earmes	--|----|-|----|----|--|-|------⌫|----|
Nusnemanporroit	--|-||-|------|
retornerParproi ere ne parlos angeQue	-------|--|----⌫--|-|--|---⌫---|--|
ie n aille	-||----|
anlaterr eestr angeue oir	-|-|----⌫|----⌫---|--⌫--|
etses barons	-|--|-----|
estlirenons Dec orte isi e et	--|-|-----|-|-⌫----⌫---⌫|-|
Maint ha uth omepar lorperesce	----|--⌫-|-⌫--|--|--|------|
P erdent g rantlos	-⌫-----|-⌫---|--|
qua uoi rpor r oientSepa rla	-|-⌫---⌫|---⌫-⌫----|-|--⌫|-|
terrecheminoient.	----|----------||
N esacord en t pas	-⌫||-----⌫--⌫|--|
bien ansanble Repose tlossi con mo isan bleCar	---|-------|----|-⌫|--|-|--|--⌫|---⌫--|--|
d e nulerien ne s alos e Richeshomq ui	-⌫|---|---|-||----⌫|-----|--|-⌫-|
toziorzre pose Ensi s ontcont raire	--|---|--⌫---|---|-⌫--|----⌫----|
et diu ers.	-|---⌫--||
Etcilestasona u oir	-|--|--||--|-⌫-⌫--|
sers Quitoz io rz lam asseeta croist	---|--|--|--⌫-||--⌫---|-|-⌫-----|
Biauperetantconil	---|---|---|--|-|
meloist Los conquerreseietantu ailIu ue l	-|----|--|--------|-|-|---|-⌫--||-⌫--⌫|
metrep oin ne ettrauail.	----|-⌫---⌫-|-|------||
Decestechosesanzdotance Lemp erereotioieet	-|----|----|---|------||---⌫----|-|---|-|
p es ance Ioieadeceque ilantantQu eses	-⌫--⌫---|---||-|-|--|-|-----|--⌫|--|
filz a proesceantantEtpesance	---||------|-----|-|------|
delautre part Dece	-||----|---|-|-|
l ui sedepart .	-⌫-|-|-----||
Mespor lotroi qu	--|--||----|-|
ilena fait Quelqu epe sancequ ilen	-|-||---|------⌫|--⌫----|-|-|-|
aitLicouientsonboenconsant ir Q u	--|-|------|--|---|-------⌫-|-⌫|
am per ere s nedoit manti r.	--⌫---⌫---⌫|-|---|-----⌫||
Biax fi lz fetillessier	---|--⌫-|--|-|------|
ne doi Puisquaenor tandreuosuoiQue	-|--|---|-||---|-----|--|--|--|
neface uostr e pl e isi r.	-|---|-----⌫|--⌫-⌫---⌫||
An mestres ors poezseis i rDoretda rgent	-|--|----⌫--|---|----⌫-⌫||-|-||-⌫----|
plainne s deusbarges	-------⌫|---|-----|
Mes moutcouien t	--|---|------⌫|
Or estliuaslezbienheitie z	-|--|-|-----|---|------⌫|
Et c ortoiset bien afeitiezQan ts es	-|-⌫-----|-|---|-------|---⌫|-⌫-|
p eres tant liprometQu a	-⌫---|---|-|-----|-||
bandonsestresorsli metEtsi l	-----|--|------|-|--|-|-||
enoreetlicomande Que larg emantdoint	----|-|-|------|--|----⌫----|----|
etd espand e Etsili ditre is onp orcoi	-|-⌫------⌫|-|-|-|--|--⌫--⌫-|-⌫-|--|
Biax filzfetildecemecroiQ u e Largesce	---|---|--|-|-|-|-|---|-⌫-⌫|-------|
est da meetreïne	--|--⌫-|-|-----|
Quitotesue r tuzanlumine Nenes tm iegrief	--|----|--⌫-⌫--|-------|-||--⌫|-⌫-|----|
A quelb ienc ilsepu e ttornerIatant	|---|-⌫--|-⌫-|-|--⌫-⌫|-----|-|---|
nesoitpuissanzne richesNesoit	-|---|-------|-|-----|-|---|
honizseil estchichesQui	----|-|-|--|------|--|
d a utre b ie n	|-⌫---|-⌫--⌫|
sanzgrace Que largesceloernefaceParsoi	---|----|--|-------|---|-|---|--|--|
fetprodomelarge sceCequene	--|------|-----⌫--|-|--|-|
puetfeirehaute sceNecor teisien esa uo irNegentillesce ne	---|----|-----⌫--|-|---⌫-----|-⌫|--⌫--⌫-|-|----------|-|
auoirN e forceneche ua leri eNeproescene	----|-⌫|----|-|---⌫--⌫----⌫|-|------|-|
s eignorie Nebiautez	-⌫-------|-|------|
nenuleautrechose Mes tot	-|---|----|----|--|--|
ausico mela roseEstplusquenule	---|--⌫-|-|---|--|---|--|---|
autreflorsb ele Qant el e neistfres che et	----|----|-⌫--|---|--⌫|----|----⌫--|-|
nou ele Ein silaou largesceau ient	---⌫--|---⌫-|-|-|-------|--⌫---|
Desort otesuertuz setient	----|-⌫---|-----|-|----|
E tlesbontezqueelet r ueue	-⌫|--|-----|--|--|-⌫-⌫---|
Anprodom equibienseprueueFet	-|------⌫|--|---|-|-----|--|
doble smonter.	-----⌫|-----||
largesceaco nt erQue	-------||--⌫--⌫-|--|
nandi roi e	|-|--⌫---⌫|
la m itié .	-|-⌫----||
Bienali uaslez esploit iéDe quanqu	---||-|-----|-------⌫--|-|-----|
ilaquiset roué	-||---|-|----|
Carses peresliatr ouéT o tcequil	--|--|----|-||--⌫---|-⌫-⌫|-|-|-|
l iuin tacreante.	-⌫|---⌫||------||
L emper erizfutmout dolante	|-----⌫---|--|---|------|
Qant delauoieoïparl er	---|-|-|---|--|----⌫-|
Ou sesfilz an deuoital er .	-|--|---|-|-----|--⌫-||
Mes quiqu anai t duelnep esance Ne	--|--|-|-|--⌫|---|-|-⌫-----|-|
qui quelitorta enfance Nequi	--|--|-|---||------|-|--|
quelibla smene lotLi uaslez	--|-|---⌫--|-|--|-|-----|
au plust ostqu ilp otComan de sesnes	-|---|-⌫--|-|-|-⌫-|-----⌫-|--|--|
a prester Carilniu ialtplusar es te r	-⌫------|--|-|||-⌫---|---|--⌫--⌫--⌫|
Ans on p aïs plu slon guemant	-|-⌫-|-⌫---|---⌫|---⌫------|
Les nesparson	--|--|--|--|
comandema ntFurentcharg iees ce lenuitDeuinde	---------⌫-|-----|-----⌫---|--⌫-|---|-|--|-|
cha r etdebescuit.	---⌫|-|-|------||
Les n essont	--|-⌫-|---|
chargiees auport	--------|-|---|
Etl andemainagrantdeportuintAlixandresel sablon	-||-------||----|-----|---|---------|-|-----|
Etauuecluisi co np aignon	-|----|--|-|--⌫--⌫-----|
estoientdelauoie .	-------|-|-|---||
Liemperereslescon uoieE tl	-|--------|--|---⌫---|-⌫||
em pereri z cui mout poise.	--⌫------⌫|--|---|----||
tru e ue ntlezla faloise Lesmariniers dedanzle snes.	---⌫-⌫--⌫-|--|-|------|--|--------|-----|--⌫|--||
L am ers fupeisibleetsoésLi	-⌫|-⌫--|-|-------|-|----|-|
uanzdolzet liairs	---|---|-|-|---|
Alixandrest ozpremerainsQantde son	---------|-⌫-|---------|---|-|--|
p e re fupartiz Aucongi e ́de l empereriz	-⌫-⌫-|-|-----|-|-----⌫-⌫|-||--------|
Q ui le cue ra dolanteluantreDelan ef	-⌫-|-|---⌫||-----|-|-----|-|-|-⌫-|
anantreEtsic onpaigno n auueclui Ansanblequatre	-|----|-|-|-⌫--------⌫|----|--|-------|-----|
troietduiTa ncentdantrer sanzatan due .	---|-|--|--⌫----||-----|---|----⌫--||
Tantostfulauoil etan due Et	------|-|-|----⌫|---⌫--|-|
labargedesae ncree.	-|----|-----⌫----||
Cildeterre cuipasnagre eDel	--|-|----|--|--||----⌫|--|
uasletquealer an	-----|--|---|-|
uoien t Tantconil pueent	-----⌫|---|--|-|-----|
lesconuoient De	--|--------|-|
laueüe delor	-|----|-|--|
ialzEtporcequ eilpuis sentmi alz Etp lus	---|-|--|-|--⌫|-|----⌫---|--⌫--|-|-⌫--|
longuemant esgarderS anuontt uit	---------|-------||-|---|-⌫--|
ansanble monter Lezlamarine an .i.	-------|-----|--|-|-----|-|--|
D iluecesgardentl oren ui	|----|--------|-⌫-|--⌫-|
Tantcon ilpueent plu s	---|--|-|-----|---⌫|
ueoirLor ami l	----|--|--||
es gard entpor uoirQu e deluaslet mou tl orenuieEt	--⌫----⌫--|--|---|--⌫|--|-----|---⌫|-⌫-|----|-|
Dex a dr oit port le conduieSan zan co n b r ieret	--||--⌫--|---|-|------|---⌫|--⌫--⌫-⌫-⌫-⌫--|-|
sa n z p eril En la mer	--⌫-⌫|-⌫---|-|-|--|
furenttota uril Et unep ar tie de	-----|--|-⌫---|-|--|-⌫--⌫--|-|
S anzgrantp erilet san z esmaiuindre ntau	-⌫--|----|-⌫---|-|---⌫|----|------⌫-|-|
iorantreue spres	--|----|--⌫----|
etnone Gietentencresi on tportpri s.	-|---|------|----|-|--⌫|---|---⌫||
Liua slet q uin	-|--⌫---|-⌫-||
orentaprisAso frir meseisenepainne En mer	----|----||--⌫---|------|-|-----|-|--|
q u i ne lorfupas	-⌫-⌫|-|--|-|--|
sain ne Ore ntlongue mantdemore ́Tant que	----⌫-|---⌫-|------⌫---|------⌫|---|--|
descoloré Etafeblifu rentetuainTuitl i	---------|-|-----|--⌫---|-|---|---|-⌫|
p lus f ortet li pluss ain.	-⌫--|-⌫--|-|-|---|-⌫--||
Etn eporquantgrantio iefont Qantde la meresc hapé	-|-⌫--------|----|--⌫-|---|---|-|-|--|---⌫----|
sont Etuenula o u iluoloient.	---|-|---|-|-⌫|-|-------||
PorcequeformantsedoloientDes ozHan ton ese	--|-|--|------|-|-------|---⌫-|---⌫---⌫|-|
re mainnentLa n uitet grantioiede mainne ntEtfont	--⌫-------|-|-⌫--|-|----|---|--⌫------⌫-|-|---|
de mander et anquerr eSeliroisestanEingleterre	--⌫-----|-|-------⌫|-|-|---|--|-|----------|
dist qui le staGuin cestreEt quemout	---|-|-⌫|-⌫-||----⌫-----|-|--|---|
por rontestreS i luuelent l euerparmatin Ets	---⌫---|----||-⌫|------|-⌫---|--|----|-||
ilt ienentle	-|-⌫-----|-|
dr oitchemin.	--⌫--|-----||
Liuasletparmatinses uo illentSi s	-|-----|--|----||--⌫--⌫-----|-||
atornentetaparoille nt	-------|-|---------⌫-|
E t quant il furentatornéDeHan to ne	-⌫|----|-|-----|------|-|---⌫--⌫-|
s anson ttorné Si	|-|---⌫|-----|-|
droit chemin	----|-----|
tenuTantqua	---|---|-||
Guincestresontuen uOu	---------|---|---⌫|-|
liro isesto it a s eior.	-|--⌫-|----⌫-||-⌫---||
Einçoi s quil	-------⌫|-|-|
fust prime	---|----|
deior F urent a cort	-|--|-⌫----||---|
uen ul i Gre ́.	---⌫|-⌫|---⌫||
Au pie ́ de scendent	-|---⌫|--⌫-------|
Lie scu ier	-|-⌫---⌫--|
che ualRemest rent anla cor t aualEtli	---⌫--|------⌫---|-|-|---⌫|---|-|-|
uasletmonten tamont Deuant	-----|------⌫|----|-----|
lemeillorro i	-|------|--⌫|
delmontQuionques fustne ia	--|---|--|-----|---|-|-|
liro isAr tusles uoitMoutli	-|--⌫-|--⌫--|--|---|---|-|
pleisentetabeli ssentMesainzque	-------|-|-----⌫----|--|---|--|
deuantluiuenis sentOstentl es ma ntia xdelor	-----|--|-----⌫---|-----|-⌫-|--⌫----⌫|-|--|
cosQue lannelestenist	--|--||-|-|--|-----|
Einsitr estuitdesafubl éAn son tdeuantl e roi	----|--⌫-----|--------⌫-|-|---⌫|-----|-⌫|--|
Tuitlibaronlesesg ar d o ien tPor ce quebi a x et	---|-|----|--|---⌫--⌫-⌫-⌫---⌫|--|-|--|--⌫-⌫|-|
gen zl es uoient Carli	---⌫|-⌫-|-----|--|-|
u asletmout l orpleisoientNecuide ntp as que il	-⌫----|---|-⌫-|---------|-|-----⌫-|-⌫-|--|-|
nesoient Tuitde conte setderoifilE t	-|-----|---|-|-----⌫|-|-|--|--|-⌫|
por uoi r s i estoient	--|---⌫|-⌫|-------|
sont beldel o r aageGentetbienfetde	---|--|-|-⌫-⌫|---|---|-|---|--|-|
lonc c orssa g e	---|-⌫-----⌫-⌫|
Etles robes queiluestoient D un drapet	-|--|----|--|-|--------||-|---|-|
dunetai ll ee stoientD un	|--|---⌫--⌫|-⌫------||-|
sanblant etd	-------|-||
Do ze furent	--⌫-|-----|
sanzlors eignor	---|--|-⌫-----|
diraitantsa nzplusQuemia udr e sdel uine fu	----|---|--⌫-|---|--|---⌫---⌫-⌫|-|-⌫-|-|-|
nusMainssanz	--|----|---|
orgueletsanzdesro i	-----|-|---|-----⌫|
Desfublez f udeuantleroi Quimo u tfu	--------|-⌫|-----|-|--|--|--⌫-⌫|-|
bien tailli ezDeuan t	---|------⌫-|-----⌫|
luisestage noilli ez Ettuit liautreparamor	--||--|---⌫------⌫-|-|---|-|----|--|---|
Sagenoillentl ezlorseignor	|----------|-⌫-|--|------|
Ali xandres leroisalueQuila	---⌫------|-|--|----|--|-|
lei ngueauoitesmolueAbien	---⌫---|----|------||---|
p arlerets agemant .	-⌫----|-|-⌫------||
Roisfetilsedeuosnema ntRenomee qu i	---|--|-|-|-|--|-|--⌫-|------|--⌫|
uos re nomeDes queDex fist	--|--⌫---|--|--|--|---|
lepremierhome Ne	-|------|---|-|
nasquideuos trepuissance	-----|-|---⌫--|--------|
Rois qui anDeu eüs tcreanceRoisl i	---|--|-|--|----⌫|------|---|-⌫|
renonsqui deuo scort	-----|--|-|--⌫|---|
Maamenéauostr e c or tPoruosseruir	||-----||-----⌫|-⌫--⌫|--|--|-----|
e te nor e rEtsiuoldrai ta nt	-⌫|-⌫---⌫-⌫|-|||------|--⌫-|
demorerQ uecheuali e rs	------|-⌫-|-------⌫-⌫-|
soienouia xSemes seruises	---|-----⌫|-|--|-------|
uosestbiaxDeuostrem ain	--|--|---|-|-----|-⌫--|
n ondelautr uiCarse de la	-⌫-|-||----⌫-|--|-|-|-|
uostre nel s ui Nes erai	-----|--|-⌫-|-|-⌫---|
cheualierscla mez.	---------|---⌫--||
Se u os ta ntmonse ruise	-|-⌫-|--⌫-|--|--⌫----|
amezQ u e cheualiermeuuilliez	---|-⌫-⌫|--------|-|-------|
faireRetenezmoiroisde bonair eEt mesconpaignonsquici	----|------|--|---|--⌫------⌫|-|--|----------|--|-|
L iro istotma intenant resp ontA misfeti ln erefus	-⌫|--⌫-|--|--⌫-------|----⌫--|-⌫--|--|-⌫|-⌫|----|
m ie N euo s	-⌫-|-⌫|--⌫|
conpaignieMes bienueignant	---------|--|---|-------|
soiez uo stuitCarbien s anbleze tie	----|--⌫|---|--|---|-⌫-----|-⌫|-|
le cuit Que uossoiez	-|---|--|--|----|
filde hauz homes.	--|-|---|----||
DomestesuosDe	--|----|--|-|
Gre c eso mes.	---⌫-⌫|--⌫--||
Qu iesttesperesPar f oi sir eliemp ereres	--⌫|--|--|----|--|-⌫-|---⌫|-|---⌫-----|
Etcomant as n onb iaxam isAlixa ndresmefunons	-|-----|-|-⌫-|-⌫--|--⌫-|-----⌫----|-|-|---|
misLaoug ereçuiseletcre smeEtcr estianté	--|-|-|-⌫|-----|--|-|---⌫--|-|--⌫--------|
etbaptesme .	-|-------||
A lixa ndre bia xamisc hiers Ieuosretieng mout uol antiers	-⌫----⌫---|---⌫|---|-⌫----|-|--|------|---|---⌫------|
Etmout me plest	-|---|-|----|
etmou t me hei te	-|---⌫|-|---⌫-|
mauezg rant enor feite Qant uenuz	|---|-⌫---|---|----|---|----|
estesa ma cort.	----||-|---||
Moutu uelquel	---|-⌫--|--||
enuos i enortComfranc	-|--||----|--|----|
uaslet etsage et	-----|-|---|-|
Tr opauez estéagenolz Releuezsusieluos	--⌫-|---|----||-----|------|--|--|--|
s oie zdes	-⌫---⌫|--|
ore e n auan t Demacortetde	--|-⌫|----⌫|-|-|---|-|-|
mes priuezQuab oen por t estes ari uez.	--|-----|-||-⌫--|---⌫|----|---⌫--||
At antselie uentliG rezoisLié	--⌫--|-|---⌫---|-|-⌫-----|---|
sontqu antsilesaliroisDeb oneiremantr etenuz.	---|--⌫--|-|--||-|---|---⌫---------|-⌫-----||
Bienest Ali xandres uen uzC ar arienq uil	---|--|---⌫------|---⌫-|-⌫-||---|-⌫|-|
uuell e nefautNan lacort na	-----⌫|-|---||-|-|---|||
hautQ uibel nel apialt	---|-⌫-|--|-||-----|
etacuelle.	-|------||
Et cilquipas	-|--|--|--|
an orguelleNep lusnan estnobles	-|-------|-|-⌫--||-|--|-----|
neco inte A	-|--⌫---||
monseign orGauuainsacointeEt	--------⌫-|------||------|-|
as autre spar u net	-|-----⌫|--|-⌫|-|
Mou t sefeta me ra	---⌫|-|--|-⌫--⌫||
chascunNesme ssireGa uuainstant l	------|--|--⌫----|--⌫-----|---||
a immeQu am ietconpaignon leclaimme	-⌫---|-|--⌫|-|---------|-|------|
En laui lech ie ́s.i.	-|-|--⌫-|--⌫--⌫-|--|
borioisOrent	------|----|
prisostel liGrezois	---|----|-|------|
Lem eillorqu il	-|-⌫-----|-|-|
po rentauoir .	--⌫---|----||
Al ixandres otgrantauoir DeCostantino bleaporté	--⌫-------|-|----|----|-|----------⌫--|------|
Ace que li o tcomandé Liemperere	|-|--|-|-⌫|-------|-|-------|
et co n seilliéQueson cuer eüst esue il liéAb ien	-|--⌫-⌫-------|--|--|---|----|----⌫--⌫---||-⌫--|
doneretadespand reuoldra sortoteri en antendr e	----|-||-------⌫-|-----|--|---|--⌫-|-------⌫|
Mout iant ant etm et gran t	---||---⌫--|-|-⌫-|----⌫|
painneBele uie	-----|---|--|
a sonostel mainneEtla rgemantdone	|--|----|-----|-|--⌫------|---|
etdespant Sicoma sa richesceapant	-|------|-|--||-|-------|----|
Etsic o n ses cuers	-|-|-⌫-⌫|--|----|
len cons oi lle	|-|----⌫--⌫--|
Trest otelacorz	-----⌫--|-|---|
s a nm eruoilleOuc e queildesp antest p ris	|-⌫|-⌫-------|-|-⌫|--|-|----⌫--|--|-⌫--|
atoz ch euaxd epris Q u e	|--|--⌫---|-⌫|---|-⌫-⌫|
de saterreot amenez.	-|-|----|-|-----||
T antsest Alixandr espenez Ettan tfe t	-⌫--||--|--------⌫-|----|-|---⌫|--⌫|
bel seruiseQue	--|------|--|
moutl aimm e liroiset	---||----⌫|-|---|-|
pris e Etli ba ronet	----⌫|-|-|--⌫--|-|
lar ei ̈ ne.	-|-⌫--⌫-⌫-||
Li roisArtusancelt ermineSan uost	-|---|----|-|--|-⌫-----||-|---|
anBretaignepa sser	-|--------|--⌫---|
Tozsesbaronsfist ama sser Por	--|--|-----|---|---⌫---|--|
c onsoilquerr eet de mander	-⌫-----|-----⌫|-|--⌫-----|
Acuiilp orra comanderEinglet erret an tqui lreuein gne	|--|-|-⌫---|-------|-------⌫---|-⌫--⌫|-|-⌫|------⌫--|
Quianpes la	--|-|--|-|
ga rtet m aintein gn e.	--⌫-|-|-⌫-------⌫--⌫||
Pa rle consoildetozansanbleF ucomandee	--⌫|-|------|-|--|-------|-⌫|-------|
c e mesanble Auconte AngrésdeGuine sores Car il	-⌫|-|-----|-|----|------|-|-----⌫----|--|-|
