S ii ertilsi	-⌫|-⌫--|-|-|
re spuntbaudement	--⌫----|--------|
Sirechier çoemest uispar	---|----|---||--|--|--|
lemien escïent	-|---|-------|
Ke uus este slire is	-|--|----⌫|-|--⌫-|
u ceste t erre apent.	|----|-⌫---|-----|
Bienme f ait a seür	---|-|-⌫--||----|
uostrepr am etemen t	-----|--⌫--⌫------⌫|
Purçoed iraiuerité	--|---|-⌫---|------|
senz nul r etenem ent	---|--|-⌫------⌫--|
[P armi trestutiçokimisperes	--⌫---|------|---|-|--|----|
ueirement]	---------|
Par ses fa i zkil[fist]	--|--|--⌫-⌫||-|-----|
fu faidisuersme inte	-|-----|---|--⌫---|
Misperesfudunsbers uaillanthom durement	--|----|--|--|---|-------|--|-------|
Aa ̈lufada nun	--⌫---|-||--|
sima gest ene	-|-|----⌫|-|
EnSuddenefud nez	-|------|--|--|
si latintlongement	-|-|---|--------|
ReisSilaufle	---|-----|-|
tr o uasi·ln orritbone ment.	--⌫-⌫-|---|-⌫----|----⌫----|
Apres fukoneü	----|-|-----|
par Deucoma ndement	--|--|----⌫------|
Quiliertde gesterea ldescenduue irement	-|-----|-|----|---⌫|-------|--⌫------|
N ewu f uBad er ouf desafille	-⌫--|-⌫|---⌫--⌫--|-|-|----|
alcorsgent–	-|---|---||
Goldeburcoute[ n ]nunasun	--------|--|--⌫-⌫|--||--|
bapti smement.	-----⌫-------|
Nesaisiunc oïstes de[s]reis	-|--|-|--|------|----|---|
telp arlem ent	--|-⌫-----⌫--|
P ruz ehardifurentdeboncunte ne ment	-⌫--||----|-----|-|--|-----⌫--⌫---|
[Me soresu nttuz aleza	---⌫|--|--⌫-|--|---||
lu rdefin ement.]	--⌫|-----⌫------|
Desanmesaitmerci	--|----|--|----|
lireisomnipotent	-|---|---------|
Quantçoe fudko neükeAaloffud	----|---|--|--⌫---|-|----|--|
Qui lfu ne fs Ba dero f lebon	-|-⌫|-|--⌫-|--⌫----⌫|-|--|
e l alosé	||-----|
K iiert su rAlem aunsenperere clam é[f.4b]	-⌫|---|--⌫|----⌫---|-------|----⌫-------|
ad reisSilau s par	-|---|-----⌫|--|
grant amur doné	----|---|----|
Une fi lle quil out–le uis out coluré	--|--⌫--|-|-|--||-|--|--|------|
Eo uocli donaapres	|-⌫--|-|---|----|
seisu n regne ́ .	--|--⌫|-----⌫-⌫|
Dices duntio euu sdi	|---|---|--⌫|--⌫|-|
nezecrie d.	--||----⌫-|
Misperesf u d unc pru zenm ein tliu	--|----|-⌫|-⌫--|---⌫|-|-⌫---⌫|--|
Nesais i un cuusforfist mes	-|--|||--⌫|--|------|--|
n iert celé	|---|----|
Keioeneuus diëtute la ueri té.	-|--|-|--|---|---|-|----⌫---|
Puske mis perres ot	--|-|--|-----|-|
ler egnegou erné	-|-⌫---|---⌫----|
disanza pres ke Silau sfuf iné	--|--|-⌫---|-|-----⌫|-|-⌫---|
uindr ent surlui paiensfelun s ereneié	-----⌫--|--|--|-----|-----⌫||------|
l o raueitocismutdelu rp are nté	-⌫-⌫|----|---|--|-|--⌫|-⌫---⌫---|
Si·lsuzpristrent aunceis quil	---|-----------|------|-|-|
en fustacointé	-|---|-------|
Rodmundo ut nun	------|-⌫-|--|
li reisquiier t lur auué.	-|---|--|---⌫|--|-----|
Misperesifud	--|----||--|
prisparsaruist e fierté	---|--|-|-----⌫|------|
ne u outkeuen i st sun barné.	-|-⌫--|-|---⌫-⌫-|--|------|
Purtantsifud	--|---|-|--|
ocisainzkeuenis t Har dré	---|---|-|-----⌫|---⌫---|
Sunu ail lant senescha lkipurs	--|-⌫---⌫---|--------⌫|-|--||
ostiertalé .	--|---|----⌫|
Quantmis perresfu mortsifud	----|--|-----|-|---|-|--|
abaundon é	--------⌫-|
As p aien s lepaïssilunttut	-|-⌫----⌫|-|----|-||--|--|
Nerem ista mur ir	-|---⌫--||---⌫-|
genti llden u le ́é	-----⌫-|-|-⌫-⌫|-⌫--|
Forsu ilains suleme nt	---|-⌫-----|------⌫-|
nesaisi ·s	-|--|--⌫-|
ontle ssé	--|--⌫---|
ret enuzp urfaire lor	---⌫---|-⌫-|----|--|
D ausnesa i dire plusne	|--|-|--⌫|---|---|-|
saic umestalé.	--|-⌫-|--|----|
Mesdemeisaiio bie nquant[ui]	--|-|--|--|-|---⌫|----|---|
cesbar bara nz[f.5a ]	--|---⌫----⌫-------⌫|
[Ken]f umes	-|--|-⌫---|
poüruseioeecesenfanz	------||--||--|-----|
mei erentmis	--|----|--|
pa r lurapartenanz	--⌫|--|---------|
Trestutpurmei seruir de	------|--|--|-----|-|
fa iremes tal anz–	--⌫--|--|---⌫--||
F izderiches ba runsede curteisas quanz.	-⌫-|-|-----|--⌫---||-|------|--⌫-----|
Pur lap oürdicess inusfume smuc ̧aunz	--|-|-⌫---||---|-⌫|--|----⌫|---⌫----|
E nun iardinespesbienfoilluz	-⌫|-|-----|----|---|------|
e umbranz.	|-------|
Delan us [en]traistforsunculue rtsuduiau nz	-|-|-⌫-|---|-----|---|-|-----⌫-|-------⌫-|
Mes[il] nenus	--|---|-|--|
fistm alne·l	---|-⌫-|---|
Ainznu sliuraRod mu n d [i ]cel reiaffricanz	---|--⌫|----|---⌫--⌫-⌫|--⌫---|--|--------|
Eq uant nusoutueü	|-⌫---|--|--|---|
si·nfud repitëa nz	---|--|--------⌫-|
Ne n ussuf friperir	-|-⌫-|---⌫--|----|
qu[ e] ille	---⌫-|-|-|
fust uëaunz	---|------|
Mesesundesde merfu d misun	--|-|----|-|--|--⌫|--|-|
uiezc halan z	---|-⌫-----⌫|
Enusifumesmissanz autres marinanz	|--||----|--|---|-----|-------|
Nioutforssulnosc orsduntnusfussum	||--|---|--|--|-⌫--|---|--|-----|
Pusnu s fist traïnerasundes	--|--⌫|---|-------|-|----|
p erillanz	-⌫-------|
La n u sless erentc ilki nusfurenttrááunz	-|-⌫-⌫|----⌫----|-⌫-|-|--|-----|--------|
Asun dese alu ent pus	-|--⌫--||-|-⌫--|--|
furentreturnaunz.	-----|----------|
Mes c il nusariuap ars e s	--|-⌫-|--|----|-⌫-|-⌫-⌫|
dignes comanz	-----|-----|
Li souerein hau t	-|-------|---⌫|
perekilemundfudcriaunz.	---|-|-|---|--|-------|
Si fumes ariuéetielest lelignage	-|----|-----||---|--|-|------|
tuzki ne seit	--|-|-|---|
Ep armitutiçoe	|-⌫---|--|----|
sure usoiseignor age	--|-⌫-|-|-------⌫--|
Esi s uiioue ignurd[e] elstuzpareäge.	|-|-⌫-|----⌫----|---|--|--|--|-----|
Demunpere nesaisiuusfist on c	-|--|---|-|--|-|--|---|--⌫|
damage[f.5b]	-----------|
Karilfisten	--|-|---|-|
meint liuamu zhomes	----|--||--⌫|----|
Purc ̧oecrem ke tropaidescouertmu n	--|-⌫--|---|-|---|-|--------|--⌫|
M esbonreipoest is	-⌫-|--|--|-----⌫-|
don ezquitag e	---⌫-|------⌫|
Kecummentkeilseit	-|------|-|-|---|
neseumenseruag e	-|---|-|------⌫|
rei ha uçorkipurn uspristcharnage	--|--⌫----|-|--|-⌫-|----|-------|
Enlauirgeuaillantpar	-|-|----|-------|--|
angeli n n unzage–	------⌫|-⌫-----||
Unc neperdi	--|-|----|
pur ço erien	--|---⌫|---|
d esunpucelage.	-⌫|--|--------|
Parma fe idist lireisbeauuall ettu	--|-|--⌫|---|-|---|---|----⌫-|-|
Mut esg entilefrancbien	--|-|-⌫----||----|---|
pier tent unuisage.	----⌫|-|-⌫-|------|
Niaura s malpar mei – cestreit	||----⌫|--|--|--|||------|
forsenera g e–	-----||--⌫-⌫||
Ainzterendraisipus	---|-|------|-|--|
en coretunherit ag e.	--⌫---|--|-----⌫--⌫-|
T u ierspruz situ uisd e	-⌫|---|---|-|-|--|-⌫|
sene decorag e	--||-|-----⌫|
E ncoreteuenge ras biendelagestesaluage.	-⌫----|-|-----⌫--|---|-|-|----|-------|
Orsaibienbe auual l ez quelse st tis parentez.	-|--|---|--⌫-|---⌫-⌫-|----|-⌫-|--|--------|
Ormedicumasnunelpaïs	-|-|-|--|-|--|-|----|
du ntesnez.	--⌫-|-|---|
S ireditliuallez	-⌫--|--|-|-----|
B onreiaiez	-⌫-|--|---|
Certes çoe	-----|---|
dit li reisamisormecree z	--|-|---|---|-|-|----⌫|
u us niperdrezpar	-⌫-|||------|--|
meini serrezdamagez	--|||-----|------|
Plu sq uefussezmisfizde	---⌫|-⌫-|-----|--|--|-|
macharengendre z	-|---|--------⌫|
Ainzu usfraibien	---|-⌫-|---|---|
norrireau oz	-----|||-⌫-|
cumpaignunstuzk ebo n	----------|--|-⌫|--⌫|
grem ensaurez.	--||-|------|
Qua nt meuz	---⌫-|---|
serrezcr eüz siserre z adub ez	-----|--⌫---|-|-----⌫|----⌫-|
Si uusaïder ai	-|--|------⌫-|
purc haceruoz	----⌫----|--|
regn ez[f.6a]	----⌫-------|
Dunt uusontlifelunag ranttorteis s ille z.	---|--|--|-|----||-⌫---|---|---⌫-⌫----⌫-|
Çoe dientlibarun ki·s	---|----|-|----|---|
ontbienescutez	--|---|------|
unttuz[lur] diz	--|--|----|--|
bienoïz enotez	---|---||----|
Sir ereisprincipausmu tauez grant	---⌫|---|---------|--⌫|---|----|
Del seign ur	--|-----⌫-|
souerainseez uus mercïez.	-------|---|--|--------|
Lenu rrirbiencreum mut bien	-|--⌫---|---|----|--|---|
enpleierez .	----------⌫|
Ataunt sunt	|----|---|
li enfant tuitc haeita s espiez	-|-----|---|-⌫----||-⌫-|---|
Elirei sl es e nadparamu rredreciez	|-|---⌫|-⌫-|-⌫|-|--|---⌫|--------|
Pussi·s adt ut	--|---|-|-⌫-|
enren cpar	-|---⌫|--|
grant du lçorbeisiez.	----|--⌫----|-------|
Seignorç oeditli re isor se ëzescotant	------|--⌫-|--|-|--⌫-|-|--⌫--|-------|
Mi baru nnaturalsifaites muncomant.	-|----⌫|------|-|-----|--|------|
C hes cundeuus auratagarderun enfau nt	-⌫---⌫--|-|--|----||-----|-|-----⌫-|
Tresquetaunt ke	------|----|-|
ueëzkil seientc reügrant.	----||-|-----|-⌫---|-----|
Chascunafaitlesoen	------|----|-|---|
qu ilseienthonu rant	-|-|-----|----⌫---|
Tresqueilpussen t armes par fo r ce est r e portaunt.	-----||-|------⌫|----|--|--⌫-⌫-|---⌫-⌫|--------|
D espus les me rend ezioel	-⌫-|--|--|-|----⌫-|--||
ier cguerred onant	---⌫|-------⌫----|
Ni aur a kipardreit	||---⌫|-|--|----|
senpussees tr e	|-|----|--⌫--⌫|
p leignant.	-⌫--------|
Euusgarderez Hornseneschaldan	|--|-------|---|--------|--|
Tuzuoz afete menzdunt	--|--|-----⌫---|---|
u u sest essauant	-⌫-⌫|---⌫-|-----|
Issicum uusma mezli seiezenseignaunt.	---|--|--||-⌫--|-|----|-----------|
Çoeditlisen e schalSirei ssi legraaunt.	---|--|-|---⌫-⌫----|---|-⌫--|-|-------|
Mesun autre aitods eikili se it	--|-|----|--|-|-⌫-|-|-|--⌫-|
Quinurriraiod lui	--|-------|-|--|
siertodluiiua unt .	-|--|-|--|---⌫---⌫|
auez bie n ditdist Hu nl aflepoaun t.[f.6b]	---|---⌫|--|---|--⌫--⌫-|-|-----⌫-------|
Or le faitesissikar	-|-|-----|---|--|
auenaun t.	-------⌫-|
SireHor n beausamis orseiez choisissaunt.	---|---⌫|----|---|-|----|------------|
Siredi s t	---|--⌫-⌫|
liuallet H aderofuusdemant	-|-----|-⌫-----|--|-----|
Kar ilestdemuneede	--|-|--|-|--|--||
ioeli plus amaunt.	--|-|---|------|
Ilfud fiz da nH ardré	-|--|--|--⌫|-⌫-----|
le meillor	-|------|
cu mbatant	--⌫------|
Ke mi s peresoüsten	-|--⌫|----|----|-|
trestu tsu n uiuant	------⌫|--⌫|-----|
S enesc halenoutfaite s unmestre seriant.	-⌫-----⌫--|-|--|---||-⌫-|-----|-------|
Sunmes treaueit	--|---⌫--|----|
este ́d[e]enfauncealait ant	----⌫|---|-------|-----⌫--|
ReisSilaus qui ·lnorr i li g entilliuaillaun t.	---|-----|---⌫-|----⌫|-|-⌫----|-|--------⌫-|
Orsuntbiencumman dé parl e comandreal	-|---|---|------⌫--|--|-⌫|-----|---|
E bi ene ndoct rinélienfaunt principal	|--⌫-|-⌫-----⌫----|-|------|--------|
Messurtuzse	--|--|--|-|
pena Herland lisenesch al	---|------|-|-------⌫-|
Ke nefussent li	-|-|------|-|
soenuersles a utres	---|---|--|-⌫----|
nesuntplus sauant ne se	-|---|---|-----|-|-|
pris e ̈unial	----⌫-⌫|-|--|
S aukunseüst	|----|-----|
au s mutlete n dreitam a l.	--⌫|--|-|--⌫-⌫----||-⌫-⌫-|
N estestrumentsuzcieldu n t sacethommortal	|--|--------|--|---|--⌫-⌫|----|--|-----|
Duntn epasttutegent	---|-⌫|---|---|---|
danHornle nperïal	--|---||-⌫-------|
De bois e deriuere refait ilautretal	-|---||-|-----|-----|-|-------|
D eskermir ent uzsens	|-------|-|-⌫-|---|
Nu lk iuestelpaïs	--⌫|-⌫|---|-|----|
u bureluc enda l	|----||-⌫----⌫|
Nul ne siet[en]u erslui bienmener	--|-|---|-----⌫--|--|---|----|
un cheu al	-|----⌫-|
Nulsiporte rescu odbucle decristal.	--|-|-----⌫|---|-|----|-|-------|
F ort ebelle fistDeus	-⌫--||--|-|---|---|
lis ireesperital	-|-⌫--|--------|
Nemais tielnier ttruuén ul	-|---|---||---⌫|-----|-⌫-|
homecharnal.[f.7a]	---|-------------|
Odtut çoesie st mut ehu mblese	-|--|---|-|-⌫-|--||--⌫----||
Quil nefereit d esu n	-|-|-|-----|-⌫|--⌫|
corshuniementuergundal	---|--------|--------|
