—uoiredistlne menpuis esclairier	|----|---||-||-|---|---------|
Que dem ain passeron tquantl aubei ertesclar cie	--|---⌫--|--------⌫|----||---|-⌫--|------⌫--|
GodefreideBoill on odle grandhar de ment	-------|-|-----⌫-|-|-|----|---⌫--⌫---|
Qui e nRo manieot esté	--|-⌫|--⌫----|-|----|
mu ltlungement	--⌫-|--------|
FuretornezariereDeuli	-|-------|-----|--|-|
soiten pres ent	---|-|----⌫--|
Porendro i t lauit aille	--|-----⌫-⌫|-|---⌫----|
dontilotescha rsement	---|-|-|-----⌫------|
Mais quantde	---|----|-|
Buiamonapristl	------|-----||
auei nement	----⌫-----|
Telioieenout l educquet re stu t	--|---|-|--|-⌫|--|--|-⌫--⌫---⌫|
Et quantil	-|----|-|
sent r euire ntc esac hiezu oirement	|---⌫-⌫-----⌫-|-⌫|---⌫---|-⌫-------|
Plusgran tioie sef ire n tq u assez	---|----⌫|---|-|-⌫---⌫-⌫|-⌫|----|
nefun tparent .	-|---⌫|-----||
Leior uint li	-|--|---|-|
euesque s etleconte ensement	-------⌫|-|-|----|-------|
DanReimond de	--|------|-|
Sai ntGile od	---⌫-|---|-|
l egrantescient	-⌫|----|------|
Huitiorfurentens embleporatendrelorgen t.	---|--|-----|---⌫----|--|------|--|---⌫||
Alex islempererecuitote	----⌫-||-------|--|---|
Grec e apent	----⌫|----|
Pa rseslor	--⌫|--|--|
mandaparlement	----|--------|
Et qu e fusse ntsihomepar t e l deuisement	-|--⌫|-----⌫-|-|---|--|-⌫-⌫|---------|
Quelemarch ié	--|-|-----⌫--|
totplentiuoseme nt	--|------------⌫-|
l essiwistod	-⌫-|-----|-|
sonefforcem ent.	--|--------⌫--||
Ma is tutont re spondu quilnelferont naient	--⌫-|--|--|--⌫-----|-|-|--|-----|-----|
sur Damed eu n	--|-----⌫-||
a ur ont auoe ment	-⌫--⌫--|----⌫---|
Car porluisunttutmeüetsoen	--|--|--|---|--|---|-|---|
sont tut quite m ent.	---|--|-----⌫-⌫--||
QuantAlexislo ïquiDeusdoinstmarrem en t	----|-----||-⌫-|--|---|-----|------⌫--⌫|
Silor ad il ueé m archiéetpassement .	-|--|-|-|---|-⌫------|-|--------||
T uitli bar o nde l osten funt assemblement	-⌫--|-|---⌫-⌫|-||--|-|---|-----------|
Saueir coment	-----|-----|
illefront etcom fait ierem ent	-|-|----|-|--|----⌫-----⌫--|
Sipor ontcontenirendr o itlares tement	-|---⌫--|-------|----⌫-⌫-||----⌫-----|
Dan Raimon deSaintGiîlepa rla	--|-----|-|----|-----|--⌫--|
p remierement	-⌫----------|
Seign orsge uosdirai	-----⌫--|-|--|----|
lemienentendem ent	-|---|--------⌫--|
C istGri ffon	-⌫--|---⌫---|
s untfelon etp laind utr agemen t	-⌫--|----|-|-⌫---||---⌫------⌫|
Ets emainent uersDeuet uèrs nosmalement	-|-⌫|------|---|--|-|----|--|-------|
Etnosauonsicimeruei llusai oste ment.	-|--|----|--|------⌫---|--⌫----⌫---||
Etauonsicimeruillous iostement	-|----|--|---------|--------|
S Alexislnefaitnostre t alent	|-----||-|---|-----|-⌫----|
Ielobienetque	-|-|---|-|--|
Asail lonssacitéquiu ers	-----⌫---|-|----|--|-⌫--|
Griioisso ntplaindengien et	------|--⌫-|----||-----|-|
ded eceuem ent	-|-⌫------⌫--|
Maiscoart etlaniersont sansd effen dement	---|----|-|-----|---|---|-⌫-----⌫-----|
Plusualent.xx	---|-----||-|
.desnosquenef ontde slor.	|--|--|--|-|-⌫--|--⌫|--||
Semp re s lesaro ns pri slem ien esc i ent	----⌫--⌫|--|---⌫-|---⌫|-|-⌫--|---⌫-⌫--|
P uisfero nsde laterren ostr e.	-⌫--|----⌫-|-|-|----|-⌫----⌫||
Or endites	-|-|----|
au tre ceque chas cu ns e n	--⌫--|-|--|----⌫--⌫-|-⌫|
Carie enaitdit lemi en	--|-|-|--|--|-|--⌫-|
— Deudist Buiemo ns ci amal	|--|---|------⌫-|-||--|
somesci uenuDeutot puremen t	----|-|---|--|--|-------⌫|
destr uireseille	-----⌫---|-|-|-|
t ornera rrieren i a.	-⌫----|-⌫-----|||||
c euie nt m iex	-⌫|---⌫-|-⌫--|
fairesonasegureme nt	----|--|---------⌫-|
Queiadescrestiensfaceon ociement.	--|-|--|--------|-----|-------||
Trest uit l	-----⌫--||
ontotriéfor sRaï monseulement	--|-----|---⌫|----⌫--|--------|
Au ditdant Buiemonsetiennentlipaumier	-|--|---|------|-|-------|-|------|
ForsRaī mon deGi lequi nel	---|----⌫--|-|--⌫-|--|--|
uoltotrier .	---|-----||
p ris .ii.pr eudōmes Alissandreet	-⌫--||-||--⌫-------|---------|-|
EtfurentLongu eb ar t etbonlatimi e r	-|-----|-----⌫--⌫--⌫|-|--|------⌫-⌫|
en uoientlo r ens ai gnier	--⌫-----|--⌫|---⌫--⌫----|
Au uecoxnenalere ntforsqueduiescuier.	--⌫--|-|--|-----⌫-|---|--|--|------||
L empe reortrouerentseant	|----⌫---|--------|----|
en. i. uergier	-||||------|
hommesdesoz.	-----|----||
i.o liuier	||-⌫-----|
Ilsontal é au antson t	-|---|--⌫-|--⌫--||--⌫|
Quidi st le mpereorLa	--|--⌫-||-⌫------|-|
fors sont mess agie r.	---|---|----⌫----⌫||
L respontF aites	|------|-⌫----|
lesaprochier.	--|--------||
Dont sont auant uen uli cortoi s mes sag ier	---|---|----|---⌫|-|------⌫|---⌫---⌫--|
Ale xisaluerent roi droiturier	---⌫-|--------|--|---------|
Biaxsire entena	---|---|----||
t echautanu ier	-⌫|----|---⌫--|
Tre ́s bien as tu	---⌫-|---|-|-|
oï b iena.i. anentier	--|-⌫--|||||-|-----|
Que li bonsUrb ainsque Dexac hier	--|-|---|---⌫---|--|--||-⌫---|
Afaitascrestiensbaniretpr e echier	|---|-|--------|----|-|--⌫-⌫-----|
Q ue tu itcilqui Deu seuolroient	-⌫-|--⌫-|--|--|--|-|--------|
Et alersor p aiensetdesraisnier	-|---|--|-⌫----|-|----------|
Icele sainte terreouDexuolttrauillier	----|-----|----|-|--|---|---------|
Et ousouf risonc orsbatreet	-|-|----⌫-|--|-⌫--|----|-|
Seroi entt uitassox deDeul e iust icier .	-----⌫--|-⌫--|----|-|--|-⌫|----⌫----||
ceo ntilguerpi etenfa ntetmoillier	-|-⌫-|-|-----|-|----⌫-|-|-------|
E tsōmes ci	-⌫|-----|-|
uenu nosc ors trauil lier	---|--|-⌫--|------⌫---|
E tlapassionnost re Signoruen gier	-⌫|-|------|----⌫-|-----|---⌫---|
Maistuque lepue s faire	---|-|--|-|---⌫|----|
etqui doisaidier	-|--|---|-----|
Cuiiltolentplusterrene poroitp roisier	--|-|-----|---|----|-|-----|-⌫------|
Nesaipquelen	-|--||---|-|
uiexeslongier	---|--------|
Que ano stre	--||--⌫---|
passagenefai	------|-|--|
Maisuienen s a mbleo laloi essaucie r	---|---|--⌫-⌫-⌫---||-|--|--------⌫|
destruire et guerroier	--------|-|--------|
Olaforc edeles	|-|----⌫|-|--|
poroieschacier	------|------|
De tou teRōmeniequetuas a	-|---⌫-|-------|--|-|-||
t rait ier.	-⌫----⌫--||
et l anostreg ens i ironstot premier	-|-⌫|-----|-⌫--||----|--|------|
Et feronsla bataille auf er et a l	-|-----|-|-------|-|-⌫-|-|||
aurac it étant soit a mur	---|-⌫--⌫-|---|---||--|
N e uilenechas tel	-⌫|---|-|----⌫--|
tantsoite nha utrochier	---|---|-⌫|--⌫-|------|
N etantsoit ha ut leuée	-⌫|---|---|--⌫-|-----|
sormurne sor terri er	--|--|-|--|-----⌫-|
Quene laprenons etf açonstrebuchier	--|-|-|------|-|-⌫-----|---------|
la terrequant uen ra s	-|----|----|---⌫--⌫|
ena uras leDamede ul oie r	-|-⌫---|-|------⌫|-⌫---⌫|
Seloialment	-|--------|
te mainnesuers	-|------|---|
et sans tre chier	-|---|---⌫----|
