suid ed ire teus	--|-⌫|-⌫--|---|
ema n degentpu r	|--⌫-⌫-|---|--⌫|
tantneset a	---|-|--||
s a curtma nder	-⌫|---|--⌫---|
d ames necheualer s diuer s	-⌫---|-|--------⌫|-----⌫|
n e tantni dorama n telsuers	-⌫|---|||---|--⌫-⌫---|---|
net ant nelfera uolunters	-|-⌫--|-||---|--------|
s il e s tmalu eisuiander s	|-|-⌫-⌫|----⌫--|-------⌫|
kene dientc i le t	-|-|----|-⌫-⌫|-⌫|
audeparti r deheaitil	-|-------⌫|---|--|-|
telee st la custumequecurt	---|-⌫-|-|------|--|---|
ecestla drei te rule	||--|-|----⌫-|---|
kidetotesgenz	-|-|----|---|
estconmune	--|------|
si a itacune	-|-⌫-|----|
largesce saui sés	--------⌫|---⌫---|
le s se tpen nesq ue deuis ees	--⌫|--⌫|---⌫--|-⌫-|-----⌫--|
le sai enl eleore	--⌫|-|-||--|--|
purcoqu euolentemeuen t	--|-|--⌫|------|-|---⌫|
lele de co rteisi e	|--|-|--⌫------⌫|
lessetcurteissespennes di e	--|--|---------|-----|--⌫|
comentounonquels	-----|-|--|----|
deiuentestre	------|----|
lapremereenlele sene stre	-|------|-||--|----⌫---|
keioai c urte isieape ll ee	-|-|-|-⌫----⌫---|---⌫--⌫-|
ke dei tp remereestr enomee	-|---⌫|-⌫-----|----⌫|----|
ede la premereenleleasise	|-|-|------|-||--|----|
sie stdenorer sein te	-|-⌫-||-----|----⌫-|
ked rei zeste reisunse ten t	-|-⌫---⌫|--||-----|-|---⌫|
cheualersapar tent	--------|----⌫---|
kei lsedei u entregar de r	-|-⌫|-|---⌫-⌫--|-----⌫--⌫|
kepu r seinteeg lisehonu rer	-|--⌫|-----|--⌫---|----⌫--|
fucheualernoméanceis	-|-------|----|-----|
ne deit estre	-|---|----|
nomé c urte is	----|-⌫----⌫-|
nei aneli ertne	-|-⌫|-|-|--|-|
kisainteeglise deshonure	-|-----|-----|--------|
es a che z ben quequenusdie	|-⌫-⌫---⌫|--|-----|--|--|
lap lusbe le	-|-⌫--|--⌫-|
curte isie	-----⌫---|
ou nussepuissedemorer	-|--|-|-----|------|
k e de sa inte eglisehonurer	-⌫|-|--⌫---|-----|------|
lasecunde apres lapreme re	-|------|----|-|-----⌫-|
queleesteleestdetelmanere	----|--|--|--|-|--|-----|
kecheualerp ursabeute	-|-------|-⌫-|-|----|
purnulchos e	--|--|----⌫|
purnul bun te	--|--|---⌫-|
qu ilaittantne seitmeru eilus	-|-|--|---|-|---|----⌫----|
de ie estr e	--⌫-|----⌫|
kei lestueir se pro uerleuoil	-|-⌫|--|----⌫||---⌫--|-|---|
keentrecurtei siee	-|----|------⌫--||
ne pore ient c oniundre ense mble	-|----⌫---|-⌫-------|----⌫---|
pu rqueipur coquemeiresemble	--⌫|---|--|-|--|--|-------|
tuz poinzestdecurtei sie	--|----|--|-|------⌫--|
h onoredorgoil uil aini e	-⌫---|||-----|---⌫----⌫|
pennequitenir	----|--|----|
dei te n l elecestq u	---⌫|-⌫||--||--|-⌫|
sedei t cil que	-|---⌫|--|--|
c urt eisuult e stre	-⌫---⌫--|---|-⌫---|
de uanteruanteorn e p utestre	-|-----|------|-⌫|-⌫-|----|
sanzuilainie	---|-------|
karu anter	--|-⌫----|
nef i t unqu esbeuchant chant er	-|-⌫-⌫|----⌫-|--|----|-----⌫-|
deua nteor ainz	-|--⌫----|---|
sembleanui	-----|---|
ianul niert	-|--||---|
benloiezp arlu i	--|----|-⌫-|--⌫|
keueltes tredreit cheuale rs	-|---|--⌫--|----|-------⌫-|
ne deitmie es tretropparlers	-|---|--|--⌫--|---|------|
ke cheualerne dotez pas	-|-------|-|----|--|
deitferir hauteparlerbas	---|----|---||-----|--|
laqu ar te penn e de iio	-|--⌫--⌫-|----⌫|--⌫|-|
kelee ste lee stdetel	---|-⌫-|-⌫-|-⌫-|-|--|
kenulcurteis nedeitblamer	-|--|------|-|---|-----|
ioiemest uz i o rzioie amer	---|--|-⌫-|-⌫-⌫-|---|---|
ees tree ntreles esioianz	|--⌫--|-⌫---|--|-------|
faireioie cunme ioanz	----|---|----|----|
delu rsolazedeluruie	-|--⌫|----||-|--|--|
ache ualerest cu rte isi e	|---⌫----|--|--⌫---⌫---⌫|
oie uol unte rschancun s	--|---⌫----⌫-|-------⌫|
n ote se uie lese sun s	-⌫---⌫||---⌫--||---⌫|
eded uiz de menest re us	|---⌫--|-|------⌫--⌫-|
e o uec edeitestre	|-⌫-|-⌫|---|----|
sil iot dedam emed ire	|-||-|-|---⌫|---⌫--|
ki l face un autre	|-⌫|---|-|----|
chancundire	------|---|
sauezpurquein	----|--|---||
ke denuledame pa rnun	-|-|---|---|--⌫|--|
oi e cheuale ruilaini e	--⌫|-------⌫|-------⌫|
direquilne	---|-|-|-|
cuntredi ela	--------⌫|-|
en tuzpoinzeinzlideitdespleire	-|--|----|---|-|---|--------|
kequiestc u rteis ild eitfere	-|--|--|-⌫-⌫----|-|-⌫--|---|
samura sdam es si	|---|-⌫|---⌫-|-|
ke illesaint totespur une	-|-|--|---|----|--|--|
laquint epenne	-|-----⌫|----|
celedefentatuzc ur tei z	---|-----||--|-⌫--⌫---⌫|
une te ccheq ui	--|--⌫---|-⌫-|
smainecort	|----|---|
kartropiac ort	--|---|-|-⌫--|
quel es tl a tec checoe s t	---|--⌫|-⌫|---⌫--|-|-⌫-⌫|
c ele quedepourles	-⌫--|--|-|---|--|
ceusq uituzles	---|-⌫-|--|--|
celedointui lainie	---|----|--⌫-----|
aceusquede	|---|--|-|
luifuntlurm estre	--|---|--|-⌫----|
p ur codiqu icurteisueutestre	-⌫-|-|-|--⌫|------|---|----|
sil aseignure	|-||------||
keli sire ou	-|-|---|-|
seit delar gessedesirous	---|-|---⌫----|-------|
kepurce ne s eitanguisus	-|--|-|-|-⌫--|-------|
delbeldonsile do neal trui	--|--|--|||-|--⌫-|--⌫---|
nedeitest rep ense ́par	-|---|---⌫-|-⌫----⌫|--|
killedeslot ne cuntre die	|-|-|-----|-|------⌫--|
keneser eitpascurteisie	-|-|---⌫--|--|--------|
necilneimepassun seig nur	-|--||---|--|--|----⌫--|
kil lidesloiea	|-|-|------||
fereho nur	---|--⌫--|
pur ceus le dique mestres sunt	--|---|-|-|--|------|---|
keod lurrichesse ig nursuunt	-|-|--|-----|--⌫--⌫---|---|
ent uz paisprese loing	-|-⌫-|---|---||----|
neia en p lacene	-|-|-|-⌫---|-|
nauerunt alur se ignur m este r	|------||--|--⌫----|-⌫----⌫|
seruentd elosenger	------|-⌫|-------|
quanti lauent	----|-⌫|----|
que uns uffreit os	--|-|-⌫-------⌫-|
kesei td e	-|---⌫|-⌫|
pre ndre boso ingn os	---⌫---|----⌫----⌫-|
kiuengeencortpo rdeman der	-|----|-|---|--⌫|-----⌫--|
cil saillentpur cuntrema nder	--|-------|--|--------⌫---|
le don duntil aureint	-|--|---|-|------|
edie ntalurseignur	|---⌫-||--|------|
chascuns uusprentchascun	-------|--|----|------|
cist enportaapaskesrobe	---|------||-----|---|
c ist tren te sou s cistautre uint	-⌫--|----⌫-|---⌫|---|----|---|
dilueca ter iorsireui n t	|----||--|--|-|----⌫-⌫|
oreest uenuss i u ent	--|--|----|-⌫|-⌫--|
s i re fonti lsistnestpas	-⌫-⌫-|---|-⌫|---||--|--|
kile satret ne quilurdo ne	-|--⌫|----|-|--|--|--⌫-|
kie nlargesse	-|-⌫|-------|
saba ndone	|---⌫----|
largesse ne	-------|-|
issidie ntia	---|---⌫-|-|
be ldonquilnec ontre die nt	--⌫|--|-|-|-|-⌫-----⌫---⌫-|
souent rauentquequ ant qu il dient	-----|-----|--|--⌫---⌫-|-|----|
uenta nentquenentfont	---||---|--|---|---|
e lisir esa qui	|-|---⌫-||--|
lesueit s oue nt	--|---|-⌫---⌫-|
si sconu itben	-||----⌫-|--|
enenlerreitpurlur dizrien	||-|------|--|--|--|---|
tantestlargestan t	---|--|-----|---⌫|
est d e pris	--|-⌫|---|
adonerapris	|----|----|
kiln e se porei t	|-|-⌫|-|-----⌫|
kequ anques putas mainstenir	-|--⌫-----|--|-|----|----|
ne dunteplu ss eplus aueit	-|---||---⌫|-⌫|---|----|
ep lusquelienuiousueit	|-⌫--|--|-|------|---|
kildoune atuz efetlurben	|-|----||--||--|--|--|
e ne put fereles uen	|-|--|---|-|-⌫--|
siun saut res beu	-|--⌫|---⌫--|--|
quantilni pe r t coque	----|-|||--⌫-⌫|-|--|
l igr eu e	-⌫|--⌫--⌫|
gr euesi fette lestlu r ui e	--⌫--|-|--|--⌫|--|--⌫|--⌫|
asenuiousquilurennu ie	-|------|--|--|----⌫-|
lur greue qu antil ueient fere	--|----|--⌫--|-|-----|---|
large sceitelest lur afai re	-----⌫--|---|--|--|----⌫-|
sisemblepardreite reisun	-|-----|--|-----|-----|
lechienquigarde lemuillon	-|----|--|----|-|------|
come ntcauera i io	----⌫-||-----⌫|-|
tost proué	---|-----|
quantl ichens gistenmi le	----|-⌫|----|---|---|-|
muillune ilauent	------||-|----|
kepurmangeracel fain u en t	-|--|-----||--|---|-⌫--⌫|
lauach esu lelichen saut	-|----⌫|--⌫-|-|---|---|
cuntrelauac hesil	-----|-|---⌫-|-||
ec hace enloingtel	|-⌫---|-|----|--|
est lichens	--|-|----|
neueu lt l es s e rma nger purren s	-|---⌫-|-⌫--⌫-⌫-⌫|--⌫---|--|---⌫|
lauacheki admult gran tfaim	-|----|-|-|---|----⌫|---|
neil ne pu tmangerdefai n	-|-|-|--⌫|-----|-|---⌫|
telestlauiealosenger	--|--|-|--||-------|
desunseignur fetes loigner	-|--|------|--|--⌫------|
les francs	--|-----|
h omese bot e arer e	-⌫---||---⌫|----⌫|
e neu eutennule	|-|-⌫--|-|---|
kenulait parte nsun auer	-|--|--|---|-⌫|--|---|
pa r pro essenepar	--⌫|---⌫---|-|--|
neauer s nelifetbe n	-|----⌫|-|-|--|--⌫|
plusquelimu illun sfetauchen	---|--|-|--⌫-----⌫|--|-|---|
lasis tepeneapre nt pardreit	-|---⌫-|---|----⌫-|--|----|
kenulcorteis e stre nedeit	-|--|------|-⌫---|-|---|
couper e s nemesdissant	------⌫-⌫|-|---------|
kedesuilei nscoupsm esgisa n z	-|--|-----⌫-|----|-⌫------⌫-⌫|
nenestnulscorteiscustumers	-||--|---|------|--------|
ben sache qui	--|----|--|
estcheualers	--|--------|
p rent qu ilprent le peior	-⌫---|-|-|----|-|----|
de cheualercoupe ior	-|-------|-----⌫--|
putlen ben di retelreproche	--|--|--|--⌫-|--|-------|
lameinn e enla	-|---|-⌫|-|-|
n eputil pas beauscoupsauer	-⌫|--|-|--|----|----|---|
ance i scouentp ar	----⌫-⌫|-----|-⌫-|
keli coupliue ngentenuain	-|-|---|-|--⌫----|-|---|
ou enla b u cheouen la	-|-|-|-⌫-⌫--|-|-|-|
decheualersne di	-|--------|-|-|
qu entreautrescheua lers beaus gas	-|----|-----|-----⌫---|----|--|
ebeu scoup snedeie retrere	|---⌫|----⌫|-|---|------|
uilainie terre	-------|----|
es tpas henur s	--⌫|--|-----⌫|
ke ilcoupeit a slech eors	-|-|------|-⌫|----⌫---|
semedespl est	-|-|-----⌫--|
keparlurnon sleis se le	-|--|--|---⌫|----⌫-|-|
tene ntc ogiu parti	----⌫-|-⌫|--|----|
sidutunm auuai s giu	-|--|-|-⌫-----⌫|--|
kilsuntch e ualers	|-|---|--⌫-⌫-----|
demieleccheorsdeme	---||--------|---|
queleleccheorsse fu nt	--|-|--------|-|--⌫-|
estremesnesu nt	----|--|-|--⌫-|
neianele serunt par	-|-|-|-|-----|--|
ke nulleccher resneporeit	-|--|-------⌫--|-|-----|
lechieres echeualersestr e	--------||--------|----⌫|
p urnu le ren queput	-⌫-|--⌫-|--|--|--|
ainz couent	---|-----|
seittut enters	---|--|-----|
ouleccher eso uche ualers	-|-------⌫-|-⌫|---⌫-----|
kelin unsdecheualerie	-|-|-⌫--|-|---------|
estdeseurezde l ecc herie	--|-------|-|-⌫---⌫----|
neian auendrapar	-|-||------|--|
que luntoille	--||-|-----|
alautr esunno n	||----⌫|--|--⌫|
ec il aueneitquefortune	||-|------|--|------|
kic untreresunmetranc u nn e	-|-⌫----|----|--|----⌫-⌫--⌫|
f eist quecheu alerfu tteus	-⌫---|--|----⌫---|--⌫|---|
cheualeremenestreus	-------||---------|
or e seitpose ́ adireueir	--⌫|---|----⌫||---|---|
que lescu deuren t	---⌫|---|------⌫|
quel escuco lege radire	---|---|-|----⌫||---|
