quitoutueut f eres ans	--|---|---|-⌫--|-⌫--|
ostela coute	---|-|----|
ettoz le sdras	-|--|--⌫|---|
ne isl estrain	--⌫-||------|
elemeismei mi stlamain	--|-----||--⌫-|-|---|
tor nelacouteetpuis	---⌫-|-|----|-|---|
o rleueuthautorleueutbas	-⌫|-|---|---|-|-|---|--|
abessier au spiez	-------|--⌫|---|
ore st licheuezt rophauciez	-|-⌫-|-|-----|-⌫--|------|
oreste s troit or	-|--|-⌫-⌫----|-|
est tropgrant	--|---|----|
orestaune partpendant	-|--||--|---|------|
s anorrice uamau diss ant	-⌫|------|-|---⌫----⌫--|
a sontalent	|--|-----|
au is liestque	--⌫-|-|--|--|
bie n estoit	---⌫|-----|
sauezporqoiqueel eauoit	----|--|--|--|--⌫|----|
lei o uenc elentroublié	-|-⌫-⌫----⌫-|----------|
eleot z z poi	--|-|-⌫|--|
li estm embre ́delui	-|--|-⌫-----⌫|-|--|
adon c c ommen ce	----⌫|-⌫-----⌫-|
la sse fetelequ epuet estre	--⌫--|--|--|--⌫|---|----|
ienegispasbienasenestr e	-|-|--|--|---||-------⌫|
orsuisord est re moiq uec haut	-|--|--|-⌫---⌫-|--|-⌫-|-⌫---|
ce neme done n eneuaut	-|-|-|---|-⌫|-|---|
queienaibien	--|-||-|---|
denulepart	-|---|---|
iadamedi eusnaiten	-|------⌫--||--|-|
s e nestlilisdontieme	-⌫||--|-|--|---|-|-|
ouplus sui tendrequenesueil	-|---|--|-----|--|-|----|
cue rune grantrage	---⌫|--|----|---|
quisi alum e monco ra g e	--|-|----⌫|--|--⌫--⌫-⌫|
q uantuu eil dormirsimefremis	-⌫---|--⌫--|-----|-|-|-----|
ormereli e fet o r megis	-|-|----⌫-⌫|-|-⌫|-|--|
oruu eilie ac eluipensser	-|--⌫--|-||-⌫---|------|
queie ui ierp a r cipasser	--|-|-|--|-⌫-⌫|-|-----|
etq u a i afere du	-|-⌫|-⌫||---|-|
cestla r iensqui plus mefet	|--|-|-⌫---|--|---|-|--|
quantmemembr edesabiau te	----|-|-----⌫|-|-|----⌫-|
biaus estque chaut de sa bonte	----|--|--|----|-|-|----|
ilestesp oir d ire toz plains	-|--|---⌫--||--|--|-----|
etan uieusfe let uilains	-|--⌫----|--⌫|-|------|
etquai ie d itq ua ilu ers	-|-|-|-|-⌫-|-⌫||-|-⌫--|
mespris porqoi	------|--|--|
blasmerl e do i	------|-⌫|--⌫|
por qo iloerieme doi	--|--⌫|---|-|-|--|
ilmesamble	-|-|-----|
moltdebonere	---|-------|
don tmeu ientordelfeloni e	---⌫|-|-⌫---|-|--|------⌫|
sozcielnahommequi nedie	--|---|||----|--|-|--|
quil nesoitbiausadesmesure	-|-|-|---|----||--------|
nu shomplusbele c re atur e	--⌫|--|---|---|-⌫--⌫----⌫|
ne uitne pue t es tremauue s	-|--|-|---⌫|--⌫--|-----⌫|
b l asme rai ia mais	-⌫-⌫----⌫--|--⌫---|
parfoi il est et	--|--|-|--|-|
biaus e t buens	----|-⌫|----|
et toi quech autquantil	-|--|--|--⌫--|----|-|
aquefere seroitilmiens	|--|---|-----|-|----|
ianesti lpasresonn e biens	-||--|-⌫|--|----|-⌫|----|
nedroiz que iep rengebaron	-|----|--|-|-⌫----|----|
separlecongie du roinon	-|--|-|-----|-|--|--|
congi ela sse si lonc respit	-----⌫|--⌫--|-|---|-----|
ia naurai ioi enedelit	-||----|---⌫|-|----|
iapardi eu se ie sens auoie	-|--|--⌫-|-|-|---|----|
lesiencon s eil niatendroi e	-|---|---⌫-⌫--|||--------⌫|
dont me u ientortelepar ole	---|-|-⌫---|-|---|---⌫--|
ora ins fui	---⌫--|--|
sageetorsuifole	---|-|-|--|---|
ueustupartoite lconsei lprendre	---|-|--|--|--⌫|------⌫|------|
etneteuient ilmieusatendr e	-|-|-|----|-|----|------⌫|
fillees de	----|-|-|
roin eetde roi	----⌫|-|-|--|
decepren dr aii ebienconroi	-|-|----⌫--⌫-|-⌫|---|-----|
seignoraurai nipuis	------|----|||---|
etseilnesta m onp lesir	-|-|-||--||-⌫-|-⌫----|
et q u estce dont	-|-⌫|--|-|---|
na ilbonte	||-|----|
quima orece l	--|||--|--⌫|
pletmandé	---|-----|
teplest ilbien o i l	-|----|-|---|-⌫-⌫|
mes iene sa ipas nene	--|-|-|--⌫|--|-|-|
commentiepeussesauoir	------|-|-----|-----|
comm entli deissel e	----⌫--|-|-----|-⌫|
uiauss ique	----|-⌫|--|
s eustbi en	-⌫---|--⌫-|
quaril me plest	---|-|-|----|
sortoute ri en	--|----|--⌫-|
et luietqu an quesli uoi	-|--|-|--⌫--⌫---|-|--|
pardieunemeporr o itdesplere	--|---|-|-|----⌫-⌫-|-------|
ie leui si	-|-|-|-|
ses piezotesestr iers d argent	--|---|-|-|----⌫---||-----|
q u elcolqueluis	-⌫-⌫-|--|---|--|
ieuilasele	-|-|-|---|
etleslorain s	-|--|------⌫|
et quelboucheporlu i besier	-|---|-----|--|--⌫|-----|
quantil s eoit sorledestrier	----|-|-⌫---|--|-|-------|
h e dieusporraiieuiuretan t	-⌫|----|-----|-|----|---⌫|
e usseamon talant	-⌫---||--|-----|
nela uroie pasc estsan zfaille	-||-⌫----|--||--|---⌫|-----|
entree sui	-----|--|
en gra ntbataille	-|---⌫-|-------|
a insisedeme nt epa rsoi	-⌫---|-|----⌫--⌫|--⌫|--|
toutenuitfu engrantesf roi	----|---|-|-|----|---⌫--|
orpenseorpleure et	-|----|-|-----|-|
orliplest queles er eliet	-|-|----|-|--|-⌫|-⌫----|
orsechastieorseconforte	-|-|------|-|-|-------|
et puissiu oudroitestremorte	-|---|-|-⌫------|----|----|
en teltorme nten	-|--|-----⌫-|-|
futoutenuit	-|----|---|
greueef uettr aueillé	-----|-⌫|-|--⌫-------|
etpuiszzpouassouagie	-|---|-|--|--------|
de cel t ormentde celemort	-|--|-⌫-----|-|---|---|
les ieus cl otetpuissis endort	--|---|--⌫-|-|---|-||-----|
ai nzquele iordeustluis ir	--⌫-|--|-|--|----|----⌫-|
seresueilla nepot	-|--------|-|--|
a inzuaestera	-⌫--|-|----||
lafenestre	-|-------|
gardaa d estre	----||-⌫----|
etasenestre	-||-------|
sauoirse uerroit	-----|-|------|
celuiquisilesprent	----|--|-||------|
etquan teleot	-|----⌫|--|-|
tant a tendu	---|-⌫----|
gardaaualsi	----|---|-|
de loinguenirle dam oisel	-|----|----|-|---⌫----|
mes onq uesmesneuit si	--|---⌫--|--|-|--|-|
nesibie n fetc ommeilli samble	-|-|---⌫|--|-⌫---|-|-|-----|
plaint so i	-----|--⌫|
etpuis souspir eett ranble	-|---|-------⌫|-|-⌫-----|
tantlesgar da	---||-----⌫-|
etf uen pes	-|-⌫|-|--|
commele po tueoir	----|-|--⌫|----|
e tquantelleuitesloingnié	-⌫|----|-|-|--|----------|
cuers ple ssent l ip ie	----|---⌫----|-⌫|-⌫-|
pasmee chiet	-----|----|
el pauement	-|-------|
lors recomenc e so ntor m ent	---|--------⌫|--⌫|---⌫-⌫--|
prim esliple stquele l e man t	----⌫-|-|---⌫-|-|--|-⌫|---⌫|
liuient aut retalant	-|----|---⌫-|-----|
etdistquele	-|---|-|--|
neset messa ge	-|--|-----⌫-|
cuieleostdi reson corag e	--|--|--|--⌫-|--|-----⌫|
lassefetelcomsuie npain e	----|--|-|--|--|-⌫|----⌫|
ce estamorsq u isimem a ine	-|--|----|-⌫-⌫|-|-|-⌫-⌫--|
onqu esmesnesoi	----⌫-|--|-|--|
rie nsdamer	---⌫-||---|
couientmalendurer	------|--|------|
amo r s mefet	---⌫-⌫|-|--|
souen ttram bler	-----⌫|----⌫---|
amorscon seiltrouer	----|---⌫---|-----|
sec ilque iaime	-|-⌫-|--||---|
autantmamast	-----||----|
e t ilseustc	-⌫|-|----||
pereleco ns en toit	---|-|--⌫--⌫--⌫---|
ieledeu roie au oirpardroit	-|-|---⌫---|--⌫--|--|----|
m es n estpasdroizquelereq uiere	-⌫-||--|--|----|--|-|---⌫----|
assezsommesd une	----|-----||--|
dun ebiaut eetdun	|--⌫|-----⌫|-||-|
nousne sommespasdun parage	---|-|-----|--||-|-----|
ilesta s se zdehautegent	-|--|-⌫-⌫--⌫|-|----|---|
sinesommes mieparent	-|-|-----|--|-----|
a insi uait parlide uisa nt	-⌫---|---|--|-|--⌫----⌫-|
cenem eu autn etant	-|-|-⌫|-⌫--|-⌫|---|
n e qu ant	-⌫|--⌫--|
decen amonp er e quefere	-|-|||--|-⌫--⌫|--|---|
il entent a s onautreafere	-|-----||-⌫-|----|----|
queporr aiie dont deuenir	--|----⌫-|-|---|------|
p orra i cesmaussou frir	-⌫----⌫|--|---|---⌫---|
man dermestuet oue nuoier	---⌫--||-----|-|-⌫-----|
mesmessageniosno ncier	--|------|||-|--⌫----|
ass ezua utmieusq u eie lidie	---⌫-|--⌫-|----|-⌫-⌫|-|-|--|
mesiedoutqu enemedesdie	--|-|---|--⌫|-|-|-----|
et sedu toutm escondiss oi t	-|-|-|---||---------⌫--⌫|
autremes sagequiferoit	----|---⌫---|-||-----|
nusne fera si bienla chose	--|-|---|-|---|-|----|
comcilcuieleestquantil	--|--|--|--|--|----|-|
quelpartle	---|---|-|
porrairetro uer	-----|-----⌫--|
comm entp or rai a	----⌫--|-⌫--⌫--||
luip a r ler	--|-⌫-⌫-⌫--|
dontn a uraiie	---||-⌫---|-|
don quesquant leuerrai leior	---⌫---|----|-|-----|-|--|
iem enistraiia	-||-|-----|-|
nel uerront	-||------|
cil quien lach a m breser ont	--|--|-|-|--⌫-⌫-⌫--|---⌫--|
sil atendr aiencestchemin	-||------⌫-|-|---|-----|
uie ntchasc un	---⌫-|-----⌫-|
quantertd esautres	----|--|-⌫-|-----|
esloin gniez	------⌫----|
gi raie tlic harraiaus piez	|-⌫--|-⌫|-|-⌫-----|--|---|
crierailuipordieumerci	------|--|--|---|----|
quantieli aurai	----|-|-|----|
con terailui pargranthaschie	---⌫----|--|--|----|------|
c omme ntsamormaenlacie	-⌫----⌫-||---|||------|
qu eestcedanesque	--⌫|--|-|----|--|
estd on ctess e ns ains i peri z	--|-⌫--⌫|--|-⌫-⌫-|----⌫|----⌫|
as tutoutehonte	-|-|----|----|
que lraget a	---⌫|---|||
e sc omm eue	-⌫--⌫---⌫--|
si foleet s ideruee	-|---|-|-⌫|-----|
quies tudimo i	--|-|-|-|--⌫|
ne seztuquees fillearoi	-|--|-|--|-|----||--|
oilfete lebienlecroi	--|--|-⌫-|---|-|---|
am orsnasoingdeseignor ie	--⌫--|||----|-|-------⌫-|
ciln aimepas bienqui	--||---|--|---|--|
lasseoraiie	----|-|-|-|
perdulesen s	----|-|---⌫|
c heuesu i engrant por pens	-⌫---|--⌫|-|----|---⌫---|
nesaiou uueillealerchacier	-|--|-|------|---|------|
quantnesauroie le sent ier	----|-|------|-|----⌫--|
cuichautce ne me	--|----|-|-|-|
grieuerien	-----|---|
amorsmi aider amo ltbien	----|||-----⌫|--⌫-|---|
quantceaditetdeuisé	----|-||--|-|------|
en soiconseil tr oué	-|--|------|--⌫---|
quele iiraace	-|--||--||-|
l an uit trespas s eet liiorsuient	-⌫|-⌫--|-------⌫-⌫|-|-|---|----|
toutelanuitfu end o lor	----|-|---|-|-|-⌫-⌫--|
ainznedormidesiauior	---|-|----|-|-|-|--|
sitostco mmel ac larte ui t	-|---|--⌫--|-⌫|-⌫----|--⌫|
toutcoiement	---|-------|
issi dulit	---|-|--|
merueilleestdamorsqu i	--------|--||----|--⌫|
qui toutembrace a	--|---|------||
sagehomm efetestresanz honte	---|----⌫|--|----|---|----|
sauo irqu il	----⌫-|-|-|
aitriensnel i	--|----|-|-⌫|
am or s e nseignea lerpar	--⌫--⌫|-⌫------|-⌫--|--|
seurement etsanzconduiz	--------|-|---|------|
pl u s so nt	--⌫-⌫|--⌫-|
tan t alecuer	---⌫||-|---|
felonetdur	----|-|--|
tant lachangie amors	---|||------|----|
tant lam ainec om me	---|-|-⌫---|-⌫--⌫-|
ore iusqua la	--|----||-|
am orsnegardedroit net or t	--⌫--|-|----|----|-|-⌫--⌫|
neis daneslaf illeau roi	---|----|-|-⌫---|-|--|
a ele i atreteuersso i	|--|-⌫|----|---|--⌫|
est dequelparage	--|-|---|-----|
ententpassonfo lcor age	-----|--|--|--⌫|---⌫--|
cuidesoitbien quanqu	----|---|---|-----|
hedieuscom meae mprismal ple t	-|----|---⌫-||-⌫----|--|---⌫|
el ealacha mbre	--⌫||-|---⌫---|
par zz guichet sen estale e	--|-|------||-|--|---⌫|
etuata ntcom chemin lidur e	-|-|--⌫-|--|-----|-|---⌫|
iusquesa ub oisne s asse ure	------|-⌫|-⌫--|-||----⌫--|
qu iestoitpres de	--⌫|-----|---|-|
ele lauoitbienes gardé	--||----|---|--⌫-----|
desfenestr esou ele	--|-------⌫-|-|--|
que leuallet iluesuen oit	--|-|-----|----|---⌫--|
lorssestlez	---||--|--|
zz b uisson ass ise	-|-⌫-----|---⌫--|
toutenueforssa c hemise	----|--|---|-|-⌫-----|
afuble e fu dun mantel	------⌫|-||-|-----|
iluecatentl ed amo i sel	----|----|-⌫|-⌫---⌫-⌫--|
eleporpenssequeld ira	--|--------|-|-|-⌫--|
dieus f et ele quantil	----|-⌫-|--|----|-|
donez quei a ie	----|--||-⌫-|
biendire mon tal ent	---|---|--|---⌫--|
atantfineseso roison s	----|---|--|-⌫------⌫|
maint enant uit lescom pangnons	-----⌫----|--|--|---⌫-------|
etquant il	-|----|-|
son tuenuapr es	---⌫|---|---⌫-|
queil ueoir nelespot	--|-|----|-|--|--|
derrier ezzarbr e se re pont	-------⌫|-|----⌫|-|--⌫---|
cil passent outre si	--|------|----|-|
e tnar cisusue noit de rrier e	-⌫|---⌫----|--⌫---|--⌫-----⌫|
t out seul p armi unech arrie re	-⌫--|---|-⌫---|--|--⌫-----⌫-|
etsenuint droita	-||-|---|----||
etlesgarda moltlau it bele	-||------|---|-|-⌫-|---|
quacele eur e ertleuee	-||---|---⌫|--|----|
cuidacefustdee sseo ufee	----|-|---|---⌫--|-⌫|--|
du cheual descent	-|-----|------|
silencline	-||------|
presde luise trestla mesc h ine	---|-|--|-|----|-|----⌫-⌫--|
merueille soiporqoifesoit	--------|--|--|--|-----|
puislidem a ndequel eauo it	---|-|---⌫-⌫--|-|--⌫|---⌫-|
siref etelneuous	---|-⌫-|-|-|---|
une l asse qui	--|-⌫---|--|
to utbienf uit	--⌫-|---|-⌫--|
etqui moltpoipr ise	-|--|---|--|--⌫--|
sepo rce non	-|--⌫|-|--|
uous se fie	---|-|--|
biaussirei ele u ous	----|---|-⌫|-|-⌫--|
q ue ieuous	-⌫-|-|---|
aimseurtouterie n	--|---|----|---⌫|
mes cuersest por uoussidestroiz	--|----|--|--|---|-|-------|
d esore mesestilbiendroiz	-⌫-|--|--|--|-|---|----|
queuou saiezdemoim erc i	--|---⌫|---|-|--|-⌫---⌫|
ne uous m ent pas ainz leuous d i	-|---|-⌫--|--|---|-|---|-⌫|
iep ripor moi	-|-⌫-|--|--|
nonporau tru i	--|--|--⌫---⌫|
rega rdezmoigardezquisui	----⌫---|--|-----|--|--|
par dieuiesuifill e	--|---|-|--|----⌫|
ie letafiatoi parfoi	-|-||--||--|--|--|
poruostre amorpensioretnuit	--|-----|---|---|--|-|---|
am orsmemaineet mecond uit	--⌫--|-|----|-|-|----⌫--|
niuenissepasa utrement	||------|--|-⌫-------|
