unemaniere de gents ont	--|------|-|---|-⌫--|
damerdamesi	|---|---|-|
souueraine	---------|
seiebi eni met oie	-|-|--⌫-||---⌫--|
siestesfetelse	-|----|--|-|-|
mainte plus grant merueil lea uien t	-----|---|----|-------⌫-|-⌫----⌫|
etauteleauendraenco re	-|-----|------|----⌫-|
ditesmoiseuoussauezor e	----|--|-|---|----|--⌫|
si ie uo usaim	-|-|--⌫-|-||
amor do nee	---|--⌫--|
quisui hautedamehonoree	--|--|----|---|------|
et cilrespontisnellepas	-|--|------|---------|
madameienelesai	-|---|-|-|-|--|
mes ie uoud roieuostre amor	--|-|----⌫---|-----|---|
auoir parbienetpar honor	----|--|---|-|--|----|
cel eam or diex	---⌫|--⌫-|---|
qua moi n auousto rtcelep art	-||--|||---|--⌫-|---|-⌫--|
oula hontemon sei gnorgise	-|-|----|--|---⌫---|---|
quanulf uer ne a nuleguise	-||--|-⌫--|-||---|----|
ne n prendr oie tel mespr ison	|-⌫|------⌫--|--|-----⌫---|
c o mdefere teldesreson	-⌫-⌫|-|---|--|-------|
siuila ine	-|----⌫--|
et sidesloi al	-|-|------⌫-|
uersmon droi t	---|--|----⌫|
seignornatura l	------|------⌫|
hafet cel e quif u marie	-|--|---⌫|--|-⌫|----|
dansmusars	---|-----|
etqu iuous	-|--⌫|---|
hama d am epordieu merci	-|-|-⌫--⌫|--|---|----|
bie nle saim estant uousendi	---⌫|-|--|-⌫-|---|---|-|-|
celenetint	---|-|---|
mesgrant corouz etg rant	--|----|-----|-|-⌫---|
en otaucueret	-|-|-|---|-|
s ele p uetbiensenue ngera	|--|-⌫--|---||-|--⌫----|
sifueleformenti ri e	-|-|--|------|-⌫--⌫|
lanu it quantel e fucouchie	-|--⌫-|----|--⌫|-|------|
ioustele du c asouspi rer	-----|-|--⌫||------⌫--|
conmencaetpui sa pl orer	-------|-|---⌫||--⌫---|
etliduserrantl ideman de	-|-|--|-----|-⌫|-----⌫-|
quecestque le	--||--|-|-⌫-|
aet liconm an de	|-|-|----⌫--⌫-|
qu e lel idiemai ntenant	-|-⌫-|-⌫|--|---⌫------|
certesdist	-----|---|
eleiaiduel grant	--||-|---|----|
de cequene	-|-|--|-|
s etnushauzhom	-⌫-|--|---|--|
quif oi li	--|-⌫-|-|
portenequinon	----|-|--|--|
m es plus de bien	-⌫-|---|-|---|
etdonor font	-||---|---|
aceusq uil or trahitorsont	|---|-⌫-|-⌫-|-------|---|
et si ne senaperc oitnus	-|-|-||-|-----⌫--|--|
parfoi dame fets oi l idus	--|--|---|--|-⌫-|-⌫|--|
por qoiuo u sle	--|--|--⌫-⌫|-|
mesdetelchosesuiie	--|-|--|----|--|-|
quanul fuerie ne norriroie	-||--|---|-|-|--------|
trahitor s eielesauoi e	-------|-⌫|-|-|-----⌫|
ha e zd onc dist elece l u i	--⌫-⌫|-⌫--|---|--|--⌫-⌫-⌫|
se lnommaquine f inahui	-||----|--|-|-⌫--|--|
proier au loncdu io r	-----|-|---|-|--⌫|
lidonaissemamor	-|-------||---|
et medistque	-|-|---|--|
mout alonc tens	---||---|---|
qu ilaestéen cest porpens	-|-||----|-|---|------|
o nque s mesnelem	-⌫----⌫|--|-|-||
po rpenssai biauss i re	--⌫-------|----|-⌫-⌫-|
tan tostq ueieleuousdiroie	---⌫---|-⌫-|-|-|---|-----|
et si pue testre chose uraie	-|-|---⌫|----|----|----|
qu il a itpie ca a	-|-|-⌫-|---⌫-||
ce pen ssé	-|---⌫---|
de cequil a aillors amé	-|-|-|-||------|---|
nouele o ie n e n au on	-----|-⌫-||-⌫|--⌫-|
siuou srequier engerredo n	-|---⌫|------|-|-------⌫|
que uostre honorsiigardoiz	--|-----|----|-||------|
comuoussauezque	--|---|----|--|
ilest droiz	-|--|----|
li dusa cuisamblemoutgrief	-|--||--|-----|---|----|
li dist i enuendra ibiena	-|---||-|------⌫|---||
etmou tp art enssicomiecuit	-|---⌫|-⌫-|-⌫--|-|--|-|---|
amalaise fucele nuit	|------|-|---|---|
lidusnonquesdormirnepot	-|--||-----|-----|-|--|
porlecheual ierqu i lamot	--|-|------⌫--|-|-⌫|---|
croit qu eil e ust	----|--⌫|-|-⌫--|
pa rdroitquesamor perdueait	--⌫|----|--||---|-----|--|
etpor cetoutenuit	-|--|-|----|---|
lendema in parmatinleua	|------⌫-|--|----|---|
et fistce luia soiuenir	-|---|--⌫--||--|----|
quesafame lifethair	--|-|---|-|--|---|
sanzce qued e	---|-|--|-⌫|
maint e n antlaa	-----⌫-⌫-⌫--||||
re sonmi s	--⌫--|--⌫|
seul aseul ne furent quausy y	---||---|-|-----|-|--|-⌫|
certes d istilce	-----|-⌫--|-|-|
estgranzdeu s	--|----|---⌫|
quantproesceauez	----|------|---|
aenuousleaute	|-|---|-----|
enauez moutd ece u	-|---|---|-⌫---⌫|
queiaimo utlonguementcr eu	--||-|--⌫-|---------|--⌫-|
queuous fussiezdebone	--|---|------|-|---|
loi aus atoutlema ins uersmoi	---⌫--||---|-|--⌫--|---|--|
aiuersuous	-|---|---|
s inesaidont	-⌫|-|--|---|
uo uses tuenue	--⌫-|--⌫|----|
telpen sseeetsitrahitresse	--|---⌫---|-|-|----------|
queproi e auez laduches se	--|----⌫|---|-|------⌫-|
etrequised edruerie	-|------|-⌫|------|
si auez fetg rant tricherie	-|---|--|-⌫---|--------|
queplusuilain e n	--|---|------⌫||
estuet q uer re	-----|-⌫---⌫-|
issiez erranthor s dema	-----|-----|---⌫|-|-|
quarieuouse n c ongies anz dout e	---|-|---|-⌫|-⌫----|-⌫--|----⌫|
etla uous u e	-|-|---|-⌫|
e tdesfenttout e	-⌫|------|----⌫|
senientr ez netant ne quant	-|||----⌫-|-|---|-|----|
que se iedes oreen au ant	--|-|-|--|--|-|--⌫--|
uous i poo ie ferep rendre	---||---⌫-|---|-⌫-----|
sachiez ieu ous fero iependre	------|-|-⌫--|----⌫-|-----|
cheualiersceentent	---------|-|-----|
direetdemautalentespren t	|--|-|-|--------|------⌫|
sique tuitlitramble nt simembre	-|--|---|-|-------⌫-|-|-----|
samie li rememb re	|---|-|------⌫-|
dontilse tquilne	---|-|--⌫|-|-|-|
sen estparaler etpar	-||--|--|---|-|--|
reperie r oup ais	-------⌫|-|-⌫--|
dont l id usu out quil fus t	---|-⌫|-⌫-|-⌫--|-|-|---⌫|
autrepart li fetmoutmal	----|---|-|--|---|--|
cequatrahitor	-|-||-------|
letients essiresetator t	-|----|-⌫-|----|-||---⌫|
siest ensigr antdesconfort	-|--|-|-|--⌫--|---------|
quamor tset ientet a trah i	-||---⌫|-|-⌫---|-||----⌫|
sirefetilpordieumerc i	---|--|-|--|---|----⌫|
ne c reezianene	-|-⌫---|-|-|-|
quei efusseonquessi osez	--|-⌫|----|-----|-|---|
cequem emete za to rt seure	-|--|-⌫|----⌫||--⌫-|----|
penssaineio r	------|-|--⌫|
q uile uousadit	-⌫-|-|---||--|
n eu ous u aut rien slies c ondit	-⌫|-⌫--|-⌫--|----⌫|-|--⌫-⌫----|
fe t lidusne	--⌫|-|--|-|
celemeismeconte ́ma	---|-----|-----⌫|||
enquelma nier eet	-|---|--⌫----⌫|-|
e nq uelguise	-⌫|-⌫--|----|
uouslauezproie et re qui se	---||---|----|-|--⌫---⌫-|
commetr a h i tr esenuiou s	----|--⌫-⌫-⌫-⌫--⌫-|------⌫|
ettelchosedeist esuous	-|--|----|-----⌫-|---|
puetestredont elese test	---|----|---|--|-|---|
ma dame aditc equeli plest	-|---||--|-⌫|--|-|----|
fe tci lquimoutestoit m ariz	--⌫|--⌫|--|---|-----|-⌫---|
neuousuautriens li escondi z	-|---|---|----|-|-------⌫|
parsi que ienf ussecreu	--|-|--||-|-⌫---|---|
quard ecen i a riens eu	---|-⌫|-||||----|-|
dontdi s tli	---|--⌫-⌫|-|
dusaucheualier	--|-|--------|
seuousle uol ezfiancier	-|---|-|---⌫-|-------|
par uostreleal serement	--|-----|---|-------|
queuous me direzl ea ument	--|---|-|----|-⌫--⌫----|
cequeieuousdemanderoie	-|--|-|---|----------|
paruost re di tce r tains se roie	--|----⌫-|--⌫|--⌫-⌫----|--⌫---|
se u ousauriie z	-|-⌫--|------⌫|
c edonti ai u ersuou s	-⌫|---||-|-⌫--|---⌫|
c ilquitoutcouoite etdesire	-⌫-|--|---|------|-|-----|
a geter sonseignord el ire	|----|--|------|-⌫||--|
qu i laenuers luis anzdeser te	-|-⌫||-----|--|-⌫--|-----⌫-|
redo utecele perte	----⌫--|---|----|
c o mm e de guerpir la c ontree	-⌫-⌫--⌫|-|------|-|-⌫-----|
ou ce leest qui plus lia g ree	-|--⌫-|--|--|---|-|-⌫-⌫--|
respontquil tou t sanzcontred it	------|-|-|---⌫|---|-------⌫-|
f er aceque li	-⌫--⌫|-|--|-|
penssenenere garde	-----|-|-|--⌫----|
dece dont lidus	-|-|---|-|--|
seprentgarde	-|----|----|
netormentnele	-|------|-|-|
lestpensser	---|------|
ce quelidusueutdemander	-|--|-|--|---|-------|
deri ens forsdec ele	-|--⌫--|---|-|-⌫--|
l eserem ent	-⌫|-----⌫--|
en telmani ere	-|--|----⌫--|
l en fis tl i	|-|---⌫|-⌫|
dus l af oi	--|-⌫|-⌫-|
etlid usmaintenant	-|-|-⌫-|---------|
sachiezparfineuer ite	------|--|---|---⌫--|
quec eque ie	--|-⌫|--|-|
caen arriere defin cu e r	-|-|------|-|--|--⌫-⌫|
neme l essecroireanulfuer	-|-|-⌫---|-----||--|---|
queuoustelmesfetne tel	--|---|--|-----|-|--|
commela duchoisemeconte	----|-|-------|-|----|
latenissea uoire	-|------||----|
ne le mefeis t croire	-|-|-|----⌫|-----|
etme meisten grantdouta nce	-|-|----|-|----|-----⌫--|
qu eiesgar tuostre con tenanc e	--⌫||-----⌫|-----|---⌫------⌫|
et decointiseetdautrerien	-|-|-------|-||----|---|
aqoi l enpuetsauoirmo utbien	|--|-⌫-|---|-----|--⌫-|---|
amez ou quece	---|-|--|-|
etquantdaillor sne sapercoit	-|----||------⌫|-||-------|
nusq uamez damoiseleou	--|-⌫|---|--------|-|
ie mep ensq uec esoit	-|-|-⌫--|-⌫-|-⌫|---|
quimedistqueuousl aproiez	--|-|---|--|---|-⌫|-----|
sinepuisestre desuoiez	-|-|---|----|-------|
porr ienquenusm	--|-⌫--|--|--||
enpu issefere	-|--⌫---|---|
qu e iecroi quainsisoitlafere	--⌫|-|---|-|----|---||----|
seuo us nemeditesqu	-|--⌫-|-|-|----|-|
ame zente lleupa ramo rs	---⌫|-|--⌫|--|--⌫|---⌫-|
q ue menl essiez sa nznu ledoute	-⌫-||-|-⌫-----|--⌫-|--⌫-|----|
sauoiren lau er i tetoute	-----|-|-|-⌫--⌫-⌫-|----|
etseceferene u olez	-|-|-|---|-|-⌫---|
commep ariursuousenalez	----|-⌫-----|---|-|---|
hors dema t erresanz	---|-|-|-⌫---|---|
cilne setnulconseil d esoi	--|-|--|--|------|-⌫|--|
quelun et l	--||-|-||
autretienta	----|----||
ditla uerit epur e	--|-|-----⌫|---⌫|
il nese pariure	-|-|-|------|
amo rt setient	|--⌫-|-|----|
si l me sfet	|-⌫|--⌫---|
quiltrespassele cou u enant	-|-|--------|-|---⌫-⌫----|
que sad ame etsamiea	--|-|-⌫--|-||---||
q uilestse urs	-⌫|-|--|--⌫--|
qu illaperdr a	-|-|-|-----⌫|
puetaperceuoir	---|---------|
ets ilneditau	-||-|-|--|-|
pa riuresest etfoi m entie	--⌫-----|--|-|--|-⌫----|
et pe rtlepais	-|--⌫-|-|---|
paisnelich ausist	---|-|-|--⌫-----|
s e sami el i	-⌫||---⌫|-⌫|
re mainsist	--⌫-------|
q uesor toute riens pe rdrecr ient	-⌫-|--|----|----|--⌫---|--⌫---|
etpo r ce quades	-|--⌫|-|-|---|
de l ag rant io ie et du	-|-⌫|-⌫---|--⌫-|-|-|
quila euentres es	-|-||-|----|-⌫-|
sisepensse	-|-|-----|
sil la messert	|-|-|------|
etsi lp ar so nmeffetla	-||-⌫|-⌫-|--⌫|-----|-|
quan to soinel en p ue t	----⌫||--|-||-|-⌫--⌫|
commentpo rra sanzlid urer	------|--⌫--|---|-|-⌫---|
sies t entelpoin t autressi	-|--⌫|-|--|----⌫|-------|
c o ml ichastelainsd e	-⌫-⌫|-⌫|----------|-⌫|
q ui au cuer n	-⌫-|-|---||
auoitsamor	----||---|
distenuersdune chancon	---|-|---||--|------|
pardieuamorsfort m	--|---|----|---||
estacon sirrer	--||---⌫-----|
du d oussolaze tdel a com paingnie	-|-⌫--|----|-⌫|-|-⌫|---⌫-------|
sambla nzq uemi	------⌫-|-⌫-|||
solo itmoustrer	----⌫-|-------|
celequi mert	---|--||--|
etcompaigne et amie	-|--------|-|---|
etquantregartsasimplec or toisie	-|----|-----|-|-----|-⌫--⌫-----|
etlesdo uz mos	-|--|--⌫-|--|
commentmepue t	------|-|---⌫|
li cue rs ou	-|---⌫-|-|
c orsdurer	-⌫--|----|
quantil ne n partc ertestropestmauues	----|-||-⌫|---|-⌫----|---|--|-----|
lich eu alier sen	-|--⌫--⌫-----⌫|-|
tel eangoisse	---⌫|-------|
ne se ts eleu oirliconn o isse	-|--⌫|-⌫|-|-⌫--|-|----⌫-⌫---|
ouilmenteetle st	-|-|----|-|--⌫-|
ilest ainsip enssis	-|--|----|-⌫-----|
q u i ln ese t liquelsli	-⌫|-⌫|-⌫|--⌫|-|----|-|
leueducue rliuient	|--|-|---⌫|-|----|
p or l angoisse quil	-⌫-||-------|-|-|
seporchace	-|-------|
descent auallaface	------|---|-|---|
enaleuismoillié	-||-|--|-------|
enotpaslecuer lie	-|-|--|-|---|--|
quipenssequili a te lchose	--|-----|-|-|||--⌫|----|
qu er econnoistrene liose	--⌫|-⌫----------|-|-|--|
isnellepas	---------|
q ueneuous fiezpas	-⌫-|-|---|---|--|
tantcomuousd e uriiez	---|--|---|-⌫-⌫-----|
c uidiez uous	-⌫-----|---|
seuousmedisi ez	-|---|-|----⌫-|
uostre conseilcele ement	-----|------|----⌫----|
queieldeisse	--|-||-----|
iemeleroie	-|-|-----|
a u ant s anzfaute	-⌫-⌫--|-⌫--|----|
trerelesde nzlunauan tl autre	----|--|--⌫-||-|----⌫||----|
h afetcilpordieu merci	-⌫|--|--|--|---|----|
ienesaique	-|-|--|--|
ie doie dir e	-|---|---⌫|
neque iepuisse deueni r	-|--|-|-----|------⌫|
mesieuoudroiemiex m orir	--|-|-------|---|-⌫---|
queperdre cequeie perdroi e	--|-----|-|--|-|-------⌫|
uou senau oie	---⌫|-|--⌫--|
qu a rsilestoit	--⌫-⌫||-|-----|
que leus sereconn eu	--||---⌫-|------⌫-|
aiorq uifustamonu iuan t	|--|-⌫-|---||--|-⌫----⌫|
lorsdist li du sieuo uscre ant	---|---|-|--⌫|-|--⌫-|---⌫--|
seurle cor setl amedemoi	---|-|---⌫|-||--|-|--|
etsorlamor	-|--||---|
etso r l af oi	-|--⌫|-⌫|-⌫-|
queie uousdoisor	--|-|---|--|--|
uost r ehommage	----⌫-⌫|------|
que ia entresto utmo ne age	--|-|-|------⌫-|--⌫|-⌫--|
n ene rtacr eature nee	|-|-⌫-||--⌫-----|--|
par m oi n ouele ra contee	--|-⌫-|-⌫----|--⌫-----|
nesamblant fetgrantnepetit	-|-------|--|----|-|----|
et c i len p lorantlia dit	-|-⌫-⌫|-|-⌫-----|-||--|
luousdiraiains i	|---|----|----⌫|
iaimuostreniec e deuerg i	|--|-----|----⌫|-|----⌫|
etele moi tantcompuet plus	-|--|--|---||-|---|---|
ormedite s donc fetlidus	-|-|----⌫|---|--|-|--|
qu antu ous uol ezc onuou s encueure	--⌫--|-⌫--|---⌫-||-|---⌫|-|-----|
sauoitnusforsuous duiceste	-----|--|---|---|--|----|
cheualierslirespont	---------|-|------|
nenilcreaturedel mont	----|-------|--|---|
e t dist li	-⌫|---|-|
dus cen auint onques	--|-||----|-----|
comment iaueniez uousdon ques	------||------|---|---⌫---|
necommentsa uezlieu netens	-|------|--⌫--|---|-|---|
par foisir efet	--|--|---⌫|--|
cilpar sens	--|--|---|
quei e uous	--|-⌫|---|
dira i sanz rienstere	----⌫|---|----|---|
q uantta ntsauez de nostr eafe re	-⌫---|--⌫-|----|-|-----⌫|---⌫-|
atout esac ont ees	|----⌫-|--⌫---⌫--|
ses uenues	--|-----|
etses alee s	-|--|----⌫|
etl acouuenancepremiere	-|-⌫|---------|-------|
e t dupetitchienla maniere	-⌫|-|----|----|-|------|
lors distli	---|---|-|
dus ieuousr equier	--|-|---|-⌫-----|
quea uostre terme	--||-----|----|
u ueilliez que	-⌫-------|--|
uo strecompainssoi e	--⌫---|-------|---⌫|
da lerouo usencesteuoie	|-⌫--||--⌫-|-|----|---|
uueilsauo irsanzaloingne	----|----⌫-|---|-------|
seainsi uauostrebesoingne	-|----|-|-----|--------|
ma n iece rien	-|-⌫---|---|
si r ef etil i elotroibien	--⌫-⌫|-⌫-|-|-⌫||----|---|
mesquilne uous grietneanu it	--|-|-|-|---|----|-|---⌫-|
etsachiezbieng	-|------|---||
irai anuit	---|----|
etli dusd istquili ira	-|-|--|-⌫--|-|-||--|
que ianelianu iera	--|-|-|-|---⌫---|
ainzli seras olaz etgeu	---|-|---|-⌫---|-|--|
entra us ontdeu iséleleu	---|-⌫-|--|---⌫---|-|--|
ou as sambleron t	-|--⌫---------⌫|
tout api e	---||--⌫|
si tostcommeilfuanuitié	-|---|----|-|-|-------|
que a sse z presdiluecesto it	--|-⌫---⌫|---||----|----⌫-|
oula nieceleduc mano it	-|-|----|-|--|----⌫-|
celepartt ienent lor chemin	---|---|-⌫-----|--|-----|
ta ntqu i lsont u enuau iardin	--⌫-|-|-⌫|---|-⌫--|-|-----|
ou lidusnefupasgrant	-|-|--|-|-|--|----|
quantiluitle chi e netsaniece	----|-|--|-|---⌫-⌫--|-|----|
quisen uintau bo ut du	--||-|---|-|--⌫-|-|
ouil t roual e cheual ier	-|-|-⌫---|-⌫|------⌫--|
qui grantioie	--|----|---|
tan tost a l auoiesem et	---⌫---||-⌫|---|-|-⌫-|
licheualiers etleduc la it	-|---------|-|-|--|--⌫-|
etlid usapre sl uis enuait	-|-|-⌫-|----⌫|-⌫-||-|---|
chambreetnese muet	------|-|-|-|---|
esconsse au miex qu i lpuet	-------|-|---|-|-⌫|---|
d unar bremoutgrant	|-|--⌫--|---|----|
etmout large	-|---|----|
s estoitco uu ers	|-----|--⌫--⌫--|
c omdunetar ge	-⌫-||--|---⌫-|
etmo utentent	-|--⌫-|-----|
a luiceler	|--|----|
d il uecuitenlachambre entre r	|--⌫--|--|-|-|------|-----⌫|
l e cheualieretuitis sir	-⌫|--------|-|--|--⌫--|
sa nieceetcontreluiueni r	-|----|-|-----|--|----⌫|
horsd e la chambreenzz	---|-⌫|-|------|-|-|
etuit et oitel apel	-|--|-|-|--|---|
commeelelifis t pa rsolaz	----|--|-|---⌫|--⌫|----|
desalutdebouc he etdebraz	-|----|-|----⌫-|-|-|---|
sitostc o mmeelelechoi si	-|---|-⌫-⌫--|--|-|----⌫-|
delacha mbreuers l uisailli	-|-|---⌫---|---|-⌫-|-----|
etde ses bi ausbr a z lac ola	-|-|--|--⌫--|--⌫-⌫||--⌫--|
et p lu sde yyfoi zle besa	-|-⌫--⌫|-|-|---⌫|-|---|
ainz q ue feistlongueparole	----⌫-⌫-|----|-----|-----|
lare beseet ac ole	-|--⌫---|-|--⌫--|
etlidistmadamemamie	-|-|---|-|---||---|
mamormon c u er madruerie	|---|--|-⌫-⌫-|-|------|
m espe rance ettoutqua nqu esiaim	|----⌫----|-|---|---⌫---⌫-||--|
sachiezque i ai eu grant fai m	------|--||-|-|----|---⌫|
destreouous si	|----||---|-|
com meoreisui	---⌫-|--||--|
tres toz iors	----⌫--|---|
puisqueienifui	---|--|-|||--|
ele redist	--|-----|
mon douz seign or	--|---|-----⌫-|
amis mad ouce amor	---|-|-⌫---|---|
onque spuisne	-----⌫|---|-|
quen emanuiast lademeure	--|-⌫||------|-|------|
mesored eriensneme dueil	--|--|-⌫|----|-|-|----|
quantiaiomoi ce que	----||-||--|-|--|
ie u ue il	-|-⌫--⌫-|
quant c ies tessainsethaitiez	----|-⌫|--⌫--|----|-|------|
e tli tr esbien uenuz s oiez	-⌫|-|--⌫-|---|----|-⌫---|
etcildistetuous	-|--|---|-|---|
b ien tr ouee	-⌫--|--⌫---|
t out oilidu salentree	-⌫--|-|-|--⌫|||-----|
qui mout pres d	--|---|---||
ausapoiezfu	--|-----|-|
sa n iece alauoizbienconn u	-|-⌫---||-|---|---|----⌫|
si bi eneta la	-|--⌫-|-||-|
conte na nce	-----⌫--⌫--|
queilestor f ors de	--|-|--|-|-⌫--|-|
etsiti ent	-|-|--⌫--|
laduchesse	-|-------|
quiditliotamente rresse	--|--|-|-||-----⌫-----|
etmoutliplestor uoi ti lbien	-|---|-|----|-|---⌫|-⌫|---|
li a mesfe t rie n	-||-----⌫|---⌫|
de cequeillamescr eu	-|-|--|-|||-----⌫-|
ilu e q uesse s tissitenu	---⌫-⌫-⌫--||-⌫-⌫|---|---|
tout ela nuitendementiers	----⌫|-|---|-----------|
q ue l adameet l icheualiers	-⌫-|-⌫|---|-|-⌫|---------|
de denz lachambree nzz l itfurent	--⌫---|-|------|-⌫|-|-⌫-|-----|
etsanzdo rmir	-|---|--⌫---|
ensambl eiurent	-------⌫|-----|
etateld ep ort	-||--|-⌫--⌫--|
quilnestresonsque nusrec or t	-|-||--|-----|--|--|---⌫--⌫|
n ene ladienene	-⌫|-|-|--|-|-|
siln atent	|-||----|
a auo i r telioie	|---⌫-⌫|--|---|
queamorsausfinsamanz	--|----|--|---|----|
quan tsa painereguerredone	----⌫|-|----|-----------|
quarcilq uitel	---|--|-⌫-|--|
ioienatent	---||----|
s il looi tor riens ni	|-||---⌫|-|----|||
puisqu i l	-----|-⌫|
n aa a mors	|||-⌫---|
que nusnesauroita	--|--|-|------||
comb ienuaut a	----⌫--|---||
sa mo rs nel ifesoitsauoir	|-⌫--⌫-|-|-⌫|-----|-----|
n eteusbie nsnauientmieatoz	-⌫|---|---⌫-||-----|--||--|
sanz corouz	---|-----|
e t en uoiseure	-⌫|--⌫-------|
m estant i	-⌫-|---||
a quepetit	|--|----|
c es tauis alamantquila	|--⌫|---|||----|--|||
iatantluguesne du rera	-|---|-----|-|--⌫---|
tantliplestl auiequ	---|-|----|-⌫|--|-|
que senuisdeuenoit	--|-|---|-------|
etsemaine deuen oitmois	-|------|-----⌫--|---|
etmoisunsanz et unsanz	-|---|--|--|-|--|--|
et tro ian y yetu int an	-|---⌫|-|-⌫|-|-⌫--|-|
qua ntu endroitaudefinement	---⌫-|-⌫------|-|---------|
cele n uitainzqu il	---|-⌫--|-----|-|
siuou droit ilquil a nuita st	-|---⌫----|-|-|-|-⌫-----⌫-|
eten itelpen ss e	-|-|---|---⌫--⌫|
lidusatend oi t	-|--|-----⌫--⌫|
quara inzioraler	---|-⌫--|--|---|
etsami e o l uia l uis	-||---⌫||-⌫-|||--|
lauitli dus	-|--|-|--|
au congie prendre	-|-----|------|
bes ie rdoneret	---⌫--⌫|----|-|
besi er rendre	----⌫-|-----|
forment souspire r	------|--------⌫|
et aucongiep rendreplor er	-|-|-----|-⌫-----|----⌫-|
