apresce quemestres gautiersma pot	----|-|--|------|-------|--⌫|-|
etilig arde ntmeintenant sitrouuerent qu	-|-||-⌫----⌫-|---------|-|---------|-|
illeur enfai lloittr enteetdeus	-|---|-|---⌫----|--⌫---|-|---|
par contenede touz ceusn	--|----|-|-|---|---||
iauoitunseul quinefust morzpar a rmes	|----|-|---|--|-|---|---|--|-⌫---|
li roisauoito iconson ner qu emessir es gauuains	-|---|----|-⌫|------⌫--|--⌫|--|---⌫-|-------|
en auoitoci s	-|----|---⌫|
pluse urssi le fist ue nir pardeu antluietli	-----⌫--|-|-|---|--⌫--|--|---⌫--|--|-|-|
d ist gau uainieuosr equ ierseurle seremen t queuos	-⌫--|---⌫---|-|--|-⌫---⌫--|---|-|-------⌫|--|--|
mefeis tesqu antgeuos	-|----⌫--|--⌫--|-|--|
fis cheual ie rqueu osm e diezcequegeuos	--|------⌫--⌫|--|-⌫-|-⌫|---|-|--|-|--|
d emanderai .	-⌫--------||
messiregauuains uos	--|---|-------|--|
tantconiuréque ge nel eroie	---|-------|--|-|-|-⌫----|
e nnulema ni erequegenel uo s	-⌫|---|--⌫--⌫--|--|-|-||--⌫|
deisse neis	-----|---|
se cestoitmahontelagreigneur qui	-||-----|-|----|-|--------|--|
onquesa cheualier de uos tre cort aueni s t	-----||--------|-|---⌫--|---|-----⌫-⌫|
o r uos de mant gefetli	-⌫|--|--⌫---|-|--|-|
rois quanz	---|----|
che ualiers uos	---⌫------|--|
cuid iezauo irocis	----⌫--|---⌫-|---|
deuostremei nen	-|-----|---⌫|-|
cesteques te.	----|----⌫-||
etmessire s	-|--|----⌫|
gauuainspenseunpetitet	-------|----|-|----|-|
l iditautref oizparmon	-⌫|--|----|-⌫--|--|--|
ch ief geleuu eill	--⌫--|-|-|--⌫---|
sauoir po rc eque	-----|--⌫|-⌫|--|
a ucunuontdis antque	-⌫---|---|---⌫--|--|
uos enau e ztant ocis	--|-|--⌫-⌫|---|---|
quec estmerueille .	--||--|--------||
m es sires g auuainsu os	-⌫-|----|-⌫------|-⌫-|
uoulezestrec e rte insdemagra ntmescheance	-----|----|-⌫-⌫---⌫--|-|-|---⌫-|---------|
etgeleuo s d i rai carge	-|-|-|--⌫|-⌫-⌫--|--|-|
uoib i en qu a	--|-⌫-⌫-|-||
f e relecouuient .	-⌫-⌫-|-|-------||
ie uo s dipor uoir que genai	-|--⌫|-|--|---|--||-|-|
ocisparmamaindis uitnon	---|--|-|---|--|--|--|
ceq uege fussemieudrescheua liersque	-|-⌫-|-|----|-------|-----⌫----|--|
nus autresmeslam escheanc e se torna	--|-----|--|-|-⌫--------⌫|-|----|
plusuersmoiqueuers nul demescomp aignons.	---|---|--|--|---|--|-|--|----⌫------||
et sisachiezbienquece n ap asesté	-|-|------|---|--|-|||-⌫-|----|
parma cheualeriemes	--|-|---------|--|
parmonpechie	--|--|-----|
si mauezfetdi re	-||---|--|--⌫-|
certesbiausniesfet	-----|----|---|--|
li ro isuoi rement ace estéme scheancedroiteet	-|--⌫-|---⌫-----||-|----|--⌫-------|-----|-|
ieseibienquece	-|--|---|--|-|
uosest auenupar uos tre p echie mestouteuoiesmedites	--|--|----|--|---⌫--|-⌫----|--|---------|-|----|
seuoscuidiezauoiro cisle roi	-|--|------|----|-⌫--|-|--|
baudemagu .	--------||
sirefetilgel	---|--|-|-||
ocissan z faille.	---|---⌫|-----||
sinef is onqu e s ch osedo n tilme	-|-|-⌫-|----⌫-⌫|--⌫--|--⌫-⌫|-|-|
pesasttantcomeilfetde li	-----|---|---|-|--|-|-|
certesbia usniesfetliro is	-----|---⌫-|---|--|-|--⌫-|
se iluos enpoisece ne stpasmerueille	-|-|--|-|----|-||-⌫-|--|--------|
m aistdexsi fe tilmoimoult dure ment	|---|--|-|--⌫|-|--|----|----⌫---|
q uepl usestmes osti exe mpiriez de l i	-⌫-|--⌫-|--|--|----⌫-|-⌫------|-|-⌫|
que desquat remeilleursqu isoienten l aqu estem ort	--|--|----⌫-|--------|--⌫|-----|-|-⌫|--⌫---|-⌫--|
cestepar oledistliroisartusdelroiba udem agu don t	----|---⌫--|---|-|---|----|--|--|--⌫----⌫--|---⌫|
messiresgauuainsfuassez	--|----|-------|-|----|
malesequil n	-----|-|-||
est oitde uant.	---⌫--|--⌫---||
etlir oisporce	-|-|-⌫--|--|-|
quilueoitqueles	-|-|----|--|--|
auenture sdelroiaumedelogres estoientsimen eesa	--------⌫|--|------|-|-----|-------|-|---⌫--||
en auenoitmesnul ese petitnon	-|------|--|---⌫|-|----|--|
f istc rier un tornoiementen lapraerie	-⌫--|-⌫---|-|----------|-|-|------|
d e wi nc est repor ce	-⌫|--⌫--⌫---⌫-|--|-|
quilneuouloitpas to uteu oiesquesi	-|-|-|------|--|--⌫----⌫---|--|-|
compaignonlessassent a po rterarmes .	---------|---------||--⌫---|----||
mescommentquelancelossefusttenuzch aste mentparle	--|------|--|-------|-|---|----|--⌫----⌫---|--|-|
conseilldelp r eudomea	-------|--|-⌫-⌫-----||
quiilse fist	--|-|-|---|
confes quantilfuenla	-----|----|-|-|-|-|
queste de l seintgraal et eust deltoutreno iee la	-----|--⌫|----|----|-|---|--|---|----⌫--|-|
r eine guenieuresi comme	-⌫---|--------|-|----|
lic ontesl ade u iséc aarrieres si	-|-⌫----|||--⌫-⌫---|-⌫|-------|-|
tostcom me ilfuuenuza cort	---|---⌫-|-|-|----||---|
il nedem orapas un mois	-|-|---⌫--|--|-|---|
apresqueilfu	----|--|-|-|
autresi e spris et al umez c ome ilauo itonques	------|-⌫----|-|--⌫---|-⌫--|-|---⌫-|-----|
esté p lusnulior	----|-⌫--|--|--|
si quil rencheielpechie dela	-|-|-|------|-|-----|-|-|
reineautresicommeilauoi t	----|------|----|-|----⌫|
fetautrefoiz.	--|----|---||
etseil auoit deuan t meintenuceluipechie	-|-|-|----|-----⌫|-------|----|-----|
sis agementet sic ouuertemen tquenusn e	-|-⌫------|-|-|-⌫----------⌫|--|--|-⌫|
e stoit a perceuz si lemeinti nta pr essifolementque	-⌫----|-⌫------|-|-|------⌫-|-⌫--⌫-|-|-------|--|
a grauainsli	-⌫-------|-|
freresmo n seigneurg auuainqui	-----|--⌫|-------|-⌫-----|--|
onquesne lau oit améclerem entet	-----|-||--⌫--|---|------⌫--|-|
preno it gardede ses erremens	-----⌫-|----|-|--|-------|
quenus desau tres	--|--|--|--⌫---|
s e na percut	|-⌫|-⌫-----|
enpristgarde queille	-|----|----|--|-|-|
sotueraiement	--|---------|
que lancel osamoitl a reine	--|------⌫-|----|-⌫|----|
defole a mouretla	-|---|-⌫---|-|-|
reineluiautresi.	----|--|------||
etlar eineestoit sibele queto uzli	-|-|-⌫---|-----|-|---|--|--⌫-|-|
monz senmeruei lloit ca racelu i	---||-|------⌫----|--⌫||----⌫|
tensm eismesqu eleiert bienenl a agede	---|-⌫-----|-|--|---|---|-||-⌫--|-|
ci nquantea nzestoit elesibeledamequ eent out	--⌫------|-⌫-|-----|--|-|---|---|--⌫|-|-⌫--|
le mo nde ne	-|--⌫--|-|
trou uas tlen mie sapareille	----⌫---⌫|--|--|-|-------|
don taucunch eualier distr e ntpor ce	---⌫|----|--⌫------|-----⌫-⌫-|--|-|
que sabiaute	--|-|-----|
faillo itnulefoizqueele estoit fo nt ei nnedetou tes	------⌫-|---|---|--|--|-----|--⌫--⌫--⌫--|-|---⌫--|
bia utez .	---⌫---||
quant a grau ai nssefu ap erceuzde lar eineetde	----|-⌫----⌫--⌫-|-|-|--⌫-----|-|-|-⌫---|-|-|
lancelot ilenfu liez	-------|-|-|-|---|
dureme ntetpluspo r le	------⌫-|-|---|--⌫|-|
doma geque	----⌫-|--|
ilcui daquelancelosen eustqu eporle roi	-|---⌫-|--|-------|-|---|--⌫|--|-|--|
ue ngierd esahonte.	--⌫----|-⌫|-|----||
cele sem einneaui ntqueliiorzdel	---|---⌫----|---⌫-|--|-|---|--|
to rnoiementdut	--⌫--------|--|
es treawincestre	--⌫--||--------|
siiala descheualiersle	-||--|--|---------|-|
r oi artu a grant	-⌫-|---||----|
meslancelos qu i	--|-------|--⌫|
a estre en telmanier equenusne	|----|-|--|------⌫|--|--|-|
lconneus t	|-------⌫|
d i st aceus quientor	-⌫-⌫-||---|--|----|
luiesto ie nt qu	--|----⌫--⌫-|-|
i lestoit side shetiezqueil n iporroit	-⌫|-----|-|--⌫------|--|-|||------|
nulem ani ere	---|-⌫---⌫--|
mesiluo uloi t bien queboorzet	--|-|--⌫----⌫|---|--|----|-|
es torsetlionaus etlicheual ie r de lorc ompaign ie	--⌫---|-|------|-|-|------⌫--⌫|-|--|-⌫-------⌫-|
ialassent.	|-------||
d istrent qu il niroientpaspuisqu i lestoitsi	-⌫------|-|-||------|--|-----|-⌫|-----|-|
deshetie z .	--------⌫||
et il leur	-|-|---|
dist ieuueillet uos co mmant	---|-|-----|-|--|--⌫----|
queuos i ai lliez	--|--||--⌫----|
simouroi z lematin etgeremei n dra i	-|------⌫|-|----|-|-|-----⌫-⌫---⌫|
et aincoisque uosreueingniezmess erai	-|------|--|--|----------|--|-⌫---|
getouzgu eri z se	-|---|--⌫---⌫|-|
dieuplest.	---|----||
sir efontil puisqueil uosplestnous	---⌫|---|-|------|-|--|----|---|
m es moult uolsisson so	-⌫-|----|---------⌫||
uosreman oir poruosferecompaignie .	--|-----⌫--|--|--|---|---------||
et il d istquecen eueltilpas .	-|-|-⌫--|--|-|-⌫|---|-|--||
si en lessierentata nt laparo le	-|-|---------|---⌫-|-|----⌫-|
aumatin sen p art ibo orzde	-|----||-|-⌫---⌫|--⌫--|-|
de kamaaloten tre lui	-|-------|--⌫--|--|
et saco mpai gnie.	-|-|--⌫----⌫---||
agrau ainssotqueb oo rzsen aloite t li	-----⌫---|--|--|-⌫--⌫-||-|----|-⌫|-|
cheua lierauecluiet	-----⌫---|---|--|-|
quela ncelos	--|--⌫-----|
rema no its i pensa tantost qu ec estoit	----⌫--⌫-|-⌫|----|------|--⌫||-----|
por la rein eou iluouloi t auenirquantli rois	--|-|----⌫|-|-|------⌫|-----|----|-|---|
senseroital ez.	|-|-----|--⌫-||
l ors uintasononcleleroi si lidist	-⌫--|---||--|----|-|--|-|-|---|
siregeuosdir oieunecho s e aconsei ll	---|-|--|---⌫--|--|---⌫-⌫||------⌫-|
se genecuidoie que	-|-|-|------|--|
etsachiezq uege	-|------|-⌫-|-|
le di porla uostre honteue ngier	-|-|--|-|-----|----|--⌫----|
fet liroisua	--|-|---|-|
doncla chose	---|-|----|
si hautqu emaho nte i e st	-|---|--⌫|-|--⌫--||-⌫-|
sirefet agraua insoile tge uosdirai	---|--|------⌫--|--|-⌫|-|--|----|
lorsle tret aunepartet	---|-|---||--|---|-|
li dist a conseill si reilest einsi	-|---||-------|--⌫-|-|--|----|
quelan celosainme	--|---⌫----|----|
lar einede	-|-⌫---|-|
fole amo u r etl areine lui	---|---⌫-⌫|-|-⌫|----|--|
et porcequilnepueen t	-|--|-|-|-|-|-----⌫|
mie assemble ral euruolentequantuosiest es	--|--------⌫||-⌫--|------|----|--||---⌫-|
es tlance lo s	--⌫|-----⌫--⌫|
remesquiln	----|-|-||
ira pasau tornoiem entde	--|--|-|--------⌫--|-|
einzi a enuoiezceusde s ono stelsi	---|||------|---|-|-⌫-|-⌫---|-|
qu e quantuos seroizmeuzenn uit ou	--⌫|----|--|-----|---|---⌫--|-|
demainlors porrailtout par	-----|---|----|-|---|--|
loisirparleralareine.	-----|-----||-|----||
liro isa rtusqu i	-|--⌫-|-⌫---|--⌫|
entent c es teparolenepuetp as cu idi erqu ecesoit	-----|-⌫--⌫-|-----|-|---|-⌫-|--⌫---⌫-|--⌫|-|---|
uoirs einz croitueraiementquecesoitmenconge	----|---|----|---------|--|-|---|-------|
si re spon t agra ua in biausni esneditesiames tel	-|--⌫----⌫|----⌫--⌫-|----|--⌫-|-|----|-|--|--|
par ole car	---⌫--|--|
geneuosencreroiepas	-|-|--|-|------|--|
car ge seibienue raiement que l ancelosnel	--|-|--|---|--⌫-------|--|-⌫------|-||
pense roiten nu lemaniere	-----⌫---|-|--⌫-|------|
e tce rtesse ilo nques lepensa	-⌫|--⌫---|-|-|-⌫----|-|----|
amorslifistfereencontr e	----|-|---|---|-------⌫|
qu isens ne	--⌫|---|-|
puet auoirdure e .	---|----|----⌫||
co nme nt sire fet	--⌫---⌫-|---|--|
agrauains n	--------||
enferoi zuosp lus	-|-----⌫|--|-⌫--|
queuoulezuos fe tilq uegen face	--|-----|--|--⌫|-|-⌫-||-|---|
si re fetagrauainsie	--⌫-|--|--------|-|
uols is se que uos	----⌫--⌫-|--|--|
lefeissiezespier tantquelenlesprist	-|-------|-----|---|--|--|--|----|
etlorsconneussiezla ueritesi mencreuss eiz	-|---|----------|-|-----|-||-|------⌫--|
mieuzuneautrefoiz .	----|--|----|---||
fetesenf etlirois ce	----|-|-⌫-|-|---|-|
qu e uosuoudroiz	--⌫|--|-------|
q u e ia parmoi n ensero izde stour nez.	-⌫-⌫|-|--|--||-|----⌫-|--⌫-----⌫--||
etagrauain s	-|--------⌫|
distquilne deman de plus.	---|-|-|-|-----⌫-|---||
cele nuit pensali roisartusas se z	---|---|----|-|---|----|--⌫--⌫|
ace queagrauainsli	|-|--|--------|-|
auoit ditmesnele torna pas	----|--|--|-|-|----|--|
granmentasoncue rc ar	-------||--|---⌫|-⌫-|
i l ne creustpaslegiereme n tque	-⌫|-|-----|--|---------⌫-⌫|--|
ce fu stuoirs .	-|--⌫-|----||
sapar eillapor ale rau	|----⌫----|--|---⌫|-|
tornoiement etsemont a uecl igrantplente	----------|-|-----|-⌫--|-⌫|----|-----|
de sescheualiersporlui ferec omp aignie .	-|--|---------|--|--|---|-⌫---⌫-----||
e tlareine lidi t sirege	-⌫|-|----|-|--⌫|---|-|
iroie u olentie rs seiluosple soit u eoircesteassemb lee	----|-⌫-------⌫-|-|-|--|---⌫---|-⌫---|----|------⌫--|
etilm ipler oit mou lt a alercarge	-|-|||----⌫--|---⌫-||---|--|-|
aioidireq u	-|-|---|-⌫|
i l iaura tr opgrantcheualerie.	-⌫||---|--⌫-|----|---------||
damef et li	---|-⌫-|-|
roi s uosn iroiz	---⌫|--||----|
cest e fois.	----⌫|---||
entest atant.	-|---|----||
et illafe soittout de gre r e manoirpor	-|-|-|--⌫---|---|-|--|-⌫-⌫-----|--|
esprouuerlame nconge	--------|-|--⌫-----|
agrauain .	-------||
quantliroisfu me uz entre lu iet	----|-|---|-|--⌫-|----|--⌫|-|
sesc ompaign o nsporaler	--|-⌫-------⌫-⌫-|--|---|
aut ornoieme ntil	-|-⌫--------⌫-|-|
parlerentassez entreus	--------|----|---|--|
de lanc elot etdistrentqueor	-|----⌫---|-|-------|--|-|
neuendroi tilpasaceste	-|-------⌫|-|--||----|
a ssemblee .	-⌫-------||
et l ancelossitost	-|-⌫------|-|---|
co mm eilsot qu e	--⌫--⌫|-|--|--⌫|
l iroisestoitmeuz	-⌫|---|-----|---|
etc eus qui a wincestred euoie nt aler	-|-⌫--|--||--------|-⌫-----⌫-|---|
leua d eso nli t puis	---|-⌫|--⌫|--⌫|---|
sapare illaetp uis uin talarei n eet	|-----⌫---|-|-⌫--|---⌫||-|---⌫-⌫|-|
lidistdame seuosle uouliezsoufr irge	-|---|---|-|--|-|------|-----⌫-|-|
iroieaceltornoiement.	----||--|----------||
por quoifet	--|---|--|
ele auezuostantdemoréapres	--|---|--|---|------|----|
quegiuou loiealertozseus	--|||---⌫---|---|--|---|
et ue nirau	-|--⌫--|-|
tornoiementent el	----------|-|-⌫-|
m an ierequege	-⌫--⌫---|--|-|
fusseconneuz d estrang es n e depriuez	----|------||-------⌫-|-⌫|-|-----|
alez idonquesfet	---||------|--|
eleseiluosplest	--|-|-|--|----|
que ge le uueillbien .	--|-|-|-----|---||
etilsepar t	-|-|-|---⌫|
meintena nt de lea nz e ts	--------⌫-|-|---⌫-|-⌫||
enr euient as onost ele t demeure	-|-⌫-----||-⌫-|---⌫-|-⌫|------|
i l lue ci usqualan uit .	-⌫-⌫---⌫|-⌫---||-|-⌫--||
ausoirq uan tilfuanuitié s itostco mme	-|---|-⌫---⌫|-|-|-------|-⌫|---|--⌫--|
ilf urentc ommunalme ntcouchié parlacited e kamaalot	-|-⌫----|-⌫---------⌫-|-------|--|-|---|-⌫|-------|
siuint lance losa	-|---|-----⌫--||
sonesc uie retli dist il te couientmontere t	--|---⌫---⌫|-|-|---|-|-|------|-----|-⌫|
ch euau ch iera uecmoica rgeuueillaler u eoirle to rnoiement	--⌫----⌫--⌫--|-⌫--|--|--⌫|-|-----|---|-⌫---|-|--⌫--------|
dewincestrene n osneche uauch eronsentre	-|--------|-|-⌫-|-|---⌫-----⌫----|----|
m oiettoifo rsde nuiz carpor nule	-⌫-|-|--|--⌫-|-|---|--|--|---|
rien sgene uoudr oieestreconneuzen	----⌫|-|-|-----⌫--|----|------|-|
ceste u oie.	----|-⌫--||
li esc uiers	-|---⌫----|
fe tsoncommandement	--⌫|--|-----------|
sis apareilleauplustost queil	-||--------|-|---|---|--|-|
puete ten me innele meilleurch eualq ue	---|-⌫|--⌫--⌫---|-|-------|--⌫---|-⌫-|
la nceloseust	--⌫-----|---|
caril sapercoit	--|-||-------|
sessiresuoudraporterarmes a	--|----|-----|-----|----||
cetornoiement.	-|----------||
quantilfurenthorsdekamaalot	----|-|-----|---|-|-------|
furen t misel	-----⌫|--|-|
d r oi t c hemin a	-⌫-⌫--⌫|-⌫----||
alerawince streilch euauchierenttoutel a nuit	---||-----⌫---|-|--⌫-----------|----|-⌫|---|
mani erequeo nques	----⌫--|--|-⌫----|
nesereposerent.	-|-|---------||
lendemain quantilfu ior zuindre nt	|-------|----|-|-|---⌫|------⌫-|
aun chas tel ouli	|-|----⌫--|-|-|
r oisau o it ieu la nuitnelancelosni	-⌫--|--⌫-⌫-|--|-|---|-|-------|||
uint sepor ce	---|-|--|-|
nonquilne uo uloi tpas	--|-|-|-|--⌫----⌫|--|
deiorz cheua uchi er quiln e	-|---|-----⌫----⌫-|-|-|-⌫|
fustconne uzp arauenture.	---|-----⌫-|-⌫-|-------||
quant il uintdesoz	----|-|---|----|
lechastelilcheuauchasienbron s queapeinne le	-|------|-|--------|-|------⌫|--||-----|-|
connoistre	---------|
etc e feis oit ilpor lescheualiersleroi	-|-⌫|----⌫--|-|--|--|---------|-|--|
quide leanzissoient	--|-|----|-------|
sili pe s oit	-|-|--⌫-⌫--|
mo ultqui l es toituen uz sitos t .	--⌫--|-|-⌫|--⌫---|---⌫-|-|---⌫||
liroisa rtus quiencoreestoit	-|---|-⌫---|--|-----|-----|
a po i eza unefenestreuit	-⌫--⌫-⌫-||--|-------|--|
lecheual la n celot	-|-----|--⌫-⌫----|
sile connutb ien comme	-|-|-----|-⌫--|----|
c eluimeis mes qu il	-⌫---|----⌫--|-|-|
liauoit do nné	-|----|--⌫---|
meslancelot ne conn util	--|-------|-|----⌫-|-|
trop estoitenbronsetnepor quant	---|-----|------|-|-----⌫----|
autres pas d u ne rueoulancelos	-|----⌫--||-⌫-|--|-|-------|
drecasonchiefleregar daliroise tl econnut	----|--|----|-|-----⌫-|-|---|-⌫|-⌫|-----|
mo ustraagirfleta ue zuos ueu de	--⌫----||------|-⌫--⌫|--|--|-|
lanc elo t qui ie r	----⌫---⌫|--|--⌫|
nosfe soit ente ndantquil	--|--⌫---|----⌫----|-|-|
estoit des h et iezetil estia en	-----|---⌫-⌫--⌫--|-|-|--|-|-|
cestchast el	---|-----⌫-|
sir efetgirf lesg euos diraiporquoi	---⌫|--|----⌫--|-⌫|--|----|--|---|
il lefesoit	-|-|-----|
ilueltest reen cet ournoiement	-|---|---⌫-|-|-|-⌫----------|
m aniere quenusnel i	-⌫-----|--|--|-|||
connoi ss e	------⌫--⌫|
etporceni u olt	-|--|-|||-⌫--|
ilpasuenir	-|--|----|
auecnosce sac hiez uos	---|--|-|---⌫---|--|
tou tuerai ement .	---⌫|-----⌫----||
etl ancelos quide toutce nese	-|-⌫------|--|-|---|-|-|-|
pr e noit gardesefuia mis	--⌫-⌫---|----|-|-|-|--|
entreluietsonescuieret	----|--|-|--|------|-|
f uentrezenune mesonetotbiendeff endu	-⌫|-----|-|--|----|-|-|---|----⌫---|
fuste nseign iezde	---|-⌫------⌫--|-|
nuluide lea nzsenusl edemandoit.	----|-|---⌫-|-|--|-⌫|--------||
liroisquito utesuoies estoit	-|---|--|--⌫---|----|-----|
ala fenestre poratendrequel an celospassast encore	|-|-------|--|------|--|-⌫--⌫----|------|-----|
demora tanti llecqu	-----|---|-⌫---|-|
il apercoitbienquela ncelose s toitdemorésen	-|-------|---|--|--⌫-----|-⌫-⌫---|-------|-|
lorsdist a gir fletn os	---|---||---⌫---|-⌫-|
a uonsperdu lancelo t	-⌫---|----|-------⌫|
q uilest ia herb ergiez.	-⌫|-|--|-|----⌫-----||
sire fetgirflescepuetbienestre	---|--|------|-|---|---|----|
s achiésquil necheuauche	-⌫------|-|-|-|--------|
fors denu izpo rce	---|-|--⌫-|--⌫|-|
quil ne soit co nne uz.	-|-|-|---|--⌫---⌫-||
puisqui lseuelt	-----|-⌫|-|---|
c e lerfetliroisor lecelo nsbi en	-⌫-⌫--|--|-|---|-|-|----⌫-|--⌫-|
et gar dezqu ilneso it	-|---⌫--|-|-|-|--⌫-|
a nu lhome mortelconté	|--⌫|---|-----|-----|
queuoslaiez	--|--||---|
ce ste uoie negeendroitmoin en	--⌫--|---|-|-|------|--||-|
parleraiia.	-------|-||
einsi porra il bienestrecel ez carnus	----|----|-|---|----|---⌫-|--|--|
fors nosdeusnelaueu .	---|--|---|-|||--||
et girf lesliiurequiln enparlera ia	-|----⌫--|-|---|-|-||-|------|-|
at a ntsepartli roisde lafenestre	--⌫-⌫-|-|---|-|---|-|-|-------|
ent reluiets a	---⌫-|--|-|-⌫|
com paignieetlanc elosremestlean zch i es	---⌫------|-|----⌫---|-----|----⌫|--⌫-⌫-|
unricheuauasorquiauoit de usfilz	-|----|------|--|----|--⌫-|---|
m oultbiaxetmoult	-⌫---|---|-|----|
forzeta uoi ent esté cheuali erno uiele men t	---|-|-⌫---⌫--|----|-------⌫-|--⌫-----⌫---⌫|
delamainle	-|-|---|-|
ro i artumeism es .	--⌫|---|-----⌫-||
etlanc elos	-|----⌫---|
commencaarega r der lesdeusescu zasdeus c heualiers	-------||----⌫-⌫--|--|---|----⌫|-|---|-⌫--------|
quilestoient tuituermei ll c om m e feus s anz	-|-|-------|---|------⌫-|-⌫--⌫-⌫|---|-⌫--|
c on noissance n ule.	-⌫--⌫--------|-⌫--||
eti les t oi tcoustumeacelte nsque	-|-⌫|--⌫-⌫--⌫|-------||--|--⌫-|--|
nusch eualiers nouuiaus	--|--⌫-------|-------|
nep ortastl e premieran	-|-⌫-----|-⌫|------|-|
q ui lrece ustlordredecheualerie escuquine	-⌫|-⌫|----⌫--||----|-|---------|---|--|-|
fust toutdu ne	---|---||-⌫-|
ilautrementle	-|--------|-|
fesoitceestoitcontreso nordre .	-----|-|-----|-----|--⌫|----||
lorsdistlancelosau seignor de	---|---|-------|-|------|-|
leanz sireg euosuoudroie	----|---|-⌫|--|-------|
moul t prierenguerredonque uos	----⌫|----|-|--------|--|--|
undecesescuz me	-|-|--|----|-|
pres te za portera c ele assembleede wincestreet	----⌫--⌫||-----||-⌫--|--------|-|--------|-|
lesc o uuertures	--|-⌫-⌫--------|
et touzlesau tres aparei l lemenz autresi.	-|---|--|--⌫---|------⌫-⌫-----|------||
sir e fe tli uauasors naue z	---⌫|--⌫|-|-------||---⌫|
uospo intd escu	--|--⌫--||---|
nen i l fetil quegeiuueilleporter	---⌫-⌫|--|-|--|-||------|-----|
carsegel iporto ie para uentur e	--|-|-|||-----⌫-|--|-⌫------⌫|
i lseroitplustostconneuzquegene u oud roie	-⌫|-----|---|---|------|--|-|-|-⌫---⌫---|
einzle uosleraiceanzetmes	---|-|--|----|----|-|--|
arm esa u ec tant	---⌫-|-⌫-⌫-|---|
quegereuien g n e	--|-|------⌫-⌫-⌫|
etl ipreudonsl idist	-|-⌫|-------|-⌫|---|
meintenantsire prenezquanqueuo su oudroiz	---------|---|-----|------|--⌫|-⌫------|
c ar autre siest	-⌫-|-----⌫-|--|
unsd emes filzs ideshetiezqu	--|-⌫|--|---|-⌫|--------|-|
ilneporra pa sport erarmesa	-|-|----|--⌫|----⌫-|----||
ce to rnoiement	-|--⌫--------|
mes lia utres	--|-|-⌫----|
mouura orendroit	-----|--------|
acesparolesu intleanz	|--|------|-⌫--|----|
li cheualiers quial a ssembleedeuoit aler	-|---------|--|||-⌫-------|-----|---|
etquant ilu it	-|----|-|-⌫-|
la ncelo tsili	--⌫-----⌫|-|-|
fistm o ult belsemblantpo r	---|-⌫-⌫--|--|-------|--⌫|
pr eudons li sembloitetl idemandequiiles to it	--⌫-----|-|-------|-|-⌫|------|--|-|--⌫--⌫-|
etlanc elosli	-|----⌫---|-|
