quipres demois eu auratraire	--|---|-|--|-⌫|-⌫---|-----|
iln ep e nsefo rs a la pucele	-|-⌫|-⌫-⌫--|--⌫-||-|-----|
tierchior aprese nsiauint	-----|--|----|-⌫--|----|
qu enlauillemorir	-|-|-|----|----|
la fe mm ea un	-|--⌫--⌫||-|
autre bo urg o is	----|--⌫---⌫-⌫-|
m ai sanchois	-⌫--⌫|------|
quepasas t	--|-----⌫|
puisque la	------|-|
estémo rte	----|--⌫--|
libo urg ois	-|--⌫---⌫--|
quibel se d eporte	--|--|-|-⌫-----|
p arlelosdetou ss esa mis	-⌫-|-|--|-|---⌫|-⌫-|-⌫--|
a araiso nlep eremis	||-----⌫|-|-⌫--|--|
dela pucele	-|-|-----|
be le etgente	--⌫-|-|----|
uchieusa u oitmisesentente	|-----|-⌫-⌫--|---||------|
quepremier su ousdienmon c onte	--|-------⌫|-⌫--|-|-|--|-⌫---|
et li bo urg oisd ontieuousconte	-|-|--⌫---⌫--|-⌫--|-|---|----|
a tant lapucel e	|---|-|-----⌫|
af i anchie	--⌫-⌫-----|
etta ntsap arol eba stie	-|--⌫-|-|-⌫----⌫|--⌫---|
eteldemain si	-|-|-----|-|
mais a uualletmoltanoia	---|-⌫|-----|---|----|
quipensealietioure tnu it	--|----||-|-|---|-⌫|--⌫-|
ilneuo i t riensneli	-|-|--⌫-⌫|----|-|-|
m olt hetl esolasdela gen t	-⌫--|--|-⌫|----|-|-|---⌫|
etlagrant richece	-|-|----|------|
iliuredie u tr ops au illa	-|---|---⌫|--⌫-||--⌫---|
quantilon qu esc reis onpere	----|-|--⌫--⌫-|-⌫--|-⌫-|---|
sagrantrichecetrop compere	-|----|------|---|------|
lon chementf u el pe ns er	---⌫------|-⌫|-|--⌫--⌫-|
n esauoitape nser	-⌫|-----|---⌫---|
par quoiiln eustnulconf ort	--|---|-||---|--|----⌫--|
ilo trobe d unestainfort	-|-⌫|---||-|---------|
taint engraineet de uert	----|-|-----|-|-|---|
alon ghes keuescoureciel	|---⌫---|----|----|---|
l i s ercosfutousapour fil	-⌫|-⌫----|-|---||----⌫--|
fourr ésdepenne d eque ru es	-----⌫--|-|----||----⌫--⌫-|
etliuallessieu testre biaus	-|-|-----|----⌫|----|----|
qui orea leuis	--|--||-|--|
taintenpaill e	----|-|-----⌫|
zz i ourde sonostel	-|-⌫--|-|--|----|
sonch iefafubled unmantel	--|--⌫--|-----||-|-----|
deduisant ua	--------|-|
parle castel	--|-|-----|
en si comme il fai soit souuent	--⌫-|----|-|---⌫---|------|
pourche al oitentre	---|--|--⌫--|----|
qui luoloitoub lierl amour	-|-⌫|-----|---⌫---||----|
la upensoitetnuit etiour	-||------|-|---|-|---|
il enuint deuant l ema ison	-|-|---|-----|-⌫|--⌫---|
samie etfu enla	|---|-|-|-|-|
qui lfaitchautsicommeen auoust	-|-⌫|---|----|-|----|-|-----|
quiqu illi	--|-|-|-|
gretne quillicoust	---|-|-|-|-|----|
engienlicouuien ta tr ouuer	-----|-|-------⌫||--⌫----|
c asamie puis tparler	|||---|----⌫|-----|
molt iententm olt iprentg arde	---||-----|-⌫--||----|-⌫---|
unemaiso n es garde	--|-----⌫|--⌫----|
aun euiel le	|--⌫|----⌫-|
cousturiere	----------|
maintenantpasselekier ier e	---------|----|-|----⌫---⌫|
sisas i e tdessous saf enestre	-||--⌫-⌫-⌫|------|-|-⌫------|
cell elienqui ertdesonestre	----⌫|-|-----⌫--|-|--|----|
quimolt sauoitde ren ardie	--|---|-----|-|---⌫----|
etdemaintekunchirie	-|-|-----|--------|
etdemaintb a r atmoltsauoit	-|-|----|-⌫-⌫-⌫-|---|-----|
c eluideman dequi lauoit	-⌫---|-----⌫-|-|-⌫|----|
quesisoloit	--|-|-----|
estreenuoisiés	----|---------|
e tde s autresliplus	-⌫|--⌫|-----|-|---|
la uiel leau oitanonaubree	-|----⌫-|--⌫--||--|-----|
ianef ustfe mmetantens erree	-|-|-⌫--|--⌫--|---|---⌫----|
ca sa cordellenetraisist	||-|-------|-|-------|
et liuallesl e s	-|-|-----|-⌫-⌫|
silicon ta toutmotamot	-|-|---⌫-|---|--||--|
commen t cellebourgoise amoit	------⌫|----|--------|----|
quisies toit pres	--|-|--⌫---|---|
sauoisin e	-|------⌫|
ma is sele puisen	--⌫-|-|-|---|-|
masaissine	-|-------|
auoiret uousmen	----|-|---||-|
grant preu i aue re ́s	----|---||---⌫--⌫-|
dumien aueriés plus	-|---|-------|---|
dey ymar s	-|-⌫|---⌫|
iusso it bien	--|--⌫-|---|
celel idistnai iésdoutanche	---|-⌫|---||--⌫---|--------|
maissoiiés entto ut a fianche	---|------|--|--⌫-||------|
ma isque ie	--⌫-|--|-|
etchieus li iureuolentiers	-|-----|-|---|---------|
quill ido nra liures	-|-|-⌫|--⌫--|-----|
tout maintenantsili	---|---------|-|-|
yy liur esli donna	-|----⌫-|-|----|
etcelledi stiane saura	-|----|--⌫-|-|-|----|
li bourgoissitres	-|-------|-|---|
p resgarder	-⌫--|-----|
queuo usnele	--|--⌫-|-|-|
puissiés trouuer	--------|------|
par tansentre uou setlate rre	--|---|----|---⌫|-|-|--⌫--|
mais aléstosl esdeniers	---|----|--|-⌫-|------|
et iepenserai	-|-|-------|
decesteoeuure	-|----|-----|
etchieussen	-|-----||-|
tou rneu n e hucheoeuur e	---⌫--|-⌫-⌫|----|-----⌫|
uilauoitd enier sasses	|-|----|-⌫-----⌫|----|
que sesperesauoit amass és	--|--|----|----|-----⌫--|
yyliur e suap rendan t	-|----⌫-⌫|-|-⌫------⌫|
etsi sentou rnamaintenant	-|-||-|---⌫--|---------|
lesdeniersen t orsluiatourne	--|------|--⌫-⌫--|--|------|
iusq uaaaubreenesei our ne	----⌫|||-----|-|---⌫---⌫-|
si lidonne yy li ures	-|-|----|-|--⌫---|
mais il n est	---|-||--|
pa s deltoutd e liures	--⌫|--|---|-⌫-⌫-----|
qu encorimetr a s one scot	-|----||----⌫|-⌫-|-⌫---|
prestész z	-------|-⌫|
uertsercot	---|-----|
fai t aubree d eliu r ement	---⌫|-----|-⌫----⌫-⌫----|
et c hieus qu i son	-|-⌫----|--⌫|--|
commandement	-----------|
sansnulcontredit	---|--|--------|
quanquelauielleadit	------|-|-----||--|
b i enaamours en	-⌫-⌫-||-----|-|
sondestroit	--|-------|
etcelle pl oie bienestroi t	-|----|--⌫--|---|------⌫|
le sercot e tmist	-|-----|-⌫|---|
soussasiele	---||-----|
puises t sailliede sa siele	---|--⌫|------|-|-|----|
siafub lezz	-|----⌫-|-|
mantelcourt	-----|----|
tou tensiuerslostelsen	---⌫|---|---||----||-|
cefuparz ziour demarkie	-|-|--|-⌫|---|-|-----|
que la uilleot	--|-|----|-|
bien encharqui e	---|---------⌫|
quel ibourgois nertp as laiens	--|-⌫|-------||--|-⌫-|-----|
edieusfa it ellesoi tchaiens	|----|--⌫-|---|---⌫|------|
etsiu oussautma	-|-|-⌫--|---|-|
bi elledame	--⌫---|---|
e tdius si ait merchi del ame	-⌫|---|-|--|-----|-||--|
lau tr edamequi	|--⌫--⌫|---|--|
caronquescontremoi ne	--|-----|-----|--|-|
d eriensqueielide mandai se	-⌫|----|--|-|-|--⌫------⌫-|
ieli commandaisse	-|-|-----------|
afair eune cose	|----⌫|--|---|
se lfesistellepar monc hief	-||-----|---|--|--|-⌫---|
dieus la soille ellemefistbien	----|-|-----|---|-|---|---|
dameaubreeuou sfautil	---|-----|---⌫|---|-|
diteslenous	----|-|---|
oil dameieuiengauous	--|---|-|----||---|
m a filleelflanc	-⌫|----|-|----|
siuorroitde uin blanc	-|------|-|--|----|
unes eul epintelete	--|-⌫---⌫|--------|
car la goutemoltledeshaite	--|-|----|---|-|-------|
etzzseul deuospainsfait is	-|-|---|-|--|----|----⌫-|
maisque chesoit li pluspetis	---|--|--|---|-|---|----|
dieumerc hiiesui si honteuse	---|----⌫-|-|--|-|-------|
mais tantmengois s e le touse	---|---||------⌫-⌫|-|----|
qu illeme conuientd emande r	-|-|-|-|-------|-⌫------⌫|
ie neseuconqu estruander	-|-|---|----⌫-|-------|
ainsne men	---|-||-|
seuca idieparmame	---|-⌫---|--||--|
ena rés faitl adame	-|-⌫---|---|-⌫|---|
quiertapriueemaignie	--|--||-----|------|
cellequi moltert en rais ni e	----|--|---|--|--⌫----⌫--⌫|
dalesle bourgoisses	----|-|---------||
cierte s dist el le molt	------⌫|---|--⌫-|---|
quei odeuous si gransbiendire	--|||-|---|-|----|---|---|
comme nt sema intie ntoreu o	-----⌫-|-|--⌫-----⌫-|--|-⌫|
u ous faitil	-⌫--|---|-|
souuentb elechiere	------|-⌫--|-----|
ilauoi tl au trem o ltch ere	-|----⌫||--⌫--|-⌫-⌫-|--⌫--|
lautre auo it	|----|---⌫-|
moltdeson del it	---|-|--|---⌫-|
o ruoeili e	-⌫|----|-⌫|
ueoiruostre lit	----|-----|--|
dont saura iiebien apertem ent	---|-----⌫|-|---|-------⌫--|
aus sibelement	---⌫-|-------|
comfaiso it la prem ier e femme	--|-----⌫-|-|----⌫---⌫|----|
maintenan t se lieue	---------⌫|-|----|
etlarich iausa ubre eap re s	-|-|----⌫---|-⌫----⌫|--⌫--⌫|
en unecambre ill uec apres	-|--|-----|---⌫--|----|
a ndeus ensamble senentrerent	-⌫----|-------||-|--------|
demai ntescoses iparleren t	-|---⌫---|----||--------⌫|
lesertde lobes	-|---|-|----|
ladame li m ou st rese sro bes	-|---|-|-⌫--⌫--⌫-|--⌫|--⌫--|
et p uis limoustreune gran t c ouche	-|-⌫--|-|------|--|----⌫|-⌫----|
aubreedistellech icouche	-----|---|---|--⌫|-----|
mesireetiedeles	-|---|-|-|----|
lilisfu fai sd une str ainb lanc	-|--|-|---⌫||-|-⌫---⌫--|-⌫---|
ou ilotgrant k eutedeplume	-|-|-|----|-⌫---|-|----|
ce qu e onnesi empl ume	-|--⌫|-|-|||----⌫--|
ot desseur eunekeute p ointe	-|-------⌫|--|----|-⌫----|
aubr eeotu n e	----⌫-|-|-⌫-⌫|
aguillea poi n te	------||---⌫-⌫-|
etledelquiestoitdarcal	-|-|--|--|-----||----|
az z fi l l a tacha a ua l	|-⌫|--⌫||-⌫----|-⌫--⌫|
enselcauech	--|-|-----|
desonsercot	-|--|-----|
queledesous sonbrach portoi t	-|--|-----|--|----|------⌫|
mo ltl estraintpresdesonc oste	--⌫-||-------|---|-|--|-⌫---|
mais ainsquela	---|------|-|
dameait conté	---|--|-----|
nedi tesaparoletoute	-|--⌫-|-|-----|----|
dam eaubreebelem ent b ou te	---⌫|-----|-----⌫--|-⌫--⌫-|
le sercort p a r	-|------|-⌫-⌫|
des so us lac ouche	---⌫--⌫-|-|-⌫----|
et puisaditpuis pentecouste	-|---||--|---|----------|
neuiiemaissi richelit	-|-|-|---|-|----|--|
plusauésuoirde uodelit	---|----|---|-|-|----|
queneutl ia utre bien me	--||--|-⌫|-⌫---|---|-|
senissentdela	|-|-----|-|-|
etaubretou s	-|----|---⌫|
iours sermonne	----|-------|
la damemainte na nt	-|---|------⌫--⌫-|
pl ainpotde uin etune	--⌫--|--|-|--|-|--|
bac onune grantflich e	---⌫-|--|----|-----⌫|
etd epoisunegra ntpotee	-|-⌫|---|--|---⌫-|----|
bien estlibourgoisseassotee	---|--|-|---------|------|
parlauillemais nenset	--|-|----|---||-|--|
dameau br eeplustostque pot	---|--⌫--⌫-|---|---|--|--|
uers sonostel droitsenreuient	---|--|----|----||-|------|
delbourgo is dire m e	--|------⌫-|---|-⌫|
quidumarc hiet u ient etrepair e	--|-|----⌫---|-⌫---|-|------⌫|
etsen reuienta s onrepai re	-||-|------||-⌫-|-----⌫-|
e tdistque	-⌫|---|--|
ses chieslidoloit	--|----|-|-----|
et p ou r che	-|-⌫--⌫|--|
quedormiruoloit	--|-----|-----|
secha mbresise	-|---⌫---|-|-|
tantost quilfus or lecouche	------|-|-|-|-⌫-|-|-----|
serc ot bocheiier	----⌫-|--------|
puis leco mmen ceapochoiier	---|-|--⌫----⌫-||--------|
kilnesetquiligr ieue	|-|-|--|--|-|--⌫---|
m ainten antlekeutesouslieue	-⌫------⌫--|-|----|--------|
sien a tr aitl es ercot fors	-|-||--⌫--|-⌫|-⌫----|---|
le feristou cors	-|-----|-|---|
dun coutiel pardessusleflanc	|-|------|--|-----|-|----|
nenissist ilgoute sde	|-|-----|-|-----⌫|-|
tantfudu rement abaubi s	---|-|--⌫-----|------⌫|
helas fa itil con suitrais	-|--|--⌫-|-|--|--|----|
pourceliq u iain cnemama	---|---|-⌫-⌫|---⌫|-||--|
lors u ienta l uissilefr em a	---|-⌫---|||--|-|-|--⌫--⌫|
etpuis reuientis nelem ent	-|---|------|--⌫-----⌫--|
en sacambreto ut	-|-|-----|--⌫-|
droitement	---------|
maintenanta lesercot pris	---------||-|-----|---|
teuls ialousiel en	----|-------||-|
q uies tpireque mau s	-⌫-|--⌫|---|--|---⌫|
deforsleregardeet ded en s	-----|-|------|-|---⌫--⌫|
biensanlle q uil acater l euoe ille	---|-----|-⌫|-|-----|-⌫|---⌫---|
membrequil	-----|-|-|
ne li duel le	-|-|----⌫-|
tantfuplain sde courousetdire	---|-|-----⌫|-|------|-||--|
ilque poraigedire	-|--|----|-|---|
decestsercortbiensai parm am e	-|---|------|---|--|--||--⌫|
qu il f uaulecheour	-|-|-⌫|-|-------|
queleanchoisses	-|--|------|--|
boinsconsenti	----|-------|
k ileust mo ncost e senti	|-|---|--⌫|----⌫|----|
leserco tprinsts ile ploia	-|-----⌫|-----|-⌫|-|----|
sorsonlitiuts is apoia	--|--|--|--|-⌫||----|
etpense k ilp orrafa ir e	-|----||-|-⌫---|--⌫--⌫|
et qu epl uspenseac e l afai re	-|--⌫|--⌫-|----||-⌫-⌫|----⌫-|
etplus l idouble se s	-|---|-⌫|-----|--⌫|
ensifutantqueuint la nuis	---|-|---|--|---|-|---|
qu i l ui t les huis c lospar	-|-⌫|--⌫|--|---|-⌫--|--|
l ors prentsafemmesile rue	-⌫--|----|-|----|-|-|--|
cel le qu i ne soi tloqu oi son	---⌫-|--⌫|-|---⌫||---⌫--⌫--|
p ourzzpeu kellen en	-⌫--|-|--||---||-|
es tder uee	--⌫|---⌫--|
atantestesuo usdame	|---|----|--⌫-|---|
enprendoitregart	-|-------|-----|
mabie llefill edieus	-|---⌫--|----⌫|----|
fa i taubree	--⌫-⌫|-----|
que faistuchi	--|---|-|--|
a h idameaubree	-⌫-⌫|---|-----|
m e sm arisesti rés a moi	-⌫-⌫|-⌫---|--|-⌫---||--|
etsinesaidire	-|-|-|--|---|
ne ne saique	-|-|--|--|
onli a co nté	-|-||--⌫---|
fai tes meuiaus	---⌫--|-|----|
tant deb onte	---|-|-⌫---|
queuenéso	--|-----||
moi chies monpere	--|----|--|---|
auoifaitellepa rsaintpierre	---|---|---|--⌫|----|-----|
neluauro iepour	-||-----⌫-|---|
u eust uque tes	-⌫--|-⌫|--|--|
pere stec o se	----⌫|-|-⌫-⌫-|
ilquid eroittout	-|----⌫----|---|
e ntresait	-⌫-------|
queeuisse s a	--|------⌫||
tonbaronfa it	--|----|--⌫-|
grantuilonnie	----|-------|
et qu i l teus tbouteehors	-|-|-⌫||---⌫|-----|---|
quicu idastqu il	--|--⌫----|-|-|
teustt rouuee	|---|-⌫-----|
eto tonlecheur tr ouuee	-||--|------|--⌫----|
oresti equi ttes baronsiur es	-|--|-⌫|---⌫|--|-----|---⌫-|
si ens er ademai n del iures	-|-|-⌫--⌫|-----⌫|---⌫----|
maisie te loc	---|-|-|--|
en boin efoi	-|----⌫|--|
quetuten uiengnesauoec	--|-||-|-------|----|
gensson tces	---|---⌫|--|
rueswid es	---|---⌫-|
mie useste mploiés	---⌫-|--|-⌫-------|
quenequi des	--|-|---⌫--|
li pains liuins	-|----|-|---|
li cha rs li po is	-|---⌫-|-|--⌫-|
iet esrendrai ado uble pois	-||-|------||--⌫---|---|
le guerredonet leseruic he	-|--------|-|-|------⌫-|
iler t tout fait	-|--⌫|---|---|
quanquetuuor ras	------|-|---⌫--|
il ne tefaut	-|-|-|---|
forscommander	---|--------|
cartuserasmoltbiencelee	--|-|----|---|---|----|
dedensm a cambrearecel e e	-----|-⌫|-----||-----⌫-⌫|
q uei anus homn	-⌫-|-⌫|--|--||
dessiquetes	----|--|--|
t resp assee toutes	-⌫----⌫----|----||
maintenant la da me sadrec he	---------|-|--⌫-||-----⌫-|
la richiausaubreelemmaine	-|-------|-----||------|
d ame faitele unesemaine	-⌫--|---|--|--|------|
p orrés uouschaiensestre	-⌫-----|---|------|----|
queia nusnesaur auo stre	--|-|--|-|----⌫|--⌫---|
lorslasemonsedemengier	---|||------|-|------|
mais lad ameenafaitdangier	---|-|-⌫--|-||---|------|
et distque iadie unepleust	-|---|--|-|---⌫|-|-----|
quemais mengast nebeust	--|---|------|-|----|
honte eue e	----|---⌫|
et dameaubrees	-|---|-----||
erraumentdelipr ee c hier	--------|-|-|--⌫--⌫-⌫---|
p uislenafaitaler	-⌫--||-||---|---|
c ouchie r	-⌫------⌫|
enu necambre illuec quesiouste	-|-⌫-|-----|------⌫---|-----|
sourbellit etsour	---|--|--|-|---|
belekou te	---|---⌫-|
etmoltricementl	-|---|-------||
anch ois frem a l ui sa le	----⌫--|----⌫||--⌫||-|
d e lamaisonse n istsouef	-⌫|-|-----||-⌫|--|----|
etpuis senuaisnelepas	-|---||-|-|--------|
pourle ualletquinedort p as	---|-|-----|--|-|---|-⌫-|
ains tourneenso nlit	---|-----|-|--⌫|--|
molt c rientqu el auillen oublit	---|-⌫----|--⌫|-⌫|----||-----|
chouk elle liauoit	---||---|-|----|
en c onuent	-|-⌫-----|
delcuersouspire molt so uuen t	--|---|-------|---|--⌫----⌫|
ilsautdesonlitt restous	-|---|-|--|--|-⌫------|
uiestets iestue nus	----|-|-⌫|--|--⌫--|
aune fenestreapoiier	|--|-------|------|
kisonleuwier	-|--|------|
ueutdetoutent outdeseruir	---|-|---|-|-⌫--|-------|
etl eual le tades seruir	-|-⌫|---⌫--⌫|---|-----|
ne tourne ad estre	-|-----||-⌫----|
ne a sen estre	-||---⌫----|
true ue ala fen estre	----⌫-||-|---⌫----|
illidem ande quelsnouuile s	-|-|---⌫---|----|-------⌫|
elle l irespont	---|-⌫|------|
amieensenm eslas	---|--|-|-⌫-|--|
a uo i rempues	-⌫--⌫-⌫|-|---|
toutestons oula s	-----|--|-⌫----⌫|
iusques ademaincesteu re	------||-----|---|--⌫-|
et liuallesplus ni dem eu r e	-|-|-----|---|||---⌫--⌫-⌫|
auoecaubr eee nest	----|----⌫-|-⌫|--|
soue f auallelesd egres	----⌫|-----|--|-⌫----|
orsenu ontambe doiensamble	-||-|-⌫--|----⌫--|-------|
ilnauo itgaire s ce me	-||---⌫-|-----⌫|-|-|
qu elabou rgoisseert endorm ie	--⌫|-|---⌫------|--|------⌫-|
etcilqu inele	-|--|--⌫|-|-|
sed escauc hee t si	-|-⌫------⌫-|-⌫|-|
s e des pouille	-⌫|---⌫------|
da mefa itil selleso rguile	--⌫-|--⌫-|-||---||-⌫-----|
crie qu ef eraige	---|--⌫|-⌫---|-|
ouureruoeilparuostre con sei l	-----|----|--|-----|---⌫---⌫|
carbienmauésrendu mondro i t	--|---||----|----|--|---⌫-⌫|
ie c onsellera	-|-⌫--------|
fait au breeuasitecouque	---|--⌫---|-|-|-|-----|
s elepoint	|--|----|
uersto ise courece	---|--⌫|-|------|
ete l l e crieettu	-|-⌫-⌫-⌫|---|-|-|
oeuurelarobe sautdedens	-----|-|---|---|-----|
ma intenant qu elesentira	--⌫-------|-|--|------|
tabesoignef ai te ser a	-|-------|-⌫--⌫-|---⌫|
maintenan t le ueras	---------⌫|-|----|
semporasfaire t onplaisir	|-|----|----|-⌫-|------|
lu isdeffrumer	|-⌫-|--------|
si lais saenscelient rer	-|----⌫-|--|---|---⌫--|
quimolt for mentle	--|---|---⌫---|-|
e tdouc ement leg oulousoit	-⌫|----⌫----|-|-⌫--------|
delesla dame e st	----|-|---|-⌫-|
etmoltsouef	-|---|----|
l es liadoise	-⌫-|-|-----|
atantses uellala bourgoisse	----||--⌫----|-|---------|
qui depauorfuesbahie	--|-|----|-|------|
queceli sentse nestsaillie	--|---|---||-⌫|--|------|
forsde sonlitsi l embracha	---|-|--|--|-||-------|
sid istdamet ournés	-|-⌫--|---|-⌫------|
iesui l iu ostres	-|--|-⌫|-⌫-----|
do us amis	--⌫-|---|
cuiuousauése n	--|---|----|-⌫|
maistanta ifait	---|---|-⌫|---|
dieumerchi	---|-----|
quet outenueuousti en	--|-⌫---|--|---|--⌫-|
deden sce st e cambre enserree	-----⌫|--⌫--⌫|-----|-------|
molt uousau oied esiree	---|---|--⌫--|-⌫-----|
ciertesfai telerien s neuau t	------|---⌫|--|----⌫|-|---⌫|
qu eiecriera i asi haut	--⌫|-|-----|-⌫|-|---|
que c h iseratantost	--|-⌫-⌫|---|------|
t ou telagentdeceste	-⌫--⌫-|-|---|-|----|
d ame faitilnoient nemonte	-⌫--|---|-|-----|-|----|
ch i neuo i	--⌫|-|--⌫|
riensf orsuostrehonte	----|-⌫--|-----|----|
quant lesgra nsgens etles	----|--|---⌫-|---|-|--|
uous uerrontles m oi	---|------|--|-⌫-|
etsi estpl usdemienuit	-|-|--|--⌫-|-|------|
neszznequit	--|-|-|---|
fai t agrant plent e	---⌫||----|-----⌫|
deuostrecorsma	-|-----|---|-|
mi eusuous uient	--⌫--|---|----|
o requesoitcelee	-⌫-|--|---|----|
achiausdeforsnostreassamblee	|-----|-----|-----|--------|
que n usfors n ous	--|-⌫-|---|-⌫--|
yynele saiche	-|-|-|-----|
main tenant presd elil esache	----⌫-----|---|-⌫|-|-⌫|----|
c arne nq u ieri c hiplu sparl er	-⌫-||-⌫|-⌫-⌫--|-⌫-⌫-|---⌫|----⌫-|
neuilain mot ne	-|-----|--|-|
ruisconter	---|-----|
tout e la nuitiurent ensamble	----⌫|-|---|-----|-------|
la bourgoise depauourtr anble	-|--------|-|-----|--⌫----|
quelecri ent mo lt sonmari	-|--|---⌫--|--⌫-|--|---|
quimolt auoitlecuermari	--|---|----|-|---|---|
de safe mme nientne	-|-|--⌫--|----|-|
en quellieuellese gissoit	-|---|---|---|-|------|
faitbiens on	---|---|-⌫-|
sonamitie nt entresesbras	--|--|---⌫-|----|--|---|
liunsdelesla utre setrait	-|--|----||-⌫---|-|----|
iceleioieensamblefont	----|---|-------|---|
p our quo ila asamblése	-⌫--|---⌫|-|-------|-|
ens eldema in quants olaus	--|-|----⌫-|----|-⌫----|
etladame aubree selieue	-|-|---|-----|-|----|
s i a tornep lus tostquepot	-⌫|-⌫----|-⌫--|---|--|--|
char depor c	---|-|---⌫|
etcaponsenro st	-|-----|-|--⌫-|
etdespastesfaituenir	-|--|-----|---|----|
confaita compiengne faitis	|-|---||---------|-----|
e t lesboins ga stelesrasis	-⌫|--|----|--⌫-----|----|
lo rs fa it	--⌫-|--⌫-|
uenirpriueeme nt	----|--------⌫-|
etdu bo inui na son	-|-|--⌫-|--⌫||--|
sil esaassisaume ngier	-|-⌫-||----|-|--⌫----|
n i otnul quifesistdangier	||-|--|--|-----|------|
ains m engerentassesetburent	---|-⌫-------|----|-|-----|
etambed oi en	-|-----⌫-|-|
gr erechu irent	--⌫|-----⌫----|
l e seruigede da m e aubree	-⌫|------|-|--⌫-⌫|-----|
et quant ceuintl autreuespree	-|----|-|---||----|------|
que li solausen	--|-|-----|-|
d roi ts eto ur ne	-⌫---⌫|-⌫|--⌫--⌫-|
e td am e aubree lor ratourne	-⌫|-⌫--⌫|-----|--|-------|
chequ elesot quillor	--|-|--|--|-|-|--|
carellen imet	--|---|||--|
ri ensdusien	--⌫--|-|---|
cel le nu it ro ntt out lor	---⌫-|--⌫-|--⌫-|-⌫--|--|
ambedoi g issent bras	------|-⌫-----|---|
onque sdeueiller nefine rent	-----⌫|-|------|-|----⌫---|
lesmatines so n neren t	--|------|--⌫-⌫-----⌫|
asai n tcornille	|---⌫-⌫|-------|
tantost c om lac loqueont oie	------|-⌫-|-|-⌫----|--|--|
dame au breesisest leuee	---|--⌫---|-||--|----|
sisestuestue et atournee	-||--|-----|-|-------|
etuint aul it oucilgi ssoient	-|---|-|-⌫-|-|--|--⌫------|
amoursse ntracolo ient	-----||-⌫--------⌫---|
