quiabone matyreafeir e	--||---|-----||----⌫|
elesbo ens tenireatr aire	|--|--⌫--|----||---⌫---|
ma is delde la terre	--⌫-|-||-|-|----|
nedelapaisnedela g uere	-|-|-|---|-|-|-|-⌫---|
n e uoil orplusciendroit dire	-⌫|---|-|---|-|------|---|
einzreuen draiamamatir e	---|-----⌫---||-|-----⌫|
d el preudomecorteis	-⌫-|-------|------|
femede hautpa rage	---|-|---|--⌫---|
be l ee bonee ioiosee	--⌫-⌫||---||-----||
beene nse igniee	---|-⌫---⌫-----|
agrantioie	|----|---|
f ur en t e nsemble	-⌫--⌫--⌫|-⌫------|
lunc tenseis sim ei semble	---|---|---⌫-|-⌫-|-----|
tantquedous filz outdeladame	------|---|---|--|-|-|---|
netrouas t lent reske	-|------⌫|--|-⌫----|
aseintiame	|----|---|
s itres beals en fan zcomei l	-⌫|---|----|--⌫---⌫|---|-⌫|
t a ntcrur entetant xxx	-⌫-⌫-|----⌫--||---|--|
q uantilo urenten tendement	-⌫---|-|-⌫----|--⌫--------|
quemoultpl ourentatotegent	--|----|--⌫-----||---|---|
por lur bea lte porlorproecc e	--|--|---⌫--|--|--|------⌫|
por lorsens porl orge ntilesce	--|--|---|--|-⌫-|--⌫-------|
eq uetan t	|-⌫-|---⌫|
l iunse noutnong ill ebert	-⌫|--|-⌫|--|--|-⌫---⌫----|
lau treguat ierlemareschal	|--⌫--|----⌫--|-|--------|
de grant bialteerent	-|----|-----|----|
t antamend eren t	-⌫--|-----⌫----⌫|
etantcrurent	|---|------|
ensemble queche ualiersfurent	-------|--|---⌫------|-----|
mu lteurentbuencommencement	--⌫-|-----|---|-----------|
sei l durasse nt longement	-|-⌫|-------⌫-|--------|
emoltmenoi ent	|---|-----⌫--|
mai s morzqu i	---⌫|---|--⌫|
des boens aenuie	--|----||----|
ne p out s u ffrirneen durer	-|-⌫--|-⌫-⌫----|-|--⌫----|
kildeussentlon ges endurer	|-|-------|---⌫--|------|
issiauin tcon geuos di	---|----⌫|--|-|--|-|
li u ns desdeusama ladi	-|-⌫-|--|---|---⌫---|
a saleb ires coid ire	|-----⌫---||-|-⌫--|
unkesmestiern i orent mire	----|------|||----|---|
ne unke sri ens	-|----⌫|--⌫--|
nipout ualeir	||---|-----|
proec eneaueir	-----⌫|-|----|
ne reind e	-|---|-⌫|
mo rtnel sucurust	--⌫-|-||-------|
gra nt doe l eur entquant il	---⌫-|---⌫|---⌫--|----|-|
siuasleit e tant enplorerent	-|------||---|-|--------|
apoideduelnes	|--|-|---|-||
molt f uligrant e espes	---|-⌫|-|----||----|
liautresas esches	-|-----|-|-----|
u i tuersluiu enant	-⌫-⌫|---|--|-⌫----|
silidemandam ain ten ant	-|-|------|-⌫---⌫---⌫--|
sez tu nuue lesde mon frere	--|-|----⌫--|-|--|----|
dolen t o leide here	-----⌫||----|---|
kecil auo itsortute rien	-|--|---⌫-|--|---|---|
di s tsidexp laistil	--⌫-⌫|-|--|-⌫----|-|
ou faitilmis frere sest morz	-|---|-|--|-----⌫|--|---|
certma i o iec ert	|--|-|-⌫-⌫-||--|
mi sc o nfort	--⌫|-⌫-⌫----|
certtoz lidelizque	|--|--|-|----|--|
iamaisioiene ser amoie	-----|---|-|---⌫|---|
itant dist esis adola	----|---||-||----|
einz puisnebutne	---|---|-|--|-|
einzmurust de	---|-----|-|
doel de s un frere	---|-|-⌫-|----|
grantduel enorentpe r e	----|---|-|----|--⌫-⌫|
cest raison	|--|-----|
natureleueut	-----|-|---|
qui acuer po rte e acue r deueu t	--||---|--⌫--|||---⌫|-----⌫|
m aisatant	-⌫--|----|
uos diioporueir	--|-|-|--|---|
que nuls nest asord eleir	--|---||--||----⌫----|
ne n uleioi easorio ir	-|-⌫--|---⌫||-----⌫-|
mais uol d re it oi r	---|---⌫-⌫--⌫-|--⌫|
delbonm aresc hel	--|--|-⌫-----⌫--|
neuosauroieditoan	-|--|-----|--|--|
se s granzouresn eses	--⌫|----|----|-⌫|--|
aip astutesaprises	-|-⌫-|----|------|
ma is e nsun tensfu	--⌫-|-⌫|--|---|-|
en g leter re	--⌫-⌫-----⌫-|
en grantd olurn e engr ant	-|----|-⌫---|-⌫|-|--⌫--|
r eing nesengrant discor de	-⌫----⌫--|-|----|------⌫-|
n e t rieue nec o nc orde	-⌫|-⌫----|-|-⌫-⌫--⌫---|
neiustisenefutenue	-|------|-|-|----|
ain zfulagueremaintenus	---⌫|-|-|----|--------|
s il cruele si	-⌫-|----||-|
long eme nt	----⌫---⌫-|
que moltdesploutagent	--|---|-------||---|
q ueraukunbaruns setindrent	-⌫--|----|-----|-|-------|
estiemble esi maintindren t	--------||-|-----------⌫|
ent ozpoin z	-|-⌫-|----⌫|
porcek ile r trei seen oinz	--|-||-|-⌫-⌫|---⌫||--⌫---|
liautrepor ueir	-|----|--|---|
q uecele qui e rtde l maslee i r	-⌫-|---|--|-⌫-|--⌫|----|-⌫-⌫|
deuoitla cor onetenir	-----|-|---⌫--|----|
ele rea lme maintenir	|-|---⌫--|--------|
issimunteentreeuslamesl ee	---|----|----|--|-|----⌫-|
quiunkesnefudesmeslee	--|----|-|-|--------|
desikeences e ntrefai tes	-----|-|--|-⌫-------⌫--|
io utmilarmes	|-⌫-|--|----|
de cors tr ai tes	-|---|--⌫--⌫--|
achaison coi dir e	-------||-|---⌫|
liquenspatr itde	-|----|----⌫-|-|
salesb ire	------⌫--|
gu err e ia molt le me rreschal	--⌫---⌫-⌫-|---|-|--⌫-------|
m aintennui lifiste	-⌫---|----|-|---||
eli ma reschazenseme nt	|-|--⌫------|------⌫-|
lifistdegran zennuizsouuen t	-|---|-|----⌫|-----|------⌫|
keresi uade te l bargaigne	--|--|-|-|--⌫|--------|
liunspertliautres gaaigne	-|--|---|-|-----|------|
n e toit ta irene totcon ter	-⌫|---|--⌫--|-|--|---⌫--|
quer aporreit monte r	---||------|-----⌫|
lorassemblees	--|---------|
ne loragaiz	-|--|----|
m aismai ntelancei o ut xxx	-⌫--|---⌫--|----||-⌫-|--|
maintetargedepeciee	-----|----|-------|
emaint e broingne ensang lante e	|-----⌫|-------|------⌫-----⌫|
emei ntealmedecors gi tee	|---⌫--|---|-|---|--⌫--|
emainteboin	|-----|---|
i outn aufr éoum ort	|--|-⌫----⌫-|-|-⌫--|
mai nte damefrari ne	---⌫--|---|-----⌫-|
emaintepuce leorphan ine	|-----|----⌫-|------⌫--|
qu eal erent	--⌫|--⌫----|
ah on taige	|-⌫--⌫----|
parsuf frete	--|---⌫----|
de m ariage	-|-⌫-----|
es tutes tre	--⌫--|--⌫--|
lemper eriz a sistuin cestre	|-----⌫---|-⌫---|---⌫-----|
ou eluifulimareschas	--⌫|--|-|-|--------|
qu ituzdizfu uerlu i	--⌫|--|--|-|--|--⌫|
autres barunsas es	-----|-----|--⌫-|
outentorla ui leamasez	--|----|-|--⌫-|-----|
qui lacit equ ido entpre ndre	--|-|---⌫|--⌫---⌫--|---⌫---|
m aisdedenz	-⌫--|-----|
auoitpordefendre	----|--|-------|
bonse genthar die	---||---|---⌫--|
quiporfairecheuale rie	--|--|----|-------⌫--|
s en is soientc hascun	|-|--⌫-----|-⌫-----|
p ortorn ier	-⌫-|----⌫--|
acelsd efors	|---|-⌫----|
m ais phelippe	-⌫--|-------|
decolumbeirs	-|---------|
i esteit to z	|-----|--⌫|
yembles erteproz	------|--||---|
kede deus parzlesuenqui ttuz	-|-|---|---|--|------⌫|--|
lireisi nelemente tost	-|---|-⌫-------||---|
asemblagrantgentegrantost	------|----|---||----|--|
pur u eniruincestrerescorre	--|-⌫---|--------|-------|
e por sabonegentsucur e	|--|-|---|---|-----⌫|
q uan tl l a mpereri zl oi dire	-⌫---⌫|-⌫|-⌫-------⌫||-|---|
grantost e atel ire	----|--|||--|--|
ueneit li re ispor sosprendr e	-----|-|--⌫-|--|---------⌫|
ouporocirreoupor pr endre	-|--|-----|-|--|--⌫----|
esi li fu dit c	|-|-|-|--||
estla sume	--|-|---|
qu el naueit	-|-||----|
pasledissimehome	--|-|------|---|
ensunhostki l e auei t	-|--|---||-⌫-⌫|----⌫|
ne l isembla ne beln e bu e n	-|-⌫|-----|-|--|-⌫|--⌫-⌫|
n ele no utsihau tconseillier	|--||-⌫-|-|---⌫|----------|
q uilorslaxxx	-⌫-|---|-|--|
f orsl imareschastote uoie	-⌫--|-⌫|--------|---|---|
laf is ttantost metre alauoie	-|-⌫--⌫|------|----||-|---|
to t dreit a lotegaresa le	--⌫|----||----------⌫-|
mut fuc elemale	--|-|-⌫--|---|
quer lirei so trestotson ost	---|-|---⌫||------|--|--|
enchausauistementtost	-------|--------|---|
ecilsouuent litrestor noent	|--|------|-|-------⌫----|
quiolada m e se naloent	--||-|--⌫-⌫||-⌫|-----|
k ences trestornees	|-|--|----------|
uitlom main te sselest urneis	--|--|----⌫--⌫|----|-⌫-----|
maint abatre prendr e	----|-----|------⌫|
purrei ntsuffrir ne at endre	------⌫-|------|-|--⌫----|
em perer iz er ent	--⌫-----⌫-|--⌫--|
alm eiz kuilp urentsenal ere n t	-|-⌫--|-|-|-⌫----||-|--⌫---⌫-⌫|
po ingnantsi	--⌫------|-|
quereg neni tind rent	--|---⌫-|||----⌫---|
so zuar es ualleu ind rent	--⌫|---⌫--⌫----|-⌫---⌫---|
mesformentl es de sauan cha	--|------|-⌫-|--⌫-----⌫--|
lem pereriz quixxx	|--⌫------|--|--|
cu mme femmefait en	--⌫--|----|---|-|
nese mblapas	-|--⌫---|--|
boenne seant	---|-|----|
almarechalanceis lidis t	-|-------|-----|-|---⌫|
damesima it iesu	---|-||-⌫-|---|
lom nep u et pasen	--|-|-⌫-⌫-|--|-|
s e a ntpoind re	-⌫-⌫-⌫-|-----⌫-|
les iambesuosco uientxxx	--|-----|--|--⌫----|--|
emetrepar en	|----|--|-|
s on la rcum	-⌫-||-⌫---|
e llefistuo lsisteleou non	-⌫|-|---|--⌫----|--|-|--|
qu erlor enemisgre u oient	--⌫-|--|-----|---⌫-⌫----|
li m aresch alsde	-|-⌫------⌫--|-|
direne qu efeire	---|-|--⌫|----|
r e scoseneconfort	-⌫-⌫----|-|------|
d ewalingofort	-⌫|----------|
com man da amener l a dame	---⌫---⌫-||----|-⌫|---|
e dists or	|---|-⌫-|
le per ildesalme	-|---⌫-|-||---|
qu ennullie une s aresteusent	-|-|--|---⌫|-||----------|
pornulbosoingquei leusent	--|--|------|--|-⌫|-----|
nen boneueieneen male	|-|---|---|-|-|---|
desiquano thegal esal e	-----||--⌫------⌫----⌫|
ec iltost e hastiuement	|-⌫-|---||----------|
enfi sttotsoncommande ment	-|--⌫-|--|--|--------⌫---|
lima reschas elguie s estut	-|--⌫------|-|---||----|
c ontrestut	-⌫--------|
t ute lost	-⌫--||--|
s urluidescarcha	-⌫-|--|--------|
q ui s i durementle cha rc ha	-⌫-|-⌫|-------|-|---⌫--⌫-|
plusdure r	---|----⌫|
t ropl ui fu ifort a	-⌫--|-⌫-|--⌫|---||
einzs enbatien unm o stier	---||-----|-|-|-⌫-⌫----|
noutoluikunsol	|--||--||-|--|
q u ant lire allesapercurent	-⌫-⌫--|-|--⌫-|--|---------|
quelmosti er enbatisef ure nt	-|-|-----⌫-|-----|-|-⌫---⌫-|
or califeusfunt ilorsa	-|-|-|---|---|-|-|-|
li tr aitr esn eligarra	-|--⌫----⌫-|-⌫|-|----|
quan tlifeuselmosteir sepri s t	----⌫|-|---|-|------|-|---⌫-⌫|
e ndel a torsemis t	-⌫|-|-⌫|--|-|---⌫|
licheualierslidistbeausire	-|---------|-|---|---|---|
orardrumcia	-|-----|-||
gra nt m artire	---⌫-|-⌫-----|
pecc hieze	----⌫---||
re ndomnossi	--⌫---|--|-|
fe r omquesages	--⌫-⌫-|--|----|
cilres pundim ultcruel men t	--|---⌫----|-⌫--|-----⌫---⌫|
nenparleria ge lt e defent	|-|-----|-|-||-⌫|-----|
diseiesplusne mai n s	------|---|-|---⌫-⌫|
o cirreie de	-⌫------|-|
m esmain s	-⌫-|----⌫|
granzfeusquifu en tor	----|---|--|-|--⌫--|
deie ta li pluns dela tor	----⌫-|-|----|-|-|--|
siquesorleuislichai	-|--|--|-|--|-|---|
duntleidementlimeschai	---|--------|-|------|
seselzi outpe rdu	--|--||--|--⌫--|
duntm oltsetint	---|-⌫--|-|---|
mais me rci	---|--⌫--|
dieu nimurust	---|||-----|
el irea lenesl epas	|-⌫|---⌫|-----⌫---|
por mortepor ars l equider ent	--|---||--|--|-⌫|------⌫--|
a uin cestres	|---⌫-----||
e nretu rnerent	-⌫|----⌫------|
maisn ifunemorzne es tei nz	---|||-|-|---|-|--⌫---⌫-|
qu antlif eusfu	--⌫--|-|-⌫--|-|
aukesestrei nz	----|------⌫-|
almi el zkuil pousts	-|--⌫--⌫|-|-|----||
en issi fors	-|---|---|
maisfuempe reizde lc ors	---|-|----⌫---|--⌫|-⌫--|
enal erapiemistre ntpei ne	-|--⌫-||--|------⌫-|---⌫-|
s e npeine	|-⌫|----|
to telanuitlor ueie	--⌫-|-|---|--|---|
de sikemerlebe r geuindrent	--⌫---|-------⌫-⌫-|-------|
equantcildelchastelle s u irent	|----|--|--|------|--⌫|-⌫----|
grant ioie e	----|---||
gr ant enorlorf irent	--⌫--|---|--|-⌫----|
mais tantuosdi certenemen t	---|---|--|-|----------⌫|
q uepuisasemblasigrantgent	-⌫-|---|------|-|----|---|
duntfist alrei as	---|---|-|--|-|
gr anzp eineseennuize mals	--⌫--|-⌫----||-----||---|
anoto garesale estei t	|----⌫-------|-----⌫|
ou grantg ent	-|----|-⌫--|
elire ise s teita uinces tre	|-|--⌫-|-⌫-⌫---||------⌫--|
qui outfait es pier s on	--|--|---|--⌫---|-⌫-|
si lim andaefist en tend er	-|-|-⌫---||---|--⌫----⌫-|
ques ilo i c	--||---⌫-⌫|
l euol eit atendre	-⌫|---⌫--|------|
qu e il leliuer ei tlende main	--⌫|-|-|-----⌫--⌫||----⌫---|
u ostpasesiprendrea mei n	-⌫--|--|--|------||---⌫|
limaresc heleinzl im anda	-|------⌫--|---|-⌫|-⌫---|
ilecne leten dr a	---|-|-|---⌫--⌫|
n esteitpash umealuiatendre	|-----|--|-⌫--||--|------|
a autresgieusuodr eit at endre	|-----|----|----⌫--|--⌫----|
equ antliroial ce oir ent	|--⌫--|-|----|-|---⌫--|
tr op folement	--⌫-|-------|
s enes ioi rent	|-|--⌫---⌫---|
e distrentkelde main	|-------||-|--⌫---|
e queparforce xxx	|--|--|----|--|
mais cil quibein enfu	---|--|--|---|-|-|
ne uoi l t pas l ai ssierdesgarni z	-|---⌫-⌫|--|-⌫--⌫----|--------⌫|
gentkeoluierent	---|-||--|----|
apreslamienuitsarme rent	----|-|------||----⌫---|
esag ement	|---⌫----|
t r e sikapraslaiornement	-⌫-⌫-⌫--|----||---------|
qu i lsembuschi erenten	-|-⌫||--------⌫----|-|
l a entenderuntl e s reals	-⌫|----------|-⌫-⌫|----|
e qua ntl aubefuespanie	|---⌫-||---|-|------|
lireis osagrantost banie	-|---||-|----|--|----|
deui ncestreforss en tu rne r ent	-|--⌫------|---||-|--⌫---⌫-⌫--|
fore mentqu e rdesarmez er ent	----⌫---|--⌫-⌫|-------|--⌫--|
forsdelur linges	---|-|--|-----|
t elesfuren t lor auentures	-⌫---|-----⌫|--|--------|
que cequtroue rent	--|-|-|-----⌫---|
pluspresasezk ilnequiderent	---|---|---||-|-|--------|
quer ilenl o rue ie	---|-|-|-⌫-⌫|--⌫-|
unc hes nul s li oinsasa	---⌫--|---⌫|--⌫---||-|
sic um cilcoruren t	-|-⌫-|--|-------⌫|
asd esarmezqu i arméfure nt	-|-⌫------|--⌫|----|----⌫-|
lan aueit m otdelmanecie r	-||----|-⌫-|--|-------⌫|
nedel parlernedeltentier	-|--|-----|-|--|------|
n ed esargu elz	-⌫|-⌫-|----⌫--|
nedesuent a nces	-|--|----⌫-⌫---|
as f e rs desgla iu es	-|-⌫-⌫-|--|---⌫--⌫-|
edeslances	|--|-----|
si durementsentr e c omtre irent	-|-------||----⌫-⌫-⌫-----⌫----|
que dereinnesentrespar ingnerent	--|-|---|-||---|-----⌫--------|
laustperduxxx	-|--|----|--|
laoutmeintmortxxx	-|--|----|---|--|
laespandimainte seruele	-|------|-----|------|
la trainna	-|------|
me inte boele	--⌫---|----|
laomme nteboenxxx	-|-|--⌫--|---|--|
parl eschans aler	--|-⌫-|----|---|
quern ulsnenten de ita el s prendre	---|-⌫--||-----⌫--⌫-||--⌫|------|
a illo rs l orconuene it	-⌫----⌫-|-⌫-|-------⌫-|
mais isiauint tote uoie	---|--|----|---|---|
quece lsconuintm etrea la	--|--⌫-|------|-⌫---||-|
q ui setrouer ent	-⌫-|-|------⌫--|
soufrirles	------|--|
quernitrouerentnulados	---|||--------|--|---|
silurconuinttorner lesdos	-|--|------|-----|--|--|
quinuldeslor	--|--|--|--|
uoltpr endre	---|--⌫----|
ni estut f ors ten drela	||----|-⌫--|---⌫--|-|
qu ar enel sn ou tpoint	--⌫-|-|--⌫||--⌫|----|
multr emaint decek efolpense	---|-⌫-----|-|-|-⌫|--|----|
multfui cele amere	---|--|---|----|
liquenspa trit desalesbere	-|----|--⌫---|-|--------|
perd ices meillor s x xx	----⌫|--|-------⌫|-⌫-|
dunt iose ibei n direlesn uns	---|-|--⌫|---⌫|---|--|-⌫--|
maisuoil ore	---|---|--|
ec ino m brer	--⌫|--⌫-⌫---|
q uen e u oilmon	-⌫-|-⌫|-⌫--|--|
enco mbrer	----⌫----|
maistro p rich eesc hecenmenerent	---|---⌫|----⌫|---⌫--|---------|
cilqui olem ares chaleren t	--|--||-|-⌫----⌫---|----⌫|
q uilordes perd i	-⌫-|--|---⌫----⌫|
largemen t	--------⌫|
ebel e riche ment	|--||-----⌫---|
a moltpaiése tindrent	|---|----|-|-------|
e mult lorfui	|---|--|--|
bel quiliuindr ent	--|-|-||-----⌫--|
mesfortu nequine	--|-----⌫-|--|-|
equisaroetuziurstorne	|--|-|--|--|---|----|
primesamont eau al	-----|----||--⌫-|
t orne ́del mont alual	-⌫----⌫|--|---|-|--|
meint homeq ui pointnese	----|---|-⌫-|----|-|-|
qu e unchessedona	--⌫|-----|-|---|
limareschasdesk eli quens	-|--------|----⌫|-|----|
at antdesautrisdes	|-⌫--|--|-----|--|
qu iloutasemblému ltgrantost	-|-|--|-------|--⌫-|----|--|
parleconseilparleco st	--|-|------|--|-|--⌫-|
del reiquilifui	--|--|--|-|--|
lifist maintegrantenu aie	-|---|-----|----|---⌫--|
elifirentgrantennui	|-|-----|----|----|
tropfortueins ina ueitenlui	---|---|-----⌫-|-⌫---|-|--|
siout l e peorge uparti	-|--|-⌫|---|--⌫|----|
desafeme sidepa rti	-|-|---|-|----⌫--|
parconse ilsi	--|-----⌫-|-|
puispristdamesele sibire	---|----|-------|-----|
laso ru rlec unt epatr iz	-|--⌫--⌫|-|-⌫---⌫|----⌫-|
ce nefi stil pa s aennuiz	-|-|--⌫-|-|--⌫||-----|
dentreel sladiscorde	|----|--⌫|-|-------|
puisi outamorconcorde	---||--|---|-------|
qui l urd uratute loruie	--|-⌫-|-⌫--|---|--|--|
desi m ais	-|-|-⌫--|
est dreisque ge	--|----|--|-|
d esbonsenf ansqu i leng endr a	-⌫-|---|---⌫--|-|-⌫|---⌫----⌫|
en la dame qu ilesposa	-|-|---|-|-|-----|
lid untelefumere	-|-⌫--|--|-|---|
iohancum meleper e	----|---⌫-|-|---⌫|
e lis econz	|-|-⌫----|
ou tnunwi lleme	--⌫|--|--⌫----|
siuosdi io k en	-|--|-|-||-|
cestreaume	---|-----|
nenui ntiorneisentoz	|-|--⌫-|------|-|--|
si prodom e	-|------⌫|
enson tens	-|--|---|
fuape lez anseals	-|---⌫--|------|
mul t fudeb oneiresbeaus	---⌫|-|---⌫------|----|
eliquartfuhenri	|-|----|-|----|
quidegrant	--|-|----|
bien furenume z	---|-|------⌫|
clersfudee nescrip ture	----|-|-|-⌫|------⌫---|
e fudebe le m an eure	|-|-|--⌫-|-⌫--⌫---|
sicommegent ilhomedeite stre	-|----|----⌫-|---|---|-⌫---|
puisfu auesk e s dee ccestre	---|-|-----⌫-⌫|-|-⌫------|
si ourent d elsserors mult beles	-|-----|-⌫--|-----|---|----|
em ultcorteises damiseles	|-⌫--|--------|--------|
degrant appareilacesmees	-|----|-------|-------|
richementfurent	--------|-----|
apresfu i u eriteclere	----|--⌫|-⌫----|----|
quel ireis	--|-⌫|---|
asistneubere	----|------|
a gr an tost a mult	|--⌫--⌫|--||---|
grant gent	----|---|
maiscefuisisou prise me nt	---|-|--|-|---⌫-----⌫--⌫-|
qunkes gardenes	|----|----|-||
endonerent	-|-------|
c il kided enz	-⌫-|-|---⌫--|
le chaste ler ent	-|------⌫|--⌫--|
deskesuirentlor poigneurs	-----|-----|--|--------|
lura rchiereslor coreors	--|-⌫-------|--|------|
elos tq uid es cend irent	||--⌫|-⌫-|-⌫--⌫----⌫----|
e tente s tendire nt	|-----⌫|-------⌫-|
quant ci ldedenzles	----|--⌫|-----|--|
ag a r derent	--⌫-⌫-⌫-----|
lorssoreuntbienquesoupreserent	---|------|---|--|------|----|
multlor desplut lesorp re sture	---|--|------|-|----⌫--⌫----|
ka r poigarn esture	--⌫|--|----⌫-----|
lire is p ermesage raisnable	-|--⌫-|-⌫-|-----|--------|
fist d em ander l ecu nestable	---|-⌫--⌫----|-⌫|--⌫-------|
si liuoldre itlechastelrendre	-|-|------⌫-|-|------|-----|
ou s iiluoldra	-|-⌫|-|-----|
def endr e	---⌫----⌫|
futostli conse ls pris	-|---|-|-----⌫-|---|
n e s um espasent repris	-⌫|-⌫--⌫-|--|---⌫-----|
d effend re	-⌫------⌫-|
nau omtalentdelcha stelrendre	|--⌫-|-----|--|---⌫---|-----|
a tantnus sume sahurré	-⌫---|--|----⌫|------|
quil eni auramainthurté	-|-|-||---|----|-----|
maintentestémaintpl aié	----|-------|----|--⌫---|
oudefer deglaiue oudespeie	-|-|--|-|-----|-||-----|
merchiéen telxxx	-------|-|--|--|
aueramestierforsde beiure	----|------|---|-|-----|
lireisuerslor	-|---|---|--|
gent sendura	---||-----|
la naissancebienen	-|--------|---|-|
meue nger eides uileins	-|--⌫----⌫-|--|------|
tutse n uenderuntpar mimesma ins	--||-⌫|--------|---⌫-|--|--⌫--|
or a sarmeseskuier	-|-⌫|----|------|
eboen seriantboenar chi er	|---|------|---|--⌫---⌫-|
nus les pr endrummal grelor	--|--|--⌫-----|---⌫--|--|
qu iprimesdedenz	--⌫|-----|-----|
lordurreidemanantie	--|-----|-|-------|
ia niertmais po ures	-||---|---|--⌫---|
qui l orsueistce stesk uiers	--|-⌫--|----|--⌫-|---⌫----|
prendreass	------|--|
fossesasteriers	-----|-|------|
asaillirmulther di ement	|------|---|---⌫--⌫----|
ecil ded enzp roeusement	|--|---⌫--|-⌫---------|
o grant irese defende nt	|----|--|-|-------⌫-|
pielz aguzlurtende nt	----|---|--|-----⌫-|
gran zfuz por	----⌫|--|--|
elsaterrer	--|------|
laidement l or	--------|-⌫-|
funtcomperer	---|-------|
lempri s ek	|-----⌫-⌫||
iluntsor elsf eite	-|--|--|--|-⌫---|
si poent el	-|----|-|
ser ade lfa ite	---⌫|--⌫---⌫--|
ma int enueist lomr eue rse r	--⌫--|-|----|--|-⌫---⌫---⌫|
trebuc hieren uerse r	------⌫---|--⌫-----⌫|
emaintblechiémaintpasm é	|----|-------|----|----⌫-|
ned eiuentpases tr eblas mé	-|-⌫-----|--|--⌫--⌫|----⌫--|
chastels i l se	------||-⌫|-|
quer nulprecei nsecorsnatend ent	---|--|------⌫|-----||-----⌫--|
c i l deforz eurentlinoauz	-⌫-⌫|-----|-----|-|----|
aitant remi stliasa uz	|----|----⌫-|-|---⌫-|
quimoltoutestép erillos	--|---|--|----|-⌫------|
enfumoltan goisous	-|-|---|--⌫------|
ei uraquautrement ir r e it	|-⌫--|-|--------|--⌫-⌫-⌫-|
n eiadelocnepa rti reit	-⌫|-||---|-|--⌫---⌫---|
desi k iilauereit latorprise	---|-⌫|-|------|-|--|----|
edecelzde denz fe i tiu st i se	|-|---|--⌫---|--⌫-⌫|--⌫--⌫-⌫-|
cildelchastel se purpe nserent	--|--|------|-|-----⌫------|
qui bonegen t erent	--|---|---⌫|----|
quune trieuexxx	-|--|-----|--|
tantsimandireient	---|-|----------|
seignoralo r mest re	------||--⌫|----⌫-|
