Mutf etbienkisunsensdespe nt	--|-⌫-|---|-|--|---|-----⌫-|
E tutcilk i lire	|--|--|-⌫|---|
Tulette l agrantcitéUli puples estmut	------|-⌫|----|----||-|-----|--|--|
Ert unsarceuesqueseslit	--|--|----------|----|
Deudequurparfit	--|-|---|-----|
Mutertdegrantreligiun	--|--|-|----|-------|
Hildefuns aueit nun	--------|----|--|
Mutsepenael	--|-|---|-|
DeuseruiseE	--|------||
mute shaucha sainte	--|-⌫------|-----|
fist sigrant	---|-|----|
Dameama plus kerien	---|--|---|-|---|
Deusaint e	--|-----⌫|
Ci st prudomertde	--⌫-|-----|--|-|
s a inte uie	-⌫-⌫---|--|
Ensal oenge u nl iurefistUsauirgi nitéd escrist	-|-|-⌫----|-⌫|-⌫---|---||-|-----⌫----|-⌫------|
Tantplotaladamecel	---|---||-|---|--|
Delliu rekecilot	--|---⌫-|-|--|-|
Quenuniurla uil se	-|-|-|--|-||-|-|
seeit Ele liureen	----||-|----|-|
sa mainte neit	-|---|--⌫---|
uintladam ealui ueire ment	---|-|---⌫||--|-----⌫---|
Silmercia mut d u ceme nt	--|-----|--|-⌫-⌫----⌫-|
Liarcheuesquessen	-|-----------||-|
esi ohiEde	---⌫--||-|
ceomut plusla serui	--|--|---|-|----|
Eestablike	|------|-|
enl uitime iur	-||-----|--|
Einz lafest e	---|-|----⌫|
Quelenlafes te	--||-|-|---⌫-|
dun c fe ïst	---⌫|--⌫---|
Dela uai l antemer e	-|-|---⌫-⌫---|---⌫|
Uitiurs ainz la	--|---|---|-|
Na tiui té	--⌫----⌫--|
Fust fete la solemnite ́E d	---|---|-|---------⌫|||
an enanetrefustanuel	-|-|-|-|-----|----|
Tuz t e n s u itiursainzle	--|-⌫-⌫-⌫|-⌫-|---|---|-|
Ennunci aciun	-------⌫----|
u enistd ede nz la	-⌫----|-⌫---⌫-|-|
Pas siunUenla semainede	---⌫---||-|-|------|-|
Noelfustfete	---|---|---|
partasche Emustraben ensuncuuent	--|-----||-----|--|-|--|-----|
La ra isunpu r	-|--⌫---|--⌫|
queietc umen t	---|-|-⌫----⌫|
Deudeinadelinestre	--|----|-|-|-----|
Si deustla	-|----|-|
f esteainzlasue	-⌫---|---|-|--|
Puisen c u ncillegeneral	---|-|-⌫-⌫-----|------|
Fistcelefestecumun al	---|---|----|-----⌫-|
Uncor eies t sice lebree	-----⌫||--⌫|-|--⌫-----|
Parles mu s ti erdelacu ntree	--|--|--⌫-⌫--⌫-|-|-|--⌫----|
D uncuint a luila	-⌫--|---||--|-|
dam ebe leUilsisten leuesqu a l	---⌫|--⌫-||-|---|-||------⌫-⌫|
Kidelauter	-|-||----|
esteit pres mise	-----|---|---|
Silm erci a decel	--|-⌫----⌫|-|--|
Unebeleaubeen	--|---|---|-|
samaintint	-|---|---|
Dis tlike de p a rai ̈suint	---⌫|-|-|-|-⌫-⌫---⌫-|---|
Ce stu estement queciai	--⌫-|-⌫-------|--|-|-|
Deparai ̈ sçala porta i	-|-----⌫-⌫|--||-⌫-----⌫|
Del paraïs munt resch e rfiz	--|------|--|-⌫--|--⌫-⌫|--|
Deden zaurasioieedelitz	-----⌫|----|---||-----|
ue stcestea ube k ene	--⌫-|----|-⌫--|-⌫|-|
Asfestesmunfize	-|-----|--|--||
Encestechaer eserras	-|----|-----⌫|-----|
Qu antteplaiste quantuudras	--⌫--|-|-----||----|-----|
Mes sacieztre s	--|-----|---⌫|
aprésteiN iseranulshumsanzdere i	-----|--|||---|---|--|---|----⌫|
Humnipurrasanzpeine entr er	--|||----|---|----|----⌫-|
a ubefors tu user	-⌫--|---|-|---|
Ioenpre ndraileuengement	-|-|---⌫----|-|--------|
Cum ditliot la profecie	--|--|-|-|-|-------|
lui leue s temen t Kaporté	--|-|--⌫-⌫-----⌫||------|
form ent lencheriE m utnettementle	----⌫--||------||-⌫-|--------|-|
Elseruis e	-|------⌫|
Icisthum d euints eintebo n	----|--|-⌫----|-⌫---||--⌫|
Pu salaboneureement	--⌫|--|-----------|
Delsecleal	--|----|-|
De usaint cuuent	--⌫|----|-----|
Mut boneessanpleas sunsl ais aDamercele	--|---|-------|-|---|-⌫---⌫||---|---|
Arce ues que esteite slit	----⌫---⌫--|-----|-⌫---|
Unsclersap re ́s sunsain tobit	--|----|--⌫--⌫-|--|----⌫|---|
Siagr ius esteit n umé	-----⌫--|-----|-⌫---|
fupoide la bun té	-|--|-|-|---⌫--|
D el s aintkianz archeuescheifu	-⌫-|-⌫---|-|--|----------||-|
Diablede ceü	-----|--⌫---|
Q uantenlachae re s asist	-⌫---|-|-|----⌫-||----|
Dameai nzcuntredist	---|--⌫-|---------|
L asa i nteaubeuole ituser Ecumencha	-⌫|--⌫-⌫--|---|----⌫-|---||-------|
Ensementcum esui hu muiuant	-------|---⌫|--|--⌫|-----|
Sifucil kimeifu de uan t	-|-|--|-|--|-|--⌫---⌫|
pu isi oben	--⌫-|-⌫|--|
Del uestemen tquil	--|--------⌫|-|-|
sout us e r	---|--⌫-⌫|
Euesquesuicum	------|--|--|
ilesteitEord enéentelen dreit	-|-----||---⌫---|-|--|--⌫----|
tut en sementE uesti	--|--⌫-----||----|
sei delues tement	--|--|---⌫-----|
Messitostcum il	--|-|---|--|-|
Delachaereaual chaïEsil estreinst	-|-|-----|---|----||-||--------|
le uestement	-|--------|
Quemortchai ̈su sdeement	--|---|----⌫|--⌫-------|
i fure ntiçouir ent	|----⌫-|---|---⌫--|
Dep oür de dut e fuïr ent	-|-⌫---|-|---⌫|-----⌫--|
Cel saintuest emen t	--|----|----⌫----⌫|
iduncp ristren t	----|-⌫-------⌫|
Eltresor delmustierlemis tr ent	-|-----|--|------|-|---⌫--⌫--|
Siguard enthunurablement	-|-----⌫--|------------|
es t iluerement	--⌫|-|-------|
Sibenignementhunura	-|----------|-----|
celu iquele am a	----⌫|-|--|--⌫|
Hildefunssuntre scher ami	--------|--|---⌫|---|--|
Purçoquede grélaserui	--|--|--|-|---|-|----|
Siagriusqu i lifistt ort	-------|--⌫|-|---|-⌫--|
Ne putguarir demale mort	-|--|-----|-|---|---|
Parç onusmu str eap ert eme n t	--|--⌫|--|--⌫---⌫|--⌫---⌫---⌫-⌫|
K equi qunkela	-⌫|---⌫----|-|
sertbonem ent	---|-----⌫--|
Deu aurapur ueirEl asuematin	--|---|--|---||-⌫|--|----|
D euseru irlanusduinst	-⌫-|----⌫-|-|--|-----|
E denos pec chezn us eslui nst	|-|--|---⌫---|-⌫-|-----⌫--|
Enunmustieru n	-|-|------|-⌫|
muine est ei t	----|---⌫--⌫|
Qui l asegresteinerie aueit	--|-⌫|-------------|----|
D elmustieret desapentiz	-⌫-|------|-|--|------|
Trop ama se culer sdeliz	---|--|--⌫-----⌫|----|
Di able slotformen t	--⌫----⌫||-|------⌫|
Engrant lecherielotmis	-|----|-------||-|--|
Iaseitç o ke feïst	-|---|--⌫|-|-----|
Quant d euantsunaut erala	----|-⌫----|--|---⌫-|--|
De m utbonqur la saluaE	-|-⌫-|--|--|-|----||
dist suuent	---|-----|
Pl e inedegrace	--⌫-⌫--|-|----|
Damned euseitensemble	------⌫-|---|-------|
Macheredam epens	-|----|---⌫|---|
Unfluu ieesteit presdelmus tier	-|----⌫-|-----|---|--|---⌫---|
Ucistfrereseut r epairer	|---|----|---|-⌫------|
Quan tilalo ten	----⌫|-|---⌫|-|
Pur p arf eresa l echerie	--|-⌫---⌫--|-|-⌫------|
Aui ntunen uit k	---⌫-|--|-⌫--||
Ale ralmalk il	---⌫|-|--||-|
feresoltAla uter	---|---|||-⌫---|
Damea laEladamebel sal ua	---|-⌫-||-|---|--|---⌫-|
Tu rna sen	--⌫--||-|
pu is uer celmestier	--⌫-|--|--|------|
Uueriles portesdel mustier	----|--|-----|--|------|
uintalfluuie	---|-|-----|
passerquida	-----|----|
Mesdiables	--|------|
e ns let r ebucha	-⌫-|-|-⌫-⌫-----|
II neiasudeeme nt	-|---|-------⌫-|
Cum cilqu i	--|--|--⌫|
e rtengreftur men t	-⌫-|-|---|---⌫---⌫|
Par sunpecchéperdisauie Denfernuint	--|--|------|----|-|--||-----|---|
Pur i cele almeseisir	--|-⌫---|---|-----|
Cume celequifi st	---|---|--|--⌫-|
sunplei sir	--|----⌫--|
Ma lfé lapri strent	--⌫---|-|---⌫-----|
etenmen ere nt	-|-----⌫---⌫-|
Enuer senfernla de buterent	-----⌫|-----|-|--⌫-------|
Deuki c ̧ouir ent	--|-|-⌫-|---⌫--|
Deugracei desce ndiren t	--|----||-----⌫------⌫|
Karil pense ntparauenture	--|-|-----⌫-|--|-------|
Sucur reicelecre ature	-----⌫-|----|---⌫----|
Li diab l epleind efelunie	-|----⌫-⌫|----|-⌫|------|
Di strentasangles	--⌫-----|-|-----|
grantfolieEd ientA queiiuenez	----|----||-⌫---||---||----|
Enceste al meriennaurez	-|----|--⌫-|---||----|
Karpariçoqu ele au ree	--|--|---|-|--||-⌫--|
N us este learei sunduneeE lianglese	-⌫-|--|-⌫-||---⌫--|----||-|----|-|
tur enttuit	---⌫--|---|
linetruuerentfrut	-|-|--------|---|
D untlipuissentfaire aïe	-⌫--|-|-------|----|---|
Estesuustos t sant e	----|--|---⌫|----⌫|
M arieEdistpargrantau torité	-⌫---||---|--|----|--⌫------|
A smauu ésquif urent	-⌫|----⌫--|--|-⌫----|
O d esperi t dec ul u ertise	-⌫|------⌫|-|-⌫--⌫-⌫-----|
Pur q ueiauez	--|-⌫--|---|
ces t e alme	---⌫-⌫|---|
Lidiab l elires pund irent	-|----⌫-⌫|-|---⌫----⌫----|
Quitut tensles al mes	--|--|---|--|--⌫--|
Purço que sifinasaui e A	--|--|--|-|---|-|--⌫||
nostre pleisir e nfolieElad am el ur	-----|------|-⌫|----||-|-⌫--⌫|-⌫-|
uu simentistesenemi	--⌫||--------|----|
Bi en saiquantcilialaAmeiuint	--⌫-|--|----|--||--||--|---|
quilunke s	-|-|----⌫|
Tuztensainz amei c ung é p rist	--|---|---||--|-⌫---⌫-|-⌫---|
Alaler ealreuenir	-|---||-|------|
Pu rç ole uus fraiguerpirNer tm iede	--⌫|--⌫|-|--|---|------||--⌫|-⌫-|-|
uostrep urchaz	-----|-⌫-----|
dites ketor t uusfaz	----|-|---⌫|--|--|
Metumleiu gementa uant	----|-|--⌫-----|-⌫---|
Deua nt munfizqu iest puisant	----⌫-|--|--|--⌫|--|------|
Sicumil estri uer ent si	-|--|-|-----⌫---⌫--|-|
Purl am ur sa mere	--||--⌫-|-|---|
Kel almea ucors ueni stariere	-||---|-⌫|---|----⌫-|-----|
Keelsecle preïst p e nite nc e	-|-|----|------|-⌫-⌫----⌫--⌫|
Deses mesf etzenpaci e nce	-|--|----⌫--|-|----⌫-⌫--|
Endementersquece stestrif	----------|--|--⌫-|-----|
Durasienturces tchai tif	---|-|----|---⌫|----⌫--|
uint li tensquelimoineelmuster	---|-|---|--|-|----|-|-----|
Durentleuer al	-----|----|-|
Deu mest er	--|----⌫-|
Purchanter	--|------|
matines l anu it	------|-⌫|--⌫-|
Mutsesmer uei llerent trestuit	--||-----⌫---⌫------|-------|
Kelurse insnesun eren tmi eDeusleue rentune	-|--|--⌫--|-|---⌫----⌫|--⌫||--|----⌫---|--|
partieEquistrentmutlursegrestein	-----||--------|--|--|---------|
Amunte aualtutfu enuein	----||---|--|-|-|---|
E quant ilukes neltruuerent	|----|-----|--|--------|
Auala l eues en	---|||--||-|
Tr uer entle mortetnei é	--⌫---⌫--|-|---|-|---⌫-|
Eenzenleu eaukesplunge ́	|--|-||--⌫|----|------⌫|
T reist rent en leuele	-⌫-----⌫---|-||--|-|
dolen t Esesmerueil erent	-----⌫|||---------⌫----|
Parquelache suniu enist	--|---|----⌫--||-⌫----|
Cilmuinesequeiiquei ̈s t	--|-----||---||----⌫--⌫|
ild e çoplus parle rentEcumepl usu rschoses	-|-⌫|--|---|-----⌫---||---|--⌫---⌫-|-----|
mustrerent	---------|
De cel m uinedece lchaitif	-|--|-⌫---|-|--⌫|------|
Sautilsuse ntre	---|-|--|-⌫---|
euss aineui f	--|-⌫--||--⌫|
Li a utrekiainz	-|-⌫---|-|---|
de luiparler ent	-|--|------⌫--|
Dep oür dedutetremb lerent	-|-⌫---|-|---|-----⌫-----|
otke keild eïst	-|-|-|-|-⌫----|
Ki mut uole n terss	-|--|----⌫-⌫---||
M escilles	-⌫-|--|--|
prentacunfortie rEpar	----||---------⌫||--|
ordre tutacunter	----|--||-----|
Cu mliau int par safolie Edel	--⌫|-|--⌫--|--|-|----||--|
sucurssainte	-----|-----|
MarieEcil loerent	----||--|------|
D eufor m en tE	-⌫-|---⌫-⌫--⌫||
dame ensem ent	---|-----⌫--|
Lifre res ki sifuguari	-|---⌫--|-|-|-|----|
Debonqurlad ame serui	-|--|--|-|-⌫--|----|
Sulementne lais ai l mie	-------|-|----⌫|-⌫|--|
Sundelit decele foli e	--|----|-|---|----⌫|
Maischascunautremauuésfet	---|------|----|------|--|
Suuint lui	-----|--|
assezde l malu eisplet	----|--⌫|----⌫--|---|
D untlidiable estriuerent	-⌫--|-|-----|----------|
Quantenuers enfer nlemenerent	----|-----|-----⌫|-|-------|
Mu tdemen apuisbone u ie	--⌫|-----⌫|---|---|-⌫-|
Deuadla cumpainieE	--|-|-|--------||
De u lanus duinst	--⌫|-|--|-----|
purcha c er	------⌫-⌫-|
Ke maufe ́ n	-|-----⌫||
que enginnier	--|--------|
Chartres labelecite ́	-------|-|---|----⌫|
Mistun clersdegrantlegierté	---|-|----|-|----|--------|
Muteste itde	--|----⌫-|-|
legieresmurs	-------|---|
Curesdelsecleama	----|--|----|--|
D eli t amaultremesure	-⌫---⌫|--|----|-----|
Eniçomist tutesa c ure	-|---|---|---|-|-⌫--|
Nequedentilot enmemoire	--------|-|-|-|------|
De u lerei	--⌫|-|--|
Sicume nus de lautrecuntames	-|---|--|-||----|-------|
Kedesm ui nes auantnuma smes	-|--|-⌫--⌫--|----|----⌫---|
Icist soleilt utensemen t	----|-----|-⌫-|-------⌫|
Salue rla dame	-----⌫|-|---|
Suuentlidist	-----|-|---|
Dame d e uus	---|-⌫|--|
requer aïe	-----|---|
Auint que cest clerc fuocis	----|--|---|----|-|---|
Cruele mentde sesenemis	------⌫---|-|--|-----|
Li puplesiuint delacuntr ee	-|-----||---|-|-|-----⌫-|
P ursafoler enu mee	-⌫-|-|---|-⌫---⌫--|
Iu gierentke digne nesteit Destree ncimitere pa r	--⌫------|-|----||-----||----|-⌫|-------|--⌫|
D efors le dusthumenterrerIçouoleientbien	-⌫----|-|---|--|-------|---|-------|---|
Crestientélidefendirent	----------|-|----------|
Li p restrede fo rs l	-|-⌫-----|--⌫--⌫-||
Sanz mes se etsanztute dreit ure	---|---⌫-|-|---|---|-----⌫--|
Mist rent l e	----⌫---|-⌫|
cors ensepulture	---|-|--------|
Cumche itif	--|---⌫---|
Kit u ziursdemena	-|-⌫-⌫|---|-----|
Quanttren teiursieu	----|----⌫-|---|--|
Siuilmentetentelendr e i t	-|------|-|-|--|----⌫-⌫-⌫|
Dame sainte	---|-----|
uint aunclerc deboneuie	---||-|----|-|---|--|
c umfustparma l tala nt	-⌫-|---|--|--⌫-⌫----⌫-|
uusauezfa it	--|---|--⌫-|
mutmalement	--|-------|
Demun c h a ncelierquiest	-|--|-⌫-⌫-⌫------|--|--|
Qui partort estladefors	--|--|---|--|-|-----|
Defors c imiter emeïstes	-----|-⌫------⌫|-------|
Munchance lie rsi	--|------⌫---⌫|-|
mes feïstes	---⌫-------|
Li clers prista esmeruelier	-|----|----||----------|
uostrechancelierEla	-----|---------||-|
dame sainte li dist	---|-----|-|---|
Cilkil aforssi ui lle mentgist	--|-|-⌫|---|-|--⌫---⌫---|---|
I cil estmichier schance liers	-⌫--|--|-|-----⌫|------⌫----|
Si meseru i mut uolentier s	-|-|----⌫|--|---------⌫|
Quantdeuant munauterala	----|-----|--|----|--|
Mutbonementmesalua	--|-------|-|----|
Demainparmatin lep e rnez	-----|--|----|-|-⌫-⌫---|
Elcimiterelemetez	-|-------|-|----|
Enterrezl eamultgr an	-------|-⌫||---|--⌫-|
Cumecel uiuerk iaigrantamur	---|---⌫-|--|-⌫|-|----|---|
Cil uint auantalpuple	--|---|----|-|----|
C um entlamere	-⌫--⌫--|-|---|
Liauei tditecuman dé	-|----⌫|--||-----⌫--|
De tutent ut l arecunté	-|--|-|-⌫-|||-------|
Li puples muts	-|-----|--||
esme ru eilot	----⌫--⌫----|
Desmerueiles ke cil cuntot	--|--------|-|--|-----|
Ecelmortdete rreleuerent	|--|---|-|--⌫--|-------|
Dedenz sabuc he dunc t ruerent	-----|-|---⌫-|---|-⌫------|
Un eflurmutbele et	--⌫|---|--|---|-|
mut chiere	--|-----|
Lalange truuere ntentere	-|----|-------⌫-|-----|
Cumeprested e	---|-----|-⌫|
Duntla dam eso ltsaluer	---|-|---⌫|--⌫-|-----|
dunkes iluc furent	-----|---|-----|
Aper tement sen apa rc eurent	----⌫-----||-|---⌫--⌫-----|
Kela b uche alkun	-|-|-⌫---|----|
bienfet outK	---|--|--||
a lasa inteda me	|-|--⌫---|--⌫-|
mut plot Ufustsaluufu stpriereEp ar	--|---||---|---||--⌫-|-----||-⌫-|
c ̧ofusalange entiere	-⌫-|-|-|----|------|
Pris trentsussunc orssil porte rent	----⌫----|--|--|-⌫--|--|-----⌫---|
El cimiterel enterrerent	-|-------||----------|
Mutes gracesa	----|-----||
Deu rendir en tEaladameki	--|------⌫--⌫|||-|---|-|
çouir ent	--|---⌫--|
Cr ei redeuum uera iement	--⌫--⌫-|----|----⌫-----|
Kepurlui ne lfistsulement	-|--|--|--⌫|---|-------|
Damesai nte	---|---⌫--|
Mes purn ustreire defolie	--|--|-⌫-|-----|-|----|
Eke nus am un	|-|--|--⌫-|
Ke despecchiezaiumm erci	-|--|-------|---|-⌫---|
Unsaut res cl e rsprudume	--|---⌫--|--⌫-⌫-|-----||
Mist e nun liunelsainu mer	---|-⌫|-|--|--|--|--⌫--|
Icistser ui	----|---⌫-|
Deub oneme ntEsa cheremere	--|-⌫-----⌫-||-|----|---|
Odço kesuns eruise fist	-|--|-|--|-⌫-----|---|
Cest e antieune	----⌫|-------|
süentdist	-----|---|
Deigen itrixchiere	--|---⌫----|-----|
Tute l antiunee nsaprier e	---||------|-⌫|-|-----⌫|
Cistcu menchamul t a	---|--⌫-----|---⌫||
E ncuntr eçokil	-⌫------⌫|--||-|
Ecumença multatre mbler	|-------|---||---⌫----|
De p oürdemo r ta	-|-⌫---|-|--⌫-⌫||
Dunc uint a lui sainte	---|---||--|-----|
MarieEdi stlui	----||--⌫-|--|
Iesu iuostre amie Aque auezpoür	-|--⌫|-----|---||--|---|----|
G a udemede ïst est a nt	-⌫-⌫--|-|--⌫----⌫-|-⌫-⌫-|
Kitantes f eiz menuncias tes	-|-----|-⌫--|-|-------⌫--|
Goiequa nt lanti une ch antastesN	---|---⌫-||----⌫--|--⌫-------||
aiéspoür neuus dutez	----|----|-|--|----|
Sach e zkemalnes entirez	----⌫-⌫|-|--|-|-⌫------|
La goiekeamei nunciaste s	-|---|-||--|---------⌫|
Q uanttantes feizmesaluastes	-⌫---|-----|---|-|--------|
D eso r een serez parçuniers	-⌫-|-⌫-⌫|-|----|----------|
Desgoiesedesgr anz	--|----||--|--⌫--|
Kedemei aueir	-|-|--|----|
e sperastes	-⌫--------|
bonqurchantast es	--|--|--------⌫-|
E tquantli clers	-⌫|----|-|----|
De lmalquid ot estre	--⌫|--|----⌫-|----|
g ua rdedelatristesce	-⌫--⌫--|-|-|--------|
Res ee r u oleit	---⌫--⌫|-⌫----|
parl eesce	--|-⌫----|
Maislal mese npartian eire	---||--⌫-||-⌫|----|--⌫---|
Dreit enparaïs tutsun e i re	----|-|------|--|--|-⌫-⌫-|
Sicumel adame ainz	-|---|-⌫|---|---|
Goieetle esce od	---|-|--⌫---|-|
Penernus de u um uolentiersA	----|--|--⌫-⌫-|---------||
p urcha cieritels lu iers	-⌫-----⌫---|----|--⌫---|
Seruir la dameen tute	-----|-|---|-|---|
Kieiss irentassuns	-|----⌫|---|-|---|
lelur seruise	-|--|------|
uis mes tkequiqunkeslase rt	--||--⌫|-|--------|-|--⌫-|
Debonl üerser a b iencertE	-|--|-⌫---|---⌫|-⌫--|---||
De ulanus duint s eruir	--⌫|-|--|----|-⌫----|
Que enparaïspuissumuenir	--|-|------|------|----|
Unspour es hum suf fret us	--|----⌫-|--|---⌫----⌫-|
une ui le entre gent	--|--⌫-|----|---|
Kichacuniu ral arequ erre	-|-----|--⌫|--⌫|----⌫---|
usen usp arla te rre	-|-|-|-⌫-|-|--⌫--|
Ki diçokei l siaqu ist	-||---|-|-⌫|-|---⌫--|
Ek e par le	|-⌫|--|-|
t rauail k efist	-⌫-----|-⌫|---|
Sipurchaçaa m angier	-|--------||-⌫-----|
b ienE cist amasurtu terien	-⌫--||---|--|--|--⌫-|---|
Deu silenhurot	--|-||------|
De tut sun	-|--|--|
quorla reclamot	---|-|-------|
Desi b onquo rla dame ama	-|-|-⌫-|---⌫|-|---|--|
Que dicelpainke	--||---|---|-|
ilpurchaça	-|--------|
Dunaas autre sbui s uin us	---|-|-----⌫|---⌫-⌫---⌫-|
As mendiansassuffreitus	-|-------|-|---------|
Tutpuram urs a int e	--|--|--⌫-|-⌫-⌫---⌫|
Fi stdes es almonesp artie	--⌫-|-|-⌫-|------|-⌫----|
Cisthumequantmurirdeuei t	---|---|----|----|-----⌫|
ladameaespleit	-|---||------|
Quede sunserfeüstme rc i	--|-|--|---|----|--⌫--⌫|
Sildeliu erastd e	--|-----⌫----|-⌫|
lenemiEque	|----||--|
paraï sli	------⌫|-|
ete nrepos lemenast	-|-⌫|----|-|-----|
Dunc ui ntsainte	---|--⌫-|-----|
Dist liA mei	---|-||--|
ert tu nref ui	--|--⌫|---⌫-|
O ret enuiename i	-⌫-||-|---||--⌫|
sa ns dela i	--⌫-|----⌫|
Enp a raïsbientemettr ai	-|-⌫-⌫----|---|-|-----⌫-|
Plu shursgenzcele uoizoïrent	---⌫----|---|---|---|------|
Quie nl ameisunescut firent	--|-⌫|-⌫|-----|----|-----|
E la uerite ́futostpruuee	|-|------⌫|-|---|-----|
K arl alme	-⌫-||---|
estdel c ors	--|--|-⌫--|
Sitostcumela	-|---|---|-|
Mur ut celpo ur esursunlit Elalmeen	---⌫-|--|--⌫--⌫|--|--|--|||---|-|
D ameen goiee hait	-⌫--|-|---||---|
Deu du institeldefinementAtute	--|--⌫---|---|---------||---|
crest ienegen t	-----⌫---|---⌫|
Cip oezmerueilesoïr	-|-⌫--|--------|---|
Deu uolentser uirE sa	--|-----|---⌫--||-|
duce me ree nse ment	---|--⌫-|-⌫---⌫---|
deiuenttu tegent	------|--⌫-|---|
li biensest re perdu	-|----|---⌫-|----|
Kiseitfait	-|---|---|
Chascunb ienert	------|-⌫--|--|
