cil qui se uent	--|--|--⌫---|
al arain editen plorant	|-⌫|----⌫|--|-|------|
i cine puizie	-⌫-|-|---|-|
p a spa ss er	-⌫-⌫|--⌫--⌫-|
c ariene soionqueznoer	-⌫-|-|-|--|-----|---|
prentfai tla rainecest	----|---⌫|-|----|---|
silief erme	-|--|-⌫---|
a ton iaret	|--|----|
et iela tacheraaumi en	-|-||-⌫------|-|--⌫-|
donclariuier epasseronbien	---|-|------⌫|-------|---|
lasorizces t delfil liee	-|----||--⌫|--|--|---|
a la rai necestatachié	|-|---⌫-||--|-------|
quant ellezuindrentelparfont	----|----|-------|-|------|
si lauoutlarainenoyer	-|-|---|-|----|----|
oli senc omenc eaplong i er	|-||-|-⌫-----⌫||-----⌫-⌫-|
e tla sorizen haut sescrie	-⌫|-|----|-|---||-----|
qui cu ida bienestreperie	--|--⌫--|---|----|----|
uns esc oflesuin tcorant	--|---⌫----|---⌫|-----|
u itlasoriz queu ai tpipant	-⌫-|-|----|--|-⌫--⌫|-----|
lez ele sc losaualdese nt	--|---⌫|-⌫--|---|----⌫-|
li e tlara in eensemb le	-|-⌫|-|--⌫--⌫|------⌫-|
a ndeusfurentauf il	-⌫----|-----|-|-⌫-|
larainefucorsue etgrans	-|----|-|-----|-|----|
lies choflez par	-|--⌫------|--|
l asori z laitlar aineapris e	-⌫|----⌫|---|-|-⌫---||----⌫|
a etde uoree	|-|--⌫----|
soris estdeliu ree	----|--|-----⌫--|
ausi fontlez	---|---|--|
maluai zfelons	------⌫|-----|
iana urontsi	-||-⌫----|-|
bonsconpag nonz	---|------⌫---|
tan tl orfacentb ien ni honor	---⌫|-⌫-|-----|-⌫--|-|----|
s i lorenuientpeineetdo lor	-⌫|--|-|----|----|-|--⌫--|
maiz il ra ui entacezsouent	---|-|--⌫--⌫--|---|-----|
qu ed elm ei smele	--⌫|-⌫-|-⌫--⌫--|-|
queas autres cuid e ntporchacier	--|-|-----|----⌫-⌫-|---------|
corsapa relier	---|---⌫-----|
orconteci dun chien	-|----|-||-|----|
demaleguisetricheor	-|---|----|-------|
cuneberbizenplaida	|--|-----|-------|
d euantiustizelen mena	-⌫----|------||--⌫---|
sili aunp ain	-|-||-|-⌫--|
de mand é	--⌫----⌫-|
qu illiauoitce dit presté	-|-|-|----|-|--|------|
la b erbi z totcerenoia	-|-⌫----⌫|--|-|-----|
etd it quenulne lipresta	-|-⌫-|--|--|-|-|-----|
liiugesauchi ein d emanda	-|----|-|---⌫--|-⌫-----|
se nul testimo ine ena	-|--|-------⌫--|-||
ilr espontqu il ena	-|-⌫-----|-|-|-||
cest liescof lesetlileuz	|--|-|-----⌫--|-|-|---|
cil f urentauant ame n é	--|-⌫----|----|---⌫-⌫-|
parserementontafermé	--|-------|--|------|
quesefuituo i rz	--|-|---|--⌫-⌫-|
que lich ie nzdit	--|-|--⌫--⌫-|--|
sauezporqoich acun	----|--|--|--⌫---|
quilenent endoien tauoirpartie	-|-|-|---⌫-------⌫|----|-----|
se laberbi zper ditlauie	-|-|-----⌫|---⌫--|-|--|
li iugeeo rdonc demanda	-|------⌫|---|------|
berbizqu ilapel a	-----|-|-|----⌫|
por que elle	--|--|---|
o tlepa inrenoié	-⌫|-|--⌫-|------|
ch ienz li au oit baill é	--⌫---|-|--⌫--|-----⌫-|
men tienotporpoi	---⌫-|-|-|--|--|
or lirenditainz quilfut piz	-|-|-----|---|-|-|--|--|
lachat iuenen	-|----⌫--||-|
otdourende	-||-|----|
do n cli couintsala ineuend e	--⌫-⌫|-|-----|-|--⌫--|----⌫|
iuerestoit defroit fu morte	---|-----|-|----|-|----|
lichienziuin tsa	-|-----||---⌫|-|
part enporte	---|-|----|
puizli louztropy ertatart	---|-|---|---||--||---|
qu elach ar fut entreiauz	--⌫|-|--⌫-|--|----|---|
cardeuian deo rentsofreté	--|-|----⌫-|-⌫---|-------|
nela berbiz puiz	-|-|-----|---|
etsis i rezlalai per di	-|-|-⌫-⌫--|||--|---⌫-|
ceste e ssampleuosuo il	----|-⌫------|--|--⌫-|
de meinthome la puizprouer	-|----|---|-|---|-----|
mentiretpar tr ichie r	-----|-|--|--⌫-----⌫|
fontlezpo urez	---|--|--⌫---|
souent pla dier	-----|---⌫---|
etfauztesmoi gne z	-|---|------⌫---⌫|
auanttraient	----|------|
auoirasp o ure z	----|-|-⌫-⌫---⌫|
lez p aient	--|-⌫----|
par une foizceuosrec ont	--|--|---|-|--|---⌫--|
p assoit unchien de surunpont	-⌫-----|-|----|--⌫--|-|---|
en sa bouche tint	-|-|-----|---|
quantilenmile ponuint	----|-|---|-|--|---|
en laigueuitlo mbredou fromage	-||----|--||-⌫---|--|------|
porpensa soi ens oncora ige	-------|--|-|-⌫-|----⌫--|
quauoirlesuol oitambe	-|----|--|---⌫--|---|
il ucfuitiltrop couoitouz	--⌫-|---|-|---|--------|
e n laiguesautlaboucheouri	-⌫||----|---|-|-----|---|
et li fromaige	-|-|-------|
eto mbr euitetomb refu	-|-⌫---⌫|--|-|---⌫-|-|
etsonfromaig ee n ot perdu	-|--|-------⌫|-⌫|-|----|
po rcesedeuenc hastie r	--⌫|-|-|----|-⌫------⌫|
cilquiueulenttrop couoitier	--|--|------|---|--------|
quipluzco uoit equ esondroit	--|---|--⌫----⌫|--⌫|--|----|
parli meis mez	--|-|----⌫--|
carce quilapert ilso uent	--|-|-|-||---|-|--⌫---|
et de l autruinailnient	-|-||-----|||-|----|
paressamplefait c ientendre	--|-------|---|-⌫|-------|
queliso leuz	--|-|--⌫---|
ueutfemepr e n dre	---|---|--⌫-⌫-⌫--|
ato te craturea dit	|--⌫-|------||--|
quechacunesen	--|------||-|
l es creaturezsasembl erent	-⌫-|--------||------⌫----|
a ladest ineee n alerent	|-|----⌫---|-⌫|------|
si most reren tlidel solail	-|----⌫-----⌫|-|--|-----|
requirtconsel	------|-----|
lad estine	-|-⌫-----|
lorcomande	--|------|
queuoirdient dela demande	--|---|----|-|-|------|
quauizlor estoit	-|---|--|-----|
celepa rl aquemia uzsauoit	---|--⌫--⌫|--|---⌫-|-----|
quantlisolaizfa itelleesthauz	----|-|-----|--⌫-|---|--|---|
el tensdest e	-|---||---⌫|
ou estlichauz	-|--|-|----|
laitri enz f ructifier	---|--⌫--|-⌫--------|
et terreet	-|----|-|
herbef ait sechier	----|-⌫--|------|
et s eila e sforcement	-|-⌫|-||-⌫---------|
e tconpaignieasontalent	-⌫|---------||--|-----|
nulerienne lporroit	---|---|-||------|
nesou zuiurenegar ir	-|---⌫|----|-|---⌫-|
ladestineerespondi	-|-------|-------|
u oirauez ditlaissonsensi	-⌫--|---|--|-------|---|
comilaes té	--|-||--⌫--|
ca ria po rmoyn ef or cera	--⌫|-|--⌫|--||--⌫--⌫---|
ici cha stielezplusors	--|---⌫---|--|------|
q uesoryausont	-⌫-|--|---|--|
l ez mauzseigno rs	-⌫-|---|------⌫-|
dyausa conpa ignier	|---|-⌫-----⌫-----|
compl uzestforte tpislor fait	--|--⌫-|--|---|-⌫|--|--|---|
tozio rsest	--|--⌫-|--|
de malaga i t	-|--|---⌫-⌫|
i ci au intc unlouronia	-⌫-|--⌫--||-|--|----|
unos qui el	-|-|--|-|
e tquant lifuuolésel	-⌫|----|-|-|-----|-|
mo ltdurementenfug reuez	--⌫-|-------|-|-|-⌫----|
bestez assembla	-----|-------|
e t lezoisei l z asoimanda	-⌫|--|-----⌫-⌫||--|----|
puizafaitceuzd emander	---||---|---|-⌫------|
sen ulzle set	-|-⌫--|-|--|
med icener	---⌫-----|
entr au zenont	---|--⌫|-|--|
lorc ons oilpr is	--|-⌫---⌫--|--⌫-|
ch acunendit lesienauiz	--⌫---|-|--|-|---|---|
forsl a gruece dient b ien	---|-⌫|---|-|----|-⌫--|
an ulzdi aus quisache rien	|-⌫--||-⌫--|--|----|---|
le c olaloncet lebecgroz	-|-⌫-||---|-|-|--|---|
si enporroitbien traire l	-|-|------|---|-----||
li louzlen promistgr a nt	-|---||-|------|--⌫-⌫-|
porce quillenueuleaidier	--|-|-|-||-|----|-----|
la grue metleb ec auan t	-|---|--|-|-⌫-|----⌫|
dedensl a gou le aumalfaisant	-----|-⌫|---⌫-|-|---------|
atrate t pui z l iquis t	|---|-⌫|---⌫|-⌫|----⌫|
pro mes seli	---⌫---⌫-|-|
ditpar ma ltale nt	--|--|--⌫-----⌫-|
et afermaparsarement	-|-----|--|-------|
q uli s em bloi t etuerite zfu	-⌫|-|-⌫--⌫----⌫|-|------⌫|-|
quebon louerena	--|--|----|-||
quantsatestee n sabouche	----|-|----|-⌫|-|-----|
es t ranglaet oscist	--⌫-⌫-----|-|-----|
tues f olef aitilprouee	-|-|-⌫--|-⌫--|-|-----|
qua nt de mo y es	---⌫-|-|--⌫|-|
uiueeshapee	---|------|
quetu requierzautrelouer	--|-|-------|----|----|
chara grantdesirer	---||----|------|
moyquisuilo u tien	--|--|--|--⌫|---|
dens ne tetranchat on col	---|-|-|------|-⌫-|--|
autresi e stdemal	------|-⌫-|-|--|
sepourez honlifaithonor	-|-----|--|-|---|----|
puizlidemande sonloier	---|-|------|--|----|
porquoiilsoitenson poier	--|---|-|---|-|--|----|
mer cier ledoitde sau ie	---⌫---|-|---|-|-|-⌫-|
ensileditla	---|-|--|-|
pr o phetie	--⌫-⌫-----|
de une lei sseuosueil	-|--|---⌫--|--|---|
quipresteesto itach aeler	--|-----|----⌫-||--⌫----|
mai znesoutou estrep eut	---⌫|-|---|-|----|-⌫--|
o ucezch ay aus auoirdeut	-⌫|--|--⌫--⌫--|----|---|
auneautr e l is se	|--|----⌫|-⌫--⌫-|
en son hos telsi	-|--|---⌫--|-|
tant que elle	---|--|---|
eutch aelé	--|--⌫----|
moltlensauro it ce di t	---||-|-----⌫-|-|--⌫|
tantla requise e t priee	---|||------|-⌫|----|
qu ece leolil ah a bergee	--⌫|--⌫-||-|||-⌫-⌫-----|
puiz quele	---|-|--|
oteucheiauz	-|-|------|
etpe tizfurentetbiaus	-|--⌫--|-----|-|----|
cel eaquili	---⌫||--|-|
ostelzestoit	-----|-----|
souent dam age auoit	-----|---⌫--|----|
de sa mazonl est uet	-|-|----||---⌫--|
maizp luz consentir	---|-⌫--|--------|
l autrese prita d eme nte r	|----|-|---||-⌫---⌫---⌫|
etdi tqu el neset ou	-|--⌫|-|-|-|--|-|
iuer e stoit p orla	---|-⌫----|-⌫-|-|
mor roitlafors	---⌫---|-|---|
don clireq uistpar	---⌫|-|---⌫---|--|
quelaheber ge troqu aeste	--|-|-----⌫-|----||---|
cel eou tdeli molt grantpitie	---⌫|--⌫|-|-|---|----|----|
aensi otroié	|---|------|
q ua ntlebiau	-⌫--⌫-|-|---|
t ensuitreuenir	-⌫--|--|------|
do nclezenroueforseis sir	--⌫-|--|-|---|---|---⌫--|
la utre comen saa i ur er	|-⌫---|-----⌫-||-⌫--⌫-|
seiamaizleno rroitparler	-|-----||-|-⌫----|-----|
que sez c haia uzle destrairoient	--|--|-⌫----⌫-|-|------------|
e t fors delu is labouteroient	-⌫|---|-||-⌫-|-|----------|
laforceestl or enl amaisson	-|----|--|-⌫-|-|-⌫|------|
ont misesanzra ison	--|---|---|--⌫---|
parcesteess ample poiez	--|----|---⌫----|----|
etparme intprodomeueo r	-|--|--⌫--|------|---⌫|
quepar b ontedelor cora ge	--|--|-⌫---|-|--|----⌫-|
sontchac iezhorsdelorheritage	---|----⌫--|---|-|--|-------|
quifel o nhomeal uiaqueut	--|---⌫-⌫|---||-⌫-|-----|
nes enpar miequantilueut	-||-|--|--|----|-|---|
cie dit dunesorizuileine	--|--||--|----|------|
qui auneuilleprochei ne	--||--|----|-------⌫-|
uo loitale rp or depor ter	--⌫---|---⌫|-⌫-|-----⌫--|
parmi unboislestuetpaser	----|-|---||-----|----|
dedensle bois lianuita	-----|-|---|-|-----|
une oletteilluctroua	--|-----|----|----|
queunesor iz	--|--|---⌫-|
douboi z otfait e	--|---⌫|-|----⌫|
qui saui ande	--|-|--⌫---|
iotatrai te	|-|-----⌫-|
lasor izdeu il ledemande	-|---⌫-|-|-⌫--⌫-|------|
seleotillucpointd euiande	|--|-|----|----|-⌫|-----|
selerespo nti en ayasse z	---|-----⌫-||-|-|----⌫|
u enezauantet si ueez	-⌫---|----|-|-|---|
sie usiezpluzconpaigni e	-|-⌫----|---|---------⌫|
si fus siez uosmoltbienserui e	-|---⌫---|--|---|---|-----⌫|
quant elle otpiecei llucesté	----|---|-|----|-⌫---|----|
asaconp aign een	|-|----⌫----⌫|-|
ditquic isestr ez	--|--|-⌫-|----⌫-|
est maluaiz	--|------|
etquee lleneueut demorermaiz	-|--|-⌫--|-|---|------|---|
senuiegne si aur a	|-|-----|-|---⌫|
riche z salez qu elli don ra	-----⌫|----|-|-|-|---⌫-|
belezdep encezbiausmeingiers	----|---⌫----|----|--------|
cele lacroi toluis	---|-|----⌫||--||
enrichezsalezlamena	-|-----|----|-|---|
siliamostré c ezse li ers	-|-||------|-⌫-|--⌫--⌫--|
sez d espensez et c ez	--|-⌫-------|-|-⌫-|
plantedefarineetdemiel	-----|-|-----|-|-|---|
c elecuidabienestreenciel	-⌫--|----|---|----|-|---|
aceuindrentl i botelier	|-|-------|-⌫|-------|
en treruolo ient en celier	--⌫---|----⌫---|-|-----|
sito st comilouriren t l	-|--⌫-|--|-|-------⌫||
les sorizf uient a spertuiz	--|----|-⌫----|-⌫|------|
l abocaig e fuesbah ie	-⌫|------⌫|-|-----⌫-|
quelo restr en esau o itmie	--|--⌫|----⌫|-⌫|---⌫-⌫-|--|
c elefumorneetendolor	-⌫--|-|----|-|-|----|
quioteu demortpa our	--|-|-|-|---|--⌫--|
saconpaignelaregard a	-|--------|-|------⌫|
pa rgrantdousor	--⌫|----|-----|
quels emblant fa i tezdouceamie	---|-⌫------|--⌫-⌫--|----|---|
iesuif aitellema lbailie	-|--|-⌫--|---|--⌫------|
porla pao rq u ei aeue	--|-|---⌫|-⌫-⌫|||--|
repen tquet	-----⌫|--||
t u m e con toiz tottonbien	-⌫|-⌫|---⌫---|--|--|---|
m esdetonmalne deizrien	-⌫-|-|--|--|-|---|---|
oras tupaordelagent	-|-|-|---|-|-|---|
decha sdezchienz t oten seme nt	-|---⌫|--|-----|-⌫-|--⌫----⌫-|
etdez enginzqueon faitpor toi	-|--|-----|--|-|---|--|--|
m i auzaimestreauboipar moi	-⌫-⌫--|--|----|-|--|--|--|
enseur te etsans douta nce	-|----⌫-|-|---|-----⌫--|
q uenta g rant	-⌫|-|-|-⌫---|
me sestance	--⌫-------|
ceste fableditsa n zrespi t	----|----|--|--⌫-⌫|-----⌫|
chacunsaintmiauzl esienpetit	------|---|----|-⌫|---|----|
qu il aen paiz	-|-||-|---|
etsan zdoutance	-|---⌫|-------|
quatrui ric hesseomese stanc e	-|----|---⌫----||----⌫-----⌫|
dont pue te st r e enleiaute	---|---⌫|-⌫--⌫-⌫|-|------|
etbien fen ir	-|---|---⌫-|
du n gopilcontela maniere	|-⌫|----|----|-|------|
quiesti ssusdesata niere	--|--|-⌫---|-|-|--⌫----|
etcezen fanzd euan	-|--|--⌫---|-⌫---|
unaigleuint lunen port a	-|----|---||-|-|----⌫|
ua itap res priant	--⌫-|--⌫--|-----|
qu i llir endeso nenfant	-|-⌫|-|-⌫---|--⌫|-----|
uotmie es coter	--|--|--⌫----|
si l en c oui nt a	-||-|-⌫---⌫-||
u ntysonpristdefeuardant	-⌫|----|----|-|--|-----|
et sechebuche uatcuillant	-|----|----|--|-------|
entorl echesn ele	----|-⌫|-----⌫|-|
ou liaglez sonniauoit	-|-|----|--|-|----|
liaiglezuit lefeuespriz	-|-----|--|-|--|-----|
au gopil prieetdit ami z	-|----|---|-|--|---⌫|
estei nlefeuprentonchael	-----⌫|-|--|---|--|----|
iaseront arstuitmi oysel	-|-----|--|---|-|----|
pa rcestees sam pl e	--⌫|----|--⌫---⌫--⌫|
entendonnos	-------|--|
qu ensiestdourich e orgoillois	-|---|--|--|----⌫|---------|
ia delpourenauramerci	-|--|----||---|----|
por sa plaintenepor	--|-|------|-|--|
mai zce cil	---⌫|-|--|
peutuengier	---|------|
d oncleuo rroitasoplier	-⌫--|-|--⌫----|-------|
comefitliai glez a ug opilz	---|--|-|--⌫---|-⌫|-⌫----|
sicome on conte e n	-|---|-|----|-⌫|
cez escriz	--|-----|
iad isest oitcos tumeetl oiz	---⌫-|---⌫--|---⌫---|-|-⌫--|
que lil eonzen estoi trois	--|-|-⌫---|-|-----⌫|---|
sortote z l ezbest es	--|----⌫|-⌫-|----⌫-|
q ui son t	-⌫-|---⌫|
l es quel ez conue rsen te n cetmont	-⌫-|----⌫-|-----⌫----⌫|-⌫|--|---|
debu gleoutfaitson seneschal	-|--⌫--|--|---|--|--------|
caraprouzletint	--||----|-|---|
au loud onasa prouostie	-|--|-⌫--|-|--------|
tuittroizens ontau	---|----|-|-⌫--|-|
uncerf trouerentet chace rent	-|---|--------|-|-----⌫---|
q uan t prizlorentsil escorchere nt	-⌫---⌫|---||----|-||----------⌫-|
bugle demanda	----|------|
c omentlec er fdepartira	-⌫----|-|-⌫--⌫|--------|
faitil en m onse ignor	---|-|-|-⌫-|--⌫----|
acuinos deuo nspo rter honor	|--|--|----⌫-|--⌫---|----|
lile o nsa	-|--⌫-⌫-||
ditetiuré	--|-|----|
quetuitseuent par	--|---|-----|--|
quelapremiere	--|-|-------|
porce quroizets ire estoit	--|-|-|---|-|-⌫--|-----|
etl au trepar p orle	-||--⌫--|--|-⌫-|-|
c ar ilote stélitierzcompaing	-⌫-|-|-|-⌫---|-|----|-------|
lautr e partieaurac e	|----⌫|-----|---|-⌫|
raisso nestoit c ar illosci t	------⌫|-----|-⌫-|-||----⌫|
bestele prenoit	----|-|------|
sezen emis	--|--⌫---|
mortelzser oit	------|---⌫--|
doncn i osan ulzathoc hier	---|||--|-⌫--|-----⌫---|
totlorestuet lecerflasier	--|--|-----|-|---|-----|
uneautrefoizot	--|----|---|-|
en bo izoli pl usconpaignons	-|--⌫-||-|--⌫-|----------|
lachieuree t	-|------|-⌫|
laberbisi fu	-|-----||-|
ont pris et re tenu	--|---|-|--⌫---|
enquatreparsuoloit partir	-|-----|---|-----|-----|
li leonsditie ue ilchosir	-|----|--|-|--⌫-|-----|
la gregn or pa rt do itestrem oie	-|-----⌫-|--⌫-|--⌫-|----|-⌫--|
carie suiz roislacorotroie	--|-|---|---|-|--|-----|
laut re aurac ardroiten a	|---⌫-|---|-⌫-|----|-||
etlatier ceplusfortne	-|-|----⌫-|---|---|-|
a iesidiuisee	|-|-|------|
aurasa nzla	---|--⌫-|-|
cil conpagnon	--|--------|
tuit lontlaissiési	---||--|-------|-|
s en fu irent	|-|--⌫----|
au tres iestnedotezmie	--⌫----⌫|--|-|----|--|
se p ourezhonprent	-|-⌫----|--|----|
conpaignie	---------|
aplusfortho me qu	|---|---|--⌫-|-|
iadelga aing naura esplo it	-|--|--⌫---||---|-----⌫-|
li riche ui autauoir l	-|----|--⌫--|----||
ou lipour ezpe rdrasamor	-|-|----⌫-|--⌫---||---|
se nu lgaaing	-|--⌫|-----|
deuent partir	-----|-----|
l iric hezueuttotretenir	-⌫|---⌫--|---|--|------|
ced it cu naigles u in t	-|-⌫-||-⌫|-----|-⌫--⌫|
iostelamerpo isson	----|-|--|--⌫----|
une uelquetrouaen tiere	--|-----|----|--⌫----|
maiznesout pas	---|-|---|--|
enquelemaniere	-|----|------|
