soignorsorescoutezque	-------|-|-------|--|
li dux sisesuoilai qui otdormi	-|--|-||-------|--|-|----|
r egardaisesgreno ns quec i l li a i	-⌫------|--|-----⌫-|--|-⌫-⌫|-|-⌫|
barbea ueu toutautretel	----||--|---|-------|
adonque s otteld oel apoun	-------⌫|-|--|-⌫--||--||
est forsa nnez	--|-----⌫---|
aueusondamoiselester	|--|--|-------|----|
quiancores tenoit soncoutel acer é	--|------|-----|--|-----|----⌫-|
des poin z	--|----⌫|
outélidu xporgra nt fir te	----|-|--⌫|--|---⌫-|---⌫-|
etpar zzs oulpeti tquine	-|--|-|-⌫--|----⌫|-||-|
lan atu é	|-||--⌫-|
parmontgrentmautalant lena ar aisoné	--|---|----|--------||-||--⌫------|
dam oisiaudebonai resmal	---⌫-----|-------⌫--|--|
m auezeng ine ́	|---|---⌫---⌫|
maudite soitorleureque	------|---|-||---|--|
futesangandrez	----|--------|
auroiuostre	-|--|-----|
p ereclam er	-⌫--|----⌫-|
quiuosferai lates teet	--|--|----|-|---⌫-|-|
l esmanbres coper	-⌫-|------|----|
qua nt floouantlantantsi co nmance aplorer	---⌫-|-------||-----|-|--⌫-----||-----|
m ercifait	-⌫---|---|
il b iau s m ai t res	-|-⌫---⌫|-⌫--⌫-⌫--|
an fer aia	-|---⌫-||
uos tr e uelon te	---⌫--⌫|-----⌫-|
liestc h euz sicommancea pl u rer	-|--|-⌫-⌫--|-|-------||--⌫-⌫--|
masne la puettrouer	--|-|-|---|-----|
mercifaitil biausmaitrespor deuledroturer	----|---|-|----|------|--|--|-|-------|
ieuosfe raidroiture de	-|--|--⌫--|-------|-|
g re et uo l untiers	-⌫-|-|--⌫-⌫------|
etsiuosand onra iyycora nzdestries	-|-|--|-|-⌫----⌫|-|----⌫-|-------|
ett restout learnoi sayychiual eir s	-|-⌫------|-|-----⌫||-|------⌫---⌫|
et de yycheti ausu os ancroitrai	-|-|-|-----⌫--|-⌫-|-|-------|
etrespo ndili duxdefoliep laidiez	-|-----⌫--|-|--|-|----|-⌫------|
iel irai orandroituostre peren oncier	-||---|--------|-----|---|-⌫-----|
quiuo s f eraiocireet	--|--⌫|-⌫---|----|-|
le smanbrestrainchie r	--⌫|------|---------⌫|
atants es ttorneznep rit al ui	----||--⌫|-----|-|-⌫--||-⌫-|
dou mantaides amine nuelope so n chief	--|-----|-|-⌫---|-⌫------|--⌫|----|
etestuenuza uroi qu ifranceot a	-|--|----|-⌫|--|--⌫|-----|-||
sanes ttornezqu i	|-|--⌫|-----|--⌫|
lecor ot iré	-|--|-|---|
douma ntaidesaminson chiefenuelopé	--|--⌫---|-|----|--|----|--------|
e ntresiou palais nesestmie ares tez	-⌫-----|-|-----|-||--|--|----⌫--|
etliroi scloouisiertde dormir liuez	-|-|---⌫|------|---|-|-----|----|
au moutiersai nt priue	-|------|---⌫-|----|
ouquesli dus le uoitaupi ezli est	-----|-|--|-|---|-|--⌫-|-|--|
le pielia baisié laiambe	-|--|-||------|-|----|
et lousole	-|--|---|
puisdescour esonchiefsi	---|-------⌫|--|----|-|
t outmo stré	-⌫--|--⌫----|
etquant li r oisleuitsili a	-|----|-|-⌫--|-|--|-|-||
de ma ndé	--⌫--⌫---|
sir e dus de bonairesqu iuosauorgon dez	---⌫|--|--⌫-------|--⌫|--||------⌫--|
enla mo ief oisireuostrefizli	-|-|--⌫-|-⌫-|---|-----|--|-|
quemauiésbaille i	--||-----|------⌫|
iermatinagarder	--|----||-----|
etpar z zsoul p etitqueienel ai	-|--|-⌫|---|-⌫---|--|-|-||-|
qua nt liro islentendiapounest	---⌫-|-|--⌫-||------||--||--|
yy cheualiersa liroisapele z	-|---------||-|---|-----⌫|
silora co nma nd é	-|--||--⌫---⌫--⌫-|
a ule zn idemorez	-⌫---⌫|||------|
icipo rdeuant	--|--⌫|-----|
moifloo uan tmamenez	--|----⌫---⌫||-----|
que paricelap ostrec	--|--|---|--⌫----||
onqu i ertannoironpre	-|--⌫-⌫--|-|-----|--|
fe rai det rare oule smanbrescoper	--⌫--|---⌫---|-|--⌫|------|----|
ouisigran t	-|--|----⌫|
iostise conlense rapanser	------|--|--|--⌫-|-----|
s a nsont tornez tantot	|-⌫|---|-----|-----|
san demorer	--|------|
o sentle r oi	-⌫---|-|-⌫-|
desd ireneu aer	----⌫--|-|-⌫--|
pa rde u antlui	--⌫|--⌫-⌫--|--|
liontfloouanamené	-|--|------|-----|
tanto t afaitliroiss	-----⌫||---|-|---||
espee demander	----|-------|
sot laroiine liuaicrier	--|-|-----|-|--|----|
a ba isie ́	|--⌫----⌫|
laia nbeetles ou l er	-|--⌫--|-|-|-⌫--⌫-⌫-|
sespeeliaportele chanbellanz	|----|-|-----|-|----------|
etlirois l aisaisieou iln	-|-|---||-|-----|-|-||
oque i rer	|--|-⌫--|
douforreatrait forstle	--|----||----|----|-|
brancforbidacier	----|----||----|
afl oou ant sonfi l enuo utle chieftran cher	|--⌫---⌫--|--|--⌫|-|--⌫-|-|----|----⌫---|
mas la francheroinepristle roi	--|-|------|----|----|-|--|
deuostrefizbausirepren gneuos anpitie	-|-----|--|--|---|----⌫--|--|-|----|
dam e cedi tli roisieuosan	---⌫|-|--⌫|-|---|-|--|-|
doinsle chief	----|-|----|
s orendro it ne forgu rem a terre ettot monfi er	|-------⌫-|-|-----⌫-|-⌫|----|-|--|--|--⌫-|
entre c ietyy anz marimet raile	-----⌫-⌫|-|-|--|--||---⌫--|-|
uo luntersfloouamrespondie	--⌫------|------|--------|
lessainz li	--|----|-|
apor terent ni otplusatargié	----⌫-----|||-|---|-------|
etfloouamiura quan t	-|------|---|----⌫|
sestagenoilliez	|--|----------|
antrera imaisenfra n ce lerenier	-------⌫|---|-|---⌫-⌫-|-|-----|
liroisi uré	-|---|-⌫---|
nenanmanra olu isergantn echeualier	-||-|----||--⌫|------|-⌫|--------|
a d oncafaitliroisetcrier e th uchier	-⌫-⌫--||---|-|---|-|----|-⌫|-⌫-----|
atoz cesquideluitienentterre nefier	|--|--|--|-|--|------|----|-|---|
le donasen tne argant neormier	-|-------⌫|-|-----|-|-|---|
ne armesnech euausn unsouli ora	-|----|-|--⌫----||-|---|-⌫-||
et se il lefa coienti aniuau dro it	-|-|-|-|--⌫-----|-⌫|||---⌫---⌫-|
qu ei lneperdesantlorter res	--⌫|-⌫|-|--------|--|---⌫--|
etl orfiers	-|-⌫-|----|
etsi loran feroittozlesma n brest roinch ier	-|-|--|-|-----|--|--|--⌫-⌫---|-⌫------⌫--|
at ants an est	--⌫--||-|--|
torn ezf lo ouamtoz ire z	----⌫-|-⌫--⌫---|--|---⌫|
quei lonquesnepristanulhomecon gie	--|-⌫|-----|-|----||--|---|---⌫--|
no isasachiere m ereque plus	--⌫-||-|-----|-⌫--|--|---|
letenoitchier	-|-----|----|
queel lenefacoitson	--|--⌫-|-|-----|--|
soignor dr oiturier	------|--⌫-------|
chiesson ho ste s an	----|--|--⌫--||-|
ui ntquim oltfita prisier	--⌫-|--|-⌫--|--||------|
ousesoloit	-|-|-----|
so uantrichemantabergier	--⌫---|--------|-------|
gantisbor goisestoit etdeparai ges fiers	-----|---⌫---|-----|-|-|-----⌫--|----|
floou amsilan aimolt	-----⌫-|-||-|-|---|
tresbie narainié	---|---⌫|-------|
e gantisoutes s i re s	|-----|----|-⌫-⌫--⌫|
uosarmes mebailiez	--|----|-|------|
anseru irai degreetuolentiers	-|----⌫---|-|--|-|---------|
ce rt esianiperdroisualesa ntzzdenier	--⌫--⌫-|-|||-------|------⌫-|-|-----|
qua yydou b lesnean coresuo lun ti ers	-||-|---⌫-⌫--|-|--⌫----|--⌫---⌫--⌫--|
sede xmelaiseancoresa nfra ncerepairer	-|--⌫|-|----|------|-⌫|---⌫--|-------|
sire m ol t	---|-⌫--⌫|
uolentierslioutes r esponder	---------|-|----|-⌫-------|
u estlo ua uberpuis a l	-⌫--|--⌫|-⌫---|---|||
elmela ci e ́	---|--⌫--⌫-⌫|
et pui slicin t lespeeau	-|---⌫|-|---⌫||----|-|
poin dor antailié	---||-|--------|
panduzzesc udecartier	----|-|---⌫|-|------|
et enp re slia	-|---⌫--⌫|-||
espiebailié	----|------|
puismo ntaiou ch eualetcilli	---|--⌫---|-|--⌫---|-|--|-|
ti n lestrie	--⌫||-----|
etquant ilfu montez	-|----|-|-|-----|
siai prislo con gi e	-|-|---|-|---⌫--⌫|
laiconmande ́ adeu led roi turier	|-|--------⌫||--|-|-⌫---⌫-----|
quidesfa nde soncorsdehonteetd	-||-----⌫--|--|---|-|----|-||
an conbrier	--⌫-------|
d elauilee s t is usnese	-⌫|-|---|-⌫-⌫|--⌫-|-|-|
uostatargier	---|-------|
dam edexloucond uep o r	---⌫---|--|----⌫-|-⌫-⌫|
car aincoisqu isoituesp res	--|--------||---|----⌫--|
seraiilcorrociez	----|-|--------|
a tant es u o suenirr ic hier	-⌫---|-|-⌫-⌫|----|-⌫--⌫---|
s o nescuer	-⌫-⌫|-----|
deriuiere est uenuzo u	-|------|--|----|-⌫|
il fu gebeci er	-|-|------⌫-|
quantoilanouelle moltpar fu c o rrocie z	----|-|-|------|---|--|-|-⌫-⌫------⌫|
desoniuneso ignorqui s ia pri s	-|--|---|--⌫----|--|-⌫||---⌫|
queparc el eauanture conlen l ia	--|--|-⌫--⌫|-------|--|--|-⌫||
estfloouanz	--|-------|
se ssires forsdou ra ine ch aci ez	--⌫|----|---|--|--⌫--|--⌫---⌫-|
montezestmeintenantenzzcorant dest ri e	-----|--|---------|-|-|-----|----⌫--⌫|
etiure damedeul e pere	-|---|------|-⌫|---|
droiturie r	---------⌫|
que il nelai ser a	--|-|-|---⌫---⌫|
pornulhome	--|--|---|
q u apre ssonseigno rn aile	-⌫|----⌫|--|------⌫||---|
flo ouant lepris ié	---⌫----|-|----⌫--|
en sonp oigasaisi	-|--|-⌫--||----|
pelaguisié	--|-------|
merele uitflo ouant	---|-|--|---⌫----|
lo ugerrer	--⌫|-----|
rich ieran apelais il anhaiesr ai nié	----⌫--|-|-----|-⌫||-|--|---⌫--⌫---|
saisilou porl ar eneet puis	----|--|--|-⌫|-⌫--|-|---|
pors on e spie	--|-⌫-|-⌫---|
etsilia baisie ́lesesperons des	-|-|-||------⌫|--|-------|--|
m erci fai til sirepor deu loudroiturier	-⌫---|---⌫|-|---|--|--|--|---------|
que demo nfizuos prangne e t marci	--|-|--⌫|--|--|------|-⌫|----|
dam ece d itrichier por	---⌫|-|-⌫-|------|--|
neantenplaidiez	----|-|-------|
certes nelifaudroieporlesmanbre strench ier	-----|-|-|-------|--|--|------⌫|------⌫--|
ata nt sa nest	---⌫-||-⌫|--|
torn ez ligan t is	----⌫-|-|---⌫-⌫-|
quant il a lar oin eanai pris l e con gie	----|-||-|-⌫---⌫|-|-|---|-⌫|---⌫--|
leconmandeauglorio usdou ciel	-|-------|-|------⌫-|--|---|
q uison corsli desfandede mor tet	-⌫||--|---|-|-------|-|---⌫|-|
danconbrie r	|---------⌫|
il p uit a sonfilsa inzets auf	-|-⌫--||--|--|--⌫--|-|-⌫--|
atantsanesttornezsorzzcor antde s trie	----||-|--|-----|--|-|---⌫--|--⌫-⌫---|
lauilenese	-|---|-|-|
uoutatargier	---|-------|
et cheuau chaiapresfloouantleprisie	-|------⌫---|----|-------|-|-----|
fl o ouant san	--⌫-⌫----||-|
isidela terr e de france	--|-|-|----⌫|-|-----|
chaalonstres pasaiqui siete n	-------|----⌫----|--|---|-⌫|
lachanp ene	-|-----⌫--|
etlechaitel danglers	-|-|------||------|
eten ard enneanantre	-|-|---⌫---|-|----|
r e claimedamed euenquii lafi ance	-⌫-⌫-----|-----⌫-|-|--|-⌫||--⌫---|
ai ncoisq ueil so ituespr es ara aucour	--⌫------⌫-|-|--⌫-|-----⌫-|--|-|---|
dolanzetc orro ciezremest li roisde france	-----|-|-⌫----⌫---|-----|-|---|-|-----|
roi scloouisremestc orroc euset iré	---⌫|------|-----|-⌫-----⌫--|-|---|
totsonbarnaige anametena nt apelé	--|--|-------|-||------⌫-|-----|
seignorscedi t liroissuimenez	-------|-|--⌫|-|---|--|----|
fl oouanzm esfizmaihonietuergonde ́	--⌫-----|-⌫-|--||-|---|-|--------⌫|
qui senecha ulmondr ua isi	--|-------⌫-|--|--⌫||--|
ie n anousaipas fairelaiout isea	-||-|----|--|----|-|----⌫--||
m onuoloiril eutle chief dou	-⌫-|-----|-|--|-|----|--|
burse ruré	--|--⌫----|
mas licle r giegansi l oumai desl oé	--|-|---⌫-⌫--|--|-|-⌫-||-|----⌫--|
quimed itrent quesaroieapelez	--|-|-⌫-----|--|-----|-----|
mortriseor s ma uuaisdecec a i	----------⌫|--⌫----|-|-||-⌫|
angandre ́	--------⌫|
etq uan tie nepuisfaire delu	-|-⌫---⌫|-|-|---|----|-|-|
m a uolunte	-⌫|------|
molttot me	---|--|-|
faitescizzraso uraporter	-----|-|-|----⌫-|------|
si f er ai or androitdema	-|-⌫--⌫-|--⌫------|-|-|
ba rbeautr ete	--⌫--|----⌫--|
etenl iaportai	-|-|-⌫|------|
quantil l otde uise r	----|-||-|--⌫----⌫|
aises grenosliriches rois co per	-|--|-----|-|-----|---|--⌫--|
sou lemantporle duc	---⌫-----|--|-|--|
quisiest atornez	--|-|--|------|
ettres tui tlibaronrefire autretel	-|----⌫---⌫|-|----|-----|-------|
ciconmance chanconqui	-|-------|------|--|
la uost escouter	-|---|-------|
confloouanz li prouzconmancaiaerer	--|-------|-|----|--------||---|
tre s gra ndespoines	---⌫|---⌫---|-----|
aincoisqu eilpeut an fra nce retorne r	---------⌫|-|---|-|---⌫--|-------⌫|
floouanzse n isidefranc el agarnie	-------||-⌫|--|-|-----⌫|-⌫|-----|
sonescua soncol to	--|---||--|--|-|
sussan conpaignie	--|--|---------|
reclamai dame deu lef i z sainte ma r ie	-------|----⌫--|-|-⌫-⌫|-----|--⌫-⌫-|
sire dexcon iestoieierriches	---|--|--||-----|--|-----|
il na uoit sifo rt	-||-⌫---|-|--⌫-|
r oiiusquan terredegite	-⌫-|----|-|----||----|
que seilme mandastorgue lnefel enie	--|-|-|-|------|-----⌫|-|---⌫---|
queapleneba taillemoltbien	--||----|--⌫-----|---|---|
nelatandise	-||-------|
ay ymil omes asespees forbies	|-⌫|--|---|-|-----|------|
etorai totpordupor	-|-|-|--|----|--|
grantlech eri e	----|----⌫---⌫|
sired exie nesai	---|-⌫-|-|-|--|
enq uel terrem egu ie	-|-⌫--|----|-⌫|--⌫-|
ienepo raigarir porma	-|-|--⌫--|----|--|-|
chiualerie	---------|
puis dit antresesdanzo rai ie	---|--|----|--|---|-⌫|-|-|
di t foli e	--⌫|----⌫|
por saint denis defran ceiaipan sécoardise	--|----|----|-|----⌫-||-|---⌫--|-------|
senus f ra ns	-|--|-⌫--⌫-|
h o ns m oo itores	-⌫-⌫-||--⌫-|---|
te lcho se dire	--⌫|---⌫-|---|
n e mepriseroit mes	-⌫|-|--------|--|
a nulio rdesa	|--|--⌫|-|-|
ilneaicheualier	-|-|-|--------|
dec iantabarie	---⌫|-|------|
atenoie de mespeefor b ie	------|-||----|---⌫-⌫-|
queandoueparti estre stotneporfandise	--|-|---|-----⌫-|---⌫---|-|---------|
douroiflored ausaai	--|--|----||---|-|
la nouel eoie	-|-----⌫|--|
qui p ro zest	--|-⌫--⌫|--|
etuaillanzet	-|-------|-|
sei gnerie	---⌫-----|
q uesarazinsguerroient lor loiquaguerpie	-⌫-|-------|---------|--|--|-||------|
seaincoi si	-|------⌫||
uenoiequacordance	-----|-|--------|
a nfut pri se	-⌫|--|---⌫-|
gif a u roie	||-⌫-⌫-⌫---|
yy cous dem esp ee forbie	-|---|-||---⌫-|-----|
aice ll e paroleas auoie	|---⌫--⌫|-----||-⌫|---|
p a se uausetmontai gnesmainte	-⌫-⌫-|---|-|------⌫---|-----|
landearamie	----|-----|
regar de d eu antlui desor z	-----⌫-|-⌫--⌫--|--|-----⌫|
unesapin e	--|-----⌫|
se uitunepuce l leque sa rrazins	-|--|--|----⌫-⌫-|--|--⌫------|
a usespeesdesplazmol t	-⌫-|-----|--|---|---⌫|
formant lamaitrient	------|-|--------|
crieethue et	---|-|--|-|
ploreetsegra mie	----|-|-|---⌫--|
boisa nsonn et o taunebondie	---|-⌫|----⌫|-⌫-⌫||--|-----|
quan tfloo uanzl entantq uec est fanmequicrie	----⌫|----⌫---||-----|-⌫-||--|----|--|---|
ouchemin sarestai	-|-----||------|
adoncsaren eti re	----|-|---⌫|--⌫-|
reclaime damedeuqui totaenbail ie	-------|------|--|--||-|----⌫-|
ahib iau roi sdegl oireie ne	--|-⌫--|---⌫|-|--⌫---|-|-|
sai queiedie	--|--|-|--|
laiuoiyy sa ra zi nsplains de	--|--|-|--⌫--⌫--⌫-|-----|-|
grant felenie	----|------|
un e puceletienetque	--⌫|-----|-----|--|
m olto ntenua ie	-⌫--|-⌫-|----⌫-|
seiememota ntreausiefer aigrant	-|-|-|--|-⌫---|--|-|---⌫-|----|
porduaimon che uauletdote d em a	----|-|--|---⌫---|-|---|-⌫|-⌫|
puis dit entre sesdanz orai dit couardise	---|--|----|--|---|-|-|--|--------|
onques h oms demai estenepan saife le n ie	-----|-⌫--|-|-|-⌫---|-|---⌫--|--⌫--⌫-⌫-|
iene lairo ie pasportot lorde	-|-|-----⌫-|--|--|--||-|-|
ne chalonsla	-|------|-|
pucelleetan t reau s	------|-|--⌫-⌫-|--⌫|
aiceleparo l ea ila an te	|----|----⌫-⌫|-⌫|-|--⌫-|
etbroichelecheual	-|------|-|-----|
et mo ltformant s	-|--⌫-|------||
sei gno rs lais iez l a dame	---⌫---⌫-|----⌫--|-⌫|---|
uo sne lanmanr oiz mie	--⌫|-||-|----⌫--|--|
bienuoiqueuos	---|--|--|--|
lauez enbleeou rauie	|---|-----|-|----|
quantlisa r azin sloent	----|-|--⌫-⌫----⌫||---|
chascuns anai grantire	-------|-|-|----|--|
i l b roichen t	-⌫|-⌫-------⌫|
lescheuaussi ont	--|------|-|--|
lesa rme sprise s	--|-⌫---⌫|-----⌫|
uer sfl oouants	---⌫|--⌫-----||
enu ienentchasc uns p o r ahati s e	-|-⌫-----|-----⌫--|-⌫-⌫|-----⌫-⌫|
floouan zenfiert zzan	-------⌫|-|----|-|-|
latargeflorie	-|----|-----|
desozla boucle a	----|-|-----||
fraiteetmalm ise	-----|-|----⌫--|
e tl aubertdesondos lider ont et	-⌫||-----|-|--|--|-|---⌫--|-|
ou corslimi tlal an cequi qu	-|---|-|--⌫|-|-⌫--⌫-|---⌫-|
an p lo rtnequirie	-|-⌫--⌫-|-|--|--|
tantsoue labaitmor quine braitne	---|---||----|--|-||-|----|-|
puisai t r aite	---|-|-⌫-⌫---|
lespeeo u li orsr eflanbie	|----|-⌫|-|--|-⌫-------|
etuai referirl	-|--|------||
autresorl elme depa uie	----|--||---|-|--⌫--|
uautla coife uailes ant une alie	---|-|----|------⌫--|--|---|
lebrancli faitc o ler deci anl a	-|----|-|---|-⌫-⌫--|---|-|-⌫|
litierssen u aifuant	-|----||-|-⌫-|----|
quantuitlesyyoci re	----|--|--|-|---⌫-|
lapucele otpaourc ot	-|-----|-|----||-|
floouanzli demandequiestube le ami e	-------|-|------|--|-|-|--⌫-|---⌫|
sire ditla pucelleie	---|--|-|------|-|
bie ndir e	---⌫|---⌫|
files uisle	---|-⌫--|-|
q ui tint ardenoisquite	-⌫-|---|-------|----|
ausaisetlohereinebauuaire etost er iche	-----|-|--------|-------|-|---⌫--⌫---|
sar azins leguerroientlorloi qu	---⌫----|-|---------|--|--|-|
y yfelons paiense n	-⌫|-----|-----|-⌫|
zz r ecotmepr itren	-|-⌫---|-|--⌫----|
eschapaialorabergeri e	-------||--|--------⌫|
aifoipormice stegaudine	-|--|----|--⌫--|------|
cessarazins tr oua ique licors dex maudie	--|-------|--⌫---⌫|--|-|---|--|-----|
fus tdeu etuosia meusent onie	---⌫|--|-|--|-||-----|---|
abiauforma nportez	|------||-⌫|-----|
damedi t f lo ouanzuosni	---|--⌫|-⌫--⌫----|--|||
remendroizmie	---------|--|
siuanroizforsdou	-|------|---|--|
boisarecetouauile	---||----|-||---|
d a me d itf loouanz	-⌫-⌫-|-⌫-|-⌫------|
montezsor cest d estrier	-----|--|---|-⌫------|
de c es au tresne quierzz trestout	-|-⌫-|--⌫---|-|----|-|-------|
soulbailer	---|-----|
la pucelleest mo ntee	-|------|--|--⌫---|
floo uanztintlest rier	----⌫---|---||---⌫---|
damedex lescondue por	------|--|-----|--|
lasouep itie	-|---|-⌫---|
ancu ilorauandrai zz	----⌫|--|-------|-|
ancon briessi	-----⌫----|-|
plusorgoue leusnauintanul h om es ozcie l	---|------⌫---||----||--|-⌫--⌫|-⌫-|---⌫|
nepoutcon ba trea yyforsz	-|---|---⌫--⌫--||-|----|
cheualiers	---------|
l ap ucellees tord raa gerpir	-⌫|-⌫-----|--⌫----⌫-||-----|
etla i s ie r	-|--⌫-⌫-⌫--⌫|
orescoute z seignorssi	-|-------⌫|-------|-|
quis on seignorseuoitquainz	--|-⌫-|------|-----|-|---|
esclotniperdie	-----|||-----|
et conli sarazins futareis	-|--|-|-------|--|----|
co np ai gn o nsotar i er e sl uilaisiez	--⌫--⌫--⌫--⌫-⌫-|-|--⌫-⌫--⌫-⌫|-⌫-|------|
qu efloouanzauoit a la	--⌫|-------|----||-|
mortanuoiez	---|------|
