iet ésietésuos	---⌫--|-----|--|
cortoisla issiésnousassaie r	------|--⌫------|---|------⌫|
cecest deluink e nous	-||--|--|--|-⌫|---|
ca rleketcroirene	--⌫|----|-----|-|
sozchiel nasifort	--|----|||-|---|
larro nchiel	-----⌫-----|
uo i és com faitlelionchiel	--⌫-⌫--|--|---|-|--------|
ilestdauchoir re ains	-|--||-------⌫-|---|
est franchois	--|--------|
beués uousbeuere ́sanchois	-----|---|------⌫-|------|
moutmieus l ai mapreskedeuant	---|----||--⌫|----|-|-----|
tenéscomsadeetbien beuant	-----|--|---|-|---|-----|
le poésmaintenantsentir	-|----|---------|-----|
bien sansm ent ir	---|---|-⌫---⌫-|
qu ilne criutpas	-|-|-|----|--|
enler ociel e	-|-|-⌫-----⌫|
maisuostre amie etuostre	---|-----|---|-|-----|
qu ibienuousa inme	--⌫|---|---|-⌫---|
uous donepar	---|---|--|
amorsle uin	----|-|--|
et sacie ́sp asne u ous	-|-----⌫-|-⌫-|-|-⌫--|
damoisieleiou le rec h oi	---------|--|-|---⌫-⌫-|
debon cu ere tdebon	-|--|--⌫-|-⌫|-|--|
api elelebeurag e	---⌫--|-|------⌫|
deceste amorki sis a fruite	-|----|---|-|-||-⌫-----|
tasiésdametout	------|---|---|
ie stescuite	--⌫---|----|
choudoitdireunefoleg a r che	---|---|---|--|---|-⌫-⌫-⌫--|
uous aure ́ sqanket iereca rge	---|----⌫-⌫|----|-⌫---|--⌫--|
maisconletruistencorea n ui t	----|-|-|-----|-----|-⌫-⌫--⌫|
esgard efole quel deduit	------⌫|---|---|-----|
f uainc mais femesi	-⌫|---|---|---|-|
dieus que doitorquilne me	----|--|---|-|-|-|-|-|
com iele tr uis ui ers moieskiu	--|-|-|--⌫--|--⌫--|--|----|
tasiésd ametrop auésliu	------|-⌫--|---|----|--|
uo lésfairelegentpar coiure	--⌫---|----|-|---|---⌫-----|
bienaués dit donés no s	---|----|--|-----|--⌫|
uers és do uuin alekedoit	----⌫--|--⌫|--||---|---|
damoi s i elesuousaués droit	-----⌫-⌫-⌫---|---|----|----|
beuésquebienbon	-----|--|---|--|
preuuo u s	---|--⌫-⌫|
uoireen truesquenusn e	----|--⌫-------|--|-⌫|
cortoisne soiés	------|-|-----|
pashonteus	--|------|
cest chaiensunspriués hosteus	|--|------|--|------|------|
se uou s uolésla	-|---⌫|-----|-|
e ncel co rtilpo re stale r	-⌫|--|--⌫---|--⌫|-⌫-----⌫|
soferésdiset e	-------|-----⌫|
carm arlimetki n el	--|-⌫-|||--|-|-⌫||
por nouslais siernele	--|---|----⌫---|-|-|
u o usditesuoir or mesouien t	-⌫-⌫-|----|---|-|-|------⌫|
giraila fors	|---|-|---|
deleni urer	-||---⌫---|
nous auons	---|----|
troué fel	-----|--|
lecortois uilain	-|------|-----|
il cui deau oir	-|---⌫-|--⌫--|
troue ́be loces	-----⌫|--⌫----|
maisainsqui l aitpai e ́	---|-----|-⌫|--|---⌫-⌫|
sesnoc hes	--|---⌫--|
abai ssera moutsa borsee	----⌫----|---|-|-----|
quilas igra nt	-|-||-⌫|---⌫-|
au cul torse e	-|--|-----⌫|
bienl i sarair erelescostes	---|-⌫|----|-⌫--|--|-----|
p arl ésanous unpoibiausos tes	-⌫---⌫--||---|-|--|----|--⌫--|
si nous soiésloiaus compaing	-|---|-----|-----|-------|
kia da m esila gaaing	|||--⌫-⌫-|-||-----|
bienmedoite stredescouert	---|-|---|-⌫---|--------|
no usauo ns tr ouéunfoubier t	--⌫-|---⌫-|--⌫---|-|-------⌫|
sil aienc ouentaam er	-||-|-|-⌫----||--⌫-|
maisai ns iecuicbien entamer	---|--⌫-|-|---|---|------|
l eb orse kil a	-⌫|-⌫---||-||
aués u ous dontbors e tr ouee	----|-⌫--|---|----⌫|--⌫---|
pord iu pens ésdel b ienrescorre	--|-⌫-|----⌫--|--|-⌫--|-------|
nusho m nelen	--|--⌫|-||-|
poroitres corre	-----|---⌫----|
bienli sarai faire song iu	---|-|----|----|--|-⌫-|
nouslel aironschien no liu	---|-|-⌫-----|--|-|-|--|
pornodeteetpornos esc os	--|-|---|-|--|--|---⌫-|
e tuous nesoiésm ie	-⌫|---|-|-----|-⌫-|
gageprendre laniers	---|------|------|
maisietés lem ain asdeniers	---|-----|-|-⌫--|-|------|
mo uteni a nesaiqant iel	--⌫-|-|||-|--|----⌫--|
deffuble ́slema nti el	--------⌫-|-|--⌫---⌫-|
et lecotetoutsans dang ier	-|-|---|---|---|----⌫--|
lifaites apiourcangier	-|-----||----|------|
qan tilamisseiu s	---⌫|-||----|--⌫|
silebo utelafors au	-|-|--⌫--|-|---|-|
siqu ilsoitdeforsestalons	---|-|---|-----|-------|
puislicloés luisas talon s	---|-|-----||--|-|-----⌫|
ensi ia maisn enarésc uiu re	---|-|---||-|----|-⌫---⌫-|
ta isiésbien	--⌫-----|---|
en seronsdel iure	-|-----|---⌫---|
dieu sco m lafo rsa bien	----⌫|--⌫|-|--⌫-||---|
comilifaitb i eletgentil	--|-||---|-⌫-⌫-|-|-----|
soz cielnaerbequilifaill e	--|---|||---|--|-|-----⌫|
leketap ortel e	----|--⌫---|-⌫|
etl euuecaudeetles bo uc lers	-||---|----|-|--|--⌫--⌫---|
uéle schimout	--|--⌫|--|---|
biausetmoutcle rs	----|-|---|---⌫-|
etliauueca udede	-||----|--⌫--|-|
lecoustume delamais on	-|-------|-|-|----⌫-|
neuueleffraindre nebrisier	-|---|---------|-|------|
ca r elefait mouta	--⌫|--|---|---||
deqanquecorsdomed e l ite	-|-----|---||--|-⌫-⌫-⌫--|
i sont lisouhaitde melite	|---|-|------|-|-----|
si com i epens et a deui n	-|--|-⌫|---|-|-⌫----⌫|
mancheuaireuers ed e luin	----------|----⌫|-⌫-⌫|--|
c ar ondoit	-⌫-|-|---|
boi r eaprie slaue r	---⌫-⌫|-----⌫|----⌫|
en feraiia	-|----|-|
tant l auer	---||---|
ainsuerse ra ia plainne coup e	---|-----⌫--⌫||------|----⌫|
porreuieustufaireunesoupe	----|----|-|----|--|----|
s atenderasmieus lesouper	|--------|----|-|-----|
onquesnamaienui n souper	-----||---|-|--⌫|-----|
mais faitesenbiaus	---|-----|-|----|
a mi sdous	-⌫--⌫|---|
sipartirezanous	-|-------||---|
consilleré saumieus	-----------⌫|-|----|
orpues direquan quetu uieus	-|---|---|----⌫--|-|----|
etie lotroisanscontredire	-|-||----|---|---------|
ains s aués kei e	---|-⌫----|-|-⌫|
uous uue ldire	---|---⌫|---|
uieutboireetbienma ngier	----|----|-|---|--⌫----|
querr e lestueteten gi ni er	-----⌫||-----|-|--⌫--⌫--⌫-|
trairelemeriele	-----|-|------|
nous ironsen n ostrequeriele	---|----|-|-⌫----|-------|
unpet itsine uous	-|---⌫-|-|-|---|
s aporteronsde l a	|---------|-|-⌫|
queli deniersestboinsco m paing	--|-|------|--|----|--⌫-⌫----|
e tuousbeué ssorl e	-⌫|---|-----⌫|--|-⌫|
maisgardésque uousne iués	---|------|--|---|-|----|
etde ch ineuo usr emués	-|-|--⌫|-|--⌫-|-⌫-----|
q u eliamor s seroitde sroute	-⌫-⌫|-|----⌫|-----|--⌫-----|
tasiésiam arena ré sdoute	------|-|-⌫-|-|-⌫---⌫|----|
que ieiouese reuenrés	--|-|---|-|--------|
pa rfoit e nuisuousentenr é s	--⌫|---|-⌫---|---|-|----⌫--⌫|
mol tiaue ́sle sdois maniers	---⌫||---⌫-|--⌫|---|------|
iaigr antpa o r decesdeniers	|-|--⌫--|--⌫-⌫|-|--|------|
quineuousen mesquiech eades	-||-|---|-|---------⌫||--|
tenéskielessile sgardés	-----|-----|-|--⌫|------|
cuidésque i enaisi	------|--||-|-|-|
grantf a in	----|-⌫-⌫-|
aimmieusenuostresain	--|----|-|-----|---|
q ue ieles mesiss eenm alpreu	-⌫-|-|--|------⌫|-|-⌫-|---|
l e ket pa rlés	-⌫-⌫--|--⌫----|
a nousunp eu	|---|-|-⌫-|
l uns doit de lautreres on	|--|---|-||----|---⌫-|
nostre afaire	-----|-----|
la unous sauonsnoconquest	-||---|-----|-|-------|
ett use s bienconmenti l	-|-⌫|--⌫|---|------|-⌫|
deteuieseetnu eue	---|----|-|--⌫--|
anchoisqueme samis se m ueue	---------|--⌫|---|-|-⌫---|
en sera faita tonconmant	-|---|---||--|------|
c r oibien silecreant	-⌫-⌫-|---|-|-|-----|
se iou del toutalui metie gn e	-|--|--|---||--|-|---⌫--⌫|
oilbi e n dusqu elereuiegne	--|--⌫-⌫|----|--|-------|
nemeq uierdech iremuer	-|-|-⌫---|-|--⌫|-----|
ain sferai deuscapons tue r	---⌫|----|---|-----|---⌫|
q u ilsoientprest aureuenir	-⌫|-|-----|----|-|------|
alés lai ssiém	----|---⌫----||
entcon u enir	--|---⌫-⌫---|
sireuolésoirbons mos	---|-----|--|---|--|
uosne sauésconment cissos	--|-|-----|------|--|--|
estpor p ourretainenbu ure ́s	--|--|-⌫--------|----⌫---⌫-|
ilest chi pourele s	-|--|--|---|---⌫|
e l esfai ten tendre	-⌫-⌫-|---⌫|--⌫-----|
maisalonsa	---|----||
carneuuelpas apreslicor re	--|-|---|--|----|-|---⌫-|
est cortoisudame porre	--|------||---|----|
et man ceu airesaconpaing n e	-|---⌫---⌫---|-|--------⌫-⌫|
aleessontenlorgaaing ne	----|---|-|--|------⌫-|
eti esuisremesenostage	-|-⌫|---|----|-|-----|
p ar foidontaii o umaluaisg age	-⌫-|--|---|-|-⌫-⌫|------|-⌫--|
dech ouque	-|--⌫-|--|
iou lorai creu	--|--|-|---|
ets aués f ol cons el eu	-||----|-⌫-|----⌫-|-|
quantremes	----|----|
est esenostage	---⌫-|-|-----|
la plusfauseetla	-|---|----|-|-|
plu ssauuag e	---⌫|------⌫|
quiai ncse mellast	--|--⌫-|-|------|
plusset porre t e	---|--|-----⌫-⌫|
queuousnesaue ́sd i nsangr in	--|---|-|----⌫-||-⌫------⌫-|
ele cunc hi a	--|----⌫--⌫|
ent reli e t ba ud e td es truem	---⌫-|-|-⌫|--⌫--⌫-⌫||--⌫----|
porterentriendel suen	--------|---|--|---|
ainsfurentcunkie ́siandoi	---|-----|------⌫|-|----|
quel unslaissa son pal ef roi	--||--|-----|--|---⌫--⌫--|
maisdecho u	---|-|---⌫|
nafi erta moir ien	|---⌫--||--|-⌫--|
ie uuel auoirga gedelmien	-|---|----|--⌫-|--|---|
s i enser aiplusas seur	-⌫|-|---⌫-|---|--⌫---|
ostes iamararéspeur	----|-|--|----|---|
elesreuenrontia	---|--------|-|
etsederienses tesdoutans	-|-|-|----|--⌫--|------|
tenésce stman tielenuosma ins	-----|--⌫-|---⌫---|-|--|--⌫--|
c ortoisbiau sfre rescest	-⌫-----|----⌫|---⌫--||--|
cou ient lecoteauu ec	---⌫---|-|---|---⌫-|
parfoi nirai mie	--|--||---|--|
carnaipasaprist el	--||-|--|----|-⌫-|
pa r foi cortoisi ll estuet fa ire	--⌫|--|------|-⌫||-----|--⌫--|
neslesbraies s eles sontblances	--|--|-----||---|---|------|
or tostside slachiés uosmances	-|---|-|--⌫--------|--|-----|
n ous auon sa illors a entendre	-⌫--|----⌫|-⌫-----||-------|
tené sor nai ioup luskepre ndre	-----⌫|-||-|--|-⌫--|-|---⌫---|
nedeniernegouted argent	-|-----|-|----||-----|
ostesfoike doi	----|--|-|--|
ienesaise iefis	-|-|--|-|-|--|
mai siauoies o issantesols	---⌫||----|-⌫-⌫------|---|
hui mainpendus a mon	--|---|-----||--|
ainsporren e m es uoltlaier	---|----|-⌫||-|---|----|
ainsles pristet l eborse auuec	---|--|----|-|-⌫|----|----|
parfoi b ie nenestesse nu ec	--|--|-⌫--⌫|-|----|--⌫--⌫-|
borseetde lamie	----|-|-||---|
saciés qu elne uousam ami e	------|-|-|-|---|--⌫|--⌫|
sicom partans porés	-|--|--|---|-----|
mais se uousleu ol és	---|-|---|-|-⌫--⌫--|
nenouielesoir aucune	-|-------|--|-----|
ale ́sdroitabi etune	---⌫-|----||--⌫----|
legiersestes si corés fort	------|----|-|-----|---|
la scomch ia poure	--⌫|--|--⌫||----|
del c or re	--|-⌫--⌫-|
a lor ageet auuent	||--⌫--|-|-|---|
bie nmedis t	---⌫|-|---⌫|
m e s p eres sou en t	-⌫-⌫|-⌫---|---⌫--⌫|
queie fuisse cois	--|-|-----|---|
maisai nc n	---|--⌫-||
enotenmoir aison	-|-|-|--|-⌫----|
sest b iendroisk eie lecon pere	|--|-⌫--|----|-⌫|-|-|---⌫---|
q uenai nul retoramonpe re	-⌫-||-|--|----||--|--⌫-|
nea parentnea ami	-||-----|-||--|
par foit co rtoi s cepoisemi	--|---|--⌫----⌫|-|----|-|
queuo usauéss ie sp loit ié	--|--⌫-|----|-⌫|-⌫--⌫----⌫--|
ai pa ug agele moitie	-|--⌫|-⌫--|-|-----|
decouquepor	-|--|--|--|
elesd euiés	---|-⌫-----|
c ortoisuns orcotiel	-⌫-----|-|-⌫-------|
a chaienspassétalonctans	|------|------||---|---|
c onsoloitpresteraspierdans	|-|-----|------|-|-------|
uous lauerésse uousuolés	---||------|-|---|-----|
senirésmie def fublé s	-||----|--|---⌫------⌫|
car la idecoseest auarlet	--|--⌫--|---|--||-----|
s apo rtelilequet	|---⌫--|-|-----|
sisera unpoi plus honestes	-|---|-|--|---|-------|
parfoi cortois e ureusi es t es	--|--|------|-⌫----|-⌫--⌫-⌫-|
moutmeuintoretostama in	---|-|---|--|---||--⌫-|
mais uouslepe rderé s de main	---|---|-|--⌫------⌫|--⌫---|
qantuous uenrés	---|---|------|
e nliuestrange	-⌫|--|-------|
lascomchi par	--|--|--|--|
tout engingn iés	---|-------⌫---|
b ials o stes a	-⌫---|-⌫---||
dieuremaingni és	---|---------⌫--|
chinefait preutpuiscargens faut	--|-|---|----|----|-----|---|
afoicortoisdieuste	|--|------|----|-|
he lascomp arpuis	-|--|--|-⌫-|---|
est r edolansetengrami s	---⌫-⌫|-----|-|-------⌫|
qantuousamoi	---|---||--|
aidi e r estes	----⌫-⌫|----|
siendormis	-|-------|
perduaileconsel d eparenset	----|-|-|-----|-⌫|-----|-|
bi enlemauoit mesperedenun cie ́tet	--⌫-|-||----|--|---|-----⌫---⌫-|-|
asses me cas tiamais aincniuoilentendre	----|-|---⌫--|---|---|||---|-------|
so c kemausfuorlem estuet	--⌫|-|---|-|-|-||-----|
decesdeusuoies cines a i	-|--|---|----|-|-|-⌫-⌫|
lameillorp r end re	-|------|-⌫-⌫---⌫-|
queie nesairoueretsi nai ke	--|-|-|--|----|-|-||-|-|
d e s pend re	-⌫-⌫-⌫----⌫-|
qanke mes pe re dist tenoietotafl able	----|--|--⌫-|---|-----|--||--⌫---|
orau raisouentfai n qant	-|--⌫--|-----|---⌫|---|
ilseraatable	-|---||----|
a ta rt mer echono is etmetient	|--⌫-|-|-⌫------⌫-|-|-|----|
des rainable	---⌫-------|
perd uaileceualo rfrem erail establ e	----⌫|-|-|----|-⌫|----⌫---||------⌫|
parmenfolse ns mesuietuaincuset	--|--|--|--⌫-|-|--|-|------|-|
forsdel ecrit mo npere	---|-||----|--⌫|---|
su ia tosi ors gratés	--⌫||--|-⌫--|------|
