#META#TextURIChaceP	-----|------|-----|
#MET A#DEAF	----⌫-|---|
#META#AR LIM Ah ttps/ / www.ar lima.net/ad/chace_dou_cerf.ht ml	-----|--⌫---⌫|-⌫-----⌫-⌫------⌫-----------------------------⌫-|
#META#Author	-----|-----|
#META# A u thorB or n	-----|-⌫-⌫-----⌫--⌫|
#MET A# AuthorBornAmb	----⌫-|------------|
# META#A ut ho rDi ed	-⌫----|-⌫--⌫--⌫---⌫-|
#META#Au thorDiedAmb	-----|--⌫----------|
# META #Aut horFl1	-⌫----⌫|---⌫-----|
#META#Author Fl2	-----|------⌫--|
#META# Text Title LaChace do u S er f	-----|----⌫----|-|----|--⌫|-⌫--⌫|
#MET A# TextSubtitle	----⌫-|-----------|
#META # T extuols	-----⌫|-⌫------|
#META# Text Subi chasse	-----|----⌫---|-----|
#MET A#TextDomdidactique	----⌫-|------|---------|
#MET A# Translation false	----⌫-|----------|----|
#META# Col lection	-----|---⌫------|
#META#Collectio nNo	-----|---------⌫--|
#META# TextDe s cARL	-----|------⌫-⌫---|
Aie z tonchienaunrainsel	---⌫|--|----||-|------|
Et puiss i cornerasape l	-|---|-⌫|-------|---⌫|
Trois lonsmos pourteschiens auoir	----|---|--|---|--|-----|----|
Etlorsuandront a	-|---|-------||
lorpooir z	--|-----⌫|
Puismet lama inaudescoupler	---|--|-|--⌫-|-|---------|
Page u01P020	----⌫------|
Etlesseles mil lors	-|----|--|---⌫---|
Auantetça usquemi e xcreuas	----|-|---⌫-|--|--⌫-⌫|-----|
Etpuist antostsi	-|---|-⌫-----|-|
monteras ..	--------⌫||
Biauparole auchien s ce	---|-----|-|-----⌫|-|
Tantquillaientbien	---|-|-||----|---|
Etp uis pence debien	-|-⌫--|----|-|---|
Ducorcar il i	-|--|--|-||
Et testrois menées fera s	-|--|----|------|----⌫|
Tresto t au	------⌫|-|
mieusquetu	----|--|-|
Parolea aus	-----||--|
e tsi metpaine	-⌫|-|--|----|
Hautetclercàlongue	---|-|----|-|-----|
etinellement	-|---------|
Tesc h iense t uiguereusement	--|-⌫-⌫---|-⌫|-------------|
Neredoute nemontneual	-|------|-|---|-|--|
Nefortbois q uite	-|---|---|-⌫-|-|
fasc e mal	----⌫|--|
Queen cheuals oiezcornans	--|-|-----|-⌫---|------|
Etsi eula menée touztens	-|--⌫-|-|-----|---|---|
El chasceetcorne cleret h aut	-|-----|-|----|---|-|-⌫--|
Q ue retantisseli bos haut	-⌫-|---------|-|--|---|
Et lesualées en bondissent	-|--|------|-|---------|
Carli chien moult s enesbaudissent.	--|-|----|----||-|------------|
Et desrain siaus b riseencourant	-|--|----⌫----|-⌫---|-|------|
Quen la mené e	-|-|-|-----⌫|
uas gitan t	--|-----⌫|
Etaus uoiespasserausi.	-|--|----|-----|----|
Qui refuituolantierssu r li	--|-----|---------|--⌫|-|
ret ornerte	---⌫----|-|
To ute la m ene ́e	--⌫--|-|-⌫---⌫-|
cestd rois.	|--|-⌫----|
A larequestedeux	|-|-------|---|
Doiuentestre	------|----|
partoicornées.	--|--|--------|
Alestortoiredoism onstre r	||---------|---|-⌫------⌫|
Pag eu01P02 1	---⌫-------⌫|
que uéuas passer	--|---|-|-----|
Lecerfplu s ioli	-|---|---⌫|---|
Etfierttahueseet ba tet ront	-|----|-|----|-|--⌫|-|---|
ch ienledes tor ne	--⌫--|-|---⌫---⌫-|
De ceusaqui tescuerssa torne	-|---||--|--|----||-⌫----|
Etque tucrois	-|--|-|----|
Les aut reschienstantco mpuesplu s	--|---⌫--|-----|---|--⌫|---|---⌫|
faichacier e tsichas c e	--|------|-⌫|-|----⌫-⌫|
De corde boucheet se il	-|--|-|-----|-|-|-|
Elle uoude	-|--⌫|-|-|
toisoituéuz	--|---|----|
Qu atrelonsmosetchassesus	--⌫---|---|--|-|-----|--|
Doiscorneret cilquiloiront	---|-----|-|--|--||-----|
Trerontàtoietame nront	------|-|--|-|---⌫----|
Les chiens atres totlorpooir	--|-----||----⌫--|--|----|
Et ioieauront	-|---|-----|
sachésde uoir.	------|-|----|
E tpu is quanti lser on tpassé	-⌫|--⌫-|----|-⌫|---⌫--⌫|-----|
Si cornecom i	-|----|--||
ai de uisé.	-|--⌫-----|
E tsieu totadèsla mené e	-⌫|---|--|----|-|-----⌫|
Et gaitebien queobliée	-|----|---|--|------|
Nisoitnebris iée nefraite.	-|---|-|----⌫---|-|------|
i lt aautreruse	-⌫|||----|---|
Si f aisico m de lapremiere	-|-⌫-|-|--⌫|-|-|-------|
Teleen d oit estrelam en iere	---|-|-⌫--|----|-|-⌫--⌫---|
Com m eiai deuante n s aignié.	---⌫-⌫||-|-----|-⌫-⌫-⌫-------|
chass e s de souz-loig nié	-----⌫-⌫|-|---------⌫---|
On quespour c ene	--⌫---|---|-⌫|-|
tesbaubi s	|-------⌫|
chiens ne faiià pis	-----|-|--|--|--|
coiteplusmes soigneus	----|---|--|-------|
Soies de biau parler a eus.	----|-|---|-----||---|
Il ferachautet	-|---|----|-|
P ageu0 1P022	-⌫-----⌫----|
Et l icers n iert	-|-⌫|---||---|
mi easséur	--⌫|------|
Silsieutle descou uert	|-|----|-|------⌫---|
couuer tcaril estdroi s	------⌫|--|-|--|----⌫|
Lichienmiex en asentiront.	-|----|---|-|----------|
Sil f uita ̀liauetre i	|-|-⌫--|-⌫||---|---⌫|
ilnepuetfaillir	-|-|---|------|
Quilnet ruissent à as sentir.	---|-|-⌫-------|-|--⌫------|
Sitret àflache ouàuiuier	-|---|-|-----|-|-|-----|
Ouàmarchaisne doislessier	-|-|-------|-|---|------|
A tr ere. Ancora cetatorne	|--⌫---|----||-||-----|
Se tu oz c uns	-|-|-||--|
chiens ledest orne	-----|-|----⌫---|
À ciausqui	-|----|--|
ne lauront	-||-----|
Doi s parler	---⌫|-----|
ce sachesdefi	-|-----|-|-|
ass ez nonpo	---⌫-|--|-|
ta ta hotaho	-|-|-|-|-|
Etsi tost que	-|-|---|--|
Tant que plusf uirnepora	---|--|---|-⌫--|-|---|
Etquil seferaabaier	-|-|-|-|---|-----|
Quatrelonsmos	-----|---|--|
etsus c ha cier	-|--|-⌫--⌫---|
Dois corner cesaches deuoir	---|-----|-|-----|-|---|
P our chiens et pourualle ̀s	-⌫--|-----|-|---|-----⌫-|
Carsil letrue uent	--||-|-|----⌫---|
Ilenseront tuitp lus	-|-|-----|---|-⌫--|
Etlicheal labaieront	-|-|----||--------|
d r oiten amenderon t.	-⌫-⌫--|-|---------⌫-|
Lors lidoislesiarrèscoupe r	---|-|---|--|------|-----⌫|
Ai nsie n uau droie ieouurer	--⌫--|-⌫|---⌫----|-|-----|
m enmelloiesachiez.	|-|------|-------|
Lecerf iutp ar	-|---|--|-⌫-|
les chie nss ac hi ez	--|----⌫-|-⌫--⌫--⌫-|
Etqua nta batu le uerriez	-|---⌫-|-⌫---|-|------|
Pageu01 P023	-------⌫---|
coutele t lesmouelez	-------⌫||--------|
E ntre les cor n esetl ecol.	-⌫---|--|---⌫-⌫-|-|-⌫|---|
Etdetanttaprenetescol	-|-|---||----|-|----|
Quel or s doistuprisecorner	--|-⌫--⌫|---|-|----|-----|
Et p uis doismene r	-|-⌫--|---|----⌫|
Leschiensquie naurontmestier.	--|-----|--|-⌫|-----|-------|
Etce teuuel bienaccointier	-|-|-|---|---|---------|
Qua uall èsfassesr etorner	-||----⌫--|-----|-⌫------|
Toncerfpuis lefaiencorner	--|---|---|-|--|-------|
Etlorsdois sachiertoncoutel	-|---|---|------|--|-----|
Le s coulleslieue bien	--⌫|------|----|---|
testeorent e nt	----|-|---⌫-⌫-|
Etd eloucenl ouc lep orfent	-|-⌫|---|-|-⌫--|-|-⌫-----|
Etpuissiledo isesco rchi er	-|---|-|-|--⌫-|----⌫----⌫-|
Lesn eus ni dois mie	--|-⌫--|||---|--|
Ets il a uenoit	-||-|-⌫-----|
queau c u ns	--|--⌫-⌫-⌫-|
Pass astdeseure	----⌫--|------|
cestcommuns	|--|------|
doi t la bu ffeauoir	---⌫|-|--⌫--|----|
Sans pardonce sachiezpouruoir	---|-----|-|------|---|---|
espaule s autresi	-------⌫|------|
Do isleuer a prèsceted i	--⌫-|----|-⌫----|-|-|-⌫|
Lasouz gorgeap rès enleuez	-|---|----|--⌫---|-|----|
Lerbière etleiosie rcoupez	|-------|-|-|-----⌫|-----|
Et lerbière deuez	-||-------|----|
uuela prend reetloer	---|-⌫-----⌫-|-|---|
P uislie ue lahampeen	-⌫--|---⌫-|-|----|-|
Le foie d e lapa use p rent	-|---|-⌫|-|--⌫--|-⌫---|
Selbaille atel quin ob list mie	|-|-----||--|--||--⌫---|--|
Queilni lascela	--|-|-|----|-|
en sach efors l apa nce	-|----⌫|---|-⌫|--⌫--|
Pageu01P024	----------|
Etc omm andesan s déla iance	-|-⌫---⌫---|---⌫|-----⌫----|
Ausuallèsquel a mule e noste nt	--|------|--|-⌫|---|-⌫|----⌫-|
Et auecles	-|---|--|
daintiezlem port ent .	-------||--⌫----⌫---⌫|
