san ioroie zraison	---⌫--|---⌫|-----|
es auratpas	-|----|--|
blansuestimenzauront gloriose tflor i z	----|--------|-----|------|-⌫|----⌫-⌫|
kikifallet a sieg eilh	-|-|-----||----⌫|--|
i serontas sis	|-----|--⌫--|
lessiegesdaml ed eu aurontenpa radis	--|-----|----⌫--⌫-|-----|-|--⌫----|
cerecon tesainz polzkilesdu elzdenfer	-|-----⌫-|----|---|-|--|--⌫--||----|
c antentrat	-⌫--|-----|
ene nfer porlan goisseueir	-|-⌫---|--||--⌫-----|---|
unhomeetu ne femei uitqui	-|---|-|-⌫-|---||--|--|
ardoietgriemen t	------|-------⌫|
parmi les cors	----|--|---|
auoientnonante nueftormenz	------|------|---|------|
li flanc etlicosteit	-|----|-|-|------|
ardoie ntas d olen z	------⌫-|-|-⌫----⌫|
d iabl elurardoientlesbo chesetle s	-⌫----⌫|--|-------|--|--⌫---|-|--⌫|
sainz polz les ap ela t or oiez	----|---|--|--⌫---⌫|-|---|
killurdist	|-|--|---|
diu a co ntesa moi	---⌫|--⌫---||--|
tontresdoleros li t	--|---|------|--⌫|
ettaresgrantdol or	-|-|--|----|---⌫-|
quiianeprendratf i n	--|-|-|-------|-⌫-⌫|
orentend eizbea zsire lanostr emaleuie	-|------⌫--|---⌫|---|-|-----⌫|---|--|
carade spl u etsor nosetgiuletet gresilhe t	--|---⌫|--⌫-⌫-|--|--|-|-----|-|--------⌫|
ne no sfale nt dolors	-|--⌫|----⌫-|-----|
ang oisse sn emartyre	---⌫-----⌫|-⌫|------|
unsuensnos uient	--|---|--|----|
corantquiuient d e uerslab i	-----|--|----|-⌫-⌫---||--⌫|
etsipare st	-|-|--|-⌫-|
tant forstoz nostrenche tparmi	---|---|--|--|-------⌫|----|
corsmet a m ald es dol eros chaitis	---|--||-⌫-|-⌫-|---⌫---|------|
iapor tant	-|--|---|
cumdeu suiuet no stremaln	--|---⌫|----|--⌫---|--||
auront fi n	-----|--⌫|
set tu rsatenenferqui	--|--⌫-|-|-|----|--|
sun tdel tensantif	---⌫|--|---|----|
nonante nueftormenz	------|---|------|
c ha scunassis	-⌫--⌫---|----|
etenlatre i etet h oml es ch aitis	-|-||---|-⌫---|-⌫-|-⌫-|--⌫----|
tant i atdes	---||-|--|
ang oisse sneniertconténedit	---⌫-----⌫|--|---|-----|-|--|
c ar loracontessir eles dolan zquis untuif	-⌫-|-|-------|---⌫|--|-----⌫|--|-⌫--|--|
kiki ait ben eizonlimal i suntf alhit	-|-|--|---⌫----|-|--||---|-⌫----|
oruosd iraid	-|--|-⌫---||
e nferlodolerospais	-⌫---|-|------|---|
cu mfutfaizet creeizetstoreiz e tassis	--⌫|--|---|-|-----|-|------|-⌫|----|
cilqui gar de nt	--|--|---⌫--⌫-|
enferfur entd epa radis	----|---⌫--|-⌫|--⌫----|
sif ur entor guillo s enuersdeuqui	-|-⌫--⌫--|--⌫------⌫|-----|--|--|
ius lese naualat eten f eren	--|--|-⌫|-----|-|--⌫-⌫-|-|
homn i puet tr o ueirfonze tterre ni	--|||---|--⌫-⌫---|---|-⌫|----|||
prentfi ns	----|--⌫-|
c ereconte	-⌫|------|
sainzpoz qu ilesduez denfe r	----|--|--⌫|--|---||----⌫|
l airo ntt uiti cilki d euaur ontguerpit	-⌫|---⌫-|-⌫--|-⌫--|-|-⌫-|---⌫--|------|
iliatnui t	-||-|---⌫|
o bsc ur ekeomn i puet ueir	-⌫---⌫--⌫|-|-|||---|---|
onkesni luistsol ozne iorsni	----|||----|---⌫-|-|---|||
esclarcist	---------|
ne ia nef eratmaispor	-|-|-|-⌫---|---|--|
tantcumdeussoitu is	---|--|---|---|-⌫-|
c ant li d ia ble rep airentde	-⌫--|-|-⌫--⌫--|---⌫-----|-|
sisenrentrentlod olerospais	-||-|-------|-|-⌫-----|---|
liunsmaniouel autreetd etrenche p armi	-|--|------||----|-|-⌫-------|-⌫---|
mutsuntlaitli sa niorkigardentc elpais	--|---|---|-|--⌫---|-|------|-⌫-|---|
lesg oules ontbaees	--|-⌫----|--|----|
dont lite nebrors ist	---|-|--⌫------|--|
etch arcanzet mutdolerosliz	-|--⌫-----|-|--|------|--|
e tbuie setchaainnesasanmes combu rir	-⌫|----⌫|-|--------|-|----|-----⌫--|
li serpent sunta uoc qui	-|------|---|-⌫--|--|
det renc hent parmi	---⌫----⌫---|----|
uneaiwe i a tco rantd	--|---||-⌫|--⌫---||
enfer en eist lirius	----|-|---|-|---|
cerecuntesainzpozkil es duezd	-|------|----|--|-|-⌫-|---||
babilonesastoit fers e taciers	-------||-----|---|-⌫|-----|
enunepetitehore l	-|--|-----|---||
auroitparmitr e nchit	-----|----|--⌫-⌫----|
laban iethomtrois foiz casoniorle s	-|---⌫--|--|----|---|----|--|--⌫|
enapresl esmet h omezcaldieresbolir	-|----|-⌫-|--|-⌫-|-|--------|----|
etpuislesreme thom	-|---|--|----⌫|--|
sorle sroste azros ti r	--|--⌫|-----⌫-|---⌫--⌫|
cicomencent angoissesdolen tesa ue nir	-|--------|--------|-----⌫--||--⌫--|
teilfainateninferuos iaporreiz	---|---|-|-|----|--|-|------|
tres totlopain cu nkesdammle de us fist	----⌫--|-|---||-⌫---|------⌫--⌫-|---|
deskilfo rmatadam entroskealiui s	---|-|--⌫---|---|-------|-|---⌫|
sillauoientmangié tetlo	|-||------|-------⌫|-|-|
mont tra nsglot it	---|---⌫------⌫-|
n auroie ntenenferlorgr ant	|------⌫-|-|----|--|--⌫--|
fainae mplit	---|--⌫----|
enapres ontteilso itcumiaporeiz oir	-|----|--|---|--⌫-|--|-|-----|--|
sauoie ntlameir bu iteet	|-----⌫-|-|---|--⌫--|-|
les aiwesenfi n	--|----|-|--⌫|
etlocieletlaterre	-|-|---|-|-|----|
a uo ientenglotit	-⌫--⌫---|-------|
en inferlorgrant soit	-|----|--|----|---|
i teilzsuntle s angoisses keelzestuet	-⌫----|---|--⌫|--------|-|--|-----|
grantdeseierdelgrantdeua ueir	----|------|--|----|--||---|
p uentoblierneparn uit ne	-⌫---|-----|-|--|-⌫--|-|
ilne l ue rrontia maisportantc u m deus	-|-||--⌫----|--⌫---|--|---|-⌫-⌫|---|
c antdeus repairerat al	-⌫--|---|---------|-|
grant iordel	----|--|--|
iertmie p laiz quiso itmisenr e s pit	---|--|-⌫---|--|--⌫-|--|-|-⌫-⌫-⌫--|
l unsnedirat a l	|--|-|----|||
atreamisaidiezm eci	---|---|-----|-⌫|-|
s i ron sadamri deusili prironsmercit	|-⌫---⌫||-----⌫--|-|-|------|-----|
uo lentiers senfuiroie nt se zasto itconsentit	--⌫-------||-|-------⌫-|-||----⌫-|--------|
mou rontlespiezla	---⌫---|--|---|-|
bochene louis	----|-|-|--|
ne neclorun tloroil ne seron ttant	-|-|------⌫|--|--|-|-----⌫|---|
entei l oste iliratqu ideuauratguerpit	-|---⌫|----⌫-|---|--⌫|--|----|------|
denona ntenuef plaies	-|----⌫--|---|-----|
i ert chas conior ser uiz	-⌫--|----⌫--|--|---⌫--|
etlipet it enfa nt qui e nsisunt murdrit	-|-|---⌫-|----⌫-|--|-⌫--|---|------|
