deu nmutanc ienlai bretun	-|-⌫|--|---⌫--|--|-----|
e nau a nt	-⌫|--⌫-⌫-|
alameruient si estpassez	|-|--|----|-|--|-----|
entoten eisest ariuez	-|-----⌫--|--|-----|
plusursreis otenla tere	------|---|-|-|-|---|
entreeuseure ntestr i fe guere	----|--|----⌫-|----⌫-⌫||----|
uers excest re en celpais	---|------⌫-|-|--|---|
maneitun humme mutpoestis	-----|-|----|--|------|
uieuzhume aunti e nesteit	----|--||-----⌫-⌫|-----|
k a rheir madl e nenauei t	-⌫-⌫|---|----⌫|--|----⌫|
une filleota marier	--|----|-||-----|
purce okil ne l a	--|--⌫||-|-|-⌫|
asun peres i l guerriot	|--|---|-⌫||-------|
tutesa tere si gastot	---|-|---|-|-----|
enunchaste l laueit	-|-|------⌫||----|
naueit elch a stelhume si	|----|-|--⌫-⌫---|---|-|
kicun treli	-|---⌫--|-|
osasteissir	----|-----|
esturnemelleetenir	----|-|-----|----|
eli dus eno ipar ler	---⌫--|-|-⌫|---⌫--|
n eu o l ei tmesa ua nt aler	-⌫|-⌫-⌫-⌫--⌫|--|-⌫--⌫-|---|
qu antiloc adgueretrou ee	--⌫--|---|-|----|----⌫-|
reman eruolt en la cuntr ee	-----⌫-|---|-|-|-----⌫-|
lirei ski plus e st ei t gr euez	-|---⌫|-|---|-⌫--⌫--⌫|--⌫---|
e damagi ez e	|------⌫-||
uod rat aiderasunpoeir	---⌫--|----||--|----|
e ensoudees remaneir	|-|------|-------|
s esmessages i	-⌫-|-------||
epars es l e ttreslimanda	|--|-⌫-|-⌫-⌫----|-|----|
quede sunpa is ier teissuz	--|-|--|--⌫-|---⌫|-----|
es teit uenu z	--⌫---|----⌫|
mes limandast sunpleisir	--|-|------|--|------|
e s ilne l uoleit	||-|-||-----|
cun duitlidonastparsatere	---⌫---|-|-----|--|-|---|
quantireit soudees	----|----|------|
quantlireis uitles messag ers	----|-|---|--|--|------⌫--|
mutle s ama eotc hers	--|--⌫|--||-|-⌫---|
suncunest ablead	--|------⌫---|-|
e hastiuementcomandez	|----------|-------|
quecu nduitli	--|--⌫----|-|
ap pa reill ast	--⌫--⌫-----⌫--|
keleba ru namenast	-|-|--⌫--⌫|------|
sifaceo steus appareiller	-|---|-⌫----|----------|
uil pui ssent herbe rger	|-|---⌫----|-----⌫---|
faceliurer erendre	---|-----||-----|
cumi luodruntlemeisdespendre	--|-⌫|------|-|---|--------|
licunduitfuap pareil l ez	-|------|-|--⌫------⌫-⌫-|
epur eliduce nue i e z	|--|-----|-⌫---⌫-⌫-⌫|
eagra nthon ur	||---⌫-|---⌫-|
f urec euz	-⌫|---⌫--|
b ie nalrei uenuz	-⌫--⌫|-|--|----|
sunostel fu	--|----|-|
chiesunb u rgeis	----|-|-⌫-⌫----|
quemu tfu sage	--|--⌫|-|---|
sa be lechambree ncurtinee	-|--⌫-|------|-⌫--------|
liadli ostes	-|-|-|----|
e liduc sefi stbienseruir	-⌫----|-|--⌫-|---|-----|
a sunm angerfeseit	|--|-⌫----|-----|
les cheualersmeseise z	--|--------|-------⌫|
quealbu rcere ntherbergez	--|-|--⌫-|---⌫-|--------|
at uzse s hummes def endi	|-⌫-|--⌫|-----|---⌫---|
que nieustnulsiha rdi	--|||---|--|-|--⌫--|
quedes quaranteiurspr imers	--|--|-------|---|--⌫----|
preistliure isunnedeners	-----|-----⌫---|-|-----|
alt er ziu r quilotsur iu rné	-|-⌫--⌫|--⌫|-|-|-|---⌫--⌫---|
licrizleuaen lacite	-|---|---|-|-|---|
que lurenemi sunt	--|--|----|---|
c untreeespandu	-⌫-----|------|
iauodruntla ui lea sail lir	-|------|-|--⌫-|-⌫----⌫--|
e desikeasportesuenir	|-----|-|-----|----|
eliduca dlan oiseoie	-----|-⌫|-|-⌫---|--|
delage ntki est est urdie	-|-|--⌫-|-|--|---⌫----|
il s estarmé	-||--|----|
plusni atent	---|||----|
e sicumpainun sensement	|-|---------⌫|-------|
quato rze cheualersm untant	-----⌫--|--------|-⌫-----|
oten lauile suriurna nt	-|-|-|---|--------⌫-|
pl usurseniaueitn afrez	--⌫----|-||----|-⌫----|
edes pr isunsi ot as ez	|--|--⌫----||-|--⌫-|
ciluirentel iduc mun ter	--|-----|--⌫---|---⌫--|
parlesosteus seuuntarmer	--|--|-----|-|---|----|
forsde laporteodluieissirent	---|-|-|----|-|--|--------|
quesumunse n	--|------||
i atendi rent	|------⌫---|
sirefunti loduus	---|---|-⌫|-|--|
eceoque uusfer ez	|--|--|--|---⌫-|
il lurr espuntuostre	-|--|-⌫-----|-----|
aureiti nuldeuusici	-----||--|-|--|--|
d estreits eu st	-⌫------|-⌫--⌫-|
ulu men cumbre rl es peust	|--⌫|--⌫------⌫|-⌫-|----|
sinusicilesatendums	-|--|--|--|-------|
peotcelestrenusius terum s	---|--|----|--|---⌫-----⌫|
mes ceo nateintan ule spl eit	--|--||-----||-⌫-|-⌫---⌫--|
kiautre cunse i l	-|----|-----⌫-⌫|
en saue it	-|----⌫-|
dient sireparfei	----|---|--|--|
celboisencel	--|---|-|--|
la aduneestreitecharriere	-|-|--|-------|--------|
par unt ilrepei rentariere	--|--|-|-----⌫---|-----|
aueruntfetlureschec	------|--|--|-----|
si returneruntparilec	-|----------|--|---|
desarmez surlurpalefrez	-------|--|--|-------|
sen reuu n tsouentefez	|-|----⌫-⌫|------|--|
sisemettentenauentur e	-|-|------|-|-------⌫|
cumde nurira	--|-|----||
bien tostl e spu rreitdamagier	---|---|-⌫-⌫|--⌫----|-------|
e e usla i di ere empeirier	|-⌫-|--⌫-⌫--⌫-||--------|
elidus lur additamis	-----|--|-|--|---|
la meiefeiuus	-|---|--|--|
kientel liu neuasuuent	-|-|--|--|-|-|-----|
uil quid e perd re	|-|----⌫|----⌫-|
iagueresnegainera	-|-----|-|------|
neengra nt pr i snem untera	-|-|---⌫-|--⌫-⌫|-|-⌫-----|
u us estes tuz hummesl erei	-⌫-|----|--|-----|-⌫|--|
silideue zporter grantfei	-|-|----⌫|-----|----|--|
uenezodmei lauieo	----|-|--|-||--|
sifete s ceo	-|----⌫|--|
q ue ieofer ai	-⌫-|--|---⌫-|
iouu s asseurleaument	-|--⌫|-----|-------|
iani aureze ncum brement	-|||----|-⌫----⌫------|
p urtantcum iopuis	-⌫-|---|--|-|---|
s inuspoumrien	-⌫|--|---|---|
ceo nusi ert turn éa	--|--|-⌫--|----⌫-||
gran t pris	----⌫|---|
ded ama gier	-|-⌫---⌫---|
ici lunt prislaseurte	---⌫|--|---|-|-----|
cil unt d esiq ue alboi s mené	-||--|-⌫----⌫-|-|---⌫|----|
p resde lche minsuntenbuschié	-⌫--|--⌫|---⌫--|---|---------|
tantque cilsesuntrepeirie ́	------|--|-|---|--------⌫|
el idusluradtutd em u stre ́	--⌫---|--|-|--|-⌫--⌫-⌫----⌫|
een seignié edeuis é	|--⌫-------||-----⌫-|
dequeil manereaeu spuin drunt	-|----|-----||--⌫|----⌫----|
e cum illeses crieru nt	|--|-|--|--⌫------⌫-|
qua ntal des treitfurent uen uz	---⌫-|-|---⌫----|-----|---⌫-|
el iduc les adescriez	--⌫---|--|-|------|
tuzapelases	--|----|--|
cum pa inuns	---⌫--⌫----|
debienf aireles ad su muns	-|---|-⌫---|--|-|--⌫---|
ilifierent du rement	-||------|--⌫-----|
nesesp arniere ntn e nt	|-|---⌫-------⌫-|-⌫-⌫-|
cilesteienttut esbai	--|-------|--|----|
tostfurentrumpu edeparti	---|-----|----||------|
enpoide hu r efurent uencu	-|--|-|--⌫-⌫|-----|----|
l urc unestable u ntretenu	-⌫-|-⌫--------|-⌫-|-----|
etant des au tres cheu al ie rs	|---|--|--⌫---|----⌫--⌫--⌫-|
charge ntluresquiers	------⌫-|--|-------|
uin t ecincfurent	---⌫||---|-----|
tr en teenpristr entde	--⌫--⌫-|-|------⌫--|-|
ce us dela	--⌫-|-|-|
delherneispris trent a grante spl eit	--|------|----⌫----||----|-⌫---⌫--|
merueillu sgainiu ntfe it	---------⌫|---||-⌫-|--⌫-|
ari eresenuun ttutlie	---⌫--||-|---⌫|--|--|
mutauei entbienespleit ié	--|----⌫--|---|-------⌫--|
li rei sesteitsurune tur	-|---⌫|-----|--|--|--|
desesh umm esa d grantpour	-|--|-⌫---⌫-|-⌫|----|---|
de eliduc f orm ent	-|-----|-⌫---⌫--|
sep leigneit	-|-⌫-------|
karilquidout ecr eme i t	--|-|------||--⌫---⌫-⌫|
quilei tmis en	-|-|--⌫|--|-|
sesc haualie rs par trais un	--|-⌫-------⌫-|--|-----⌫-|
cilsenuien e nt	--||-|----⌫-⌫-|
tutchargie ́	--|-------⌫|
etutt russé	|--|-⌫-----|
plusalreue nir	---|-|----⌫--|
qui l nesteientalforseissir	-|-⌫||-------|-|---|-----|
p ar ceol esdescun ut lireis	-⌫-|--|-⌫-|------⌫-|-|---|
si fuendu te eensuspeis	-|-|-|--⌫-||-|------|
les portes	--|-----|
cuman daafermer	-----⌫-||-----|
su r lesmur s m unter	--⌫|--|---⌫|-⌫----|
purtraireaeus e	--|-----||--||
purlan cier	--|---⌫---|
mesnenaurunt nulmester	--||-|-----|--|-----|
enueiéauant	------|----|
un esquieresperuna n t	-|------|--------⌫-⌫|
q uelaue ntu relur mustra	-⌫-||---⌫---⌫-|--|-----|
cumilotce us	--|-|-|--⌫-|
delauencuz	-|-|-----|
ecumilsestei tcuntenuz	|--|-||-----⌫|-------|
unc telcheua lierne	--|--|-----⌫---|-|
lurcu nestableadr etenu	--|--⌫-------|-|-⌫----|
e uinte noef	|---||---|
d esautres pris	-⌫-|-----|---|
emuznafre ze muz oci s	|--|-----⌫||--|---⌫|
lireis quant	-|---|----|
lanou eleoi	-|---⌫--|-|
amerueilles	|--------||
iusde la tu re st descenduz	--|-|-|--⌫|-⌫-|--------|
eencuntree liduc	|-------|-⌫----|
desun bi e nfaitlemercia	-|--|--⌫-⌫----|-|-----|
eil lespr is uns li liuera	|-|--|--⌫--⌫--|-|-----|
asautres depart leherneis	-|-----|-----|-|------|
asuneosnereti entquetreis	|--|--|-|----⌫--|--|----|
ch eualerskelierentloe ́	--⌫------|-|-|----|---⌫|
tuta ddepartieduné	--|-⌫|------||----|
part communem ent	---|--------⌫--|
as prisunsea l autregent	-|------||||----|---|
a prescelfet q ue ieouus di	-⌫---|--|--|-⌫-|--|--|-|
mu t lamatlirei sec her i	--⌫||---|-|---⌫||-⌫---⌫|
unanentierl adretenu	-|-|-----||-|-----|
e ceuskisuntodlui	|---|-|---|-|--|
la fiancede l ienprist	-|-----|-|-⌫|-|----|
d e satere g arde in enfist	-⌫|-|---|-⌫----⌫-|-|---|
elidu cf ucurtei sesage	-----⌫|-⌫|------⌫||---|
be auchaualerpruzelar ge	--⌫-|-------|---||---⌫-|
la fillelereil oinumer	-|----|-|--||-|----|
elesb i ensde	|--|-⌫-⌫--|-|
luirecunter	--|-------|
chambe rlencpriué	------⌫----|-----|
ladrequ ispr iéetmandé	|-|----⌫-|--⌫--|-|-----|
que ali uenist es banier	--||-|-----|--⌫-----|
eparler e bienacu inter	|-----||---|---⌫----|
mu tdurem ent	--⌫|-----⌫--|
sesmerueil lot	|---------⌫--|
quil al ine	-|-||-⌫|-|
eliducrespunt qu	-----|------|-|
uolent e rs s	------⌫-⌫-||
iacuintera t	|---------⌫|
muntés ursundestri er	-----|-⌫-|--|------⌫-|
od lime na uncheualier	-|-|--⌫-|-|--------|
a l a pucel eueit	|-⌫|-----⌫|---|
quant enla cha mbre	----|-|-|---⌫---|
deust entrer	----|-----|
lechamberlencenueitauant	-|----------|-----|----|
alatauk esentarga nt	---|---⌫-|-------⌫-|
deciquecil reuientariere	------|--|------|-----|
odduz semblant	-|--|-------|
odmutnoblecuntene ment	-|--|----|-------⌫---|
parla mutafeit ement	----|--|-----⌫----|
e merciatla da meise le	|------|-|--⌫-----⌫-|
guil liadunquemutfu bele	----⌫-----|--|--|-|---|
q ueiluen ist	-⌫-|-|---⌫--|
al iparler	|-⌫|-----|
ce le laueit parlam ein	--⌫-||----|--|-|-⌫--|
desur unliterent asis	----|-|--|----|---|
deplusurschosesun tparlé	-|------|-----|--⌫|-----|
icel el ad mutesgardé	----⌫||-|--|-------|
sunuiss unc orsesuns emblant	--|--|-⌫-|-⌫--||--|-⌫------|
ditenluinat mesauenant	--|-|--||-|---------|
pri seensun c urage	---⌫-|-|--|-⌫----|
am ursilancesun messa ge	--⌫--||----|--|-----⌫-|
quelasom untde	--|-|---⌫--|-|
palirlafist esuspirer	----|-|---||-------|
m esne l uolt mettrea rei sun	-⌫-|-||---|-----||---⌫--|
qu ilneliturtamesprisun	-|-|-|-|---||--------|
u negrantpiece i dem ura	-⌫-|----|----||---⌫--|
puispristcunge si se n	---|----|----|-||-⌫|
ele li dunamutaenui z	--|-|---|--||----⌫|
me sn epu rquants enes tparti z	--⌫|-⌫---⌫-----||-|--⌫|-----⌫|
a sun ostel sene stalez	|--|----||-|-⌫-|---|
tut estmurnes	--|--|-----|
etrespensez	|---------|
be leesten	--⌫-|--|-|
lafillesunseign urle	-|----|--|-----⌫-|-|
qu etant du cemen t lapela	--⌫|---|--⌫-----⌫||----|
ede ceo keelesuspira	|-|--|-|--|------|
mut parse ti enta	--|--|-|--⌫--||
entrep ris	------⌫--|
que t anta d estéal pais	--|-⌫--|-⌫|----|-|---|
ueue souent	---|-----|
quantceo otdi tsi	----|--|-|--⌫|-|
de safemmeli remembra	-|-|----|-|-------|
ecumilliesseura	|--|-|-|------|
quebonefe iliportereit	--|---|--⌫|-|--------|
eleaumentse c un te ndreit	|-------|-|-⌫--⌫--⌫-----|
lapucelekil	-|-----|-||
uodr ad e liferesundru	----⌫|-⌫|-|---|--|--|
uncmes t ant nul	--|--|-⌫--|--|
sielepeo t sil r eten dra	-|--|---⌫|-||-⌫----⌫--|
tu telanui tueilla tissi	--⌫-|-|---⌫|------⌫|---|
neresposane ne dormi	-|------|-|-|----|
al de main	-|--⌫---|
estmatinleuee	--|----|----|
a unefene str e estale ́	|--|----⌫---⌫|--|---⌫|
s uncham berlencadap elee	-⌫-|----⌫------|-|--⌫---|
tuts un estreliad	--|-⌫-|----|-|-|
par feifet	--|--|--|
i osuic heienmalespleit	-⌫|--|-⌫--|-|--|------|
ie o aimlenouelsoudeer	--⌫|--|-|----|------|
elid uclibonche ual er	----⌫-|-|--|---⌫---⌫-|
ne purdormir	-|--|-----|
les oi lzne	--|--⌫-|-|
sipara mur me ueutamer	-|--|-⌫--|-|---|---|
e desuncorsas seu rer	|-|--|---|--⌫---⌫--|
ieoferai trestut	--|----|------|
sunpleisir	--|------|
pe otgrantbi enaue n ir	--⌫-|----|--⌫-|---⌫-⌫-|
de c estetere	-|-⌫---|---|
serat reis	----|---|
ta ntpar estsa ge s ecu rteis	--⌫-|--|--|--⌫--⌫||--⌫----|
quesilnemaimeparamur	--||-|-||---|--|---|
murirmestuet	----||-----|
qu anteleot dit ceo	--⌫--|--|-|--|--|
lich amberlenc queele apelot	-|--⌫--------|--|--|-----|
li adduné	-|-|----|
cunseill eal	------|-⌫--|
ne lidei th umme tu rne r a	-|-|---⌫|-⌫---|--⌫---⌫||
dame f et ilquantuuslame z	---|-⌫-|-|----|--||---⌫|
enu eezisili mand ez	---⌫--||-|-|----⌫-|
ceintureu lazuanel	-------||--||---|
enueiez lisi	------|-|-|
li ert be l	-|--|--⌫|
s i llerecei t bo nement	|-⌫|-|-----⌫|--⌫-----|
eioiusseit delmandement	|----|---|--|--------|
seurseezd e	---|---|-⌫|
suzcie lempereu r	--|---⌫|-------⌫|
siuus armer	-|--|----|
que mut nendeustestre liez	--|--||-|----|----|---|
ladameiselerespun d i	-|--------|------⌫-⌫|
quan tle cunseil oide	----⌫|-|------|-|-|
com entsauraipar mu n	---⌫--|-----|--|--⌫|
s iladdemeia me rtalent	|-|-|-|--|-⌫--⌫|-----|
ieone u iu nccheualier	--|-|-⌫|-⌫-|--------|
ki sefeistde ceopreier	-|-|----|-|--|-----|
s iilamastuilhaist	-⌫|-|----||-|----|
queuo lent ers ner etenist	--|--⌫----⌫--|-|-⌫------|
c elpresentke hum	-⌫-|------|-|--|
lienuea st	-|-----⌫-|
mut h arreiek	--|-⌫-----||
ilme gab ast	-|-|---⌫--|
mesnepurquant purlese mblant	--|---------|--|-|--⌫-----|
peot lumconustre	---|--|-------|
l i alqua nt	-⌫|-----⌫-|
aturn ezuuses ialez	-----⌫-|--||-⌫|---|
ieo s ui fetiltut aturnez	--|-⌫-|--|-|--|------|
deorli porter ez	-|-|-|------⌫-|
e macein ture lid urez	|-|----⌫---|-|-⌫---|
milfeizle mes aluerez	--|---|-|-|-⌫------|
lichamb erlencs enestturnez	-|-----⌫-----||-|--|-----|
elere meintenteu man ere	--|--⌫----|-|--|---⌫--|
pur poinelapeletarere	--|--|-||-----|----|
e nekedentlelaitale r	|-------|-|---|---⌫|
sisecumence a deme nter	-|-|------||----⌫---|
lassecu me stm is quorssuspris	----|--⌫|-⌫-|-⌫-|----|------|
pu r u n hummede autrepai s	--⌫|-⌫|----|-|----|---⌫|
il estdehaute	-|--|-|----|
si senirat hastiuement	-||-|---|----------|
ieo remeindrai cumdolente	--|---------|--|------|
foleme ntaimisem en te nte	------⌫-|-|---||--⌫--⌫--|
u nc mesneparlaiforsier	-⌫-|--|-|-----|---|--|
eorelefazd eamer	|--|-|--|-⌫|---|
kilme blamera	|-|-|------|
silest cur teisg reme	|-|--|---⌫---|-⌫-|-|
ore estdeltut en	--|--|--|--|-|
e siilnadde	|-|-||-|-|
mamurcu re	|---|--⌫-|
mutmetendrai maubaillie	--|-|------|---------|
iamesnauraii oie en ma uie	----||----|-⌫--|-|-|--|
ta nt cumele s e	--⌫-|--|--|-⌫|
lichamberlencmut	-|----------|--|
aeliduces teituenuz	|-----|--⌫---|----|
acunseillia ddit s al uz	|------|-|-⌫|--|-⌫--⌫-|
quelapucelelima ndot	--|-|-----|-|--⌫---|
elaneletl ipresentot	||-----|-⌫|--------|
lacei nturelia d	-|---⌫----|-|-⌫|
licheu alier ladm erciee	-|----⌫----||-|-⌫-----|
la nele t d	|-⌫----⌫||
or miste n	-|---|-⌫|
laceinture c eint entur	-|-------|-⌫---|----|
n eliu adle tplusnelidist	-⌫|-|-⌫----⌫|---|-|-|---|
neilnient ne li	-|-|----|-|-|
fors tantqu edes uen lioffri	---|------⌫|-|-⌫--|-|----|
cilnenpristriensiest parti	--||-|----|---|-|--|----|
damei se lereua	-----⌫--⌫-|---|
dedenzsacham br e	-----|-|----⌫--⌫|
depart celuila salua	-|---|----|-|----|
pres entlamercia	----⌫--|-|-----|
diuafetelene lmeceler	---|--|--|-||-|----|
ueutilmeipar amursamer	---|-|--|--|----|---|
illirespunt	-|-|------|
c eomestauis	-⌫-||--|---|
lichamberlencn	-|----------||
estpas iolis	--|--|----|
ieo le ti encacurteise	--|-|--⌫--||------||
que bie ns eit celer sun cu rage	--|---⌫|-⌫--|----|--|--⌫---|
deuostre part	-|-----|---|
e uozaueirs lipresentai	|--|-----|-|--------|
deuostre cein turesec ein t	-|-----|----⌫---|-|-⌫---⌫|
parmi le s	----|--⌫|
flancsbiensestreint	-----|---||-------|
elanele tmist	||-----⌫|---|
nelidis p lusne	-|-|--|-⌫--|-|
nelre cu t ilpur	-||--⌫--⌫|-|--|
peotcel estre ieosuitraie	---|--|----|--|--|----|
cil liad ditparfei	--|-|-|--|--|--|
or eoezceoke	--⌫|--|--|-|
silne uusuosist	|-|-|--|-----|
mut g rant bie n	--|-⌫---|---⌫|
iln e uosistde luostrerie n	-|-⌫|-----|--⌫|-----|---⌫|
tupar olesfe tele e nga s	-|---⌫---|--⌫|--|-⌫|--⌫|
ieo saibien q uilne me heit	--|--|---|-⌫|-|-|-|---|
uncne liforfisdenient	--|-|-|-----|-|----|
fo rstantqueie ola im	--⌫-|------|--⌫||-⌫-|
esipurtantmeu euthair	|-|--|---|-|-⌫--|---|
dun cest i l dign edemurir	---⌫|--|-⌫|----⌫|-|----|
iam espar tein e parautrui	---⌫-|--|--|-⌫|--|-----|
desiquei eo parogealui	------|-⌫-|-----||--|
neli uodr ai riendemander	-|-|----⌫-|---|-------|
kieo memesli	|--|----|-|
uoilmustrer	---|------|
cuml am urde	--||--⌫-|-|
li medestrein t	-|-|--------⌫|
mesieonesaisiilremeint	--|--|-|--|-|-|------|
li ch amberlenc adrespundu	-|--⌫--------|-|-------|
damel ire islad	---|-⌫|--⌫-||-|
desquea unan	-----||-|-|
parserement	--|-------|
quilliseruirat	-|-|-|-------|
asezpurrezaue rleisir	---|-----|---⌫|-----|
demustrer luiuos tre	-|------|--|---⌫--|
quantele oi qu il remane i t	----|--|-|-|-|------⌫-⌫|
mut durem ents esioieit	--|-----⌫--||-------|
mut esteitlee	--|-----|--|
del suiu r	--|----⌫|
nesaueitnentde	-|-----|---|-|
uilesteitpuisqu eilla u it	|-|-----|------⌫|-|-|-⌫-|
unc n ot ioiene	--||-|---|-|
forst ant cum ilpensadeli	---|-⌫--|--|-|----|-|-|
mut s ete neit	--|-⌫|--⌫---|
amaubailli	|--------|
ka rasa femmeaueitpremis	--⌫||-|----|----|-----|
ain zqu ilturnas t desunpa is	---⌫--|-|------⌫|-|--|--⌫-|
queilnauerei tsilin un	--|-||------⌫|-|-|-⌫-|
oree stsisquors	--|-⌫-|--|----|
engrantprisun	-|----|-----|
salea uteuoleitgarder	-|---⌫--|-----|-----|
mesnes enpeotnent iuter	--|-||-|---|---|----|
queilneneimtlademeisele	--|-|-||---|-|--------|
guilli adunque t antfubele	------⌫---|--|-⌫--|-|---|
del i ueeredeparler	-|-⌫|---||-|-----|
edebaiser edeacoler	|-|-----||-|-----|
mesianeli querraamur	--|-|-|-|-----|---|
ta nt pursafemmegarderf ei	--⌫-|--|-|----|-----|-⌫-|
tan tc umil	---⌫|-⌫-|-|
pur ceo qu	--|--|-|
ilest o dle rei	-|--|-⌫|-|--|
engrant peine fue lidu s	-|----|----|-|-⌫----⌫|
ilestmunte ́netar g e plus	-|--|-----⌫|-|---⌫-⌫|---|
ses cu mpainunsapele sei	--|--⌫-------|----|--|
a lchasteluet	-⌫|------|--|
uerra silpeo t	----||-|---⌫|
c e stlachei sunpurqueisesmeot	|-⌫-||-----⌫--|--|---||-----|
lire isest del ma nger	-|--⌫-|--|--|--⌫---|
ascha mbres safi lle estentrez	-|---⌫----|-|--⌫--|--|-----|
aseschesc umen ce a iue r	-|-----|-⌫----⌫-||---⌫|
auncheuale rdeutr e	|-|-------⌫|-|---⌫|
de l aut re p artdel escheker	-||---⌫-|-⌫--|-||-------|
deuei t sa f illeens eigner	-----⌫|-|-⌫---|---⌫-----|
elidus est ale z	-----|--|---⌫|
le reis li fi s t mut	-|---|-|--⌫-⌫|--|
belsemb lant	--|----⌫---|
deius te lui seerlefis t	-----⌫-|--|---|-|---⌫|
saf i l leapele sili dist	-|-⌫-⌫-⌫-|----|-|-|---|
d ameis ele ace st	-⌫-----⌫--||--⌫-|
uusdeu ri ezb en	--|---⌫--⌫-|-⌫-|
e fere luimutgra ntho nur	|---|--|--|---⌫-|--⌫--|
en trecinc	--⌫--|---|
cenz n enad meillur	---|-⌫||-|------|
quan tlames chine	----⌫|-|---⌫----|
o tescuté	-⌫|------|
