S eignurs oi	-⌫------|-|
Ni ottresnauirum guuernai lne	||-|---||-----|--------⌫|-|
Orlesguari sset cilki	-|--|-----⌫---|--|-|
saluatMoïsan	-----|------|
Quantfud iecté petitalflum del	----|--|-----|----|-|---|--|
EkiformatEuain delacosteda n	|-|-----|----|-|-|----|--⌫|
a sne parler	-⌫--|-----|
purleprop h et eBalaan	--|-|----⌫-⌫--⌫|-----|
Il empenser ab iene	-|-|------⌫|-⌫--||
li bersain[t ]Iohan	-|--|------⌫|----|
parce ls m urratma intbarbara[n]–	--|--⌫-|-⌫----|--⌫--|---------||
Pincenardeleutizturcoplee almican.	--------||-----|-------||-------|
Unco reerparcestHornconquisregne p ersan	----⌫-|-|--|---|---|------|----|-⌫----|
lefizcestuik ioreesten ahan	-|--|-----|-⌫|--|--|-|---|
K i paens destruratdiciqual	-⌫|----|--------||--|-|-|
flumIordan	---|-----|
Ne·s ipurrattenserMahu m neTerua g an.	---||-----|-----|----⌫|-|-----⌫-⌫--|
Enzunchalant sun t misxx b onismegrifan	--|-|------|---⌫|--|-|-⌫-----|-----|
deusdoins tmal	---|-----⌫|--|
e entrer enmal an	|-----|-|--|-|
Alnagier s unt assis tuit	-|-----|-⌫--|----|---|
treient seguran	------|------|
ue[r]sp a lagre	-----|-⌫-⌫----|
demerdesenfanzfunten gan.	-|--|--|-----|---|--⌫---|
guar issetcil kimeint	----⌫----|--|-|----|
ensuuera n.	-|------⌫-|
A lpalagre de mersuntsilu enunaia nt	-⌫|------|-|--|---|--|-⌫--|----⌫-|
pert nule par t d e	---|---|---⌫|-⌫|
terretantnequant.	----|---|-|-----|
unt tren che ́	--|----⌫---⌫|
dunttretuntle ch alant	---|---|--|-|--⌫----|
Asue nzer entp osétui tl i noble enfa n t	-|--⌫-|--⌫--|-⌫---|---⌫|-⌫|----|----⌫-⌫|
E i l suntsenzcunseil asundes uuntwal cra nt.	|-⌫|---|---|------|-|----|---|---⌫---⌫--|
Deuslurest cu nsei lliers k i	---|--|--|--⌫----⌫-----|-⌫|
salueres e st	-------|-⌫-|
pu issant.	--⌫------|
uusla uret ditHardr ésiDeuplest	--||-⌫---|--|-----⌫-|-|--|----|
apre sent.	|---⌫----|
Apressu nt léé menta l ur nefs	----|--⌫-|-----⌫---||-⌫-|---|
repe irez.	----⌫----|
Deske s fudconeudkeçofud	-----⌫|--|-----|-|--|--|
danHardrez	--|------|
Uncnefudtelbaldur entregentdeme nez	--|-|--|--|-----|----|---|----⌫--|
Partrestut	--|------|
pursamurkilfussent	--||---||-|------|
plu sheitez.	---⌫|------|
Quant i luinta l demei n[ k eso leil]	----|-⌫|---|-⌫|-----⌫|-⌫-⌫|--⌫----|
Furenttuitcil des nefsaltrefHorn	-----|---|--|--|---|-|---|---|
es semblez.	--⌫-------|
DanHa rdré	--|--⌫----|
lesaddu ncissia resu nez	--|-|--⌫-|---|-⌫----⌫--|
Orent[end] et seignur scument uuser rerez	-|--------⌫-|-------⌫|-----|--|--⌫----|
Parlecunseil	--|-|------|
demeisiDeup lest uengerez	-|--|-|--|-⌫---|-------|
Ledoldeuoz amiskia	-|--|-|--|---|-||
mo rt suntm enez.	--⌫-|---|-⌫----|
u ostre ostk e ciuei endousdepar ti re z	-⌫----|--|-⌫|-|--|-|---|-----⌫--⌫--⌫|
Elau uusmustra[i]	|-||--|--------|
lameitetmuscerez	-|-----|-------|
Odla meitet ic i sireHorn	-|-|-----|--⌫|---|---|
i r emeindr ez	|-⌫-------⌫-|
aur aiRedmund odles suensça guiez	---⌫-|------|-|--|----|--|----|
uuslur ceindr ezcestcampsiuusicum b at r ez	--|--|------⌫-|---|---|-|--||---⌫-⌫--⌫-⌫-|
ener tliesturscumence z	-|--⌫|-|-----|-------⌫|
uuskiserre zm uscez si	--|-|-----⌫|-⌫----|-|
uusdes buche rez	--|---⌫-----⌫--|
Epardetri ers asdosuas salmentferrez.	|--|-----⌫--|-|--|---⌫------|------|
S ierende scunfitliculuert r e neez.	-⌫|---|--⌫------|-|------|-⌫-⌫----|
sauru[n]t motsierentmorz ruez.	--------|--|-|----|---|----|
Quantserrezsiuengezlaterr eseiserez	----|-----|-|-----|-|----⌫|-------|
Tutaluostrepleisirimerr ez uoz barnez.	--|-|-----|------||----⌫-|--|------|
Lorsescrienttrest uit	---|-------|-----⌫--|
B uerf ussezuusnez	-⌫--|-⌫----|--|--|
plestc um l e	----|-⌫-|-⌫|
cumande z.	-------⌫-|
Atritantpri stcungé e sisenestturnez	-------|---⌫-|-----||-||-|--|-----|
Me sliliu s duntparla lurfude inceis must rez .	--⌫|-|---⌫|---|----|--|--|-⌫-----|----⌫---⌫|
A ceferek il dist	|-|---||-|---|
mult enertei sez .	---|-|--|--⌫---⌫|
Eentant k e u et	|-|---|-⌫|-⌫-|
Hardré areiRodmundparler	------||--|------|-----|
EKiluoltseilp eot	|--|---|-|-|-⌫--|
sundamageesple it er	--|-----|-----⌫--⌫-|
Karquelsembl antkilfet i l	--|---|-----⌫--||-|--|-⌫|
nelpeotunc	--|---|--|
Seil peot en	-|-|---|-|
nul sensunseignurueol t	--|--|--|------|----⌫|
Aäl uf lebarunk i· lnurrit eotch e r.	----⌫-|-|----|-⌫--⌫|-----||-|--⌫-⌫-|
lihomeHo rn pa r	-|---|--⌫-|--⌫|
ces larriz	--|-----|
saurat Rodmundsiauratencumb r er.[f.18c ]	-----|------|-|----|------⌫-⌫---------⌫|
Mul tiaueituassal	---⌫||----|-----|
gent decu ntenementfer	---|-|--⌫--------|--|
N iadcilnes en pe int de	||-|--|-||-|--⌫--|-|
R odmundm ana scer–	-⌫-----|-⌫---⌫---||
fruntmultbenkar D eu sluruoltaider.	----|---|--|--|-⌫--⌫|--|---|-----|
Hard re ́estiaue nud eskal m estr e soler	----⌫--⌫|--|-|--⌫-|-⌫--|-|-⌫----⌫|----|
UlireisodsagentRodmund solcunuerser	|-|---|-|-|---|------|--|--------|
Quantiluintdesk aluisi	----|-|---|---||--|-|
lid it a lp remer	-|-⌫-|-⌫|-⌫----|
Sire Mahunuusguard	---|----|--|----|
n ost re reidreturrer	-⌫---⌫-|--|--------|
Une renuus	--|--|--|
dirr aidu nt m e pus m erueller	----⌫-|--⌫-|-⌫|--|-⌫-------|
xu anzadke iooi tuz uosporz	-|--|-|-|-|-|--|--|---|
ui uenirkiuosis t damager.	-|----|-|-----⌫|-------|
Oris unt u e nuz ne sa[i]quel spalte ner	-||-⌫--|-⌫-⌫--|-|----|----⌫|-----⌫--|
Od x x nefs so lem ent –tantles[ p us] aesmer	-|-⌫|---|--⌫---⌫--||---|--|-⌫-⌫--|-----|
Si il sun t cri stien scel	-|-|---⌫|---⌫-----⌫|--|
nesaide u is er.	-|--|--⌫-⌫--⌫--|
ils err eit Hor nkiuenistpur rober	-|-⌫---⌫--|---⌫|-|-----|--|----|
Mé çodi stre ntle suozkil	--|--|--⌫----⌫-|--⌫|--||-|
leuirentnéér.	-|-----|------|
Eki kilseient	|-||-|-----|
ne·sleissumsurio rner	---|------|-----⌫---|
Kar granzestreitla	--|----|------|-|
huntee uileinrep ru uer	----||-----|---⌫--⌫--|
Si r en portent d e nus	-|-⌫-|------|-⌫|--|
sanzle n uscumparer.	---|-|-⌫-|--------|
Hardréço ditRodmundun e	------|--|--|------|--⌫|
Multformentsuzc riemHorn etu z	---|------|----⌫---|---||--⌫|
iorz suzcreindr ai	---|----------⌫-|
Karnag uereskeiou ne	--|||-⌫----|-|-|-⌫-|
espi eenuea i	----⌫|-----⌫|
Kimed ist k i l uiteuncorleuerrai.	-|-|-⌫--||-⌫|--||----|-|------|
Kidi strentk eet neé d	-|--⌫-----||--|---||
icesmeuengerai.	---|-|--------|
Laltr e rnad miemultun	|----⌫-⌫||-|--|---|-|
gre fsun gesungai	---⌫|---⌫-|-----|
Ecumiomep urpense	|--|-|-|-⌫-----||
M e fu uiskod mes	-⌫|-|--||-|--|
chens un mat i nm e nalai	----|-|---⌫-⌫||-⌫|---|
b oiss ur lam er	-⌫--|-⌫-|-|-⌫-|
eileochescha çai	|-------|---⌫---|
Enunsundre	-|-|-----|
deporsesrai e	-|---|----||
Unsenglergrantdent ud efiero delstrouai	-|------|----|----⌫-||---|-⌫|--|-----|
Ki nafro tmun	-|-----⌫|--|
cheualmeiabateit altai	-----|--|------|-|--|
Enz el corsmefe rikuncpusne	--|-|---|-|--⌫-||--|--|-|
Porssenefient gent e n sunge–benlesai .	---|--------|---|-⌫|----||--|-|---⌫|
Si iouoiscu ntrecestr e sbenme	-|-|---|--⌫---|--|--⌫-⌫|--|-|
guarderai.	---------|
Tolezç o dit	----|--⌫|--|
H ardrécertesmult se rreit	-⌫-----|-----|---|--⌫----|
Seilquitesenw ntde	-|-|----||-|-⌫-|-|
nus puritelplai.[ f.18d ]	--|--|---|------⌫-----⌫|
S imait Apo li nensu ng esn ecrerrai	-⌫||--|---⌫--⌫|-|--⌫--⌫-|-⌫|------|
Fableestdeuenut qu a ncunkessungaíi.	----|--|------|--⌫-⌫------|--------|
Purc ̧o· [l]	--|-⌫---⌫--|
turnumaue ntiame s ne scute rai .	-----||--⌫-|----⌫||-⌫-----⌫---⌫|
uolez alereio suli irrai.	----|---||-|--||-----|
merr aiod[m ei]cel[s]kemen er pu rrai	----⌫-|-|--⌫--|-----|-|---⌫-|--⌫---|
Esiçostre itHornsur luiprim esferrai.	|-|--|----⌫-|---|--|--|----⌫-|------|
mesc re ezcertesio·luusiurrai–	----⌫--⌫-|-----|---|--|-----||
Apollin–cun cne·lespar nirai.	------|||--⌫|---|-----⌫-----|
ParitantfudRodmunddel	--|----|--|------|--|
a le renh ardi z	-⌫--⌫|---⌫----⌫|
Purl e sungequotueu	--|-⌫|----|-|-|--|
siialotenuiz	-||---|----|
Odlu iuun t milpa ensarmez eferuestiz.	-|--⌫|---⌫|--|--⌫--|----||---------|
Poiadcuntre les noz ki pruz	--|-|-----|--|--|-|---|
sunt e elliz	---||----|
Messi leueoltH ard ré	--|-|-|----|-⌫---⌫--|
k il sei enttuzpetiz.	|-|---⌫--|--|-----|
Illescunduitdeuantsi· s adtuzesba udi z	-|--|------|-----|---⌫|-|--|----⌫---⌫|
Grant ioie	----|---|
uetfesant e mu ltgrantcorneiz	--|-----||--⌫-|----|------|
E mul t benlurp urme tkilserrunte nrichi z	|---⌫|--|--|-⌫----⌫||-|------|-⌫------⌫|
Qu ant il auru nt cunquisces	--⌫--|-|----⌫-|------|--|
garçunsestur diz	-------|-----⌫--|
Plus au runtdel aue rkenotuncreisDauiz	---|--⌫---|--|---⌫|-||-|--|---|----|
Paritantsun tlifel	--|----|---⌫|-|--|
del alerenhardiz.	--|---|--------|
Del reis u nk ili	--|----⌫-⌫||-||
funt suntlimunt rebundi z	---|---|-|---|-------⌫|
Benlesoent del oinzla gent Horn délatriz	--|--|---|-|-⌫---|-|---|---|--|-----|
Purleisser lespas se rsunt	--|------|--|---⌫--⌫|---|
mu sce zetap iz	--⌫---⌫||---⌫-|
Karenc uiert Hardréleuol eiracu mpliz	--|---⌫-|--|------|-|---⌫--|---⌫----|
A glaiuemurr unthuip alt e nersarabi z	|-----|----⌫--|--|-⌫---⌫-⌫---|-----⌫|
D e puskert cu m encezentr	-⌫|--||--|--⌫-⌫----|---|
els l iferreiz.	--|-⌫|-------|
Li n ostreerentuaillantn i	-|-⌫----|----|-------|||
treistrentaenuiz.	---------||-----|
E ci stuersels	|--⌫-|---|--|
e rentacua rdiz	-⌫---|----⌫---|
re u errunt lu r muiller snelurfi z.	--⌫-⌫-----|--⌫|-------⌫|-|--|--⌫-|
Hardréles a dcunduittrestuteuneua l ee	------|--|-⌫|------|-------|--|--⌫-⌫-|
Nostreg ent eschiwant ben	-----|-⌫--|--------|--|
soutu fudmusce e	---||--|-----⌫|
E danHorner guarniz	|--|---|-|------|
otapreste e.	-|-------⌫-|
Paen uienentseurcumgent	---|------|---|--|---|
s urquidee	-⌫-------|
floteenwntdre itu ert aancr ee	----|-|--|---⌫-||--|-----⌫-|
Qu a ntsuru eue lunt cherefuntdesh eitee	--⌫-⌫-|----⌫--||--|----|---|----⌫----|
Cum gentkeseu entbenkaperte	--|---|-|---⌫--|--|||----|
este itturn ee.[f.19 a]	----⌫-|----⌫--------⌫-|
Orseuent parHornestlurmort enginnee	-|-----|--|---|--|--|---|-------|
E u eient ke tants un tkiln i	|-⌫----|-|---|-⌫--⌫||-|||
auruntduree	-----|----|
Ka r ilne s unt uersels	--⌫|-|-|-⌫--|---|--|
forsulu ne poigne e	--|--|-⌫-|------⌫|
uo le nte rsfu sent turn éariere enlur	--⌫--⌫---⌫-|--⌫---|----⌫-|-----|-|--|
Sil ueisentparuntueie fus t aprestee	|-|------|--|--|---|---⌫|-------|
Mesil sun ttut enclosdeg entuerselsir ee	--|-|---⌫|--|-----|-|-⌫--|---|--|--⌫-|
EdanHornlurad	|--|---|--|-|
ia cum encéla	-|---⌫----|-|
Edan Har dré	|--|---⌫---|
ifudkodlui prest[e] sa	|--||-|--|-------|-|
De ferirs urpaens	-|----|-⌫-|----|
cestrenkeluia gree.	|--|--|-|--|-⌫----|
Orfi erent tutesparzpaenspernentc olee	-|--⌫----|----|---|----|------|-⌫---|
K ilgisenten tuzsens	|-|-----|-|--|---|
uerse ́gule ba ee.	-----⌫|---|--⌫--|
Or seit b enRodm undke	-|---|-⌫-|----⌫--|-|
Cunust l auision	-----||------|
kelui fuddemustre e	-|--|--|--------⌫|
E setbenkeparHor n la mortert	|--|--|-|--|---⌫|-|---|--|
r eu en g e e	-⌫--⌫--⌫-⌫-⌫|
De sunpereÁál uf	-|--|---|-----⌫-|
kideme i ntertploree.	-|-|--⌫-⌫-|--|------|
Rodmundsetbende fik il	------|--|--|-|-||-|
pasn eschapera	--||--------|
mo rtÁálufk e Ho rn l auengera.	--⌫-|------|-⌫|--⌫-|-⌫|-------|
Quantilueita	----|-|---||
estruskice l	-----||---⌫|
iur murr a	--|----⌫|
Sa mort sil	-|---||-|
purradmultchierluruendera .	-----|---|----|--|-------⌫|
P ri mesmaldit Hardrékitan tma ll	-⌫--⌫--|-----|------|-|---⌫|--⌫||
Kimescre re lefiste pu rçoletricha	-|------⌫-|-|---||--⌫|--|-|-----|
Distkepoieren t gen te pur	---|-|--|----⌫|---⌫||--|
çole mena	--|-|---|
champ dolurus u seitkilremei ndra	----|------||---||-|-----⌫---|
aiderasaltresse	----|-|-----|-|
Seil peot aspr em i erscestuilecumpara.	-|-|---|-|--⌫--⌫-⌫--|-----|-|-------|
Sunesp i éa dbranditsunescuenbrunça	--|---⌫-⌫-|-⌫|------|--|---|--------|
Pusue tfer ir	--|--⌫|---⌫-|
Hardrélauil l encuntra	------|-||-||-------|
En lescude	-||---|-|
quartiers multgrantcopli dona	--------|---|----|--|-|---|
Kelesq uirsel esfuz	-|--|-⌫---||-⌫-|--|
M es un c de	-⌫-|--⌫|-|
sunhalberc maelene	--|------|----|-|
Nepurquant del	---------|--|
ter reiusmis laa.	---⌫-|--|--||--|
Mes sisfizBadelaca kimult enp esa	--|--|--|------||-|---|-|-⌫--|
ads ucur ud	-|-⌫----⌫-|
kil pl usne·lblesça.	|-|--⌫-|---|-------|
uetauantkiia·s	--|----|-|---|
estu rmira	----⌫----|
Mu ltchi er l u[r]	--⌫-|---⌫-|-⌫---|
u ent sam o rtduntadfian ce ia.[f .19b]	-⌫--|-|-⌫-⌫-|---|-|----⌫-|-----⌫----|
Ho r n estd altrepart sicumba tfierement.	--⌫-⌫|--||----|---|-|-----⌫|---------|
Paens le c riment mult edu tent	----|-|-⌫-----|---||--⌫---|
DelamortÁáluforprentle	-|-|---|------|-|----|-|
Ne nencu[n]treu n tut s ulkelateste ne	|-⌫|---------|-⌫|--|-⌫-|-|-|----|-|
Grantestliferrei zgrif estli	----|--|-|------⌫|---|--|-|
caplement.	---------|
Hade rof ad oi le sgranz	----⌫--|-|-|--⌫|----|
c r izdelagent	-⌫-⌫-|-|-|---|
Od lessuensestformis hors delenb uschemen t	-|--|----|--|-----|---|-||---⌫--------⌫|
Aspaens est uenuz si·sacoiltgriuement	-|----|--|----|---|-----|--------|
Du ncueistki	--⌫-|----|-|
lafustta ntgrant abatemen t	-|---|--⌫-|----|--------⌫|
Duntpusnu lsneleuanen e ui tsun	---|--|--⌫-|-|---|-|-⌫|--⌫|--|
Rodmundadmult be nueuk est turné a	------|-|---|--⌫|--||--|-----||
K es t asistutespa rz	|--⌫|---|----|--⌫-|
aeschapeme nt	|---------⌫-|
De mi lki lame nat ne	-|--⌫||-⌫|---⌫--|-|
suntoru ifkecen t.	---|-|-⌫-|-|---⌫-|
Multseplei ntdeHar dré	---|-|----⌫-|-|---⌫---|
mu ltle m aldits uuent	--⌫-|-|-⌫----|-⌫----|
traiturmultlefis	------|---|-|--|
K[ a] meinti orn e·l pendie ne l	-|-|----|-⌫-|-⌫--|----||-||
Tu z iorzcertes lescriense	--⌫|---|-----|--|-----||
loiensuschement	|-|-|---------|
Messisdeus leg uarit	--|--|---|-|-⌫----|
esi·nfisttenseme n t	|---|---|-------⌫-⌫|
Mu lt ualtmielz ke[Mah un ]ac elui ki	--⌫-|---|----|-|----⌫--⌫||-⌫---|-|
Hardré uncne·lguerpimeskenfistfe ignement.	------|--|---|-----|--||-|---|--⌫--------|
Orlenusadmu s tr é ac eldefiniement	-|-|--|-|--⌫-⌫--⌫-||-⌫-|----------|
Kiuersceses t	||---|--|--⌫|
turnée enuersnus uenent	-----||-----|--|-----|
Sim enp u sse uengerennu lenc un trement	-||-|-⌫-⌫--|-----|-|--⌫|---⌫--⌫------|
Pu smurreieplussuef	--⌫|------|---|---|
epluslegierement.	|---|-----------|
Qu antRodm und ot çoditp usbrochasuncheual.	--⌫--|----⌫--|-|--|--|-⌫-|-----|--|------|
Ensu n poin t intle bran tod	-|--⌫|---|-⌫--|-|----⌫|-|
le pundecristal	-|--|-|------|
E si cerc helesrencs trest utiré par	|-|----⌫-|--|----|-----⌫-|---|--|
Parmultgrantmaltale ntuet ferirun uassal	--|---|----|-------⌫-|--|----|-|-----|
Tutle helme	--|-|----|
li fent ius d eska l nasa l	-|---|--|-⌫--|-⌫|----⌫|
Cil nesep eo tteniren z	--|-|-|-⌫--⌫|----|--⌫|
estchéétaual	--|------|---|
Ne fudmerue illegrantkar licopsfudmortal.	-|--|-----⌫---|----|--|-|---|--|------|
Haderolfladue uki descen td	-------||-|--⌫|-|------⌫||
un costal.	-|------|
Bienadue u lecopk il li	---|-|--⌫|-|--||-|-|
do nadreal	--⌫--|---|
Iae ndreitseilpe otaltr etal.	-|-⌫-----|-|-|--⌫-|----⌫----|
Ilest uen uz aluis il	-|--|---⌫-||--|-⌫||
adpaéuntal[f.19c]	-|---|-|---------|
E nlapen edeuantdeles c uprincipal	-⌫|-|---⌫|-----|--|--⌫-⌫|--------|
K e tutlepurf endil espeeemperial	-⌫|--|-|----⌫---||----|-------|
Delcheualpris t lecol res	--|-----|----⌫|-|--|--|
ares del peit ral	|--|--|----⌫--|
ab atitestendualt er ral.	--⌫---|------|-|-⌫--⌫---|
Orl i estau enuhuniementuerg undal	-|-⌫|--|--⌫--|--------|----⌫----|
Eilestsussailliz od dolkil	|-|--|--|------|-|--||-|
Haltement r eclamatsunseignur Belial	--------|-⌫------|--|------|-----|
Kilence l besoingliseitpartu te gal	|-|-|--⌫|------|-|---|-----⌫|-⌫--|
Ke il p usseses	-|-|-⌫---|--|
c opsreseruircumunal	-⌫--|-------|------|
Ka r purluisulne	--⌫|--|--|--|-|
uolt iaguerpirsunestal	---|-|------|--|----|
Mult fu st	---|--⌫-|
pruzsilcreistlereiespiri t a l.	---||-|-----|-|--|------⌫-⌫-⌫-|
Haderolfuien tuers l uiki multest	-------|----⌫|---|-⌫-|-|---|--|
Si referiler ei kemultfort	-|-----|-|-⌫-|-|---|---|
l a d blescez	|-⌫|------|
E Rodmun df eritluiki	|------⌫|-⌫---|--|-|
forment estirez	------|--|---|
U ngran tcop mu ltplener de	-⌫|----⌫|--|--⌫-|-----|-|
sunbrantafile z	--|----|-----⌫|
Ke luie s undestrer	-|--||-⌫-|------|
a t erreadgra uentet	|-⌫---|-|---⌫-----|
Des ore sunt amdui alcampcu mmunerap e t.	--|--|---|----|-|---|--⌫-----||-⌫-⌫-|
Orsewnt referi r nesuntesparniet	-|-|--|------⌫|-|---|--------|
Amduis unt bo n	----|-⌫--|--⌫|
mult benadu r et.	---|--|---⌫-⌫--|
Tantsesunt cumbatike pre sestesu espret	---|-|---|------|-|---⌫|--|---⌫-----|
