#MET A#Tex tU RIOmbreB2	----⌫-|---⌫--⌫-|------|
#ME TA #DEAF http//www.deaf- page.de/fr/bibl/ bib99o.php#OmbreB2	---⌫--⌫|---|---------------⌫----------------⌫-----------------|
#META#TLOmb re2	-----|-|---⌫--|
#META# FEW	-----|--|
#ME T A#ARLIMA ht tps//www.arlima.net/no/234	---⌫-⌫-|-----|--⌫-------------------------|
#META#Aut horIeanRenart	-----|---⌫--|---|-----|
#META#AuthorBorn	-----|---------|
#META#AuthorBor nAmb	-----|---------⌫---|
#META#AuthorD ied	-----|-------⌫--|
#META#Autho rDiedAmb	-----|-----⌫-------|
#META#AuthorFl1	-----|--------|
#M ET A#AuthorF l2	--⌫--⌫-|-------⌫-|
#M E TA# TextTitleL elaide	--⌫-⌫--|--------|-⌫|--|-|
#META#TextSubtitle	-----|-----------|
#MET A# Textuo ls1	----⌫-|------⌫-||
#META#TextS ubisho rt	-----|-----⌫--|---⌫-|
#MET A#Tex tDomli t	----⌫-|---⌫---|--⌫|
#META# Translationfalse	-----|----------|----|
#MET A#Colle cti on	----⌫-|-----⌫---⌫-|
#M ETA# Co llec tionNo	--⌫---|--⌫----⌫-----|
#M ETA#TextD escARL	--⌫---|-----⌫-----|
#M ETA#TextDescuers 8	--⌫---|-----------||
#META#TextDateAR L débutduXIIIes iècle	-----|----------⌫|-----|-|----|-⌫-----|
#META #Tex tDateA did13	-----⌫|---⌫------⌫-|--|
#META#Tex tDateMin	-----|---⌫-------|
#META#TextDat eMax	-----|-------⌫---|
#META # E dEditorBédier	-----⌫|-⌫------|------|
# META#EdPlaceP aris	-⌫----|------|-⌫---|
#MET A#EdPublis herF irmi n-Didot	----⌫-|--------⌫--|-⌫----⌫------|
#META#Eduol	-----|----|
#META#EdYear1913	-----|-----|---|
#META#EdPages1 -50	-----|------|-⌫--|
#META# MsBas e BN fr.837	-----|-----⌫|-|--|--|
#META #MsO th erBC D	-----⌫|---⌫--⌫-||||
#META#MsN um 7	-----|---⌫-||
#META#MsDateARL	-----|--------|
#META#MsDateAdi	-----|--------|
#META#Form	-----|---|
#META# Complet e true	-----|-------⌫|---|
# META#NoWo rds	-⌫----|----⌫--|
# META#NoLines	-⌫----|------|
# META#Dial Auth	-⌫----|----⌫---|
# M ETA#DialScribe	-⌫-⌫---|---------|
#META#ScanURL https/ /arc hiue.org/de tails/ lelaidelomb re00ie an uoft	-----|------|------⌫----⌫-----------⌫------⌫-----------⌫------⌫--⌫---|
#META#Sc anURIOther	-----|--⌫---------|
#ME TA#ArkIDark/1 3960/t 0 4x5hu90	---⌫--|----|-----⌫------⌫-⌫------|
#META# LccnID	-----|-----|
#META#OclcID	-----|-----|
#META#WebAu thorYero N ia mad i o	-----|-----⌫---|---|-⌫--⌫---⌫-⌫|
#META# ORCID WebAut hor	-----|-----⌫------⌫--|
#META#WebReuie wer Daui dI ose ph Wrisley	-----|--------⌫--|----⌫|-⌫---⌫-|------|
#META#ORCIDReuiewerorcid . org /00 0 0-0002-0355-1487	-----|------------|-----⌫-⌫---⌫---⌫-⌫---------------|
#ME TA#MiscInfo	---⌫--|-------|
# META# CC License	-⌫----|--⌫------|
CCBY-NC-SA4.0International	-|-------|--|------------|
Pluslen proisentetroi etconte .	---||-|-------|-|--|-|-----⌫|
Ororr e ́s par	-|---⌫-⌫-|--|
tens en cest	---|-|---|
Pag eu01P004	---⌫-------|
qu eiefaz de l	--⌫|-|--|-||
Iedique unsc h eualiersere	-|-|--|--|-⌫-⌫-------|--|
En cele m ar che delEmpiere	-|---|-⌫--⌫--|-||------|
DeLoheraineet dAlemaingn e.	-|--------|-||---------⌫-|
Ie ne cuit pa s cuns te lsen maingne	-|-|---|--⌫||--|--⌫-|-|------|
De Cha alons iusqu	-|---⌫----|----|
e nParçois	-⌫|-------|
Quisiait toutesa son	--|-|--|-----||--|
B onesteches c o mme	-⌫---|-----|-⌫-⌫--|
Dem ain tes entreta u filLoth	-|-⌫---⌫--|-|---|-⌫|--|---|
Gauain sicommenous	-----|-|----|---|
oïonques sonnon	--|-----|--|--|
Nei ene sa i se point	-|-⌫|-|--⌫|-|----|
P ro ecee t cor toi sielot	-⌫--⌫--|-⌫|---⌫---⌫--||-|
Pageu01P005	----------|
Eslitaestres ie ndemaine .	----||----|-⌫--⌫|-------⌫|
Deladespe nss e	-|-|-----⌫---⌫|
quildema ine	-|-|----⌫--|
Se smerueille nt	|-⌫----------⌫-|
tuitsi ac ointe .	---|-|--⌫-----⌫|
Ne trop emparlé	-|---|-------|
netropcointe	-|---|-----|
N eltrouissieznede	-⌫-|---------|-|-|
rui stece.	---⌫-----|
Iln ertmie	-||--|--|
deg rantrichece	-|-⌫---|------|
Mèsi lse sotmoutbien a u oir	---|-⌫|-|--|---|---|-⌫-⌫--|
Bie nsotprendreenunlieul	---⌫|--|------|-|-|---||
Et metre l aoupointnenot.	-|----|-⌫|-|----||-|--|
Parlerquimoutn e	-----|--|---|-⌫|
laint etpris t	|---|-|----⌫|
Nonques anule nes	|-----||---|-||
Bien a certes qu	---||-----|-|
lln enfustbien	-||-|---|---|
Qu arilest oitsor touterien	--⌫-|-|---⌫--|--|----|---|
Et fransetdou set	-|----|-|---⌫|-|
de bonere.	--⌫------|
Quanques chascunsenuousistfere	-------|-------|-|------|---|
Enpeüst fereentoros tel	-|-----|---|----|--⌫--|
Mèsausarmesautreq ue tel	---|--|----|----|-⌫-|--|
Letrouissiezqueie nedi	-|---------|--|-|-|-|
E stout et	-⌫----|-|
ireu seth ardi	----⌫|-|-⌫---|
P a geu0 1P006	-⌫-⌫----⌫----|
Quantilauoitlelmeens o nchief .	----|-|----||---|-|-⌫-⌫|-----⌫|
Biensot u nrencdechi efen chief	---|--|-⌫|---|-|---⌫-|-|----|
Cerchier porun eiouste fere.	-------|--|--⌫|-----|----|
A ce ot to rné sonafere	|-|-|--⌫---|--|----|
L ic heual ie rsdontieuous di	-⌫|-⌫-----⌫--⌫-|---|-|---|-|
Quiluousistquechascunlundi	-|-|------|--|------|----|
Quilestoit qu il	-|-|-----|-|-|
enfussentd eus	-|------|-⌫--|
Nonque sch eualiersnefu	|-----⌫|--⌫-------|-|-|
darmes q u il estoit.	|----|-⌫|-|------|
Ce nest miecilqui ue st oit	-||--|--|--|--|--⌫--⌫--|
Sarobedestéayu er.	-|---||----||--⌫--|
Plusdo noitil	---|--⌫---|-|
Cunsautresde	|--|-----|-|
dis tan sdauo ir	--|---⌫||---⌫-|
E ttoziors ueuto	-⌫|--|---|---||
Setcompaignonsouci nca uma ins	--|----------|-|--⌫-|-⌫|--⌫--|
Neiarien snetenist aus	-|-|----⌫|-|-----|--|
S onleu ousis tqu eonneüst.	|-|-|-⌫-----⌫|--⌫|-||-----|
Deduitdois iau squantlui	-----||---⌫---⌫|----|--|
Ama queienemespris mie .	--|--|-|-|------|---⌫|
Pa geu01P007	--⌫--------|
Ilsotdeschés et d	-|--||------|-||
Etd autresgeu s plu squeTristans.	-||-----|---⌫|---⌫|--|--------|
Moutbonmayotunbien	---|--|--|-|-|---|
lo nc tans	--⌫-|---|
F o lio40d	-⌫-⌫-----|
Etmou tsefis tam er ausgenz.	-|---⌫|-|---⌫|--⌫-|--|----|
Ilert de corset	-|--|-|---|-|
debrazgenz	-|---|---|
Etf rans etlegiersetisniaus	-|-⌫---|-|------|-|------|
Si ert encor pluspre usqu e	-|--|----|---|---⌫-|--⌫|
To utcedoitbiencheu al iers es tre .	--⌫-|-|---|---|----⌫--⌫---|--⌫---⌫|
Amorsquisefetdameetmestre	----|--|-|--|---|-|-----|
Deceusdonteleestaudeseure	-|---|---|--|--|-|------|
Encelbonpoin tlico ruts eure	-|--|--|----⌫|-|--⌫--|-⌫---|
uoutauoirle treü	---|----|-|----|
D elgrantdéduit	-⌫-|----|------|
Demaintedam een son eage	-|-----|---⌫|-|--|---|
Neain eser uicene	-|---⌫|---⌫---|-|
Nel enfistentrues	-||-|---|------|
qu illi lut	-|-|-|--|
Po rce qullnese	--⌫|-|-|-|-|-|
Asonhommenasonba ill ieu	|--|----|||--|--⌫---⌫--|
Selifist en tansetenlieu	-|-|---|-|---|-|-|---|
Sentir sonpooiretsafor ce .	-----|--|----|-|-|---⌫--⌫|
OnquesTristans	-----|-------|
quifu afo rce	--|-||--⌫--|
T ond us commefolsporYse ut	-⌫---⌫-|----|---|--|---⌫-|
Pa geu0 1P008	--⌫----⌫----|
Not le tiersdaha ncomci leut	|-|-|----||---⌫|--|--⌫|--|
Des iquile n ot sa pais	-|-⌫|-|-|-⌫|-|-|---|
Ele li otsai etetrete	--|-|-|---⌫--|----|
Pa rmilecors iusqu au penon	--⌫|-|-|---|----|-|----|
biautéetledouznon	------|-|-|---|--|
Dune dame li	|--|---|-|
mistel cu er.	---|-|--⌫--|
cou int ageterp uer	---⌫--||----|-⌫--|
To utes le s autrespor ce sti.	--⌫---|--⌫|-----|--|--⌫---|
De maintesenauoitpart i	-|------|-|----|----⌫|
Son cuer q uenulenenamoi t	--|---|-⌫-|---||-|----⌫|
Mèsorsetilsanzdoute etuo it	---|-|----|---|----|-|--⌫-|
Quil li couienttout	-|-|-|------|---|
metre ensamble	----|-------|
Por celis eruir qui lisamble	--|---|-⌫----|--|-|-----|
d etoutesb iautez.	-⌫|-----|-⌫------|
Li se ns ladeboneretez	-|--⌫-|-|----------|
Lag ra ntdouçorde	-|-⌫--⌫-|------|-|
son cleruis	--|---|--|
Lies tce l ie st bien auis	-|--⌫|-|-⌫|-⌫-|---|---|
De uant ses	--⌫---|--|
iexetioretnuit .	--|-|--|-|----⌫|
ioien eli anuit	---|-⌫|-|----|
Forss e ul lip enss ersacesti.	---|-⌫-⌫-|-|-⌫----⌫--||-----|
lia bo nplet	-||--⌫|---|
Amorsquile connissoitb ien	----|-||-|---------|-⌫--|
Nonques nulesi	|-----|---|-|
plesantrien	------|---|
Quif amefustnauoi tueüe	--|-⌫--|---||----⌫|----|
Pageu01P009	----------|
Ced ist etsen traitsa	-|-⌫--|-||-|----|-|
Agarantquildi st uerite ́	|-----|-|-|--⌫-|------⌫|
Ahi fetilta nte auerté	--|--|-|--⌫--|------|
Aifetde moiet	-|--|-|--|-|
tantdangier	---|------|
Or ueutD iexpa rcest i	-|---|-⌫--|--⌫|----⌫|
C el esquimo n t	-⌫--⌫-|--||-⌫-⌫|
seulesame ́.	-----|---⌫-|
Certesmarai	-----|--|-|
Ceus q uid	---|-⌫-||
amo rs erent	---⌫-|----|
aAmorsentelpointmis	|----|-|--|----|--|
Qu eleueutqueso npooir	-|--|---|--|--⌫|----|
Onqu esuila insqui	----⌫-|----⌫--|--|
barbie rssa ch e	------⌫-|--⌫--⌫|
Lesd e nznefu sia ngoisseus.	--|-⌫-⌫-|-|-|-|-⌫---------|
Cepensseetditquant	-|-----|-|--|----|
Neias o n uuel	-|-|-⌫-⌫|---|
nefe ïstel	-|--⌫---|-|
No nques mè sen sitré s cruel.	|-⌫----|---⌫|-|-|----⌫|-----|
Pointne fucommeA morsl	----|-|-|----|-⌫---||
ilseiesuiamis	-|-|-|--|---|
Quese ra c e	--|--⌫-|-⌫|
senest m amie	-||--||---|
Cenesaiiene ne uoi mie	-|-|--|-|-|-|--|--|
Com mentiepuisse	---⌫---|-|-----|
uiureunior.	----|-|---|
De duis d errern e	--⌫---||----|-⌫|
Pageu01P010	----------|
Nemepuetmon cuersolac ie r.	-|-|---|--|---|-----⌫--⌫-|
detenirchi er	-|----|---⌫-|
Ceus quila uon t	---|--|-|---⌫|
ou elemaint	-|--|----|
Quarporcefereonteümaint	---|--|-|---|--|--|----|
Deloramorioie et sol as .	-|--|---|---|-|---⌫--⌫|
eü stceste fet unlas	---⌫-|----|--|-|--|
Deses.II. bra z entor mo n	-|--|---|---⌫|----|--⌫|
Tout enuitsonge	----⌫|---|----|
Etquelemestr aintet embrace.	-|-|--||----⌫---|-|-------|
Liesueill ie rsme d ese m brace	-|-------⌫--⌫-|-|-⌫---⌫-⌫----|
Ence quiplusmedelitast	-|-|--|---|-|-------|
Lor s quierparmonlit etatas t	---⌫|----|--|--|--|-|----⌫|
S onbiaucorsquim artet esprent	-⌫-|---|---|--||--|-|------|
Mèslasqui	---|--|--|
netrueuenepren t	-|-----|-|----⌫|
Cest a uenu	|--|-⌫---|
m oiet maint	-⌫-|-|----|
Maintef oiz.Ornepuet estre	-----|-⌫---|-|-|---|----|
Alerouen uoiermest uet	---|-|--⌫----||---⌫--|
P roierpu i sq uautreestre n e puet	-⌫----|--⌫-⌫|-⌫|----|----|-⌫|---|
Qu el e ait de	-|--⌫|--|-|
Dieu ai nzqueie	---|--⌫-|--|-|
aitpitié demadestre c e	--|-----|-|-|------⌫-⌫|
grantgentillece	----|---------|
Quele megart etuieet	-|--|-|---|-|--|-|
Elleiauroitunmains	---||-----|-|----|
d e ssuens	-⌫-⌫|----|
Pageu01P01 1	----------⌫|
S elesouff roit	|--|-----⌫---|
queie périsse	--|-|-------|
bi end roizquedesonc uer isse	--⌫-|-⌫---|--|-|--|-⌫--|---|
Douçorset pitie z deses iex.	-------|-|-----⌫|-|--|---|
Mèsi ecui t quil me	---|-⌫|---⌫|-|-|-|
uenist miex	-----|---|
ques eg i enuoi .	--|-⌫|||-----⌫|
N i atel commesoi	|||--|----|--|
Nenusn iro it	-|--||---⌫-|
siuolentie rs.	-|--------⌫--|
Pieçac ondistq ue li mest iers	----|||-|---|-⌫-|-|----⌫---|
Aprentl om meetla grant s oufret e.	-----||--⌫-|-|-|----|-⌫------⌫-|
Puisqueg iaire son a trete	---|--|||-|--⌫--|-⌫----|
Ilniasedelalernon	-||||-|-||---|--|
Direquele aensaprison	---|-|--||-|-|-----|
Moncuerqu i degrés iest	--|---|--⌫|-|---|||--|
Ia deua nt	-|----⌫-|
quilaitnon	-|-|--|--|
Nenquie rtes chaperpor tristrece.	|-|----⌫-|--⌫-----|--|---------|
Gentelisespitiezla rguece	---------|-----|--⌫-----|
Led euroitaceesmouoi r.	-|-⌫-----||-|-------⌫-|
a tornezpor mouo ir	-⌫-----|--|----⌫-|
S oitiersdeco mpaig nons sanzplu s.	-⌫-|----|-|--⌫-----⌫---|---|---⌫-|
Ne s aiqueuou s deïs seplus	-|-⌫-|--|---⌫|-----⌫-|---|
Ilm onte etualletiusq uà.uI.	-|-⌫---|-|-----|----⌫|-|---|
I lcheua ucheliez	-⌫|-----⌫---|---|
et penssis	-|------|
Enson pens ereten sauoie	-|--|----⌫-|-|-|-|---|
Pageu01P012	----------|
Sescompaignons	--|----------|
osteetdesuoie	---|-|------|
Delauoiede sonpensser	-|-|---|-|--|------|
senp ui ssen tapensser	|-|-⌫--⌫----⌫|-------|
Enlareso nd e son	-|-|----⌫|-⌫|--|
Ildistquilcheuauch ea	-|---|-|-|--------⌫||
grant rage	----|---|
Celant sonpenssersouzsaioie	-----|--|------|---|-|---|
Tantq u il	---|-⌫|-|
uindrenta l amonioie	-------||-⌫|------|
Du chastel o u cel emanoit.	-|------|-⌫|---⌫|------|
Fetlisir e s	--|-|---⌫-⌫|
quisimenoit	---||-----|
uee zcom cil chastiaus sietbien	---⌫|--|--|--------|---|---|
Ilneldi soitpas tant p or rien	-|--|--⌫---|--|---|-⌫-|---|
Quimon tast aus fossezn	--|---⌫---|--|-----||
Mèspou r sauoirse seseürs	---|---⌫|-----|-|--|----|
Lauroi tencorsiamonté	|-----⌫|----|-|------|
Quilpa rl aissentde labiau té	-|-|--⌫--⌫------|-|-|----⌫--|
Ladamequilaloitueo ir.	-|---|-|-|----|---⌫--|
Fontiluous	---|-|---|
endeuez auoir	-|----|----|
Granthonte quar malauezfet	----|----|---|--|---|--|
Pa geu01P 0 13	--⌫------⌫-⌫-|
Quiainçois nous auezr etret	--|-------|---|---|-⌫----|
L echastelquel a bele da me	-⌫|------|--|-⌫|---|--⌫-|
Do nt chasc unsd itbienqu elroiame	--⌫-|-----⌫--|-⌫-|---|-|-|-----|
N asicor toi se	||-|---⌫---⌫-|
nes ibele.	-|-⌫|----|
Ortoutquo ifont ilqu ar	-|---|---⌫|---|-|--⌫-|
Sauoitcom uou saue zmespris	-----|--|---⌫|---⌫|------|
Iluousu end roitmiexe stre pris	-|---|-⌫---⌫---|---|-⌫---|---|
et m enezen Chaaire	-|-⌫---|-|------|
e n sozriantH é cair e	-⌫|-------|-⌫-|----⌫|
Seig nor porDieuorbelement	----⌫--|--|---|-|-------|
po i m ain s	--⌫|-⌫---⌫|
Quarieniaimort	---|-|||-|---|
estcitez dont iai e nuie	--|----|---||-|-⌫---|
Nec h astia ussedecesti non.	-|-⌫-⌫-----⌫-|-|-|----|---|
Ie uo udroieestreenla	-|--⌫-----|----|-|-|
Salahadin.u.anzo u	--------|--|--|-⌫|
Parsi q uei lfus tmiens assis	--|-|-⌫-|-⌫|---⌫|----|----|
estse nfu sse	--||-⌫|--⌫--|
—Et qu a nquiladedenz	|-|--⌫-⌫--|-||-----|
Fon tc ilsi	---⌫|-⌫-|-|
enseriez tropsire.	-|-----|---|----|
Il nentende ntpasac eldi re	-||-------⌫-|--||-⌫-|--⌫-|
Pa geu01P0 14	--⌫-------⌫-|
Le sofismequi llorfesoit	-|------|-|-⌫|--|-----|
Libonscheualiersnel	-|---|---------|--|
Se poroïrnon	-|--|---|--|
qui ld iroient.	-|-⌫|-⌫-------|
I llorde mand e s	-⌫|--|--⌫----⌫||
iliroi ent	||----⌫--|
ueoi r.Quefe rie me sn ou s do nques	----⌫-|--|--⌫---⌫--⌫|-⌫--⌫|--⌫----|
Fontil .Cheua liersnedo itonq ues	---|--⌫|-----⌫----|-|--⌫-|---⌫--|
Tr espa sserne c heminne uoie	--⌫----⌫---|-|-⌫----|-|---|
dame ait quil n eluoie.	---|--|-|-|-⌫-|----|
entie ngbiena	-|---⌫-|---||
Etsile loet u ueil quenous	-|-|-|-|-|-⌫---|--|---|
I alonsquant r esonslaporte.	|----|----|-⌫----||------|
Atant guenchis sentuers	----|--------⌫---|---|
Chascunsle regnedeld estrier.	-------|-|----|--|-⌫-------|
CriantAusdamesc heualie r	-----|--|----|-⌫-------⌫|
(A tel uoi age teltençon ).	-|--|---⌫--|--|-------⌫-|
Sorfr ains en	--|--⌫--||-|
u ontaesperon	-⌫--||------|
T ant quiluindrental afe rt é.	-⌫--|-|-|-------||-⌫|--⌫--⌫--|
I l o ntlepremier baileou t ré	-⌫|-⌫-|-|------|----|--⌫-⌫--|
Closdefossez e t depalis.	---|-|-----|-⌫|-|-----|
Page u01P015	----⌫------|
Li sireauoit deuant	-|---|----|-----|
Tornéson ma ntel en ch antel	-----|--|--⌫---|-|--⌫----|
Etsorcotherminétro pbel	-|-----|-------|---⌫|--|
De soieengraine etdescuiriex.	-|---|-|-----|-||---------|
Autretelauoitchascuns de u s	-------|----|-------||-⌫-⌫|
Etchemiseridee	-|------|----|
etbla nche	-|---⌫---|
d eflors e t de	-⌫|----|-⌫|-|
Etesp er onsa oruermeus.	-|---⌫--⌫--||-|-------|
Ie nes aiqueilfuss entmiex	-|-|-⌫-|--|-|----⌫--|---|
Pl esanmentuestuporlest é.	--⌫-------|----|--||---⌫--|
Ilne so ntn ul[l ]iuaresté	-|-|--⌫-|-⌫-|--⌫--|------|
Dusqu auperrondeuant lasale.	----|-|-----|-----|-|----|
C hascu ns uallès encon tre auale	-⌫-----⌫-|------|-----⌫--|----|
Aus estres par	--|-----|--|
fine reso n.	---|----⌫-|
Liseneschaus	-|---------|
dela m eson	-|-|-⌫---|
Lesuitdescend re en m ila co rt	--|--|-------⌫-|-|-⌫|-|--⌫-|
ou il ertse ncort	-|-|--||-⌫|---|
sada me lanouele	-|--⌫-|-|-----|
leuientue oi r que	-|----|--⌫--⌫|--|
Pageu01P016	----------|
Connoissoitbi enpar oïrdire	----------|--⌫-|--|---|---|
Nend euintpas uermeilledir e	|-|-⌫----|--|--------||--⌫|
Ai nz.li uint am out gra nt meruei lle.	--⌫--|-|---||-⌫--|---⌫-|------⌫---|
Desus unecouteuermeille	----|--|----|--------|
Auoi tlu ésdroitestétrecie.	----⌫|--⌫--|----|----|------|
Eles est enest ant	--||--|-|---⌫--|
detrès grant b i auté.	-|----|----|-⌫-⌫-----|
Sespu celesliont geté	--|--⌫----|-|--|----|
Aucolun ma nt el	-|--|-|--⌫--⌫-|
Auoeclagrantbiautéq uamis	----|-|----|------|-⌫||--|
sonencontre	--|-------|
eleueut alerencontre	--|---|---|-------|
Cil sehast ent	--|-|----⌫--|
Quainçois qu e lepeüstissi r	-|-------|-|-⌫-|-----|----⌫|
Forsdela chambreisont entré.	---|-|-|------||---|------|
Ausamblant que loramoustré	-|-------|--|--||-------|
belde l oruenue	--|-|-⌫-|----|
D e tantpoicommeele ert uenue	-⌫|---|--|----|--|--|----|
Encont reaussefont ilmoutlié.	------⌫-|--|-|---|-|---|----|
Uncha insseblan cet	-|---⌫----|----⌫|-|
l a cortoise	-⌫|-------|
Pageu 01P017	-----⌫-----|
Quitraïnoit près dunetoise	--|--------|----||--|----|
Apr èslis or le sions	---⌫--|-|-⌫-|--⌫|---|
Sirebien soiezuous uenuz	---|---|----|---|----|
Etuocompaignonamb edui	-|-|---------|---⌫---|
Fet celeq ui	--|---|-⌫-|
boniorait hui	--|--|--|--|
biendignedel auoir.	---|----|-||-----|
Sicompaig nonli distr ent	-|-------⌫--|-|-----⌫--|
