enhauteuoizseste scrié	-|----|---||--|-⌫-----|
a r iere e nc hac ales	-⌫-⌫---|-⌫--⌫---⌫|--|
estan dart	-----⌫---|
li baille un tuena rt	-|-----|-|-----⌫-|
fier fut l	---|--||
eisuus erna utquitintpontif	--|--|----⌫-|--|---|-----|
eles aloez sain tualerin	|--|----|----⌫|------|
e uait lereixm ferir	|---|-|--|-|----|
l ehau b erc	-⌫|---⌫-⌫--|
desmaeleerumpi	-------||----|
p armile flanclespie limist	-⌫---|-|----||----|-|---|
l abone e nseinequil	-⌫|---|-⌫-----|-|-|
de l autrepart	-||----|---|
e n fisteissir	-⌫|---|-----|
le sa ncuerme ilenfistsaillir	-|--⌫-|-----⌫-|-|---|------|
ern ou testezmei ci	---⌫--⌫|----|--|-|
meieert laterree lepais	---|--|-|----||-|---|
quenen suleiehomeseruir	--||-|-----|---|-----|
s u l de uqui	-⌫-⌫|--⌫|--|
elemperrere	||--------|
ces t chalengeuosi ai mis	---⌫|-------|--||-|--|
adistxmbi enl aise nti	|---|-|--⌫-||-|--⌫--|
uosmeraurés p resaueisin	--|-|------|-⌫--||-----|
iltraistdorenh eudi	-|-----||-|---⌫---|
silfiertamuntalhelmeen clin	-||----|----|-|----|--⌫---|
brahel le purfendi	-----|-|-------|
qued e celcop mortl	--|-⌫|--|--|---||
adist x m li arabi	|---|-⌫|-|----|
de ltutfini	--⌫|--|---|
nauezg arant pu riceli	|---|-⌫----|--⌫|----|
qu ifutparforce e ncruiz	--⌫|--|--|----|-⌫|----|
unt fousiueus	--|---|----|
quidez uus d unc k ils urrexi st	-----|--|-⌫--||-|-⌫------⌫-|
ne quiluuspuisse	-|-|-|--|-----|
m alguarrapa rapollin	-⌫-|-----|--⌫|------|
qui sul soncorsne po t gua rir	--|--|--|---|-|--⌫|---⌫--|
keli n estu st	-|-||----⌫-|
dem ort mu ri r	-|-⌫--|--⌫--⌫|
duncle n esga rda hugelin	---||-⌫|----⌫--|------|
celui qu ile message fist	----|--⌫|-|------|---|
quantdamned e u ou tsilaidi r	----|------⌫-⌫|--⌫|-|-----⌫|
for ment en	---⌫---|-|
futalco rmar i	--|-|--⌫|---⌫|
l echeua lbro chauil sist	-⌫|-----⌫|---⌫--||-|---|
p oinante nuintalrei lowis	-⌫-----|-⌫|---|-|--|----|
age nt ilreide riche	|--⌫--⌫-|--|-|----|
au eezueude antecrist	--⌫--|--|-|--------|
quituznos homesnu socist	--|--|--|----|--⌫|----|
e damn edeu tan t f ortla i dist	|----⌫---|---⌫|-⌫--|--⌫-⌫---|
s ui mutelq uormar ri	-⌫-|--|-|-⌫--|---⌫-|
deus quine me nti	---|--|-|--⌫--|
ieone llerroiepur murir	--|-||------|--|----|
aug eiaferi r	---⌫|-|----⌫|
que ke m en deie auenir	---⌫-||-|---|-----|
elemper rere respondi	||-----⌫---|-------|
auoibeaufrer ehugel in	---|---|----⌫|-----⌫-|
u e us me tuduncissi g uer pi r	-⌫-⌫-|-|-|---|---|-⌫---⌫--⌫|
setuesteiesoreoccis	-|-|------|--|----|
duncnaiieomaissu zcielami	---||-|--|---|--⌫|---|--|
d isthuelinnepotpas	-⌫--|-----|-|--|--|
pruz mun pere	---|--|---|
e munancest re	|--|------⌫-|
e ieofui mutdeboneg este	|--|--|--|-|---|-⌫---|
epar me imesde i pruz	|--|--⌫---|--⌫|---|
s imaidous l agrant	-⌫||-|---|-⌫|----|
ieo nellerraipur	--|-||-----|--|
ho meterre stre	--⌫-|-----⌫---|
quenelaugeia	--|-||---|-|
lereileuots eisir as resnes	-|--|-|--|-⌫----|-|-----|
quants e pent sur destre	----|-⌫|---|--|-----|
albonc heuallaschales resnes	-|--|-⌫----|-----|--|-----|
e odlaspee	|-||----|
depar tlapre sse	-----⌫|-|---⌫--|
il neuaitgens	-|-|---|---|
cumme terrestre	----|--------|
profua itbruiant cummet empe ste	---|--⌫-|------|----|-⌫----⌫--|
gesques al	------|-|
reixmnareste	--|-||-----|
sil fertsurla targe	-||---|--|-|----|
qu illalifreinteeschant ele	-|-|-|-|-----||-------⌫--|
sah anstebriseparasteles	-|-⌫----|----|--|------|
e h uonadl espeetreite	|-⌫--|-||----|-----|
sil a dferuamunt elhelme	-||-⌫|---|----|-|----|
tutl encl in otencuntreterre	--||----⌫--⌫-|-------|----|
lale ustmort	-||-⌫--|---|
icis tac ertes	----⌫||-⌫----|
qua ntiltolirentgentauer se	---⌫-|-|-------|---|----⌫-|
huelin distunenouele	-----|---|--|-----|
qui axmne fut	--||-|-|--|
cest huelinqui	|--|-----|--|
uosmei se le	--|---⌫--⌫-|
quilautrirfu tauozherberges	--||-----|--⌫||--|--------|
lemessage lowisfai re	-|------|----|---⌫-|
siuo ss eru icom epulcele	-|--⌫|-⌫---⌫|---⌫|------|
lepounmisenlasquie le	-|---|--|-||------⌫-|
unk esnenmustes lamaissele	---⌫-||-|-----|-|-------|
adis txmsi uait	|---⌫|-|-|---|
le guerredonuus endeifaire	-|--------|--|-|--|----|
a inceskaug iez gue rresde terre	-⌫-----|---⌫--|---⌫---|-|----|
men enscientl aurezmut	--|-------||----|--|
delfor t espie grant coplise rre	--|---⌫|----|----|--|-|--⌫--|
mutlad nafréalf lancsenest re	--||-|-----|-|-⌫---|------⌫-|
quetutees tmuill ee lasuzce le	--|---|--⌫|-----⌫-|-|-----⌫-|
iu sletrebucha	--⌫|-|-------|
puissescria lireis xm	---||-----|-|---|-|
tropestes uantez	---|----|-----|
conois assezhugon	-----|----|----|
qui lautrirfusa s pa uilluns	--||-----|--|-⌫|--⌫------|
si meserui sd emunpoun	-|-|-----⌫|-⌫|--|---|
que nenm uiunke s	--||-|-⌫-|----⌫|
lege rnu n	-|--⌫---⌫|
si pur f oli e dire nun	-|--|-⌫---⌫|---|--|
e lecheualamun	|-|-----||--|
par tr aisun	--|--⌫----|
ore naueraslegue rred u n	-|-⌫|-----|-|---⌫----⌫-⌫|
mortten girrassur les ablun	---||-|-----|--|-|-⌫----|
ne d ir ra s mesneone nun	-|-⌫--⌫--⌫|--|-||-|--|
mire de cestm und	---|-|---|-⌫--|
nenau rasmesguarrantisun	--|--⌫--|--|-----------|
ne pur tun	-|--|--|
deuespaciun	--|-------|
uosi mentezceo	--||-----|--|
disth ug on	---|-⌫--⌫-|
ieonaitrench é k e l al qeton	--||-|------⌫-|-⌫||--⌫----|
petit de l pelicon	----|--⌫|------|
iamera uerezacumpa inon	-|-|--⌫----||-----⌫---|
uer rez par isca m pon	---⌫--|--|-|--⌫-⌫--|
cr iant l enseinne alr ei	--⌫---||-------|-|-⌫-|
lal owisle f izch arlun	-|-⌫---|-|-⌫-|--⌫----|
liese rruntci lkaweron	--|--⌫----|--⌫||-----|
dolentse rr untpaienfelun	-----|--⌫--⌫--|----|----|
i lresa utsusencuntre m unt	-⌫|----⌫-|--|-------|-⌫--|
poi ns p ri stlegunf anun	---⌫-|-⌫--⌫-|-|----⌫---|
ianeustmortlereix m	-||---|---|-|--|-⌫|
qua ntuns ireis sa ut entredous	---⌫-|--|----|--⌫-|----|---|
h uelefier t tuta	-⌫-|-|----⌫|--||
quemortl abataspiezx m	--|---||---|-|---|-⌫|
p u isrestmunté	-⌫-⌫-|---|-----|
surlegascun	--|-|-----|
parlabataille uaithuon	--|-|-------|---|---|
tutdeplei é	--|------⌫-|
su n gunfanun	--⌫|-------|
c ria ntlenseine alreibaron	-⌫---⌫-||------|-|--|----|
lalowisle fiz	-|----|-|--|
liezensuntcilqui de	---|-|---|--|--|-|
suens sunt	----|---|
dole nzen sun tpaienfelons	----⌫-|-|---⌫|----|-----|
s un turparlechampon	-⌫-|--|--|-|------|
si lferisur su n	-||---|--|--⌫|
prelabata genoill on s	--||---||-------⌫--⌫|
eltort q u	-|---|-⌫|
il pristlef erxm	-|----|-|-⌫-|-|
lesp ie en z a lcorslirepont	|---⌫-|--⌫|-⌫|---|-|-----|
killerabat sur	|-|-|----|--|
orfuhugonal pre	-|-|----|-|--|
nau rédousfeiz	---⌫--|---|---|
dunc liescha pa	---|-|-----⌫-|
sun des trier	--|---⌫----|
q uan t isembartl e	-⌫---⌫|-------|-⌫|
uitlecheua l cure	--|-|-----⌫|---|
du nechoses	|-⌫-|----||
estaf ichié	--|--⌫-----|
sil p oeitas	-||-⌫---|-|
puins baillier	----|-------|
qu eeinzse lerreitdetrenchier	--⌫|---|-|------|----------|
quemespurhome	--|--|--|---|
cele p art u en ttut esless é	---|-⌫--|-⌫--⌫|--|------⌫-|
od l erest iudesunespie	-|-⌫|----⌫-|-|--|----|
uota colerle bon destrier	--|-⌫----|-|--|-------|
lecheualportahaut lec hef	-|-----|----|---|-|-⌫--|
n elpotmiebaillier	-⌫||--|--|-------|
huesestta ntau ancié	--||--|--⌫-|--⌫-----|
que iluaitauant cuntrepl einpi e	--|-|---|----|-----|--⌫--|--⌫|
delezli pas selede strier	----|-|---⌫-|-|--⌫-----|
seissist leas	-------|-|-|
res nes do r	---⌫--||-⌫|
entr e lesd ous	----⌫|--|-⌫--|
arcunsseset	-----|-|--|
enproftrai entarba lestier s	-|---|----⌫--|----⌫-------⌫|
elu rserganze lurarchiers	|--⌫|------||--|-------|
ehu epo intebroc heefiert	|--⌫|--⌫--||----⌫-||----|
quillurestauques	-|-|--|--|-----|
esloi nn é	-----⌫--⌫-|
se spl aiespr ennent asainnier	--⌫|--⌫---|--⌫-----||-------|
licorli me ntehuechiet	-|--|-|--⌫-||--|----|
dam agese pe c hie	---⌫---||--⌫-⌫--|
bon cheualier	--|--------|
eenb ataille fesantbien	|-|-⌫------|-----|---|
del autre partfutdangonti er	-||----|---|--|--|-----⌫-|
fut iasun esqui er	--|-|--|-----⌫-|
f izd esasorsi	-⌫-|-⌫|-|--|-|
e rt sesni e z	-⌫-|--|--⌫-⌫|
geste aseintrichier	----||----|------|
uncore notoitiorz	-----||-|--|---|
q uilotarméa	-⌫|-|-|----||
ch eualier	--⌫------|
quantsunseinuruittr ebuchier	----|--|-----|--|--⌫-------|
mutfudol ent eesm aié	--|-|---⌫--||---⌫---|
c elepart uinttu t eslessé	-⌫--|---|---|--⌫|-------|
pa rlesre snes p ristledestrier	--⌫|--|--⌫---|-⌫---|-|-------|
entreles dous arcon ssasi et	----|--|---|-----⌫||---⌫-|
en sunpoi ntintlebr ant	-|--|---⌫|---|-|--⌫--|
tut fut sanglan te enoché	--|--|-------⌫||------|
des arrazinsenuermeillié	-|-⌫-------|------------|
alreixmbrochanten uient	-|--|-|-------|-|----|
silfiertsur	-||----|--|
sunhelmeuergié	--|----|------|
quelesquires enabatie	--|--|-----|-|-----|
l ef ist esgeno illier	-⌫|-⌫--|------⌫-----|
additenre prouer	-|--|-|--⌫-----|
sir exmreid ret urer	---⌫|-|--|-⌫---⌫---|
conoisterezl	----------||
qui auostretreff udl	--||-----|---|-⌫-||
oue huelemessagi er	--|--|-|-------⌫-|
aportailene fd or	------|-|--⌫||-|
celemi sio asei nt	---|--⌫|-||---⌫-|
queuus arsistessunmustie r	--|--|-------|--|------⌫|
mes auenir uusen deit bien	---⌫-----|--|-|---|---|
li reixml i	-|--|-|-⌫|
res pundi e	---⌫-----⌫|
cumorguillos e	--|--------||
f ui desurmeiga rzpant ener	-⌫-|-|--|--|--⌫-|----⌫---|
ieosuide lina	--|--|-|--||
cheua lier	-----⌫---|
deriche s e	-|-----⌫||
de pr eisiez	-|--⌫-----|
nitocheraioi esquier	||-------|-|------|
quantlowisle reipr ei sié	----|----|-|--|--⌫--⌫---|
muri rsesc heua li ers	----⌫|--|-⌫----⌫--⌫--|
esescu mpainne s detrenchi er	|--|--⌫-------⌫|---------⌫-|
mut fut dole nz eesm ai é	--|--|----⌫-||---⌫--⌫-|
pere delciel	---|--|---|
dist lo wi slireisp reisi é	---|--⌫--⌫|-|---|-⌫-----⌫-|
me tencengi nné	-|---|----⌫---|
keni iostaioipremier	-|||-----|-|------|
to t corsa	--⌫|---||
corsal auersier	---|||-------|
iaest il reiere i	-|--|-|--||--⌫|
lanostr eaueni stbien	-|-----⌫|-----⌫-|---|
leq uelde nu s iduneuenquist	-|-⌫--|-|--⌫|----|-------|
nen fusse ntmorttantcheualie r	|-|-----⌫-|---|---|--------⌫|
n e tanz fra ncs home s detren chiez	-⌫|---|---⌫--|----⌫|------⌫----|
ber sai nt deniseor	--|---⌫-|-----|-|
ieotencde uusq uitemunfieu	--|---|-|--|-⌫---|--|---|
denul autre n enco noisren	-|--|----||-|--⌫---|--|
forssuldeu l e u eirdelciel	---|--|--|-⌫|-⌫--|--|---|
bersaint r i chieror men adi ez	--|----|-⌫-⌫----|-||-|---⌫-|
ia uus arst	-|--|---|
i luo stre	-⌫|--⌫---|
enl onur deueshaucier	-||---|--|--------|
ie o uus crestraitrentesetpiez	--⌫|--|-------|-----|--|---|
pernezle s resnesdel	-----|--⌫|-----|--|
gesqu esa luimec u ndui ez	-----⌫-||--|-|-⌫-⌫----⌫-|
a icestmot sestes les sé	|----|--||--|--⌫---⌫--|
xmliadtreisdarz	-|-|-|----|---|
deule guarri parsapitie	--|-|-----|--|-|----|
kil nel ad	|-|-||-|
mi e e nch ar to chié	--⌫|-⌫|--⌫-|--⌫----|
reis lo wis fudmutirrié	---|--⌫--|--|--|-----|
aioste m ienelrequiert	|----|-⌫-|-||-------|
enc u ntr e munt dresc h a	---⌫-⌫---⌫|---|-----⌫-⌫|
silad feru	-||-|---|
parmilechief	----|-|----|
he aumesadtrenchié	--⌫----|-|--------|
edel h aubercl e chapelie r	|--|-⌫-----|-⌫|--------⌫|
g esqual braelle purfendie	-⌫---|-|----|-|--------|
queenpreen che entlesmertez	--|-|--|-|---⌫--|--|-----|
e n t erre c olali espie	-⌫|-⌫---|-⌫--|-|----|
tant bon ementl epu rsiwie	---|---⌫----|-⌫|--⌫-----|
a benpetit que ilne chi et	|--|----|--|-|-|---⌫-|
qua ntsurlecoldelbondestrier	---⌫-|--|-|--|--|--|-------|
sestrete nulireipreis ié	|--|----⌫-|-|--|-----⌫--|
mutli costa	--|-|----|
leha u be rc du bler	-|--⌫-⌫--⌫-|--⌫---|
e l euerthelme queotal	|-⌫|---|----|--|-|-|
alcolsun escud eq uartres	-|--|--|---|-⌫|-⌫------|
b ontr enchantespie	-⌫-|--⌫------|----|
ke deleot un di m i	-|-|-|-|-|--⌫-⌫|
mut licosta asus sachier	--|-|----||--|------|
e purfra nce issestuergoinié	|--|---⌫---⌫-||--|---------|
si saficha sur sesestriu s	-||-----|--|--|------⌫|
leferenpliesus	-|--|-|---|--|
treideieesloign a lequirr ie	---|---|-------⌫|-|-----⌫-|
de telair sest	-|--|--||--|
redrescié	---------|
k elesco ru ei llessu nt	-⌫|--|--⌫--⌫--⌫---|--⌫-|
ketre n tei orzpuis neuesquie	-|---⌫-⌫-|-⌫--|---|-|------|
ceofut damage se pe chiez	--|--|------⌫||--⌫----|
carmute rtboncheualier	--|--|-⌫-|--|--------|
ee nbatai lle	|-⌫|-----⌫--|
fesan tben	-----⌫|--|
acrestiensueircu nseillier	|--------|---|--⌫--------|
ceoditl age steeil	--|--|-⌫|--⌫--||-|
otenfranc enuldr ei teir	-|-|-----⌫|--|--⌫--⌫|--|
quantpaiens	----|-----|
uirentxmmort	-----|-|---|
f uiants enturnentuersle po rt	-⌫----||-|------|---|-|--⌫-|
lemargar i les crisenot	-|------⌫|--|---|-|-|
a le standart poinanttost	||-⌫-------|------|---|
lereixm adtrouémort	-|--|-|-|-----|---|
tr e isfeizsepasmasur	--⌫-⌫-|---|-|----|--|
allasdistil ueirdist lesort	----|---|-|---|---|-|---|
siieoue neie	-|--|--⌫---|
eni cestost	-|-⌫---|--|
i serreieu prisumort	|------||---||---|
o r saiieobienqu euei rdist tr op	-⌫|--|--|---|--⌫|---⌫|---|--⌫-|
labatailledurra treisdis	-|-------|----|----|--|
r e islowis	-⌫-⌫-|----|
alquart comencent	-|----|--------|
turze persanz earabiz	---||------||-----|
parmiui meue	----|--⌫--||
parpon tif	--|---⌫--|
uersles a loessaint	---|--|-⌫---|----|
l e margari en o tle scrisz	-⌫|------|-|-⌫|--⌫|----|
uerseus silur addit	---|--|-|--|-|--|
ufuez uuspai ensch aitifz	|---|--|---⌫--|--⌫-----|
recetences tpais	----|-|---⌫|---|
parentneuncl e	-----|-|----⌫|
uuus puissiez reu ertir	|--|-------|---⌫----|
torn ezariereles c h imins	----⌫-|-----|--|-⌫-⌫----|
se uengeromlea rabi	-|-------|-|-⌫---|
nostre em p errere de	-----|--⌫-⌫-----|-|
qui nos dona les granz pais	--|--|---|--|----|---|
l euer legr isele ermin	-⌫|--|-|--⌫-||-|----|
eles c hastiauseles	|--|-⌫-------||--|
maisnelentendent	---|-||--------|
fui ant sen	---⌫--||-|
turnent l eschemins	------|-⌫-|------|
isemb art ueit	-----⌫--|---|
nimetrafin	||----|--|
t eldol enot le margari	-⌫-|--|-|-|-|------|
quidee s rageruif	----|-⌫-⌫----|--|
a unepartdelc ampsemist	|--|---|--|-⌫--|-|---|
si fie rtun	-|---⌫-|-|
cheualierseguin	--------|-----|
cosingermein rei l owis	----|------|--|-⌫---|
lesculi ad	|---|-|-|
freite malmis	----||-----|
l ehaubercdesma e la	-⌫|------|-----⌫-⌫-|
parmi lecors lespie limist	----|-|---||----|-|---|
lalanceli tendi	-|----|-|----|
delb oncheua l	--|-⌫-|-----⌫|
mort l aba ti	---||---⌫-|
e do u s franc eisdesplusgentilz	|--⌫-⌫|-----⌫--|--|---|------|
no sial emargari	--⌫|||-⌫|------|
e puis se re stal	|---|-|--⌫-|-|
oruint xmmortenlapree	-|---|-|---|-|-|---|
enuers sangle ntg ule baee	-----|------⌫-|-⌫--|---|
ei s isembart par une estree	--⌫|-------|--|--|-----|
uersl iadsa resneu uree	---|-⌫|-|-|----|-⌫---|
lafistgrant dele grantpasmee	-|---|----|--||----|-----|
oimesorres zgrantre gretee	-|--|-----⌫|----|--⌫-----|
a hidist ilreiemperre re	-⌫-|---|-|--|-------⌫-|
t antle uusdis	-⌫--|-|--|--|
plusuresfiez	-------|---|
aciren ce stre a uozcuntrees	|-----⌫--⌫---||--|-------|
quef ranceis sunt gent	--|-⌫------|---|---|
uusdisen l agalee	--|--|-|-⌫|----|
decatro uerez tel	-|-|---⌫----|--|
mesue ire mentlauez	--|--⌫---⌫---||---|
fut de mere nee	--|-|---|--|
sure usnertterre cunquestee	--|-⌫-||--|----|---------|
ahixmrei emperere	--|-|--|-------|
cumauiez lafaceclere	--|----|-|---|----|
la cherebel eeculuree	-|----|---⌫||------|
teintee muee	-----||---|
a lo wisbon emperere	|--⌫--|--|-------|
cumasoi fra ncebi en aquitee	--|-|-|---⌫--|--⌫-|------|
