messiresnoblesl ilions	--|----|-----|-⌫|----|
on ques nefudetel e trace	--⌫---|-|-|-|---⌫|----|
qu a monseign or nedoiep laire	-||--|-----⌫-|-|---|-⌫----|
nechosequeiedoi efaire	-|----|--|-|---⌫|----|
iesuisuos tre	-|---|---⌫--|
honset uosmessires	---|-|--|--|----|
demoinedeuezdi re	-|--|-|----|--⌫-|
quiestre me	--|----|-|
d oie anuissance	-⌫--||--------|
mesbienestes detel puiss an ce	--|---|----|-|--|-----⌫--⌫-|
poezdelaterre	---|-|-|----|
nepui s p asso ufri r uostr eguarre	-|---⌫|-⌫-|--⌫----⌫|-----⌫|-----|
redoutmesanem is	-----|--|----⌫-|
moltmepoisequant	---|-|----|----|
d e riens q uea u osapartiegne	-⌫|----|-⌫-||-⌫-|---------|
mesnel aip as dontmoi	--|-||-|-⌫-|---|--|
ontfet entendre	--|--|-------|
etcontépormoi entreprandre	-|-----|--|--|-----------|
qui ne losse roient pr ouer	--|-||----⌫-----|--⌫---|
menco nge p uet ontr ouer	-----⌫--|-⌫--|-|--⌫---|
mesau oitditesa igebien	--|--⌫--|---|--⌫|-|---|
queienai ent respris	--|-||-|---⌫------|
iamesp rodo m	----|-⌫----⌫|
loiaus est	-----|--|
plusblas més	---|----⌫---|
fous estqui dit mesuerite	---|--|--|--|--|-----|
plus orsenso n t deserit é	----⌫--|-|--⌫-⌫|-------⌫-|
etdeterre g itéator t	-|-|----|-⌫---||---⌫|
li m urtriersesont	-|-⌫------|-|---|
lipl us fort	-|--⌫-|---|
que uo sdeustnu s tant d e co iure	--|--⌫|----|--⌫|---|-⌫-⌫--⌫---|
que n e l deu ssiez	--|-⌫||---⌫----|
aparcoiure	---------|
quimenso n geuos fetacr oire	--|-----⌫-⌫-|--|--|---⌫---|
ouq u i uo s ditparole uoire	-|-⌫-⌫|--⌫|--|-----|----|
yy an zaqu eme	-|--⌫||--⌫|-|
c onneust es	-⌫-------⌫-|
ne o nque spuishom e	-|-⌫----⌫|---|---⌫|
q ui poruos	-⌫-|--|--|
aittan tpa ineeue	--|---⌫|--⌫--|--|
enco renaila char rom pue	----⌫|-|-|-|---|---⌫--|
d ougranttrauailceest	-⌫-|----|------|-|--|
quoispor uos quantales	-|--|--|--|----|---|
en lagrauele amo npellier	-|-|------||--⌫-------|
porlamecin eapareillier	--|-|-----⌫|----------|
quie stoi t	--|-⌫----⌫|
boneamalsen er	---||--|---⌫-|
q uiuosferoitgriementpener	-⌫-|--|-----|-------|----|
siremes tieruosai eu	---|---⌫---|--|-|-|
ceditgri nbert molt	-|--|---⌫----|---|
uosai cedit q uil ai mesfait	--|-|-|--|-⌫|-|-|------|
porriens ne luedroit	--|----|-||------|
gr inbert fet nobl es bienas dit	--⌫-----|--|----⌫-|---|-|--|
iadecenenauras desdit	-|-|-|--|----|-----|
bien puetes tre qui l	---|---|--⌫--|-|-⌫|
moltmaleme nt lema meri	---|------⌫-|-|||---|
m anda irenart	-⌫----⌫|-----|
thiberti f u	------||-⌫|
de moiep a rt	-|---|-⌫-⌫-|
qui bien l idist quan cor	--|---|-⌫|---|-|--⌫--|
endesdaingn utenist	-|-------|||-----|
renartqu ifait mai ntes	-----|--⌫|---|---⌫---|
promes ses	------⌫--|
etmolt setdelaf auue asnesse	-|---|--|-|-|-⌫---|------|
respondique bi enleferoit	-------|--|--⌫-|-|-----|
auesquesluiacortuenr o it	-------|--||---|----⌫-⌫-|
r enar t fi stde	-⌫----⌫|--⌫-|-|
laler samblant	|---|-------|
th ibe rtt intson cheua l a mblant	--⌫---⌫-|-⌫--|--|-----⌫|-⌫-----|
quan tilf ur enten	----⌫|-|-⌫--⌫--|-|
renar tquis otd e	-----⌫|--|-⌫-|-⌫|
mainteg uille	-----|-⌫----|
so t los tel ou	--⌫||--⌫--|-|
zzp r estreestoit	-|-⌫-⌫----|-----|
p or l ui d ureme ntse	-⌫-|-⌫-|-⌫-----⌫-|-|
m aisonnot nu leentree	-⌫----||-|--⌫-|-----|
fo rszzper tuisouott rouee	--⌫-|-|---⌫---|-|-|-⌫----|
te nduslaz por	--⌫---|--|--|
luiprandre	--|------|
r enartfistath ibertentendre	-⌫----|---||--⌫----|-------|
queparillu ecsouloi tuenir	--|--|----⌫-|------⌫|----|
ayygel i nesa uenir	|-|---⌫-⌫--|-⌫----|
au oit sorisetraz	--⌫--|----|-|--|
nenauoittant iusquesa r ras	|-|----|---|------|-⌫-⌫--|
tybertcuida queuoirdeist	-----|----|--|---|----|
degr ant folies entremist	-|--⌫--|----||--------|
cau departirsent in t porfol	|-|-------||-|-⌫--⌫|--|--|
carl i laz	--|-⌫|--|
le pristpar lec ol	-|----|--|-|-⌫-|
il nesot tantbotern etrer e	-|-|--|---|----|-⌫|----⌫|
qued ilu ecs epois t	--||---⌫-|-⌫|----⌫|
ci lquise furententremis	--⌫|--|-|-----|-------|
dellas faire qu ilore ntmis	--|--|----|-|-|---⌫-|--|
quantiloentqu ilo ntprison	----|-|---|-|-|-⌫-|-----|
lautre zzbaston	|----|-|-----|
quino ttalant que	--||-⌫|-----|--|
etrenart semista la	-|-----|-|---||-|
thibertba tentet don n entcos	------|--⌫---|-|---⌫-⌫--|--|
l ila zrontoutenoit li co s	-⌫|--⌫|---|-|-----|-|--⌫|
de squethibertseuita	--⌫---|------|-|--||
lesgrenonsdrece les denzser r e	--|------|----|--|---|---⌫-⌫|
etliauintbel leauenture	-|-|----|---⌫-|-------|
nauintt an tbeleacre ature	|----|-⌫--⌫|---||---⌫----|
qu eliprestresiest ue nuz	--⌫|-|-------||--|--⌫--|
d eschauzenb raieset touznuz	-⌫------|-|-⌫----|-|---|--|
uintathibertselu ost	---||------|-||-⌫--|
mesthibe rtq u i	--|-----⌫-|-⌫-⌫|
s euos tg arir	-⌫|---⌫|-⌫---|
le pre str eparlacoillepran t	-|---⌫---⌫|--|-|-----|----⌫|
si quederiensn i entre pre nt	--⌫--|-|----|||-----⌫---⌫-|
en s ageull ece	-|-⌫|-----⌫|-|
estlauoire	--|-|----|
la plu s de lacoule	-|---⌫|-|-|----|
au prou oire	-|----⌫---|
m eng aain zquisist	-⌫---⌫|---⌫--|----|
de l os tel	-||--⌫--|
nes chap a me s thibertde tel	|--⌫----⌫|--⌫|------|-|--|
l aprestr esseiestcou rue	-⌫|------⌫---||--|---⌫--|
delapaourqu	-|-|----|-|
qu anta s onseigno r r egardé	--⌫--||-⌫-|------⌫|-⌫------|
ele qu e fere	--|--⌫|---|
messiresaperdusa	--|----||----|-|
par quoi en telc hi erte es toie	--|---|-|--|-⌫--⌫---|--⌫---|
il na uraiames	-||-⌫--|----|
quanta p erd ue l a mbleure	----||-⌫---⌫-||-⌫------|
or saibien quil me guerpir a	-|--|---|-|-|-|-------⌫|
quant ilaidierne sep orra	----|-|-----|-|-|-⌫---|
aioi e aitenu	|---⌫|-|---|
maiouuente	-|-------|
plusen suis ett risteet dolente	---|-|---|-|-⌫----|-|------|
il medonnoit	-|-|------|
le s bonsmengiers	--⌫|---|-------|
etlesbons d rasmolt	-|--|---|-⌫--|---|
uolent iers	------⌫---|
orsa i bienfaillirm i e stuet	-|--⌫|---|------|||-⌫----|
grantch oseaenfairel	----|--⌫--||-|----||
messires aperduhardemen t	--|----||----|--------⌫|
l ichazla seruimalement	-⌫|---|||----|-------|
tantcomen traus mainnent	---|--|--⌫-|--|-------|
thibertsenistp arl e bouel	------||-|--|-⌫-|-⌫|----|
enestpie capartiz	-|--|---⌫-|-----|
c e fulimes mal de partiz	-⌫|-|-|--|--|--⌫-----|
decestechosefaitsaplainte	-|----|----|---|-|------|
thibertdes autres ia mainte	------|--|-----|||-----|
rep laintqui l efistbatr e	---⌫----|-||-⌫|---|----⌫|
lefistenbatre	-|---|------|
que charpentierorent ouuert	--|----------|----|-----|
etl aissiétout etd escou uert	-|-⌫------|---|-|-⌫-----⌫---|
distli que mi ezauo itdedenz	---|-|--|--⌫-|---⌫-|-----|
cil lencuid atraire	--||-|----⌫|-----|
son groingi mist	--|-----||---|
etenb atit	-|---⌫---|
ta n tque lecoing	--⌫-⌫---|-|----|
enab a t it	-|--⌫-⌫-⌫-|
onques decoing nilessanul	-----|-|----|||----|--|
furemesl i coin s	-|----|-⌫|----⌫|
lasag rantdolo r	--||-⌫---|----⌫|
touteo tp erduelacolor	----|-⌫|-⌫----|-|----|
renart ne senfist	-----|-||-|---|
forsqu e rire	---|--⌫|---|
quantilleuitentelm artir e	----|-|-|--|-|--|-⌫-----⌫|
ainzdit abrunmengiezassez	---|--||---|------|----|
tantq uesoiezbienrespass ez	-----⌫-|----|---|-------⌫-|
li mieze st	-|---|-⌫-|
uostresiuuos	------|||--|
car i e menuois	--|-⌫||-|---|
agrantesl es	|----|---⌫-|
i ain onre na rt biaus a mis brun	|-|-⌫-|--⌫--⌫-|----|-⌫--|---|
cine stpasli gua ai ng co m mu n	-||-⌫-|--|-|---⌫--⌫-|--⌫-⌫--⌫|
uosuolez toutauoirsanz	--|----|---|----|---|
ianen ferai	-||-|----|
uersu os ba tai lle	---|-⌫-|--⌫---⌫--|
ain z leuos	---⌫|-|--|
clamero ie quit e	-------⌫-|----⌫|
aim estierdefair e	-|-⌫-----|-|----⌫|
quantot assez ramprones t ret es	----|-|----|--------|-⌫---⌫-|
etplu sorsloufesiotf e te s	-|---⌫---|-----||-|-⌫-⌫--⌫|
t o r nez sen estneuost plusdire	-⌫-⌫-⌫--||-|--|-|---|---|---|
et cilremest	-|--|-----|
legroingestentetsac heettire	-|-----|-----|-|---⌫-|-|---|
nel pue t auoir sin e	-||---⌫|----|||-⌫|
nestoitpa sdou	|-----|--⌫|--|
lifores tieruenoitel	-|-----⌫---|-----|-|
yye stoient enlar out e	-|-⌫------|-|-|-⌫---⌫|
quantuoient lou rs l un l	----|-----||--⌫-||-||
autrebo ute	----|--⌫--|
ieuoi zzours ditli premi ers	-|--|-|---|--|-|-----⌫--|
oriparradanz foresti ers	-||----|---|-------⌫--|
carbiensaiqu	--|---|--|-|
aidierne sepuet	-----|-|-|---|
or le prenons f aire lest uet	-|-|------|-⌫---||---⌫--|
quantb runsliours lesuituenir	----|-⌫---|-|---|--|--|----|
adontnesepuetpl u s tenir	----|-|-|---|--⌫-⌫|----|
ainz sac he alui partel	---|---⌫-||--|--|--|
que tout le	--|---|-|
cuirfist depar tir	---|---|-----⌫--|
d e toutson groingetdeses	-⌫|---|--|-----|-|-|--|
ne r emestpasentorse sioes	-|-⌫----|--|----|--⌫|---|
mesainsoisquils	--|--------|-||
e nfus tostez	-⌫|---⌫|----|
batuzlescostez	----|--|-----|
onquesour s nefu	-----|---⌫|-|-|
are culonss e nestiss u z	|--⌫-----||-⌫|--|---⌫-⌫|
arrieremaingita hasar t	------|---|---|-----⌫|
tenup ormusa rt	---|-⌫-|----⌫-|
fuiant s enua	-----||-|-|
agrantalai ne	|----|----⌫-|
c armoltiauoitsoufertpaine	-⌫-|---||----|------|----|
et danz renartquin ait c onfesse	-|---|-----|--||--|-⌫------|
derrerneneces se	|----|-|-|---⌫-|
tantqua lissued un e	-----|||----||--⌫|
renart grantra m p ronesli rue	-----|----|--⌫-⌫-⌫----|-|--|
b iaussirebrunetcarme dites	-⌫---|---|---|-|--|-|----|
se estesmoinesou	-|----|-----|-|
etse m essechanter	-|-|-⌫---|------|
quisi tresgrantcoro ne auez	--|-|---|----|----⌫-|---|
moltparau ez	---|--|--⌫-|
bien pertque	---|---|--|
fu s tezameschief	--⌫-⌫--||-------|
etque lafor estnes tpasuostre	-|--|-|---⌫--||--⌫|--|-----|
li pis nen estpa s	-|--||-|--|--⌫|
lormes uostre	--|--|-----|
seruirenartmonhome	----|-----|--|---|
parles sainzquelon priea rome	--|--|----|--|--|---||---|
droitlorenf erai	----|--|-|-⌫---|
seprouer le pui s	-|-----|-|---⌫|
ielpen drai	-||---⌫---|
afaitdanbru n	|---|--|---⌫|
et lama sengese	-|-|--⌫----|-|
quequantelele uost	--|----|--|-|---|
e taluise uost ac ointier	-⌫||--|-|---|--⌫------|
lesdenzgitapor lu i	--|---|---|--|--⌫|
ainsilecui daenc om brer	----|-|---⌫-|---⌫--⌫---|
orentleselles	----|--|----|
ar riersse feritensoncru es	--⌫----|-|----|-|--|---⌫-|
mol tparfesoit grantlecherie	---⌫|--|-----|----|-------|
quantil pens oittellegerie	----|-|----⌫--|--|------|
quelee stoitenloisacome re	-|--|-⌫----|-|--|-|----⌫-|
etle tenoi t	-|-|-----⌫|
a son co m mpere	|--|--⌫-⌫----|
p ordiquilnest pasloiaus	-⌫-|-|-|-||--|--|-----|
la se contint	-|-|------|
comde s loiaus	--|--⌫-⌫-----|
re nartnefetderie nsa croire	--⌫---|-|--|-|---⌫-||-----|
parna tu re fetamescroire	--|--⌫--⌫-|--||--------|
damepinte s ere stclamee	---|----|-⌫|--⌫-|-----|
que d emaintes genzest amee	--|-⌫|------|---|--|---|
des a ser o ur da mecoupee	-|-⌫|---⌫-⌫-|--⌫-|-----|
li aestoufee	-||-------|
mortesdecess erous	-----|-|--|-⌫----|
donte leaaucuer	---|-⌫-||-|---|
gransdolou rs	----|-----⌫-|
grantmala f ai tamaint esgent	----|--||-⌫--⌫||-----⌫-|---|
i ames pororn eporargent	-⌫---|--|-|-⌫|--|-----|
nudo i t on lessieraiu gier	||--⌫-⌫|-|------||--⌫---|
po rsafelonieuen gier	--⌫|-|------|---⌫---|
licorbi aus	-|-----⌫--|
esta cortuenuz	--||---|----|
et ditquedro i zli soit	-|--|--|---⌫-⌫|-|---|
d e r en art	-⌫|-⌫--⌫--|
quipristle f roumage	--|----|-|-⌫------|
etpuisli fistsigrantoutrag e	-|---|-|---|-|----|------⌫|
denz lifistsaisir	---|||---|-----|
mesnen fist mie	--||-|---|--|
sonplaisir	--|------|
cilsepensa quil re uost prandre	--|-|----|-|-|--⌫---|------|
sisenfo it	-||----⌫-|
sanz pl u sa te ndre	---|--⌫-⌫|-⌫--⌫---|
renartqui sot demainte sfrum es	-----|--|--|-|------⌫|----⌫-|
li aragayy	-|----|-|
bienlecuida auoi r sorpris	---|-|----|----⌫|------|
parsonengin et	--|--|----|-|
entrespris	---------|
il lidisoit	-|-|-----|
q ui auoit plai e	-⌫||----|----⌫|
m aisd e lui otmale manaie	-⌫--|-⌫|--|-|---|-----|
neu o spo rroiepa s retrai re	-|-⌫-⌫|--⌫----|--⌫|------⌫-|
lemal lennu i ne le contraire	-|--||----⌫|-|-|--------|
fa itrenarta brunl	--⌫-|-----||---||
a ysang rineta plusou rs	|-----⌫--|-||------⌫-|
isan grinssesta	----⌫----||--||
m oiclamez	-⌫-|-----|
quitantest b lamez	--|---|--|-⌫----|
desafamequil amaumi ss e	-|-|---|-|-||-----⌫--⌫|
luia force	--||----|
si uilme nt et entelm aniere	-|-----⌫-|-|-|--|-⌫-----|
comfustuneu ils ch amberiere	--|---|--|-⌫--|--⌫--------|
touzsesu oloir s	---|--|-⌫-----⌫|
i fuforniz	|-|-----|
sedroi tnenont	-|----⌫||-|--|
iesui honiz	-|--|----|
uoi lquema	---⌫|--|-|
gentmeh ace	---|-|-⌫--|
droit mecouientqueie	----|-|------|--|-|
danz roeniausliuieus mas tins	---|-------|-|----|---⌫---|
dep lu sorslatins	-|-⌫--⌫---|-----|
moltres t de fier	---|---⌫|-|---|
serestclamezq uantelmesage	-|---|-----|-⌫---|-|-----|
lauoietramisde mapar t	|----|-----|-|-|---⌫|
feistuen irrenart	----|---⌫-|-----|
dont li fistrenartsigrant	---|-|---|-----|-|----|
q ueienensaidireleconte	-⌫-|-||-|--|---|-|----|
mes bien aoila quere l e	--|---||-|-|-----⌫-⌫|
d ont roeniausl ape le	-⌫--|-------||---⌫-|
ildit queparsatraison	-|--|--|--|-|------|
le fi s tremaindreen	-|--⌫-⌫|--------|-|
s apriso n	-⌫|-----⌫|
amuse r le	-----⌫|-|
fistparparo le	---|--|----⌫-|
q uili di t dira	-⌫||-|--⌫|---|
queunsu ila insauoittend ue	--|--|-⌫---⌫--|----|----⌫-|
les u neuoie	--|-⌫-|---|
d effendue	-⌫-------|
quelagissoi t unss ain tuaires	--|-|------⌫|--|-⌫---⌫------|
quiertapelezsainzyl air es	--|--|-----|----|--⌫---⌫-|
et bi enentendre	-|--⌫-|-------|
que l aredrecen tlicontrait	--|-⌫|--------⌫|-|-------|
cilnes otsil	--|-|-⌫-||-|
di tuerite	--⌫|-----|
pen saqu il deistu erite	---⌫-|-|-|----|-⌫----|
tant li fist	---|-|---|
p arengingacroire	-⌫-|-----|------|
q uiltintla	-⌫|-|---|-|
p arolea u oire	-⌫----||-⌫---|
quesagest a n t e s tresoloit	--|----|-⌫-⌫-⌫|-⌫-⌫--|-----|
n est sisagesqui ne	|--|-|----|--|-|
lali fistren drele	-|-|---|---⌫--|-|
enlanginauoitzz fr omage	-||----|----|-|--⌫----|
quezzuila insm isiauoi t	--|-|----⌫--|-⌫-||----⌫|
que ren artmolt	--|---⌫--|---|
bienisauoit	---||-----|
roenelne fi st pasque sage	-----|-|--⌫-|--|--|---|
ilsabaiss a	-||------⌫|
pristle froma ge	----|-|-----⌫-|
quidesorle	--|----|-|
colliauale	--|-|----|
paineet angoise	----|-|------|
sou frimale	---⌫--|---|
cillestentettireettrestorne	--||-----|-|---|-|--------|
me s renart	--⌫|-----|
qu iplus n	--⌫|---||
etq ui lemengaco mm ef ol	-|-⌫-|-|----|--⌫--⌫|-⌫-|
l elaissap endantp arleco l	-⌫|-----|-⌫-----|-⌫-|-|--⌫|
renart li rousq uemaufeu arde	-----|-|---|-⌫-|--|--|---|
quede su ign esfu st	--|--⌫|-⌫---⌫-|--⌫-|
bie n fulima stins	---⌫|-|-|--⌫----|
desgarde s fu aperceuz	--|-----⌫|-|-------|
o macueseto	|-----|-||
i ll aunerentsi sesbur iaus	-⌫||-------|-|--|---⌫---|
illuec ont	-----|--|
que at er rel	--||-⌫--⌫-||
on tabat u	--⌫|----⌫|
neb rai tn ecrie	-|-⌫---⌫|-⌫|---|
qu ilnepu et	-|-|-|--⌫-|
simpl eme ntcontenirl e stuet	-----⌫---⌫-|-------||-⌫----|
agrantpaineen	|----|----|-|
eschapauis	------|--|
s icomildit ieuosp leuis	-⌫|--|-|--|-|--|-⌫----|
bien deuroiton renart destruire	---|------|-|-----|--------|
tousli mondes li deur oi tn u ire	---|-|-----|-|----⌫--⌫|-⌫-⌫--|
quisi baill ists a bonegent	--|-|-----⌫--|-⌫|---|---|
ienen prandroieorneargent	-||-|--------|-|-|-----|
queien e l edestru ie	--|-|-⌫|-⌫|------⌫-|
ilsedef fende	-|-|---⌫----|
hontemafe tetui llenie	----|||--⌫|-|--⌫-----|
trop aduré s a renardie	---||----|-⌫|-------|
renarttout iceparuos	-----|---|--|--|--|
maldahezait	-------|--|
quibele nest	--|--|-⌫|--|
me s parma barbe seiepuis	--⌫|--|-|----|-|-|---|
et ie e n monc onsei lle truis	-|-|-⌫|--|-⌫-----⌫|-|----|
q uantuos de moidepartirez	-⌫---|--|-|--|---------|
iamesbesten atra perez	----|----||----⌫----|
la moifoien uoiliurer	-|--|--|-|---|----|
quetouzceue rrezauer e r	--|---|-|--⌫---|----⌫-⌫|
este s uen u z	----⌫|---⌫-⌫|
quarli corses ta droit	---|-|---|--⌫||----|
ren artfet iltro p eshaiz	---⌫--|--|-|---⌫|-|---|
cil nestoit pas trop esbahiz	--||-----|--|---|------|
netrophas tisdes aparol e	-|---|---⌫--|-|-⌫|-----⌫|
questéauoit aboneescole	-|----|----||---|-----|
uersterretintenc l in	---|----|---|---⌫-⌫-|
etfet s amblant quili soit	-|--|-⌫------|-||-|---|
bien sauo it trereetb ien	---|----⌫-|----|-|-⌫--|
bien respond reetbienoposser	---|-------⌫-|-|---|------|
qu a ntilen estettens	--⌫-⌫-|-|-|--|-|---|
couientqueil	------|--|-|
cariluoit lero i corr oucié	--|-|---|-|--⌫|----⌫-----|
c hie fredrecié	-⌫---⌫|--------|
ilnoten luiriens arepran d r e	-||-|-|--|----||------⌫-⌫-⌫|
bienseso tga rder de despendre	---|-|--⌫|--⌫---|-|--------|
auroi aditqu	-|--||--|-|
quilipuis trespondre par	-||-|----⌫|--------|--|
droitdire sacort	----|---||----|
tant en feranenaura tort	---|-|---||-|---|---|
renart d it li	-----|-⌫-|-|
roisbienas d it	---|---|-|-⌫-|
orditesno st escouterons	-|----|--⌫||----------|
bi en nos i tenro ns	--⌫-|--||-----⌫-|
rena r trespont sirebiend ite s	----⌫-⌫|------|---|---|-⌫---⌫|
orauezd itnes uisp asquit es	-|---|-⌫-|-|-⌫--|-⌫-|----⌫-|
desaloignes que	--|-------|--|
u osaifetes	-⌫-|-|----|
que uos auezdesor moi t retes	--|--|---|----|--|-⌫----|
de thiber t etdelamesange	-|------⌫|-|-|-|------|
l con diaquelquilprang e	|---⌫-||---|-|-|-----⌫|
de chan tecleretdecoupee	-|----⌫-----|-|-|-----|
q u epar moine fuadesee	-⌫-⌫|--|--|-|-|-----|
dero enelnefisoutrage	-|--⌫---|-|--|------|
n atiecelin	||-------|
desonfromage	-|--|------|
br un liou rs s est demoiclame z	--⌫-|-|--⌫-||--|-|--|-----⌫|
mes il adits auolen te	--|-||--|-⌫|-----⌫-|
c ains neperdit	|---|-|-----|
parmoi la pel	--|--|-|--|
n e ne fismaldieuen apel	-⌫|-|--|--|---|-|---|
ne amoncompereysan gri n	-||--|------|----⌫---⌫|
at o rtmencusentmiuoisin	|-⌫-⌫-||-------|-|-----|
les mausse ruisesai ades fet	--|---|--⌫-----|-|---|--|
debienfaireaile c o l fret	-|---|----|-|-|-⌫-⌫|---|
