auiures negarison	|-----|-|------|
requiert uerstei	-------|---|--|
karioltelopar	--|-||-|-|--|
dr eit e fei	--⌫---⌫|--|
ace ofuren t	|--⌫|-----⌫|
tuitde preant	---|--⌫-----|
e clercetlaipetitetgrant	|----|-|--|----|-|----|
tantpreient	---|------|
l e re iesemonent	-⌫|--⌫||-------|
ett a nt bonconsei lli	-|-⌫-⌫-|--|------⌫|-|
que flandres ligreeeotreie	--|-------|-|---||-----|
n euoltdela pai z	-⌫|---|-|-|---⌫|
s erecreie	-⌫|------|
les paluzenpaistroses	--|----|-----------|
granzparfundese e ncombroses	----|--------||-⌫---------|
cedi tlestorie tutpur ueir	-|--⌫||------|--|--|---|
ne la uoutrousprendren aueir	-|-|---|---|------||----|
bretaigne aquisee	--------||----||
dem an d ee	---⌫--⌫-⌫-|
celelialire isdonee	---|-||-|--⌫-|----|
e esponduequit e ment	|-------|----⌫-⌫---|
en paizsenznulxxx	-|---|---|--|--|
di cestama rouslasa isi ne	|-⌫---|--|---|-|--⌫---⌫-|
kartena nzestalamar ine	--|----⌫-|--||-|---⌫--|
del au trecon ti nu elm ent	-||--⌫--|---⌫--⌫--⌫---⌫--|
eis ifufait	---⌫|-|---|
le g raiement	-|-⌫-------|
franq ueet l iduxrobert odlui	-----⌫-|-|-⌫|--|-----|-|--|
cis tuin drentaroua mbedui	---⌫|---⌫----||--|-⌫-----|
re traitli u nt lotreieme nt	--⌫----|-|-⌫-||--------⌫-|
q uelireis li	-⌫-|-|---|-|
fait b onement	---|-⌫------|
dedesuslenterin e tez	-|----||-------⌫-⌫--|
qu etie nt	--⌫|---⌫-|
crest ient ez	-----⌫----⌫-|
baillen t osta gesasdaneis	-------⌫|----⌫--|-|-----|
ceus quilrequeren t desfr anc eis	---|-|-|--------⌫|--|--⌫---⌫--|
p uis enunt	-⌫--|-|--|
ro uaureimené	--⌫|-|--|----|
fu leioresg ardé	-|-|--|---⌫----|
u ez celuifunt il senzdotance	-⌫-|----|---|-|---|------|
quienua i tre stote france	--|----⌫|---⌫----|-----|
equia seil au out suzmetre	|--||--|-⌫|-⌫--|-------|
fistgrantquor entremetre	---|----|---|---------|
orpoez ueerfier uassal	-|---|---|---|-----|
partut apie e acheual	--|--||--|||-----|
degran t uertudegrant poeir	-|----⌫|----|-|----|----|
eng in degran tsaueir	---⌫-|-|----⌫|-----|
iciacheualier	--||--------|
eendura n te ma utraible	|------⌫-⌫||--⌫-------|
tra uailzendurez	---⌫----|------|
cest iorerthonorez	---|--|--|------|
hadamagesnosafaiz	-|------|--||---|
et ant e shu ntes	|-⌫---⌫-⌫|--⌫---|
c um estcilfous quiuoutiurer	-⌫-|--|--|---|--|---|----|
ce que u n core	-|--|-⌫-⌫---|
quido utceoquorquidom	-----⌫-|--|-|-|-----|
n equaueni stcoq ue ueom	-⌫|-|-----⌫-|-|-⌫-|---|
lesparoles suntrecor d ees	--|------|---|-----⌫-⌫--|
er etr ai tesereco nte es	|-⌫---⌫--⌫--||----⌫---⌫-|
oianttre st u z e nau dien ce	----|---⌫--⌫-⌫|-⌫|--⌫----⌫-|
niso rstdesacorda nce	||--⌫--|---------⌫--|
duntuntfra nceisroutant	---|--|---⌫----|--|---|
e tantsemons e tantprei é	|---|-----||---|----⌫-|
costreinzkar	--------|--|
ne seu outretrair e	-|-|-⌫--|-------⌫|
situtlif u	-|--|-|-⌫|
grefeco nt ra ire	---||--⌫--⌫--⌫--|
esmainslereimist se s	-|----|-|--|---|--⌫|
d ousmains	-⌫--|----|
esi uos faimesbiencertains	|-|--|-----|---|-------|
quonquess is peresne sisaiue s	-|-----|-⌫-|----|-|--|----⌫|
s isance st re s	-⌫-|----⌫--⌫--⌫|
ne sis b esa iues	-|--|-⌫---⌫---|
ahomesus c ie lce nef irent	|---|--|-⌫--⌫|-|-|-⌫----|
nehomage neli offrire nt	-|-----|-|-|-------⌫-|
liests idesauuage	-|--|-⌫|-|------|
quagr an tpeinesiassoage	-||--⌫--⌫|----|||------|
s icumloure	-⌫|--||---|
uos est contee	--|--|-----|
r eis s a fille d onee	-⌫--|-⌫|----|-⌫---|
gillela p roz roua oissor	----|-|-⌫--|--||-----|
et utel a terreel	|-⌫--|-⌫|----|||
quien tr eus ertdeterm in ee	--|--⌫-|--|--|------⌫--⌫-|
des e tteiusque n	--|-⌫--|----|-⌫|
lam ersalee	-|-⌫-|----|
ebretaign e r iensnenretienge	|--------⌫|-⌫---||-|-------|
duntuiu reeuitaille loruienge	---|---⌫-||-------|--|-----|
enfieueenalodeuis	-|---||-|--|----|
t restote isicum ieouosdi	-⌫-----|-⌫--|--|--|--|-|
dunfaitnenc est	--|---||-|-⌫--|
si cu m ilest	-|--⌫|-|--|
raiso nset dreiz	-----⌫-|-|----|
neuoutle pi e le	-|---|-|--⌫|-|
reibaisier	--|------|
rousqui l nen ertpas c ostumier	---|-|-⌫||-|--|--|-⌫-------|
ic eo n iertiafaitquiquenpe ist	--⌫-||---|-|---|----|-|--⌫--|
quelas ueb ucheiadei st	--|-|-⌫-|-⌫---||----⌫-|
funtlieuesqu ebe ausam is	---|-|------⌫|--⌫--|--⌫-|
de co seezsage e	-|-|---|---||
quilomtel dond one	--|--|--|--|-⌫--|
c umdefieu det erre e do n o r	-⌫-|-|---|-|-⌫---|||-⌫-⌫-⌫|
si estraisunsquenla	-|--|------|-|-|-|
lenbais t le piela	|-|----⌫|-|--|-|
testee ncline	----|-⌫-----|
et r ous respont ce	-|-⌫--|------|-|
nie rtiafait	|--⌫-|-|---|
anulsennea	|--|--|-||
que lomm eueieagenoillier	--|--|-⌫|---|----------|
flechir so zmetren abaissi er	------|--⌫-----||-------⌫-|
deua ntgenoilz d ome	----⌫-|------||--|
nepiez baisier	-|---|------|
niprendrezal	||-------|-|
tantuosporrieztr auai llier	---|--|------|--⌫----⌫----|
ieonesuimieap ie zbaisier	--|-|--|--||-⌫--⌫|------|
quorque ia atoche	---|--|-|-----|
apiezmachere	|---|-|----|
n e mabo che	-⌫|-|--⌫--|
dunc l iront tant	---|-⌫|---|---|
mostréfrance i s	------|------⌫-⌫|
qu e honte i	--⌫|----||
aurei tt r o p	-----⌫|-⌫-⌫-⌫|
silautr e chose nen fai seit	|-|----⌫|----||-|---⌫---|
quantrouentent quil	----|--|-----|-|-|
comandeaun soen	------||-|---|
p urluilepie lerei	-⌫-|--|-|--|-|--|
c illa d saisi demaintenant	-⌫-||-⌫|----|-----------|
as abochetut en	|-⌫|----|--|-|
le portedr ei tsilabaisié	-|----|--⌫--⌫|-|||------|
q uepoint siseit baissié	-⌫-|----|||---|-------|
ler eie nuersatutariere	-|-⌫-|-⌫-----|--|-----|
furisa gr antmaniere	-|--||--⌫--|------|
noiseisor s t g r anttel em	----||---⌫-⌫|-⌫-⌫--|--|-|
se mblantnenmostra	--⌫-----||-|-----|
char leslireis robertlidux	----⌫--|-|---|-----|-|--|
econtesd esqu adis uplus	|-----|-⌫---||--||---|
bar onseuesques	---⌫--|-------|
eceus qui furenta pelez	|---|--|-----|-⌫----|
iurerentsu s le	-------|--⌫|-|
sacre ment	-----⌫---|
esurlenoueltestament	|--|-|----|--------|
roufeitenir eaporter	--|--|----|||-----|
sa m en br eesauiegarder	-|-⌫--⌫--⌫||-|--|-----|
d esonregne enfei	-⌫|--|----|-|--|
p a rlecommandeme nt le rei	-⌫-⌫|-|----------⌫-|-|--|
eis ila terr epar non	---⌫|-|----⌫|--|--|
comfaiteestla deuision	--|----|--|-|-------|
que illa tiengeaitep or s e e	--|-|-|-----|--||-⌫--⌫-⌫-⌫|
e leneliseit maisfor cee	-⌫-|-|-|---|---|---⌫--|
naei r quil aitdurable ment	||--⌫|-|-|--|-------⌫---|
decialiordel finement	---|-|--|--|-------|
sicumsi eirsuntau eni r	-|--|-|--|---||-⌫---⌫|
si lapuissentenp aiz	-|-|-------|-|-⌫--|
fin abl ement en fine	---⌫---⌫----|-|---|
que m a isnelur enseittor z faiz	--|-⌫-⌫-|-|--|-|---|---⌫|---|
silacoiltiuenteisilai ent	-|-|---------|---||--⌫--|
eisiuosd iqueisi	---|--|-⌫|-|---|
eisisesuntentra maisnié	---|-|---|-----⌫-------|
milenplorede	--|-|----|-|
unques maissifaiteesioiance	-----|---|-|----|--------|
nequid nul iorqu entr ast en	-|---|--|--|-|----⌫--|-|
la chos euosestdite	-|----⌫|--|--|---|
e cum ieol aitrouées crite	|--|--||-|-----|--⌫----|
fuc estourebel	-|-⌫--|---|--|
b elacordeeebel	-⌫-|------||--|
cum bie nuoil lantebona mi	--|---⌫-----⌫---||--|-⌫-|
sesunts eurée de parti	-|---|-⌫----||--⌫----|
lireistornaen sunpais	-|---|----|-|--|---|
roua roemcemestauis	--||---|-||--|---|
li ducrobert e	-|--|-----||
franqu eodl ui	------⌫|-|-⌫-|
cistlecheri ssen tmult andui	---|-|-----⌫----⌫|---|----|
sitresg rant	-|---|-⌫---|
ioieout aroem	---|--||---|
c unquesm aire	|-----|-⌫---|
n eui tnushom	-⌫|--⌫|--|--|
de lur cher duc	-|--|---|--|
seig nornoue l	----⌫--|----⌫|
multpl aist a	---|--⌫---||
tu z mult lor estbel	--⌫|---|--|--|--|
a rceuesquesacre z	-⌫--------|-----⌫|
fi erscrestiens e b en	--⌫--|--------||-⌫-|
fistlescouenztoz reuestir	---|--|-----|--|-------|
tuzassem bleret	--|-----⌫---|-|
le ba ptesti r e fu	-|--⌫------⌫-⌫|-|
s ainte fiezeaprestez	-⌫-----⌫---||-------|
ilmeismesfist le mestier	-|------|---|-|------|
ioiosde fier co rage entier	----|-|---|--⌫---|-----|
rousae nf onsregenere ́	---||-⌫|-⌫--|--------⌫|
elnondesaintetrini te	-|--|-|-----|-----⌫-|
baptizé laceuos s aib iendire	-------|||-|--|-⌫-|-⌫--|---|
ef aitreceiure baptestire	|-⌫--|-------|---------|
acoutliduxrob e rt ses	----|-|--|---⌫-⌫-|--|
d e sfonzl elieuecumpar ra i ns	-⌫-⌫|---|-⌫|----|--|---⌫--⌫-⌫-|
sisnonsrobertlifuposez	--|---|-----|-|-|----|
erobert futpuisape lez	|-----|--|---|---⌫--|
de ldu c robe rt	--⌫|--⌫|----⌫-|
ro bert out nun	--⌫---|--|--|
qu e nfonzli enposasun	-|-⌫|---|-|-----|--|
precios dons	------|---|
estresonuoil	----|--|---|
donalidu x asunfill ol	---|-|--⌫||--|----⌫-|
le i ordecestbap teiem ent	-|-⌫-|-|---|---⌫-----⌫--|
trouom quaueit	-----|-|----|
cer tainement	---⌫--------|
nof cenzedoszea nzadeuise	--|---||----|-⌫-||-----|
quedeusue irenaissan ce outprise	--|---|--⌫--|-------⌫-|--|----|
delasain teui rgeo norable	-|-|----⌫-|--⌫--|-⌫------|
quiuer ssu nfilz	--|---⌫|--⌫|---|
no s seit aidable	--⌫|---|------|
robertliducdenormendie	-----|-|--|-|--------|
qui salmeesun cors	--||---||--|---|
doneeot triea deuser uir	---||--⌫---||--|---⌫--|
ea sa seint ele itenir	||-|-----⌫|--⌫|----|
fiers crestiensde fermefei	----|--------|-|----|--|
senz suspecon	---|-------|
esenz erre i	|---|----⌫|
asesco ntes	|--|--⌫---|
ese sbarons	|--⌫|-----|
esesprince strestozpar	|--|------⌫|------|--|
fai tbatizeres autre	---⌫|------|||----|
granze petiz	----||----|
comunaument	----------|
de cequeafeiapartint	-|-|--||--|-------|
qu ibesoignane qui couint	--⌫|-------|-|--|-----|
lesfis t estruire	--|---⌫|-------|
eenseignier	|---------|
endoctrinere preecher	----------||-------|
deuei entfairee teni r	-----⌫--|----||----⌫|
qu eeschiuer	--⌫|-------|
eq ue guer pir	|-⌫-|----⌫--|
que a orerecomentcreire	--|-⌫---||-----|-----|
come ntregehi raproue ire	----⌫-|------⌫||-----⌫--|
mesfa i zesespechez	-----⌫-⌫||--|-----|
eis i fu re nt tantenseig niez	---⌫|--⌫--⌫-|---|------⌫---|
be nig nes ententions	--⌫---⌫--|---------|
r endir entl o robl at ions	-⌫-----⌫--|-⌫-⌫|---⌫--⌫---|
boncre stien eaumosnier	--|---⌫----||--------|
enlaleideuledreiturier	-|-|--|--|-|---------|
li duxro bert a congi equis	-|--|--⌫---||-----⌫|---|
sisentor naenson pais	-||-|---⌫-|-|--|---|
lisir e normanzterriens	-|---⌫|------|-------|
quifaiz estnouels crestiens	--|---|--|-----|--------|
faitlarceuesqueasei uenir	---||---------||--|----|
ieo u oilfaitil	--|-⌫--|---|-|
quelsegli ses decest pais	----|----⌫--|-|---|---|
solentestre de	-----|----|-|
mairepri s	----|---⌫|
q uel esplu shautesplusce lebrees	-⌫---⌫-|---⌫|-----|---|--⌫------|
queles erent p lushonorees	-----|----|-⌫--|-------|
quelessainz iap lusg lori us	-----|----|||-⌫--|-⌫----⌫-|
plusaidables p luspretios	---|-------|-⌫--|------|
deit lo mauerplusch ers	---|--⌫|---|---|--⌫--|
fait la r c euesque uolentiers	---||-⌫-⌫-⌫------|---------|
uos endira ilauerite	--|-|----⌫|-|-----|
encest edemeine	-|----⌫|------|
abaieu s eaeuereus	|-----⌫|||------|
qu or tiensportues et	-|-|----|--|---|-|
en ceste st reis atreiseglises	-|-----⌫|-⌫---||----|------|
qu iorsu nt	--⌫|-|--⌫-|
pouresetdesprises	-----|-|--------|
m ai s multfurenten	-⌫--⌫|---|-----|-|
grant honor	----|----|
dela me renostre seignor	-|-|--⌫-|-----|------|
l auirge puceleh on oree	-⌫|----|-----|-⌫--⌫---|
fuch ascune f aite efunde e	-|--⌫-----|-⌫---||-----⌫|
eensonseint nondediees	|-|--|----|--|------|
cestesfurentmu lt esha ucee s	-----|-----|--⌫-|----⌫----⌫|
loinzenlame ra un rocher	----|-|-|--⌫||-|-----|
rie nsplusne f aita mer ueil lier	---⌫-|---|-|-⌫--||---⌫----⌫---|
la est leiglisesaintmichel	-|--||------|----|-----|
qui ar chan ge lee s tda muntdel ciel	--|--⌫----⌫--⌫-|-⌫-⌫||-⌫---|--|---|
edreitpro u ostde	|----|---⌫-⌫--|-|
par a d is	---⌫-⌫-⌫-|
i ceste rest demultgr antpris	-⌫----|---|-|---|--⌫--|---|
ici deforscestecite	--|-----|----|---|
r au n mo sti e rfait	-⌫|-⌫|--⌫---⌫-⌫|---|
desa intp ere	-|--⌫--|-⌫--|
lebonbaron	-|--|----|
cist raestémultdegrant	---|-|----|---|-|----|
uns arc e uesques	--|---⌫-⌫------|
quide strangem eriteesteit	--||-⌫------|-⌫----|-----|
kar nestdolors malsneperilz	--||--|-----|---|-|-----|
duntparme intes	---|--|--⌫----|
feiznaitgariz	---||--|----|
ceus quiodfeile reclamoent	---|--|-|--|-|---------|
le corsdelui m ulthonor oent	-|---|-|--|-⌫--|-----⌫---|
tuzlipoples	--|-|-----|
t utesles genz	-⌫---|--|---|
ma islisodu sau enementz	--⌫-|-|----⌫|--⌫-------|
deuos e deu ostre compaignie	-|--||-|-⌫----|---------|
l e nf istfoirde nor mendie	|-⌫|-⌫--|---|-|---⌫-----|
gimegeslasainte abei e	------|-|-----|----⌫|
uprimesuint u ostrenauie	|-----|---|-⌫----|----|
laestletempleelemustier	-|--|-|-----||-|------|
desaintpere leb on	-|----|---|-|-⌫-|
l ebon apostregloriu s	-⌫|--|------|------⌫|
icille usrestmultprecius	---|--⌫-|---|---|------|
emul tdegrantauctorite	|---⌫|-|----|--------|
sa c hesqu een tapoeste	--⌫-⌫--|--⌫|-|-|-----|
aegl isesautresplusors	|---⌫---|-----|------|
maiscestessunt lesmeil lors	---|-----|---|--|----⌫---|
ed eplusha uteseignorie	|-⌫|---|--⌫--|--------|
quantl i duxalachose	----|-⌫|--||-|----|
d es sainzrequerteuout	-⌫-|----|------||---|
quel s lomidei tp lus	----⌫|--||---⌫|-⌫--|
chers tenir	----|----|
ar ce uesque saintd enis	--⌫--⌫-----|----|-⌫---|
estal sieclemul tdegrantpri s	--|-|-----|---⌫|-|----|---⌫|
greu fuengrece engenoiz	---|-|-|----|-------|
e puis parsai ntpere conuertiz	|---|--|---⌫-|---|--------|
apres l e nu eias aint clement	----||-⌫--⌫--|-⌫---|------|
ca espart ies do ccident	-|-|----⌫--||-⌫------|
purpreech erfeie	--|------⌫-|--||
partutlerea lme	--|--|-|---⌫--|
cilquiodde unorent amor	--|--|-|--⌫||----|---|
lifir entmainte	-|---⌫--|-----|
e maintennu imain tmal maint	|----|----⌫|----⌫|--|----|
tant quepurdeu rec ut martire	----⌫--|--|--|---⌫-|------|
outs auie escrite	--|-⌫|--|------|
setquemultestdegrant	--|--|---|--|-|----|
sir ear ceuesque s f ait	---⌫|--⌫--------⌫|-⌫--|
ate ndisse plus	---⌫-----|---|
a inzquedepartenedeui s	-⌫-----|------|-|----⌫|
home s namesamis	----⌫|||--|---|
cest eterre e a	----⌫|----|||
uo ilecoueitpremierement	--⌫-||-----|-----------|
deuemadame	--||-|---|
saintemarie	-----|----|
qu en ai ent silalor	-|-|--⌫--|-|-|--|
etuitliautresaintnomé	|---|-|----|----|----|
que ieonen	--|--||-|
deusen seitseruiz	---|-|---|-----|
equec enseient le s	|--||-|-----|--⌫|
li plaist quelaterre aie	-|-----|--|-|----|--|
seruirmatra i e	-----||----⌫-⌫|
lis aint e la	-|-⌫---||-|
uirgemarie	----|----|
uersluime seientenaie	---|--|-|-----|-|--|
e isiques asain teleiti eng e	-⌫--|--|-⌫|----⌫-|--|--⌫---⌫|
mei gart e	--|---||
d emeili souienge	-⌫|--|-|-------|
fran querespont certainement	----⌫--|------|-----------|
estde aspirement	--|-|---------|
ce oqueieo toidireeuoleir	--⌫|--|--||-|---||-----|
quen d euas posé	-|-|-⌫-|-|----|
tonesp eir	--|---⌫--|
desqu antlo ur e est	--|--⌫--||-⌫--⌫|--|
acceptable	---------|
boenebelecoue nable	---||--||----⌫----|
quece ssetiorzent ierement	--|--⌫|--|---|---⌫-------|
quisuntd et onbapteiemen t	--|---|-⌫|-⌫-|----------⌫|
que na ubesies	-|-⌫|-⌫---|--|
cresmal p ortant	------|-⌫-----|
duinsesasset iglises	------|-|--|------|
c umteuend raen	-⌫-|-|----⌫-|-|
de us ten sachegre	--⌫-||-|----|--|
lepre mierior debaptestire	-|---⌫---|--|-|---------|
q ueieouosaicomencé adir e	-⌫-|--|--|-|-------||---⌫|
donaterresselumsun bue n	---|-----|----|--|---⌫|
s a intemariederoem	-⌫-⌫---|----|-|---|
largesegra nzebienas ise	-----||---⌫-||---|--⌫--|
qu ilme ismenomeedeuise	-|-|--⌫---|---||-----|
solee quit e establement	---||---||----------|
atenirper pe tuaument	|----|---⌫--⌫-------|
alsecundiorq ui uint apre s	-|-----|--|-⌫-|---|----⌫|
dunaterreserentes ades	---|-----||-----|---|
a baiusegranthonor	|----||----|----|
merenostre se ign or	---|-----|--⌫---⌫-|
aeuereustutensement	|------|--|-------|
aleuesquiefisttel pre sent	||-------|---|--|---⌫---|
telduntele sa is ine e sigr a nt	--|--|---|--⌫--⌫--||-|--⌫-⌫-|
q ui mult fupuis riche	-⌫-|---|-|---|----|
a usialquartio renroon t	-⌫--|-|----|--⌫|-|----⌫|
munseignors a intmic h e l delmun t	--|------|-⌫-⌫--|---⌫-⌫-⌫|--|---⌫|
siriche dunetele partie	-|----|--||---|-----|
qu imultsistbi enalabbeie	--⌫|---|---|--⌫-|||-----|
ealquintior assez par main	|-|----|--|----|--|---|
saintpereesaintoain	----|---||----|---|
re dona tanttuta	--⌫---|---|--||
dunt u ncor e st mielza leglise	---|-⌫---|-⌫-|----|||-----|
aus isteiorauantdisner	-|-⌫---|--|----|-----|
niuou tgimege subl ier	||---⌫|------⌫|---⌫--|
saintpere easa int	----|---|||--⌫--|
cum esi lf ustellitmalade	---⌫||-⌫|-⌫--|-|--|-----|
duna sundonod cors	---|--|--|-|---|
grantrichee lar ge e	----|----||---⌫-||
asain t denis t o t	|----⌫|----|-⌫-⌫|
dunealsetme i urbr enneual	---|-|----|-⌫-|--⌫------|
odqua nquedelfieuiap ent	-|---⌫---|--|---||--⌫--|
uit mesic umnoslisum	---⌫-|-|-⌫-|--|----|
leiorde se xpiation	-|--|-||-⌫-------|
m ist son cresm aldreitement ius	-⌫--|--|-----⌫-|---------|--|
fo rsfu daubesni estaplus	--⌫-|-||----|||---|---|
dunccomen caadeuiser	---|-----⌫-||------|
ade pa rtir e	|--⌫--⌫---||
laterrea ses	-|----||--|
pl ushauz amis	--⌫-|---|---|
si cu m il suntde	-|--⌫|-|---|-|
maiorp ris	----|-⌫--|
si fa itsesdonsdiu erseme nt	-|--⌫-|--|---|---⌫------⌫-|
multbien emultra isn ablement	---|---||---|--⌫---⌫-------|
qu antlidus senzdelaiement	--⌫--|-|--|---|---------|
outfait suna parellement	--|---|--|-⌫----------|
esunconu iuef estiual	|--|----⌫--|-⌫------|
n outbon ami	|--|--|--|
n e b o nuassal	-⌫|-⌫-⌫|-----|
qui l anefus tap areilliez	--|-⌫|-|---⌫|--⌫--------|
ioiosement ebauz e liez	---------||---||---|
ad gil le saf emme espusee	-|---⌫-|-|-⌫---|------|
la o utgrantfeste	-|-⌫-|----|----|
grantde s pensegrant baronie	----|--⌫-⌫----|----|------|
deioieestfranc e replenie	-|---|--|-----⌫|-------|
quoreseuentque paizunt	-|--|-----|--|---|--|
ferme eseg u r e ebien estable	----||---⌫-⌫-⌫||---|------|
prudur alinoceiemenz	--|---⌫|-|---------|
plusbeausplus	---|----|---|
plus ie nz	---|--⌫-|
enfu nulconteznediz	-|-|--|-----|-|--|
mul t iou t	---⌫||--⌫|
aueirsdepart iz	-----|------⌫-|
ela rgesdu ns egranzdon e z	|--⌫---|--⌫-||----|---⌫-⌫|
qua nt lafa ir esf ut respassez	---⌫-||---⌫--⌫-|-⌫|-⌫--------|
s a liduxdo né	||-|--|--⌫--|
seurt ance	-----⌫---|
e atuz ceuzp aiz equ itance	||--|---|-⌫--||--⌫-----|
qu ien l a terreremaind ru nt	--⌫|-|-⌫|----|-------⌫--⌫-|
eq u i rem asancei prendront	|-⌫-⌫|---⌫-----||--------|
sisageme nt l adepa rtie	-|------⌫-|||----⌫---|
portealautreenuie	----|||----|----|
orent asof fisant	----||---⌫-----|
co n te baronpetitegrant	--⌫-⌫-|----|----||----|
equan tchascu nsoutsadeuise	|----⌫|------⌫-|--|-|-----|
suntlurentente totemise	|--|--|------|---|---|
alaterre delunggastie	|-|----|-|---|-----|
poured eserte e	----|-⌫-----||
c umcoiltiuee fusta	-⌫-|--------|---||
a ceoten direntaesp leit	|--|---⌫-----||---⌫---|
aceusqu iploren tlesesto rs	|---|--⌫|------⌫|--|----⌫-|
ragreeor p lusles l abors	-----|-|-⌫--|--|-⌫----|
unc tant ne uoudrentbatailler	--|---|-|-------|--------|
qu ore plus ne uiengentga aigner	-|--|---|-|-------|--⌫-----|
l ur ploutadestruire	-⌫-|----||--------|
replais t plus aestruire	-------⌫|---||-------|
e anoblement ratorner	||--------|-------|
tantpari aimentaourer	---|--||-----||----|
lassent nene sedol en t	------|-|-|-|---⌫--⌫|
autresque rs ontquil nesolent	-----|---⌫-|--|-|-|-|-----|
cunctant n amerentatolir	|--|---||------||----|
neas gr an z desleizmaintenir	-|-|--⌫--⌫|------|--------|
qu ornaiment pl usdreiture epes	-|-||-----|--⌫-|-------||--|
bie n ne reposnau r ont	---⌫|-|----||--⌫-⌫--|
desqueleseit riche	----|--|---|----|
epleinteiue	|---------|
c hascu n de	-⌫-----⌫|-|
sundreit uiue	--|----|---|
eliduxases cheualiers	|-|--||--|---------|
qu ilmultamae	-|-|---|--||
multoutcher s	---|--|----⌫|
eaceusquialuisenuindrent	||---|--||--||-|-------|
q uidelaterreoren te	-⌫-|-|-|----|----⌫||
d onaau eirseric hesdons	-⌫--|--⌫---||---⌫--|---|
d unt ilre fi rent	-⌫--|-|--⌫--⌫---|
lesclo isons	--|---⌫----|
les chasteaus elesfermet ez	--|--------||--|------⌫-|
tostfu liregnesatorn ez	---|-|-|-----|-----⌫-|
puisnedemora	---|-|-----|
