Che stleuiedesainte	-|-⌫-|-|--|-|-----|
touspres tre s	---|----⌫---⌫|
com me pe res etles moinescomme sesfrereset	---⌫-|--⌫--|-|--|-----|----|--|-----|-|
lespour escom me chiausdese mai sni e etles	--|----⌫-|---⌫-|-----|-|-|---⌫---⌫|-|--|
e stranges commes esenfansetleursouu enoitdech ou	-⌫-------|----|-⌫-|-----|-|---|----⌫----|-|--⌫-|
meismes estoitestrange	------|-----|-------|
El e sousteno itl esueues e t	--⌫|--------⌫-|-⌫-|----|-⌫|
lesorpheni nsetaidoitmout uolentiers	--|-------⌫-|-|-----|---|---------|
ato u slesmehaign iés	|--⌫-⌫|--|-------⌫---|
Eleportoi tmou t	--|------⌫|---⌫|
granthonn e ur asp ri nchesetret enoitmout	----|----⌫-⌫-|-|-⌫--⌫----|-|---⌫----|---|
uol entiers lesp orfitables consausdecascun	---⌫------|--|-⌫---------|------|-|-----|
Eleenseignoitmoutuolent iers asionesgensl e s	--|---------|---|------⌫---|-|----|---|-⌫-⌫|
oe uu re s der eligion et tous	--⌫--⌫--⌫|-|-⌫------|-|---|
iours esto i tenpr ieresu erss onseigneur	----|----⌫-⌫|-|--⌫----|-⌫--|-⌫-|-------|
pourles egl isesetpor	---|--|---⌫---|-|--|
lesp oures care ncore	--|-⌫----|--|-⌫----|
fustli cors	---|-|---|
en s ec ulerhabitsestoitli cuersmoutplains de	-|-⌫--⌫---|----||-----|-|----|---|-----|-|
religionetmoutappareilliésd e	-------|-|---|------------|-⌫|
Seigneu rloeretseruir	-------⌫|---|-|-----|
Sit ostcommelir oisse ss ires eut aperch e ue	-|-⌫--|----|-|-⌫--|--⌫|-⌫---|--|------⌫-⌫-|
se grantreligion pourchouq u	-|----|-------|---|---|-⌫|
illiuolo i ta idi era par fairechouq ueleau oit	-|-|----⌫-⌫|-⌫---⌫-||---⌫----|---|-⌫|--|--⌫--|
conc heu ensepenseesiliba illap ourliaid i er	----⌫--|-|-|-----|-|-|--⌫---|-⌫--|-|---⌫-⌫-|
.i.saintabéqui auoitnon	--|----|---|--|----|--|
Genesius quiado ntesto it	-------|--|---⌫-|----⌫-|
adesseeme ntalecourtetquipuisfu	---------⌫-||-|----|-|--|---|-|
euesqu esde	------⌫-|-|
Parles m a insdechel s ain t home de	--|--|-⌫-⌫--|-|---|-⌫---⌫|---|-|
qui ie uous	--|-|---|
aiparle ́faisoit celedame sesaum osnes etenuoi oit	-|-----⌫|------|---|---|--|---⌫----|-|-----⌫--|
sesd o nstex c omeeleuoloitas	--|-⌫-⌫-|--|-⌫--|--|-----|-|
asnon nainset	-|---⌫----|-|
asautrespoures	-|-----|-----|
quidesaideauoient	--|-||---|------|
Qu an t lirois	--⌫--⌫|-|---|
Clodou euet	------⌫-|-|
Ba ltelteure nt	--⌫----|----⌫-|
tantest é emsamle	---|---⌫-|------|
q uil euren t.ii.enfanssiuint en uole ntéau	-⌫|-|-----⌫|---|-----|-|---|-|----⌫---|-|
il alaste npelerinaig e en lesa i ntet erede	-|----|-⌫|----------⌫|-|-|--⌫-⌫--|-⌫--|-|
Ih erusale m	--⌫-------⌫|
Il ce la tantcheleuolent e ́ ale roine	-|--⌫-|---|----|------⌫-⌫||-|----|
que elesape rchutqu ilestoit	--|--||---⌫----|-|-|-----|
cuer tormen tésda ucunesecree	---|------⌫---||-⌫----|-----|
pens ee q uelene sauoit	----⌫-|-⌫|--|-|-----|
miedontila ui ntqu	--|---|-|-⌫--⌫-|-|
ele lemistunioura raisonpar	--|-|---|-|---||-----|--|
tex paroles	--|------|
Tre sc hiers siresdontn	---⌫|-⌫----|----|---||
auésuouso i	----|---|-⌫|
unepar ole q ue le sa i ges	--|---⌫--|-⌫-|-|--⌫-⌫--|
Sa lemo ns dist ketantcommelicuer s de l	--⌫----⌫-|---|-|---|----|-|----⌫|-||
esp eussefieen	---⌫--|-|--|-|
seloial es peusetant	-|----|--⌫----|---|
seraila ais ene deriens	---|-|-⌫---⌫|-|-|----|
souffr aite	------⌫---|
Siredontne medeussiésuous	---|---|-|-|--------|---|
piechaauoirdesc ouert	-----|----|----⌫----|
leconseil donti e	-|------|---|-⌫|
uousuoi sipensiu etsitormentéenuostr e	---|--|-|-----|-|-|--------|-|-----⌫|
Tr e s ch ierss ir esdescouuréslemoito ut	--⌫-⌫|--⌫---|-⌫--⌫-|----------|-|--|--⌫-|
seur ementc ar	----⌫----|-⌫-|
saic h iés ch ertainnementquese	----⌫-⌫---|--⌫-----------|--|-|
ces t biens	|--⌫|----|
iene lap eticheraimieancho isiaiousterai	-|-||--⌫--------|--|-----⌫-||---------|
aucune cosedebontéamo n po oir	-----|---|-|-----||--⌫|--⌫--|
Quantlirois	----|-|---|
Clodoue uoile debonairea monnestemen tde lesainte	-------⌫|-|-|--------|-⌫-----------⌫|-|-|-----|
r oines en eutmout	-⌫---||-|--|---|
gra nt goieensoncuer	---⌫-|---|-|--|---|
etl idescou urito u t en	-|-⌫|------⌫--|--⌫-⌫|-|
apertlepro p oseme ntde so npelerinaigee tlués	----|-|---⌫-⌫-----⌫-|-|--⌫|----------|-⌫|----|
qu i llieuttoutdescouuertsonconseileletend i	-|-⌫|-|--|---|---------|--|------|--|----⌫|
sesmainsuersleciel etrendi g races	--|----|---|-|---|-|----|-⌫----|
Biaus sire	----|---|
Dexuo strenonssoit beneoisquinule	--|--⌫---|---|---|------|--|---|
foisnedeguer pissi e ́s chiaus quien	---|-|------⌫-----⌫-⌫-|-----|--|-|
uousontleuresperance	---|--|---|--------|
Sireparleu ostre sa i nte mi sericordeuousotrie ́sa	---|--|-|-⌫----|--⌫-⌫--|--⌫--------|---|-----⌫-||
ches t uostre serg ant	----⌫|-----|----⌫--|
pa rseueran c een	--⌫--------⌫-⌫|-|
sonbonpropose men t etl i	--|--|-------⌫---⌫|-|-⌫|
otroié squ il parfaiche e noeure chouqu iln	-------⌫|-|-|--------|-⌫|----|---|-|-||
aencore qu e c on ceuen pensee	|-----|--⌫|-⌫--⌫--|-|-----|
N edemora gairesapréschescoses	-⌫|-----|-----|-----|---|----|
que liroispar le	--|-|---|--|-|
conseilde le sainte	------|-|-|-----|
roinese femefi stassamlertous	----|-|---|--⌫-|-------|---|
les princheset	--|-------|-|
touslesb aronsdeseterrepo ur	---|--|-⌫----|-|-|----|--⌫-|
atornerenquelmaniereli	------|-|---|------|-|
roiaumesde	-------|-|
France se roitg ardés et gouuernéstantqu ilfus tr epairiés	-----|--⌫---|-⌫-----|-|---------|---|-|-|---⌫|-⌫--------|
decelsaint pel erinaig e	-|--|----|---⌫-------⌫|
Li baronquiresga rderentle	-|----|--|-----⌫------|-|
frai llete ́ d umainnena tu re	----⌫-----⌫||------|--⌫--⌫-|
et qu ido uterentmoutqueleurs	-|--⌫|--⌫------|---|--|----|
siresnerepairast iama isuinrrent	----|-|--------|----⌫-|-------|
tout emsam le aur oietliprierent	---|-----⌫-|-|-⌫-|-|-|-------|
mou tdouchementq uil coron nastson ai nsnéfil	---⌫|---------|-⌫|-|-----⌫---|--|--⌫----|--|
a ro ianchoisqu i l semeust pourleterre	|--⌫|------|-|-⌫|-|----|---|-|----|
garderaucon seildeles ainte roine semere	-----|-|---⌫---|-|-|-⌫----|----|-|---|
Clodoueu quantiluitque tuit s acorderentachou	-------|----|-|--|--|---||---------||---|
toute leurpriereetpui sne demoragaires quil	----|---|-----|-|---⌫|-|-----|-----|-|-|
semist aleuoie	-|---||-|---|
et empristle h autpe lerinaig e quila uoittantd esir ré	-|------|-|-⌫--|--⌫--------⌫|-|-|-⌫---|---|-⌫----⌫--|
Quan tle roine	----⌫|-|----|
Bal telteut	---⌫---|--|
sonseigneur conuoié et	--|-------|-------|-|
e utp r iscongié aliet	-⌫-|-⌫-⌫-|------||-|-|
ele emplorant eutcommandé sameetsencors	--|-|------|--|--------||--|-|--|---|
e nlega rde	-⌫|-|--⌫--|
S eigno rsiretorna entre lie t	-⌫-----⌫|-|------|----|-|-⌫|
sesenfa n s	--|----⌫-⌫|
et demo raelregne oue l e aban donna soncueret	-|----⌫-|-|----|-|-⌫-⌫|----⌫----|--|---|-|
soncorsa ge uneretaorisonsuers	--|---||--⌫---|-||------|---|
Seigneurporlepa is delre gneetpou rl	-------|--|-|--⌫-|--|--⌫--|-|---⌫||
es ta tdesainteegliseet	--⌫--⌫|-|-----|-----|-|
sa ludesonseignoretde	--⌫-|-|--|------|-|-|
Liiones roisses	-|----|---|--|
fixde quilinonses tmis	--|-|--|-|---|--⌫|--|
en oubliregnaainssi g rantpieche	-|----|----|-----|-⌫---|-----|
ettint m outemp ais l e	-|---|-⌫--|-|-⌫--|-⌫|
Franchealaideetau conseilsemer e	------|||---|-|-|------|-|---⌫|
lacu i uolentéilf ais oi t entoutescoses	-|--⌫|-------|-|-⌫---⌫--⌫|-|-----|----|
et lesaint eroine	-|-|-----⌫|----|
auoitmoutgrantioieensoncuer de	----|---|----|---|-|--|---|-|
lepais dur egne et deleprosp erité de	-|---|-|-⌫---|-|-|-|-----⌫-----|-|
Maisiln auient mie	---|-||-----|--|
souuent en cestsiecle quegran s	------|-|---|-----|--|----⌫|
prosperitésdurt lo ng uement	-----------|---|--⌫--⌫-----|
que aucunetri streche ne	--|-----|---⌫------|-|
sientrem elle	||------⌫---|
Ainssintauint ilaces teroine	-------|----|-||---⌫-|----|
car il auint	--|-|----|
parlamonnestement	--||------------|
de n o streanchienanemiq u e	-|-⌫-⌫---|------|----|-⌫-⌫|
ses ainsne ́sfix	--|------⌫-|--|
qui l ereg net enoitca ien	--|-⌫|---⌫-|-⌫----|--⌫|-|
o rguel queleconseilse merequilauoittant	-⌫----|--|-|------|-|---|-|-|----|---|
améd euantdeguerpi etl ais sade l	---|-⌫----|-------|-|-⌫---⌫-|--⌫|
touts iquatoutes l escosesqu	---|-⌫|-||-----|-⌫-|----|-|
eleuoloit faireile n aloit deltoutenc ontre	--|-----|----|-|-⌫|----|--|---|---⌫----|
ettan tamonne stasenmeneurfrerequiencorese t enoit	-|---⌫|------⌫--|--|-----|----|--|-----|-|-⌫----|
au consei lsemer eetsigrantpartielipramist	-|------⌫|-|---⌫|-|-|----|-----|-|------|
delr eg ne qu illedeparti	--|-⌫--⌫-|-|-|-|------|
delto ut del conseildese meree t	--|--⌫-|--|------|-|-|---|-⌫|
lefistacorderase uolenté	-|---|------||-|-------|
Entre toutes	----|-----|
ches coses encorefust l eroinedeltout	---|----|-----|---|-⌫|----|--|---|
departiedelconseildelregnep ar	-------|--|------|--|----|-⌫-|
sesenfa nss	--|----⌫-||
estoit ele	-----|--|
tous iorsenassid ueu s oris onset	---|---|-|-----⌫---⌫|----⌫--|-|
aumosneseten proieresuers	-------|-|-|-------|---|
Seignorporlepaisd el regne etp ourle	------|--|-|---|-⌫-|----|-|-⌫--|-|
salutdese sen fa nset pourl e	----|-|--⌫|--⌫--⌫-|-|---|-⌫|
reuenuedesonseign eur et so rtoutes autresc osespour	------|-|--|-----⌫--|-|--⌫|-----|-----|-⌫---|---|
lestableté	|---------|
d e sainteegli se	-⌫|-----|----⌫-|
Clodouiusquipouraemplir lesentence	--------|--|---|------|-|-------|
d eleu angi l le	-⌫||--⌫----⌫-⌫-|
Chil quine prentse crois et	---|--|-|----|-|----|-|
nemensui t nepuet mieest remes	-||-----⌫|-|---|--|---⌫-|--|
deciples a uoitdeg uerpi son regnetemp ore l	-------|-⌫---|---⌫----|--|----|----⌫---⌫|
etala tan tpar sesiorneesqui l	-|--|---⌫|--|--|------|-|-⌫|
uint enlet eredepromissionetfist	---|-|-|-⌫--|-|---------|-|---|
son pelerinageausaint sepul chre a	--|---------|-|----|-----⌫---||
mout grant deuotion	---|----|-------|
et p uisdem oraenletereet mista sen	-|-⌫--|---⌫--|-|-|---|-|---||--|
pooirelse r u ige	----|-|--⌫-⌫-⌫--|
Seign eurleproecede se cheualer ie	-----⌫--|-|-----|-|-|--------⌫-|
Unior aui ntquil remembral e r oi	-|--|---⌫-|-|-|-------|-⌫|-⌫-|
dese femee tdesesenf anzetde son	-|-|---|-⌫|-|--|---⌫--|-|-|--|
regnequ i l auoitdeguerpi	----|-|-⌫|----|-------|
s ien eutp itiéa u c ueret	-⌫|-|--|-⌫----|-⌫|-⌫--|-|
a in ssico mmeil	-⌫--⌫--|--⌫--|-|
seporpensoitensoncorai g e lequelilferoit	-|---------|-|--|-----⌫-⌫|-----|-|-----|
ou ilremanrroitilluec toute seuieel	-|-|---------|-----|----|-|--|-|
Seigneurou il s enriro it arriere	-------|-|-||-|----⌫-|------|
en sonregne	-|--|----|
deua ntl ui .i.	----⌫-|-⌫-|--|
F r anchoisquiuenoi ttotdroitde	-⌫-⌫------|--|-----⌫|--|----|-|
Fr anc eetcilli c ontatoutp arordrecommentsi	--⌫---⌫|-|--|-|-⌫---|---|-⌫-|----|------|-|
esto ient reu elé	----⌫---|---⌫---|
contreleroi ne leur mere	-----|-|---⌫-|---|---|
Quantci leutseraison parc onte e deuantle	----|--⌫|--|-|-----|----⌫----⌫|-----|-|
deuantlesautre s	-----|--|-----⌫|
Franchoi squi illuecest oient s e n fulirois mout	--------⌫|--|-----|---⌫----||-⌫|-|-|---|---|
durement to rblésen s onco raigeettout	-------|--⌫-----|-|-⌫-|--⌫----|-|---|
cilqui auec	--|--|---|
luiesto ientaussiAta ntentra	--|----⌫---|----||--⌫-|----|
li ro is en une	-|--⌫-|-|--|
cambre t ousse ulet commenchamou td urem en ta	-----|-⌫--|--⌫-|-|--------|---⌫|-⌫----⌫--⌫||
plou rer queporla m esaisequilsau oit	----⌫--|--|--|-|-⌫-----|-|-|---⌫--|
que se feme auo i t q ue por lefolie	--|-|---|---⌫-⌫|-⌫-|--|-|----|
dese s enfan setsepenssa qu e siln e	-|--⌫|-----⌫|-|-|-----|--⌫||-|-⌫|
raloi te nson	-----⌫|-⌫|--|
regnepor aut recose	----|--|---⌫-|---|
si irir o i til	-||---⌫-⌫-⌫|-|
po ur sefemereconfor teret pourlef olie	--⌫-|-|---|--------⌫--|-|---|-|-⌫---|
deses enfansre frener	-|--|-----|--⌫-----|
Quant lirois fuissus d e lacambreside scouuri	----|-|---|-|----|-⌫|-|-----|-|--⌫------|
ato usseuolentédel	|--⌫-|-|-------|--|
repairi erensonregneetcomm andaqueses	-------⌫-|-|--|----|-|----⌫---|--|--|
oirre s fustappare illiéset ilsi fu	-----⌫|---|------⌫------|-|-|-|-|
e t porchequilne uol o itmie	-⌫|--|--|-|-|-|---⌫-⌫-|--|
que cildelpaïscuid ass en t qu ilse na last	--|--|--|----|----⌫---⌫--⌫|-|-||-⌫|-⌫---|
dec eleter r e	-|-⌫--|---⌫-⌫|
paraucunem aluaist iesi fistassamler	--|-----|-⌫-------⌫-|-|---|-------|
tous leshaushomesde	---|--|---|----|-|
l et erreetc o ntaoiant to u s cho u quiesto itauenu	-⌫|-⌫---|-|-⌫-⌫--|----|--⌫-⌫|---⌫|--|----⌫-|----|
asonr egnepuisqui ls	|--|-⌫---|---|-|-⌫||
enesto itpartis	-|----⌫-|-----|
Luésqu ileure ntoilemeschi efquien	----|-|-|----⌫-|-|-|------⌫-|--|-|
so nregne estoit auenussilipr ierentto ut emsamb lequ	--⌫|----|-----|-----|-|-|--⌫-----|--⌫-|------⌫-|-|
ilse nr etorna st	-||-⌫|-⌫------⌫-|
auplu s tost quilpeu stp or sefem e	-|---⌫|---|-|-|---⌫-|-⌫-|-|---⌫|
oster de langoisse etdelde sc onf ort	----|-||-------|-|--|--⌫--⌫---⌫--|
oueleestoit	-|--|-----|
et pors ese nfans rapelerde l eur	-|--|-⌫-|-⌫----|------|-|-⌫--|
errorcaril auoientpeor que	----|--|-|------|---|--|
si lnere paira st	|-⌫|-|--⌫-----⌫-|
hast iuementquelimalices de sesenfans	----⌫------|--|-|------|-|--|-----|
ne montepliasttantqu ilpour caichassenten	-|----------|---|-|-|----⌫----------|-|
aucuneman ieresecourset aidede smescreansquientorle	-----|---⌫---|------|-|---|--⌫|--------|--|----|-|
regne e s toien t	----|-⌫-⌫-----⌫|
Quantli roisfu entele manier e enseigniéset	----|-|---|-|-|---|------⌫|----------|-|
am onnestésdes prodomesde l eterre	--⌫--------|--|-------|-|-⌫|----|
siuisitaau	-|-----|-|
plushastiu emen tqu	---|------⌫----⌫|-|
ilpeut lessainsl iu s que	-|---|--|----|-⌫--⌫|--|
Siresauoitsaintefiéspar le presencedes	----|----|----------|--|-|-------|-||
um anitéet le senriki demoutlarg esdon set	--⌫-----|-|--⌫|-----|-|---|----⌫-|---⌫|-|
puissemist elrepairieruers sonr e gneentre lui	---|-|---|-|--------|---|--|-⌫-⌫--|----|--|
etch iausqu iauecluiestoient	-|--⌫---|--⌫|---|--|-------|
R enommeeet nouuele	-⌫------|-|------|
qui tostkeurent	--|---|------|
firentsauoir asenfansqueleur sp eres	-----|-----|-|-----|--|----⌫|-⌫---|
sonpelerinage	--|---------|
Et qu a ntils eurentura iement qu ilapro choit	-|--⌫-⌫-|-|-⌫-----|---⌫-----|-|-|----⌫----|
pl usetplussise porpenserentle que l il feroientou	--⌫-|-|---|-|-|-----------|--⌫---⌫|-|-------|-|
il i roie ntencontrelui e tli crieroi entmerchide	-|-⌫----⌫-|-------|--|-⌫|-|-------⌫--|-----|-|
cho uquilauoi entmespris ue rs luiet	---⌫|-|-|----⌫--|------|--⌫-|--|-|
uersleurme reoui l lideffenderoie n tle ntreed e	---|---|--⌫-|-|-⌫|-|------------⌫-⌫||-⌫----|-⌫|
Deces .ii.	-|--|---|
Cons aus eslurent il lepi our	----⌫--|-------|-|-|--⌫--|
et emp risentparlamonnestementdel	-|---⌫-----|--||------------|--|
dea lequie nchelorguellesauoitmisa co ntredire	---⌫-|--|-⌫|---|-----|--|----|--||--⌫-------|
aleurperel entreede sa	|---|---||-----|-|-|
L orsassambl erent	-⌫--|-------⌫----|
quanquilpeuren tau oirde gent et	-----|-|------⌫|--⌫--|-|---|-|
gar nirentles cit és	---⌫-----|--|---⌫--|
Franc hoisfurent tuit aueci axliunparforch e	-----⌫---|-----|---|---|-⌫-|-|-|--|-----⌫|
li aut re porles gra ns donsquil	-|---⌫-|--|--|---⌫-|---|-|-|
leur donnoie nt	---|-------⌫-|
Q uantileurent toutleurpooir	-⌫---|-|-----|---|---|----|
assambléde chiausde	--------|-|-----|-|
F ran cheetdeleurs	-⌫---⌫--|-|-|----|
uo isins etdetousles estrangesquil peu rentauoir	--⌫----|-|-|---|--|--------|-|-|---⌫---|----|
parproie ressaleren t e nco ntreleur pere	--|-----⌫--||------⌫|-⌫---⌫---|---|---|
etporp risent t ou t le païs p ar la ui l	-|----⌫-----|-⌫--⌫|-|----|-⌫-|-||-⌫|
qui doientqu ildeust reueniren son ro ial me	---⌫-----|-|-|----|------|-|--|--⌫---⌫-|
Q uantler oine	-⌫---|-|-⌫---|
Balteltoto iesuraiesnouuele s	------|-|-⌫--|-----|-------⌫|
dele re ue nued e	-|-|--⌫--⌫--|-⌫|
sonseig neur s en	--|----⌫---||-|
rendigracesa	----|-----||
Sei gneuretmout en	---⌫----|-|---|-|
e ut gran t ioi een son cuer nom meementpor che	-⌫-|----⌫|---⌫|-|--|---|---⌫------|--|--|
qu e l ecreoit bi en quil	-|-⌫-⌫|-----|--⌫-|-|-|
ala id e de	||-⌫--⌫|-|
Dieumetroit leregn ee npaisqu isie stoittour blés	---|------|-|----⌫|-⌫|---|--⌫|-|-⌫----|----⌫----|
Lors prismes saigers cr eaulesetlesenu oia	---|---|---⌫------|--⌫-----|-|--|---⌫--|
encontr esonseignou re tli	-------⌫|--|-------⌫|-⌫|-|
m andaparbriésparol estoute le	-⌫---|--|-----|-----⌫-|----|-|
manierecom mentsienfantsestoient de	------|---⌫---|-|-----||-------|-|
sonc onseildepartietcomme nti lau oien ta ssambl éq uanquil	--|-⌫-----|------|-|-----⌫-|-⌫|--⌫----⌫|-⌫------⌫-|-⌫----|-|
