c hic om mence	-⌫-|-⌫--⌫----|
huesdebia uuaisetmoltdautr esc heual iershaus	---|-|---⌫----|-|---||----⌫-|-⌫-----⌫---|---|
hommesqui flamencestoient etd	-----|--|------|-------|-||
autres p aisquenousne	-----|-⌫--|--|---|-|
uoussauonsmietousn ommer	---|-----|--|---|-⌫----|
ets i yfumesires iakes d	-|-⌫||-|-|----|----||
etsiy fudebourgougne oedes de chanlit e et	-|-||-|-|---------|----|-|-------⌫|-|
willamessesfrer esqui molteurentdeg ent	-------|--|----⌫-|--|---|-----|-|-⌫--|
etsien y eutd aut res	-|-|-||--||---⌫--|
asses de borgoune quenou s neuoussauons mi e	----|-|-------|--|---⌫|-|---|-----|--⌫|
t ous nommer.	-⌫--|-----||
et decha mpaigne	-|-|---⌫------|
y fulimareschiaxe t	|-|-|---------|-⌫|
ogie rsde sai nt cherunetmacair es d e s aintema nehoutet	----⌫-|-|---⌫-|-----|-|------⌫-|-⌫|-⌫----|--⌫-----|-|
clar embau sde	----⌫-----⌫|-|
chapeset miles	-----|-|----|
de braib antichis testoien t decham paingne .	-|-----⌫--|-----⌫|-------⌫|-|----⌫------||
apressiyfulicaste lainsdecouchi	----|-||-|-|-----⌫----|-|-----|
robers derouschoimahiex	-----|-|-------|-----|
d em onmorenchiquimoltyfu	-⌫|-⌫---------|--|---||-|
preudonsraous dauno iet w autie rsses fix	-------|----||----⌫|-|-⌫-----⌫-|--|--|
et gi llesdaunoipier re sde	-|--⌫---||----|----⌫--⌫|-|
bra i c hellipreuscheualiers	---⌫-⌫-⌫--|-|----|---------|
et li hardis et	-|-|-----|-|
liuai llans et hues sesfreresetchis tque	-|---⌫----|-|---|--|-----|-|----⌫|--|
ieuous nommeic hiesto ient	-|---|----|--⌫-|----⌫---|
defrancheetdeb iauuesis .	-|------|-|-|-⌫-------||
etdecha rtain	-|-|---⌫----|
yfugeruaisedu	|-|-------|-|
her uiuss esfix eto li uiersde rochefortet pie rres	---⌫---|-⌫-|--|-|-⌫--⌫----|-|--------|-|---⌫---|
dal o set paiens dorlie nsp ier res	|--⌫-⌫|-|-----||-----⌫-|-⌫---⌫--|
boi nscheua liersetpreuset qui molt	---⌫-|-----⌫----|-|----|-|--|---|
deproe sc hes	-|----⌫--⌫--|
etthum as uns clersses freres qui	-|----⌫-|--|----|--|-----|--|
cano ineses t oitdamien s	----⌫---|--⌫-⌫--||-----⌫|
manessie rs de lille enfl an dre sma hiexde monmorenchi licastelains	--------⌫-|-|----|-|--⌫--⌫---⌫|--⌫---|-|----------|-|---------|
decorbie .	-|-----||
eutil tantda utrescheualiers	--|-|---||-⌫----|---------|
defrancheet deflan dresetde champaing n eetde	-|------|-|-|----⌫---|-|-|---------⌫-⌫|-|-|
bourgoune et d	--------|-||
autre s pa is	-----⌫|--⌫-|
que nousneuo u ssauonsmietousnommer	--|---|-|--⌫-⌫|-----|--|---|-----|
deuaillans cheuali erset d e pr eus	-|-------|-------⌫--|-|-⌫|--⌫--|
etchiausque n ousa uons chinomme ́s li pl usrike	-|-----|--|-⌫--|-⌫---|--|-----⌫-|-|--⌫-|---|
h omme e stoient et	-⌫---|-⌫------|-|
sip orto ientbaniereetsinauons	-|-⌫----⌫---|------|-|-||----|
n o usmie tous chiausnommésquiportoient banieres.	-⌫-⌫-|--|---|-----|------|--|--------|-------||
etdech iaxquiplus yfisentdeproesc hese t	-|-|--⌫--|--|---||-----|-|------⌫--|-⌫|
depo ures uoussa uonsnous	-|--⌫---|---|--⌫---|---|
nommerunepart iepierresdebraiechelchefuchis	-----|--|----⌫-|------|-|--------|--|-|---|
de p oureset derikes quiplus yfist	-|-⌫----|-|-|----|--|---||---|
depr oesches	-|--⌫------|
ethues se sfreres eta ndriex	-|---|--⌫|-----|-|-⌫-----|
dedureboiseet mesires pier res damiens	-|--------|-|-|----|----⌫--||-----|
lip reuset libia ux et mahiexde monmorenchiet	-|-⌫---|-|-|---⌫-|-|-----|-|----------|-|
mahieusdewauslai ncortetbauduinsde biauueoir	------|-|-------⌫----|-|-------|-|--------|
et henris li freresle	-|-----|-|-----|-|
cont ede flandres	----⌫|-|-------|
e t iakesdaue snes c hefurentch ildesriques	-⌫|----||---⌫---|-⌫-|-----|--⌫-|--|-----|
hommesq uiplusy fisentdarmes.	-----|-⌫-|---||-----||----||
et despour esber n a rs darieet bernars	-|--|----⌫-|---⌫-⌫-⌫-||---|-|------|
de soubrengi enwist assesd eheemont e ts esfreres gillebe rsde	-|---------⌫-|----⌫----|-⌫|------|-⌫|-⌫-|-----|-------⌫-|-|
uimewale sd e friuseshuesdebiauuais robe rs	---|----⌫|-⌫|------|---|-|-------|----⌫-|
dero ns cho i alars makereausnicholes de ma lliguis de	-|--⌫--⌫---⌫|----|--------|-------|-|--⌫--|---|-|
manc hic ortbauduins dehamelaincort	----⌫---⌫--|-------|-|-----------|
w il lam esdembre uilealeaumesdecl ar i en	-⌫--⌫---⌫-||-----⌫---|-------|-|--⌫--⌫|-|
aminoisli clers q u imoltyfupreus	------|-|----|-⌫-⌫|---||-|----|
et moltyfistde	-|---||---|-|
hardement etdep roesches	--------|-|-|-⌫-------|
aleaumesde sainswilleramesdef ontaines	-------|-|----|---------|-|-⌫-------|
et chia usquenousauons	-|----⌫-|--|---|----|
i chinommé sche fur entchilquiplusyfisentd	-⌫--|------⌫|--|---⌫--|---|--|---||-----||
arm eset deproesche s	---⌫-|-|-|--------⌫|
etmolt d aut reboinege n ta	-|---||---⌫-|----|--⌫-⌫||
cheualet apietantdemilliers queno usn	-----|-||--|---|-|-------|--|--⌫-||
en sa uon slenombre	-|--⌫---⌫|-|-----|
a pres sasamblere nttout liconte etliha ut	-⌫---||---------⌫-|---|-|----|-|-|--⌫-|
baronquicr o isiéesto ient	----|--|--⌫-⌫----|----⌫---|
simande rent tou sl eshaush o mmes quicroisiéestoient et	-|-----⌫---|---⌫|-⌫-|---|-⌫-⌫---|--|-------|-------|-|
qu ant iluinrenttoutensa mb lesi	--⌫--|-|------|---|----⌫--⌫-|-|
prisentcon seilentr	------|---⌫---|---|
quiilferoientchieuetaine	--|-|-------|----------|
dauset s eigneurtant quilprise nt	|--|-|-⌫------|---|-|-|-----⌫-|
thiebaut dechampaingnes ienfi se nt	-------|-|----------|-⌫|-|--⌫--⌫-|
lorsegne ur	--|-----⌫-|
pu issi sedepa rtirentsi	--⌫-|-|-|----⌫------|-|
sena lac as cunsensonpais.	|-|-⌫-|-⌫--⌫---|-|--|---||
nedemour amiegrammentapres	-|------⌫|--|-------|----|
queli cuensthiebaus morutsi laissayy li uresas	--|-|----|-------|----|-|-----|-|--⌫---|-|
croisiéset achelui qui	--------|-||-----|--|
apres luiseroit kieuetaineet	----|--|-----|---------|-|
siresdescr oi siése ta metre	----|--|--⌫--⌫----|-⌫||----|
laouli crois ié	-|-|-|-----⌫--|
uaur oi ent.	----⌫--⌫--||
et simorutaussi maistresfouke s d ont che	-|-|----|----|-------|-----⌫|-⌫--|--|
fu moltgran sdamagesauec	-|---|----⌫|------|---|
lescroisiés.	--|--------||
quantlicro isie ́ seurent quelicuensdechampain gnel e ur	----|-|---⌫----⌫|------|--|-|----|-|--------⌫--|-⌫-⌫-|
si resfu morsetmaistresfou kesausi	--⌫--|-|---|-|-------|---⌫--|---|
si en fure ntmolt	-|-|----⌫-|---|
dol entetmoltcorchié etmoltesm ari	---⌫--|-|---|-------|-|---|---⌫--|
etsasa nlerentaun iou r	-||---⌫------||-|---⌫|
t out asessonset prisentconselen tr	-⌫--||------|-|------|-----|--⌫-|
ausqueilferoie ntetde	--|--|-|------⌫-|-|-|
qui ilferoientk ieu etaine et seign eur daustan tqu	--|-|-------|-⌫---⌫-----|-|-----⌫--||--|---⌫|-|
ilsacorderententr ausqu ilenuoie roient pou r	-||---------|---|--|-|-|------⌫-----|---⌫|
lemarchisdemonferrasenlombardie .	-|------|-|--------|-|--------||
ilienuoieren t	-||---------⌫|
mo lt boinsmessages	--⌫-|----|-------|
limessagesapareilliere ntsis enal erentau	-|------||------------⌫-|-||-|--⌫----|-|
qua nti luinrentla sipar lerent aumarchis et	---⌫-|-⌫|------|-|-|---⌫-----|-|------|-|
disentquelibaron de	-----|--|-|----|-|
f ranch ele salu oient etqu illiman doie ntet	-⌫-----⌫|-|----⌫----|-|-|-|-|---⌫----⌫-|-|
prioientpourdieu queil uenistpa rleraa us	-------|---|---|--|-|-----|--⌫---||-⌫-|
a unior quilli	|-|--|-|-|-|
nommere n t.	-------⌫-⌫||
qua nt lim a r chis oiche	---⌫-|-|-⌫-⌫-⌫---|-|--|
si semerueilla molt de chouque	-|-|--------|---|-|---|--|
libaron defranc hel auoie ntmandé	-|----|-|-----⌫-||-----⌫-|-----|
sirespo ndias messages	-|-----⌫--|-|-------|
quil sen cons ei lleroit	-|-||-|----⌫--⌫------|
etle nd emain leur la iroit	-||-⌫--⌫----|---|--⌫----|
sauoi rquil enuaurroit faire	-----⌫|-|-|-|-------|----|
etfistmolt	-|---|---|
festedesmessages.	----|--|-------||
quantc he uint len demainsi	----|-⌫-|---||--⌫-----|-|
leu rdi st limarchisqu iliroi t	---⌫|--⌫-|-|------|-|-|----⌫|
parlera ausasessons	-----||--||------|
comm eil l iauoientnommé .	----⌫|-|-⌫|------|-----||
messa geprisent congie	-----⌫-|------|-----|
reuin rent	-----⌫---|
etlimarc hi sleur offride sescheu axetde	-|-|----⌫--⌫|---|----|-|--|----⌫-|-|-|
sesioiausmais iln enuaurrentnul prendre.	--|-----|---|-||-|-------|--|------||
et qua nt il furentreuenusi	-|---⌫-|-|-----|-----|-|
fis en tsauoir asb aronsqu il auoie nt f ait.	---⌫--⌫|-----|-|-⌫----|-|-|-----⌫-|-⌫--||
adontatira li mar chis	----|----|-|---⌫---|
senoirre etpassa	--|----|-|----|
les mo nsdemongiuet	--|--⌫-|-|-----|-|
s enu intenfranche a sessonse t	|-|-⌫--|-|------||------|-⌫|
fistsa uoiras baronspardeua ntq uei l uenoitet	---|--⌫---|-|-----|--|----⌫-|-⌫-|-⌫|-----|-|
li bar onf urent laencon tre	-|---⌫-|-⌫----|-|-----⌫--|
luie t fisen t molt grantfes tedelui .	--|-⌫|-----⌫|---|----|---⌫-|-|--||
quantlimarchisfuuenu sa sessons s id emandaas	----|-|------|-|----⌫||------|-⌫|-⌫-----|-|
b arons pourcoiill	-⌫----|---|--|-||
auoientmandé .	------|-----||
et l i baro n	-|-⌫|----⌫|
furentco nselliéseli disen t sire	-----|--⌫-------|-|-|-----⌫|---|
nousuous a uonsmandép ourche que li	---|---|-⌫---|-----|-⌫--|--|--|-|
c uens dechampaingn enossiresq u i esto it	-⌫---|-|----------⌫|--|----|-⌫-⌫|----⌫-|
nosmaistre sest	--|-------⌫|--|
et nous uous mand ames	-|---|---|----⌫---|
pourlep luspreudo mm eque	---|-|-⌫--|------⌫--⌫|--|
no ussauiemesetquilegreigneur c onselpooit	--⌫-|-------|-|--|-|--------|-⌫----|----|
metreennostr e afaireleuoiedamedieu	----|-|-----⌫|-----|-|---|-------|
siuousproions	-|---|------|
tout pourdieuqueuoussoiésnos	---|---|---|--|---|-----|--|
siresetque	----|-|--|
u ouspour lamourdedamedieu pregniés le	-⌫--|---||----|-|-------|--------|-|
etachesparole ss	-||---|------⌫||
agenoullie re nt libarondeuant	----------⌫--⌫-|-|----|-----|
luiet s elidirentquilne s esmaiast	--|-|-⌫|-|-----|-|-|-||-------|
mieda uoir pourcachier que	--||-⌫---|----------|--|
il lidourroient	-|-|---------|
grantpartiede la u o i rq ue	----|-----|-||-⌫-⌫-⌫-⌫|-⌫-|
d e champ aingneauoi t	-⌫|-----⌫-----|----⌫|
laissié ascroisie ́s.	-------|-|-------⌫-||
l im archis dist queilsen conselleroit	-⌫|-⌫-----|---|--|-||-|-----------|
et quant ilsef u conseillié ssirespondi que	-|----|-|-|-⌫|-----------⌫|-|-------|--|
pourl amour de	---||----|-|
dieu etpour sec orreleteredout re me rpre ndr oit	---|-|---|---⌫---|-|---||---⌫-|--⌫|---⌫---⌫--|
il l e croiset li uesque sdese s sonsfu	-|-⌫|----|-|-|------⌫|-|--⌫-⌫---|-|
t antostapareilliéssilidonna	-⌫-----|-----------|-|-|----|
et qu antill	-|--⌫--|-||
eut pri sesi li d onna onde lauoir	--|---⌫-|-|-|-⌫---|-|-||----|
q ueli cuensde cham paingneauo itlaissiéas croisiés	-⌫-|-|----|-|----⌫------|---⌫-|-------|-|--------|
yymileliures.	-|---|-----||
apresquantlimarchisf ucro i ss ié s	----|----|-|------|-⌫|---⌫-⌫--⌫---⌫|
sidistasbaron sse igneur fist	-|---|-|-----⌫|--⌫-----|---|
limarchisouuaurrés uouspass erne en	-|------|-|-------|---|----⌫-|-|-|
quelt eredesarrasinsuaurés uou s	---|-⌫--|-|--------|------|---⌫|
respon dirent q ueenleter edesurie	------⌫-----|-⌫-|-|-|---⌫|-|----|
ne uoloientilmiealercariln	-|-------|-|--|---|--|-||
ipo rro ient rien s forfaire	|--⌫---⌫---|----⌫|-------|
maisilauo ientpou rposéaaler	---|-|---⌫---|---⌫-----||---|
en babyloi ne	-|-------⌫-|
ouenalexandre	-|-|--------|
tres enmi ausla ouil	---|---|--|-|-|-|
leu r peus sentpl us for fa ire	---⌫|----⌫---|--⌫-|---⌫--⌫--|
et auoie ntpourposem entdel iwer	-|-----⌫-|---------⌫--|-|-⌫---|
estoire quitous ensanle	------|--|---|------|
le sy passas t.	--⌫||------⌫||
a dontdistlimarch i squeche stoit boins consaus	-⌫---|---|-|-----⌫-⌫|--|-|-⌫----|----|------|
et queils i	-|--|-|||
aco rdoitbien et	---⌫----|---|-|
queon yenuoias tbons me s sagesdespl us	--|-||-------⌫|---|--⌫-⌫----|--|--⌫-|
sages ch eual iersdaus ouapise oua	----|--⌫----⌫---||--|-||---|-||
genu reouen uenice	----⌫-|-|-|-----|
a che stcon saus s acordenttotli	|---⌫-|---⌫---||-------|--|-|
a dontsiatirerent	-⌫---|-|--------|
leursmessages.	----|-------||
siat irerenttout	-|--⌫------|---|
q uemesires quen es	-⌫-|-|----|----⌫-|
debe tune y	-|--⌫---||
alaetlim areschaus dec hampain gne	--|-|-|-⌫--------|-|-⌫-------⌫--|
puisquantil eurentatiréle ur messag es si	---|----|-|-----|-----|--⌫-|------⌫-|-|
sedepa rtiren tlibar onetli	-|----⌫------⌫|-|---⌫-|-|-|
ma rc hi ss	--⌫--⌫--⌫||
e nson p aiset	-⌫|--|-⌫--|-|
li autreaus i c asc uns.	-|----|---⌫|-⌫---⌫--||
sikemanda on as	-|------|-|-|
messages que i l	-------|--|-⌫|
liuaissentwaissiaus a passe r yyyyche ualiersetleur	---------|--------||-----⌫|-|-|---⌫------|-|---|
harnas e t yy hommesapie	-----|-⌫|-|-----||--|
limessag e atornerent leuroirreet senale ren t	-|------⌫|---------|---|----|-||-|---⌫---⌫|
toutd roittantquil	---|-⌫---|---|-|-|
ui nr entagenures etparlerentageneuoi se t disent leur	--⌫--⌫--||------|-|--------||-------⌫|-⌫|-----|---|
ilqueroientetligeneuoisdis ent	-|--------|-|-|-------|---⌫--|
leur en porro ie nt	---|-|-----⌫--⌫-|
nientaidier .	----|-----||
il senalerentapresa	-||-|------|----||
pise etparl ere nt achiaxdepis eet	---|-|----⌫---⌫-||----|-|---⌫|-|
il leur respon diren tquil n	-|---|------⌫-----⌫|-|-||
aroientmi etant	------|--⌫|---|
deuaissausetqu	-|-------|-|-|
porroient ni en t faire.	--------|--⌫--⌫|----||
apressi s enalere nt	----|-||-|-----⌫-|
enuenicesi	-|-----|-|
parlerentaud ucdeuen iceet	--------|-|-⌫-|-|---⌫--|-|
disentche quil	-----|--|-|-|
e s toientqui sque	-⌫-⌫-----|---⌫|--|
i lqueroi entpassa ge a liwerayycheual i ers	-⌫|------⌫--|-----⌫-||----||-|------⌫-⌫--|
harnase tayyhomme sa pie.	-----|-⌫||-|-----⌫||--||
quan tliduxoiches i	----⌫|-|--|-|--|-⌫|
dist quil s	---|-|-||
enconseille ro itq ue	-|---------⌫--⌫-|-⌫-|
grant afaire sedeu oitonbie n	----|-----|-|---⌫--|-|---⌫|
conseil lier.	-------⌫---||
ado nt si manda l idux	---⌫-|-|----|-⌫|--|
tousle shausconsa u s	---|--⌫|---|-----⌫-⌫|
d eleui le etp arlaa aus et	-⌫|-|--⌫-|-|-⌫---||--|-|
l eurmon s tra chouqueonliau oitrequis.	-⌫--|---⌫-⌫--|---|--|-|-|--⌫--|-----||
etquantil se f urent biencons e illiésirespondi	-|----|-|-|-⌫----|---|----⌫-⌫-----|-|-------|
liduxa smessages et l eurd istseigne ur	-|--|-⌫|-------|-|-⌫--|-⌫--|------⌫-|
nousfe ronsuol e n tiersmarkie	---|--⌫---|---⌫-⌫-⌫----|-----|
au o u s si uous	|-⌫-⌫-⌫|-|---|
troueronsas sesnaui e	--------|--⌫--|----⌫|
po uryy mars	--⌫-|-|---|
seuou su olésparte lconuenant queg	-|---⌫|-⌫----|--|--⌫|--------|--||
iraiauec etle	---|---|-|-|
moitiequi armesporrontporter	-----|--|----|------|-----|
detouteuinice etpar	-|----|-----|-|--|
siquenous aion s lemoitie	-|--|---|----⌫|-|-----|
deto tesle sconquestesqueonyconquerra	-|--⌫--|--⌫|---------|--|-||--------|
etsi uou s	-|-|---⌫|
m esrons chinquantegalies an o c oustet	-⌫-----|---------|-----||-⌫|-⌫---|-|
d echuiourqueno usnommero nsen un	-⌫|--|---|--|--⌫-|-------⌫-|-|-|
an nous uousm esronsen quele	-|---|---|-⌫-----|-|----|
uous uaurrésueuillésen babyl o in eueulliésen	---|-------|--------|-|-----⌫-⌫--⌫|--------|-|
alexandr e.	--------⌫||
quantlimessa ge oirentchou	----|-|-----⌫-|-----|---|
s ires pondirentque	-⌫|---⌫--------|--|
che se ro ittropenyyyymars et	--|--⌫--⌫-|---|-|-|-|---|-|
tantpar lerentens an lequilfisentmarkieparyy	---|---⌫-----|---⌫--⌫-|-|-|-----|-----|--|-|
yyma r setyysique li d ux et	-|--⌫-⌫|-|-|-|--|-|-⌫-|-|
li uenicienet	-|-------|-|
iurerentatenir ch umarkie .	-------||----|--⌫|-----||
apres distli dux quiluol o it	----|---|-|--|-|-|---⌫-⌫-|
auoiryy yy marsderesacom me n chier	----|-|-|---||---||---⌫--⌫-⌫----|
etlimessagerespon dirent quil enuoiastmessag esauec aus	-|-|------|------⌫-----|-|-|-------|------⌫-|---|--|
enfrancheet il leurferoientuolentierspaier	-|------|-|-|---|-------|---------|----|
l es yyyy m ars .	-⌫-|-|-|-⌫--||
a pres lim essa ge	-⌫---|-|-⌫----⌫-|
prisen tcongiesi senreui n rent	------⌫|-----|-||-|----⌫-⌫---|
etlidux en uoi a	-|-|--|--⌫---⌫|
a uecausunhau th omme	-⌫--|--|-|---⌫|-⌫---|
de uenice pourre cheuoir le she res.	-|-----|---|--⌫------|--⌫|--⌫--||
apressi fist liduxcrie r	----|-|---|-|--|----⌫|
sen b an partot e ueniceque nusueniciens nefust	--|-⌫-|--|---⌫|-----|--|--|--------|-|---|
s i hardisq u ilalastennu le markaandiseainsaidaissent	-⌫|-----|-⌫|-|----|-|--⌫-|----------|---|---------|
toutafaire lena uie et	---||----|-|--⌫--|-|
il sifise nt .	-|-|----⌫-||
sicom menchierentleplusr i kenauie	-|---⌫----------|-|---|-⌫-⌫-|----|
queonquesfust	--|-----|---|
quan tli m essag euinre nt enfranc he	----⌫|-|-⌫-----⌫|-----⌫-|-|-----⌫-|
sifisentsauoir qu il	-|-----|-----|-|-|
estoient uenu.	-------|---||
pu issimanda on tous lesbaronscroisiés	--⌫-|-|----|-|---|--|-----|--------|
quiluen iss entt otacorbie.	-|-|---⌫---⌫--|-⌫-||-----||
etquantilyf ur entuenutout	-|----|-||-⌫--⌫--|---|---|
ensa n lesidise ntli	----⌫-⌫-|-|----⌫-|-|
messagechou quilauo ien ttr o uué.	------|---|-|-|---⌫---⌫|--⌫-⌫---||
qu an t li bar o nloir entsien	--⌫--⌫|-|---⌫-⌫||---⌫--|-|-|
furen tm oltlieetmoltloerent chou q u	-----⌫|-⌫--|--|-|---|------|---|-⌫|
ilau oient	-|--⌫----|
fa it etf isent molt	--⌫-|-|-⌫----|---|
honneur asme ssagesleducde uen iceet si	------|-|--⌫-----|-|--|-|---⌫--|-|-|
leu rbaillaondes de niersleconte	---⌫|-----|-|--|--⌫----|-|----|
d echam pa ingneet desd eniersq uemaistresfoukes	-⌫|----⌫--⌫----|-|--|-⌫-----|-⌫-|-------|-----|
auoit pou rchachiés etsii	----|---⌫---------|-|-||
mi stlique ns deflan dr esde sesdeni ers	--⌫-|-|---⌫-|-|----⌫--⌫-|-|--|----⌫--|
tant qu il en i eutyyyy mars	---|-|-|-||--|-|-|---|
silesballa	-|--|----|
o na nm essage	-⌫|-⌫|-⌫-----|
leducdeuenic ee t	-|--|-|-----⌫|-⌫|
sibailla on	-|-----|-|
boin co n duitaa ler auec lui d usquesen	---|--⌫-⌫---||-⌫--|---|--|-⌫-----|-|
puismand aon	---|----⌫|-|
touslescroisiés	---|--|--------|
partoutesles teres	--|-----|--|----|
qu ilmeu ssenta lep asquetoutaaleren	-|-|---⌫----||-|-⌫----|---||---|-|
ueniceentre lepent ecous tee t	-----|----|-|----⌫-----⌫-|-⌫|
sansnulefailleetilsifisent.	---|---|-----|-|-|-|-----||
fu pass ee siyuinrenttrestout .	-|----⌫-|-||------|-------||
e utperes etm eres	-⌫-|----|-|-⌫---|
sere urs etfreresfemmesetenfans q ui grant duel	----⌫--|-|-----|-----|-|-----|-⌫-|----|---|
fisen t dele urami s.	-----⌫|-|--⌫-|---⌫||
qua nt li pel eri nfurenttota sanlé en ueniceetil	---⌫-|-|---⌫---⌫|-----|--|-⌫-----|-|-----|-|-|
uirrent le rike n a uiequif aite	------|-|---|-⌫-⌫--|--|-⌫---|
e stoi tlesrike s nes	-⌫----⌫|--|----⌫|--|
lesgran sdromons	--|----⌫|------|
e tlesuissiersamener les c heuaxetles	-⌫|--|-------||----|--|-⌫----|-|--|
ga li essi s	--⌫--⌫-|-||
enmerueillieren t mo lt	-|-------------⌫|--⌫-|
etde legr ant	-|-|-|--⌫--|
riq uecheq ue ilt rouerent enle u il e.	---⌫----|-⌫-|-|-⌫-------|-|-|-⌫--⌫||
quantiluirr en tqu	----|-|----⌫--⌫|-|
il nesepo o ient mietout	-|-|-|--⌫-⌫---|--|---|
her begi e ren leuil e	---⌫----⌫-⌫|-|-|---⌫|
sisec onsellier ente ntra u s quil s	-|-|-⌫---------⌫--|-⌫--|-⌫-⌫|-|-||
iroien t logierenl isle	------⌫|-----|-||---|
saint nichol aiqui to teestoit enclose demer quiestoit	----|------⌫-|--|--⌫-|-----|------|-|--|--|-----|
auneliwedeuenice .	|--|---|-|-----||
l as en aler entl ipe leri netdrechierent	-⌫||-|----⌫--|-⌫|--⌫----⌫|-|----------|
leur tent ese tselogierent	---|----⌫-|-⌫|-|--------|
quilpeurent.	-|-|------||
quantliduxdeueniceuit quetotlip e lerin	----|-|--|-|-----|--|--|--|-|-⌫-⌫----|
furentuenusi manda	-----|---|-|----|
t ouschiaus	-⌫--|-----|
dese ter rede	-|-|---⌫-|-|
etquanti lfurent tout	-|----|-⌫|-----|---|
