oi ezsei gnordex	--⌫-|---⌫---|--|
q uisu izzbacheler	-⌫-|--⌫|-|-------|
si requitantpa restes	--⌫-|--|---|--⌫|----|
ettantuoseste straueilliez etpe nez	-|---|--|----⌫|----------|-|--⌫--|
de nuiz ueillier	-|---|-------|
etdeiorzieuner	-|-|---|-----|
se n azzris gité	|-⌫||-|--|----|
n iesd itlicue nsto t ce l essiez ester	-⌫--|-⌫-|-|---⌫-|--⌫|-|-⌫-----|----|
isnelementalezauost re	---------|---||----⌫-|
et siuosf aitesg ent ementconraer	-|-|--|-⌫----|-⌫---⌫----|------|
et geiraialooysparler	-|-|---||----|-----|
di stber transiresicom	--⌫-|---⌫---|---|-|--|
uos comman dez	--|------⌫--|
isn elementrepaireason ho s tel	---⌫------|------||--|--⌫-⌫--|
l i cuensxm f umoltgentix etber	-⌫|----|-|-⌫|---|-----|-|--|
trusqu aupale s	-----|-|----⌫|
ne seu oltarester	-|-|-⌫--|------|
a piede scentsoz loliuierr amé	|--|--⌫----|--||------|-⌫---|
puis enmontatot lemarbrindegre	---|-|----|--|-|------|----|
partel uertualeplanchiepas sé	--|--|----||-|-------|---⌫--|
rompentleshuesesdel	------|--|-----|--|
cor doansoller	---⌫---|-----|
qui nen fuste sfraez	--||-|---|-⌫-----|
uoitlel irois encontresest leuez	---|-|-⌫|---|-------||--|----|
puisli adit xm quarseez	---|-||--|-|---|---|
nonfera i siredit xm l e	--|----⌫|---|--|-|-⌫|
meszzpetituorraiauosparl er	--|-|----|-----||--|----⌫-|
distlooyssi comuos comman dez	---|----|-|--|--|------⌫--|
mienescientbiensauezescout e r	---|------|---|----|------⌫-⌫|
loo y sfrered it xm le ber	---⌫-⌫|----|-⌫-|-|-|--|
mo ltt aiseruipa rnuitde	--⌫-||-|----|--⌫|---|-|
de ueuesfamesdenfanzdesheriter	-|----|----||-----|---------|
mesparmes armest	--|--|--|----||
ai se rui c o mmeber	-|--⌫--|-⌫-⌫--|--|
si t a if or ni maintfo rt es torchampel	|||-⌫|-⌫--⌫-|----|--⌫-|--⌫--|------|
dont ge ai	---|-|-|
m orzmaint	-⌫--|----|
gentil bacheler	-----|-------|
dontlepechi e m enestel co rs	---|-|-----⌫||-|--|-|--⌫-|
quiqueilfussent silesotdexformé	-----|-|------|-|--|-|--|-----|
de xpe nstdesame s s i	--⌫|--⌫--|--|---⌫|-⌫|
lem epard onez	-|-⌫|----⌫---|
si re xmdis tloo ysleber	--⌫-|-|---⌫|---⌫-|-|--|
paruozmercizzzpetit mesosfrez	--|--|-----|-|----|-|------|
irayuerssi reuenr a estez	--|----|-|------⌫|----|
zzdecez iorzmorraz zd e	-|-|--|---|----|-⌫|-⌫|
terre uosen uorraidoner	----|--|-|-----|----|
etlamoillierseprendrelauole z	-|-|-------|-|------|-|----⌫|
otle xma pou n estforsenez	-|-|-||--||--|-------|
dexdis tli cuens	--|---⌫|-|----|
qui en croiz	--|-|----|
comlo ngueatenteapoure bacheler	--|--⌫---|-----||----|-------|
qu i naqueprendrene autruique	--⌫|||--|------|-|-----|--|
mon aufe rrant mestuetaprouender	--|----⌫----||-----|---------|
enc or n e	---⌫-|-⌫|
endoiet rouer	-|---|-⌫----|
dexcomgrant u alliestuet a ual er	--|--|----|-⌫-|-|-----|-⌫---⌫-|
etag r antmon t li estuetamonter	-||-⌫-⌫--|---⌫|-|-----|------|
qui dautruimortatentlarichete	--||-----|---|----|-|------|
d exdi st xmcomcialongue atent e	-⌫-|--⌫-|-|--|-||-----|-----⌫|
abachelerquiestdem a iouente	|-------|--|--|-|-⌫|------|
n aqu e doner ne asonh ues	||--⌫|----|-||--|-⌫--|
queprendre	--|------|
mon auf errantmestu etliure rprouen de	--|---⌫-----||----⌫-|-----⌫|------⌫-|
encornesaioule grain en	----|-|--|-|-|----|-|
d oiprendre	-⌫-|------|
cu ide turoisque	--⌫--|-|---|--|
ge nemedem e nte	-|-|-|---⌫-⌫--|
loo yssire	---⌫-|---|
d it xm li fers	-⌫-|-|-|---|
ia metenissen tmipera losang ier	-|-|--------⌫|-|--||------⌫--|
biena zzanque	---||-|-|--|
t eusselessié	|----|------|
qu edepolicemesontuenulibries	--⌫|-|-----|-|---|---|-|----|
quemetra mistli riches	--|-|---⌫---|-|-----|
roisgai fier	---|---⌫---|
quedesaterrem edorroitzzquart ier	--|-|-|----|-⌫|------|-|-----⌫--|
a uecsafilletotel unemoitie	-⌫--|-|----|---||--|-----|
l e ro ide f rance pe usseguerr oier	-⌫|--⌫|-|-⌫----|--⌫---|-----⌫---|
otleliroislesenscuide changier	-|-|-|---|-|---|----|-------|
dist texparoles que	---|--|------|--|
bien deus t lessier	---|----⌫|------|
parcecommencelim ausa	--|-|-------|-|-⌫--||
e ng r e ignier	-⌫--⌫-⌫-⌫-----|
li maltalanzentr	-|--------|---|
enfor cier	-----⌫---|
s irexmdistliroislooys	-⌫--|-|---|-|---|----|
ilnanul home entrestot	-|||--|---|-|------|
g aif i ern e	-⌫---⌫-⌫-|-⌫|
autre ne li r oisdapolis	----|-|-|-⌫--||-----|
qui demeshome s os ast zzs eulten ir	--|-|--|----⌫|--⌫--|-|-⌫--|---⌫-|
trusqua zzan qui ln en	-----||-|-|-|-⌫||-|
fustmortoupris	---|---|-|---|
laterreforsc h a c i ezenessi l	-|----|---|-⌫-⌫-⌫-⌫-⌫-|-|----⌫|
licuenscomgesuimalbailliz	-|----|--|-|--|---------|
qua ntdedem ande som esiciconqui s	---⌫-|-|---⌫---|---⌫-|--|------⌫|
seuosserfmesdon t	-|--|---|--|---⌫|
gentillm e snieditx mle ber	------|-⌫-⌫---|--|-⌫|-|--|
isnel ement enalezalostel	-----⌫----|-|---|||----|
etsiuosfet esgent ementco nraer	-|-|--|---⌫-|----⌫----|--⌫----|
et le hernoissor l es somierstr os ser	-|-|------|--|-⌫-|------|--⌫--⌫--|
parmaltalen tm	--|--------⌫||
estuetde corttorner	-----|-|---|-----|
quan tpor uiande	----⌫|--|-----|
somes auroi re mes	----|-|--|--⌫--|
do ntpuet i l	--⌫-|---|-⌫|
direqueila	---|--|-||
tot troué	--|-----|
etcil responent si	-|--|--------|-|
comcom mandez	--|---⌫-----|
sorzz foieres txm montez	--|-|----|--⌫|-|-----|
sor larcdaubor	--||--||----|
sestzzpou ac outez	|--|-|--|--⌫----|
queilauoitap ort éde berser	--|-|----|--⌫---⌫-|-|-----|
partelue rtu que	--|--|--⌫--|--|
parmiest froez	----|--|----|
qu elestr oncons enuolent tru squastrez	--⌫|--|--⌫-----|-|-----|---⌫--|-|---|
litro n co nch i entauroideuant	-|---⌫-⌫--⌫|--⌫-⌫--|-|--|-----|
degrantoutraige commencaaparler	-|----|-------|-------||-----|
uers looysquar s erui l o tassez	---|----|---|-⌫---||-⌫|----|
se ruice serontiareprou é	--⌫----|-----|-|------⌫-|
l esgran zbatailleset li estorcham pel	-⌫-|----⌫|--------|-|-|----|----⌫--|
looyss i re di t xmle ber	----|-⌫-⌫-|--⌫|-|-|--|
te m enbredelgrant e s torchamp el	-|-⌫----|--|----|-⌫-⌫--|-----⌫-|
quege tefispardesoz rom e es prez	--|-|-|--|--|----|---⌫|-|---|
la comba tiuerscorsolt	-|-----⌫-|---|------|
leplusforthomedelacrestien te	-|---|---|---|-|-|--------⌫-|
pa iennismequelen peusttro uer	--⌫-------|--|--|----|---⌫--|
deson brantnu medonazzcop	-|--|----|-|-|---|-|--|
des orleh eaume queoi aorgeme ́	---⌫-|-|-⌫----|--|-||-|----⌫|
que le crista lenfistiusauale r	--|-|------⌫|-|---|--|-----⌫|
deu antlenesmec o palenasel	---⌫--|-|--|-|-⌫-⌫-|-|----|
tr esque snarillesm e f is tson	--⌫---|-⌫|-------|-⌫|-⌫--⌫|--|
brantcole r	----|----⌫|
yy mains le mes tutreleuer	-|----|-||--⌫--|------|
gra ntf u l aboce qui f uauren o er	---⌫-|-⌫|-⌫|---|--|-⌫|-|---⌫-⌫-|
malsoit delmirequilem e dut	--|---|--|---|--|-|-⌫|--|
ap elentxmau cortnes	--⌫----|-|-|---|--|
g r ant honte enai quan t	-⌫-⌫--|----|-|-|----⌫|
uie nge ntre mespers	---⌫-|-⌫---|--|---|
et u ers le roie nnostreseignore	-|-⌫--|-|--|-⌫|-----|-------|
et daheaitq ui	-|---|--|-⌫-|
onceno t espie	--|-|-⌫|----|
heaum en esc u	-----⌫||---⌫|
n epale froi	-⌫|----⌫---|
sonbrantdaciero lep ontconqueste	--|----||----||-|-⌫--|--------|
loo ys roisditxm	---⌫-|---|--|-|
droiz empereresia	----|--------|-|
fustesuosfil zx m	-----|--|---⌫|-⌫|
aume illorroi	-|--⌫----|--|
quionquesportastarme s	--|-----|------|----⌫|
etauplu sfieretauplus iust isabl e	-|-|---⌫|---|-|-|---|----⌫-----⌫|
r o isquarte membredunefiere bata ille	-⌫-⌫-|---|-|-----||--|----|----⌫---|
que ge te fisaugue	--|-|-|--|-|--|
depierrelate	-|---------|
prisdago b er tqui uos	---|----⌫-⌫--⌫|--|--|
iertd emorab le	---|-⌫------⌫-|
ueezle uosa cesgran zpeausd e martre	---|-|--||--|----⌫|----|-⌫|-----|
sille deffent	|-|-|------|
bienen doiauoirblasme	---|-|--|----|-----|
aprescelui uo s	----|----|--⌫|
en fis geu neau tre	-|--|-|-⌫-|--⌫--|
quan txmuolt	----⌫|-|---|
ia de uos roi	-|-|--|--|
etla co ronefusus	-|-|--⌫---|-|--|
lautel estable	|----|------|
tufusa terre lo nc tens enton estag e	-|--||----|--⌫-|---|-|--|-----⌫|
xmle uirentqu eneua loi es gaire	-|-|-----|--⌫|-|--⌫---⌫-|----|
f ereenuo loien tclerc	-⌫--|-|--⌫-----⌫|----|
outefeissent	-|-|-------|
enaucun leu cha n o i ne	-|----|--|---⌫-⌫-⌫-⌫-|
quant el moustiermar ie magdalaine	----|-|-------|---⌫-|---------|
ethernei sporsonrichelignage	-|------⌫|--|--|----|------|
uolt la coronepardeuersluiatrere	---|-|-----|--|-----|--|-----|
quant ge leui debe lnem en fu	----|-|-|-|-|--⌫|-||-|-|
ge lid onaiune	-|-|-⌫---|--|
cole el arge	----⌫|-⌫---|
que tot enue rslabat i sor l emarbre	--|--|----⌫-||----⌫|--|-⌫|-----|
haizenfuide sonr ichelignage	---|-|--|-|--|-⌫---|------|
passai auantsi comla cor t	-----|----|-|--|-|---⌫|
leuirent etli	-|-----|-|-|
un etliautre	-|-|-|----|
et l apostoile e t tuit	-||--------|-⌫|---|
lipatriarche	-|---------|
prislacoroneso rle chiefl	---|-|-----|--⌫|-|----||
enportastes	-|--------|
de cestseruise ne uo s	-|---|------|-|--⌫|
membreilgaires	-----|-|-----|
s anz moidepar tistesuozterr es	-⌫--|--|-----⌫-----|--|----⌫-|
looyssire ditxml iprouz	----|---|--|-|-⌫|----|
dont net e membreducuuertorgueillous	---|-|-⌫|-----|-|-----|----------|
q ui deffierte u int	-⌫-|------|-|-⌫--|
cientacort	-|-|-|---|
n as d r oitenfrancece	|-|-⌫-⌫--|-|-----|-|
d istiloia nt toz	-⌫--|-|---⌫-|--|
entonemperere neuszzseul	-|--|-------||--|-|---|
d roize mpereresquideist one	-⌫---|-⌫-------|--|----||-|
quantme membra de naturelseignor	----|-|-----|-|------|------|
pa ssaiauantt antfisplus que estol t	--⌫---|----|-⌫--|--|---|--|-----⌫|
loaia zzpe lc om felon	---||-|--⌫|-⌫-|----|
puisfuteleheurequegenoi	---|-|---|----|--||-|-|
quantreper aide saintmich e l d e l	----|-----⌫-|-|----|----⌫-⌫|-⌫-⌫|
etiencontraixmle uielle ros	-||--------|-|-|---|-|--|
icil iertperes au no rmant orguei llous	---|---|----|-|--⌫----|------⌫----|
i l enotyy	-⌫|-|-|-|
et genen oi quedo s	-|-||-|-|--|--⌫|
e spe e fisque cheualeros	-⌫---⌫|--|--|---------|
a mon nu brant en	|--|-|----|-|
ocisy y d eslor	---|-⌫|-⌫-|--|
uoiant lo reuz	-----|--⌫|--|
ab at ilor s eignor	--⌫--⌫|--|-⌫-----|
gelte rendia paris	-||-|----||----|
mortpardedenztagranttor	---|--|-----|-|----|--|
decel seruiceneuosme mbreilprou	-|--|------|-|--|--⌫---|-|---|
qu a ntuos sanzmoid esterresf aitesdon	--⌫-⌫-|--|---|--|-⌫-|-----|-⌫----|--|
roisquarteme mbredel a lem a ntguion	---|---|-|--⌫---|-||-⌫---⌫-⌫-|----|
sai ntpere a u	---⌫-|---|-⌫|
chala n iatoixmetborgueignon	-----⌫-⌫-|--|-|-|----------|
iostai alui quelui r en tmain tb aron	-----||--|--||--⌫-⌫--⌫|----⌫|-⌫---|
parmilecors limisleconfenon	----|-|---|-|--|-|-------|
gita i leel toiu rese l mengiere ntpo is son	----⌫|-|-|----⌫-|-||--------⌫-|--⌫--⌫--|
d ecelechosemetenisseab ricon	-⌫|---|----|-|------||-⌫----|
quantge enuing amo n hoste guion	----|-|-|---||--⌫|----|----|
enu oia parmer enzzdromon	---⌫--|--|--|-|-|-----|
roi sq uarteme mbre de	---⌫|-⌫--|-|--⌫---|-|
lagran t osto ton	-|----⌫|--|-⌫--|
estoien txmetbor goignon	-------⌫|-|-|---⌫------|
et loheren c et flamencetfrison	-|-------⌫|-|------|-|-----|
par su s monieuen apres monbardon	--|--⌫|-----|--⌫----|--------|
aromequ end itenpre noiro n	|---|-|-|-⌫-|-|--|-----⌫|
mesc orsmeismesten diton paueillon	--|-⌫--|------|---⌫-|--|--------|
puis teserui dericheuenoison	---|-|----|-|----|-------|
quantcefu chosequ etueusmengié	----|-|-|----|--⌫|-|--|------|
ge uingencontrepor querrelecong ie	-|---|-------|--|-----|-|----⌫-|
dona s degreetuolentier s	----⌫|-|--|-|---------⌫|
ettuc uidas	-|-|-⌫----|
que mala sse couchier	--||---⌫--|-------|
dedenz mon	-----|--|
trefpormoncorsaesier	---|--|--|---|-----|
g efis monteryyyycheual iers	-⌫|--|-----|-|-|------⌫---|
derriers ton tre f teuingeschaugai tier	-------|--|---⌫|-|---|---------⌫---|
en zzbruil letde pi ns et de lor ie rs	-|-|-----⌫--|-|--⌫-|-|-|---⌫--⌫-|
ilueq uesfisles	-----⌫--|--|--|
barons enbu sc hier	-----|----⌫--⌫---|
de ceus deromenetedaignas gaitier	-|---|-|---|-|-|------|------|
montéestoient pl us deyymillier	-----|-------|--⌫-|-|-|------|
deuanttontrefsenuinrentporlanci er	-----|--|---||-|------|--|-----⌫-|
tesl azderompreetto nt reftrebuchier	--|-⌫-|-------|-|--⌫|-⌫--|---------|
tesnapestrere esp andreton mengie r	--|----|----|---⌫----|--|------⌫|
ton seneschaluiprendreetton	--|--------|-|------|-|--|
tref e n autre te n	---|-⌫|----||-⌫|
fuioies apie	------||--|
enlagr antpressecomche tifliemier	-|-|--⌫--|-----|--|---⌫--|------|
ahaute uoizformentescriiez	|----|---|------|-------|
bertran xmcauenez sim	------|-|-|----|-||
lorsoi d euos	---|-|-⌫|--|
dansrois moltgrantpitie	---|---|---|----|----|
la ious t ai g eayyenforci é	-|----⌫-⌫-|-⌫||-|-------⌫-|
ets i conquisauous deche ualiers	-|-⌫|------||---|-|---⌫------|
plus dey yas	---|-|-⌫|-|
au ferranz destr iers	--⌫------|-----⌫---|
delezz zmarbre	----|-⌫|-----|
uilorseig norbes sié	-|--|----⌫--|---⌫---|
bienleconnu i	---|-|-----⌫|
aubonheaumeuergié	-|--|-----|------|
alesc harbocl e	||---⌫-------⌫|
quiluisoi te lnasel	--|------⌫|-⌫|----|
tel lid onai	--|-|-⌫---|
demontranc hant espi e	-|--|-----⌫---|----⌫|
quelab atisus	--||--⌫--|--|
lecol d e l destrier	-|--|-⌫-⌫|-------|
merci criaporce eno i	----|---|--|-|-|-⌫|
be rnemoci setu xm	--⌫|-||--|-|-|-|
menai leuosonc ni	----|-|--|--|||
otde laié	-|--⌫----|
enc ore enasde	---⌫--|-|-|-|
romeme strefie	---|--⌫---|--|
tuesor richeetgesui	-|-|-|----|-|-|--|
seruiuosai te nulech ief	----|--|-|--⌫-|-|--⌫--|
n ia iconqu is	||-⌫|-----⌫-|
uaillis santzzxxm	-------⌫---|-|--|
en cortmapel astcheua lier	-|---||----⌫--|-----⌫---|
looyssirexma respo n du	----|---|-||-----⌫-⌫-|
tant taiserui quele	---||-|----|--|-|
poilaic hanu	---|-|-⌫---|
niaiconquisuai l li ssantzzfestu	||-|------|---⌫-⌫--⌫----|-|----|
tacor tenfu ssemielzuestu	-|---⌫|-|--⌫--|----|----|
enc ornesai quel	---⌫-|-|--|---|
parttornemonhuis	---|----|--|---|
looyssir e	----|---⌫|
qu estuose nsdeuenuz	-|--|-|--⌫-|------|
lenso lo itdire	--|--⌫--⌫-|---|
queg e stoieuo z druz	--||-⌫----|--⌫|---|
et cheua uc hoielesb onscheuaus	-|-----⌫--⌫---|--|-⌫--|------|
etuosseru oie pa rchans etpa r	-|--|----⌫--|--⌫|----|-|--⌫|
ma ldaheaitqu ionqu esmielzen	--⌫----|--|--⌫|----⌫-|----|-|
nequizzcloen otenson esc u	-|--|-|--|-|-|-|--|---⌫|
sedautru ilan cene	-||-----⌫|---⌫-|-|
fup armalf eru	-|-⌫-|--|-⌫--|
yyyyai tuéde faus turs	-|-|-|---|-|---|---|
me sparceluiquim aintenciel lasus	--⌫|--|----|--|-⌫---|-|---|-|--|
getorneraile uermeil de lescu	-|-------|-|------|-||---|
ferep orro ique neneremesuo	---|-⌫----⌫|--||-|--|--|-|
dexditxmq uissis	--|--|-|-⌫|----|
deuirgegente	-|----|----|
porcai ocistan te	--||-|---|---⌫-|
bele iouente	---|------|
neporqu aif ettantem eredolante	-|--|-|-|-⌫-|----|-⌫--|------|
pechi emesontremes eluent re	-----⌫|-|---|----|-|----⌫-|
tantaiser u i ces tmauues roi defran ce	---|-|---⌫-⌫|---⌫|-----|--|-|----⌫-|
ni a conquisuai ll a nt zzferde lance	|||------|---⌫--⌫-⌫-|-|--|-|----|
sire xm ditlooyslebe r	---|-|--|----|-|--⌫|
p or celap ostrequen quiert en no ironpre	-⌫-|--|--⌫----|-|-|-----|-|--⌫---|--|
encoraigeyy de uozpers	----|-|-|-|-|--|---|
ge nai nepramis ne	-||-|-|-----|-|
etdit xmdanrois	-|--|-|--|---|
sontmi een lac restiente	---|--⌫|-|-|-⌫--------|
ni aforsuosq ui	|||---|--|-⌫-|
estescoroné	----|------|
p arde susuosne menquieriaua nter	-⌫-|--⌫--|--|-||-|----|-|--⌫---|
o rprenez cels	-⌫|-----|---|
queuosaueznomez	--|--|---|----|
totzzazzlesmenezence lpre	--|-||-|--|----|-|--⌫|--|
sorles cheuau s garnizetconr a ez	--|--|------⌫|-----|-|----⌫-⌫-|
setantet plus	-|---|-|---|
neu os ai deuiez	-|-⌫-|-|-----|
iamara u rairiens detesheritez	-|--|-⌫-⌫--|----|-|--|------|
etuosmeismessealeri	-|--|------|-|---||
otle lirois se stuersluiencline z	-|-|-|---||-⌫-|---|--|-------⌫|
au redrecier	-|--------|
lenaares onné	|-||----⌫----|
si rexmdi tl ooyslifrans	--⌫-|-|--⌫|-⌫---|-|----|
oruoi gebien plainsesdemautalant	-|--|-|---|-----|-|-|--------|
u o irdi txmsi	-⌫-⌫-|--⌫|-|-|
furent miparent	-----|-|-----|
ein siuetd	---⌫-|--||
omequ isertamale gent	--|--⌫|---||---|---|
quan til plus fetni	----⌫|-|---|--|||
gaaigne neant	------|----|
eincoisenuet	------|-|--|
totadesenpirant	--|---|-------|
s irexm dit looysli	-⌫--|-|--|----|-|
oruoigebien mautalent auezmolt	-|--|-|---|--------|---|---|
uoir ditxmsorentmiancessor	---|--|-||----|-|-------|
einsiuetdo mequisert	----|--||-⌫-|--|---|
mauuesseigno r	-----|------⌫|
quantp l us la lieue siigaai gne pou	----|-⌫-⌫-||-⌫----|-||----⌫--|--|
sirexm looysli	---|-|----|-|
garde ́m auez etseruipara mor	-----⌫||---|-|----|--|-⌫--|
plu sq uenus hom qui soit dedenzm a	---⌫|-⌫-|--|--|--|---|-----|-⌫|
u eneza uant ge uosdorrai bea u don	-⌫---|-⌫---|-|--|-----|---⌫|--|
prenezlate rre au	-----|-|--⌫--|-|
preucontef oucon	---|----|-⌫----|
seruir onttoiyyyy compaignon	------⌫--|--|-|-|---------|
n on f eraisire xmli respont	-⌫-|-⌫---|---|-|-|------|
d elgenti llco nteyye nf anz	-⌫-|-----⌫-|--⌫--|-|-⌫--⌫--|
rem es sont	---⌫-|---|
qui b ienl a te rre m ain tenir enporr ont	--|-⌫--|-⌫|--⌫--|-⌫---⌫----|-|----⌫--|
autremedonequede ces tui	----|-|---|--|-|---⌫--|
sirexm ditlirois l ooys	---|-|--|-|---|-⌫---|
quantcesteterreneuolez	----|----|----|-|----|
neasenfanz	-|-|-----|
ne lauoleztolir	-|-|----|----|
p renezla t erreaub org oig	-⌫----|-|-⌫---|-|-⌫---⌫--|
e t sa marra st re	-⌫|-|-----⌫--⌫-|
herm ensantde t ori	----⌫-----|-|-⌫--|
la meil l orfeme	-|----⌫-⌫-|---|
quionc beu stdeu in	--|--|---⌫-|-|-⌫-|
seruironttoi yyyyferuesti	--------|--|-|-|-------|
nonferaisirexmrespon di	--|----|---|-|------⌫-|
delgenti ll conte si est	--|-----⌫-|----|-|--|
remes zzfil	----|-|--|
roberz a nonmesm olt	-----||--|--|-⌫--|
pares t petiz	--|--⌫|----|
e ncor neset nechaucierne	-⌫---|-|--|-|-------|-|
sede x cedone quil	-|--⌫|-|---|-|-|
s oi t granz etf orniz	-⌫--⌫|----|-|-⌫----|
tote la t errepo rra bienmaintenir	---|-|-⌫---|--⌫--|---|--------|
sirexm d it looy s	---|-|-⌫-|----⌫|
quant c ele nfantneueus desh eritier	----|-⌫-|-⌫----|-|---|----⌫------|
pren dontlaterreaumarchis bere ngier	---|---|-|----|-|------|----⌫----|
morze s tl icuenssi prenez sa	---|-⌫-⌫|-⌫|----|-|-----|-|
seruirontto iyyyycheualier	--------|--⌫|-|-|--------|
ac leresarmese tasco ranz destrier	|-⌫----|----|-⌫|-|--⌫---|-------|
deltuennauron tu ai llissan t	--|---||-----⌫|-⌫--⌫-------⌫|
xm l e senscuide cha ngier	-|-⌫|---|----|---⌫----|
a sa uo izclerecommenca ah uichier	|-|--⌫-|----|-------||-⌫------|
entendezm oinobilecheualier	-------|-⌫-|-----|--------|
de looysmonseignor droit urier	-|----|--|------|-----⌫----|
co mm e est g arizquilesertuolanti ers	--⌫--⌫|--|-⌫---|--|-|---|-------⌫--|
or uosdira i del marchis	-|--|----⌫|--|------|
b erengier	-⌫-------|
enze l u alde riuiers	--|-⌫|-⌫-|-|------|
uncont eocistdontnes e potpaie r	-|----⌫|----|---|-|-⌫|--|----⌫|
am on loone nuintco rant	|-⌫--⌫---|-⌫|---|--⌫---|
iluecchailempereor au pie	----|---||-------|-|--|
etlemp erer es lerecutuo lan ti ers	-||---⌫----⌫-|-|----|--⌫---⌫--⌫--|
donal iterreet	---|-⌫|----|-|
c ortoisemoill i er	-⌫------|-----⌫-⌫-|
c ille ser ui longuementsanz dangie r	-⌫-|-|---⌫-|---------|---|------⌫|
pu isauint chos el iroissecombatie	--⌫-|----|----⌫|-⌫|---|-|-------|
asxmsastursetas	-|--|-|---|-|-|
li est orsfumerueilleuse tpleniers	-|---⌫--|-|----------|-⌫|-------|
l irois de so n	-⌫|---|-|--⌫|
ia ni montast a	-|||------||
nul ior des or	--|--|---⌫-|
soruintli marchi s	------|-|------⌫|
beran gier	-----⌫---|
sonseignor	--|------|
u iten pressema lmener	-⌫-|-|-----|--⌫|----|
celepartui nt cor ant	---|---|--⌫-|---⌫--|
tot esl essié	--|---⌫-----|
ensonpoingti nt le	-|--|----|--⌫-|-|
brantforb idacier	----|----⌫||----|
lafisttelpa rccommeaschiens lesangler	-|---|--|--⌫-|----|-|-----|-|------|
puisde scendi de	---|--⌫-----|-|
soncorant d es trier	--|-----|-⌫--⌫----|
po r sonsei gnorsec orreet aidier	--⌫|--|---⌫---|---⌫---|-|-----|
li roismon ta et ill i tint	-|---|---⌫-|-|-|-⌫|---|
l est r ier	|---⌫-⌫--|
si s enfoui	-||-|---|
comme c oartleurier	----|-⌫---|------|
einsir emestlimarchisberangier	----|-⌫----|-|------|--------|
la leueismes	-|-|------|
ocirreet detranchier	-----|-|----------|
nelipeus mes secorreneaidier	-|-|----⌫--|------|-|-----|
remesenest zz	----|-|--|-|
cortoishe ritier	------|--⌫-----|
icilanom lepetitber angier	---||--|-|----|---⌫-----|
moltpar est foxqui l enf antu eult	---|--|--|--|--||---⌫--|-⌫---|
sima i stdex qu e f elet renoez	-||-⌫-⌫-|--|--⌫|-⌫-|-|-----|
l iem pereres m eueu ltdon erson	-⌫|--⌫------|-⌫|---⌫-|---⌫-|--|
ge nenu ueillmiebie n uueillquetuit	-||-|-⌫----|--|---⌫|-----|--|---|
et u nechos e	-|-⌫-|----⌫|
