uneman ieredegentsunt	--|---⌫---|-|---|---|
n e nprendroiet eldesreson	|-⌫|--------|-⌫-|-------|
c o mmede fairetrais on	-⌫-⌫--|-|----|-----⌫-|
siuilai ne etsidesl oi al	-|-----⌫-|-|-|----⌫--⌫-|
droit sei gnor natoral	----|---⌫---|------|
cellequi futmarrie	----|--|--|-----|
danm alua isetquiuousenprie	--|-⌫----⌫-|-|--|---|-|---|
disti l merci	---|-⌫|----|
certes n usme stant uo u sen	-----|-⌫-|--⌫|---|--⌫-⌫|-|
cellen etintaliplusplai t	----|-⌫|---||-|---|----⌫|
mes g rantcouro us etgrant dehai t	--|-⌫---|-----⌫-|-|----|-----⌫|
au c uer etsipen sa	-|-⌫--|-|-|---⌫-|
sif u elleforment yree	-|-⌫|---|------|---|
lesoirq uant ellefu co uchee	-|---|-⌫---|---|-|--⌫----|
iouste leducasouspirer	-----|-|--||--------|
co mmench aet	--⌫------⌫|-|
puisa plo urer	---||---⌫---|
etliduzerrantli	-|-|--|-----|-|
de m a nde	--⌫-⌫-⌫--|
quelleauoit et	-|---|----|-|
licommande	-|-------|
que lleli diema intenant	-|-⌫--|-|--|--⌫-------|
certesf aitellei aidue lgrant	-----|-⌫--|---||-|---⌫|----|
decenque neseitnus haut	-|--|--|-|---|--|---|
quifoilipo rtene qu in on	--|--|-|--⌫--|-|--⌫|-⌫-|
mesp lusd e	--|-⌫--|-⌫|
acilqui lor traitrors	|--|--|--|--------|
et sinesenaperchoit nuz	-|-|-||-|--------|--|
par foid ame c edis tliduz	--|--|-⌫--|-⌫|---⌫|-|--|
saiporq u iu ous	--|--|-⌫-⌫|-⌫--|
mes detel chose su i	--|-|--|----|--⌫|
quaranul feu r ienamer oie	---||--|---⌫|-||----⌫--|
tr aitro rseie	--⌫-----⌫|-|-|
haezd oncfaitelleceli	---|-⌫--|---|---|---|
s euno mma	-⌫||--⌫--|
quinefinahui	--|-|---|--|
demo yp rier	-|--⌫|-⌫---|
aulonc duior	-|---|-|--|
queie li donasse mamor	--|-|-|------||---|
distquil amontlonc te mps	---|-|-||---|---|--⌫--|
estéencest	----|-|---|
nonquesmesn elemosa	|-----|--|-⌫|-||--|
et iemep ensaib iauzdo uz	-|-|-|-⌫----|-⌫---|--⌫-|
tant ost que ieleuou s diroie	----⌫--|--|-|-|---⌫|-----|
croices tech ose auroie	---|---⌫-|--⌫--||----|
queil ait piecha acen	--|-|--|-----||--|
decenqu ilait aillors	-|--|-|-|--|------|
nouuel e encor	------⌫|----|
siuousrequier en	-|---|------|-|
queuostrehonory g ard e zsi	--|-----|----||-⌫---⌫-⌫|-|
ni soie zeschar ni	||----⌫|------⌫-|
li duz aquisemblemontgrief	-|--||--|-----|---|----|
lidistie nuendraib iena chie f	-|---||-⌫|------|-⌫--||----⌫|
etm ontpar tenssi c omie	-|-⌫--|--|---|-|-⌫-|-|
amaleisefucelle n uit	|------|-|----|-⌫--|
li du znonques dormirnepout	-|--⌫||-----|-----|-|---|
por lech eualier quil amout	--|-|--⌫------|-|-|----|
tout enu it ueilla	----⌫|--⌫-|-----|
lendemain par	|-------|--|
matin leua	----|---|
etfistceluia soi uen ir	-|---|----||--|---⌫-|
que sa famel ifait	--|-|---|-⌫|---|
s a nzce nquederienaitm es pris	-⌫-⌫-|--⌫|--|-|---|--|-⌫--⌫---|
maintenantla a reson mis	---------||||----|--|
soula sou l	---||---⌫|
queil nioutquelzy y	--|-|||--|-|--|-⌫|
certesdi stilceestgr antdeulz	-----|--⌫-|-|-|--|--⌫--|----|
quantprouescheauez etbiaute	----|--------|---|-|-----|
a en uousloiaut e	|-|---|------⌫|
s i menauezmontdecheu	-⌫||-|---|---|-----|
q uei aimo ntlonguem ent creu	-⌫-||-|--⌫-|-------⌫--|---|
queuous fus siezdebonnefoi	--|---|---⌫---|-|----|--|
l oia usat outle	-⌫---⌫-||-⌫--|-|
mainsuersmoi	----|---|--|
quei aiuer suos	--||-|---⌫|--|
uous estmeue	---|--|---|
tel penseesi	--|-----|-|
traitresse	---------|
que proieau ez la du chesse	--|----|--⌫-|-|--⌫-----|
etreq uisede	-|---⌫---|-|
siauezfait granttricherie	-|---|---|----|--------|
queplusuilain en estuet que rre	--|---|------⌫||-----|---⌫--|
yss ie ́se r ranthors dema	---⌫--⌫-|-⌫-⌫---|---|-|-|
queieuo u s enc ongie	--|-|--⌫-⌫|-|-⌫----|
sanzdout e	---|----⌫|
ue etdesfent toute	-|-|------|----|
quen i entreznetantne quant	--|||-----|-|---|-|----|
qu ese ie desor en auant	--⌫|-|-|--|-|-|----|
uous ypouo iefaireprendre	---||----⌫-|----|------|
sachie z ieuous feroiependre	------⌫|-|---|-----|-----|
quant lecheua liercenentent	----|-|-----⌫---|--|-----|
di reet de	|-⌫-|-|-|
maltalentesprent	--------|------|
sique tuit litr emb le li membre	-|--|---|-|--⌫---⌫-|-|-----|
quantdesami e lir e membre	----|-||---⌫|-|-⌫-⌫-----|
soit queil	---|--|-|
nepuetioir	-|---|---|
senes tp aral er	-||--⌫|-⌫-|--⌫-|
et p arreparierelpais	-|-⌫-|-------|-|---|
doncli duz ueutquil	---|-|--|---|-|-|
soit es ch is	---|--⌫--⌫-|
etdau tr epart	-||--⌫--⌫|---|
l i faitmontmal	-⌫|---|---|--|
cenquetraitr our	--|--|------⌫--|
letient sessires eta tort	-|----|--|----|-||---|
si estensigrant desc o nfort	-|--|-|-|----|----⌫-⌫----|
quamortsetie nteta tr ai	-||---|-|---⌫-|-||--⌫-|
siredistilpo r	---|---|-|--⌫|
necreezo nque sn epensez	-|----|-⌫----⌫|-⌫|-----|
queonquesfus se siosez	--|-----|---⌫-|-|---|
ce nque memet ez	--⌫|--|-|---⌫-|
atortsoure	|---|----|
quepensasse nei orneoure	--|-------|-|-⌫-|-|---|
ma ufaitqui l euousad it	--⌫|---|--|-⌫|---||-⌫-|
neu ousyuaut riens	-|-⌫--||---|----|
f aitl idu zque	-⌫--|-⌫|--⌫|--|
po intnennia	--⌫--||-||||
e llemeismecontém	-⌫--|-----|-----||
en quelmaniereeten	-|---|------|-|-|
q uelguise	-⌫--|----|
uousla u ezproieetrequise	---||-⌫-⌫-|----|-|------|
commet r aitreenuious	----|-⌫-⌫----|------|
ettelchose deistes uous	-|--|----|------|---|
puetestredoncellese	---|----|---|---|-|
ma dameditcenq ueli	-|---|--|--|-⌫-|-|
faitc ilquimont	---|-⌫-|--|---|
estoitm arriz	-----|-⌫----|
iuautriens	|---|----|
neuer itequ ei	-|---⌫--|--⌫||
il riens quen enfeisse	-|----|--||-|-----|
parsi que ienfu sse	--|-|--||-|--⌫--|
quedecen nia rien seu	--|-|--||||----⌫|-|
si aced istliduzparm ame	-||-|-⌫--|-|--|--||--|
aq uiilsouuint desafame	|-⌫-|-|------|-|-|---|
etquidebien de	-|----|---|-|
finsau oir	--|---⌫--|
que sa fam eliaitdituo i r	--|-|---⌫|-|--|--|--⌫-⌫|
oinusqui len	-|--|--||-|
que cilenautre	--|--|-|----|
lieu ama st	---|---⌫-|
doncd istliduzaucheualier	---|-⌫--|-|--|-|--------|
seuous m e uoulezaffier	-|---|-⌫|-----|-----|
paruostre loi alse rement	--|-----|---⌫-|--⌫-----|
queuous medirez	--|---|-|----|
u raiemen t	-⌫-------⌫|
cenqueieuous de man d erai	--|--|-|---|--⌫---⌫-⌫---|
par uo stre d it	--|--⌫---|-⌫-|
certainserai	------|----|
seuou s ariezfait	-|---⌫|----|---|
cen d onc ie sui	--|-⌫--|-|--|
ensouspech on	-|--------⌫-|
cil quim ontcouu oite	--|--|-⌫--|----⌫---|
s onsei gn o r delire	-⌫-|---⌫--⌫-⌫|-||--|
qu eil a enuers lisan zdeserte	--⌫|-||-----|-|---⌫|------|
etqui redoute	-|--|------|
teleper te	---|---⌫-|
comme deperdrelacontree	----|-|-----|-|------|
ou celleestqui	-|----|--|--|
plus li ag ree	---|-|--⌫--|
respontquetout sanz contredit	------|--|---|---|--------|
feracen queson si redit	---|--|--|--|--⌫-|--|
quide c enne se donnegar d e	--|-|-⌫-|-|-|----|---⌫-⌫|
ace n donc li duz	|--⌫|---|-|--|
sep re ntgarde	-|-⌫--⌫-|----|
de ce n nesepuet	-|--⌫|-|-|---|
queli d uzuoill edemand er	--|-|-⌫-|-----⌫|------⌫-|
derie nsforsdecelepriere	-|---⌫-|---|-|---|-----|
leseremen t entelmaniere	-|-------⌫|-|--|------|
enfi st tou tsan znulcontr edit	-|--⌫-|---⌫|---⌫|--|-----⌫---|
et l iduzmai nte nant lidit	-|-⌫|--|---⌫---⌫---|-|--|
sachiez par fineue rit e	------|--|---|--⌫---⌫|
que cen queieuousa i ame ́	--|--|--|-|---|-⌫|---⌫|
chaenarrier ede finc ue r	--|-|------⌫|-|--|-⌫--⌫|
nem ele ssecroirea nul feur	-|-⌫|--⌫--|-----||--|---|
queuoust elmesfet e ttel	--|---|-⌫-|-----|-⌫|--|
commelad uce s s emecon te	----|-|-⌫---⌫-⌫-⌫|-|---⌫-|
aiezfaitse ltenisseauoir e	---|---|-||------||----⌫|
lemeles sa st cro ire	-|-|---⌫--⌫-|---⌫--|
etsi menmete n gran t do u tance	-|-||-|--|-⌫|----⌫|--⌫-⌫----|
que i e sg a rtuostre	--||-⌫--⌫-⌫-|-----|
contenance	---------|
et dec ointiseetdaut re	-|-|-⌫------|-||---⌫-|
aquoyon puetu o iermo utbie n	|---|-|---|-⌫-⌫--|--⌫-|---⌫|
queuousame zou qu ecesoit	--|---|---⌫|-|--⌫|-|---|
d a illorsne saperch oit	|-⌫-----|-||------⌫--|
nusquamezd amoisele ou	--|-|---|-⌫-------|-|
ie medout ce	-|-|---|-|
n esoitmafame	-⌫|---|-|---|
quimeditqueuouslaproie ́ s	--|-|--|--|---|-|-----⌫-⌫|
si n em puis estre desuoiés	-||-|---|----|--------|
q ue necuit que issi	-⌫-|-|---|--|---|
uoistlafeire	----||-----|
por ri en s queuous men pu issie z feire	--|--⌫--⌫|--|---||-|--⌫-----⌫|----|
seuou snemedites quaillo rs	-|---⌫|-|-|----|-|-----⌫-|
am ezentellieupar am ors	--⌫-|-|--|---|--|--⌫--|
lessié ssanznulledoute	-------⌫|---|----|----|
sa uoiren lauerite	--⌫---|-|-|-----|
et se cen faireneuoulez	-|-|--|----|-|-----|
commepariuruousenalez	----|-----|---|-|---|
hors de materr es anzdelai	---|-|-|----⌫|-⌫--|----|
cil neseitnulco nseil	--|-|---|--|--⌫----|
gieuestp ar ti s i fort	---|--|-⌫--⌫-|-⌫|---|
quelun etla utretient a	--||-|-||-⌫---|----||
et mort estsil	-|---|--||-|
s emesfaittant	-⌫|------|---|
que iltre spassele c onuenant	--|-|---⌫-----|-|-⌫-------|
da mee tas amie	--⌫-|-⌫|||---|
que il e s t seur quilla	--|-|-⌫-⌫|---|-|-|-|
enpuetapercheuoir	-|---|----------|
ne ditau ducleuoir	-|--|-|--|-|---|
pariu res estetfoimentie	-----⌫--|--|-|--|-----|
etpert lepais et	-|---|-|---|-|
mes dupais neli	--|-|---|-|-|
sesamieliremainsist	-||---|-|---------|
quesustou terien sper dre	--|--|---⌫-|----⌫|---⌫--|
cenquadei s lisouu ient	--|-|----⌫|-|----⌫---|
dela grantioieet dusoulas	-|-|----|---|-|-|-----|
quei la eu entre ses bras	--|-⌫||-|----|--|---|
sise pensesilla	-|-|----||-|-|
son mesfetla pert	--|-----|-|---|
qu a ntosoi ne	--⌫-⌫-||--|-|
lapuetme ner	-|---|--⌫--|
c ommentporrasan zliedurer	-⌫-----|----|---⌫|--|----|
siesten telpointautresi	-|--|-|--|----|------|
comlichastelains dec ousi	--|-|----------|-|-⌫---|
quiau c uer n auo itsamor non	--|-|-⌫--||---⌫-||---|--|
distenuers	---|-|---|
de s achancho n	-|-⌫|-------⌫|
par die uamor sfortm es taconsurrer	--|---⌫|----⌫|---||--⌫||--------|
du d ou zs oulaset	-|-⌫--⌫|-⌫----|-|
delacompaignie	-|-|---------|
etde ssemblansque	-|--⌫|-------|--|
mi soloit mou strer	||-----|---⌫----|
celleq ui m	----|-⌫-||
i ert damecompaigneamie	-⌫--|---|--------|---|
etquantregarts adouce cort o isie	-|----|-----|-⌫|----|----⌫-⌫---|
etles d ouzmo zq uamoysouloitp arler	-|--|-⌫--|--⌫|-⌫||--|------|-⌫----|
c o mm ent m epuet lecue ren lcorsdurer	-⌫-⌫--⌫--|-⌫|---|-|---⌫|--⌫|---|----|
enp a rtcertes t ropes tmaluai s	-|-⌫-⌫-|-----|-⌫--|--⌫|------⌫|
lecheualie r a	-|--------⌫||
telangoisse	--|-------|
etqu antilestainsi pensis	-|--⌫--|-|--|----|-----|
neseit le quelliuaut miex	-|---|-|---|-|---|---|
l eue du cuer lim onte	|--|-|---|-|-⌫---|
et li des centauallafache	-|-|---⌫---|---|-|----|
porlang oisseconlipourchasc e	--||---⌫----||-|-|---------⌫|
quant liduzentelpo intleuoit	----|-|--|-|--|--⌫--|-|---|
forme ntsouspiroit	-----⌫-|---------|
s i cui de queilyaittel chose	-⌫|---⌫-|--|-||--|--|----|
querecognoi stre ne	--|--------⌫---|-|
lo rs dist	--⌫-|---|
liduz isn elepas	-|--|---⌫-----|
b ienuoiquene uou sfiezpas	-⌫--|--|--|-|---⌫|---|--|
enmoytantcomuous deussiés	-|--|---|--|---|--------|
c u idie z uous semed eissiés	-⌫-⌫----⌫|---|-|-|-⌫-------|
uos t reconseilceleement	---⌫-⌫-|------|--------|
quel ede isse	--|-⌫|--⌫---|
a nulegen t	|---|---⌫|
ie m eleroieauant sanz faute	-|-⌫|-----|----|---|----|
trairel es	-----|-⌫-|
uneauantlautre	--|----||----|
ha por dieume r cif aitcil sire	-|--|---|--⌫-⌫-|-⌫--|--|---|
iene s aiqueiedoie dire	-|-|-⌫-|--|-|---|---|
ne qu eiepuisse deuenir	-|--⌫|-|-----|------|
mes ie uoudroiem ex	--|-|-------|-⌫-|
qu eperdrecen que	--⌫|-----|--|--|
g yp erdroie	||-⌫------|
se leuoirdituo use n auoie	-|-|---|--|--⌫-|-⌫|----|
et que ilfustde	-|--|-|---|-|
queleusser econgne u	--||----|-⌫-------⌫|
anulerienquif ustuiu ant	|---|---|--|-⌫--|---⌫--|
etdistli duzie uous greant	-|---|-|--|-|---|-----|
susle c orset l ame	--|-|-⌫--|-||--|
e ts uslamor et	-⌫|-⌫-||---|-|
queieuousdoi de	--|-|---|--|-|
uo strehommage	--⌫---|------|
queiae ntr estoutmonaage	--|-|-⌫|--⌫-----|--|---|
n enn iertacreatoren ee	|-||---||-------|-⌫-|
p armoy pa rolera con tee	-⌫-|--|--⌫---|--⌫---⌫--|
nesemblant fait grantnepetit	-|-------|---|----|-|----|
etcilen plorantlia dit	-|--|-|------|-||--|
uousdiraiissi	---|----|---|
i aim uostreniecheduuergi	|--|-----|-----|-|----|
etell emoytan t conpuetp lus	-|---⌫|--|---⌫||-|---|-⌫--|
o rmeditesdoncfait	-⌫|-|----|---|---|
puisqueuolezque uousen	------|----|--|---|-|
sau oit nusforsuou s cesteeuure	---⌫--|--|---|---⌫|----|----|
et l i cheu alierslire s p ont	-|-⌫|----⌫-----|-|--⌫-⌫-⌫--|
nenilcreature d um on t	----|-------|-⌫|-⌫--⌫|
etdistl i duzce nnauintonq ues	-|---|-⌫|--|--⌫||----|---⌫--|
c om ment y aliés uousdonq ues	-⌫--⌫---||-----|---|----⌫--|
commentsauiezlieunetens	------|-----|---|-|---|
par foi sir efaitilpar	--|--|---⌫|---|-|--|
queieuousdirai	--|-|---|----|
sanzplustaire	---|---|----|
qua nttantsauezde	---⌫-|---|----|-|
nostre asf air e	-----|---⌫---⌫|
atoutesacontees	|-----|-------|
les uen uesetlesal ees	--|---⌫--|-|--|--⌫--|
etla conuenancepremiere	-|-|---------|-------|
etdupetitchienlamaniere	-|-|----|----|-|------|
etdis tli duz ieuous requier	-|---⌫|-|--|-|---|------|
quauos tret er minepermier	-||---⌫--|-⌫--⌫---|------|
u uilliezque uost recompainssoie	-⌫------|--|----⌫-|-------|---|
o uousen ce st e	|---|-|--⌫--⌫|
ensauramaniecherien	-|----|-|-----|---|
sir edistilielewil bien	---⌫|---|-|-|-|--|---|
mesqu e ilne uous grietnian uit	--|--⌫|-|-|---|----|-|--⌫--|
ets achie z	-|-⌫-----⌫|
biengirayanu it	---||---|---⌫-|
duz ditqueilyra	--|--|--|-|--|
ain z liserasoulaset gieu	---⌫|-|---|-----|-|---|
entreulz on tdeuis élelieu	---|---|--⌫|-----⌫-|-|---|
assembleront a pie	-----------||--|
si tost comil er tanui tié	-|---|--|-|--⌫|----⌫---|
que asse zprezdileuc	--|----⌫|---||----|
quela nieche led uc mano it	--|-|-----|-|-⌫-|----⌫-|
cel e parttindrentlorchemin	---⌫|---|-------|--|-----|
tantquil so nt uen ua u iardin	---|-|-|--⌫-|---⌫|-⌫|-----|
fupasg rantpie che	-|--|-⌫---|---⌫--|
q ua ntiluit le chenets a nieche	-⌫--⌫-|-|--|-|-----|-⌫|-----|
quisenuintau	--||-|---|-|
bou t duuerger	---⌫|-|-----|
trouua lec heu alier	-----|-|-⌫---⌫----|
q ui grantioi efaitauc henet	-⌫-|----|---⌫|---|-|-⌫----|
lauo iesemet	-|--⌫-|-|--|
l eche ual ieretleduclait	-⌫|---⌫---⌫--|-|-|--|---|
etl iduc apres	-|-⌫|--|----|
pr ez de lachamb r e	--⌫-|-|-|-----⌫-⌫|
e tnes emuet	-⌫|-|-⌫|---|
esc onseaumiex quilpuet	---⌫---|-|---|-|-|---|
d u n arbrem ont	|-⌫|----|-⌫--|
grant etmo u tlarge	----|-|--⌫-⌫|----|
couuertcommedunetarge	------|----||--|----|
e tmo utenten talu i	-⌫|--⌫-|-----⌫||--⌫|
uiten lachambreentre r	--|-|-|------|-----⌫|
le cheual ier	-|------⌫--|
etui tissir	-|--⌫|----|
saniecheetcontreli uen ir	-|-----|-|-----|-|---⌫-|
e ncontrelie n zzprael	-⌫------|-|-⌫|-|----|
et ui t et oitelapel	-|--⌫|-|-|--|---|
com me ellelifist	---⌫-|---|-|---|
bouchee t de bras	-----|-⌫|-|---|
si tostcomme ellele choisi	-|---|----|---|-|-----|
de l achamb reuerslisailli	-|-⌫|-----⌫-|---|-|-----|
s esbiauzbrasl	-⌫-|----|---||
etplu s deyyfois lebe sa	-|---⌫|-|-|---|-|--⌫-|
et li distmadame et m amie	-|-|---|-|---|-||---|
mon cors ma druerie	--|---|-|------|
mesperance	|--------|
ettoutquanq ueiaim	-|---|-----⌫-||--|
sachie z que	------⌫|--|
iaieugrantfain	|-|-|----|---|
t restouziorspuisque ne uou s	-⌫------|---|------|-|---⌫|
ouecuou ssicomorsui	---|---⌫|-|--|-|--|
cell e redi tmondouz seign o r	----⌫|----⌫|--|---|-----⌫-⌫|
mondouz ami	--|---|--|
madoucea mor	-|----|-⌫--|
onquespuis ne	-----|---|-|
fuiourneeure	-|---|-|---|
ennuiastla de meure	-------|-|--⌫----|
meso reder iensn e me	--|-⌫-|-|-⌫---|-⌫|-|
quanti aio	----||-||
moycen que ie uoil	--|--|--|-|---|
quantcie stessainzet	----|-|-⌫---|----|-|
quel itresbienuenuzso i ez	--|-⌫|---|---|----|--⌫-⌫-|
et ci lditetuousbien t rouuee	-|--⌫|--|-|---|---|-⌫-----|
pr e s dileuces toit	--⌫-⌫||----|--⌫---|
saniechea lauoizc onnoissoit	-|-----||-|---|-⌫---------|
montbienet alaco n t enance	---|---|-||-|--⌫-⌫-⌫-----|
quo renestilho rs	-|-⌫|-|--|-|--⌫-|
dedoutance	-|-------|
etmontliplaistqu	-|---|-|-----|-|
oruoitil b ien	-|---|-|-⌫--|
q ue cilneliamesfetrien	-⌫-|--|-|-||-----|---|
de cendon cila	-|--|---⌫|-||
illecsestensiques tenu	----||--|-------|---|
toute la nuit end ementers	----|-|---|---⌫-------|
dameetlicheualiers	---|-|-|---------|
cha mb re en s emblefurent	---⌫--⌫-|--⌫-⌫----|-----|
etsanzdormiren	-|---|-----|-|
z z lit iurent	-⌫|--|-----|
atelioieet	|--|---|-|
a teldeport	|--|-----|
resonque lere cort	----|--|-|--⌫---|
nenusnele ntendenen	-|--|-||-⌫-----||-|
seilnat e ntaauoir	-|-||--⌫-⌫-||----|
commeamorsa finsama ns	----|----||---|---⌫-|
quan t lor painelor	----⌫|--|----|--|
gerredonne	---------|
ettiexbien s	-|---|----⌫|
n auient pas	|-----|--|
quece est io iesanz	--|-|--|--⌫-|---|
et soulas et enuoiseu re	-|-----|-|--------⌫-|
mestant yaquepetitdure	--|---|||--|----|---|
cest au isa la mant quil	|--|--⌫-|||-⌫---|--||
ia ta ntlonguesne	-|--⌫-|------|-|
tantlipl aist lauiequ	---|-|--⌫---|-|--|-|
q u eseiourdeuenoi tsemaine	-⌫-⌫|-|---|-------⌫|------|
etsem aine deuenoi tmo is	-|---⌫---|-------⌫|--⌫-|
etm ois zz an	-|-⌫--|-|-|
etyyanz yy et y y	-|-|--|-|-|-⌫|
quantuendr oitaudeffinement	----|-----⌫--|-|----------|
cel e nui tainzqu ilaiorn ast	---⌫|---⌫|-----|-|-----⌫--|
si uoudroit ilqueil	-|-------|-|--|-|
et enitelpenseeestoit	-|-|---|-----|-----|
celiqu eli duzatendoit	---|--⌫|-|--|-------|
quer ainzi o uralerl	---|---|-⌫-⌫-|---||
en couuient	-|-------|
luial uisui ent	--|||--|--⌫--|
lauit li duzaucongieprendre	-|--|-|--|-|-----|------|
ba i sierdon neretbaisierrendre	--⌫-⌫---|---⌫--|-|------|-----|
etoiformentsouspirer	-|-|------|--------|
etau congieprendreplorer	-|-|-----|------|-----|
plorémaintelerme	-----|-----|----|
o irep rendre let e rme	-⌫|---⌫-----|-|-⌫-⌫--|
