sal emonfeitun petit	---⌫---|---|-|----|
aestrehau t	|----|---⌫|
ne reinec onte	-|--|-|-⌫---|
nisenperererien nem onte	--|-------|---|-|-⌫---|
q uantplushaut peie	-⌫---|---|---|---|
ha utmonte	--⌫-|----|
de p lusha utchie te tmor t	-|-⌫--|--⌫-|----⌫|-⌫|---⌫|
tant golosentetta ntenb racent	---|-------|-|--⌫-|---⌫-----|
etsiretrouentcequil chac ent	-|-|--------|-|-|-|----⌫--|
e trebeiu ent celquilbra scent	-⌫|------⌫--|--|-|-|---⌫----|
aue irtolentaueir a unent	---⌫-|-----|----|-⌫----|
depo ure gentqui engeunent	-|--⌫--|---|--|-|------|
auslecheorsquideu	--|-------|--|--|
ran cu nent	---⌫--⌫---|
ledepart ente tlec omunent	-|------⌫--|-⌫|-|-⌫------|
qua ntontgranttensoramassé	---⌫-|--|----|-----|------|
etcaetla sesuntlass é	-|-|-|-|-|---|----⌫-|
aurontmioz co npassé	-----|---|--⌫------|
tortunbeste nctost ertp ass é	---|-|-----⌫-|---|--|-⌫---⌫-|
de for ca geont	-|---⌫--⌫-|--|
si enau rontmalueisses olte	-|-|--⌫---|--------|-⌫---|
demalueis lai	-|------|--|
ma lu eis euolte	--⌫--⌫---⌫|----|
de malmolin	-|--|----|
uientmalemolte	----|---|----|
sigerretorn eou	-|----|----⌫|-|
totenre portentbreibencon	--|-|--⌫------|---------|
demalma rchiemaleuencon	-|--|--⌫----|---|-----|
moutgrantt encon	---|----|-⌫----|
quant i l ontpeizoutreue	----|-⌫|--|---|-|----|
peisnennor entde une	---||-----⌫--|--⌫|-|
ta ntreigne	--⌫-|-----|
partot coueistisse	-----|----------|
nusn etientmesfer meiustise	--|-⌫|----|--|---⌫-|------|
quantiustisede iuent	----|------|--⌫----|
les bonsleuer etessaucier	--|---|----|-|--------|
l esm austondreet est aucier	-⌫-|-⌫--|-----|-|---⌫-----|
don cuontparbois	---⌫|---|--|---|
ce rsen chaucier	--⌫-|--⌫-------|
est grantdescouenue	--|----|---------|
quereisennoint	--|---|------|
q ui deitaiue	-⌫-|---|---|
a tan te s	|---⌫--⌫|
genz seitbestemue	---|---|----|--|
etcorneaprese tc riee t hue	-|----|----|-⌫|-⌫--|-⌫|--|
ienedipasq ueal afeiee	-|-|-|--|-⌫-||-⌫|----|
neli sei tlachace otreiee	-|-|---⌫|-|----|------|
domnat ures eit recriee	--|---⌫--|-⌫--|------|
qui de lanoise	--|-|-|----|
estenn oie	--|---⌫--|
cilquilem ont	--|--|-|-⌫--|
deitiustisier	---|--------|
nedeitmie tant	-|---|--|---|
bosche ier	------⌫--|
sessersid eitbien enueier	--|---||-⌫--|---|------|
etil pentdou pople	-|-|---|--|----|
ac hascu nd eit rendrereisson	|-⌫-----⌫|-⌫--|-----|------|
etdreittenir sanzacheison	-|----|----|---|-------|
etd eitestre	-|-⌫--|----|
entote seison	-|---|-----|
apelable s a sa	--------⌫||-|
uer srein e deitri enauengier	---⌫|--|-⌫|---|--⌫-|-------|
lose ngeornemencon gier	----⌫----|-|------⌫---|
quip rodome seit b la stengie r	--|-⌫-----|---|-⌫--⌫-------⌫|
quant ilseueultde	----|-|-|----|-|
luiuengier	--|------|
hommesdisantqui	--|--------|--|
malditmalfeit	--|--|--|---|
etmaldesire	-|--|-----|
etlisaiues	-|-|-----|
a trenpe sire	-⌫-----||--|
poure uengance estdemesdire	----|-------|--|-|------|
r eisdeitam er peiz etconcorde	-⌫--|---|--⌫-|---|-|-------|
iugemento misericorde	-------||----------|
celu ideitpendreo	----⌫|---|-----||
unec o rd e	--|-⌫-⌫--⌫|
q uiporchace guer re o u	-⌫-|-------|----⌫-|-⌫|
ne i t pasenuied	|-⌫-⌫|--|----||
a u truiterre	-⌫-⌫---|----|
esga ugrinier ne ator tconquerre	----⌫-------|-||---⌫|--------|
quar pori tantmou t souent	---|--|-⌫---|---⌫|-----|
essil leetgent	-----⌫-|-|---|
salemondit	------|--|
quechose estu e ine	--|----|--|-⌫-⌫--|
agouernertro pgran tdemaine	|-------|---⌫|----⌫|------|
quiplus enn ap lusenapeine	--|---|--||-⌫--|-||----|
pl u sent r auaillel a sem a ine	--⌫-⌫|-|-⌫-⌫------|-⌫|---⌫-⌫--|
caetlaueitsouentse torne	-|-|-|---|-----|-|----|
nere posenene seiorn e	-|--⌫---|-|-|------⌫|
cha steau sabatchasteausaorne	---⌫-----⌫|---|--------|----|
souenthaitiéplus so uent mor ne	-----|------|---|--⌫---|---⌫-|
la uei tpasnerepose	-|---⌫|--|-|-----|
q ue sama rchene seitdesc los e	-⌫-|-|--⌫---|-|---|----⌫---⌫|
n endi smengiernebeiuren ose	|----⌫|------|-|-----||--|
porueninet p orma le	--|----|-|-⌫-|--⌫-|
quan tr eis estplu sen	----⌫|-⌫--|--|---⌫|-|
sa grantgloire	-|----|-----|
partotuitoir e	-----|------⌫|
sidonque saueitenmimo i re	-|------⌫|----|-|----⌫-⌫-|
d alixandr ele prozle stoire	|--------⌫|-|---||-⌫-----|
conila laparle	--|-|-⌫-|--|-|
c onmentl ocis trentlicuurert	-⌫-----||----⌫----|-|------|
ilfut peis descouert	-|--|---|--------|
idoncsau reittot ena per t	----|---⌫---|--|-|-⌫---⌫|
queuautlesecle a queireuert	--|---|-|----||---|-----|
quip l usi a etpl usi	--|-⌫-⌫-|||-|--⌫-||
lamortason guic hetouert	-|---||--|----⌫--|----|
saignore eta qui	-------|-||--|
mortalp or queisenueise	-----|-⌫-|---||------|
aquetire ne aqueiteise	|--|---|-||---|----|
silnaterr eporque i	|-|||----⌫|--|---⌫|
a so nio renaurasa teise	|--⌫|--⌫|-|---|-|----|
plus nenaura	---||-|---|
moltestfousqui	---|--|---|--|
pora ueir triche	--|-⌫---|-----|
nequiautruiterr e	-|--|-----|----⌫|
escob iche	-----⌫---|
sarmep ertetc hace la br iche	|---|-⌫--|-|-⌫---|-|--⌫---|
salem onditquipas ne	-----⌫-|--|--|--|-|
re me nbre escordem ent	--⌫--⌫---|--------⌫--|
tafinettoncon mence ment	-|--|-|--|---⌫-----⌫---|
ne pe cheras	-|--⌫-----|
paslon guement	--|---⌫------|
chascunseitbiensill e nremenbre	------|---|---||-||-⌫|-------|
qu ilidona etuie et menbre	--⌫|-|---|-|--|-|-----|
et coment homea utruiengendre	-|-----|---|-⌫----|-------|
etconmeilne s t petitet tendre	-|----|-|--⌫-⌫|----|-|-----|
a tra uailnesta peined u re	|---⌫---|---||----|-⌫-⌫-|
s iluit longue s	|-|--|------⌫|
main tm al e ndure	----⌫|-⌫-|-⌫----|
peislestotmorirparesture	---||----|----|--|-----|
quar teltreurequ iertnature	---|--|---|----⌫---|-----|
conplusbelle estsacharettendre	--|---|----|--|-|---|-|-----|
plustostporistetdeuientcend re	---|---|-----|-|------|----⌫-|
qui ce uodreit	--|-|------|
iane deureit rien a tort prendre	-|-|------|---||---|------|
etce reditecclesiaste	-|-|----|----------|
deitestrene z etchaste	---|----|--⌫|-|-----|
poplescortagranthaste	-----|---||----|----|
a uice dom	|---|--|
liprin cetaste	-|----⌫-|----|
releet esxanpl eest	---|-|-------⌫|--|
duxet reis	--|-|---|
a uscheualie rse tausborzeis	-⌫-|--------⌫-|-⌫|--|------|
ui lainset aus	--⌫----|-|--|
lo rsfeizlorsunt preceiz e t	--⌫-|---|--|---|------|-⌫|
bann edeuietantnechastie	--|-⌫|----|---|-|------|
con medeprinceboneuie	---⌫-|-|-----|---|--|
et la mal e les maus	-|-|---⌫|--|---|
afeiret oteuilanie	|----|-⌫--|------|
quantaucunle uilainmenace	----|----|-|-----|-----|
quilafe tquiadeneplace	-|-||--⌫|--||-|-|----|
dex a iefetil enpl ac e	--|-⌫-|--|-|-|--⌫--⌫|
iene fa zqueli	-|-|--⌫|--|-|
r eisnefac e	-⌫--|-|---⌫|
r e isnestpassonainzest	-⌫-⌫-||--|--|--|---|--|
silporse i	|-|--|--⌫|
uitsine est proz	--|-|-|--|---|
o b eirdeit le scon m ons uo z	-⌫-⌫--|---|--⌫|---⌫-⌫--|--⌫|
seil suntbon	-|-|---|--|
tota lor moz	--||--|--|
sidebienuou taueirreison	-|-|---|---⌫|----|-----|
atoz serasin iert passon	|--|---|-||---|--|--|
oblierdeittotleso nbon	-----|---|--|-|--⌫|--|
po rle comuns	--⌫|-|----||
il estprodom	-|--|-----|
porcedei t	--|-|---⌫|
chierte nirsoncors	----|--⌫--|--|---|
et aun erles gran z	-|---⌫-|--|----⌫|
quantmestie rert qu	----|------⌫|--|-|
il aitillors	-|--|-----|
q uil peise m estreen zethor s	-⌫|-|----|-⌫----|--⌫|-|---⌫|
rien aint sainte iglise	---|---|-----|-----|
et celsquifun t	-|---|--|---⌫|
ledeu s eruise	-|--|-⌫-----|
clersetmoines demei nteg u ise	----|-|-----|-|---⌫--|-⌫-⌫--|
etnoneinneir eetnoneingrise	-|-----|----⌫|-|-----|----|
et si cler s funtdelsdesennor	-|-|----⌫|---||--|-------|
nemaluestie grantnemeno r	-|--------|----|-|----⌫|
si lordeit lenpo rterennor	-|--|---|--|--⌫---|----|
n onporel smespor	-⌫-|--|--⌫|--|--|
lorsaignor	--|------|
l i reisquisesta cedonez	-⌫|---|--||--||-|----|
et acefe ireabandonez	-||-|--⌫--|--------|
ses pechie z aura pardonez	--|------⌫|---|-------|
ete iertod e reisc oro ne z	-|-⌫---||-⌫|---|-⌫---⌫--⌫|
etihesucristquitot gouerne	-|----|----|--|--|------|
etterreet mer etcielsuperne	-|----|-|--|-|---|------|
coruei re lusern e	--|---⌫-|------⌫|
e tliotreit	-⌫|-|-----|
uitameter ne	----|----⌫-|
cil clercquiseuentl	--|----|--|-----||
e scriture	-⌫-------|
questiugement	-|--|-------|
estdreiture	--|-------|
q uele ialte que	-⌫-|--⌫----|--|
el mesdedec ure	-|--|-|-|-⌫--|
pasteie m e ntetbeuerie	-------⌫-⌫-⌫-|-|------|
de duit par	--⌫---|--|
tuit s unt tornéatricherie	---|-⌫--|-----||--------|
m olt enauruntm aleescherie	-⌫--|-|-----|-⌫--|-------|
ilpr eessentmolt abstinence	-|--⌫------|---|---------|
mesau treest molt	--|--⌫--|--|---|
lo rconcienc e	--⌫|--------⌫|
autre debeiure tence	----|-|-----|----|
etausnoalzestlorcons enc e	-|--|----|--|--|----⌫---⌫|
il esconmigent auoltire	-|----------|-------|
mes ili chie nttot	--|-||----⌫-|--|
honisei tmest re	---|---⌫|----⌫-|
qui e np ere	--|-⌫--⌫--|
etcelsquil	-|---|-|-|
d eit aprendre e t deire	-⌫--|-------|-⌫|----|
hadex conestuilainlipre stre	-|--|--|--|-----|-|---⌫---|
l eumet sameindes tre	-⌫-|--|-|---|---⌫--|
quid eitennointe	--|-⌫--|-------|
e t sacreeestre	-⌫|-----|----|
o q ue baillelerei celest re	|-⌫-|-----|-|--|------⌫-|
lor soig nanzpeisse nt	--|----⌫---|------⌫-|
lormestriz	--|------|
del patremoineau	--|---------|-|
effanconezpe tiz	---------|--⌫--|
d e strenteus qu iln ont	-⌫-⌫|-------|-|-||--|
la p ouregentfunt toz raiendre	-|-⌫---|---|---|--|-------|
quartropsouentlesenoipleindre	---|---|-----|--|-|-|-------|
nelorpou t riennu le remeindre	-|--|---⌫|---|--⌫-|--------|
o ilpeisen t par p leitateindre	|-|------⌫|--|-⌫---|-------|
bienseuentpre ndre et	---|-----|---⌫---|-|
quepar toltequepar loier	--|--|----|--|--|----|
cil les borses	--|--|-----|
pl us menantdeitennoier	--⌫-|-----|---|------|
celui co nmande ntaudiable	----|--⌫------⌫-|-|-----|
qui de usureri e naroable	--|-|----|--⌫-⌫|------|
meslemiu zqui	--|-|---⌫|--|
ui entalortable	--⌫--||--|----|
lor uientde monteet	--|----|-|----|-|
il escummigentpoureetriche	-|----------|----|-|----|
quilautrui	--||-----|
atorte sc obiche	|---|-⌫--⌫-----|
mesliprestre cil me nt ci ltriche	--|-|------|--|--⌫-|--⌫|-----|
etmencongepor ueirafiche	-|-------|--|---|-----|
et dexquefeizotontonei r e	-|--|--|---||--|-----⌫-⌫|
p orqueinel tuestot	-⌫-|---|-||---|--|
len eic e st	--|-|-⌫-⌫-|
ior cr e ire	--|--⌫-⌫--|
ne clerc n e	-|----|-⌫|
moine ne proueire	----|-|-------|
arcediacr e et	---------⌫|-|
ic il sunttel biensei queien	--⌫-|---|--|---|--|-----|
pet itet limaien	---⌫-|-|-|----|
peirequelipai en	----|--|-|---⌫-|
ilenpleient	-|--------|
l a folef ame	-⌫|---|-⌫--|
don ont oimalueisefame	--|--|-|-------|---|
eladonse rai enme	-||--|-|---⌫---|
siestmeilor	-|--|-----|
quesainte iame	--|-----|---|
or ri conman dent etang ie r	--⌫-|------⌫---|-|---⌫--⌫|
desfoi eret d elsestrangier	|-|---⌫-|-||--|---------|
e t s ilr e d onen t	-⌫||-|-⌫-⌫-⌫----⌫|
sis un tq ui tesde l or	-|-⌫--⌫|-⌫--⌫--|-|-⌫-|
quant li deie natotiuré	----|-|----⌫||--|----|
oste le nseracur é	----⌫|-⌫|---|---⌫-|
cenep outmaisestr e enduré	-|-|-⌫--|---|----⌫|------|
yyso ls lontt o st aseuré	-|--⌫-||--|-⌫-⌫-|------|
cestc li e rc fetiln	---|-⌫--⌫-⌫-|--|-||
quitienthorhanetorganite	--|----|-----|-|-------|
bonestlostel	--|--||----|
oufame habite	-|---|-----|
rasteuosle p restretotquite	----|--|-|-⌫-----|--|----|
sorleuesqueest lacopemeire	--||------|--|-|---|----|
qu ia celsso f reice	--⌫||---|--⌫-⌫-|--|
quaden ahom e	-||-|||---⌫|
ne deit p leire	-|---|-⌫----|
et prentloier poriceteire	-|----|----|--|--|----|
noalzestdes iglisesuendre	----|--|--|------|-----|
nesdorras ilni	|-|----||-|||
quid e prendre	----⌫|------|
porquei uodreitm esclier c aprendre	--|---|------|-⌫-|-----⌫|-------|
siamoine nes e	-||----|-|-⌫|
ueut rendre	---|-----|
s i bo nclierc	-⌫|--⌫|-----|
est debon te smoing	--|-|--|--⌫-----|
etna den iersplus de plein po ig	-|||---⌫---|---|-|----|--⌫-|
nauramostier nepresne l oig	|---|------|-|---|-|-⌫--|
sieinzlapaumene l i oig	-|---|-|----|-|-⌫|--|
es cience niua utne leit re	--⌫-----|||--⌫-|-|----⌫-|
nebien feirenema l demestre	-|---|----|-|--⌫|-------|
sieniglisete	-|-|-----|-|
uelzmei tr e	---|---⌫--⌫|
prenteaudon erleile premeitr e	---|-|-|---⌫-|--|-|--------⌫|
liunn euolent	-|-|-⌫|-----|
m esli d eienquiest	-⌫-|-|-⌫---|--|--|
iconpas eto t o auour	|------⌫|--⌫||----|
segontlou reetseronlefour	-----||--⌫-|-|----|-|---|
a lorneuouzqui rien neualent	|--|-----|--|---|-|-----|
quienl o rlez en corestalen t	--|-|-⌫-⌫|--|--⌫--|-------⌫|
donentprou endes	-----|----⌫----|
et tr igalen t	-|--⌫------⌫|
de niersquile n	--⌫----|-|-|-⌫|
nepor haornou oilesc rire	-|--|---|||-⌫--|---⌫---|
li coui ent	-|----⌫--|
ch astierdesire	--⌫-----|-----|
eues que est	----⌫--|--|
molthau teperson n e	---|---⌫-|------⌫-⌫|
si por te m oltha utecoronne	-|---⌫-|-⌫--|--⌫--|------|
faire sabandone	----||-------|
saintechoseeste t digneet	-----|----|--|-⌫|----|-|
eu esq uedeitm oltesgarde r	--⌫---⌫-|---|-⌫--|-------⌫|
quiales arm esa	--||--|---⌫-||
ne de ureitcoa r der	-|--⌫----|---⌫-⌫--|
de dre itnisqui luodreit l arder	-|---⌫-|--|--||------|-⌫----|
apa rei liéseitdomar tire	---⌫---⌫---|---|-|---⌫---|
sest quipord e	|--|--|--|-⌫|
leueileoci re	-|----|---⌫-|
a rm es pas ne desire	-⌫--⌫-|--|-|-----|
ellesmori rreuir e	----|----⌫|-----⌫|
na ingepas tan tsonbelm en eir	|-⌫---|--|---⌫|--|--|-⌫--⌫--|
nesarente neson aueir	-|-|----|-|--|----|
quatozr aissonn e	-||--|-⌫-----|-⌫|
faceau eir	---|--⌫--|
etiuge me nta sonsaueir	-|----⌫--⌫-||--|-----|
n epre ngerienpordreitt enir	-⌫|---⌫--|---|--|----|-⌫---|
neporleialtemeinten ir	-|--|------|-------⌫-|
sideuantsei	-|-----|--|
fe tpleiuen ir	--⌫|---|---⌫-|
desol deli deit souen ir	-|--|-|-|---|-----⌫-|
qu i fut li éet futuenduz	--⌫|--|--⌫-|-|--|-----|
etfutpor nosencroizpenduz	-|--|--|--|-|----|-----|
etclofiezet	-|------|-|
etmort en futpeis d escenduz	-|---|-|--|---|-⌫-------|
ciluengeralesiugeors	--|------|--|------|
i uz et les	-⌫-|-|--|
ci ldampneralesme nteor s	--⌫|-------|--|--⌫-----⌫|
l esfa uztezl esfausconteors	-⌫-|--⌫-|--|-⌫-|---|-------|
uend reiu stis eestihesumuendr e	----⌫-|--⌫----⌫|--|-----|-----⌫|
p eraiudas	-⌫-||----|
qui lseitent e ndre	--||---|---⌫-⌫---|
qui deihesu ueltdenie rs	--|-|----|---|-----⌫-|
peisse c orutauseur	---|-|-⌫---|-|---|
p ordreitf eireaden iersetrente	-⌫-|----|-⌫---||---⌫---|-|----|
ne deitfeire n uleautre	-|---|----|-⌫--|----|
meitregrantentent e	-----|----|------⌫|
quetri che rieneconsente	--|---⌫---⌫--|-|-------|
ordenerdeitbonc liercetsag e	------|---|--|-⌫----|-|---⌫|
deb onesmors	-|-⌫---|---|
de bon aage	-|--|---|
etnédeleial mariage	-|--|-|----|------|
chau td eque lparage	----⌫|-⌫|---⌫|-----|
nedeit nusp roueire ordener	-|---|--|-⌫------|------|
se ilmostie r li ue ult	-|-|------⌫|-|--⌫--|
queil n esa chesarmoner	--|-|-⌫|--⌫--|-------|
etsa gent bien aressoner	-|-|---|---|--------|
home nepor tir a nt	---|-|--|---⌫-⌫-|
dreit iugementnautreu irant	----|-------||--|---⌫----|
m esura bles etconsi rant	-⌫-----⌫---|-|-----⌫---|
del a utruineseitd esirant	-||-⌫----|-|---|-⌫------|
q uel partquila ut deit	-⌫--|---|-|-|-⌫-|---|
preeschier	---------|
siconill a	-|--|--||
son polech ier	--|---|--⌫--|
totlesuiceslordeit tochier	--|--|----|--|---|------|
lebien loerle maluochier	-|---|---|-|--|------|
quecequilblameoboche	--|-|-|-|----||----|
qui neladeistne qu	-||-||-----|-|-|
quarqui fei t ce quil blasme et uoche	---|--|---⌫|-|-|-|-----|-|----|
asez tro ue	---|---⌫-|
se ilbiend itetilmalface	-|-|---|-⌫-|-|-|--|---|
ianeue rad eenlafac e	-|-|--⌫-|-⌫|-|-|---⌫|
neia donme n enaragrace	-|-||---||-|--|----|
quelipo plessuiural atrace	--|-|--⌫---|-----|-⌫|----|
finsuerai seit d e	---|----|---|-⌫|
et de s aparoletenant	-|-|-⌫|-----|-----|
aprodome n estauenan t	|------||--|------⌫|
desdiremeintenant	------|---------|
chas t ede corset	----⌫-⌫|-|---|-|
nenes tdreitqueci lpor te	|-|--⌫|----|--||-⌫|---⌫-|
d ie chufle s	-⌫-|------⌫|
de foleescole	-|---|-----|
porfeirerireca gentfole	--|----|---|-|---|---|
porso npo ple	--|--⌫|--⌫--|
deitieuner	---|-----|
sac ha r destr eindree t r a ncuner	-|-⌫--⌫|-----⌫-----|-⌫|-⌫-⌫-----|
nistensor ne deitauner	--|-----|-|---|----|
forsporauspo uresconmuner	---|--|--|--⌫---|-------|
si cherteto rneence lle	-|-----|--⌫--|-|--⌫--|
ouparmal tensou par	-|--|--|---|-|--|
grantg u erre	----|-⌫-⌫---|
doncfetbien	---|--|---|
quitensorde sser re	--|-----|--⌫----⌫-|
etd onea ce lsquiuontp einquerre	-|-⌫--||--⌫-|--|---|-⌫--|-----|
d aumon e s	|-----⌫-⌫|
uit aumonierseit	--|-------|---|
me niueetquan tilbeit	--⌫---|-|----⌫|-|---|
acel s endonge que	|---⌫|-|----|--|
quimest i er ont etf e ir e ldeit	--|----⌫-⌫-|--|-|-⌫-⌫--⌫||---|
doneaus sonscerestnature	---|--|---|-|---|-----|
sil reconman del es criture	|-|--------⌫-||--⌫------|
n emes que l	-⌫|--|--||
a sostenirnon al uxure	|-------|--||-⌫----|
e tseilsuntdebon	-⌫|-|-|---|-|--|
bien les de it e ntorseiatreire	---|--|--⌫-|-⌫---|--|------|
quarlep lus dela ge nt	---|-|-⌫--|-|-|--⌫-|
setaquibienfei re	--||--|---|---⌫-|
bi enlesdei ta sei	--⌫-|--|---⌫||--|
aq ue ilir	--⌫--⌫---|
siaucun l eueltasailli r	-|----|-⌫|---|-------⌫|
ouen peirier	-|--⌫------|
oumalbaillir	-|---------|
neliporruntlison faillir	-|-|------|-|--|------|
moltdeit a ueirsadest re chiere	---|---|-⌫---|-|----⌫-|-----|
sac ree es tendoblem aniere	---⌫--|--⌫|-|----|-⌫-----|
home nebatenenefiere	---|-|---|-|-|----|
ou re nelirequiere	--⌫-|-|-|-------|
daute il sacrer es ti lmenis tre	|----⌫-|-----|--⌫|-⌫|-----⌫--|
ge ntasoldre gentb eneistre	--⌫-|------|---|-⌫-------|
etdesposersegontloristre	-|-------|-----|--|----|
saintpoudist enlepist re	----|--|---|-||-----⌫-|
quanti lsera	----|-⌫|---|
enconsi toire	-|-----⌫----|
o mitreoc roce	|----||-⌫---|
queneuautgueiresu einegloir e	--|-|---|------|-⌫---|-----⌫|
gloireesttransitoire	-----|--|----------|
qu anlenlapelesir eet mestr e	--⌫-|--||----|---⌫|-|-----⌫|
nese ngl oritainceisdeite stre	-||-⌫|--⌫---|------|---|-⌫---|
engrantporpensq ui les de itpestre	-|----|------|-⌫-|--|--⌫-|-----|
et mene ra gl oirecelest re	-|----⌫||--⌫---|------⌫-|
quantil u endrunt au iugement	----|-|-⌫------|-|-------|
ou arami niert	-|----||---|
ned eman dé amendem ent	-|-⌫----⌫--|-------⌫--|
netreuepri snesloignement	-|----|---⌫||-----------|
molt ertgue r iet	---|--|---⌫-⌫|-|
clercet prestre	----|-|------|
bonssera adestre	---|---||-----|
etmoltp ora cilmar iestre	-|---|-⌫--|--|---⌫|----|
quitorne ra sozla	--|-----⌫-|--|-|
i hesu quis esgraces	-⌫---|--|-⌫-|-----|
sicon liplestenme integuise	-|--|-|----|-|--⌫---|----|
nosfacesaus	--|---|---|
etsanzdeu ise	-|---|---⌫--|
tozcelsquau on	--|---|-|--⌫-|
en conmandise	-|---------|
arceuesque ne	---------|-|
deireprend re	--|-------⌫-|
quimeiet aut r es	--|--|-|---⌫-⌫-|
deita prendre	---|-⌫------|
etenseignier quedeiente nd re	-|---------|--|--|----⌫--⌫-|
et querefuser etque prendre	-|--|------|-|--|------|
arceuesque agr antdignite	---------||--⌫--|------|
soreuesqu esauctorite	--|------⌫-|--------|
aing edrei tureet uerite	----⌫|----⌫---|-|-----|
peizetennor	---|-|----|
et charit e	-|------⌫|
deue i rcorainth umilite	-|--⌫-⌫|--|---|-⌫------|
quar tot le secleest uanite	---|--|-|----|--|-----|
pas meinantcite	--|------|---|
ainzenqui ert	---|-----⌫--|
d urableerite	-⌫-----|----|
nenpruntpa s aiablena m onte	|------|--⌫||----|||-⌫---|
porte nirdecheu aus	--|--⌫--|-|----⌫--|
grant conte	----|----|
deseclerienne monte	-|----|---|-|----|
es t poure nenait iaho nte	--⌫|----||-|--|-|--⌫--|
m oltfut pour e	-⌫--|--|----⌫|
sa intg acien	--⌫--|-⌫----|
s aintmart in	-⌫---|----⌫-|
etsaint iul ie n	-|----|---⌫--⌫|
uncn enf u rentmeinscrest ien	--||-|-⌫-⌫---|----|-----⌫--|
nedepechieplusen lien	-|-|-----|---|-|---|
t antconsa rentepout	-⌫--|--|-|----|---|
dei tarceuesq uecler seslire	---⌫|--------⌫-|----⌫|-----|
quisach en t etchanteret li re	--|----⌫--⌫|-|------|-|--⌫-|
etautres ensei gnieretdei re	-|-----|-----⌫----|-|---⌫-|
l oierneu eugentnui re	-⌫---|-|-⌫-----|---⌫-|
natortaidierme stot a tire	||---|-----|--⌫|--||---|
si conuei tloure e tla	-|--|---⌫||---|-⌫|-|
loerle mal despere	---|-|--|------|
enreprouier di tle n	-|--------|--⌫|--⌫|
oureme neeparme sure	---|--⌫--|--|--⌫---|
quarcorteismeint ensames ure	---|------|----|-|-|---⌫--|
silnestsorfetpar	|-||--|-----|--|
desm esure	----⌫----|
boban zdese cle	-----⌫|-|--⌫--|
e st cho seenposte	-⌫-|---⌫-|------|
hommesurezseng eite	--|------||-|-⌫---|
o stelcon funt	-⌫---|---⌫---|
quitropgran tgentoseiacoste	--|---|----⌫|---||--|-----|
cha scunsde i tes mer et entendre	---⌫----|--⌫-⌫|--⌫--|-|-------|
conbiens e poutsa	------|-⌫|---|-|
rentee stendre	----|-⌫------|
segun tce deit metre etdespendre	-----⌫|-|---|----|-|--------|
quilnenprunt	-|-||------|
qu il n epei serendre	-|-|-⌫|---⌫-|-----|
fe it ne sep ou t def endre	--⌫-|-|-|-⌫--⌫|---⌫----|
neliestecheterreuen dre	-|-|------|----|---⌫--|
ouleidementou	-|--------|-|
a t ort prendre	|-⌫--|------|
po rses ga g esquestout raiend r e	--⌫|--|--⌫-⌫-|-|-----|------⌫-⌫|
neuautorgueil	-|---|------|
enbie nmes tesente nciun	-|---⌫|---⌫-||----⌫----|
et tiengeetaint	-|-----|-|---|
quarp orceportepallion	---|-⌫-|-|----|------|
leior porte croizetlaneit	-|--|----|----|-|-|---|
seste tlacroiz deuants onleit	|----⌫|-|----|-----|-⌫-|---|
queilla ueie	--|-|-|---|
etsideleit	-|||-----|
enl apostr e	-||------⌫|
quid it geneinulle	--|-⌫-|-||-|----|
autre gloire	----|-----|
fors en la	---|-|-|
