#M ETA #Te xtURI AlexisP11	--⌫---⌫|--⌫----|--------|
#META # DEAF h ttp//www. d eaf-page. de/fr/bibl/bib99a.php#Ale xisP	-----⌫|---|-⌫---------⌫-⌫---------⌫-------------------------⌫---|
#META# TLAlex. Alex.S.	-----|-|----|----|-|
#META# FEW	-----|--|
#META#ARLIMAhttps//www.a rlima.net/no/114	-----|-----|------------⌫---------------|
#META#Au th or	-----|--⌫--⌫-|
#META#AuthorBorn	-----|---------|
# META #Au thorBor nAmb	-⌫----⌫|--⌫-------⌫---|
#META# AuthorDie d	-----|---------⌫|
#META#A ut horDiedAm b	-----|-⌫--⌫---------⌫|
#META#Auth orFl1	-----|----⌫----|
#META#Au thor Fl2	-----|--⌫----⌫--|
#MET A#T extTitle La uiedesain tAl exis	----⌫-|-⌫-------|-|--|-|----⌫|--⌫---|
#META# TextSu bt it le po e ̀medu	-----|------⌫--⌫--⌫-|--⌫-⌫--|-|
XIes iècleet	--|-⌫-----|-|
# MET A# E d Publis herF.uiewe g	-⌫---⌫-|-⌫-⌫------⌫--|-|-----⌫|
#META#Eduol	-----|----|
#MET A# EdY e ar1 887	----⌫-|---⌫-⌫-|-⌫--|
#META# EdPage s139-170	-----|------⌫|------|
#ME TA# M sBaseLAP	---⌫--|-⌫----||||
#META#Ms Other	-----|--⌫----|
#M ETA# M sNum6	--⌫---|-⌫---||
# META# Ms DateARL	-⌫----|--⌫------|
#META#MsDateAdi	-----|--------|
#META#Fo rm	-----|--⌫-|
# META#Complete	-⌫----|-------|
#META# NoWords	-----|------|
#M ETA# NoLines	--⌫---|------|
#META#DialAuth	-----|-------|
# META# DialScribe	-⌫----|---------|
#META#ScanURL https //archiue.or g /details/lauiedesaint ale03alexgoog	-----|------|-----⌫------------⌫-⌫---------------------⌫------------|
#MET A#Sc anURIOther	----⌫-|--⌫---------|
#META#Ark I Da rk/13960/t1ih3nt8t	-----|---⌫-⌫|-⌫-----------------|
#META# LccnI D14022514	-----|-----⌫|-------|
#META#Oclc I D67605175	-----|----⌫-⌫|-------|
#META#WebAuthorDa ui dIose ph	-----|--------|--⌫--⌫|----⌫-|
# ME TA#ORC IDWebA uth oror cid.org/ 0000-0002-0355-148 7	-⌫--⌫--|---⌫------⌫---⌫-|--⌫--------⌫------------------⌫|
#META# WebReuiewe r	-----|----------⌫|
#META#ORCID Reu iewer	-----|-----⌫---⌫----|
#M ETA # M isc Infothe eleuen th	--⌫---⌫|-⌫---⌫---|--|------⌫-|
centuryuersioninthis uol ume	------|------|-|---|---⌫--|
# META#CCLi censeC CBY-NC-S A4.0	-⌫----|----⌫----|-⌫|-------⌫|--|
Inte rnati onal	----⌫-----⌫---|
P a geu01P139	-⌫-⌫--------|
Bonsfut lisiecles al tensancienor	---|--|-|------|-|---|-------|
Querfeit ierte iust iseetamor	---|---||--||----⌫--|-|---|
Si ertcredancedont or ni atn ul	-|--|-------|---|-|||-|-⌫-|
mudezperdude atsacolor	----|------|-|-|----|
Iama is n ier ttels c omfutasanceisors.	-|--⌫-||---⌫|---|-⌫-|--|-|---------|
N oe et altensAbraha m	-⌫-|-|-|---|------⌫|
Dauid queDeuspara mattan t	----|--|---|--|-⌫--|---⌫|
B o nsfutli siecles iamais n iertsi	-⌫-⌫-|--|-|------|-|---||---|-|
uielzestefrailestots	----|--||------|--||
enua itdeclinant	-|--⌫-|--------|
Si s t empeir iezto t bienuai tr ema nant.	-|-⌫|------⌫--|--⌫|---|---⌫|-⌫---⌫----|
Poisicelte nsqueDeus nosuintsaluer	---|---|--⌫-|--|---|--|---|-----|
Nostreanceisorour entcris tientet	-----|-------|---⌫--|----⌫------|
Sifutun ssir e de Rome la ci tet	-|--|--⌫|---⌫|-|---|-|--⌫--|
Riches homfutdegrant nobilitet	-----|--|--|-|----|--------|
un son filuoil	-|--|--|---|
Pageu01P1 40	---------⌫-|
Eufemiens—ens i o utnomlipedre	--------||---⌫|-⌫-|--|-|----|
ConsfutdeR om edelmielz	---|--|-|-⌫--⌫|--|----|
ses per sla matli	--|---⌫||-⌫--|-|
emperedre.	---------|
Doncp ristmuilier uailan tet honored e	---|-⌫---|------|------⌫|-|-------⌫|
Desm ielzgentilsdet ot e la	--|-⌫---|------|-|-⌫--⌫|-|
contr ede.	-----⌫---|
P o is conuerserent	-⌫-⌫-|-----------|
ens emble Io ngement	---⌫----|--⌫------|
Que enfantnourent pei setlor	--|-----||-----|---⌫--|--|
e nforment.	-⌫|-------|
De u enapelentandoip arfitement	--⌫|-|------|----|-⌫---------|
Ereiscele stes p ar	|---|----⌫---|-⌫-|
ton comandement	--|----------|
Enfantnosdone quiseit	-----|--|---|--|---|
a tontalen t.	|--|-----⌫-|
Tant lipreie r e nt	---|-|-----⌫-⌫-⌫-|
par grant humilitet	--|----|--------|
mu i lierdonatfeconditet	--⌫-⌫---|----|---------|
Unfil lord onetsil en	-|--|--|-⌫---|-||-|
sourentbongret	------|--|---|
Desaintbatesmelontfai trege nerer	-|----|------||--|---⌫|----⌫----|
Belno mli metent sulonc cristientet .	--|--⌫|-|-----|-----|-----------⌫|
Fut batiziez siou tn om Alexis.	--|-------|-|--⌫|-⌫-|------|
Quilout po r tet	--||--|--⌫-⌫--|
u olen tierslenodr it	-⌫----⌫----|-|----⌫-|
bonspedreadesc ole	---|----|-|---⌫--|
T ant apri stletresquebienen futguarniz	-⌫--|----⌫-|-----|--|---|-|--|------|
empere dorseruir.	------⌫--|------|
Quantu eitli	----|-⌫--|-|
pedre quemaisna urat enfa nt	----|--|---||-⌫---|----⌫-|
Pageu01P141	----------|
Maisquecelsolque i lpara ma ttant	---|--|--|--|--|-⌫|--|-⌫--⌫|---|
Donc se porpens et	---|-|-------⌫-|
delsiecleaenau ant	--|-----||-|--⌫--|
Oruolt que prengetmuilier	-|---|--|------|------|
a so nuiuant	|--⌫|-----|
Donc liachatetf ilie du n nob le	---|-|------|-⌫---||-⌫|---⌫-|
Fut lapu lceled emolthaltparentet	--|-|--⌫----|-⌫|---|---|-------|
Filieadun comtede	----|-|-|----|-|
R omelacitet	-⌫--|-|----|
Natplus enfant	|-|---|-----|
lei uoltmolt honorer.	--|---|---|-------|
E nsembleen uontlid uipedre p arler	-⌫------|-|---|-|-⌫-|----|-⌫----|
enf anzuolen tfaireasembler.	---⌫--|-----⌫|----|--------|
Nomentletermedelorasemblem ent	-----|-|----|-|--|--------⌫--|
Quantuintalfaire donclefo ntgentement	----|---|-|----|---|-|--⌫-|--------|
DanzAlexislesposetbelement	---|-----||------|-------|
ce lpl aitne uolsist ilnien t	--⌫|--⌫--|-|------|-|----⌫|
Detotentotad	-|--|-|--|-|
a De usontalen t.	|--⌫|--|-----⌫-|
Q uant liiorzpasse t e t il futanoitiet	-⌫---|-|---|-----⌫|-⌫|-|--|-------|
Çodistlip edreFilzquer t en	--|---|-|-⌫---|---|---||-|
uaico lchier.	--|--⌫------|
spose al com andDeudelciel.	----|-|---⌫--|--|--|----|
Neuol stli	-|---⌫-|-|
en fessonp edrecorocier	--⌫--|--|-⌫---|-------|
chambreods ag entilm uilier.	------|-|-⌫|-⌫----|-⌫------|
P ageu01P142	-⌫---------|
Comueitlelitesguardat	--|---|-|--|--------|
Doncliremembretde	---|-|--------|-|
so nse inor c eles te	--⌫|--⌫---|-⌫----⌫-|
atchier quetot aueir terrestre	-|----|--|--|----|--------|
EDeusdistil com forz pech iezm apr e sset	|---|---|-|--|---|----⌫--||---⌫-⌫---|
fu im oltcri emqueneten	--⌫|-⌫--|---⌫-|--|-||-|
Quantenlacham bre	----|-|-|----⌫--|
furent t otsol remes.	-----|-⌫-|--|-----|
Danz Alexis lapristadap eler	---|-----|-|----|-|--⌫---|
Lam or tel	-|-⌫--⌫--|
uide liprist moltablasm or	---|-|----|---||-----⌫-|
De lacelest eli	-|-|------⌫|-|
mostret uerite t	------|------⌫|
Maisluiert	---|--|--|
tartqued ilsenfustalez.	---|---|-||-|---|----|
Ozmeipulcele	-|--|------|
celui tien	----|---|
Quinosred enstde s onsancprecios.	--|--|---⌫---|-|-⌫-|---|-------|
E n icestsi eclenenatparfite am or	-⌫|----|--⌫---|--|-|------|--⌫-|
Lau ideest fra ileniat	-|-⌫--|--|---⌫--|||-|
durablehono r	------|----⌫|
Cestele dicereuertagrantt ristor.	----|--⌫---|-----||----|-⌫------|
Quantsarais on li	----|-|----⌫-|-|
Poislicomandetl e s	---|-|-------|-⌫-⌫|
reng esdesespede	----⌫-|-||-----|
Etuna neldontillout e sposede.	-|-|-⌫--|---|-||--|-⌫-------|
Donce neistfors	---|-⌫|---|---|
de la chambre	-|-|------|
Enmienu i t sen fuitdelacontred e.	-|--|--⌫-⌫||-|---|-|-|-------⌫-|
Doncuint edrantdreitemen talamer	---|---|-----|---------⌫||-|--|
Lan efest pre steouil deueit	-|-⌫-|--|---⌫--|-|-|-----|
Pag eu01 P143	---⌫----⌫---|
Donet sonpris	----|--|---|
etenzestaloez.	-|--|--|-----|
Drecentlorsigle la isentcor repar m er	------|--|----|--⌫----|---⌫-|--|-⌫-|
La pri s t rentterreou Deuslor uol st	-|---⌫-⌫-⌫---|----|-|---|--|---⌫-|
Dreita L al iceune c itetmoltbele	----||-⌫--⌫--|--|-⌫---|---|---|
Ilocariuets ainemen tlan acele.	---|-----|-⌫-------⌫|-|-⌫-----|
Doncen eisitd a nzAlexis a terre	---|-|----|-⌫-⌫-|-----||----|
Maision esaicomlon gesi conuerset	---|-|-⌫|--|--|---⌫--||--------|
O uqueil seit	-⌫|--|-|---|
deD eu seruirn ecesset.	-|-⌫-|-----|-⌫|------|
D il ocalat enA lsis	|--⌫-|---|-|-⌫---|
Poruneimag e n e d ontil oditp arler	--|--|----⌫-⌫-⌫|-⌫--|-|---|-⌫----|
Quedangelefirentpar co m andementDeu	---|-----|-----|--|--⌫-⌫-------|--|
lauirgenequipo rtatsaluet et	-|------|--|--⌫---|------⌫-|
SainteMa ri equiporta t damneDeu.	-----|--⌫--⌫|--|-----⌫|----|---|
T ot sonauei rq u	-⌫-|--|----⌫|-⌫|
od seieno ut	-|--|-|-⌫-|
Totl edepart que gien s ne	--|-⌫|-----|--|----⌫|-|
LargesalmosnesparAlsis	-----|-------|--|----|
Do net as pour es ouq uilles pot	--⌫--|-|----⌫-|-|-⌫|-|--|--|
Parnul aueir	--|--|----|
estreen c ombr ez.	----|--⌫-⌫----⌫--|
Quantson aueirlorat	----|--|----|--|-|
tot departit	--|-------|
E nt r elespoures sasistdanz Alexis	-⌫--⌫-⌫|--|-----||----|---|-----|
Pageu01P144	----------|
Receutlal mo snequan tDeu s	-----||--⌫--⌫--|----⌫|---⌫|
Tantenretintdontsoncorspot guarir	---|-|-----|---|--|---|--|-----|
Sel uinremaintsi	-|-⌫-||------|-|
lrentaspo uerins	|---|-|--⌫-----|
Or reuiendr aia lpedre	-|--------⌫-|-⌫|----|
et a la medr e	-||-|----⌫|
Et alasposequ i solefutr emese	-||-|----|--⌫|---|--|-⌫----|
Quant ilçoso u rent	----|-|--|--⌫-⌫---|
qued i lf uizsenere t	---|-⌫|-⌫--||-|---⌫|
Çofutgranz dois quedilen	--|--|----|---|---|-|-|
demenerent	---------|
d ep lainz pa r tote laco ntrede.	-⌫--⌫----|--⌫|---|-|--⌫------|
pedre Chiers	----|-----|
filzcomtai	---|--||-|
Respon tlamedre Lassequ es t d eue nuz	------⌫|-|----|----|-|--⌫|-⌫---⌫--|
Çodistlaspos ePechi ez lemat	--|---|-|----⌫|-----⌫-|-||-|
Ami sbelssi res ipoiuos ai out	---⌫|---|--⌫-|-⌫|--|--|-|--|
Orsuisigraimequene poisest replus.	-|--|-|-----|--|-|---|---⌫-|----|
D oncpr entli pedrede	-⌫--|--⌫--|-|----|-|
s esmeilors	-⌫-|------|
Pa rm oitesterres fait	--⌫|-⌫----|-----|---|
querr esonen fant.	-----⌫|--|--⌫----|
Ius quenAlsisenuindre nt d uied rant	---⌫-|-|----|-|------⌫-|-⌫-|--⌫---|
Iloc trouerentdanAlexiss eda nt	---|--------|--|-----|-⌫---⌫-|
Maisnenconurent son uisnesonsem blant.	---||---------|--|--|-|--|---⌫-----|
Si atli enfessa tendrecharnmudede	-|-|-|----|-|-----|----|-----|
Pageu01P145	----------|
Nelrec onurent liduis eriantson	-||---⌫------|-|--|-⌫-----|--|
A luime dism e ontla lmosne do nede	|--|--⌫----⌫|--||-⌫-----|--⌫---|
Il lareceutcomeli a l trefredre.	-|-|-----|---|-|-⌫-⌫--|------|
Nelreconurentsempress en retorneren t .	-||---------|------||-|----------⌫-⌫|
Ne lreconurentnenelon t	-||---------|-|-||--⌫|
en tercie t.	--⌫------⌫-|
Danz Al exis e n lodetDeu	---|--⌫---|-⌫|----|--|
Di ce zsons sers cui ilest almosniers.	|-⌫--⌫|---|---|--|-|--|----------|
Ilfutlorsi reor	-|--|--|--⌫-|-|
estlorprou endiers	--|--|----⌫------|
Neuossaidirecom i l	-|--|--|---|--|-⌫|
sen fir et	|-|---⌫-|
Cil sen r epai rent aRome	--||-|-⌫----⌫---||---|
Noncen tal pedreque nel po uren t	------⌫|-|----|--|-||--⌫----⌫|
Silfut dolenzneles totdemander	|-|--|-----|-||--⌫--|-------|
Labonemed resenpri st adementer	-|---|---⌫-||-|---⌫-||-------|
Esonchier filsouent aregreter	|--|----|--|-----||-------|
Filz Alexis	---|-----|
portattamed re	-----|-|---⌫-|
Tumiesfuiz dolen teens ui remese.	-||--|---|-----⌫-|-|-⌫-|------|
Nesaile leu ne	-|--|-|--|-|
nensa ilacontrede	--|--⌫|-|-------|
Outalgequerre tote	-||---|-----|---|
en suiesguare de.	-|--|-------⌫--|
Iamaisnierc	-|---||---|
liedechiers filzne nierttes	----|-----|---|-||---|--|
uin tenlach a mbre ple inedemarreme nt.	---⌫|-|-|--⌫-⌫---|---⌫--|-|-------⌫--|
Siladespeir etq ue n	-|-|-------⌫-|-⌫-||
iremest nient	|-----|----|
Pageu01 P146	-------⌫---|
l aissatpaliene	-⌫-----|----|-|
n eul ornement .	-⌫--|--------⌫|
Ateltristora tor nat son talent	|--|------|-⌫---⌫--|--|-----|
Onc pois ce l di nescontin tliedeme nt.	--|---|--⌫|-|-||------⌫|-------⌫--|
Chambredistel eia maisnest r as pare de	------|---|--⌫|-|---||---⌫-⌫-|----⌫-|
Neialedic en iert	-|-|-----⌫||---|
ent ei demenede.	-|-⌫-|--------|
Silatdestr uitecoms homl	-||-|-----⌫---|--||--||
o ustprede de	-⌫--|-----⌫-|
Sasifaitpendreec inces d eramedes	--||---|-----||-⌫----|-⌫-------|
Sagranthonoragrantdo lat	-|----|----||----|--⌫|-|
Deldols as istlamedreiusa	--|--||--⌫--|-|----|--||
Sifist las posedanAlexisacertes	-|---|-|-⌫---|--|-----|------|
Dame di st	---|--⌫-|
el eioai faitsigrant perte	--⌫|-|-|---|-|----|----|
Oreuiurai eng uisede tort rele	--|-----|-|-⌫---|-|----⌫---|
Quantn aiton	----||-|--|
file nsem blodtei uoilestr e.	--|-⌫----⌫-|-|--|---|----⌫-|
Respontla medreS	------|-|----||
odmeite uolstenir.	-|--|-|---|-----|
guarderai poramor Alexis	--------|--|---|-----|
Ian aurasmal dontte	-||----|--|---|-|
poisseguari r.	-----|-----⌫-|
Plainons ensemble	-------|-------|
ledol denostreami	-|--|-|-----|--|
Tu del seinorio	-|--|-----|-|
lferaipor mon	|----|--|--|
Pageu 01P 147	-----⌫---⌫--|
Ne potestre	-|--|----|
altre metent l e lcon sirrer	----|-----||-⌫|---⌫-----|
M aisla dolor nepodentoblider.	-⌫--|-|----|-|-----|-------|
DanzAlexis	---|-----|
b one uolentet	-⌫--|-------|
Se senemisnel	--⌫|-----|-||
e nfut nientadi re	-⌫|--|----||--⌫-|
Penat soncors	----|--|---|
eldam ne Deuseruise.	-|---⌫-|--|-------|
Por ami stet n edam ine d amie	--|---⌫---|-⌫||--⌫|-||---|
Neporh onors qui lui fussenttramises	-|--|-⌫----|--|--|------|-------|
uolttorner tantcomilad auiu re.	---|-----|---|--|-|-||---⌫--|
Quantlotson coren	----|--|--|--|-|
atsiato rnet	-|-|---⌫---|
Qu e iasonuoilnistratde	--⌫|-|--|---||-----|-|
Deusfistl ima gene porsoeamorparler	---|---||---⌫---|--|--|---|-----|
Alseruitorqui serueital alter	-|-------|--|------|-|----|
Çolicomand etApelelhomeDeu.	--|-|------⌫-|----||---|---|
Ço distli ma gen e	--|---||-⌫--⌫---⌫|
Fail homeDeuuenir	--||---|--|----|
Encestmonstierquer ill atde seruit	-|---|-------|---|-||-|--⌫-----|
estdi gnesdentrer	--|--⌫---||-----|
enparadis .	-|-------⌫|
C iluaitsilquie rt mais i lnelset	-⌫-|---|-||----⌫-|---|-⌫|-||--|
Icel saint hom e de	---|----|---⌫|-|
cui limagenedis t.	--||------|---⌫-|
Pageu01 P148	-------⌫---|
Reuintlicostre	-----|-|-----|
imag e neelmost ier	----⌫-⌫-|-|----⌫--|
Certesdistilne saicuient erci e r.	-----|---|-|-|--|--|---⌫----⌫-⌫-|
imageneÇost cilqui	------|--|-|--|--|
l ez lu s s iet	-⌫-|--⌫|-⌫--|
Presestd eDe ue del	---|--|-⌫|--⌫||--|
regnedel ciel	----|--|---|
Pa r nul eguisenesen uo l t esl oi n ier .	--⌫|---⌫|----|-||-|--⌫-⌫|---⌫--⌫-⌫---⌫|
Ciluait silquiert faitlelmosti er	--|---|-||-----|---||-|-----⌫-|
es emplepartrestot	--⌫----|--|------|
Que cele imageneparlat	--|---|------|-----|
por Alex is.	--|----⌫--|
T r es toit l	-⌫-⌫--⌫---||
h on orentligrant elipe tit	-⌫--⌫----|-|----||-|--⌫--|
Et oitle preientque d els	|-⌫--|-|------|--||--|
aietmer ci t.	---|---⌫--⌫-|
Quantilçoueit quel uolent hono rer	----|-|--|---|--||-----|----⌫--|
Ce rtesdistiln i a i	--⌫---|---|-|||-⌫|
maisades t e r	---|-|--⌫-⌫-⌫|
D ice st e honornemreuoile ncombrer.	|---⌫--⌫|----|-||-----|-⌫--------|
Enmie nuit sen	-|--|---||-|
f uit de lacitet	-⌫--|-|-|----|
Dreit a Lalicer eiointli sonsedr ers.	----||-----|-⌫-----|-|---|---⌫---|
Danz Alex i s	---|----⌫-⌫|
entrat enunenef	-----|-|--|--|
Ou rent lo r uentlaisent correparme r.	--⌫---|--⌫|---|------|----|--|--⌫-|
DreitaTarsonespeiret	----||-----|-------|
Mais ne pot	---|-|--|
estreail orslestot	----|---⌫--||----|
T ot dreita Romeles portet	-⌫-|----||---|--|-----|
Pageu 01P149	-----⌫-----|
Adunde spo rzquipluse st pr es de	-|-|--⌫|--⌫-|--|---|-⌫-|--⌫-|-|
Iloc ariu e t la	---|----⌫-⌫|-|
nefa celsainthom e.	--||--|----|---⌫-|
Quantueitso nregnedurem entse redotet	----|---|--⌫|----|-----⌫--|-|------|
Desesparenz	-|--|-----|
nelreconoiss ent	-||---------⌫--|
E de lho nord elsieclenele ncomb rent.	|-||--⌫--|-⌫-|-----|-||-⌫-----⌫----|
EDeusdistilbels reisq ui	|---|---|-|---|---|-⌫-|
to t g ouernes	--⌫|-⌫------|
Sete iploust icine uol sissee stre .	-|--⌫|-----|--|-|---⌫----|-⌫----⌫|
S orme conoissentmipa rentdesteterre	|-|-|---------|-|--⌫---||---|----|
me pre ndro ntpar	-|---⌫----⌫-|--|
prioupar podeste	--|-|--|------|
Seiosen cr eidilmetrairont	-|-||-|--⌫--|-|-|-------|
Maisneporhocmespedreme	---|-|--|--|--|----|-|
Si fa itmamedreplus que	-|--⌫-|-|----|---|--|
femme qui uiuet	----|--|----|
Auocmasposequ ei o l or	---|-|----|--⌫|-⌫|-⌫-|
a ig uerpi de.	-⌫|-⌫-----⌫--|
Orne lai rai ne mmete enlo rb ailide	-|-|---⌫--|-||---|-|--⌫|-⌫-----|
N e mconoi st ronttanzi orsat	-⌫||-----⌫--⌫---|-----⌫--|-|
q uenemuirent.	-⌫-|-||------|
Eistde l a nefeuaitedrant a	---|-|-⌫|--||---|-----||
lesruesdontil iabienfut	--|---|---|-|-|---|--|
Pageu 01P1 50	-----⌫----⌫-|
A ltrepoisaltremais sonpedre	-⌫---|---|----|---|--|----|
i encontr et	|-------⌫-|
l uigra n tmassedeseshomes	-⌫-|---⌫-⌫|----|-|--|----|
Si lre conut par s ondreitn om lenomet	-||--⌫----|--|-⌫-|----|-⌫-|-|----|
Eufemien sb elssireri ch eshom	--------⌫|-⌫--|---|--⌫--⌫-|--|
Que r me herbergepor Deuent a	---⌫|-|-------|--|--|-|-⌫|
Soztonde g ret	--|--|--⌫-⌫--|
me faiungr a baton	-|--|-|--⌫-⌫----|
Empor tonfi ldont	----|--|--⌫|---|
t ua ste ldolor.	-⌫|-⌫|--⌫|-----|
Totsoienfer mssi mpaisp orsoe am or.	--|--|-----⌫-|-||---|-⌫-|--|--⌫--|
Qu ant otlipedrela	--⌫--|-|-|----|-|
cla m orde sonf il	---⌫-⌫-|-|--|-⌫-|
Plorentsioilnes enpot	------|-|--|-||-|--|
Por am or Deu	--|--⌫-|--|
Tottedorra ibons hom	--|-|-----⌫|---|--|
q uantque mas	-⌫------||-|
Li t et hostel e	--⌫|-|-----||
pain echarneui n.	---||----||--⌫-|
E Deusdist ilque r ousse un seriant	|---|---|-|---⌫|----|-|------|
Qu i lm e guarda stiole nfereie	--⌫||-⌫|------⌫-|-||-⌫|-----|
Un enioutquisempres uintauant	-|-||--|--|------|---|----|
Esme distilq ui lguardpa r	-|-|---|-|-⌫-||----|--⌫|
amorensoferrail	---|-|-------||
Cille menatendr eit s oz le	--|-|----|----⌫--|-⌫-|-|
Pageu 01P 15 1	-----⌫---⌫--⌫|
Fai tlisonlitou	---⌫|-|--|--|-|
ilpotreposer	-|--|------|
Totli am anuet qu antque bosoinzliert.	--|-|--⌫----|--⌫-----|------|-|---|
uersso n seinornese nuolt mes ale r	---|--⌫|-----|-||-⌫|---|---⌫---⌫|
Parnuleguisene lenpothom	--|---|----|-||-|--|--|
S ouent leuirente lipedre ela medre	-⌫----|-|-----||-|----||-|----|
E lapulcelequediloutespos ede	|-|------|---|-|--|-----⌫--|
Par nuleguise onques n e la uisere nt	--|---|----|-----|-⌫||-⌫------⌫-|
lordistnil neli d emanderent	--|---||-|-|-|-⌫---------|
Q uelshomesteitn e	-⌫---|--|-----|-⌫|
de quelterre	-|---|----|
Souentesfeizlor	-------|---|--|
ueitg ra ntdolmen er	---|-⌫--⌫-|--|---⌫-|
m olttendrementplo rer	-⌫--|---------|---⌫--|
Et otp orluionques nientpor el.	|-⌫-|-⌫-|--|-----|----|--|--|
Illes esguardetsilm etelconsirr er	-|--|--------|-||-⌫-|-|-------⌫-|
Na tsoin que l uei etsiesta	|-⌫|---|--||---⌫-|-|--||
D eutorne z.	-⌫-|-----⌫-|
Sozledeg retougistsor une	--|-|---⌫--|-|---|--|--|
L ale paistl hom del	-⌫|-|----||--|--|
relief del atable	-----|-|-⌫|----|
Agra nt pou ert e	|---⌫-|---⌫---⌫|
deduitson grant b arnage.	-----|--|----|-⌫------|
Çone uoltil	--|-|---|-|
quesamedrelesac het	--|-|----|-|---⌫--|
PlusaimetDeuquetrestotsonligna ge.	---|----|--|--|------|--|-----⌫--|
Del a uiandequidelherbereliui en t	-|-⌫|-----|--|--|------|-|--⌫--⌫|
Pageu0 1P 152	------⌫--⌫--|
Tan ten retientdont	---⌫|-|------|---|
soncors ensostient	--|---|-|-------|
remaintsilrent	------|-||---|
asalmosniers	-|---------|
Nen faitmusgodepo rsoncorsengraissie r	|-|---|------|--⌫|--|---|----------⌫|
M aisaspluspoures ledonet amangier.	-⌫--|-|---|-----|-|----||-------|
Ensai nteegl iseconu ersetuol e ntiers	-|---⌫--|---⌫--|----⌫----|---⌫-⌫-----|
Chascu nef estesefaitacomungier.	------⌫-|-⌫---|-|---|----------|
S aint e escri ture	-⌫----⌫|-----⌫---|
çoert sesconsei liers	--|--|--|------⌫----|
Del Deuseruise lerouetes forcier	--|--|------|-|----|--⌫------|
Parn uleguisenes en uolt	--|-⌫--|----|-||-|---|
e sloinier.	-⌫--------|
Sozle degretouilg i steconu erse t	--|-|-----|-|-|-⌫-⌫-||----⌫----⌫|
Ilocdeduit	---|-----|
liedementsa	--------|-|
pedrequila maisniede	----|--|-|--------|
Lorla ueduresligetentsor lateste	--|--⌫------|-|-----|--|-|----|
Ne senc orocetned	-||-|-⌫-----|--|
il nesen apelet.	-|-||-|------|
Toitl escharnissent s i	---||------------|-⌫|
ltie nentporbric on	|---⌫---|--|----⌫-|
L egueligetent simoi le nt son	|---|-|-----|-|---⌫--⌫-|--|
Ne s encorocetgienscilsainti sm es	-||-|------|----|--|------⌫--⌫-|
AinzpreietDeu quedille	---|-----|--|---|-|-|
l or pardoins t	-⌫-|--------⌫|
Parsa mercitquerneseuentquefon t.	--|-|-----|---|-|-----|--|---⌫-|
Iloc conu e rseteisi dise setan s.	---|----⌫-⌫---|---|--||--|--⌫-|
N elrec onutnuls sonsapartenanz	-⌫||---⌫---|---|---|---------|
Pa g eu01P1 53	--⌫-⌫------⌫-|
N eneulshomne	-⌫|----|--|-|
sout l essonsaha nz	---|-⌫-|---|---⌫-|
For ssollilizouilat	---⌫|--|-|--|-|-|-|
geut t ant	---|-⌫--|
Nepotmu der nese it	-|--|--⌫--|-|--⌫-|
apari ssant.	-----⌫-----|
T ren teq uatre	-⌫---⌫-|-⌫----|
anzat si soncorspenet.	--|-|-|--|---|-----|
Deus son seruise li	---|--|------|-|
uolt guered oner	---|------⌫---|
Moltl i engrieg et la	---|-⌫|-------⌫-|-|
soeenfermetet.	--|----------|
Or seti lb ienqued	-|--|-⌫|-⌫--|---|
