richardama	------|--|
nesai s eilfistnoiseu c ri	-|--|-⌫|-|---|----||-⌫-|
alcheualestrichar due nuz	-|-----|--|------⌫|--⌫--|
delcimet eireestfo rseiss uz	--|-----⌫---|--|--⌫-|----⌫-|
q uantdesesguanzliremem bra	-⌫---|-|--|----|-|-----⌫--|
lei ssie rsiretu rna	---⌫----⌫|-|----⌫--|
uintsesguanz	---|--|----|
mainthoe mia ianiuenist	----|---⌫|||-|||-----|
fistcumande r	---|-------⌫|
easmarchiezdire	|-|-------|---|
quemaisniaitcors sulguerpi	--|---|||--|---|--|-----|
desi que le nle itenfui	----⌫--|--⌫||-⌫-|----|
autreauentu re	----|------⌫-|
q u ela gent a merue iletint	-⌫-⌫|-|---||-----⌫--|---|
e ki apeinefucreu e	|-||----|-|----⌫|
seele nefu stdetanz	-|--|-|--⌫-|-|---|
cunte rl ai o i	-----⌫||-|-⌫|
leo irentd es	-|-⌫----|-⌫-|
mais maintefeizpar	---|-----|---|--|
nun c h aleir	--|-⌫-⌫----|
p ar pere ceepar	-⌫-|----⌫-||--|
nun saueir	--|-----|
r emaint maintbelfai taes crire	-⌫-----|----|--|---⌫||--⌫----|
ki bonsereitet beladire	-|--|-----|-|--||---|
e nlabeieseinto ain	-⌫||----|----|-⌫--|
out a celte nsunsecrestein	--||--|--⌫-|-|---------|
tenuzesteitpurleal	----|-----|--|---|
e mu ltaueitbon	|--⌫-|----|--|
testimui ne	--------⌫-|
m ai sdetantcum li h oemp lusua ut	-⌫--⌫|-|---|--|-|-⌫--|-⌫--|--⌫-|
detantdeableplus	-|---|-----|---|
ta ntle uaitil plusagua i tant	--⌫-|-|---|-|---|----⌫-⌫---|
edeplusursguises	|-|------|-----|
le secrestainque ieu us	-|---------|--|-|-⌫-|
para quinte men t d	--|-⌫------⌫---⌫||
iurpar lemustier	--|--|-|------|
pe rn antgard e de	--⌫--⌫--|----⌫|-|
sunmestier	--|------|
unedam euit si lama	--|---⌫|--|-||--|
amerueilesla coueita	|--------|-|------|
mor tes tse il su n bon n en fait	---⌫|--⌫|-|-|--⌫|--||-|---|
nerem aindrapurri enqu ila it	-|---⌫-----|--|--⌫-|-|-|-⌫-|
tan tlidist	---⌫|-|---|
lip r a mist	-|-⌫-⌫-⌫---|
kelad ame termeli	-|-|-⌫--|----|-|
que lanui talostelalas t	--|-|---⌫|||----|----⌫|
eparlaplan che trespassast	|--|-|----⌫--|----------|
quedesus roobeceste it	--|----|-----|----⌫-|
unee ue kidesuz cureit	--|-⌫-|-|----|-----|
ni poeitp ar ail lurs p as ser	||----|-⌫-|---⌫---|-⌫--⌫--|
nealtre menta	-|-----⌫---||
li p ar ler	-|-⌫--⌫--|
la nuitquantbien	-|---|----|---|
que moinefure ntendormi	--|----|----⌫-|------|
lise crestain fuenfr icon	-|--⌫-------|-|-|--⌫---|
nen e quistcump ainun	-|-⌫|----|----⌫----|
al aplanc heui ntsus	|-⌫|-----⌫-|--⌫-|--|
nes aidiresei l abuis sa	-|-⌫-|---|-|-⌫|-----⌫-|
oue sc rillaume schauca	-|-⌫--⌫----||--⌫------|
maisilchaisise neia	---|-|---|-|-|---|
undea b lelalmeseisi	-|---⌫-⌫-||---|----|
sitost cumdelco rsi ssi	-|---|--|--|--⌫-|-⌫--|
enenferlenuoleit rauir	-|----||-|-----|----|
maisu nsa ngl esli uolttolir	---|-⌫-|-⌫---⌫-|-|---|----|
chas cunuo lt traire	----⌫--|--⌫-|-----|
lalme a sei	|---||--|
echascunditreisun	|------|--|-----|
deables disttumefai ztort	------|---|-|-|---⌫|---|
keme touz l	-|-|---||
alme queie n port	---|--||-⌫|---|
doncneseztuke	---|-|--|-|-|
l a lm eestmeie	|-⌫--⌫|--|---|
desqueleestprise enmaleu eie	----|--|--|----|-|---|-⌫--|
e nmaleueieesteitentr ee	-⌫|---|---|-----|----⌫-|
eenm aleourel ait ruuee	|-|-⌫--|---||-|-⌫----|
enueiedemal	-|---|-|--|
sest eitmise	|---⌫--|---|
ueie dem al laiprise	---|-|-⌫-||-|----|
i l ocu ietetruuerai	-⌫-⌫-||-|-|-------|
iluecdist deusteiu gerai	----|---|---|-|--⌫----|
le mu ineaitruu é	-|--⌫--|-|----⌫-|
enmale ure	-|--|-⌫--|
il iertledescou re	-|---|-|------⌫-|
niestu e taueir autr epru eu e	||----⌫-⌫|----|----⌫|---⌫--⌫|
desque lu namesfait letrueu e	-----|--⌫||------|-|-----⌫|
laueieouiliert de	-|---|-|-|---|-|
quant ilc hai ladi a	----|-|-⌫--||-|-⌫|
liangles deulirespu ndi	-|-----|--|-|-----⌫--|
neiert mieissi	-|---|--|---|
li muinesfu de b one	-|-----|-|-|-⌫--|
ta nt cumil fu	--⌫-|--|-|-|
bien e lealmenta duesquu	---||-------|-⌫|-----|
n auumnulmal del ui	|---|--|--|-|-⌫-|
ceotestimonielescript ure	--|---------||-------⌫--|
eraisonestbien e drei ture	|-----|--|---||----⌫---|
ketutbien iertgueredun é	-|--|---|---|--------⌫-|
e chascunmalser ape né	|------|--|---⌫|--⌫--|
cil deitaueir	--|---|----|
le gueredun	-|-------|
des biensqua faitqu enussauum	--|----|-||---|--⌫|--|----|
kese ra le bi en deuenuz	-|--⌫-|-|--⌫-|------|
quei l a dfait	--|-⌫|-⌫|---|
sil estperduz	|-|--|-----|
faitl e pe chie	---|-⌫|--⌫---|
dunc tul a s i a pr is	---|-||-⌫|-⌫|--⌫-|
dela beie esteit eissuz	-||-⌫---|-----|-----|
e ala planche esteituenuz	||-|------|-----|----|
sep eus til retrai re	-|-⌫---⌫|-|------⌫-|
s iln e chai s t del	|-|-⌫|----⌫-⌫|--|
pe chiefaire	--⌫---|----|
d elamalic equ il nefist	-⌫|-|-----⌫|-|-|-|---|
bienpot ceoestre	---|--|--|----|
p ur sulementsun folpense	-⌫-|-------|--|--|----|
le ueusiugiereueus	-|---|-----||---|
tuas granttort laisl	-|-|----|---|---||
alme ester	---|----|
lestrifqu eil rema ine	|-----|--⌫|-|----⌫--|
l autren esenpleine	|----|-⌫||-|-----|
alum caal conteric h ar t	---|-|-|----|---⌫-⌫--⌫|
sinusmetumensunesgart	-|--|----|-|--|-----|
iln usiugera leaument	-|-⌫-|-----|-------|
qu ilnefait	-|-|-|---|
nul fausiug ement	--|---|---⌫----|
a ceoquil dir anusten um	|--|-|-|---⌫|--|---⌫-|
senzcontredit e senz	---|--------||---|
distli diables iel otrei	---|-|------|-||----|
siseit la lmeentremei e	-|---||-⌫--|----|--||
sempressunt	------|---|
ar ichar duenu	|-⌫-----⌫|---|
enune cham breusu n	-|--|----⌫--||--⌫|
dor miaueit ma isdunc	---⌫-|----|--⌫-|---|
d e plusursch o s es	-⌫|------|--⌫-⌫-⌫-|
pu rpensout	--⌫-------|
laparoleli unt cuntee	-|-----|-|--|-----|
sicum eleiertentreusa lee	-|--|--|---|---|--|-⌫--|
kipar telfolie	-|--|--|----|
est eit eissuz desaabe ie	---⌫--|-----|-|-|---⌫-|
enlaueiee steit de pechie	-|-|---|-⌫----|-|-----|
mai s ni aueittuchié	---⌫|||----|------|
dela plancheesteitt rebuchié	-|-|------|-----|-⌫--------|
eenleue desuz n e ié	|-||--|----|-⌫-⌫--|
iug ementfaceedie ueir	---⌫----|---||--|---|
lalmedel moine aueir	|---|--|----|----|
eric h ard lur	|---⌫-⌫--|--|
addit bri efment	-|--|---⌫-----|
alezdistil deliu rement	---|---|-|-----⌫-----|
moinelalme	----||---|
edel e wele metezfors	|-||-⌫-|-|----|---|
neseitde ceu	-|---|--⌫--|
desur laplanche	----|-|------|
reseitm is	-----|-⌫-|
iluec tutdreitduntilchai	----|--|----|---|-|---|
quantil trebuchaepe ri	----|-|-------||--⌫-|
esiilua itplein pieauant	|-|-|--⌫-|----|--|----|
up i eupas u tant u quant	|-⌫-⌫||--||---||----|
autlid iablessila prenge	--|-|-⌫-----|-|-|-----|
sen zcuntredit esenzchalenge	---⌫|--------||---|-------|
e se limoinesseretrait	|-|-|-----|-|------|
e turn eariere sapaisa it	|----⌫|-----|-|---|-⌫-|
le iugementque r ichardf ist	-|-------|--|-⌫-----|-⌫--|
cist ne cuntredi st	---|-|--------⌫-|
lalme unt ariereel	|---|--|-----|-|
cor sportee	---⌫|-----|
eli moy nesl adrecou re e	|-|---⌫--||-|-----⌫--⌫|
fula duntilchai	-|-|---|-|---|
desque limoine sseaparcu t	-----|-|-----⌫|-|------⌫|
esu rla pl an c heenpaiss	|--⌫|-|--⌫--⌫-⌫-|-|---||
arieremist	-----|---|
plus tosts unp ie	---|---|-⌫-|-⌫-|
kias e rpentmarc hi é	-||-⌫-⌫----|----⌫--⌫-|
deliurement fu al	----------|-|-|
cumehuem kidemortapour	---|---|-|-|---||---|
l t i ndr ent l	|-⌫-⌫---⌫--||
unt le ssi é	--|--⌫---⌫-|
enl abeies	-||----||
sesdra se scuste	--|---⌫|-⌫----||
e la murircremeit	|-|----|------|
iertsi i luiureit	---|-|-⌫|------|
quantrichard leuaaliurcler	----|------|---|-|--|---|
asaint oain	|----|---|
le cuu entfist	-|---⌫--|---|
tut asem bler	--|----⌫---|
fistdemander	---|-------|
limoin esu int ses	-|----⌫-|-⌫--|--|
d ra s mui ll i ez	-⌫--⌫|---⌫--⌫-⌫-|
n esauei t pas sechiez	|-|----⌫|--|------|
liquenslad aseiapelé	-|----||-||--|-----|
uen i r lefist deua n t	---⌫-⌫|-|---|----⌫-⌫|
freredist ilk euus est uis	----|---|-|-⌫|--|--|--|
cume ntfustesuu sentr epris	----⌫-|-----|--⌫|----⌫----|
gar dez uusmielzalautrefeiz	---⌫--|--|----|||----|---|
quantalaplan chep asser eiz	----||-|----⌫--|-⌫-----⌫--|
cuntezalabe	-----|||--|
auezanuit est é	---|----|---⌫-|
pursun a beepurlec un te	--|--|-⌫-||--|-|-⌫--⌫-|
ruuilimo ines e	---|-|--⌫---||
enequedenttutregei	|--------|--|----|
cumentalacumentperi	-----|--|-----|---|
cumentd iable slenginna	-----|-⌫-----⌫||------|
cumentliquensledeliur a	-----|-|----|-|------⌫|
totelaueritec unta	---|-|-----|-⌫---|
eli que nstuttes timunia	|-|---⌫-|--|---⌫------|
issifula c hose	---|-|-|-⌫---|
elaue ritecuneu e	|-|--⌫---|-----⌫|
lungesf upuisp arno rmand ie	-----|-⌫|---|-⌫-|--⌫-----⌫-|
retraiteceste gaberie	-------|----|------|
siremuine suef a l ez	---|----|---|-⌫-⌫-|
alpasser planc heu us	-|-----|-----⌫-|-⌫-|
une l ande acorcers anun	--|-⌫---||------||--|
pres del a	---|-|-⌫|
forest deli un	-----|-|--⌫-|
l and e ad uneualee	-⌫---⌫|-|--|----|
ki nes tmultl u ngenemultlee	-||--⌫|---|-⌫-⌫--|-|---|--|
enlaforest adune p l aine	-|-|-----|-|--|-⌫-⌫---|
enuiro n est granzlachampai ne	------⌫|--|----|-|-------⌫-|
d eaustlim eispassez	-⌫|---|-|-⌫--|-----|
du x fu matinleuez	--⌫|-|----|----|
sesforestiers	--|---------|
adfaituiser	-|---|----|
uil purreitg ranzc erfs	|-|------|-⌫---|-⌫---|
arcsesaetesfi st porter	---||-----|--⌫-|-----|
echiensa s ancsi alab er ser	|-----||-⌫--|-|--|-⌫--⌫--|
asuene urs ea su atlez	-|----⌫--||-⌫|-⌫----|
fist mener	---|----|
s euz ebr a ch ez	-⌫--||--⌫-⌫--⌫-|
parau treuei e	--|--⌫--|---⌫|
lesfist aler	--|---|---|
q uel ennes ueie	-⌫-|-⌫-||-|---|
sespeea suncostepor tout	|----||--|----|---⌫---|
ka r nulef aiz sa nzlinalout	--⌫|---|-⌫--|--⌫-|-||----|
en corce rs	-|-----⌫-|
uintgr ant	---|--⌫--|
qu e lmesau enture	--⌫-⌫|-----⌫-----|
enlabaissiereuol t	-|-|--------|---⌫|
ne sai siilout	-|--|-|-|--|
derienespeir	-|---|-----|
un cheualerad loingueu	-|-------|-|----|--|
bienafublée bien	---|------||---|
lezlui surl	--|--|--||
erbeesteitsespee	---|-----||----|
b iene nrengeeea turne e	-⌫--|-⌫------||-⌫-----⌫|
lezluifu u nedameisele	--|--|-|-⌫-|--------|
kigente fu	-|----|-|
bienestuest u eeaturnee	---|--|----⌫-⌫||------|
saguimpl e	-|------⌫|
chiefietee	----|----|
licheualiers ne	-|---------|-|
q uantiluitle	-⌫---|-|--|-|
conteuen ir	----|---⌫-|
de usquelpec hie queodsespee	--⌫-|---|---⌫--|--|-||----|
ad la me sch inedecolee	-|-|--⌫---⌫--|------|
liquenscr ia malfai zmalfaiz	-|----|--⌫-|--|---⌫|--|---|
f emme deitaueirpartut	-⌫---|---|----|--|--|
duncadsurluie speruné	---|-|--|--|-⌫-------|
lec hi efli addelbuseur é	-|-⌫--⌫-|-|-|--|-|----⌫-|
pui s arestuteesgarda	---⌫|------||------|
beautez uite	------|--||
unques me i sceo dist	-----|--⌫-⌫|--|---|
ceolisemble	--|-|-----|
neui tsi bele g ent e nsemble	-|--⌫|-|---|-⌫--|-⌫------|
al qua rti urlesfi stenterre r	-|---⌫-|-⌫-|--|--⌫-|-------⌫|
mai sil nepo ut	---⌫|-|-|--⌫-|
unquestro uer	-----|---⌫--|
coneus tne kiseust	------⌫|-|-|----|
duntliunsdelsne	---|-|--||--|-|
laltrefus t	|----|---⌫|
purle pe ch ieque	--|-|--⌫--⌫-|--|
delcheualierkeilocist	--|--------|-|-|----|
ne fu c eopasmisene s crit	-|-|-⌫-|--|--|-|-⌫-⌫---|
maislip er e leunta sfi lzdit	---|-|-⌫--⌫|-|--|-⌫|--⌫-|--|
auentur emultgrande	-------⌫|---|-----|
auintalchiefdecelel ande	----|-|----|-|---|-⌫---|
gardezsefuhonur	-----|-|-|----|
uncerfaueientretenu	-|---|------|-----|
pris l au eient e	---||--⌫----||
le cerfa ueient	-|---|-⌫-----|
escorchié	---------|
aue ient leforchie	---⌫---|-|------|
unde su e n eurs se	-|--⌫|-⌫-⌫-⌫---|-|
alersenuo lts i	---||-|--⌫-|-⌫|
asunseignor aleruol ei t	|--|------|---|---⌫--⌫|
paruneueie ke	--|--|---|-|
unepucel eadtrouee	--|-----⌫|-|-----|
dedenzle b ois pres delent ree	-----|-|-⌫--|---|-||---⌫--|
bi eniertuestueebien	--⌫-|---|-----||---|
b iena fubleeebienliee	-⌫--|-⌫-----||---|---|
aliuintsi l	|-|---|-||
ee le luis i s est leu ee	|-⌫-|--|-⌫||--|---⌫-|
equantilla uitene stant	|----|-|-|--|-|-⌫----|
descenduz est d emainten ant	--------|--|-⌫--------⌫--|
de m an da liki e le	--⌫-⌫--⌫-|-|-|-⌫-|
enc el bois sule ke feseit	-|-⌫-|---|---|-|-----|
unhomme c eodi st atendeit	-|----|-⌫-|--⌫-|-------|
ki contre l iueni rdeuei t	-|-----|-⌫|----⌫|-----⌫|
p arunedes	-⌫-|--|--|
man chesl adp rise	---⌫---||-|-⌫---|
as ezli offrisunseruise	--⌫-|-|----|--|------|
re trairekeillidist	--⌫-----|-|-|-|---|
nequelse mblantelelifist	-|---|--⌫-----|--|-|---|
m ais ceodient kei ll a p ri s t	-⌫--|--|----|-|-⌫|-⌫|-⌫--⌫-⌫|
eaterrelez	||----|--|
luil asist	--||----|
eleesgard atutesuffri	--|------⌫|--||-----|
n ule r ien nelideffendi	-⌫--|-⌫--|-|-|-------|
pu rpensa sei	--⌫-----|--|
li fe reit	-|--⌫---|
ceo kehumafem me feir edeit	--|-|--||---⌫-|----⌫|---|
q uantliout	-⌫---|-|--|
fait ceok e lip lout	---|--|-⌫|-|-⌫---|
ere leuerde liseu out	|--⌫----|-|-|-|-⌫--|
eil quidadeli parti r	|-|----|-|-|-----⌫|
elelenpeinstde t elair	--||-------|-|-⌫-|--|
ne saiuodpiezuod	-|--||-|---||-|
parmibranchese	----|-------||
parmireims	----|----|
le fisthautc untr e muntuoler	-|---|---|-⌫----⌫-⌫---|----|
ee l furcdun	|-⌫|---||-|
arbreencr oer	----|----⌫--|
quant iluoltce lieregarder	----|-|---|--⌫--|-------|
ne sout k ele fu	-|---||--|-|
neladoieneueue	-||-|--|-|---|
ueneurski lecerf po rtouent	------|-|-|---|--⌫------|
quiparcel esen tepa sso u ent	--|--|---⌫|---⌫-|--⌫---⌫-⌫--|
lurcum p aignun	--|---⌫-⌫-----|
ag ra nt pe in e led escendi rent	|-⌫--⌫-|--⌫--⌫|-|-⌫-------⌫---|
ricardtintgunnorlungement	-----|---|-----|--------|
ceo d ienttuitcumunement	--|-⌫---|---|---------|
ainzk ei l espuse rlauousist	-----⌫|-⌫|------⌫|-|------|
eei nzqueafemmela	|--⌫----||----|-|
ma is par preier edelclerg ie	--⌫-|--|------⌫|--|-----⌫-|
k elen ou tmeinte feiz	-⌫|--|--⌫|-----|---|
eparcunseil deses baruns	|--|------|-|--|-----|
quimaintef eizl	--|-----|-⌫--||
en un tsomuns	-|--⌫|-----|
adricardg unnorespu see	-|-----|-⌫----|----⌫--|
anceisepuis labien a mee	-----||---|||---|-⌫--|
qu antgunn orprimesse cuc ha	--⌫--|----⌫-|-----|-|---⌫-|
la nuit enpres queil	-|---|------⌫--|-|
cuntese st	----||-⌫-|
ellitmis e	-|--|---⌫|
m an iere e d	-⌫--⌫---|||
autreguise	----|----|
queelenese	--|--|-|-|
so leitcuchier	--⌫---|------|
f eist dangier	-⌫---|------|
l edosliadauant turné	-⌫|--|-|-|----|-----|
edes esp audle sl a dbut é	|--|---⌫-----⌫||-⌫|---⌫-|
cumentdistilte c unt ienz	-----|---|-|-|-⌫---⌫---|
maintefeiz asodmeiieu	-----|---|-|-|--|--|
un kes maisceone	--⌫--|---|--|-|
tuseuz uers meit ure n er tun u is	-|---|---|--|-⌫---⌫-⌫-|--|-⌫-|
gu no ren riant respundi	--⌫--⌫|-|----|-------|
siresire nest	---|---||--|
enuostre li t g esir	-|-----|--⌫|-⌫---|
esoilfai re uostre	|---|---⌫-|-----|
giselmiensim e gerrai	--|-|---|-|-⌫|-----|
surquel coste	--|---|----|
keieouoldr ai	-|--|-----⌫-|
damesuisigie sen mun lit	---|--|-|---⌫|-|--|--|
simegerrai	-|-|-----|
amundel it	|--|---⌫-|
canarieref ulelit u o stre	--------|-⌫|-|--|-⌫-⌫---|
m aisoree stile	-⌫--|--|-⌫-|-||
mi e neuos tre	--⌫-⌫||---⌫--|
nesa nzpou ro d uusnefui	-|--⌫-|---⌫|-⌫|--|-|--|
sui aukes aseur ee	--|----|-----⌫-|
acesparole s	|--|------⌫|
sestturn ee	|--|----⌫-|
turnasun u is	----|--|-⌫-|
siunt asez gabé er is	-|--|---|----||-⌫-|
as ezfupuislungesretrait	--⌫-|-|---|-----|------|
ceo k eguno r otdit efa it	--|-⌫|----⌫|-|--||--⌫-|
g u no r fudamemult	-⌫-⌫--⌫|-|---|---|
debonesmursbi enenseignee	-|----|---|--⌫-|--------|
clerseche ualiers	----||---⌫------|
multdespendi	---|-------|
ac eltermem u rut lo hier s	|-⌫-|----|-⌫-⌫--|--⌫----⌫|
f ranceiertreisfo r zefiers	-⌫----|---|---|--⌫-⌫||----|
fiz nefilleneaut rehei r	--|-|----|-|---⌫-|---⌫|
kideie enfi ule regne auei r	-|---|-|--⌫|-|----|----⌫|
enlohierfail ilalignie e	-|-----|----⌫|-|------⌫|
quilongementfubie npreis iee	--|--------|-|---⌫|-----⌫--|
mund decharlemaine	---|-|----------|
seisuineealem ai ne	-------||----⌫--⌫-|
e franceelumbardie	|-----||--------|
edespainem ult gr ant	||------|-⌫--|--⌫--|
pardefautede bonlign a ge	--|------|-|--|----⌫-⌫-|
od lecuns eildelgrantbarnage	-|-|----⌫--|--|----|------|
fuhugechapes r ece uz	-|---|-----|-⌫---⌫-|
een fra ncepurreitenuz	|-|---⌫--|--|--|----|
chapesfu f iuz huunlemaigne	-----|-|-⌫--|---|-|-----|
ducde parise cheuetai gne	--|-|----||--------⌫--|
p ar ri ch ard	-⌫-|--⌫--⌫--|
epar sa ual ur	|--|-|---⌫-|
quieu a ueit	--|-|-⌫---|
cunseileparsaam ur	------||--|-|--⌫-|
firentfranceish uu nseignur	-----|-------|-⌫--⌫|------|
fl amenc leuoldrentc un tredire	--⌫----|-|-------|-⌫--⌫------|
norentcureki lfust	|----|---||-⌫|---|
e huunsur els	|---|--|--|
laciteaenturasise	-|---||----|----|
isistguair e s to stl out	|---|-----⌫-⌫|--⌫-||--|
liquen saernolfuitquil	-|----⌫|------|--|-|-|
ne defendre ne s eporreit	-|-------|-|-⌫|------|
ric hard apreié	---⌫---||-----|
ki ll acord	|-⌫||----|
sanzde sheriter esenzmort	---|--⌫-------||---|---|
richarddelapaissen tr em ist	------|-|-|---||--⌫--⌫--⌫--|
faire lauolt	----|-|---|
puis pr istcungi esis en part i	---|--⌫--|-----⌫|-||-|----⌫|
ennor mendiereuerti	-|---⌫-----|------|
bonsho me sebons c heualie rs	---|--⌫--⌫||---|-⌫-------⌫-|
e bonsclersamae tintchiers	|---|----|--||---|-----|
lei g l ise	-|-⌫-⌫-⌫--|
d ela rceuesquie	-⌫||-⌫---------|
de ruen sun plusrichesie	-|---|--|---|----|--|
fistabatreefai regra i nur	---|-----||---⌫-|---⌫-⌫--|
nos treseignur	---⌫--|------|
pluslungel a	---|----|-⌫|
f is teplu sle e	-⌫--⌫||---⌫|--⌫|
plushauteemielzenpaue ntee	---|----||----|------⌫---|
lemu nt seintmichel esto ra	-|--⌫-|----|-----|----⌫-|
muines i m istmul tleh onur a	-----||-⌫--|---⌫|-|-⌫----⌫|
al compass ermistgrant entente	-|-------⌫-|---|----|------|
grantauei r imistegrant	----|----⌫||---||----|
a ruen mistgrantma na ntie	|---|---|----|--⌫--⌫---|
asaintoainenlaabeie	|----|---|-|-|----|
emulti repairout	|---||--------|
puru eerlur cont enement	--|-⌫--|--|----⌫------|
deplusursparzf i st	-|------|---|-⌫-⌫-|
pereat rair e	---|--⌫----⌫|
lemustierdefescamp	-|------|-|------|
fis tfa ire	---⌫|--⌫--|
kie stdegranta uct orite	-|-⌫-|-|----|-⌫---⌫----|
elnun de sainte	-|--|-|-----|
bienleg arnie	---|-|-⌫---||
richem ent	------⌫--|
d e quantqu a rich eigli seapent	-⌫|------||----⌫|----⌫-|----|
de liuresede	-|-----||-|
uestemen z	--------⌫|
de cr uiz e dautres	-|--⌫--|||-----|
c lersestabliki serui reient	-⌫---|------|-|-----⌫-----|
eprouendesdunt	|--------|---|
il u iureient	-|-⌫-------|
les eue sques deno rmendi e	--|---⌫----|-|--⌫------⌫|
d unt ilaueit	-⌫--|-|----|
l asei nurie	-⌫|---⌫----|
fistue niraldediement	---|--⌫--|-|--------|
si scunreamultrichement	-||-----|---|--------|
unsarkeu fi st	-|-----|--⌫-|
ap areilier	--⌫-------|
l ezlam eisie r e delmu s tier	-⌫-|-|-⌫-----⌫-⌫|--|--⌫-⌫---|
ametr eenpressa	|----⌫|-----|-|
mortsuncors	---|--|---|
suzlagutier ededefors	--|-|------⌫|-|-----|
puislefist chas cun	---|-|---|----⌫--|
ta nt cumil unquespuisu esqui	--⌫-|--|-|-----|---|-⌫----|
emplira cumbl e defurment	-----||-----⌫|-|------|
edepar tira poure	|-----⌫--||----|
ouec c incsouzder omeisins	---|-⌫--|---|-|-⌫-------|
a ma lade s	|--⌫----⌫|
abaieuesenmaladi	|------|-------|
ui euzhuem iert iasiafiebli	--⌫--|---|---|-|-|------|
quantuitke	----|--|-|
murirliestuueit	----|-|-------|
neque parmirie n e ga rreit	-|--|--|----|-⌫|--⌫----|
nequ emaisnepo rreit leuer	-|--⌫|---|-|--⌫----|----|
afescamps eru uaporter	|------|-⌫|--⌫-|-----|
en tr e tantmanda sesbaruns	--⌫--⌫-⌫---|----|--|-----|
fiu ze f ille secumpainuns	---⌫||-⌫----⌫||---------|
c unteraulsunfrere	-⌫---|---|--|----|
que ilaueit de par	--|-|----|-|--|
de sunfizricha rdfistsuneir	-|--|--|-----⌫-|---|--|--|
eilier t ia de bo npoei r	|-|---⌫|-|-|--⌫|----⌫|
de ses aut resfizliprei a	-|--|---⌫--|--|-|----⌫|
preiaedi st e cu man da	----||--⌫-||--⌫---⌫-|
m aintenist egardast	-⌫--------||------|
e de saterrel urdun ast	|-|-|----|-⌫-|---⌫--|
duntchascunsepeust ga r ir	---|------|-|----|--⌫-⌫-|
e aeussefeistseruir	||--|-|----|-----|
otreiéfu quantquei l quist	------|-|-------|-⌫|----|
richar d de riennel cuntr edist	------⌫|-|---|-||-----⌫----|
aseue skes e asabez	-|---⌫---||-|---|
e a plusursclers ordenez	||------|----|------|
sefist cunfess icumildut	-|---|-----|-⌫|--|-|--|
culpeb atideurecunut	----|-⌫--|--|------|
