B oinecanc honplairoituous	-⌫---|----⌫--|-------|---|
cieri Qu ideli ura Bertranlepalasin.Puisl idou na Guillaumes	----|--⌫|----⌫--|------|-|-------|---|-⌫|---⌫-|---------|
marcisEnmariagesanieceo	-----|-|------|-|----||
uisEtPorpaillartla terre	--|-|----------|-|----|
Tan t alal	---⌫|--||
oeure ne sai queplusdeu isGuibo r s fumo rte	----|-|--|--|---|---⌫-|-----⌫-⌫|-|--⌫--|
quensenest marris. H uimaisorréss	----|-|--|------|-⌫-|---|-----||
iluous uienta pla isir	-|---|----||---⌫---|
CommentGu illaum eslesiecle deguerpiSide uint	------|--⌫------⌫-|-|-----|-------|-|--⌫---|
moines sacré set	-----|------⌫|-|
benë is Enl abë ieaAignie nesse	-----⌫-|-||----⌫-||------⌫--|-|
mist.Huimais commencentses	----|--|---|---------|--|
painesauen irA inc	-----||---⌫-|-⌫--|
nefuhom qui tant	-|-|--|--|---|
e n sosteni stPor	-⌫|-------⌫-|--|
a mor Dieu	-⌫--|---|
qui onques nem enti.Et Nostr eSire si	--|-----|-|-⌫----|-|-----⌫|---|-|
tre ̀sbien li	---⌫-|---|-|
mer i Qu e s am e	---⌫|--⌫||--⌫|
en est l assus enparadis.Mout	-|--|-⌫----|-|-------|---|
boine lac anchon saöir.Hu i	----|-|-⌫------⌫||----|--⌫|
maisdeuonsde	---|-----|-|
GuillaumecanterE t desgranspa i nes	--------|-----|-⌫|--|----|--⌫-⌫--|
endu r er.Q uantmo rtefuGui bors o	----⌫-⌫--|-⌫---|--⌫--|-|---⌫---||
leuis cler Donts	-|--|---|---||
Guillaumesau cortnésQu emouta	---------|-|---|---|--⌫|---||
mors Sarras inse tEsclers Mai nt	---|------⌫--|-⌫|------|---⌫-|
gentilhome a faitaf in	-----|---||---||-⌫-|
alerOrseu aur a	---|-|-|-⌫---⌫|
enu ersDieuam ender.Mout	---⌫--|---|--⌫-----|---|
aperdudeson gra ntparente ́	|----|-|--|---⌫-|-------⌫|
Neliplaistm aisausi eclec onu erserAins	-|-|-----|-⌫--|-|--⌫---|-⌫---⌫----|---|
seram oine s c e li	---|-⌫----⌫|-⌫|-|
en penser.Nesaiqu	-|------|-|--|-|
en d oie longementde uis er Li quensGuillaumes	-|-⌫--|--------|--⌫---⌫-|-|----|---------|
niuolt plusse iornerSa terre la isseet trestout	||---|---|--⌫-----|-|----|--⌫---|-|-------|
so n r e gné	--⌫|-⌫-⌫---|
Gu er pistOreng e	--⌫--⌫---|-----⌫|
latouretlaferté EtGlor ïe te	-|---|-|-|-----|-|----⌫---⌫-|
so npalais	--⌫|-----|
principerEt Tortelouseet P orpaillart	--------|-|---------|-|-⌫---------|
Rainnou ar tlai sse	-------⌫--⌫|---⌫--|
toutagarder. Par	---||------|--|
unmatinaquelliso nerrer Deuan tleior ains	-|----|------|--⌫|----|-----⌫|-|--|---|
q ueparu stcl artés. Onquesnels otserian snebacelers	-⌫-|----⌫-|--⌫------|-----|--|-⌫-|------⌫|-|-------|
nel dist a ho m e quifus tnésFor s	--|---||--⌫-⌫|--|---⌫|---|---⌫|
a Ihesu leroi	|----|-|--|
dem äisté.De	-|-⌫-------|-|
Porpaillar t en esttous	----------⌫|-|--|---|
seustorne ́ sSorson	---|-----⌫-⌫|--|--|
ceual ricemen t ator nés	----|-------⌫|----⌫---|
et d el me	-||--⌫-|
etdeb r anc	-|-|-⌫-⌫--|
a c eré . Un uiéscemin aquellia	-⌫-⌫----⌫|-|----|----|------||
errerDroitu er sAi gn iene sa soncemin torné Toute	----|----|-⌫--⌫|--⌫--⌫----⌫||--|----|-----|----|
la nui tpense	-|---⌫|----|
des peron n erIuscaldemainquel iior sparutclers.	|--⌫-----⌫-⌫-|---|-|-----|--|-⌫|---⌫|----|-----|
Pleurentsi	-------|-|
homequantilne	---|----|-|-|
lonttroué Que sansl ui erenten Porp aillart	|--|-----|--|---|-⌫-|----|-|----⌫------|
Hé Dieusfontil u stGu illaumesalés Li	--|----|---|-||-|--⌫-------|----|-|
mieudr es quens	------⌫-|----|
qui soitde mere nésQuidonram ais as	--|---|-|---|---|--|----|-⌫--|-|
po uresbacelersL or	--⌫---|-------||-|
argentlesdeniersmo neés Ceuaus etarmeset	-----|--|------|--⌫----|-----|-|----|-|
hermins en gole ́s	------|--⌫----⌫-|
Pe rdu l a uonsilsestd enosenblésNel	--⌫--||-⌫---|-||--|-⌫|--|------|--|
uerronsmaisasiarsde	------|---|-|---|-|
nosaésCestporGuiborc	--|---||--|--|------|
quissie stadolésEt parsa nie ce	-|---|-⌫-|------|-|--|-|---⌫-|
Aelisa uuiscler.Gransfu	----|-⌫|--|----|----|-|
lid ieus el	-|-⌫---|-|
palaisdemenés Lor pui ns	-----|-------|--|---⌫-|
detordentlorceu iaus ont tirésM aischou	--------|--|---⌫---|--|-----|-⌫--|---|
deusde nie rs	---|--⌫---⌫-|
monneésCarli	-------|--|-|
m arcis pe nsedesp eronner.	-⌫----|--⌫--||---⌫-------|
Queuousdiroie tant a	--|---|-----|---||
fai teterr éSi co mme cil	---⌫|-|---⌫-|-|--⌫--|--|
quiaD ieu sestdonés u ien ta	--||-⌫--||--|-----|-⌫---⌫||
Aig nienesqu	---⌫-----|-|
i la m out	-⌫||-⌫--|
des ir éEnt reenl a p ar te aDieu sest	---⌫--⌫-|---⌫-|-|-⌫|-⌫--⌫-||---||--|
commandés. E lipor tiers	----------||-|---⌫----|
enfutou sesfreé s SainteMarie	-|-|---⌫|-------⌫|-----|----|
d ist- ilou	-⌫----⌫-|-|
f ucisnés De quels dïa bles est ilchi	-⌫|--|---|-|----|----⌫---|--|-|--|
quensdescent deldestrier abrie uéDroitau	----|------|--|-------|-----⌫--|----|-|
mosti erestes l e u ous	-----⌫-|----|-⌫|-⌫--|
Toutlecouentadeuan tluimandé .H uimaisorrés	---|-|-----||-----⌫|--|------⌫|-⌫-|---|-----|
de Gui llaumeau	-|---⌫-----|-|
cortnésComm eilfumoinesbenëisetsacrés Comme	---|---|----⌫|-|-|-----|------|-|------|----|
poi sson salam e rComli la rron leuaurentdesreuber.	---⌫----⌫||-|-⌫-⌫|--|-|--⌫---|-|------|---------|
Guillaumes	---------|
estaAignien es ue nusE ntree nlapo rte pens is et	--||-------⌫-|--⌫--|-⌫---|-⌫|-|--⌫--|----⌫-|-|
irascus Souent	------|-----|
reclaimeleuraip er eIhes u.	-------|-|---|-⌫--⌫|----⌫-|
Etliporti ersenfuto u sesperdus	-|-|-----⌫--|-|-|--⌫-⌫|-------|
Dieusd is t ilperesquiel	----|-⌫--⌫|-|----|--|-|
cielmains lassusDequelsmaufés	---|----|-----|-|----|------|
estsifais homuen usAinc	--|-----|--|---⌫-|---|
m ai sneui	-⌫--⌫|-|-|
homesifustcorsus Simal	---|-|---|-----|-|--|
as sissigransnes i	--⌫--|-|----|-|-⌫|
memb rus .uésquelsespaules	----⌫---⌫|---|----|-------|
etquels bras	-|----|---|
Iou quitquilest delpui s	--|---|-|-|--|--|---⌫|
issusOuchouen	----|-|---|-|
li mais tr esBelgibus. Carfustil	-|----⌫--⌫-|--------|--|---|-|
or e asp u is deMon taguIa	--⌫|-|-⌫-⌫-|-|---⌫---|-|
ch a ie nsne seroitenbatus. Sainte Marieou f ute ls	--⌫-⌫--⌫-|-|-----|-------|-----|----|-|-⌫|--⌫-|
homnascusL i	--|-----|-⌫|
quens Guillaumesl a moutbienentendu	----|---------|||---|---|------|
Touscoissetaistnaunmot	---|---|-|----|||-|--|
respondu. Almou stierest	--------|-|---⌫----|--|
l i marcis	-⌫|-----|
descendus.Maisiln e rt	---------|---|-||-⌫-|
mi esipourementuenus Qu	--⌫|-|--------|----|-|
il na it boins	-||-⌫-|----|
sontaorb atuCendaus d e soieet	---||-|-⌫--|------|-⌫|---|-|
pailes debofuEt	-----|-|---|-|
aport emilmars	-----⌫|--|---|
dargentou plusSonelm e	|-----|-|---|--|---⌫|
aore tson b rancesmolu	|-|-⌫|--|-⌫---|-----|
-CefuIoiouse quiKarlemainefuD ont ilot	|-|-|------|--|---------|-|-⌫--|-|-|
mescrëu -Tout ot torsésorun soumiercr enu.	-------||---|-|-----|--|-|------|--⌫---|
Lecouentma nde	-|-----|--⌫--|
deuant luiestuenusuint iliabes	-----|--|--|----|---||-|---|
qui fuuieus etce nus.ui rent	--|-|----|-|--⌫---|--⌫---|
p iédes cend uQuantille uoientsi fo rt	-⌫--|---⌫----⌫|----|-|-|-----|-|--⌫-|
e spe rdu Mal soit dece lqui	-⌫---⌫--|--|---|-|--⌫|--|
lirendistsalu.Enfu iestor nentni	-|------|----|-|--⌫--|---⌫---|||
s ontp lusarrestu	-⌫--|-⌫--|------|
necausnec auelus.Pa rmices	-|---|-|-⌫------|--⌫--|--|
croutessontli au quantrepu sD istluns	------|---|-|--⌫----|----⌫|-⌫--||--|
autre T out auomes	----|-⌫--|-----|
perduCest Antecri squ ici	----||--|-------⌫|--⌫|-|
estenbatus.	--|-------|
Parluiseronsdestr uitet confond u .Quantliquensa	--|--|-----|-----⌫--|-|-------⌫-⌫|----|-|----||
uëuQuetout	---|--|---|
enfüirentpor lu iDieusdist	-|-------|--|--⌫|----|---|
Gu ill au mesquielci elfaisue rt usQuelu ifd ïabl e	--⌫---⌫--⌫--|--|-|--⌫-|---|--⌫--⌫-|---|-⌫-|-⌫-----⌫|
ontcilmoine	--|--|----|
uëuMien entïen til	---|---|-------⌫|-|
sontdelsens	---|--|---|
issu.Amalehart soi en ti ltot	----||---|---|---⌫--⌫|-⌫|--|
pendu Etpuis aditquant sest a perc ë us Dieus	----|-|---||--|----||--|-⌫----⌫--⌫-|----|
d itio us uito usdecëusD ieus moiecoupe iouuoel	-⌫-|--⌫|-⌫-|--⌫-|------|-⌫---|---|----|--|---|
estrerend us	----|----⌫-|
Mais q uemif rerem	---|-⌫-|-|-⌫---||
mon se nstolu.Or fuGuil laumes	--|--⌫-|----|-|-|----⌫-----|
deuantluis del	-----||--|--|
mostierTout l e	------|---|-⌫|
guerpis sentetla issentestraier.	-------⌫---|-|--⌫-----|--------|
Ain c n ireme stmoinesne encloistriersPrieus	---⌫|||----⌫-|-----|-|------------|-----|
ne abes pre uosne	-|---|---⌫--|-|
cene liersNecambrelens	----⌫----|-|---------|
ne ua llés ne	-|--⌫----|-|
huiss iers Toutsen füirent	-----⌫---|---||-|-------|
etkeuet boutilli erMal soitde cel qui	-|--|-|--------⌫-|--|---|-|--|--|
lo sastaprocier.Distl	|-⌫---|--------|---||
uns a lautre uéslaun au e rsier	--|||----|---|-|-|--⌫-⌫----|
Maleois soithui ces tior li	------|---|--|---⌫|--|-|
portiersQuantchadedens	-------|----|--|-----|
Maisilfont mal	---|-|---|--|
etsi dïentpeciéCarl iporti ersnene stoit	-|-|-----|-----|--|-⌫|-----⌫--|--|-⌫----|
liésIlamastmie us qui l	----|-|----|---⌫-|-|-⌫|
fust aMo npellier. Liquen s	---||--⌫--------|-|----⌫|
Guih iaumes	----⌫-----|
sepr istacore chierDieusdistilperequil e	-|--⌫--||----⌫----|----|---|-|---|--|-⌫|
mo n tdo is	--⌫-⌫|--⌫-|
iugierIo u	-----|--⌫|
me quidaienuersuousamaisni erEta quit erdemes	-|-----|-----|---|-------⌫-|-|-⌫----⌫-|-|--|
mo rtelspeciés	--⌫----|------|
Maisquece sgen s me fon t grant destorbier Quil	---|--|--⌫|---⌫|-|---⌫|----|---------|-|-|
neseuoelenten u ersmoi adre cierMais parsaintPierr e	-|-|------|--⌫-⌫--|--|----⌫---|---|--|----|-----⌫|
denierIouserai moines quiquendoieanuier Qu	-----|--|----|-----|--|-|-|---|-----|-|
Dame di euuaurai me rci	----⌫--⌫-|-----|--⌫--|
p roierEtles sainsmoines seruir et	-⌫----|-|--|----|-----|-----|-|
essaucierCartantaifaitdedolerous peciésEt ta nt	--------|--|---|-|---|-|-------|------|-|--⌫-|
morirdeche ualiersEt deserianset	----|-|---⌫------|-|-|------|-|
deboin screstiiensQueiai	-|----⌫|---------|--||-|
menésesg ransesto rs	-----|-|-⌫---|----⌫-|
pleniersOu	-------|-|
Sarras in lesonttousdetre nciés	------⌫-|--|--|---|-----⌫-----|
SeDieus nel fait amort seraiiugiés. Lors	-|----|--|---||---|----|-------|---|
commencha libera	--------|-|--||
larm oierDieusdist ilpe resaiés	----⌫---|----|---|-|--⌫--|----|
de moipitié	-|--|-----|
Aicestmotataca	|----|--|----|
sondestr ier Elmostier	--|-----⌫--|-|------|
e ntrelimarcisau uis	-⌫---|-|-----|-|--|
fierDeua ntl ecroisseuaitag enoullier	---|----⌫-|-⌫|----|-|---|--⌫--------|
E tpri eDieuq ui touta	-⌫|---⌫|---|-⌫-|---||
a b aill ier Q ueill i doinsttele	|-⌫----⌫--|-⌫-|-|-⌫|-----|---|
oeurecommencier	----|---------|
Queauoecluise	--|----|--|-|
p uisseherbergie rEtil maintiegne	-⌫----|---------⌫|-|-|---------|
L öëy le guerrier. Pleure l i	-⌫----|-|--------|-----|-⌫|
quensdesbiaus ieus deson cief L i abesert	----|--|----|---|-|--|---|-⌫|---|--|
enune uotearierI l	-|--|---|----|-⌫|
uoit Guillaume ploreret	---|--------|-----|-|
l a rm oi erEtdeso ncuerformenthumelii e r.	-⌫-⌫--⌫--⌫-|-|-|--⌫|---|------|-------⌫-⌫-|
D ont c ommenchasesm oinesahuc ier Capi tre	-⌫--|-⌫-------|--|-⌫----||---⌫--|----⌫--|
s oneses a fai t	-⌫--|--||---⌫|
ra loierEtiliuinrent ne l oser ent	--⌫----|-|-||------|-||----⌫--|
laissier.Auconte uienent	--------|-|----|------|
sa nsplusd edet riieruoitlesGuillaumes	--⌫-|---|-⌫|---⌫----|---|--|---------|
encontrese stdreciés.	-------||-⌫-|--------|
Ligentisabes	-|-----|---|
l enprist a araisni e rQuieste ss ire nel nos	|-|----||-------⌫-⌫|--|----⌫|-⌫--|--|--|
deuésn oier.Estes	-----|-⌫----|----|
uou srois o ucontes ou princiers	---⌫|---|-⌫|-----|-|--------|
samblésseDi eus	-------|-|--⌫--|
aidier .Li quensr espo ntpa rm ou tgrant	------⌫|-|----|-⌫----⌫-|--⌫|-⌫--⌫|----|
amisti éPorDieusi r eabesfaites p aissi	------⌫-|--|---|--⌫-⌫|---|-----|-⌫--|-|
Mo nnon diraine leuousq uiernoierI ousui	--⌫|--|----|-|-|---|-⌫---|----|-⌫-|--|
Guillaumestot de	---------|--|-|
uoirlesaciés Cilaucortnésiace ler	---|-|------|--|-|---|---|-|--⌫--|
nel equier Fils Aym eri	-|-⌫|----|---|---⌫--|
deNe rbone le fie f	-|--⌫----|-|---⌫|
E ts estmesfrere Äymerslip roi si e ́s Ci l	-⌫||--|--|----|------|-|-⌫---⌫--⌫-⌫-|--⌫|
Brubant Ber nar s l i	------|---⌫---⌫|-⌫|
enforciésHernausli r ous et Bueuesli	---------|------|-|-⌫--|-|-----|-|
guerrier s.Por amor	--------⌫-|--|---|
Di euuoellesieclelaissierTantaifaitm al	--⌫-|---|-|-----|-------|---|-|---|-⌫-|
tou tdeuoir	---⌫|-|---|
lesaciésNes th om en terre	-|------||--⌫|-⌫-|-|----|
quendesi s t la	-|-|----⌫-⌫|-|
m o it ié.	-⌫-⌫--⌫---|
ADieume rent etasai n tAigniien Sis erai	|---|-|---|-||---⌫-⌫|-------|-|-⌫---|
moin es sel	----⌫-|--|
otr oier.Iou apor tcimilli uresde	---⌫----|--|----⌫|-|--|--⌫---|-|
deniers Apitancierl es	------||--------|-⌫-|
delmostie rChaiensmetraimon	--|------⌫|------|-----|--|
bonhauber cdoblierElmeetceu al	--|------⌫|------|---|-|---⌫-|
etlebo n br an cdacierPartel	-|-|--⌫|--⌫--⌫||----|--|--|
coue nts ei ouen aimestier Q ue	----⌫-|-⌫|-⌫-|-|-|------|-⌫-|
armespui sseau oirrecourie rL	----|---⌫--|--⌫--|--------⌫||
auo irssoit u ostr esquef a	---⌫--|---|-⌫----⌫-|--|-⌫|
mai sne lequier.Labe slententsen	---⌫|-|-|-----||---⌫||-----||-|
fuioi ansetlie ́s.	-|---⌫--|-|---⌫--|
Sired istilorauésuousdit bien	---|-⌫--|-|-|----|---|--|---|
Ora i nsquidame t ot estre	---⌫-⌫-|------|-⌫-|----|
depeciétQuantuousu ëi mes totfumesesmaiét.Or uousrechoif	--------|----|---|-⌫---⌫--|--|----|--------|-|---|------|
gr éetuo le nti er s.	--⌫-|-|--⌫--⌫---⌫--⌫-|
Et licouuensl iabienotroi éQuar	-|-|------|-⌫||---|-----⌫-|---|
i l nel osen t derien	-⌫|-||----⌫|-|---|
c ontraliier. Liu n s a lautre	-⌫----------|-|-⌫-⌫|||----|
seprista conseillier	-|----||----------|
Damed ecest	---|-⌫|---|
mo inequ en iert	--⌫--|-|-|---|
Aincsi g rantmoin eneu it o ndesos	---|-|-⌫---|----⌫|-|-⌫-|-⌫|----|
ciel.Folsseracil quel fer acou re cie r	----|---|---|--|---|---⌫|---⌫--⌫---⌫|
Auns e ulcop delpuing	|-|-⌫-⌫-|--|--|----|
a u ra froissié.Nesaiqu endoieplu s l ong ement	-⌫-⌫-|---------|-|--|-|-|---|---⌫|-⌫---⌫----|
pl aid ie rLi abes	--⌫---⌫--⌫|-|---|
faitdesto rserlesom i er L	---|-----⌫---|-|---⌫-⌫-||
auoi rfait prendreq uem erue illesot	----⌫|---|------|-⌫-|-⌫----⌫----|-|
cierL aubcrcetlelme	---||-----|-||---|
etlespeedacierLeceualf ait	-||----||----|-|----|-⌫--|
l iureralest ablier.Labes	-⌫----|||---⌫------||---|
commandeassésait amangier.	-------|-----|--||-------|
Guillaumefis ent de ses	--------|---⌫--|-|--|
drasde spo ullierErrant	---|--⌫---⌫-----|-----|
le f risentet	-|-⌫-----|-|
etbaignier	-|-------|
Puis silefi sent e trereetrooignier uestir le	---|-|-|--⌫---|-⌫|---|-|--------|-----|-|
fisente tles botes ca ucierDontlic ommencent lor	-----|-⌫|--|----|--⌫----|---|-|-⌫--------|--|
ens eignier.Quant	---⌫-------|----|
il l o nt f aitensia pareillierToutes	-||-⌫-|-⌫--|---|-⌫---------|-----|
cloquessonerentde lmostier. Sidrapestoient léetgrant	------|-------|--⌫|-------|-|---|-------|--|-|----|
plen ierQua tr eautremoine s ipëussentmucier.	----⌫--|---⌫--⌫|----|----|||--------|------|
Ai ce lc opsassïe nt	|-⌫--⌫|-⌫-||------⌫-|
aumangierBiensont	-|------|---|---|
serui deu insetde	----|-|-⌫--|-|-|
daintiés.L iquens mangüe qu ibi ens	---------|-⌫|----|------|--⌫|--⌫-||
ensotaidi er Autant mangüe	-|--|----⌫-|-----|------|
con troiautreclois trie rEt butdeluin plus de	--|---|----|-----⌫----⌫|-|--|--|--|---|-|
demisestie r.	---|------⌫-|
Tr estoutlimoi n eleprisentagaitierDist	--⌫-----|-|---⌫-⌫|-|------||------|---|
lunsa lautre	|--|||----|
E sgardésq uelforri erPlusmangeroitparlec orssaint	-⌫-------|-⌫--|-----⌫-|---|--------|--|-|-⌫--|----|
nou stres t outneporien sgaaignier. Gui ll aumes	---⌫|----⌫-⌫--|-|------⌫|---------|---⌫--⌫----|
furemés en l	-|-----|-||
abëieSia porDieu haissiésamanandieTout ela	-----|-||--|---|-------|-|-------|----⌫|-|
te rrequ il	--⌫--|-|-|
a uo itenbaillieSapri s le	-⌫--⌫-|-|------|||---⌫|-|
c ou lelefroc etlestamineEt les	-⌫--⌫-|-|---|-||-------|-|--|
grans boteslestribousetleplice.	----|----|--|------|-|-|-----|
Cas cunenuitual iquensa	---⌫---|---|-|-⌫|----||
m atinesRe claim e Dieu	-⌫-----|--⌫-----⌫|---|
l efilsainteMar ieQueil le	-⌫|--|-----|---⌫-|--|-|-|
parmanableu i e.Maisli couen sli	---------|-⌫-⌫-|---|-|-----⌫|-|
portegrant enuie Ca r	----|----|----|--⌫|
mangüe ce	------|-|
lo rsambleetescille	--⌫|-----|-|------|
Pluscautre tr oiqui	---||----|--⌫-|--|
Quan ton lor	----⌫|-|--|
done ettroc e t estamineLesc aperonseth escoules	---|-|---|-⌫|-------|--|-⌫------|-|-⌫-|-----|
delgie sQuant lunsenac in c	------⌫|----||--|-||-⌫--⌫|
aunes etdemieDont e nc onuien tau	----|-|----|---|-⌫|-⌫------⌫|-|
gentilconte quin se.Quantluns	-----|----|----⌫--|----||--|
de smoines	--⌫|-----|
a sa liu ri sonprise	|-|---⌫--⌫--|----|
unsdes moinesn a leio r	--|--|-----|||-|--⌫|
un toutseu lgalonde	-|---|---⌫|----|-|
Guillaume si c on iaiöidire En	--------|-|-⌫-||-|--|---|-|
coui entf a ire	----⌫--|-⌫-⌫--|
dun gra n t sestie rserui ce	|-|---⌫-⌫|------⌫|-----⌫-|
Etc inc fouaches	-|-⌫--|-------|
qu i neson tpas	--⌫|-|---⌫|--|
petitesEtsiman güeun	------|-|-|---⌫---|-|
paonetuncis neEtd un grantp orcune	---|-|-|---⌫-|-||-|----|-⌫--|--|
logneetdemie.Limoineen	----|-|-----|-|----|-|
s ontcorechosetpla ind ir eMou t en	-⌫--|-------|-|---⌫-||--⌫|---⌫|-|
parolent entrau sauois serie.Distluns	-------|---|--⌫||---|-----|---||--|
a laut re ués por	||---⌫-|---|--|
s ainteMa rieDe	-⌫----|--⌫--|-|
ces t dïab le	---⌫|-----⌫-|
q ui tre stousnos	-⌫-|---⌫----|--|
escilleEnpoi de	------|-|--|-|
termecene rem a nr a mie	----|-|-|---⌫-⌫--⌫|--|
A u rades truitetrestoutelabë ieEt	-⌫-⌫-|---⌫-----|--------||----⌫-|-|
afa meeseDieusmeb enëi e Lic entdïable	---⌫--|-|----|-|-⌫-----⌫|-|-⌫--|------|
lefontsilonges uiure.	-|---|-|-----|-----|
Ca rplëust Dieu qui tota	--⌫|------|---|--|--||
en baillie Que il fastoreel puis	-|------|--|-|---|--|-|---|
elToiu reouenla	-|----⌫-|-|-|-|
MerRougieLi quens Gu illa umes dechou	--|-----|-|----|--⌫----⌫---|-|---|
nentendoitmieIl	|--------|--|-|
n endonast	|-|-----|
lem onte duneallie.	-|-⌫---||--|-----|
Neuouss a i	-|---|-⌫-⌫|
pas trestoutson est redi reMa is	--|-------|--|---⌫-|--⌫-|--⌫-|
tantifu que	---||-|--|
fo rmentlehäirent	--⌫----|-|-------|
A be setm oinequ eIhesu sma lëie.	-⌫--⌫|-|-⌫---|--⌫|-----⌫|--⌫-----|
Maisl iseriantl ameren tet	---|-⌫|------||------⌫|-|
cierirent-Carillesfai t de uïandes tousr i ces	--------||--|-|--|---⌫|-|-------|---|-⌫-⌫--|
Do unelordras	--⌫--|--|---|
braiesetcemises- Partoutle seruentetfont	-----|-|------||--|---|-|------|-|---|
saco m mandiseMais	-|--⌫-⌫------|---|
heentet maudïent.Huimaisorré s commentil	----|-|---------|--|---|-----⌫|------|-|
porquisentQu ille pëussentet destruire	---------|-|-|-|--------|-|--------|
confonge li fieu s sa inteMa rieHuimaisor re ́s	-------|-|----⌫|--⌫---|--⌫--|--|---|--⌫--⌫-|
d uneb oine	|--|-⌫---|
cancho nCest d e	------⌫||--|-⌫|
G uillaume au cort	-⌫-------|-|---|
nésle baronLa issa le si ecle	---|-|----|--⌫---|-|--⌫---|
por deu e nir preudom	--|---⌫-⌫--|------|
lef roce tle	-|-⌫--|-⌫|-|
gra n t pelichon .	---⌫-⌫|--------⌫|
Moutsertb ienDieu etla nuitet	---|---|-⌫--|---|-|-|---|-|
leioruaita	-|--|---||
matine setesten	------⌫|-|--|-|
o rison.Maisunecose	-⌫-----|---|--|---|
uosdisonsQuemoutleheent	--|-----|--|---|-|----|
trestoutsicom pa i gnon Ca rtrop mangüe	-------|-|---⌫--⌫-⌫---|--⌫|---|------|
de car etd e	-|--|-|-⌫|
poisso n Et	------⌫|-|
plus escillequetroi autrenefont Si	---|------|--|---|----|-|---|-|
doneta ntentoret	---|--⌫-|----|-|
Quassésenontescüier	-|-----|-|--|-------|
e tgarch on.Car bi ene nert apris	-⌫|-----⌫--|--|--⌫-|-⌫|--|----|
gentieusho mIlen auoitëuagrantfuison.	-------|--⌫|-|-|----|--||----|------|
Mout so ntli	---|--⌫-|-|
luiengr ant fri chonU niors	--|-|--⌫--|---⌫---|-⌫|--||
a ssambhentsansl ui	-⌫--------|---|-⌫-|
en unesconsL	-|-|-----||
abes ifu quiHenris	---||-|--|-----|
ot anon.Dï e ntlimoi neSireque lle	-||---|---⌫-⌫-|-|---⌫-|---|---⌫|-|
cest dïablequici	---|------|--|-|
estauoecnosSeil uit	--|----|--|-|-|--|
longes c ertes	-----|-⌫----|
nidueron.Et	||------|-|
ditliabesSigno r or en	--|-|---|-----⌫|-|-|
parlonConseil l iés	-----|-------⌫-⌫---|
moicommentes plo iteronNe	--|------|--⌫---⌫-----|-|
saicommentdeliuré	--|------|-------|
ensoion s.Illi	-|-----⌫-|-|-|
respo nd en tBien	-----⌫--⌫--⌫|---|
u ousconseillerons.	-⌫--|-------------|
Oruientquaresmes	-|----|--------|
unesai ntesaisonPa squef lorieet	--|---⌫--|-----|--⌫---|-⌫----|-|
Su rrecti onQu	--⌫------⌫-|-|
couien t porquerre garisonE t	------⌫|--------|------|-⌫|
desuïandesde	--|-------|-|
coiuiu rep uiss on.Orlenuoiésala	--|---⌫-|-⌫----⌫--|-||-------||-|
m eraupoisson -Il	-⌫-|-|------||-|
iusquaq uinselarrons Ens e l	----||-⌫----|------|--|-⌫|
g r ant ualdeSigréce d itonL a	-⌫-⌫--|--|-|-----|-|-⌫-|-|-⌫|
gentmordrissentn ipuet passe rnus	---|----------|||---|-----⌫|--|
ho mSeil la t aignentbien	--⌫|-|-||-⌫-⌫------|---|
