roisartusdebretaigne	---|----|-|--------|
et ioliproiqu el e	-|-|-|---|-|--⌫|
quele cos equi moidesplaise	--|-|---⌫|--|--|--------|
neme comants oie mer chi	-|-|-----|-⌫--|---⌫--|
dametrest otcilquisont ci	---|-----⌫-|--|--|---|-|
f aitkexbon greuousen saron t	-⌫--|--|--|--|---|-|-----⌫|
etuolenterslescouter ont	-|--------||--------⌫--|
en faitesrien	-|-----|---|
mais foiqueuousd eués	---|--|--|---|-⌫----|
le uos tre signore tle	-|---⌫--|-----|-⌫|-|
comman désl isi	------⌫---|-⌫|-|
ferés bi en	-----|--⌫-|
ca logr enantfai t la	--⌫----⌫----|---⌫|-|
neu ou s cailledelaatine	-|-⌫--⌫|-----|-||-----|
m ons ig n or	-⌫-|-⌫--⌫-⌫-|
kexlesenescal	--|-|-------|
cost u mersestd e dire	----⌫-⌫---|--|-⌫|---|
nelem puet castoier	-||-|---|-------|
commanderu o u su oiletproier	--------|-⌫-⌫-⌫|-⌫--|-|-----|
que ia n enaiés alcoer ire	--|-||-|----|-|---|--|
ne laie ́sadi re	-|----⌫-||--⌫-|
co sequino u spla isea o ir	--⌫-|--|--⌫-⌫|---⌫--||-⌫-|
sedemamoruo lésioir	-|-||---|--⌫---|---|
sicomencié stot derecief	-|---------⌫|--|-------|
foidamemoutmest grief	--|---|---||--|----|
que uo usmecomandésa	--|--⌫-|-|--------||
ainsmelaiass ezz	---|-|------⌫|-|
dese lstrair e	--|-⌫-|-----⌫|
secorrochi erneuou sosaise	-|--------⌫-|-|---⌫|-----|
quimaisnulec o secon taisse	|-|---|---|-⌫-⌫-|---⌫-----|
i luous siet	-⌫|---|---|
commentqueilonques me griet	---------|-|-----|-|----|
desqu iluou s pla ist	----|-|---⌫|---⌫--|
or entendés	-|--------|
coe reto relles me rend és	---⌫|-|-⌫-----|-|----⌫--|
car paro lesi	--|----⌫-|-|
es tperdue	--⌫|-----|
s elenestdecoerentendue	|--||--|-|---|-------|
d ecel siadecelsquiloent	-⌫|---⌫|||-|---|--||---|
nentenden tpas etsi	|--------⌫|--|-|-|
etciln en ont	-|--||-|--|
maisq ue lo i e	---|-⌫-||-⌫-⌫|
puisqueli coer snient e ntmie	------|-|----⌫|||---⌫-⌫-|--|
qasorilles uient laparole	|-|------|----|-|-----|
au sicomme	--⌫-|----|
li ue ns qui uole	-|--⌫-|--|---|
mai s nia restene	---⌫|||-⌫----|-|
ai nsse mpartenmo ut petitdore	--⌫-||-⌫|---|-|--⌫-|----||--|
se licoer s	-|-|----⌫|
ensa gnié s	----⌫-----⌫|
qalp randre s oi t	|-|-⌫-----|-⌫--⌫|
aparilliés	----------|
carcillapueten	--|--|-|---|-|
prandreetenclore	------|-|------|
lesorelle s	--|------⌫|
sont u o ieet	---|-⌫-⌫-|-|
parou uient dusq	--|-|----|---|
alcoerla u ois	-|---|-|-⌫--|
e tliqoers pren t deden s leu entre	-⌫|-|----|----⌫|-----⌫|-|-⌫----|
l auoi squipar	-⌫|---⌫|--|--|
l orelleientre	|-----||----|
e tqui ormeuauraenten dre	-⌫|--|-|-|----|-----⌫--|
coer etor elles medoit rendre	---|-|--⌫----|-|---|-----|
car neuoil pasparlerdeson g e	--|-|---|--|-----|-|---⌫-⌫|
nede fabl enedem enc onge	-|-|----⌫|-|-|-⌫---⌫---|
do nt maintaut reuo us ont serui	--⌫-|----|---⌫-|--⌫-|--|----|
ai nsuousd irai ce que	--⌫-|---|-⌫---|-|--|
ilauint presade	-|----|---||-|
que tosseuscommepaisans	--|--|---|----|------|
aloiequerantauent ures	----|------|-----⌫---|
a rm és detoutesa rmeures	-⌫--⌫--|-|-----|-⌫------|
che ualierdeuoit estre	---⌫-----|-----|----|
un c e minade st re	-|-⌫-⌫--||--⌫--⌫-|
de ro nc ese t d	-|--⌫--⌫-|-⌫||
espine splaines	------⌫|------|
agrantanuiet a g rans paines	|----|---|-||-⌫---|-----|
t inc celeuoie etcelsentier	-⌫--|---|---|-|--|------|
abien pres totl eior	|---|---|--|-⌫|--|
ceua l cantissi	----⌫-⌫---|---|
ta ntquede	--⌫----|-|
laforestissi	-|-----|---|
e mbresceliande	-⌫|-----------|
delaforest en une la nde	-|-|-----|-|--|--⌫--|
uiune b rete sche	-|--|-⌫----⌫---|
ademieliueg alesc he	|----|---|-⌫-----⌫-|
setant iotp lus n	-|---||-|-⌫--||
celepartuinceneslepas	---|---|---|--------|
le baileetle fousse	-|----|-|-|-----|
toutenu iron parfontet	---|---⌫---|------|-|
e tsorle pont empie sest oit	-⌫|--|-|---|-|---⌫|---⌫--|
cil q uilaforterec ee stoit	--|-⌫-|-|--------⌫|-⌫----|
so rsonpungu n ostoirmué	--⌫|--|---|-⌫|-----|---|
oim ieb iensalué	-|-⌫-|-⌫--|-----|
qantilm eui ntaprendre	---|-|-⌫|--⌫-||------|
simecomandaa	-|-|------||
des cendr e	---⌫-----⌫|
iodesc endiil ni	-|----⌫---|-|||
carmest ierauoie d	--|----⌫--|----||
mainte nant	------⌫---|
plus deyyfoisenuntenant	---|-|-|---|-|-|-----|
quebeneoitefustlauoi e	--|-------|---|-|---⌫|
paron claiansuenusestoie	--|--⌫|-----|----|-----|
a it ant enlacort entrames	|--⌫--|-|-|---|-------|
l epontet laporte	-⌫|---|-|-|----|
en mila cort aluaasor	--⌫-|-|---|-|-----|
qui d exdointtantioieethonor	--|-⌫-|----|---|---|-|----|
t antcomi lfist moi	-⌫--|--|-⌫|---|--|
pendoit une tabl eiocuit	------|--|----⌫|-|---|
n auoit ne ferne fust	|----|-|--|-|---|
qui decoiure ne fust	--|-|-----|-|---|
s orcele table dun ma r t el	-⌫-|---|----||-|--⌫-⌫-⌫-|
quidaleserta	--|----|--||
feriliuaasoryy cols	---|-|-----|-|---|
cilquilaians furentenclos	--|--|-----|-----|-----|
oi re nt lauois e tleson	--⌫--⌫-|-|---|-⌫|-|--|
anlacort aual	-|-|---|---|
liunscorutamon ceua l	-|--|----||--|----⌫|
quelibonsuaasortenoit	--|-|---|-----|-----|
etiouiqueuers	-|-|-|--|---|
mo iuenoit	--⌫|-----|
une pucelebel eg ente	--|-----|---⌫|-⌫---|
en lie sgarder mismentente	-|-|-⌫------|--||------|
quele fulongegrail le	-|--|-|----|-----⌫-|
d e mo i desarme rfuadroite	-⌫|--⌫|-------⌫|-|------|
que ele lefist bi en et	--|--|-|---|--⌫-|-|
pui smafubla	---⌫||-----|
zzcort mantel	-|---|-----|
uairdesqu arlate poonace	---||----⌫-----|------|
et t otm e guerp irentlapl ace	-|-⌫-|-⌫|-----⌫----|-|--⌫--|
moineauolcli	--|-|----|-|
ne rem estnusce m	-|---⌫--|--|-||
iqueroieu eoir	|------|-⌫---|
me na seoir	--⌫-|----|
pra alet delmonde	---⌫---|--|----|
clo sde basmural ar o o nde	---⌫|-|--|--||-⌫|-⌫-⌫-⌫--|
lale trouai siafaitie	-|-|-----|-|------|
sibie n parla ntet ensaigni e	-|---⌫|-----⌫-|-|--------⌫|
dete l sam bl a ntetde	-|--⌫|---⌫--⌫-⌫-|-|-|
c omme puceledeuoit est re	-⌫---|-----|-----|---⌫-|
neiamaispor nul estouoir	-|-----|--|--|-------|
enque sis ser emouoir	-|---⌫---⌫-|-⌫------|
maista ntmefi s t	---|--⌫-|-|--⌫-⌫|
lanuitdeguerre	-|---|-|-----|
li uaa sorsquilme uint	-|---⌫---|-|-|-|---|
qantdesoperfutans etore	---|-|----|-|---|-|--|
plusfaire dedemore	---|----|-|-----|
si fisloessoncommandement	-|--|---|--|-----------|
delsoperuous di raibriement	--|----|---|--⌫--|-------|
fudel to t	-|--|--⌫|
puisque de uantmoifuasise	------|--⌫---|--|-|----|
quiss iasi st	--|-||---⌫-|
apres soupe ritant	----|-----⌫|----|
li uaa sorqueil nesauoit	-|---⌫--|--|-|-|-----|
le terme puisqueil	-|----|------|-|
h erbergi écheualieresrant	-⌫-------⌫-|--------|-----|
quiauenture alastquerant	--|-------|----|------|
s inauoitil	-⌫||----|-|
main therbergi é	----⌫|--------⌫-|
ap resceme	--⌫--|-|-|
proiaquegie	----|--|--|
parsonhos telm	--|--|---⌫--||
e n r eu enisse	-⌫|-⌫--⌫-----|
en guerdon	-|------|
e tens eruise	-⌫|-|-⌫-----|
etio lidisuolenters	-|-|-|--|--------|
quehontefust de	--|----|---|-|
lescondire	|--------|
petitpor monhost efe isse	----|--|--|----⌫|--⌫---|
se cestdon	-|---|--|
li escondeisse	-|----------|
moutfuibien la	---|--|---|-|
nui t ostelé s	---⌫|-------⌫|
loesqueiopoileior ue oir	------|-|--|-|--|--⌫--|
oi mout proiélesoir	-|---|-----|-|---|
f ubienfaitemaproi ere	-⌫|---|----|-|----⌫--|
mon bon hostee tsafillechi ere	--|--|----|-⌫|-|----|---⌫--|
acommandai	|--------|
a trestos congiedemandai	|------|-----|-------|
sim enala ilo e sque io poi	-||-|---⌫|--⌫-⌫---|-|--|
lostelg uaireseslong iénoi	|----|-⌫-----|------⌫--||-|
qan tio trouaienun e ssars	---⌫|-|-----|-|-|-⌫----|
ettors saua gesetl upars	-|---|----⌫--|-|-⌫----|
quise ntreco mb atoi enttuit	--||-⌫------⌫--⌫----⌫--|---|
etdemenoients i	-|---------|-⌫|
g rantb ruit	-⌫---|-⌫---|
et telferteettelorgoel	-|--|----|-|--|-----|
se uoi rconoistre uouse n uoel	-|---⌫|--------|---|-⌫|---|
que depaor	--|-|---|
metraisar iere	-|----|--⌫---|
que nulebesten esttantaa	--|---|----||--|---|-|
ne p lusorgillose de	-|-⌫--|--------|-|
zzui lainsquiresambloitmor	-|--⌫----|--|---------|--|
granshisdeusa	----|------||
desme sure	-----⌫---|
issitreslaide	---|---|----|
conn eporoit	|-|-⌫|-----|
d irede boce	-⌫--|-|---|
il o c seo itsoruneco ce	--⌫-⌫|---⌫-|--|--|--⌫-|
une grant mac ue en	--|----|---⌫-|-|
iomaprocaiuers	-||------|---|
siui quilot	-|-|-|-|-|
roncisne autre be ste	-----|-|----|--⌫--|
c haue xloq uiéset frontpelé	-⌫----⌫|---⌫----|-|----|----|
s ot p l us de yy	|-|-⌫-⌫-|-|-|
espansdele	-----|-|-|
o rilles uelu es etgran s	-⌫-----|----⌫-|-|----⌫|
ausi leescom	---|---|--|
es tzzuans	--⌫|-|---|
lessorci lsgran setleuis	--|-----⌫-|----⌫|-|-|--|
e tne sde kieuree t elsder at	-⌫|--⌫|-|-----|-⌫|--|-|-⌫-|
bocefendueco mmelous	---|-----|--⌫--|---|
s angle ragu s	-⌫-----⌫|---⌫|
ba rbe noiregreno ns tortis	--⌫--|----|-----⌫-|-----|
etle mentonaers	-|-|-----|---|
corbe es quinetorte bocue	----|--⌫----|----|----|
apu iésfusorsa macue	---⌫---|-|--|-|----|
robe siestrange	---|-|-------|
quil n ia uoitne	-|-|||-⌫---|-|
ainso ta s onc ol	---|-⌫||-⌫-|-⌫-|
yy cui rsdenouelesco rcié	-|---⌫-|-|----|----⌫----|
d eyytoriaxetdeyy	-⌫|-|-----|-|-|-|
empies saliliuilainsloes	-|---|---|-|------|---|
qui l meuit	-|-⌫|-|--|
alui aproisch ier	|--|--------⌫--|
ione saisilm e	-|-|--||-|-⌫|
ualt tochie r	---|------⌫|
saiquilseuautemprendre	--|-|-|-|---|--------|
ga rnidedesfendre	--⌫--|-|--------|
tantqueiouiqueils	------|-|-|--|-||
t oscoisempiesetne se	-⌫-|---|-|---|-|-|-|
etfumontés desor	-|-|------|----|
s otbienyypiesdelonc	|-|---|-|---|-|---|
simesgardaet	-||------|-|
m otne di st	-⌫-|-|--⌫-|
nep lusquunebeste feist	-|-⌫--|-|--|----|----|
et ioqu edaiquiilne ust	-|-|--⌫---|--|-||-⌫--|
raisonne parlerneseust	-----|-|-----|-|----|
tot es uoies tantm	---⌫-|----|---||
quei olidisuac a rmedi	--|-⌫|-|--|-|-⌫-⌫|-|-|
se tuesbonecose unon	-|-|-|---|---||--|
e tilmeditiosui zzh on	-⌫|-|-|--|-|--|-|-⌫-|
qel s home st ut e uscomtu	---⌫|--|-⌫|-⌫|-⌫-⌫-|--|-|
i o nesui altr esnulefois	-⌫|-|--|----⌫-|---|---|
quefaistu ci i c ime stois	--|---|-|-|-⌫-⌫||-⌫----|
sigartces bestespar	-|---|--|-----|--|
gardes porsaintperredero me	-----|--|----|----|-|--⌫-|
ianeco nnoistrentelesh ome	-|-|--⌫---------|---|-⌫--|
i one quitq uen pla inn en	-⌫|-|---|-⌫|-|---⌫-||-|
puistlen gar d e rbe stesaluage	----|--|---⌫-⌫-⌫|--⌫--|------|
n enautre liupornu le cose	|-|----|--|--|--⌫-|---|
selemestloiey enclo se	|--||--|---||-----⌫-|
siceste setiustis	-|-----⌫|-|-----|
queianistront deces t	--|-||------|-|---⌫|
ettucomment dim enle uoir	-|-|------|-||-|-|---|
qui sostmouoir	--||--|-----|
desqu e lemeuoient ueni r	----|-⌫-|-|-----|----⌫|
qarq uantiempuisunetrai r	--|-⌫---||-|---|--|----⌫|
iol es traincsipa rles y ycors	-||--⌫-----|-|--⌫|--|-⌫|---|
as puinsque iaiet durset	-|----|--||-|-|---|-|
q uelesau tres de	-⌫-|--|--⌫---|-|
pa or tramblent	--⌫-|--------|
e t totenuironmoi sasa mblent	-⌫|--|------|--||---⌫-----|
al s ic om p or mercicrier	--⌫-⌫|-⌫-|-⌫-|----|----|
nen usnes i poroitfie r	-|-⌫-|-|||-----|---⌫|
forsmoisentrel es sestoit m is	---|--||---|--⌫-||-----|-⌫-|
de cestporpris	-|---|------|
ensisuidem esbeste ssire	---|--|-|-⌫-|-----⌫|---|
ettumeredeuroiesdire	-|-|-|---------|---|
quelshom t u esetque	----|--|-⌫|-|-|--|
io sui f aitilu nscheualiers	-|--|-⌫--|-|-⌫-|---------|
qui quierce que trouer n e	--|----|-|--|-----|-⌫|
asses ai qui s	----|-|---⌫|
etr ienne truis	-|-⌫--|-|----|
etqueuaur oiest utrouer	-|--|----⌫---|-⌫|-----|
a uentu re por	-⌫-----⌫-|--|
maproec eetmon	-|-----⌫|-|--|
hardimen t	--------⌫|
orte pr ietqui eret demant	-|-|--⌫|-|---⌫-|-|-----|
se t us es que tumecon selles	-|-⌫|-⌫-|--|-|-|---⌫-----|
u dauentureu de meruell es	||-------||-|-------⌫-|
acefaitil fa ur astubien	|-|---|-|--⌫--⌫-|-|---|
d auenture	|-------|
nonquesnenoi	|-----||-|-|
maispa rler	---|--⌫---|
m aissetu uoloiesaler	-⌫--|-|-|------|---|
cipresdusq uaunefont ain e	-|---|----⌫||--|----⌫---⌫|
nenuenroi es miesa ns	|-|------⌫-|--|--⌫-|
setuli randoiesorendro it	-|-|-|-------|-------⌫-|
unsentier q ui la	-|------|-⌫-|-|
totela droiteuoie ua	---|-|-----|---|-|
set uuextespa semploie r	-|-⌫|--|--|--⌫|-------⌫|
carbienp oroies foruoier	--|---|-⌫-----|-------|
quiliad a utresuoiesmout	-|-||||-⌫----|----|---|
lafontain euerrasquibout	-|-------⌫|-----|--|---|
sisteleplusfr oide	-|-|--|---|--⌫---|
quemarbres	--|------|
ombreli faitliplu sbiax arb res	----|-|---|-|---⌫|---|---⌫--|
conqu es peustfa ire n atu re	|----⌫-|----|--⌫--|-⌫---⌫-|
entostanssafoille	-|--|---|-|-----|
quiln ele pert	-|-|-⌫|-|---|
por nuliuer	--|--|---|
ets ipentzzb acin s de fer	-|||---|-|-⌫----⌫|-|--|
aunesilonge caaine	|--|-|----|-----|
qui duredusqua lafontaine	--|---|----||-|-------|
le slafontai netroueras	--⌫|-|------⌫-|-------|
z zperron te l comt uuerras	-⌫|-----|--⌫|--|-⌫|-----|
mais iones ai a	---|-|-|-⌫-||
enuionq u es nul tel	-|-|---⌫-⌫-|--|--|
partune cap ele	---|--|---⌫--|
petite maisel eest moutbel e	-----|---|--⌫|--|---|---⌫|
uelsdeleue prandr e	---|-||--|------⌫|
etde sosle perron	-|--⌫--|-|-----|
es pa ndre	--⌫--⌫---|
lauerra sun e	-|-----⌫|--⌫|
te ltempeste	--⌫|-------|
quencestboisn eremanraiabeste	-|-|---|---|-⌫|------|-|----|
chieure usnedainsnecersnepors	-------⌫-|-|----|-|---|-|---|
nis li oise lenistr ont fors	--|-|----⌫|-|----⌫--|---|
cartuuerrassi fold r oier	--|-|-----|-|----⌫-⌫---|
uenter eta rbre s	-----|-|-⌫----⌫|
plouoi rue nteret espartir	------⌫|--⌫---|-|-------|
que setutenpu esdepartir	--|-|-||-|--⌫-|-------|
sansgra ntanui	---|---⌫-|---|
et s anspes anc e	-|-⌫--|---⌫---⌫|
tusera sdegrignorcaa nce	-|----⌫|-|------|---⌫--|
quecheual ierquii fusto nques	--|------⌫--|--||---|-⌫----|
deluilainmepa rt i	--|-----|-|--⌫--⌫|
quibien motlauo ie mostree	--|---||-|-|--⌫-|------|
e spoir s ifut e rce passee	-⌫----|-⌫|-|-⌫-⌫--|-----|
et pres estoitde m iedi	-|---|-----|-|-⌫---|
qant larbreetle	---||----|-|-|
cape le ui	----⌫-|-|
biens aide l arbreces t	---|-⌫-|-||----||--⌫|
qu eceestoitliplusbiaxpins	--⌫|-|-----|-|---|---|---|
quionqu es	--|----⌫-|
sorterec reust	--|---|-⌫----|
ne quitconquessifaitpleust	-|---||-----|-|---|-----|
quedeueipassastunego ute	--||--||------|--|--⌫--|
ancoiscoloitpardesustote	-----|-----|--|----|---|
uil ebacinpendre	-|-⌫|----|-----|
del plusfi norq ui f ustaue ndre	--|---|--⌫|-|-⌫-|-⌫--||--⌫---|
onquesencor a	-----|----||
n ule foire	-⌫--|----|
delafontaine poéscr oire	-|-|-------|----|--⌫---|
quelebo loitcom eu ecaude	-|--|--⌫---|--|--⌫|----|
liperronser tdun	-|------|--⌫||-|
esmer au de	-----⌫--⌫-|
percie ́saus icomunebous	------⌫-|---⌫|--|--|---|
siotyyr u bisdesous	-|-|-|-⌫-⌫--|-----|
pl usflamboian setplus uerma u s	--⌫-|---------⌫|-|---|-----⌫-⌫|
quen e stalmatin	--||-⌫-|-|----|
qant ilaperteno rient	---|-|----|-|-⌫----|
iaquei o sa cea ens ient	-|--|-⌫|--⌫-||---⌫---|
ne u ousen	-|-⌫--|-|
mentirai demot	-------|-|--|
lameruelleaueir m enpl ot	-|-------||---||-|--⌫-|
tempe s teetdel	-----⌫-⌫-|-|-||
nemetinc mi e asag e	-|-|---|--⌫||---⌫|
que maint en ant seio pois s e	--|-----⌫--⌫--|-|-|----⌫-⌫|
moutuolent ersme n repentisse	---|------⌫--||-⌫|---------|
quant io oi	----|-|-|
le perro n crosé	-|-----⌫|-----|
deleue al bacin	-||--|-|----|
maistrop en i uersai cedolt	---|---|-||-----|-|---|
carloesu is i	--|---|-⌫|-⌫|
le cielderoute	-|---|------|
menferiesiels lie spars	|-|---|-|---|-|-⌫----|
etlesnue st otmellem elle	-|--|---⌫|-⌫-|------⌫---|
ietoientpluieet	-------|----|-|
neue etgrell e	---|-|-----⌫|
ta ntfuliciel spenixet	--⌫-|-|-|----⌫|----|-|
que yyfoi squ idaie stre	--|-|---⌫|--⌫---|-⌫---|
des foudres qu	--|------|-|
ent or mo icaoient	---⌫-|--⌫|------|
etd esarbresquipecooien t	-|-⌫-|-----|--|--------⌫|
s aci é s que moutfuiesmaiés	-⌫---⌫--⌫|--|---|--|-------|
tantquelicilsfurapaiés	------|-|---|-|-------|
mai sdextant me raseura	---⌫|--|---|-|------|
que litansgairesne dura	--|-|---|-----|-|---|
liuents e rep oseren t	-|---|-⌫|---⌫------⌫|
qantdexne ualt uenter noserent	---|--|-|---|-----||------|
etqan tio uilair	-|---⌫|-|-||--|
cle ret pur	---⌫|-|--|
deioie fuitotas seur	-|---|--|--|--⌫---|
carioie s onquesle conn ui	--|---||-----|-|----⌫-|
fait obliermout g rant anui	---|-----|---|-⌫---|---|
q ardesquelitansfu passés	-⌫-|-----|-|---|-|------|
otsor le pinttantamassés	-|--|-|---|---|-------|
oisiaxs est	-----||--|
meuoel l e	-|----⌫-⌫|
q uil niauoitbrancenefoel l e	-⌫|-|||----|-----|-|----⌫-⌫|
q ui tos n e f ustcouersdoisiax	-⌫-|--|-⌫|-⌫--|-----||-----|
si n est oitliarbresplus	-||---⌫--|-|-----|---|
et tresto tlioiselcantoien t	-|------⌫|-|----|--------⌫|
si q uemout b ie ns	-|-⌫-|---|-⌫--⌫||
entreac ordoient	-------⌫-------|
maisdiuers cans	---|-----|---|
canta ca scons	----|--⌫----|
c on que s	|--⌫---⌫|
c eque ca nta liuns	-⌫|--|--⌫--|-|--|
a l aut recantern i	||---⌫-|-----|||
de laioieme	-|-|---|-|
