formCiconmenc e la uiede	---|-|-------⌫|-|--|-|
comuousauez oïetueüno ientplusn est	--|---|---|--|-|---|--⌫---|---||--|
mon corsconcie zne	--|---|------⌫|-|
atouchiezparl	--------|--||
atochementdecestefeme	---------|-|----|---|
Cil nelen uoudre ntcroirepor	--|-||-|------⌫-|-----|--|
q uanq ilauoie nt	-⌫---|-|-----⌫-|
ueu ̈einzle trestr ent etgete rent	---⌫|---|-|------⌫--|-|----⌫---|
fo rsdela cité .	--⌫-|-|-|----||
Einsintf uaemplie	------|-⌫|------|
laparo le seint	-|----⌫-|----|
Martinq i li d ist qil aue roit moutd epaines	-----|-⌫|-|-⌫--||-|---⌫---|---|-⌫|-----|
et de ad uersitezenl	-|-|--⌫-------|-||
eueschiéetenlasignorie.	--------|-|-|-|-------||
QantseinzBrice s	---|----|-----⌫|
fuein sig etez dela c itédeTor z et	-|---⌫-|-⌫---|-|-|-⌫---|-|---⌫|-|
sachiezlicitoienfi ren ta rceuesqe deIusti nie net s einzBrices	------|-|------|--⌫---⌫|-⌫-------|-|-----⌫---⌫|-|-⌫---|-----|
lapostolesi	|-------|-|
l icontatoutem plor an tcomentloeurede	-⌫|----|---|-|----⌫--⌫|-----||----|-|
l ui estoital eeetsi	-⌫-|-----|--⌫-|-|-|
lidistqecee s to i tabondroit	-|---|-|-|-⌫-⌫--⌫-⌫||--|----|
q ila uoitcesttrauail e tcestepeinecar	|-|-⌫---|---|------|-⌫|----|----|--|
ilauo itmol tpechiée nuersse intMartinleseint	-|---⌫-|---⌫|------|-⌫----|--⌫--|-----|-|----|
ho m e etditesmeintes paroles	--⌫-⌫|-|----|------|------|
qiligr euerentet	-|-|--⌫------|-|
l ao ui lau oitueüe sses uert uz	-⌫|-⌫|-⌫|--⌫--|-----⌫|--|----⌫-|
neles auoitil mie	-|--|----|-|--|
Qant cildeTorssorentqeseinz	---|--|-|---|-----|-|----|
Bricesestoitei nsiaRome alez	-----|-----|--⌫--||---|---|
iltres trenta	-|----⌫----||
Iustienl orarc euesqe etsilidist ren tqils	------|-⌫-|---⌫-----|-|-|-|----⌫---⌫||-||
enalast apre ́sseintB ricea Romesifust	-|----|----⌫-|----|-⌫---||---|-|---|
encontrelui del tou tsi	-------|--|--|---⌫|-|
c o m porluimeïsmes	-⌫-⌫|--|--|-------|
et s ilce nefesoit	-||-|-|-|-----|
bienseüstq	---|-----||
il l ed espose roient.	-|-⌫|-⌫------⌫-----||
DontissiIustiensd e la ci té de Tor set	---|---|-------|-⌫|-|--⌫--|-|---⌫|-|
alatant qilu int auerziaus	--|---||-|-⌫--||-------|
enLo mbardieetlaacoucha il	-|--⌫------|-|-|------|-|
maladessi morut pa rlau ol e ntetnostre	------|-|----|--⌫|-|-⌫--⌫-⌫---|-----|
Quant cild eTorssorentla nouele d eI ustienqi	----|--|-⌫|---|-----|-|-----|-⌫|-⌫-----|-|
m orsestoitilned eguerpirent mi elorgrant	-⌫--|-----|-|-|-⌫----------|--⌫|--|----|
felonie einzremist rent Armense en	------|---|------⌫---|------|-|
l a chaereet	-⌫|-----|-|
en l asignorie.	-|-⌫|-------||
Etse inz Br icesqienRome	-|--⌫--|--⌫---|-|-|---|
estoitchantoitmesseenlacitéetploroit	-----|-------|----|-|-|----|-|------|
po rlesmesfez q il	--⌫|--|-----||-|
auoit fez enuersseint Martin .	----|--|-----|----|-----||
Qant uintau	---|---|-|
septiemean	-------|-|
re pairapar	--⌫----|--|
lauolenté de	-|-------|-|
lap ostoileet	|--⌫------|-|
parsauctorit é	--||--------⌫-|
citédeT o r s etal atantq	----|-|-⌫-⌫-⌫|-|--⌫|---||
il u int a uchaste l deLoduns esihe rberga	-|-⌫--|-⌫|------⌫|-|----|-⌫|||--⌫-----|
E tadoncestoitArmenses	-⌫|----|-----|-------|
mol t maladesdemoltcruelesfieures si qilr endi	---⌫|------|-|---|------|------|-||-|-⌫---|
lameami enuit .	|--||--⌫----||
Et meintenan tqi l	-|---------⌫||-⌫|
fumorz le sot se inzBrices	-|---|-|--|--⌫--|-----|
parau isionsidist	--|--⌫----|-|---|
asescompaignons qi ensamble oluiestoientLeuez	|--|----------|-|-------||--|-------|----|
susisnielem ent si	--|--------⌫--|-|
qe nospuissons	-|--|-------|
tens aen foïrl	---||--⌫----||
arceuesqedeT o rs .	--------|-|-⌫-⌫-||
Lorsse smurentet	---||-⌫------|-|
uindren ta	-------⌫||
l a portede Torssientrerent	-⌫|----|-|---|-|--------|
dedenzeta celeeuredroitemportoit len l	-----|-||---|---|----|--------||-||
arceuesq eenf oïrqimorzestoit parlautre	--------⌫|---⌫---|-|---|-----|--||----|
lacitéet moutdeclers e t d	-|----|-|---|-|----|-⌫||
autres genza l oie nta présporlenfoïr .	-----|---|-⌫-⌫---⌫-|-⌫----|--||------||
Etqant A rmen ses	-|---|-⌫----⌫--|
liarceue sqesfu	-|------⌫---|-|
enfoïzseinz	------|----|
Bricesseras sistens a	-----|-|---⌫---|-|-⌫|
c haai reen	-⌫----⌫-|-|
pe ssanzce	--⌫|---|-|
qen us licontre deïsten nulem ani ere.	-|-⌫-|-|------⌫-----|-|---|-⌫---⌫--||
Aprésce uesqiseinzB ri ces.	-----|-|----|----|-⌫--⌫--||
anz moutpreud om	--|---|-----⌫-|
et demoutseinteu ie .	-|-|---|-----|-⌫-||
Etq antil morutsiauoitilesté.	-|-⌫--|-|----|-|----|-|----||
anz arceu esq esen core eüstilci dedenzeües les	--|-----⌫---⌫-|--⌫---|----|-|-|-----|----|--|
persecu tionsetles	-------⌫----|-|--|
peinesqe ieuos aiconteesetdi tes .	-----|-|-|--|-|------|-|--⌫--||
Apriés seins	------|----|
B ri cesfu	-⌫--⌫--|-|
arceuesqes deTorsseinzEustochiesqi mou t	---------|-|---|----|---------|-|---⌫|
f u pre udomet	-⌫|---⌫---|-|
degrantseinteéetmaintint larceuesq ié etla	-|----|-------|-|-------||--------⌫--|-|-|
segnorieetsonpue plebi ene t	-------|-|--|---⌫--|--⌫-|-⌫|
hones tementala	-----⌫-----||-|
l oy e tal	-⌫-|-⌫|||
onornostre	---|-----|
SignorIesuCr ist	-----|---|--⌫--|
de laqu igloirenospuissons t uitestre	-|-|--⌫|-----|--|-------|-⌫--|----|
parçonie rce nosotroitCi lqiuit	---------⌫|-|--|-----|--⌫|-|--|
partoutlesiecle dessieclesAmen	--|---|-|-----|--|------|---|
