des cont e sque	--|----⌫-⌫|--|
aresgardé	|--------|
molt plaintson c ors	---|-----|--|-⌫--|
ets abiaute	-|-⌫|-----|
es toittristeetdole nte	--⌫---|-----|-|----⌫--|
quemarf usa i ouente	--|--|-⌫|-|-⌫-----|
desorlepisli met la m ain	----|-|--|-|--|-|-⌫--|
trou aet le	----⌫|-|-|
quesoz l escoste s libatoit	--|--|-⌫-|-----⌫|-|-----|
li cheualiersquis edormoit	-|---------|--|-⌫|------|
se st esue illiezsil	|-⌫-|----⌫-----|-||
molt par fu	---|--|-|
liez quantla ueue	---|----|||---|
b iensetqu ilestuenuza riue	-⌫--|--|-|-|--|----||---|
la dameplorantet pe ns iue	-|---|------|-|--⌫--⌫--|
respondu moltbonement	-------|---|-------|
demand a li	------⌫|-|
c onfetement	-⌫---------|
il est uenus etdequelterre	-|--|----|-|-|---|----|
et sest essilliez por	-||--|--------|--|
damefetilc e n	---|--|-|-⌫||
pletqueieuosdie	---|--|-|--|--|
m auentureuos	|-------|--|
cont e rai	----⌫-⌫--|
ia rienneuosen celerai	-|---|-|--|-|------|
e nbretaingnelameno r	-⌫|---------|-|----⌫|
e mbo isalai chac ieri e hu i	-⌫|--⌫-|---|----⌫--|-⌫|--⌫|
u n e blanc hebeste	-⌫-⌫|-----⌫-|----|
etla saieteresorti	-|-|-----|------|
enlacu i sse	-|-|--⌫-⌫--|
m as inaure ́	||-⌫|-----⌫|
iamesnec u ita uoirsante	----|-|-⌫-⌫-|-⌫---|----|
labicheseplai ntetpa rla	-|----|-|----⌫-|-|--⌫--|
mauditetsi	-----|-|-|
qu eian eussegarison	--⌫|-||----|------|
sep ar u nem eschine	-|-⌫-|-⌫-|-⌫------|
oue l lesoittrouee	-|-⌫-⌫-|---|-----|
qu antieoi	--⌫--|-|-|
lade stinnee	-|--⌫------|
h astiuement duboisi ssi	-⌫---------|-|---|-⌫--|
enhauu recestenef ui	-|----⌫-|----|--|-|
dedenz entraisi fistfol ie	-----|-----|-|---|---⌫-|
senestlanefrauie	|-|--|-|--|----|
n es ai ouie suiariuez	-⌫|-⌫-|-|-|--|-----|
conmen t a	------⌫||
noncestecitez	--|----|----|
bele damepordeuuospri	---|---|--|--|--|--|
conseilliezmoi uo stremerci	----------|--|--⌫---|----|
ne saiquel	-|--|---|
ne puisgouu er n er	-|---|----⌫--⌫-⌫-|
elerespontb eausire chie r s	--|------|-⌫--|---|----⌫-⌫|
cons eil uos donreuolen tiers	----⌫--|--|----|-----⌫----|
cestecitees t mon sei g nor	----|---|--⌫|--|---⌫-⌫--|
e t lep ais trestoutentor	-⌫|-|-⌫--|-------|----|
richesestmoltdegran tparage	-----|--|---|-|----⌫|-----|
estuielzdeg rantaag e	--|----|-|-⌫---|---⌫|
ango is seusementest	----⌫--⌫--------|--|
parcele foique	--|---|--|--|
dedenzcestclosmaenser ree	-----|---|---|||-----⌫--|
nia forsc une	|||---||--|
seuleen tre	----|--⌫--|
uielzprestr es	----|------⌫-|
lameson garde	-|----|----|
led oinsede x	-|-⌫----|--⌫|
quema uf eusl	--|--⌫|-⌫--||
icisuinuit	--|--|---|
et ior enclose	-|--|------|
i anul ef oizn i ere tant	-⌫|---⌫|-⌫--||-⌫--|---|
enissemaufeus	-|---|--|---|
semes sires nel	-|--|----|-||
me conma nde	-|-----⌫--|
chambre et	------|-|
ma chapele	-|------|
ensembl eomoicestepucele	-------⌫||--|----|-----|
se uosip l eta d emorer	-|--||-⌫-⌫-||-⌫-----|
puissiez t rouer	-------|-⌫----|
uolen tiersuosseiorne r on	-----⌫----|--|-------⌫-⌫-|
e t debon cuer	-⌫|-|--|---|
uosseruiron	--|-------|
qu antilal adame	--⌫--|-||-⌫|---|
d o ucem entladameen mercie	-⌫-⌫----⌫--|-|---|-|-----|
o li seiornacedit	|-|------|-|--|
sestdr eci ez du lit	|--|--⌫---⌫-|-|--|
aident apa ine	-----||--⌫--|
ladameensac hambrel e nm a in n e	-|---|-|-|-⌫-----||-⌫--⌫-⌫--⌫-⌫|
desor le lita lames chine	----|-|--||-|---⌫----|
tr ies quipor cortine	--⌫--|--|--|------|
la chamb reapareilliez	-|-----⌫-|----------|
la est li cheualiercouchiez	-|--|-|--------|-------|
enbac insdoreueap o rteren t	-|---⌫--||-|--|--⌫-⌫------⌫|
sa plaieetsac uisse	-|----|-|-|-⌫----|
lau ere nt	---⌫---⌫-|
a blanc dra pdec h ainsilblanc	|----|---⌫|-|-⌫-⌫-----|----|
lios terent entorle	-|--⌫-----|----|-|
puis lont estroiteme nt bend é	---||--|----------⌫-|----⌫-|
m olt le tienen t engran t chiert e	-⌫--|-|------⌫|-|----⌫|------⌫|
quantlemen gi e rauuespre ui nt	----|-|---⌫--⌫-⌫|-|-----|--⌫-|
lapuce let ante nretin t	-|----⌫-|-⌫--|-⌫|-----⌫|
don tlicheualiers ot assez	---⌫|-|---------|-|----|
b ienfupeuzetabu urez	-⌫--|-|---|-|---⌫---|
mesamors laferue eluis	--|----|||----|-|--|
iaert son corse ng rantestrif	-|--|--|---|-⌫|-⌫---|-----|
damel asi nauré	---|||-|-----|
son paisoublié	--|---|------|
desaplaienu l	-|-|----|--⌫|
maln e sent	--|-⌫|---|
moltsou pireangoisseusement	---|---⌫---|--------------|
lames chi n equildutseruir	-|---⌫---⌫-⌫|--||--|-----|
priequeil lalai t dormir	---|--|-|-|---⌫|-----|
celesempart si	---||-|---|-|
l alessié	||------|
liadonécon gi e	-||----|---⌫--⌫|
deua nt sadameen est alee	----⌫-|-|---|-|--|---|
quidon quesestoi tesc haufee	--|---⌫---|-----⌫|---⌫-----|
du feud ontguimar	-|--|-⌫--|-----|
quesoncuer	--|--|---|
alum eetespr ent	----⌫|-|----⌫--|
liche ualier	-|---⌫-----|
fuan go issous	-|--⌫--⌫-----|
pensisestoit et dolerous	-----|-----|-|-------|
n eset encoreq uecedoit	-⌫|--|-----|-⌫-|-|---|
mes neporquantbien s	--|---------|---||
d amenes tgariz	-⌫--||--⌫|----|
delamortestseursetfiz	-|-|---|--|----|-|--|
ha lasditi lqu e l lafera i	--⌫--|--|-⌫|--⌫-⌫|-|----⌫|
iraia lisilidirai	---||-|-|-|----|
quelle eustmer ci etp itie	-|---|---|---⌫-|-|-⌫---|
de cest cha itifdesco nseillié	-|---|---⌫---|-----⌫--------|
sele refuse map roiere	|--|-----|-|-⌫-----|
ettants oit orgueilleuse	-|---|-⌫--|-----------|
et fie r e	-|---⌫-⌫|
deduelmorir	-|---|----|
oudecestmal tott enslan guir	-|-|---|--|--|-⌫--|---⌫---|
lo rs s ou piraenpoideten s	--⌫-|-⌫--⌫---|-|--|-|---⌫|
liestuenunouelporpen s	-|--|---|----|------⌫|
e t distq u e soufri rli	-⌫|---|-⌫-⌫|------⌫|-|
car ainsifetquimiex nepuet	--|----|--|--|---|-|---|
totelanuita si u eillié	---|-|---||-|-⌫------|
etsoupirée ttrauail lié	-|-------|-⌫|-------⌫---|
cueralo i t recordant	---|---⌫-⌫|--------|
le s paro leset le semblant	--⌫|----⌫--|-|-|-------|
les eulz uairs etla	--|---|----|-|-|
belebouche	---|-----|
dontlad ol or au	---|-|-⌫--⌫-|-|
c uermet ou che	-⌫--|-|-⌫--⌫--|
apel oitsamie	----⌫--||---|
ent r esesdenzmercilic rie	---⌫-⌫|--|---|----|-|-⌫--|
seilseus tqele sentoit	-|-|----⌫||--|------|
etcomsamorladestraingnoit	-|--||---|-|------------|
molt enfustliez	---|-|---|---|
m ien escient	-⌫--|------|
poi de rasoagement	--|-|----------|
litolistauque sla	-|-----|-----⌫|-|
dont ilotpale lacolor	---|-|-|---|-|----|
malpor luiamer	--|--|--|---|
elnesempuetmiel oe r	-|-||-|---|--|-⌫--⌫|
parmatineta lainziornee	--|------||----|-----|
estoi t ladame sus	-----⌫|-|---|--|
u eilliéauoitdeceseplain t	-⌫------|----|-|-|-|-----⌫|
cefetamor quiladestraint	-|--|---|--|||--------|
lamesc hinequio li fu	-|----⌫---|--||-|-|
asonsembla ntl aaparcu	|--|------⌫-|||-----|
que ele amoi t	--|--|----⌫|
licheualie rqu iseiornoi t	-|--------⌫|--⌫|--------⌫|
enlachambre	-|-|------|
porgarison	--|------|
mesel neset	--|-|-|--|
entreelmostier	----|-|------|
iceleuaitaucheualier	----|---|-|--------|
asi sesest deuant	---⌫-||--|-----|
etillapelesil i dit	-|-||----|-|-⌫|--|
amieouest ma d amea le e	---|-|--|-|-⌫--|-⌫--⌫|
por questelesitost leuee	--|-|--|--|-|---|----|
si soupira	-|------|
lames chinelaresonna	-|---⌫----||-------|
sirefet eleuos	---|--|--|--|
gar dezq u euos	---⌫--|-⌫-⌫|--|
amerpoue z	---|----⌫|
enitelguise	-|---|----|
quebien estu ostreamoras sise	--|---|--|-⌫----|---|--⌫---|
qu imadam euodroitamer	--⌫|-|---⌫|------|---|
moltdeur oitbi e n delipenser	---|----⌫--|--⌫-⌫|-|-|-----|
ce steamorser oitcauenabl e	--⌫--|---|---⌫--|--------⌫|
fussi ezan duiestable	-----⌫-|--⌫--|------|
uosestes bia useteleestbele	--|----|---⌫-|-|--|--|---|
ilrespondiala	-|-------||-|
det elamor espr is	-|-⌫-|---|----⌫-|
bienmeporratornerap is	---|-|----|-----||-⌫-|
seien aisec ors eta ie	-|-||-|---⌫--|-|-⌫-|
conseilliez moim adouceamie	----------|--|-⌫|----|---|
queieferaide cesteamor	--|-|----|-|----|---|
lame schine par	-|--⌫-----|--|
grantdouco r	----|-----⌫|
lecheualiera conforté	-|--------||--------|
etde sa ieasseuré	-|-||-⌫-|-------|
de toz les	-|--|--|
b iens quelporroit	-⌫---|-|-|------|
moltert cor t ois e	---|--|---⌫-⌫---⌫|
etdebonere	-|-|--|--|
quan t ladameotla	----⌫|-|---|-|-|
a rie reu ait pa s nes o ublie	-⌫---⌫-|-⌫--|--⌫|-||-⌫----|
s a uoir u olo it qu ec ilfes oit	-⌫-⌫---|-⌫---⌫-|--⌫|-⌫-|---⌫--|
se ilueilliero ui ldo rmoit	-|-|-------|-⌫|-⌫|--⌫----|
porquiam orsson	--|--|--⌫--|--|
co rsnefi ne	--⌫-|-|--⌫-|
auantlapelelames chine	----||----|-|---⌫----|
aucheu al ierlafet	-|----⌫--⌫--|-|--|
bienliporratot a loisir	---|-|----|--||-----|
mo st rer e t di re soncora ge	--⌫--⌫--|-⌫|--⌫-|--|----⌫-|
torta pr euoua	---||--⌫-|-||
illasalu eete l elui	-|-|----⌫|-|-⌫-⌫|--|
esf roi e ren tandui	---⌫--|-⌫---⌫|----|
ilne losoitneant	-|-||----|----|
r eq uerre	-⌫--⌫----|
porc equil ert de lestrang et er re	--|-⌫|-|-|--|-||-------⌫|-⌫--⌫-|
peorau oit siil limostrast	---|--⌫--|-|-|-|-------|
haistou esloign as t	----|-|-------⌫--⌫|
mesqui nemo st re senferte	--|--|-|--⌫--⌫-||------|
apoine puet auoirsante	|----|---|----|----|
p laie dedenzcors	-⌫---|-----|---|
etsin e pert	-|-|-⌫|---|
noie ntdefors	----⌫-|-----|
etcestmausquilon guestient	-||--|---|--|---⌫---|----|
porcequeda uentureuient	--|-|--||-⌫------|----|
plu so rletie nentagabo is	---⌫--⌫|-|---⌫---||----⌫-|
si conmec il uilain c o r tois	-|----|-⌫-|-----|-⌫-⌫-⌫---|
qui ioliuentpa r	--|-------|--⌫|
tot l emont	--|-⌫|---|
puisseu antentd ece qu ilfont	---|-|-⌫-----|-⌫|-|-|-|---|
nestpasamorainzest folie	|--|--|---|---|--|----|
et mauuast ieetlecherie	-|-------⌫-|-|-------|
pu etloial	--⌫-|----|
mielzledoit	----|-|---|
seruir etamer	-----|-|---|
etestrea s onconmandeme nt	-|----||-⌫-|----------⌫-|
guimar ainmed urement	-----|----|-⌫------|
ouilaur ahastif	-|-|---⌫|-----|
estu etuiurea	----⌫-|----||
amorslidonneha r dement	----|-|----|--⌫-⌫-----|
descueu réso nta lent	-------⌫--|--⌫|--⌫---|
dame fetiliemurporuos	---|--|-|-|--|--|--|
moncorsenestsiangoissos	--|---|-|--|-|--------|
siu osneme uole zg arir	-|-⌫-|-|-|----⌫|-⌫---|
dontmestuet ilenfin	---||-----|-|-|--|
requierded ruer ie	------|-|-⌫----⌫-|
nemescondites mie	-||---------|--|
quantlab ienen tendu	----|||-⌫--|--⌫----|
auena nmen t ar espondu	-----⌫----⌫||-⌫------|
cestconseil seroittrophastis	---|------|-----|---|-----|
dotroier uosces teproiere	|------|--|---⌫-|------|
mie cos tumiere	--|---⌫------|
dame fetil	---|--|-|
uostr emerci	-----⌫|----|
p oitse ieuosdi	-⌫--|-|-|--|-|
fameioliuede	---|-----|-|
se doitlon c ten sfere	-|---|---⌫|---⌫|---|
poreschierirqu ecilne cu it	--|--------|--⌫|--|-|--⌫-|
queele ait	--|--|--|
usétel dedui t	---|--|-----⌫|
mes ladame	--|-|---|
debon porpens	-|--|------|
