Icicumencelicompuz	--|------|-|-----|
Quë uncne so i	---|--|-|--⌫|
Neraisunordener	-|-----|------|
Mai sne chal tque folsdi e	---⌫|-|----⌫|--|---|--⌫|
merepentmie	-|-----|--|
Asezs un t malpar le rs	---|-⌫--⌫|------⌫--⌫-|
Pu rp etizlüer sEhumespur	--⌫|-⌫---|-----⌫||----|--|
Naientpur amender	-----|--|------|
Uncpur folsnel tru uai	--|--|---|--|---⌫--|
m itraueil lai	||-------⌫--|
nefudasne né t	-|--|---|---⌫|
Q uibienloastcitét	-⌫-|---|----|-----|
Redarguti onesp er	---------⌫---|-⌫-|
Saceizç oeest uila ini eEsil	-----|--⌫-|--|----⌫---⌫||--|
tencenfolie	---|-|----|
Quë homdeie ti uger	---|--|----⌫|-⌫---|
ne setpla id erU	-|--|---⌫--⌫-||
nulerenb lasmer	---|--|-⌫-----|
Seilne lsetamender Çoedi tenrepruuer	-|-|--⌫|--|------|---|--⌫|-|-------|
Liuilainalbuu er	-|-----|-|---⌫-|
La pirrereuële tte	-|----|-------⌫--|
Crietdela charette	----|-|-|-------|
Multestlap u me	---|--|-|-⌫-⌫-|
Qui unque s nem aüre	--|-----⌫|-|-⌫----|
Lauerg ee st a	-|----⌫|-⌫-||
Quiselest plei e r	--|-|---|----⌫-⌫|
Selienuïus	-|-|------|
Esttant deput es murs	--|---|-|---⌫-|---|
Queilnel uoilletoi ̈ r	--|-|--|------|--⌫-⌫|
A ltseide l uinzgesir	-⌫-|--|-|-⌫---|----|
Siipotescul ter	-||--|-----⌫--|
Cumli asnes	--|-|----|
aharper E qu iuuldratoïr	|-----||--⌫|------|---|
Metelëelsuffrir	---|--|-|------|
ga rtqui lorratEquib en l ente ndrat	--⌫-|--||----||--|-⌫-||----⌫----|
Que seildignele	--|-|-|----|-|
escr i ure seit	----⌫-⌫--|---|
Rec oillets un	---⌫-----|-⌫-|
sermun Silissi neluo ltfaire	-----||-|---|--|--⌫-|----|
Queli seit aco n tr arie	--|-|---||--⌫-⌫--⌫---|
Preiluipur	---|--|--|
Nimetet sunl ab ur	||----|--|-⌫--⌫-|
Carsuuentpar lesmains	--|-----|--|--|----|
Par malue isescriu eins	--|-----⌫-|------⌫---|
Suntliurescorrumpud E enneisse	---|-----|--------||-------|
Ma istreoruosesdrece zAcestbusuignm aidez	--⌫----|-|--|-------⌫||---|------||----|
Suuen geuus	-----⌫-|--|
Liuila inpar respit	-|----⌫-|--|-----|
est t ruuédL amie espruuéd	--|-⌫-----||--||--------|
Unches nefudami	-----|-|--|--|
Qui al busuignfailli	--|-|------|-----|
Dumi l poüstaide r	--|-⌫|-----|----⌫|
N e de renconsel le r	-⌫|-|--|------⌫--⌫|
Maismar ais un o iez	---|-|-⌫---⌫-|-⌫--|
Preiuusdeles culterE puis	---|--|-||--⌫-----||---|
K aroreu oil cu m encer Içoedum	-⌫-|--|-⌫--|--⌫-⌫----|----|--|
uoi ltr a ite r	---⌫|--⌫-⌫---⌫|
Ecapitlespo se r	|-------|--⌫--⌫|
Ses uu le z amend er	--|--⌫--⌫|-----⌫-|
uulezle benlesai	----|-|--|-|--|
Or lesiposerai	-|--||------|
Des uresedel ior	--|---||--|--|
D esnuizdelur l ungur	-⌫-|---|-|--|-⌫----|
Dessemaines	--|-------|
Desiurzde s mois rais uns	--|---|--⌫|---|----⌫--|
Descalendes desides	--|-------|--|---|
e dess ignes	|--|-⌫----|
Delan echil	-||-||---|
tr ouatEule cumenc h at	--⌫---|||-|------⌫-⌫-|
Delbisexteg arderEe nfeu rer pos e r	--|------|-⌫----||-⌫|---⌫--|---⌫-⌫|
Delbisextea lalune	--|------||-|---|
De l saltede	--⌫|---||-|
l emboli sme	|------⌫--|
Dela lunequehomueit	-|-|---|--|--|---|
Ainz quenuueleseit	---|--|-----|---|
Desregulers delior	--|-------|--|--|
De c oncur rent ualur	-|-⌫-----⌫---|----|
Dellu n alreguler	--|--⌫-⌫-|------|
Des epactes	--|------|
Dest erm esedesclés	--|-⌫---⌫-||--|----|
In dictïun sgarder	--⌫--------⌫|-----|
Des equinocti ̈un sEdesi eiuneisuns	--|---------⌫---⌫||--|-⌫---------|
tableraisun	----|-----|
Philippede	-------|-|
Dela tab leraisunEderesur rectiun	-|-|---⌫-|-----||-|-----⌫------|
Delata bler aisun Dïonisieuei um	-|-|--⌫--|-⌫----|--------|---⌫-|
Delat able	-|-|-⌫---|
Alp ru declercuaillan t	-|-⌫--⌫-|----|-------⌫|
Orefinetli	--|----|-|
Si cume ncet li	-|----⌫---|-|
En unliured iuin	-|-|----|-⌫---|
Queap e lum	--|--⌫-⌫--|
Iloclisanttruuum	---|-----|-----|
Deusfis tpar raisun	---|---⌫|--|-----|
Lesolei lelalun e	-|-----⌫||-|---⌫|
Eesteilechescune	|------|-------|
plaist a direDiçoe stmamaterie	-----||---||---|-⌫-|-|------|
Qued emusteraiEa clers e	--|-⌫--------|||----||
Chigrantbusuinen	--|----|-----|-|
unt Ep urmei preierunt	--||-⌫-|--|--------|
Car unc n efud lo ee	--|--|-⌫|--|--⌫-|
E scïencecelee	-⌫-------|----|
P ur ço mep lais ta	-⌫-|--|-|-⌫----⌫||
Ore iseitli uei r	--||---|-|---⌫|
Deus f istcre ̈at ures	---|-⌫--|---⌫---⌫---|
Dediuersesm e sures	-|-------|-⌫-⌫----|
Sulunclurquali te ́t	-----|--|-----⌫--⌫-|
Maisunitaltruuat	---|-|---|-----|
Quëilt ensape lat	---|-|-⌫--|---⌫--|
n e seiparler	-⌫|--|-----|
Nelaf in recunterNëhom	-|-|-⌫-|-------|--|--|
nefu dmortel	-|--⌫|-----|
Chiu ncdesis t elE	--|-⌫-|-----⌫|-||
Augu stins	----⌫----|
Kif udmultbons deu ins	-|-⌫-|---|---|---⌫--|
Dit enu nsun	--|-|-⌫|--|
Laumustret raisun	-||------|-----|
Queren n e	--|--|-⌫|
set c unc ter	--|-⌫---⌫--|
Purnul hume	--|--|---|
Nepurquantpar demure s	---------|--|------⌫|
Qu enu sapelumhure s	--⌫|--⌫|-----|----⌫|
En es tdiu isi ̈un	-|--⌫|---⌫---⌫--|
Ch ar pri meapelent le une	--⌫-|---⌫-|------|-|--|
Tercem id ie nune	----|-⌫--⌫||---|
L aquinteremu nteeElasisteuespree	-⌫|-----|----⌫---||-|----|------|
Enco reentre	----⌫-|----|
chasc u ne	-----⌫-⌫-|
En ilaissentil une	-||-------|-|--|
Ço estpurle cunterEp urtost	--|--|--|-|-----||-⌫-|---|
Maiskidreituo ltnu mb rer	---|-|----|--⌫-|--⌫--⌫--|
ipottruu er Equantelessuntpassees	|--|----⌫-||----|---|---|------|
Tu tessunt renuuelees	--⌫--|---|---------|
Enordrelur curs	-|----|--|---|
Tenen ttuza	-----⌫|--||
estrus Eço deue i zsaueir	-----||--|----⌫-⌫|-----|
Ebencreirepurueir	|--|-----|--|---|
Qu elanuitduzee n tentEli	--⌫|-|---|---|-⌫|---||-|
iurzquea profu ent	---|--|-⌫---|-⌫--|
Quantla nu it	----|-|--⌫-|
Untüele lungur	--|----|-----|
Nulshomnesemerueilt	---|--|-|-|-------|
Nepur ç one sesueilt	-|--|--⌫|-||------|
e inz numai E lu ior	-⌫--|----||-|--|
e rt deuantio r	-⌫-|-----|--⌫|
Q uant nostre	-⌫---|-----|
Leiorn deu antposat Ela nuittrestur nat	-|---|---⌫--|----||-|---|-------⌫--|
P ars asurrectï un E	-⌫-|-⌫|---------⌫-||
parmultgrant raisunEço	--|---|----|-----||--|
se nefi at	--⌫----⌫-|
Que en pe cchét nustruuat E de	--|-|--⌫-----|--|-----||-|
granttenebrur	----|-------|
T ra is tlessons a lüur	-⌫--⌫--⌫|--|---||----|
Ki ian en erttr ublé	-|-|-⌫-|--|--⌫----|
Nepur nuit	-|--|---|
Sulunc les	-----|--|
clersd euinsEsulun c	----|-⌫----||-----⌫|
N u itest dit a nuis ir E	-⌫-⌫-|--|--||----⌫-||
fait lagentdormir	---|-|---|-----|
Le se ir reposer	-|--⌫-|------|
Ki ne u eie ntaourer	-|-|-⌫---⌫-||----|
P urçoquen unt lüur	-⌫-|--|--||--|----|
Altrementperireient Epar trauail murreient	--------|---------||--|------|--------|
Nai ental a	---⌫--||-⌫|
gen t Nest asüagement	---⌫||--|----------|
Maisatr estuteren	---||--⌫-----|--|
Faitlan uit	---|-|-⌫--|
encore b en	-----|-⌫-|
Charla nuitluistla	---|-|---|----|-|
luneEesteilechascu neÇoestboen	---||------|------⌫-|--|--|---|
Ki uetnage antpar	-|--|----⌫--|--|
Asc umpote stïens	-|-⌫------⌫------|
As astronomï ens E çodirrum	-|----------⌫--||--|-----|
De usnusdunetuiur e	--⌫-|--|----|----⌫|
Cume l aluneestuaill a nt	---|-⌫|---|--|-----⌫-⌫-|
At uteren uiuant	|-⌫--|--|-----|
Maisor edemusterum	---|--⌫|---------|
Queseit nuitpa r raisun	--|---|---|--⌫|-----|
Nu itestt uteplenere	--⌫-|--|-⌫--|------|
lu m ie re E tuz tens durreit	--⌫-⌫--⌫-||--|---|------|
Sesol ei l nenesteit	-|---⌫--⌫|--|-----|
Maisilparsal üur	---|-|--|-|-⌫---|
Chac etle tenebrur	----⌫-|-|-------|
Sicume dïent	-|---|-----|
Quëice l e lüur	---|---⌫-⌫|----|
Apelethomi urLüurap eletiurE	-----|--|-⌫-|----|--⌫---|--||
la nuittenebrur	-|---|-------|
Sinest diuis ïun	--|--|-----⌫---|
P a ritelerais un	-⌫-⌫|----|----⌫-|
LiunsestpuplïalsE lialtrenatura ls	-|--|--|--------||-|----|------⌫-|
Lipuplï a scunt ent	-|------⌫-⌫|----⌫--|
Duzeur ess imaintentElinaturals iur z	---|--⌫-|-⌫|-------||-|-------|---⌫|
uinte.iiii.en	---||-----|-|
su n curs E nis	--⌫|---||--|
Moÿse s dit	------⌫|--|
Par ueirensun	--|---|-|--|
Aleeestla uespree	---|--|-|------|
Tute l amatinee	---|-⌫|------|
Purnui tnum atle uesp e ree	--|---⌫|---⌫-|-|----⌫-⌫--|
Le matiniur nee Çotintil purun iu r	-|----|---⌫--|--|---|-|--|-|--⌫|
Pur ueir esenz errurEpa rc est e raisun	--|---||---|----||--⌫|-⌫---⌫|-----|
Ep ars a entenc ïun	|-⌫-|-⌫|------⌫---|
uintequatre ure ssu nt	---||-----|---⌫|--⌫-|
Par queil iiur	--|---|-⌫|--|
Ma isoredeuumgarder	--⌫-|--|----|-----|
Enq uereeesp ruuer	---⌫---||---⌫----|
Par di ue rs esr aisu ns	--|--⌫--⌫--⌫-|-⌫----⌫-|
Parquei liiurn suntlungs	--|---|-|---|---|----|
Griuelidi uin Eli clercdellatin	---||-|--⌫--||-|----|--|----|
Li cu mpotisti ̈ensEliestrenom i ̈ens	-|--⌫--------⌫---||-|--------⌫-⌫---|
Untenz elceltruuee	--|--|-|--|-----|
Un e ueie esga rdee	--⌫|---|----⌫---|
Par qu ei li soleilzuait E tuzte ns suncurs	--|--⌫-|-|------|---||--|--⌫-|--|---|
Griu dïentpa r num	---|-----|--⌫|--|
E n latinlaapelum	-⌫|----|-|-----|
Signiferum	---------|
En franchesc e r aisun	-|---------⌫|-⌫----|
Signipo rtantadnu mE	-------⌫----|-|--⌫||
lessignes queiltentEcumilles	--|-----|--|-|---||--|-|--|
Tre stuzlesnumerum	---⌫---|--|------|
br euerai sun	--⌫--|---⌫--|
G emi n os e	-⌫---⌫-⌫-||
C ancru mLëonem	-⌫-----⌫|------|
ScorpionemE	---------||
Sagit tarium	-----⌫-----|
Capricornum	----------|
Aqua rïum	----⌫----|
Li solei lzparraisun	-|-----⌫-|--|-----|
Ce scunanpar	--⌫---|-|--|
cezuait Esun plenercursfaitE	--|---||--|-----|---|---||
Ca pricornum	--⌫--------|
Quantiluaita	----|-|---||
Li iurnuun talui g n antEles	-|---|---⌫|----⌫-⌫-⌫--||--|
nuizac urzant	---|--⌫-----|
Enceisuaitenesclem	-----|---|-|-----|
E parçoprouetl	|--|--|-----||
Quantil uait	----|-|---|
Nesu ntnaientli iurlung	-|--⌫-|-----|-|--|---|
Mais quantu aittr auersant	---|----|-⌫--|--⌫-------|
Duncseuuntaluignant	---|-|---|--------|
Eissi estparnature	----|--|--|-----|
Cumeuëezsa	---|----|-|
Le szones sunt posees	--⌫|----|---|-----|
D edenzal euees	-⌫----|--⌫----|
Sicumetruuumlisan t	-|---|-----|-----⌫|
Ouideleg rant	----|-|-⌫---|
Enmisun tpar	-|-|---⌫|--|
L iequinoct ïun E ço est	-⌫|--------⌫---||--|--|
esclemuaits us	-----|---|-⌫-|
Ca ncer estalchefla	--⌫---|--|-|---|-|
Capricornusestiu s	----------|--|--⌫|
Laz oneardante	-|-⌫--|------|
En te rrek i nus	-|--⌫--|-⌫|--|
Cezes tencelemen z	--|--⌫----------⌫|
Queueëz cidedenz	--|----|-|-----|
Ce lch alursignefie	--⌫|--⌫---|-------|
Encestemor tel uie Nen	-|----|---⌫--|--||-|
plustrait er	---|-----⌫-|
Altreuoilcumence r	----|---|-------⌫|
Semainee s t	------|-⌫-⌫|
de .u ii.iurzfurmee	-|--⌫--|---|-----|
D amnesdeuslat ruuat	-⌫--------|-|-⌫----|
Par.ui. iurzq uë uurat	--|---|---|-⌫--|----|
Alsedmereposat	-|----|------|
C e lsemaineapelatEçoestescrit	-⌫-⌫|------|-----||--|--|-----|
En lale iq uëhomlit	-|-|--⌫|-⌫--|--|--|
deuumuurer	----|----|
Alse dmerep ose r	-|--⌫--|---⌫---⌫|
Puram urdel	--|--⌫-|--|
Ki gardat iceliurEore demusteruns	-|-----|---|--||--|----------|
Purquei li iurunt	--|---|-|--|--|
Lipaiencont ro uerent	-|----|----⌫--⌫-----|
Lesnun squea si urz	--|---⌫|--|-⌫|-⌫--|
du neren t	--⌫-----⌫|
Lip remier que apelum	-|-⌫-----|--|-----|
D ie m eineparnum	-⌫--⌫-⌫---|--|--|
Als oleille dunerentEs unnum	-|-⌫----|-|-------||-⌫-|--|
li poserent	-|-------|
Purçoq ueenluminou t	--|--|-⌫-|---------⌫|
Lemund enuit	-|---||---|
chazotEiç oplout aDé	-----||---⌫|----||--|
Que i s si f udapel é	--|-⌫-⌫-|-⌫-|----⌫-|
Ka rli sonsiurzes teitEa ueirle uoleit	--⌫|-|---|---|--⌫---||-⌫---|-|-----|
Nepurquanttuzles ad E trestuzle s furmat	---------|--|--|-||------|--⌫|-----|
Maispu rçoque ertlumiere	---|--⌫|--|--|--|------|
De l hum ai ne	-||---⌫--⌫-|
Lepremeriurnp osadAsun o ese	-|-----|---|-⌫---||--|-⌫-||
P ur sue amur garder E fore ment ce lebrer	-⌫-|--|---|-----||----⌫---|--⌫-----|
Le secundiur dunerentAl a	-|-----|--|-------||-⌫|
l unee poserent	-⌫--||-------|
Pur le mund queenlu mi net	--|-|---|--|----⌫--⌫--|
Quantlisoleilz	----|-|------|
decli n e t	-----⌫-⌫-⌫|
Lesaltr esiurzduner ent	--|----⌫-|---|-----⌫--|
Asdeus quëi lamerent	-|---|---|-⌫|------|
Quatre deusau ̈rowent	-----|---|--⌫------|
Mar temapelow ent	---⌫--|------⌫--|
Che ualersfuduallanz	---⌫-----|--|------|
Har dize cumbata nz	---⌫--||-------⌫-|
Poserentterz iur	-------|---|--|
Sulunclalurra isun	-----|-|--|--⌫---|
Li secund deusoutnum	-|-----|---|--|--|
Marcurïus par	---------|--|
Pru z homfudeuaill antEsifudma rchant	---⌫|--|--||-----⌫--||-|--|--⌫-----|
Lequartiur	-|----|--|
li dunerent	-|-------|
Queme cresdi	--|--⌫-----|
n u merent	-⌫-⌫-----|
Literzdeu ss enzdut ance	-|---|---⌫|-⌫--|---⌫---|
Se utmultdenigramance	--⌫-|---|-|---------|
detelballie	-|--|-----|
Cumestgar mente rie	--|--|---⌫-----⌫--|
Ioue mapelerent	----⌫|--------|
L e ius dili dun eren tE	-⌫|---⌫-|-|---⌫----⌫||
uenusunefemme	----|--|----|
Kiesteit d e	-|-----|-⌫|
uail lant ehonuree	----⌫---||------|
Delmelzd e la cu n tree	--|---|-⌫|-|--⌫-⌫---|
Cel ou t le	--|--⌫|-|
uen dre sdi	---⌫---⌫--|
S aturnusle	-⌫------|-|
Deenfer ne rtrei c lamé	-|-----⌫|-⌫-|--|-⌫----|
Laerts apoëstéEpurcest acaisun	-|--|-⌫|-------||--|---|------|
Fure nttruuéd li num	----⌫-|------|-|--|
Suluncleentendement	-----|-|----------|
D el a paienegent	-⌫|-⌫|-----|---|
folesteient	--|-------|
Quepur deuslesten eient	--|--|---|--|---⌫----|
Ma i s çotruuum lisant	--⌫-⌫|--|-----|-----|
Encelc ompot	-|--|-⌫----|
Quel iber s	--|-⌫|---⌫|
R umefud mestre	-⌫--|--|-----|
F eri es l esapelat Elur	-⌫---⌫-|-⌫-|-----||--|
nuns t r est urna t	---|-⌫-⌫---⌫----⌫|
Purç oquecristï en s	--|--⌫|--|-------⌫--⌫|
Necreïse ntpaiens	-|-------⌫-|-----|
De foleentencï un	-|---|--------⌫-|
Ne demaleraisun	-|-|---|-----|
Maisuncoreparraisuns	---|-----|--|------|
sens desnunsIc ̧oipot ent endre	---|--|---|--⌫-||--|---⌫----|
Q uiiuoldrat gardeprendre	-⌫-||------|----|------|
Par feie paruerit ét	--|--||--|-----⌫--|
Suluncdiuinitét	-----|---------|
K arçotrouentdiuin	-⌫-|--|------|----|
Lis a nten	---⌫-⌫-|-|
Q uelinostre	-⌫-|-|-----|
Crëatu rs	-------⌫-|
Furmat trestuzlesiu rz	-----|------|--|--⌫-|
Eissifait erem ent	---------⌫----⌫--|
Senzn uldeceue ment	---|-⌫-|------⌫---|
Ebense demustrat	|--|-|--------|
Partre i s	--|---⌫-⌫|
iurzq ueilfurmat	---|-⌫-|-|-----|
Senzsolei le senzlune	---|-----⌫||---|---|
esteillenule	-------|---|
De usenfud li	--⌫-|-|--|-|
iurzC ̧os a chiezdecels iurz E çoq u ë	---|-⌫-|-⌫-⌫----|-|---|---||--|-⌫-⌫-|
Furentparsalüur	-----|--|-|----|
Signef ieti t an t	------⌫--|-⌫-⌫--⌫|
Sei ezientenda nt	---⌫-||-------⌫-|
Filz est e it	---|---⌫-⌫-|
Espirizquis	------|---|
f aisaitEtutissiserrat	-⌫-----||--|---|-----|
Cist tensquantfinerat	---|---|----|------|
Sicume dïentdiuin	-|---|-----|----|
Ledieme ine ert fin	-|-----⌫--|--|--|
Lilunsdiparrai sun	-|-----|--|---⌫--|
Su lunc maen tencïu n	--⌫---|-|--⌫-------⌫|
Signe f ietlumereU li secund	-----⌫-⌫--|-----||-|-----|
Ou tsunseg e posé	--⌫|--|---⌫|----|
cumantdeDe ́	-----|-|--⌫|
Mai spuis parglutun er ie	---⌫|---|--|------⌫--⌫-|
Parr aimdelecherie	--|-⌫--|-|-------|
Icelsege forfist	---|---|------|
Engrant peine nu s	-|----|----|--⌫|
Par ço quë ilmang atÇoque	--|--|---|-|----⌫-|--|--|
Eue lidunat	--|-|----|
Surledef ens deDé	--|-|---⌫--|-|--|
Aprés ui ntp arrai sun	-----|--⌫-|-⌫-|---⌫--|
Suluncma entencïun	-----|-|---------|
Li ma rsdi	-|--⌫---|
Mercu ri e	-----⌫--⌫|
Cumsedeuei tdeduire	--|-|-----⌫|------|
Ar er elaburerE ent errese mer	--⌫-||------||-|-⌫---|--⌫--|
Mart yri e liesteit	----⌫---⌫|-|-----|
Karfairenelsaueit	--|----|--|-----|
Cu msereit al	--⌫|-----|-|
Clercestre u cheualer	----|----||-------|
PuisuintlimercresdiUi l uu rat	---|---|-|--------||-⌫|--⌫--|
Quëi lsoutlaburerE uendree achaterE	---|-⌫|---|------||-----||------||
ç oestiurnma rcels Ee npurçoicel s	--⌫|--|---|--⌫----||-⌫---|--|----⌫|
K ip rim esle truuerent	-⌫|-⌫---⌫-|-|--------|
Ce s tnu mlipos erent	--⌫-⌫|--⌫|-|---⌫----|
DediegaudiiEpuis	-|--|-----||---|
que ilsouttan tf aire	--|-|---|---⌫|-⌫---|
Queilsoutles on atr aire	--|-|---|-|-⌫-|---⌫---|
Duncfuti oius c il	---|--|-⌫---|-⌫-|
diE çof ud le iusdi E	-||--|-⌫-|-|----||
en p ernum	-|-⌫----|
S ulunc lesensd elnum	-⌫----|-|---|-⌫-|--|
DedieueritatisEque ilnen or gui llast	-|--|--------||--|-|--|--⌫---⌫----|
Queenmalneli t urn ast	--|-|--|-|-|-⌫---⌫--|
asemblement	----------|
Sicumefu ntmaintegent	-|---|--⌫-|-----|---|
Cu uintlui ueiradir e	--⌫---|--|---||---⌫|
Parç o qu e nostre	--|--⌫|--⌫|-----|
aue it a mendé	---⌫-|-⌫-----|
Cumi o uus	--|-⌫|--|
a i cuntéEiçosignefi e	-⌫|-----||---|-------⌫|
uen dresdisainte ui e	---⌫-----|-----|--⌫|
Desemin osodie	-|-----⌫--|--|
uendr e sdi	-----⌫-⌫--|
Futfaitle samadi	--|---|-|-----|
Eçoest iurz	|--|--|---|
Su lunclesensdé	--⌫---|-|---|--|
Karbens emetkipluret	--|--|-⌫---|-|-----|
Ses pec hez	--|---⌫--|
D eu au ̈r etE ço est	-⌫-|--⌫--⌫-||--|--|
all eg or ie	---⌫--⌫--⌫-|
Nelarraine u u s die uëeizi sut ilementÇo es t	-|-----|-|-⌫-⌫|--|-----||---⌫------|--|--⌫|
ueirsueirement	----|--------|
Adam fudlapo sétU iouusa i cunc tét E	---|--|-|--⌫---||-|--|-⌫|----⌫---||
Adamsignifi e	---|-------⌫|
Ic este mo rteluie	--⌫---|--⌫---|--|
Nusk isumusposé	--|-⌫|----|----|
Deicel e trebuchum	-|----⌫|--------|
Qua ntnus lemal fesumE çoestli	---⌫-|--|-|--|----||--|--|-|
malsiurzAtrestuzpecheürsEçoe s tl im arsdi	---|---||------|--------||--|-⌫-⌫|-⌫|-⌫----|
Queioente nc	--|-|----⌫-|
Maisdeilo ec	---|-|---⌫-|
deitl euer	---|-⌫---|
E sun cors	|--|---|
ueneterÇoest almusteralerE sun	------|--|--|-|-----|---||--|
pe che ́tplurer Eçoestle merc redi	--⌫---⌫-|-----||--|--|-|----⌫---|
Queio entenciss i	--|-|-----|---⌫|
Aprofculche r aterre	----|------⌫||----|
Deurequere	--|------|
Q ue ̈i l facetpa rduns	-⌫--⌫|-⌫|----|--⌫----|
Parsessei ntimesnun s	--|--|---⌫-----|---⌫|
Deço qu ëaderrét	-|--|--⌫-|-|-----|
Ultre sa uolentétEiçoe ntendum	----|-|--------||---|-⌫------|
Paru end resdi	--|-⌫---⌫----|
cestnumEduncaur at	---|--||---|---⌫-|
