#META#TextURILancI	-----|------|----|
#ME TA#DEAF	---⌫--|---|
#META #FEW	-----⌫|--|
#META# ARLIMAhttps//www.arlima.n et/ad/chretien_de_troyes.ht m l#cha	-----|-----|-------------------⌫---------------------------⌫-⌫----|
#META# Au thor Ch rétien deTroyes	-----|--⌫---|--⌫------|-|-----|
# M ETA#AuthorBorn1130	-⌫-⌫---|---------|---|
#MET A# Au thorBo rnAmbc	----⌫-|--⌫------⌫----||
#META#Auth orDie d1180	-----|----⌫-----⌫|---|
#META#Autho rDiedAmba	-----|-----⌫-------||
#M ET A#A uthorFl1	--⌫--⌫-|-⌫-------|
#META#AuthorFl2	-----|--------|
#META#TextTitleLan celot	-----|--------|---⌫----|
#META#TextSub ti tle LeCheualier	-----|-------⌫--⌫--|-|--------|
#META#DialSc r ib e	-----|------⌫-⌫--⌫|
#META #ScanURLhttps/ /fr.wikisource.org/wiki /Lancelot_o u_le_Cheualier_ de _la_ charrette_( %C3%89dition_Belinfante)	-----⌫|------|------⌫-----------------------⌫-----------⌫---------------⌫--⌫----⌫-----------⌫-----------------------|
#META # ScanUR IOther	-----⌫|------⌫-----|
#META#ArkI D	-----|----⌫|
#META #LccnID	-----⌫|-----|
#META#OclcID	-----|-----|
#M ETA#WebAut hor	--⌫---|------⌫--|
fr .wikisource.org	--⌫--------------|
# META#OR CID WebAuthor	-⌫----|--⌫---⌫--------|
#META#W ebReuiewe r	-----|-⌫---------⌫|
# MET A#ORCI DReuiewer	-⌫---⌫-|----⌫--------|
# META#MiscInfo	-⌫----|-------|
#ME TA#CCLicense	---⌫--|--------|
Puisq u e ma d ame deChanpaigne	---|-⌫-⌫|-|-⌫--|-|---------|
ui altquer oma ns afeireanpraigne	--⌫--|--|-⌫---⌫-||----|--------|
Iel anpr endrai moutuolent iers	-||----⌫-----|---|------⌫---|
C omecil q u iest	-⌫--|--|-⌫-⌫|--|
suensa ntiers	----|-⌫-----|
5Dequanquilpuet	--|-----|-|---|
e l mondef eire	-⌫|----|-⌫---|
S anz rien delosangeauant tre ire.	-⌫--|---|-|------|----|---⌫---|
anpoi ̈ stantremetre	-|---⌫-⌫-|---------|
Qui i uolsistlosenge metre	--||------|------|----|
S i deïstet iel	-⌫|-----|-|--|
tesmoig n asse	-------⌫-⌫---|
10Queceestladame	----|-|--|-|---|
qu i pas se	--⌫|---⌫-|
Totes ce les quis ont	----|--⌫--|--|-⌫--|
Tantconlesfunspasse liua nz	---|--|--|---|----|-|--⌫-|
Qu iu anteenmaiou enauril.	--⌫|-⌫---|-|--|-|-|-----|
Par f oi ienesui	--|-⌫-|-|-|--|
15Quiuuellel osan giersad a me	----|-----|-⌫----⌫---|-|-⌫-⌫-|
DiraiieTantcomuneiame	----|-|---|--|--|---|
pelles etde sardines	-----|-|-|-------|
uautl aConte sse dereïnes	---|-⌫|-----⌫--|-|------|
Naieienen dirai ia	---|-||-|----|-|
20Sestil uoirs	--|--|-|----|
maleo itgre ́mi en	-----⌫-|---⌫|--⌫-|
M estantdiraiiequemialz oeure	-⌫-|---|----|-|--|----|----|
Ses coma ndema nzancestoeure	--|----⌫-----⌫-|-|---|----|
Q uesans ne	-⌫-|---|-|
p ai nneque g imete.	-⌫--⌫--|--|||----|
Del c heualierdelachar rete	--|-⌫-------|-|-|----⌫---|
25Comanc eC re stïens son liure	--------⌫|-⌫--⌫------|--|----|
Mat iereet	---⌫---|-|
sanli doneetliure	--|-|---|-|----|
La Cont ess ee til santremet	-|----⌫---⌫|-⌫|-||-------|
D epansersiquerien nim et	-⌫|-----|-|--|---|||-⌫-|
Fors sapainneets	---|-|-----|-||
antancion.	---------|
30E tditquàuneAcens sion	---⌫|--|-|-|--|-----⌫---|
Art usett enuot	---⌫-|-|-⌫--|-|
Riebe etbelletantcomluipot	----|-|----|---|--|--|--|
Sirichecom auiore s tu t.	-|----|--|-|--|-⌫-⌫--⌫-|
Aprés mangiernese	-----|------|-|-|
an t res es	--⌫-⌫-|-⌫-|
conpaignons	----------|
Moultotenlasalebarons	----|-|-|-|---|-----|
Et sif ulare ïnee nsanble	-|||-⌫|-|--⌫---|-⌫------|
Siot auoe clice me sanble	-|-|----⌫|-|-|-|-----|
Maint e b ele damecortois e	-----⌫|-⌫--|---|-------⌫|
40Bienparlantan	-----|------|-|
len guefrançoise	---⌫--|---------|
2 7.c.EtK exquiotse ru ias	-⌫-|---|-⌫-|--|-|--⌫--⌫|-|
Manioit au oecle sconestabl es.	------|--⌫--|--⌫|---------⌫--|
La ouKexseoitau	-|-|--|----|-|
uos uncheu a l ier	--|-|----⌫-⌫-⌫--|
45 Quiuintacortmolt	--⌫--|---||---|---|
Detotesses armes armez.	-|----|--|----|-----|
Licheualiers atelconroi	-|---------||--|-----|
Sanuintiusque deuant leroi	|-|---|-----|-----|-|--|
an tres e sbarons	--⌫--|-⌫-⌫|-----|
50Nelsa luapaseinzlidist	----|--⌫--|--|---|-|---|
Roi sArtus i	---⌫|----||
aie nma prison	-|-⌫|-|-----|
De ta terreetde tam ai son	-|-|----|-|-|-|-⌫--⌫--|
Cheual iersdameset	------⌫---|----|-|
tan dipasles	|-|-|--|--|
55Porce queleste uue lle randre	----|-|--|--|-|---⌫--|-----|
Ençoisteuoeldire	------|-|---|---|
et aprandr e	-|-------⌫|
Que tun asforce	--|-||-|----|
Parquoi tulespuissesrauoir	--|---|-|--|------|-----|
Etsachesbien quai nsi morras	-|-----|---|-|--⌫--|-----|
60Queiá aidie rne	----|--|-----⌫|-|
lor porras.	--|------|
Lirois respontquilliestuet	-|---|------|-|-|-|-----|
Sofrir s ama nde rnelepuet	-----||---⌫---⌫|-|-|---|
Mesm oult l an poi seduremant .	--|-⌫---||-|---⌫-|--------⌫|
licheu alierssanblant	-|----⌫-----|-------|
65Qu alersanuoel lesis an	---|---||-|----⌫-|-||-|
Deuant leroiplusnesoiorne	-----|-|--|---|-|------|
Et uientiusqu	-|----|----|
Mesles deg rezmie nauale	--|--|---⌫--|--||----|
Einçoissareste et dit	-------||-----|-|--|
s a tacortcheualie ra	||-|---|--------⌫||
Nes.i. an cuitute fiasses	-----|-|--|-|-|------|
Quelareïne liosasses	--|-|-----|-|------|
B aillier pormenerancebois	-⌫------|--|----|-|-|---|
Aprésmoila ouie manuo is	-----|--|-|-|-||-|--⌫-|
75Parun couant l iatandrai	----|-|-----|||-------|
Que les pr isonstoz te randrai	--|--|--⌫----|--|-|------|
Quisontanessilanma terre	--|---|-|----|-|-|----|
lapuet uersm oicon querre	-|---|---|-⌫-|---⌫-----|
Ettantf a ce quill	-|---|-⌫-⌫-|-|-||
an ramaint.	-|-------|
8 0Ceo ï rent	-⌫--|-⌫--⌫---|
elpal ésm aint	-|---⌫--|-⌫---|
San fu laco rtto t eestormie.	|-|-|-|--⌫-|--⌫-⌫|--------|
Lan ouel e enaKex oïe	-|-⌫----⌫|-||--|---|
Quiauoec lesser gen z	--|----|--|---⌫---⌫|
Lemangier leit	-|------|---|
siu ient tot dro it	-|-⌫---|--|---⌫-|
85Au roi silicomance	---|--|-|-|------|
Totautresicomepa rire	--|------|---|--⌫|--|
Rois ser uita imoltlonguemant	---|---⌫-||-⌫|---|---------|
Par boenefoiet	--|----|--|-|
Or praing congi é simanir ai	-|-----|-----⌫-|-||-|--⌫-|
90Queiam ès ne t eseruirai	----|---⌫--|-|-⌫|-------|
Ienai uolenténet alant	-||-|-------|-|-⌫----|
De toi seruird ore	-|--|-----||--|
poisedecequil	----|-|-|-|-|
Mésquantr espondre	---|----|-⌫-------|
mialzl i pot	----|-⌫|--|
95Si liaditeneslepas	---|-||--|--------|
Estce acer tesou àga s	--|-||---⌫--|-|-|--⌫|
Et Kex respontBiax sire	-|--|------|---|---|
Ienaior cured egabois	-||-|-|---|-⌫|-----|
Einz praingcongié t restot ace r tes	---|-----|------|-⌫-----||--⌫-⌫--|
uosquier autres	--|----|-----|
desser tes	------⌫--|
N autreloierde	|----|----|-|
mons e ruis e	--|-⌫-⌫----⌫|
E nsime storu olantez	-⌫--||-⌫-|-|-⌫------|
aille sa nz respit.	----|--⌫-|------|
oup ar d espit	-|-⌫-|-⌫----|
105Fetlirois	-----|-|---|
Seneschax sicon	--------|-|--|
S oi eza cort	-⌫--⌫-||---|
etsachi e zb ien	-|-----⌫-⌫|-⌫--|
Queienaiencest monde rien	--|-||-|-|---|----|---|
poruostreremenance	--|-----|--------|
Neuosdoignesanz	-|--|-----|---|
-SirefetKexce	|---|--|--|-|
n amest ier	||----⌫--|
Neprandroi epas	-|--------⌫|--|
unsesti er	-|-----⌫-|
Chascuniordorfin e smeré.	------|--||-|--|-⌫------|
Ez uos leroi mo lt desperé	-|--|-|--|--⌫-|-------|
Siest a lareïne alez.	-|--||-|-----|----|
Da mefet i l uosne sauez	--⌫-|--|-⌫|--|-|----|
Del seneschalqueil mequiert	--|--------|--|-|-|-----|
Con gié d eman deetdit qu il	---⌫---|-⌫----⌫-|-|--|-|-|
A m a cort	|-⌫|---|
Cequ il neuialtfeir epor m oi	-|-|-|-|----|----⌫|--|-⌫-|
Feratost por	---|---|--|
uostre proie re	-----|-----⌫-|
madamechiere	-|---|-----|
Qu an t por moireme noir ne daign e	--⌫--⌫|--|--|----⌫---|-|-----⌫|
Proiez li quepor uos remaigne	-----|-|--|--|--|-------|
ancheezuos	-|----|--|
Queia mes nes eroieliez	--|-|--|-|-⌫----|---|
Sesacon paignie perdoie.	-|-|---⌫------|-------|
Li r oislareïnei	-|-⌫--|-|-----||
Ausenescha let elei	-|--------⌫|-|--||
Auoecles aut res letroua	----|--|---⌫--|-|----|
Etqu a nteleuint deuant lui	-|--⌫-⌫-|--|---|-----|--|
SiliditKex	-|-|--|--|
a grantenui	|----|---|
Meu ientcesachiezaes tros	-|-⌫---|-|------||--⌫---|
Ce quaioïdiredeuo s.	-|-|-|--|---|-|--⌫-|
conte ́cepoisemoi	-----⌫|-|----|--|
Quepartiruosu o lezdel	--|-----|--|-⌫-⌫--|--|
Don uosuien t	--|--|----⌫|
etde quelcorag e	-|-|---|-----⌫|
Neuosan tiengormi ea	-|--|-|----|-|--⌫||
Nepor corto is si con ge suel	-|--|-----⌫-|-|--|-|---|
Del remenoirproieruosu ue l	--|-------|-----|--|-⌫--⌫|
Kexrem en ez ieuosan	--|---⌫--⌫-|-|--|-|
-Damef etilu os tre me rci	|---|-⌫-|-|-⌫--⌫--|--⌫--|
nereman roiemie.	-|-----⌫---|---|
E tlareïnee ncorlan prie	-⌫|-|-----|-⌫---||-|---|
Ettuitlicheualiera mass e	-|---|-|--------||----⌫|
ditqu e le sela ss e	--|-|-⌫-|-|--⌫--⌫|
De chos e qu i r ie n n eli	-|----⌫|--⌫|-⌫--⌫|-⌫|-|
Etla r eïnede sihaut	-|-|-⌫----|-|-|---|
Come elees toita s pi e z li	---|--|--⌫---|-⌫|--⌫-⌫|-|
Kexlipriequ	--|-|---|-|
elese liet	--|-|---|
Meseleditquenelf era	--|--|--|--|--|-⌫--|
s an releuera	|-|-------|
ot roit sauolenté.	--⌫---|-|--------|
aKex acr ean t e ́	|--|---⌫---⌫-⌫-⌫|
Quil remandra	-|-|-------|
mesquelirois	--|--|-|---|
Otroitcequiluold raainçois	-----|-|-|-|----⌫-|-------|
Etele meï sm eslotro it.	-|--|----⌫--⌫-||----⌫--|
K exfet elequeque ce soit	-⌫-|--|--|--|--|-|---|
Et ieet illotr oierons	-|-|-|-||---⌫------|
Oran uen ez	-|-|---⌫-|
Q ueuoses tes	-⌫-|--|--⌫--|
ei ns i remés.	--⌫--⌫|------|
Auoecla reïneanuaKes	----|-|-----|-|-|--|
Sisontdeuant leroiuenu.	-|---|-----|-|--|----|
Sireie aiKeurete nu	---|-|-|--|----⌫-|
Fetla reï nea gra nt	--|-|----⌫-||---⌫-|
uncou antleuosba il	-|---⌫--|-|--|--⌫-|
feroizcequildira .	-----|-|-|-|----⌫|
Liroisdeioiea n sopira	-|---|-|---|-⌫|-----|
E t ditque soncomande m ant	-⌫|--|--|--|-------⌫-⌫--|
Feraquequ e	---|--|--⌫|
il li demant.	-|-|------|
Sire fetilcesachiez	---|--|-|-|------|
uoeletquexestli don s	---|-|---|--|-|---⌫|
Donuo sm auez asseüré	--|--⌫||---|--------|
Molt mantie ngaboeneüré	---||-|---⌫-||---------|
Quanti elauraiuos tre merci	----|-⌫||----|---⌫--|----|
Siremadameque uoici	---|-|---|--|----|
Mauez otroiee ab aillier	|---|------||-⌫------|
S ir on s aprésle	|--⌫--⌫|-----|-|
c heualier	-⌫-------|
Quinosatant anla	--|--|----|-|-|
Auroipoisee t	-|--|----|-⌫|
silanreuest	-||-|-----|
Careinzderi enne se desd i st	--|---|-|--⌫-|-|-|----⌫-⌫-|
Me siriez etdolanzlefist	--⌫|----|-|-----|-|---|
Siquebienparutason uolt	-|--|---|----||--|---|
anrepesamolt	-|-----|---|
Ettuitd ïent	-|---|-⌫----|
parlam e ison	--|-|-⌫-⌫---|
Qu orgueloutrageet	-|-----|------|-|
AuoitK exdemandeee t quise.	----|-⌫-|-------|-⌫|-----|
Et li roisapar la	-|-|---||--|-|
ma inp rise	--⌫-|-⌫---|
Lareïnee t	-|-----|-⌫|
sil ia dit	-|-⌫||--|
Da me fetilsanzco ntredit	--⌫-|--|-|---|--⌫------|
Est uetquauoec Keu	---⌫--|-|----|--|
e nailliez.	-⌫|-------|
Orla mebailliez	-|-|-|-------|
Et sina ndotezi a d erien	-|-||-⌫|----|-⌫|-⌫|---|
Car i elareme nraim oltbie n	--|-⌫|-|----⌫---|-⌫--|---⌫|
Totehei tieeettote	---|---⌫---|-|---|
bail le etcil l an m ainne.	----⌫-|-|--||-|-⌫-----|
Aprésaxde us s	-----|-|--⌫-||
an issenttuit	-|-----|---|
Nia uns eu l cuimoltnennuit.	|||-|-⌫--⌫|--|---||------|
Ets achiez queli s eneschax	-|-⌫-----|--|-|-⌫-------|
Futozarmez etses c heuax	-|--|----|-|--|-⌫----|
Fuenmilacort amene z	-|---|-|---|-----⌫|
U ns palefroiz estoitdelez.	-⌫-|--------|-----|-----|
Tex comareï ne coui ent.	--|--||----⌫-|----⌫---|
La reïneaup alefroiuient	-|-----|-|-⌫------|----|
Quinestoitbraidis n eti ranz	--||-----|------|-⌫|--⌫---|
dolante etsopiranz	------|-|-------|
Monte lar e ïneetsidist	----|-|-⌫-⌫---|-|-|---|
An baspo rce	-|--|--⌫|-|
quanne loïst	-|-|-||----|
Ha ha seuos ceseüss iez	-|-|-|--|-|------⌫--|
Iacecro ineme le issessi ez	-|-|---⌫|-|-|--⌫-------⌫-|
Sa nzc halong em enerunpa s	--⌫-|-⌫------⌫|-⌫---|-|--⌫|
Molt lecuida auoir dit bas	---|-|----|----|--|--|
MeslicuensGuinablesloï	--|-|----|--------||--|
Quiaumonter	--|-|-----|
fupres de li.	-|---|-|--|
Au dep artirsigran tduel f irent	-|---⌫----|-|----⌫|---|-⌫----|
Tuitc iletcelesqui lauirent	---|-⌫-|-|----|--|-|-----|
geüst morteenbiere.	-----|----|-|-----|
Necuidentquelr eueignearriere	-|------|-|-|-⌫------|------|
Iamesan trestotson	-|--|-|------|--|
Lise neschaxpar son ou t r age	-|--⌫------|--|--|--⌫-⌫-⌫--|
L an mainnel ao ucill atant.	|-|-----|-⌫|-⌫|--||-----|
Mes a nelui	--||----|
Quedelsi uresantr emeïst	--|--|--⌫--||----⌫------|
T antquemessireG auua insdi st	-⌫--|--|------|-⌫----⌫--|--⌫-|
sonon cleenaudïe nc e	--|--⌫--|-|------⌫--⌫|
Sirefeti lmoltgra ntanfance	---|--|-⌫|---|---⌫-|------|
A uezfeite	-⌫--|----|
e t moltmanm eru oil	-⌫|---||-|-⌫---⌫--|
Tant com il sont	---|--|-|---|
an cor s ipres	--⌫--|-⌫|---|
Ieetuosir ï ens	-|-|--|--⌫--⌫--|
i uoldron tuenir.	|-------⌫|-----|
porroiete ni r	------|--⌫--⌫|
alasse maintena nt.	-----|--------⌫--|
C ene seroitpasa uenant	-⌫|-|-----|--|-⌫-----|
apre ́saxn	----⌫-|-||
a lessiens	-⌫-------|
tan tque nosseüssi ens	---⌫|--|--|-------⌫--|
Quelarei ̈ne deuandra	--|-|---⌫--|-------|
Etco man tKexs an contandra .	-|--⌫---⌫|--||-|---------⌫|
-Alons ib iax	|----||-⌫--|
n iésfet lirois	-⌫---|--|-|---|
Mol ta uez o r dit	---⌫|-⌫--|-⌫|--|
q uecortois.	-⌫-|-------|
Etdes qu anprisauezlafeire	-|--|-|-----|---||-----|
Comandezlescheuax fo rstreire	-------|--|-----|--⌫-|-----|
Etmetre fra ins etanseler	-|----|---⌫--|-|------|
Quilniaitmesqued el	-|-|||--|--|--|-⌫-|
Ia sontl icheual amené	-|---|-⌫|-----|-----|
Aparei llié e tanselé	------⌫----|-⌫|------|
Liroismontetoz pr imerains	-|---|----|--|--⌫-------|
Puis monta messire Gauuains	---|----|------|-------|
Ettuitli autrequi ain zainz	-|---|-|----|--|---⌫|---|
Ch ascunsan	--⌫-----|-|
uoltestreconpainz	---|----|-------|
Si ua chascunssicon	-|-|-------|-|--|
Arméfurent de	----|-----|-|
i otsanz armes asez.	|-|---|----|----|
MessireGauuainsfu	------|-------|-|
Etsi fistade uses cüi ers.	-|-|---||--⌫-|--⌫----⌫---|
Mener an destrede us d est riers.	----|-|-----|--⌫-|-⌫---⌫-----|
Eteinsi comila prochoient	-|----|--|-|-⌫---------|
uers l a for esti ssiran	---|-⌫|---⌫--|-⌫---|-|
Lecheu alKeuselrec on urent	-|----⌫-|--|--|---⌫--⌫----|
Et uirentquelesregnes furent	-|-----|--|--|-----|-----|
Del frainr o npuesanbe deu s.	--|----|-⌫-⌫----|----⌫---⌫-|
Lich euaxuenoittrestotseus	-|--⌫---|-----|------|---|
Sotdesa nctaint e	|-|-|--⌫-|-----⌫|
lestri uie re	|-----⌫---⌫-|
Etdelasele fude rriere	-|-|-|---|-|--⌫-----|
Liarçonsfrezet peçoiez.	-|------|---|-|--------|
quin ansoitir iez	--||-|---|--⌫--|
Etliuns l autre ancingneet	-|-|--||----|-|-----|-|
Bien loing d euant	---|----|-⌫----|
totelarote	---|-|---|
MessireG auua insch eualch oit	------|-⌫----⌫--|--⌫------⌫--|
Netard agai res quantil uoit	-|----⌫|---⌫--|----|-|---|
u enirunc heualier lepas	-⌫---|-|-⌫-------|-|--|
So runc heualduillantetlas	--⌫|-|-⌫----|-------|-|--|
E t p antoisantet	-⌫|-⌫--------|-|
tre ssü é .	---⌫----⌫--⌫|
Licheualiersa	-|---------||
MonseignorGau uainprimer ains	---------|---⌫---|------⌫---|
Etpuis luimessireGauuains.	-|---|--|------|--------|
Etlicheu aliers s	-|-|----⌫-----||
QuimonseignorGau uainconut	--|---------|---⌫---|----|
Si distSired on n euee z	-|---|---|-⌫-|-⌫|---⌫|
Conmes cheua xest tress üez	--|--|-----⌫|--|-----⌫---|
Ette xq uiln ames	-|--⌫|-⌫|-|||--|
nulmestie r	--|------⌫|
Etiecu itquecistdui destrier	-|-|--⌫-|--|---|--|-------|
Sontuostre	---|-----|
Pa r co ua ntque	--⌫|--⌫--⌫-|--|
ie uos randro ie	-|--|------⌫-|
Leseruise e t	-|------|-⌫|
leguerredon	-|--------|
Que uos ou a	--|--|-||
prest ou adon	----|-||--|
L e quel que soitme baillissiez.	-⌫|---|--|---|-|-----------|
Et c il liditOr choississi ez	-|-⌫-|-|--|-|----------⌫-|
Desdeu s lequel que	--|---⌫|-|---|--|
ilu osplest.	-|-⌫-|-----|
Mescilcui grantbesoigneen	--|--|--|----|-------|-|
Nal apasquerantle	|--⌫|--|------|-|
Nel e plusbelne leg raignor	-|-⌫|---|--|-|-|-⌫------|
Einz sail limol ttostsor celui	---|----⌫-|---⌫|---|--|----|
trouaplusp resde	----|---|-⌫--|-|
Si la maintenan t e slessi é	-|||---------⌫|-⌫------⌫-|
Et cil chietmorzquil ales sié	-|--|----|---|-|-||---⌫---|
Carmoltl auoit le iorpené	--|---||----|-|--|----|
Ettraueilliéet s orm ené.	-|----------|-|-⌫---⌫----|
Licheua lierssan znulare st	-|-----⌫----|---⌫|--|---⌫-|
Sanuet poignantpa rlaforest	|-|--|-------|--⌫|-|-----|
Gauuain saprés	-------⌫|-----|
Tantqu ilo tuntertreaua lé.	---|-|-|-⌫|-|-----|---⌫---|
E t quantilotgrant piece	-⌫|----|-|-|----|----|
Siret rouam o rtlede strier	-|---⌫---|-⌫-⌫-|-|--⌫-----|
Quilotdo né	-|-|-|--⌫--|
au cheualier	-|--------|
Etuitm oltgrantdefole ï z	-|--|-⌫--|----|------⌫--⌫|
Decheuax et grantfroisseïz	-|-----|-|----|---------|
Des cuz etdelancesantor	|--⌫--|-|-|-----|----|
Bienresanblaque grant estor	---|-------|--|----|----|
De plusorscheualiers	-|------|---------|
Selipesa molt	-|-|---|---|
il n i auoit esté.	-|||----|-----|
apa sgra nmantaresté	|--⌫|---⌫----|------|
Einzpasseoutr e	---|----|----⌫|
g r a ntaleüre	-⌫-⌫-⌫-|------|
Tantquil reuitparauenture	---|-|-|----|--|-------|
Le ch e ual iertot seu l apié	-|--⌫-⌫---⌫--|--|---⌫||---|
Totarmé le hiaumelacié	--|----|-|-----|-----|
coll espeeceinte	--||----|-----|
unech arreteatainte.	--|--⌫-----|-------|
(Deceseruoitcharretelores	--|-|------|-------|----|
Donlipilori	--|-|-----|
s eruentores	-⌫-----|---|
Etenc hasc uneboe ne uil e	-|-|-⌫----⌫--|---⌫-|---⌫|
plus d etrois mile	---|-⌫|----|---|
Nena uoi tace lta nsqu eune	|-|-⌫---⌫||--⌫|--⌫-|--⌫|--|
Etcel eesto it	-|---⌫|----⌫-|
a cescomune	|--|-----|
Ausi con li	---|--|-|
piloriso nt	-----|--⌫-|
Qui tra i ̈son oum urtref ont	--|---⌫-⌫---|-|-⌫----|-⌫--|
Etacesqui so ntchanpcheü	-||--|--|--⌫-|---------|
Etas larronsquio n t	-|-|------|--|-⌫-⌫|
Autruiauoir	-----|----|
parlarrecin	--|-------|
Outoluparforcean	-|---|--|----|-|
Qui aforfet estoit repr is	--||-----|-----|----⌫-|
Sest oit sorlacharre temis	|---⌫--|--|-|------⌫-|--|
Etmen ez partot es	-|---⌫-|--|---⌫-|
puistot esl o i s	---|---⌫-|-⌫-⌫-⌫|
Nepu is nestoit acortoïz	-|--⌫-||-----||---|---|
Neenorezne conioï z.	-|-----|-|-------⌫-|
Porc equ acel tensf urent tex	--|-⌫|-||--|---|-⌫----|--|
Leschar retes	--|----⌫----|
Fup remiersd it	-|-⌫------|-⌫-|
Quanttuuerras	----|-|-----|
Cha rrete et tul	---⌫----|-|-||
anconterras	----------|
Feicroizsortoiette	--|----|--|--|-|-|
D eDeuqu emaxnetan	-⌫|--|--⌫|--|-||-|
auai gne.)	----⌫----|
L iche ualie rs apiésa nzlanc e	-⌫|---⌫-----⌫-||---|--⌫-|----⌫|
Apré slacharrete	-----⌫|-|-------|
Et uoitunnains ur les limons	-|---|-|---|-⌫-|--|-----|
Qui ten oi t comec harr eto ns	--|---⌫--⌫|---|-⌫----⌫---⌫-|
Unelongueuerge	--|-----|----|
E t licheualier sditaunain	-⌫|-|---------⌫|--|-|---|
Nainsfe til	----|--⌫|-|
porDeucarm edi	--|--|--|-⌫|-|
Se tu asueu ̈ parici	-|-|-|---⌫|--|--|
Passermada melarei ̈ ne .	-----|-|--⌫-|-|---⌫-⌫--⌫|
Li nainscuiuerz de put e	-|----|------|-|---⌫|
Nelan uostnouele s	-||-|---|------⌫|
Ei nz lidistSe	--⌫-|-|---|-|
t u uiaxmonter	-⌫|---|-----|
S orl acharreteque i emain	-⌫-|-⌫|-------|--|-⌫|---|
Sauoir p orras ius quademain	-----|-⌫----|---⌫-||-----|
Quela r eïn ee stdeu enue.	--|-|-⌫----⌫|-⌫-|---⌫----|
sauoietenue	-|---|----|
Quil n e latantn ep asneore.	-|-|-⌫||----|-⌫|-⌫-|-|---|
Tan tsolemantdeuspasdemo re	---⌫|-------|---|--|----⌫-|
Liche ualiersque i ln imonte.	-|---⌫------|--|-⌫|||-----|
Marlefist et maren ot	--|-|---|-|--|-|-|
Quemai ntenantsus n e sailli	--|---⌫------|--|-⌫|-----|
santendr a pormalbailli	|-|-----⌫|--|--|-----|
MesReisons qui dAmors separt	--|------|--||----|-|---|
Liditq u e d el monter segart	-|--|-⌫-⌫|-⌫-|-----|-|---|
chastie e tsi	------|-⌫|-|
lanse ig n e	|----⌫--⌫-⌫|
Qu e rienne face nenanpre igne	--⌫|---|-|---|-||-----⌫---|
Dontilaithonte	---|-|--|----|
nereproche.	-|--------|
Nes tpasel	|--⌫|--|-|
cuermesanla boche	---|--|-|-|----|
Re isonsq uice	--⌫----|-⌫-|-|
dir e l ios e	---⌫|-⌫|--⌫|
MesAmorsestelcueranclose	--|----|--|-|---|------|
Quilicom andëetsemont	--|-|---⌫----|-|-----|
an la charretemont .	-|-|-------|----⌫|
Amorsleui altet	----|-|--⌫--|-|
Quedelahontenelichau t	--|-|-|----|-|-|----⌫|
PuisquAmors leco man deetuialt .	---|-|----|-|--⌫---⌫-|-|-----⌫|
Etmessire Gau uainss aqui alt	-|------|---⌫----||----⌫--|
Aprés lacha rretepoignan t	-----|-|---⌫----|-------⌫|
Etquant ilit rue u eseant	-|----|-||-⌫---⌫-⌫|----|
L eche ualier	-⌫|---⌫-----|
sisanme ruoille	-||-|--⌫------|
Puis dita unainCarme consoi lle	---|--|-⌫|---|--|-|------⌫--|
