asonbonseigneurlooysfilzduroy	|--|--|-------|----|---|-|--|
ci aprespour espargnierle doumagedeson	-|----|---|---------|-|------|-|--|
le prem ierfait	-|----⌫--|---|
lao uilmistso ncor sena ua nture de	-|-⌫|-|---|--⌫|---⌫|-|-⌫--⌫----|-|
m ortce fualariuerquenous feimesdeuant	-⌫--|-|-|||-----|--|---|-----|-----|
damietelaout out sonco nseilliloa ainsi	------|-|-|-⌫--|--|--⌫----|-|--|----|
commeiele ntendi	----|-||-⌫-----|
qu eildemour ast	--⌫|-|------⌫--|
ensaneift antque ilueis t	-|-|---|-⌫-----|-|----⌫|
ques acheua lerie	--|-⌫|-----⌫----|
laresonpour	-|----|---|
quoyenlilo a	---|-|-|--⌫|
ceschosessiesto ittelequese	--|-----|-|----⌫-|---|--|-|
il ari uoit auec eulzet	-|---⌫---|---|---|-|
sagen testoientoccis et ilauec la	-|---⌫|-------|----|-|-|---|-|
b esoig neseroit	-⌫-----⌫-|-----|
ildemouroit en saneifparsoncorsp e u st	-|--------|-|-|---|--|--|---|-⌫-⌫-⌫-|
il rec o uurer arec o nquerre l aterre deeg ypte.	-|---⌫-⌫----||---⌫-⌫------|-⌫|----|-|--⌫---||
etilneu oultnulluicro ireainss a illienla	-|-|-|-⌫---|-----|---⌫--|---|-⌫-⌫---|-|-|
mertoutarm é l escuau co l le glaiue	--|---|---⌫-||---|-|--⌫|-|-----|
ou poing etfudes premiersa terre.	-|----|-|-|--|-------||----||
l as eco n defoizquilm ist	-⌫|-⌫---⌫-⌫-|---|-|-|-⌫--|
sonco rsen auantu redemorts i	--|--⌫-|-|------⌫-|-|---|-⌫|
fu te l equeaupartirqu	-|--⌫-⌫|--|-|-----|-|
il fistde lamasou rrepour uenir	-|---|-|-|-----⌫--|---|----|
adamietesoncons eil	|------|--|----⌫--|
l iloasic ommelen	-⌫|--|-|-⌫---|--|
medonnaaenten dreq ue ilsenuenist	-|----||-----⌫--|-⌫-|-||-|-----|
adamiete en	|------|-|
etcec on sei l lif u donnésicommelen	-|-|-⌫--⌫---⌫|-|-⌫|-----|-|----|--|
d it p ource queseilli me scheoi td e	-⌫-|-⌫--|-|--|-|-|-|--⌫------⌫|-⌫|
sagentparsoncorsles peust de liurerde	-|---|--|--|---|--|----|--⌫-----|-|
et e spe cial mentc e conse illi fud onnépourle	-|-⌫---⌫----⌫---|-⌫|-----⌫-|-|-|-⌫----|---|-|
meschief desoncorsouilestoit	-------|-|--|---|-|-|-----|
p arplus ieurs maladi esquiestoienttelescari l au oitdo uble	-⌫-|----⌫----|------⌫-|--|-------|----|--|-⌫|--⌫--|--⌫---|
tie rceinneet menoiso nm oultfortetla	---⌫------|-|-------⌫|-⌫---|---|-|-|
mal adie delost enla bouche et es	---⌫---|-||--|-|-|-----|-|-|
ilneuoul t onquesnulluicroire	-|-|----⌫|-----|-----|-----|
aincoi s dist	------⌫|---|
q ue sonpeuplen e	-⌫-|--|-----|-⌫|
lairoiti l	------|-⌫|
iamezferoit	----|-----|
tele fin c omm eilferoient	---|--|-⌫---⌫|-|-------|
s ili enauint ains i quep arl amenoisonqu	-⌫|-|-|----|----⌫|--|-⌫-|-⌫|-------|-|
il auoitque	-|----|--|
couuintlesoircouper	------|-|---|-----|
lefonzdeses	-|---|-|--|
braieze t p arlaforcedelamaladiede	-----|-⌫|-⌫-|-|----|-|-|------|-|
lostsepa s mai l le	|--|-|--⌫-⌫-|-⌫|-|
soi r p arplus eurs fo iz	---⌫|-⌫-|----⌫---|--⌫-|
aussi c om meuous	----|-⌫--⌫-|---|
orrez c iapres.	----|-⌫|----||
la tierce foizqu	-|-----|---|-|
ilm ists oncors enauanturedemortc efu	-|-⌫--|-⌫-|---|-|-------|-|---|-⌫|-|
quantil dem ou ra qua treansen	----|-|---⌫--⌫-|---⌫--|--|-|
lasa inteterrea presceque	-|--⌫---|----|-⌫---|-|--|
sesfreres enfurentuenuz .	--|-----|-|-----|----||
engra ntauant ured emortfumesl ors .	-|---⌫-|-----⌫--|-⌫|---|----|-⌫--||
car quantleroyfudemouréenacr e pour	--|----|-|--|-|-------|-|---⌫|---|
un h ome aarm es	-|-⌫--||---⌫-|
q ueil auoitensaco mpa gnieceulzdacreen	-⌫-|-|----|-|-|--⌫---⌫---|----||---|-|
auoientbien tre nte qu a ntlauillefupri se.	------|---|---⌫--|--⌫-⌫-|-|----|-|---⌫-||
ca rie ne saiautreresonpour quoyles	--⌫|-|-|--|----|----|---|---|--|
turzn e nousuin drentprendre enla	---|-⌫|---|---⌫----|------|-|-|
ui lleforsquepour	--⌫--|------|---|
lam ourque dieuauoitau	|--⌫--|--|---|----|-|
la poourmeto itau	-|----|----⌫-|-|
cueranosenne mispour	---||--|----⌫--|---|
quoy ilnenousosassentuenircourre sus.	---|-|-|---|-------|----|-----|--||
ceeste scri ptsetucreinsdie usite	-|--|-⌫----⌫-|-|-|-----|---⌫|-|-|
creindronttouteslesri ens	---------|-----|--|--⌫--|
e tce ste demoureefistil	-⌫|--⌫--|-------|---|-|
tout co ntresoncon seilsicommeuou s	---|--⌫---|--|---⌫---|-|----|---⌫|
orrez ciapres.	----|-|----||
son corsm istile nauanturepour	--|---|-⌫--|-|-⌫|-------|---|
l e peuplede laterre g aranti rqui	-⌫|-----|-|-|----|-⌫------⌫|--|
eustest e ́pe rdu deslorss e	---|---⌫-⌫|--⌫--|--|---|-⌫|
i lnef eust lorsremez.	-⌫|-|-⌫---|---|----||
lequ artfait lao u ilmist	-|--⌫--|---|-|-⌫|-|---|
s oncorsen au antur e	-⌫-|---|-|--⌫-----⌫|
demortce fuq u an tnou sre uenismes doutremer	-|---|-|-|-⌫-⌫--⌫|---⌫|--⌫-------||-------|
etuenis mesdeuantlillede cyprelaou	-|-----⌫--|-----||---|-|----|-|-|
nostrenei fhurt asi malement que la	-----|---⌫|----⌫|-|-------|--|-|
terrela ouelle	----|-|-|---|
hurtaenp or tatrois toisesdu tysonsur quoy nostre	----|---⌫--⌫-|----|-----|-|----|--|---|-----|
nei festoitfondee .	---⌫|-----|-----||
leroy enu oiaquerrequatorzemestresn othonn iersq ue	-|--|---⌫--|-----|-------|------|-⌫------⌫---|-⌫-|
decelleneifquedau tresqu i	-|----|---|--||--⌫---|--⌫|
estoienten	-------|-|
sacompaigniepour liconseillerq ueilferoit	-|---------|---|-|---------|-⌫-|-|-----|
ettouzliloerent sicommeuouso rrezci	-|---|-|------|-|----|---|-⌫---|-|
i lentrastenuneautre	-⌫|------|-|--|----|
neifcar ilne	---|--|-|-|
ueoientpascomment	------|--|------|
lane ifp eustsouffrir les	-|--⌫-|-⌫---|-------|--|
copsdesond esp our c e que	---|--|---⌫-|-⌫--|-⌫|--|
lesclousdequoylesp la nch esdela	--|----|-|---|--|-⌫--⌫---⌫-|-|-|
nef estoient attachiezestoienttouz eloschez	--|-------|--------|-------|---|-------|
e t m ou strer entau r oylexemplaire du peril de	-⌫|-⌫--⌫-----⌫--|-|-⌫-||---------|-|----|-|
ceque al alerquenousf eismes outremer	-|--|||---|--|---|-⌫-----|-------|
unenefe nsem blablefa it auoitest ép erie e t	--|--|-⌫|---⌫-----|--⌫-|----|---⌫-|-⌫---|-⌫|
ieu ilafemmeetl	-|-⌫|-|----|-||
enfantchiez leconte	-----|----|-|----|
de io yngnyq uiseulz	-|--⌫----|-⌫-|----|
nef e schaperent.	--|-⌫---------||
ac e resp ondile roy seign e ur s	|-⌫|----⌫---|-|--|-----⌫-⌫--⌫|
ieuoi que se i edescensd eceste	-|--|--|-|-⌫|------|-⌫|----|
nefque elleseraderefusetuoy queil	--|--|---|---|-|----|-|--|--|-|
aceanshui tce nsper sonn es etplus.	|----|---⌫|--⌫-|---⌫----⌫-|-|---||
et pourcequechascunaimeautretant sauie	-|---|-|--|------|---|--------|-|--|
com meiefaizl am oienose ro i t	---⌫-|-|---|-⌫|-⌫--||---⌫--⌫-⌫|
nulzd emou rere n ceste nefai ncoisdemo urroient enc y pr epour	---|-⌫----⌫--|-⌫|----|--|--⌫----|----⌫-------|-|-⌫-⌫--⌫|---|
quoy sedieu	---|-|---|
plaitienemettrai ia ta ntdege nt	----|-|-|------|-|--⌫-|-|--⌫-|
commeilaceans enperil d e mort	----|-||----|-|----|-⌫|---|
ain co isdemourraicea nspo u rm onp e uple sauuer .	---⌫--⌫-|--------|---⌫-|--⌫-⌫|-⌫-|-⌫-⌫---|-----||
etdieua cuiil	-|---||--|-|
sattendoitnous	|--------|---|
saul ua enperildemer biendix	----⌫-|-|----|-|--|---|--|
sem ainnesetue nimesabon portsicomme uous	---⌫-----|-|--⌫----||--|---|-|----|---|
orauint ainsi queoliuier determesquibi en	-|----|----|--|------|-|-----|--|--⌫-|
etuigu ereuseme n t	-|----⌫--------⌫-⌫|
sestoitmainte nu	|-----|------⌫-|
o utremerlessa	-⌫------|----|
le roy etde moura encypr e	-|--|-|--⌫----|-|----⌫|
lequelnou sneueismespuis danetdemi	-|---|---⌫|-|------|---||-|-|---|
ainsidestourna ler oy	----|--------|-|-⌫-|
le doumage de huit	-|------|-|---|
ce n spersonnesquiestoient enla nef.	--⌫-⌫|--------|--|-------|-|-|--||
e nladarenierepartiede	-⌫|-|--------|-----|-|
cestli ureparler ons	---|--⌫--|------⌫--|
de safincomme nti ltrespassasaintement .	-|-|--|-----⌫-|-⌫|--------|---------||
iea uou smonseigneur leroy	-||---⌫|--|-------|-|--|
de nauarr eque ie promisa	-|------⌫|--|-|-----||
ma d amelar oyn e	-|-⌫--|-|-⌫---⌫|
uostremereacuidiex	-----|---||--|---|
bonemercifacequeieferoiecestliure.	---|----|---|--|-|-----|---|----||
etpourm oyaquitierdemapromessel	-|---|-⌫-|-------|-|-|-------||
e t p ourceque	-⌫|-⌫--|-|--|
ne uoinulluiq uisib ien	-|--|-----|-⌫-|-|-⌫--|
ledoie auoirc om meuou squiestesses	-|---|----|-⌫--⌫-|---⌫|--|----|--|
hoir sle uou se nuoieiepource	----⌫|-|---⌫|-⌫----|-|---|-|
queuousetuostrefrer eet lesautresqu i l	--|---|-|-----|----⌫|-|--|-----|--⌫||
or rontypuissent pren rebon e xemple etlesexemples	--⌫---||-------|----⌫-|--|-⌫-----|-|--|-------|
me ttrea oeuure pa r quoydieu leurensache gre	--⌫---||-----|--⌫|---|---|---|-|----|--|
e nnom dedieuletou tpuissan tieiehansi rede	-⌫|--|-|---|-|---⌫--------⌫|-|----|--⌫-|-|
io yng ui ll e sen eschaldechampa ignefaiz escrirelauie nostresaint	--⌫---⌫--⌫--⌫|---⌫-----|-|------⌫---|---|------|-|--|-----|----|
l ooysc eque ieuisetoyparl espace	-⌫---|-⌫|--|-|--|-|-|--||-----|
d e sis an zque ie fu e n	-⌫|--|--⌫|--|-|-|-⌫|
sacompaignieo upele r inagedoutremer	-|---------|-⌫|----⌫-⌫----||-------|
etpuisque nou sreuenimes.	-|------|---⌫|--------||
etauantqueie uous conte de	-|-------|-|---|----|-|
ses g ran sfaizetdesacheualerie	--|-⌫---⌫|---|-|-|-|---------|
uous con te rai ieque ie	---|---⌫--⌫--|-|--|-|
uietoy de s es saintes paroles	-|-|-|-|-⌫-|------|------|
etde sesbonse nseignemens	-|-|--|---|-⌫----------|
pource qui ls	---|-|-|-⌫-|
soient trouuez lun	-----|------||-|
apreslautrepour e def ier	----||----|---|-⌫---⌫--|
ceu lz quilesorront.	---⌫-|--|--|-----||
cesa inthomeama dieu detout	-|--⌫--|---|--|---|-|---|
son cuerete nsuiuisesoeu ures .	--|---|-|-⌫-----|--|---⌫---||
etyapparutence quea ussi commedieu	-||------|-|-|--|-⌫---|----|---|
morutpou rlamourque	----|---⌫||----|--|
il auoi te n sonpeuplemist	-|----⌫|-⌫|--|-----|---|
ilsoncorsenauan tureparp lus eursfoiz	-|--|---|-|----⌫---|--|-⌫---⌫---|---|
amour queil auoita son peuple	----|--|-|----||--|-----|
etsen feustb iensou f ers se	-||-|----|-⌫--|---⌫-⌫--|-|
il uous istsi commeuous	-|----⌫--|-|----|---|
orrezc i apr es .	----|-⌫|---⌫-||
lagrantamourqui lauoitason	-|----|----|-|-⌫|----||--|
peupleparut a	-----|----||
cequ ildita sonainsne	-|-|-|--||--|-----|
filz enu ne moult grantmaladiequeil ot a	---|-|-⌫-|----|----|------|--|-|-||
fonteinnebli autbiaufil zfist il	------------⌫--|---|---⌫|---|-|
ieteprique	-|-|--|--|
facesamera u peup l edetonroyaumecar uraiement	----|---|-⌫|----⌫-⌫|-|--|------|--|--------|
ieaimera ie	-|------⌫-|
miexqueunescotuenis t des co ce et	---|--|-|----|-----⌫||--⌫--⌫-|-|
gouuernastlepeuple du royau meb ie net	---------|-|-----|-|-----⌫-|-⌫--⌫|-|
l oialmentqu eque t u le	-⌫-------|--⌫|--|-⌫|-|
gouuern asses mal	-------⌫----|--|
aper teme nt.	----⌫----⌫-||
le saint ama	-|----|--|
tant ueriteque neis aux sarrazin s	---|-----|--|---|--|--------⌫|
neu oultil	-|-⌫---|-|
p as m entirde cequeil le urau oiten	-⌫-|-⌫----|-|-|--|-|--⌫-|--⌫--|-|
conuenantsi commeuous orrez	--------|-|----|---|----|
dela bo uchefuilsi qu e onques iourde	-|-|--⌫---|-|-|-|--⌫|-----|---|-|
oydeui sern ulles	-|----⌫--|-⌫----|
uiandesaussi co mm emaintrichezhomes	------|----|--⌫--⌫|----|-----|----|
aincois manioit paci entment ce que sesqueusliappar eilloient	------|------|----⌫------|-|--|--|----|-|-----⌫--------|
p aroles fuil attr empezcar	-⌫-----|-|-|----⌫----|--|
onques iou rdemauie ie	-----|---⌫|-|-|--|-|
nelioym aldire	-|-|-|-⌫-|---|
den ulluineo nques	-|-⌫----|-|-⌫----|
oyn o mmerle	-|-⌫-⌫---|-|
dyablelequel nons	-----|-|---|---|
estbie nespanduparlero yau me	--|---⌫|------|--|-|--⌫---⌫-|
c equeie croyquineplaitmiea	-⌫|--|-|---|--|-|----|--||
sonuintrempoitpar	--|--|-------|--|
mesure selo nc cequ ilueoit queleuinle	-----|----⌫-|-|-|-|----|--|-|--|-|
pooit soufri r.	----|------⌫||
il medemand a e n	-|-|------⌫|-⌫|
c yp re pourquoyienemetoi ede	-⌫--⌫-|---|---|-|-|-----⌫|-|
l yaue enmonuin .	|---|-|--|--||
etie lidiz qu ece	-|-|-|--|--⌫|-|
mef esoie ntles	-|-⌫-----⌫-|--|
phisiciensqu imedisoien tq ueiauoieune	---------|--⌫|-|-------⌫|-⌫-||----|--|
grosse testeetunefroi defourcelleetq ue	-----|----|-|--|----⌫-|--------|-|-⌫-|
ienenauoiepoo ir dee nyurer.	-||-|----|---⌫-|-|-⌫-----||
me distque il	-|---|--|-|
m edeceuoi ent c arseie	-⌫|-------⌫--|-⌫-|-|-|
ne lapprenoie	-||--------|
atrem prer en	|----⌫---|-|
maioenesce etieleuouloietrempre r	-|-------|-|-|-|------|-------⌫|
en ma uie illesse lesgout e setl esmalad ies	-|-|---⌫------|--|----⌫-⌫|-|-⌫-|-----⌫--|
de four celle me	-|----⌫----|-|
prendroient que iameznauroie sa nte .	----------|--|----||-----|--⌫--||
beuoie le uintoutpur enma uieil lesse	-----|-|--|---|--|-|-|-----⌫----|
iemen yureroie t ou zles soi rs.	-||--⌫-------|-⌫--⌫|--|---⌫-||
et ce estoit t rop laidechosede	-|-|-----|-⌫--|----|----|-|
ua illan t hom e de	--⌫-----⌫|---⌫|-|
soyenyure r.	--|------⌫||
de mandaseie	--⌫----|-|-|
uouloieestre	------|----|
cesiecle etauoir	-|-----|-|----|
paradisalamo rt.	------||-|--⌫-||
e tielidiz	-⌫|-|-|--|
etilme d i t	-|-|-|-⌫-⌫|
donquesuous	------|---|
gardezque u o usnefaite sne nedi tes a	-----|--|-⌫-⌫-|-|-----⌫|-|-|--⌫--||
uostreescientnul le	-----|------|---⌫-|
riens ques e toutlemon de	----|--|-⌫|---|-|---⌫-|
lesauoi tque	-|-----⌫|--|
u ousnepeussiezcongnoistreie	-⌫--|-|-------|----------|-|
fai t ie aicedi t .	---⌫|-|-|-|--⌫||
ilmeditquemegardass eque ienedesmentisse	-|-|--|--|-|-------⌫|--|-|-|----------|
desdeissenulluideceque	--------|-----|-|-|--|
ildiroitdeuantmoypuisquei e niauroi e	-|-----|-----|--|------|-⌫|||-----⌫|
nepec hienedoumageousouffrirpour ceque	-|---⌫--|-|------|-|-------|---|-|--|
des dure sp arole smeuue nt lesmellees dont	--|----⌫|-⌫-----⌫|-----⌫-|--|------|---|
milhomes so ntmors.	--|----|--⌫-|---||
ildisoitquelendeuoi ts oncorsuestiretarm er	-|-----|--|--|-----⌫|-⌫-|---|-----|-|---⌫-|
entelemaniereque	-|---|------|--|
lespreudes h omes d ec est s ieclenedei ssentqueil en	--|-------⌫-⌫---|-⌫|-⌫--|-⌫----|-|---⌫----|--|-|-|
feist tropne queles io enes	----|---|-|--|--|--⌫---|
homesnedeis sentque ilfe i s t pou.	----|-|----⌫---|--|-|--⌫-⌫-⌫|--||
et ces techose ramentiie le perele	-|---⌫-|----|------|-|-|---|-|
r oy quioren d roit	-⌫-|--|----⌫-⌫---|
estpourlesotesbrodeezaarme rque	--|---|--|---|------||----⌫|--|
enfaithuietlei our etli	-|---|--|-|-|-⌫--|-|-|
disoiequeonque s	-----|--|-----⌫|
uoie doutremerla	---||-------|-|
ou iefuzie	-|-|--|-|
n iuicottesbrodee snel esroy	||-|-----|------⌫|-|-⌫-|--|
ne lesautru i .	-|--|-----⌫||
auo ittiex atours brod ez	---⌫-|---|-----|----⌫-|
desesarmes	-|--|----|
quili au oientcousté	--|-|--⌫----|------|
h uit cen z liuresdeparis i s .	-⌫--|---⌫|-----|-|-----⌫-⌫||
lidizqueilles	-|--|--|-|--|
eus tmiexemploiéss eilles eustdonnezpour di eu	---⌫|---|--------|-⌫|-|--|---|-----|---|--⌫-|
et eustfaitse s	-|---|---|--⌫|
bo ncendalenfor ciéde sesarmessicomme	--⌫|-----|-----⌫---|-|--|----|-|----|
ilmap elaunefoiz	-||--⌫--|--|---|
e t med istie nosep arler	-⌫|-|-⌫--|-||--|-⌫----|
auous pou rlesoutil s enzdontuous es tes	|---|---⌫|-|-----|-⌫--|---|---|--⌫--|
dechosequitouche adi eu .	-|----|--|-----||--⌫-||
ai ieappeléces f r eresq uici sont	-|-|------|--|-⌫-⌫---|-⌫-|-|---|
queie uousuueilfaireune demande .	--|-|---|----|----|--|------||
la demande futeleseneschal f istilq uel chose est	-|------|-|---|--------|-⌫--|-|-⌫--|----|--|
e tieli dizsireceest sib onecho se	-⌫|-|-|--|---|-|--|-|-⌫--|---⌫-|
quemeilleur	--|-------|
nepeu testr e.	-|---⌫|----⌫||
-urai eme ntfistilcest bienr e spon duqueceste	|----⌫---⌫-|---|-||--|---|-⌫-⌫----⌫-|--|----|
resp onseq ue	----⌫---|-⌫-|
u ousauezfait eeste scripte	-⌫--|---|----⌫|--|-⌫------|
en cestliure queie	-|---|----|--|-|
tieing enmamain	-----|-|-|---|
oruousdemande iefistil	-|---|------|-|---|-|
le q ueluous a merie zmiexouqueuous	-|-⌫--|---|-⌫-----⌫|---|-|--|---|
feu ssi ésmesia uxouque uouseussiés faitunpechiem o rtel	---⌫---⌫--|-----⌫-|-|--|---|-------|---|-|-----|-⌫-⌫---|
etie q ui on quesne	-|-|-⌫-|--⌫---|-|
lime ntilirespondique	-|--⌫--|-|-------|--|
ieename raiemiex auoir	-|-|---⌫---|---|----|
faittrenteque estrem e siaus	---|-----|--|----|-⌫-⌫----|
et quant les	-|----|--|
fr eres sen	--⌫---||-|
furentpartisilmappelatouts eu l	-----|-----|-||-----|---|-⌫--⌫|
etmefistseoi r	-|-|---|----⌫|
et med itcommentme deistes- u ous hierc e	-|-|-⌫-|------|-|------||-⌫--|---|-⌫|
etielidizque	-|-|-|--|--|
encorelidisoie-ie .	-----|-|-----||-||
deistescommeha st is musarzcarnulle si	------|----|--⌫--⌫-|-----|--|----|-|
laidemezeleri e nest	----|--------⌫||--|
commedest re enpechiemo rtelpo urce quel	----||---⌫-|-|-----|--⌫---|--⌫-|-|--||
amequ iestenpechiemortelestse mblab le	--|--⌫|--|-|-----|-----|--|--⌫-----⌫-|
audy ablepar quoy	-|--⌫---|--|---|
nullesil aidemesele rie	----|-|-⌫---|------⌫--|
nepeute stre.	-|---|-⌫---||
estuoirque	--|---|--|
quant lommemeu r t	----||---|---⌫-⌫|
lameseler iedu cors.	-|-------⌫-|-|---||
me s qu antl ommequiafait	--⌫|--⌫--||---|--||---|
le pechi emortel meur tilne	-|-----⌫|-----|----⌫|-|-|
scei t pa s ne nestcert eins queila iteu	----⌫|--⌫|-||--|----⌫---|--|-|-⌫-|-|
repentanceque	---------|--|
dieuliaitpar donnéparquoygrantpoo ur doit	---|-|--|---⌫-----|--|---|----|---⌫-|---|
auo irquecelle	---⌫-|--|----|
mez eler ie lidure	---⌫----⌫-|-|---|
tantcomme diexyertenparadis.	---|----|---|---|-|------||
siu ouspri fi st-il tantco mme	-|-⌫--|--|--⌫-||-|---|--⌫--|
iepuisqueuousmetésu otrecuera ce	-|---|--|---|-----|-⌫---|---||-|
pourl amour dedieuet	---||----|-|---|-|
de moyque uousamissiezmi ex quetout	-|--|--|---|-------|--⌫-|--|---|
mesch i ef auenitaucors	-----⌫-⌫-|-----|-|---|
de meselerie etd etoute maladieque	-|--------|-|-⌫|----|------|--|
cequelep echie mortelu enistalamede	-|--|-|-⌫----|-----|-⌫----|||--|-|
il medemandase	-|-|------|-|
ielauoiel es piezaus poure s	-|-----|-⌫-|---|--|-----⌫|
le iourdugr an t	-|---|-|--⌫--⌫|
sired izieenmaleurlesp iez de	---|-⌫-|-|-|--|--|--|-⌫--|-|
cesuilainsn e	--|------|-⌫|
laue ra i -	----⌫--⌫||
-u raiementfist	|-⌫-------|---|
cefu malditcaru o us	-|-|--|--|--|-⌫-⌫-|
mieauoirend esdaingce que	--|----|-|-⌫------|-|--|
die ufistpour	---⌫|---|---|
nostreenseignement .	-----|-----------||
si uous priiepour lamou r dedieupremie r	-|---|--|-|---||----⌫|-|---|------⌫|
etpour lam ourdem oyqueuous	-|---||--⌫--|-|-⌫-|--|---|
les ac coustumezalauer.	--|--⌫--------||----||
tanttout esmaniere sd egensquidieucreoie ntet	---|----⌫-|-------⌫|-⌫|---|--|---|------⌫-|-|
amoie n t q ue ildonna lacon n establiedefranc ea	-----⌫-⌫|-⌫-|-|----|-|---⌫-⌫-------|-|-----⌫||
mon seigne ur	--|------⌫-|
gilleslebrunq uin estoit pas	-----|-|---|-⌫-||-----|--|
duroyaumed efrance pource	-|------|-⌫|-----|---|-|
quilest oitde	-|-|---⌫--|-|
grantrenommee	----|-------|
decroiredieu	-|-----|---|
et iecroyuraiement que telf u il.	-|-|---|--------|--|--|-⌫|-||
maistrerober tdecerbonepourlagrant renom mee queil	------|-----⌫|-|------|---|-|----|-----⌫--|--|-|
auoit d estrepreudommeillef aisoit man gera	----||----|--------|-|-|-⌫-----|---⌫--||
uniou rauintque	-|---⌫|----|--|
ilmanioitdelez moy	-|------|----|--|
lunal autr e	|-|||----⌫|
etnousrepristet	-|---|------|-|
di tparl é sh autfist- ilcar uoz	--⌫|----⌫--⌫|-⌫--|---||-|--|--|
