Horauosdic uera raizun	---|--|--|---|-----|
ogm aniedlas opadï ables e n	-|-⌫----|-|-⌫--|---⌫---|-⌫-⌫|
enzensag o l a	--|-|-|-⌫-⌫-⌫|
Semper leued de lpium anie r totals	-----|----|--⌫|--|-⌫----⌫|--|--|
Iudeusouai nuncer	-----||--|-----|
Iesúsl obonspersapietad tan	-----|-⌫|---|--|-|-----|--|
dulcementpr es aparler	--------|--⌫-||-----|
Sobreso npeizf ez condurmirsant	----|--⌫|---|-⌫-|--------|---|
I ohanlo son cher amicAc elsopar	-⌫---|-|--|---|---||-⌫-|----|
unser monfizchi	-|---⌫--|--|--|
celnonsabtal nonaudid	--|--|--|--|--|----|
Contra·lsafan z queana p adi r	-----|--|----⌫|--|-||-⌫---⌫|
t ozsosfidelsbenenga rni d	-⌫-|--|-----|--|-|--⌫---⌫|
Pedr eperchoindad que celanoit lui	----⌫|----------|--|---|---|--|
Pedres formentsenadunad pe repsamort no·l	-----|------||-|-----|--⌫|---|---|-|-|
Iesúsdensenl eued	-----|--||-|-⌫---|
Gehseman i ui les nanez	--------⌫|--⌫|-||---|
Tozsosfid el ssederroueteuanorarsols en	--|--|---⌫--⌫|----|----|---|---|---|-|
Granz fulidolsfor t marrimenzsicondormir enttuitades	----|-|-|---|---⌫|--------|-|---------⌫--|---|---|
I esúscumueglosesuele dtrestoz	-⌫----|--|--|--|------⌫|------|
orarbeinlosm an d ed	---|---|--|-⌫--⌫-⌫-|
E duncorarcum	|---|---|--|
el anned sifort	-|----|-|---|
sudor du nquessudedquecum losagsa terracurrent	----|--⌫----|----|--|--|-|---||----|------|
lassanctas gutes	--|------|----|
Al·sosf idelscumrepadred	-|---|-⌫----|--|-------|
tambe nlem ent losconfo rted	--|--⌫----⌫--|--|-----⌫---|
sap roismedabgranco mpannie	|--⌫------|-|---|--⌫------|
Iesúscumui dra los	-----|--|--⌫--|--|
Iudeu s z o lor deman de z	-----⌫|-⌫|--|-----⌫--⌫|
Quequeren t	--|------⌫|
Ill ir esponden ttuitadun	-|-⌫|-⌫--------⌫|---|---|
Ie súmquerem	--⌫---|-----|
Nazare num	------⌫--|
Eusoi aquelzod is	-|--|----|-|-⌫-|
T uitli felun cade gr en t ius	-⌫--|-|----|----⌫--⌫--⌫|--|
Terceuezlorodemanded at otastreis	----|--|--||-------||-⌫---|----|
cheden tenuers	------⌫|-----|
Mais l ifelu ntuitt r assudaduer s n ostre don	---|-⌫|----⌫|---|-⌫-⌫------|---⌫|-⌫----|--|
sonap rois ma d	--|--⌫----⌫--⌫|
Iudaslifel ensennafei	----|-|--|------|--|
Ce luiprendetc u ibassaerei	--⌫--|------|-⌫-⌫|--------|
Iud as cu mueggra	---⌫-|--⌫|-----|
Iesúm semperl i te ndlosonmenton	-----|-----|-⌫|--⌫-|-|--|-----|
Iesús libonsno ·lrefudedal	-----|-|---|-|-|------|-|
tradeturb aisairdoned	-------|-⌫-----|----|
Ies ú s lob ons per qu e	---⌫--⌫|-|-⌫--|--|--⌫|
mtrades into	|-----|-|-|
Mel ztifuranon fus sesnaz	---⌫|-|---|--|---⌫--|--|
tradas percobetad	-----|--|------|
Arman dester enteuirum d e totas	-----⌫|-----⌫--|-----|-⌫|----|
par tpresdrent	---⌫|--------|
No ·sdefended n e	-|-|-------|-⌫|
no·ssu steda	-|----⌫---||
lamortuaicumunsanels	-|---|--|--|--|----|
Pe dres ols ue ni arlo uol	--⌫--|-⌫--|--⌫--⌫-|-|--|
f e rquea llazog	-⌫-⌫|--|-⌫|--|-|
sic onsegueduserufell onladest re	-|-⌫-------||---|----⌫-|-|----⌫-|
aurelialiexc os	------|-|---⌫-|
Iesú slibonsbe nred perma l	-----⌫|-|---|--⌫|--|--|--⌫|
laur elia adse r u sempersa nedL ïa dens	|---⌫---|-|--⌫-⌫|-----|--⌫--|-⌫---⌫---|
manscumeladronsil ent menem a	---|---|-----|-||--|----||
Doncloengu rpissenseifedelc um	---|-|-|--⌫------|--|----|-⌫-|
eldesanzdiz lor aueitsanz	-|--|--|--|--|----|---|
Pedre s ols segwenlo uaiqua esua fin ueder uoldrat	----|-⌫--|-----|-|--|---⌫|--|--|----|------|
Annanomna uent	---|-----⌫---|
Iud eua cui	---⌫-||--|
Iesúsfuretmenez	-----|----|----|
Doncsadu nouent lif e lo n uederannouentpres	---||---⌫-----|-|-⌫-⌫--⌫|----|-------|---|
De quant i l que rent le forsf ai t	-|----|-⌫|---⌫---|-|-----⌫--⌫|
Ies úmoicis esantnonfudtrou ezne enu enguzquar	---⌫--|-----⌫----|--|--|----⌫-|-|---⌫----|---|
elf orsfait non feist nëul	-|-⌫------|--|----|----|
Dauant l es tedlepontifex siconiuretper	-----||--⌫--|-|-------|-|-------|--|
Deu q ue·ll ordissestper pu rafie dsi	--|-⌫-|---⌫-|------|--|--⌫-|---⌫|-|
Iesúsf ils	-----|-⌫--|
Deu es til	--|--⌫|-|
deit respon	---|-----|
Tuit lifelloncride ntadun	---|-|-----|-----⌫-|---|
Maior fors fait queiquerem	----|----⌫---|--||-----|
me d epsaudit lauem	--⌫-⌫--|----||---|
Lo·sossans	-|---|---|
ols duncquesc ubrirent a	--|-------|-⌫-------||
coleiarfellon l opris drenten sobretots i l	------|-----|-⌫|----⌫----|--⌫----|--|-⌫||
escarnissent	-----------|
Dino spro phetechito fisdret	-|--⌫|---⌫----|--|||------|
Fors enla s estrasest et	---|-|--⌫|-----|---⌫-|
Petrealfog luseire	----|-|--||-----|
laeswardeuet	|----------|
Desa raison si lesfreded quelo	-|-|-----|-||-------|--|-|
Deu f illi fai	--|-⌫-|-|--|
Anzquael anoitloialz	--|---|-⌫|---|-|---|
c an testerceuez	-⌫--⌫--|----|--|
Pet re loneiez	---⌫-|-|----|
I esúslibonsloreswa r det lui recognostr e	-⌫----|-|---|-|-----⌫-⌫--|--|----------⌫|
· lsemperfiz	-⌫|-----|--|
Petrus daloforssenaledamaramentmult	-----||--|---||-|---|--------|---|
pe r ci olai sse d	--⌫|--⌫|---⌫---⌫|
Deusseneier que denos	---|-|----|--|-|--|
aietpïet e d	---|-----⌫-⌫|
matin sfud	-----⌫|--|
e sclairez d au ant	-⌫-------|-⌫--⌫--|
P ilatlenant menetfortmentlouant	-⌫---||-|--|----|-------|-|---|
ila cusa nd la soamortmultdeman d ant	-|-⌫----⌫-|-|--|---|---|-----⌫-⌫--|
Erodlenenui etcuidesa ba nzuo lietmelde	---||-|----⌫-|--|--|-⌫--⌫-|--⌫---|--|-|
Christi pas sïon	------|---⌫----|
amse paierent a cielio rn	-|-|-------||---|--⌫-|
Herodescu m louidmultlez semper	------|--⌫|-|--|---|--|-----|
enesde uint	-|----⌫---|
multaaudit semperpenseduertu z feisis	---||----|-----|-----|-----⌫|-----|
De m ul tesuis esl	-|-⌫--⌫--|---⌫-||
Iesúslibonsmo t	-----|-|---|--⌫|
acusentelsetais	------|-|-|---|
ad unrespondrenonde n a t	-|-|--------|--|--⌫-⌫-⌫|
Dunclodespeisel escarnitlifel	---|-|------|||-------|-|--|
Herodesenceldiblancue stimentsi lauestit	------|-|--|-|----|--⌫------|-|||-----|
Pi ladloretramist	--⌫--|-|--------|
Pil azque anz	---⌫-|--|--|
l en uol laiser no ·lconsentun tfellu n	|-|--|-----|-|-|---------⌫|-----⌫|
uidaperdonenta llad run	---|--------|-⌫|---⌫--|
Aucidau c idcrident	----|--⌫-⌫-|------|
Barra ba ́n t per donentla uid e	-----⌫--⌫--⌫|---⌫-----|-|---⌫|
Iesúm inalta c ruzclaufisdrent	-----|-|---|-⌫--|-----------|
Crucifigecruci f i gecrident	--------|-----⌫-⌫-⌫-|------|
Pilatt restu iten sems	----|-⌫-----⌫-|--⌫---|
Cuma ucidraieuuos trer eizodis	--|-⌫------|-|---⌫--|-⌫-|-|--|
Pilazf or sfaiznon	----|-⌫--⌫----|--|
es rumpre·l	-|-----|-|
farai etflagellar	----|-|--------|
poisseslaisar ailenannar	------|------⌫-||-|----|
En s ems cr identtuit	--⌫-⌫--|--⌫----|---|
lifellunten tro	-|------|--⌫--|
laisesui ure	-----|--⌫--|
Iesú mnones ami csl	-----⌫|--|-|---⌫-||
Pilazsasman s dunqueslaued quede	----|--|---⌫|------|----|--|-|
sa mor tposche·sne ger	-|---⌫|-----|-|--⌫--|
Ensemscri dent tuitli	-----|---⌫---|---|-|
Sobrenossiatoz lipeche z	----|--|--|--|-|-----⌫|
Pilazcuma udidtalsraisonsia	----|--|-⌫---|---|------|-|
lorg urpisnostre s enniordonc	--|-⌫----|-----|-⌫-----|---|
lorec ebent lif ellunforsl en conducent	-|---⌫----|-|-⌫----|---||-|--------|
De purpuredonc lo uest irenteten sa	-|------|---|-|----⌫----|-|-|-|
manunrauslim isd rent coronapr ende nt de	--|-|---|-|-⌫---⌫---|-----|--⌫----⌫-|-|
lasespinese t ensonca b fellunl asisdre nt	--|------|-⌫|-|--|--⌫|-----||-------⌫-|
Dedau ant luit uita genolzsi	-|---⌫--|--|-⌫--||-----|-|
sexcrebantent	|-----------|
life llondun c	-|--⌫---|---⌫|
losa ludentcu msenioretad	-|--⌫-----|--⌫|-----|-|-|
escarnempera dor	-----|------⌫--|
asezl ont es carnidduncliuestentsonuesti ment et	---||--|--⌫-----|---|-|------|--|-----⌫---|-|
elm edepssipressacruz	-|-⌫----|-|---|-|---|
au antozu a iapa sïun	--⌫-|--|-⌫-⌫||--⌫----|
Fe mnesl uiuandetrass eguanp loranlouanet gai m entan	--⌫---|-⌫-|--|-----|-⌫----|-⌫----|-|--|-|---⌫-⌫----|
Iesu ́sli piusredregarderab	----⌫-|-|---|----|-----|-|
lesfemne s presaparler	--|-----⌫|---||-----|
Audezf illies	----|-⌫-----|
Ierusalémp er menon uosestobs plorer ma is	---------|-⌫-|-|--|--|--|--|-----|--⌫-|
per uos etperuostresfilz p lorezassazq u	--|--|-|--|------|---|-⌫----|----|-⌫|
Cum elperuen ga	--|-|------⌫||
Golg ota dauan	----⌫--|----|
la portadela	-|----|-|-|
ciptat d unclorgu rpit s oe cha misaechisens	-----|-⌫--|--|--⌫---|-⌫-|---⌫----|--|---|
custuraefofaitice	-------|-|------|
Ilnolauserenderam ar maischi la ura	-|-||------|-----⌫-|---|--||-⌫--|
s ort an g itadn on futpartiz sos ue stimenzzof u	-⌫--|-|-⌫---|-⌫-|--|-----|--|--⌫------|-|-⌫|
granz sign a	----|----⌫|
En hunafet hunauertet	-|---|--|---|-----|
tuitsoifideldeuentesterlososreg naz nones	---|--|----|-----|----|-|--|---⌫--|--|-|
deuis encaritadtozesunizE	----|-|------|--|-|---||
delsf eluns	---|-⌫----|
q ueuuosdis anz lai d ei uen iroeu	-⌫|-|--|--|--|--|-⌫-|---⌫-||-|
laisaiquaril	-----|---|-|
l ofelmesclenabuinn os t ra esenior	-⌫|--|------|-|--|-⌫--⌫-⌫--⌫|-----|
lo t endenil	-|-⌫----|-|
leuadsus en lacruz dosasoslazpen den	----|--|-|-|---|--||--|--|---⌫--|
lasru nsentrece lsdos	-----⌫-|----|--⌫-|--|
Ilperescarn o fan tres tot	-|--|-----||--|----⌫--|
Cumill anmes sus	--|-||-|--|--|
c ruzg ranfan escarngran cridaizunensobre	-⌫--|-⌫--|--|-----|---|--------|------|
tozunsdels ladrunselescarnie rei	--|--|---|------|-|-------|--|
Respond etlaltre	-------⌫-||----|
Elmor a tort ren nonf orsfistmaisnos	-|--||---|--|--|-⌫------|---|--|
adrei t percolpasg ranzesmes o idiencest	|----⌫|--|-----|-⌫---|----|-⌫--|-|---|
Iesúm sos o lz tor nedsipïament	-----|--|-⌫-|---⌫--|-|-------|
luiappel l ed	--|-----⌫-⌫-|
membre s per tame r ce tc utuuendras	------⌫|--|-|--⌫-⌫--⌫|-⌫|-|------|
Res ponlibo ns qui n onmentidchien ep sa mort	---⌫--|-|--⌫-|--|-⌫-|-----|--|-|--⌫-|---|
semper fupius	-----|-|---|
Eut o prometoiencestd ia bme	-|||-----|-|-|---|-⌫|-⌫|-|
uenrasinparadisO	-----|-|------||
D eus uers rex	-⌫--|---|--|
Cri stcitaldonfai s p e r tamercitchiper	---⌫-|-|--|--|---⌫|-⌫-⌫|-|-----|--|--|
h unaconfe ssïon uideperdon esal la drun	-⌫--|-----⌫-----|---|------⌫-|-|--⌫---|
l audame tnoite d i	-⌫----|-⌫|---||-⌫|
de nosaiesueramercitt unos perdone	-|--|---|---|-----|-⌫|--|------|
ce lzpec azquenos	--⌫-|---⌫-|-||--|
uetdesttua p ie tad	------|--|-⌫--⌫--|
Iusquenonadeslom ei d i tre stotcestmund	-----|---|--|-|-⌫--⌫-⌫|---⌫---|---|---|
granznoiz cubrid fuilosolelzetfui laluna	----|---|-----|--|-|-----|-|--|-|---|
Deu·ffilzsu s pensusfure	--|-----|--⌫-⌫-----|---|
Adepsano nacu mperuing	-|---|--⌫-|--⌫|------|
dunces crided	---|--⌫-----|
Iesúsgra nz c riz	-----|---⌫-|-⌫--|
Hebra icefortmentlo di s	-----⌫--|-------|-|--⌫|
Hel íper que·mgulpist	---⌫-|--|--|-|------|
Unsd el sfellun sch ista	--|-⌫--⌫|------⌫|--⌫|--|
ikisusen lacruz liten	--|--|-|-|---|-|--|
Iesúsfortmenduncrecridet l espiritusdelui	-----|------|---|-------|-⌫|-------|-|--|
Iesula nmananettan duramentt erra	---||-⌫--||---|--|-------|-⌫---|
crolle t roch esf endient	------⌫|----⌫-|-⌫------|
chedent munt sepul crasanzobrirentmult	------|---|-----⌫--|---|-------|---|
Etmultcorps	-|---|----|
s anze nsun exut et	-⌫--|-⌫|--|---|-|
inter om nes suntuedudquii ntemplum	----|--⌫--|---|----|--|-⌫|------|
Dei cortine pendiusche	--|------|---|-----|
laterraperm eif end	-|----|--|-⌫-|-⌫--|
Iesu ́s u eracarn p risdre tcum ce la carnuidra mur irqual	----⌫-|-⌫--|---|-⌫------⌫|--|--⌫-|---|----|---⌫-|---|
agre do ln o ·lsab om uius	---|--⌫|-⌫|-|--|-|---|
Ela moltben sabremem brar de soacarn cum	--|---|--|--|-----⌫---|-|--|---|--|
Deus f u naz	---|-⌫|--|
Ia ·lued e selas imorir el resurdracho	-|-|---⌫-⌫|--|-⌫|----|-|-------|--|
Maisnemperro granzfuli dolschi	---|--|----|----|-|-|---|--|
trauer setperlo	------⌫--|--|-|
so ncor n ulzom mortalzn o·l pod penser san z	--⌫|--|-⌫--|-|------|-⌫|-|--|-----|---⌫|
Symëonz l o·ipercogded	-------|-⌫|-|--------|
Pilatmultapreiatlocor ps	----|---||-----|-|---⌫-|
Iesúqu elli dones agrand	----|-|-|-|----||----|
honor ell en port etens oscha m silsl	----|-||-|----⌫-|-|-⌫-|---⌫-⌫---||
Nicodemusde·ll	--------|-|--|
altr apart mult unguement	----⌫|---|---|--------|
h iap ortaten termirrae ta loénquasicent liur asa	-⌫|--⌫----|--⌫--|----|-⌫|-⌫----|----|---|----⌫-||
donedA grand h onor deces	----||----|-⌫---|-|--|
pimencl aromatizencuschement	-----||---------|---------|
Dunclopaus en elmonumento	---|-|----⌫-|-|-------||
cor psnon iag anc	---⌫-|--|--|--|
acel t emps	|--|-⌫---|
Las oamadre uirgofuetsen	-|-⌫-|----|----|-|-|--|
peched siportetlui	-----|-|-----|--|
So s munumentf uretoz n ousanzlui	--⌫|-------|-⌫--|--|-⌫--|--|--|
no ·iiagunque nu lzom	-|-|--|----|--⌫-|-|
Nonfudassazan cals fellunsdauant	--|--|----|--⌫|--|------|-----|
Pila ttrestuit	----⌫|-------|
Nostepraei am p er tamercet	--|-|-----⌫-|-⌫-|-|-----|
ga rde s imetnonsia	--⌫---⌫||--|--|--|
Q u ar elzo	-⌫-⌫-|-|-|
dis que resurdra etal terzdiu iuspareistraemblar	--|--|-------|-|-|---|-|-⌫--|--------|-----|
lauranlisoifidel atoz diran quer eu isquet	|----|-|--|----||--|----|--|-⌫--⌫-----|
Granzenauem	----|-|---|
aguderrorso renaurem pecemaiors	---|-----|-⌫|-|----|---|-----|
Armazuassalz du nc	----|------|--⌫-|
lorliuretlo monument lorcoman de t	--|-----|-|-------|--|-----⌫--⌫|
Ies ús qui	---⌫--|--|
Deu s es u ersqui	---⌫|-|-⌫--|--|
semper fu et	-----|-|-|
sempere r iafos lacharns del uiauci se	-----|-⌫|-|--|-|-----|-|-⌫-|----⌫-|
regnetpero cum anzsefisdret	-----|---|--|--|-|------|
duncasalit fort	---|-----|---|
Sata nánalouenquit pe rsoamort sil aue ncut	----⌫---|--|------|--⌫|--|---|-|||--⌫---|
que contra omne non	--|-----|---|--|
Etquieral iompri mers e·l	----|--|-⌫|-|---⌫---||-|
soienffantperso n pech etel ip etitet	--|------|--|--⌫|----⌫-||-⌫|-⌫-----|
eligrane tquiesteuentper mulzanz	|-|---|-⌫---|-------|--|---|--|
Quaranc no nfonulom	---|--|--⌫|-|--|-|
carnal sencelenfernnon	------⌫|-|--|-----|--|
fos ana zusqueu enguesqui	--|---⌫|----|-⌫-----|--|
senspechetperto z sol ses comunalei	---|-----|--|--⌫|---⌫--|-----|--|
Argent neaur n on i donat masqueso n	-----|-|--|-⌫-||----|--|--|--⌫|
sanget soac arndegce l	---|-|--|-⌫--||-|--⌫|
enfern tozlosliure ten	-----|--|--|-----⌫|-|
paradislo sarber get	------|--⌫|-----⌫--|
Et alterz diloma t tin clar cumli	-|-|---|-|-|--⌫-⌫--|---|--|-|
sol e ilz fo es c lairaztr es	---⌫-⌫--|-|--⌫-⌫-----|--⌫-|
femnes u an	-----|-⌫-|
almonument moltcars portauent	-|-------|---|---|--------|
un guemenzLa n geles	--⌫------||-⌫-⌫----|
Deudeceldess end sisaproismet	--|-|--|----⌫--|-||--------|
almonumen ttala	-|-------⌫|--||
regar dcumfocs ardenzetcuml a	-----⌫|--|---|-----|-|--|-⌫|
neusbl ancuest im enz	---|--⌫--|----⌫--⌫--|
que·luidr enlicu stodsisespauriren	--|-|----⌫-|-|--⌫---|-||---------|
depauo rquequ ais sesmorzat er rauengren	-|----⌫|--|--⌫---⌫--|---||-⌫--⌫-|------|
degr anpauorquesoblelz	-|--⌫-|----|--|---|--|
Susenlape ddre langelsistsi	--|-|-|--⌫---||----|---|-|
parletalas fe mn es di s	-----||--|--⌫--⌫-|--⌫|
Nosneientci perque	-||-----|-|--|--|
crement que	------|--|
Cristben req ueret	----|--|---⌫----|
Anazenesetnonesci t ot	---|-|-|-|--|-|-|-⌫-|
acom plitquunque uos	|---⌫---|---|--|--|
uenezuederlolocuoianto li	----|----|-|--|-----||-|
soscorpsiacdes aban zA	--|----|--|--|----⌫||
so s f idelsto tan nu ncazmasuos	--⌫|-⌫----|--⌫|--⌫--⌫---|--|--|
P etdrunno·i obl idezen	-⌫-----|-|-|---⌫---|-|
Gal ileaauantenuaiallo·l ue tranodit	---⌫---|----|-|--|---|-|--⌫---||--|
Ellesdequicumsunt tornades	----||---|--|---|-------|
Ie su ́slasasen prenco ntradas duncreconnossent loseniorsi	--⌫--⌫-|--||---⌫-|----⌫------|---|-----------|-|-----|-|
l adorentcum re d emptor	|------|--|--⌫-⌫-----|
Lo nostraeseindraeen	-|------|-------|-|
epsceldiuedu zfuraeueiade s cinc	--|--|-|----⌫|----|------⌫|---|
Prime ra·l uitsancta	-----⌫-|-|--|-----|
Maria e decui sep ·dïables	-----⌫|-|--|--|--------|
forsm isdret	-----⌫-----|
Empreslouidren cellesduaesd e l	-----|-|-----|-----|----|-⌫-⌫|
munumentcumseretornent	-------|--|-|--------|
Petdre s lo	------⌫|-|
uiteneps cel	--|-|--|--|
d iabluiparlet si·l	-⌫|-|--|-----|-|-|
co niaudit	--⌫------|
Enu erslouespraeenuersloserduncloreuidre ndoi	---⌫--|-|------|-----|-|--|---|-|-------⌫|--|
fidelcastel	----|-----|
Emaus ab elzentretabelz	----|-|--|-----|-|--|
ensemb l e si sopet	------⌫-⌫|-|----|
Iasadunent lisoifideliadicen	-||------|-|--|----|-|----|
tuitque uïus er etcumilmenauen tal raizo n	---|--|----|--⌫-|--|-|------|--|-----⌫|
Iesúsestet	-----|----|
enme·ttrestoz	-|-|--------|
Paxuo bi ssit disa tres tozeu soi	--|--⌫--⌫|--|--||----⌫--|-|--|
Iesúsquipassussoiuedez masmansuedezmospeds	-----|--|-----|--|----|--|---|----|--|---|
uedezmo lazquifui pla g es	----|-|--|-||--|---⌫-⌫-|
Fort men tsun	----⌫---⌫|--|
ilespauentati l li	-|---------|-⌫|-|
noncre dentqueaiac arn	--|---⌫---|--|--|-⌫--|
zopensent ilque	-|------|-|--|
lespiritus aparegues	-|-------|--------|
Melepeisoneq ui ma nget enuerit adlosconfirmetsa	--||-----|--⌫-|--⌫---|-|-----⌫-|--|--------|-|
pa ssïonpei sons tostaz	--⌫-----|---⌫---|-----|
elomelssignadeïtat	|-|---|----|------|
Alques u osai deitde	-----|-⌫-|-|---|-|
raizon que	-----|--|
Iesús fez pospassïontotno·luos posc	-----|--|--|-------|--|-|-|--|---|
eub en comptarno·l pod	-|-⌫-|------|-|-|--|
nu l omde madrenaz Aso sfide ls qua rant a	--⌫|-|-|----|--||--⌫|----⌫-|---⌫----⌫|
dispermulzsemblanzsem onstretuiu emsem bl	--|--|---|-------|-|-⌫------|--|-----⌫-|
abelz b ec emanie d deregnum	-|--|-⌫-||-----⌫|-|-----|
Deu semperpa rlet	--|-----|--⌫---|
esmu ndroa·ls allar to zbab tizar	-|--⌫-|--|--|----|--⌫|---⌫----|
