enlenorn ostresegnior	-||---|-⌫----|------|
coq ueteussetdeletre quide latin ne	-|-⌫-|---|--|-|----|--|-|----|-|
leseusteslire epercoqueperroma nzsera	-|----|-----||--|-|--|--|----⌫-|---|
ilmieuzg a rdez .	-|----|-⌫-⌫---||
orsioez quelibo nsarceues quese nreconte.	-|-|--|--|-|--⌫-|-------⌫---|-⌫|------||
turpinspar lagraicede deuarceuesquesderempzqui	------|--|-|-----|-|--|----------|-|----|--|
fu conpai nzle	-|------⌫-|-|
grantkarle	----|----|
enespagniee	-|-------||
mol t en tentisa	---⌫|--⌫-----||
sonseruize	--|------|
si salualeobran tlediend ai sla chapele e	-|----|-------⌫|-|---||--⌫|-|------||
amis uosme mandatesa uiane	---|--|-|-------||----|
nouelam entlaiougi e estoi e malaudesperla	-------⌫--|--|-|--⌫|-----⌫|-------|--|-|
forcene ure de mesplaiesqueieuo s escressisse c oment	-------⌫--|-|--|-----|--|-|--⌫|----------|-⌫----|
n i enq uieuma ne ire	-⌫|-|-⌫---|--⌫--⌫--|
nostr eem pereires litresre nom e z kar lem ainesdeliu raespagniee	-----⌫|--⌫-------|-|---|--⌫---⌫-⌫|---⌫---⌫----|-----⌫-|-------||
engualice delapoete	--------|-|-|----|
aussarrazinseies iuos	--|--------||-|-⌫|--|
enconte reim eruellies deses feisquil	-|-----⌫--|-⌫--------|-|--|---|-|-|
fitso reles sarrazins	--|--⌫-|--|--------|
edetotc oque ie	|-|--|-⌫|--|-|
aiot mesoilz u eupe r	-|-|--|---|-⌫-|--⌫|
catorzeanzque nosalames ensembleper	------|--|--|--|-----|-------|--|
espag nieeporengualiceauoe c lu i eauoec sesoz	-----⌫--||--|--------|----⌫|--⌫||----|--|-|
nen dotmie queiene	|-|--|--|--|-|-|
uosen dieassezqu ilfit per	--|-|--|----|-|-|--|--|
e spa gnie .	-⌫---⌫---||
escro niques quisontamonsegniorsaintdenis	-|---⌫-----|--|---||--|------|----|----|
de coqueieuosdirai.	-|-|--|-|--|----||
-orehi entendezsi le	|--|-|-------|-|-|
uosconterai.	--|-------||
missire sainziasquesliapostres	--|---|----|------|-|-------|
ihesucristalaore que	----|----||-|--|--|
nos tresiredeus ihesucriz enuoiases	---⌫--|---|---|----|---|-----|--|
apo s tres eses deciplespreech ierper	---⌫-⌫---||--|-------|------⌫--|--|
le mondesi sen	-|----|-||-|
alaen en galiceeico fulipr emier squiles	--|-|--⌫-----||--|-|-|--⌫-----⌫|--|--|
par oles dambr edeuesa	---⌫---|-----⌫---||-|
foihi prechia .	--|-|------||
alaen ierusalem	--|-|--------|
ela i si fuo cis	|--⌫|-|-|-⌫--|
deherodelo roi	-|-----|-|--|
e soideci p le sipri drentlecors de	|--|----⌫-⌫-|-|---⌫----|-|---|-|
luisilenportar entpermertresqu en	--|-||--------⌫--|--|--|-----|-|
e ngual i ce.	-⌫-----⌫-⌫-||
el a predi ca cion	|-⌫|-----⌫--⌫---|
ela foiiesu cristqu	|-|--|---|----|-|
ilau oie nt comencé ilo ecsi	-|--⌫---⌫-|-------|---⌫-|-|
lafer maren tme sli chaiti d engu ali ce pe r	|----⌫-----⌫|--⌫|-|-----||----⌫---⌫-|--⌫|
lorpechieep er lormal eauenturesireneiar ent	--|-----||-⌫-|--|---⌫|-------|-|-------⌫--|
pu is nostre	--⌫-|-----|
segnior efurent enicele error tresqueonten s	------||-----|-|----|----|------|-|---⌫|
karlemaine.	---------||
icestbonseurezkarlemainessi conquist	----|--------|----------|-|-------|
molt en sont ens emolt	---|-|--|-⌫--||---|
otpoin esetrauauscaril conqu ist	-|----⌫-||------|--|-|-----⌫--|
anglaterre enorm andie eba iueireesais sognie	---------||----⌫----||--⌫-----||----⌫-----|
germanieeloereg neelomb ardie e	-------||------⌫-||----⌫----||
f r ise eoutres regnesassezecit ezmolt de	-⌫-⌫--||-----|-----|----||---⌫-|---|-|
l une mertres quen loutre.	|--|--|----⌫-|-||----||
etotco fitil perdeu	|--|-|--|-|--|--|
nefuonqu esuencuz .	-|-|----⌫-|-----||
etot le conquest	|--|-|-------|
quilfittotfua	-|-|--|--|-||
lacrestiant e	-|---------⌫|
etotesles t eresdeliuradecea us qui	|----|--|-⌫---|------|-|---⌫-|--|
en deucroir ene uoloien t.	-|--|-----⌫|-|-------⌫||
il otasseztr auall iépergra nt suore per	-|-|----|--⌫-----⌫--|--|---⌫-|---||--|
l e grieu traua ils idist quilse repousero it	-⌫|----|-----⌫-|-⌫|---|-|-|-|---------⌫-|
neplusbataillie ne feroit	-|---|--------|-|-----|
sicumkar lessegi soit en sonlitsi	-|--|---⌫--|-|--⌫---|-|--|--|-|
uiten dormant	--|-|------|
oncel uoietoteestelee simou oitc e l e	-|--|---|---|------|-|---⌫--|-⌫-⌫-⌫|
lame rde friseesi senalot	-|--⌫|-|----||-||-|---|
peran tretiocheterre	--|--⌫-------------|
enlombardiee puis	-|--------||---|
perm ifrance epermi	----⌫|-----||----|
peistoep ermiesp agniet resquen en gualic etotdroitlai	-----||-⌫---|---⌫----|-⌫----|-|--⌫------⌫|--|----|--|
o u lic orsmonse g nior saintiaquees teit.	-⌫|-|-⌫--|--|--⌫-⌫---|----|----|--⌫---||
me sen cel tens lomnel	--⌫|-|--|---|--|-||
icone iss oitmie.	|----⌫---⌫--|--||
quantlibonsrois lot ueuee sgard éper	----|-|---|---||-|--||-⌫-----⌫-|--|
m aintesnu izsicomen ca a porpens er asoi	-⌫-----|--⌫-|-|-----⌫-||-------⌫-||--|
mo imequec eleuision s sign efiot.	--⌫--|--|-⌫--|------⌫|----⌫----||
a u n enu it hipensot li roismoltdurament	|-⌫-⌫|--⌫-|-|-----|-|---|---|-------|
lui uns beaushomto zblanx siq ue	--|--|----|--|--⌫|----|-|-⌫-|
n usnepoiroitdiresa	-⌫-|-|------|---|-|
si sap aruta lui elidist	-||--⌫---||--||-|---|
quefei stufilzkar l e	--|---⌫|-|---|---⌫-⌫|
liresp ont quiestu si re	-|----⌫--|--|-|-|--⌫-|
-i esuifetiliaquesli a po stresiesucrist	|-⌫|--|--|-|-----|-|-⌫--⌫----|---|----|
lifilzzebedeeli freire s iohanleu a ng eliste .	-|---|------|-|------⌫|----||--⌫-⌫--⌫-----||
ies ui cil otcui nos tresires	-|-⌫-|--|-|--|---⌫--|----|
degniaparlerper lasoe graicedela	-----|-----|--|-|--|-----|-|-|
mer de n gualicei esui	--||-⌫-⌫------|-⌫|--|
c ilcuicorsrepouse	-⌫-|--|---|------|
en engalicequelisarrazintienent.	-|-------|--|-|-------|------||
mes ni suimi econeuz .	--|||--|--⌫|-----||
cui her odesocistd un	--|---⌫---|----||-|
merueilmoltquetu celeterren	------|---|--|-|---|----||
asdeliu reedesmain z	-|-----⌫--|--|----⌫|
aussarrazinspercoquetantes terres et	--|--------|--|-|--|-----|-----|-|
tan tesregionsas conquisesalliors	---⌫--|------|-|--------|------|
esosmises ata poete.	|-------||-|----||
perlaquieuc hosete fois	--|-|----|-⌫---|-|---|
asauercartotissicumnostre siresta	|----|--|--|---|--|-----|----|||
feitleplusaut	---|-|---|--|
roiquis oitenter retot outresi	--|--|-⌫--|-|---⌫-|--|------|
tailesleupe rdeliurerla	||-|----|--⌫|-------|-|
terred espa g niedesmai nz	----||----⌫-⌫--|--|---⌫-|
aus mauueiz sarrazinsquihimeine nte pe r aparellierla	--|------|--------|--|-|-----⌫-||--⌫|---------|-|
uoieaus c restianzquime uendrontrequerre	---|--|-⌫-------|--|-|-------|-------|
i l enpo chi e ntconquerrelaperdurableboneaurete .	-⌫|-|--⌫---⌫-⌫-|--------|-|---------|---------||
lasenblance dela	-|--------|-|-|
uoieesteleequetu ue ison	---|------|--|-|--⌫-|-|
celcesenefi e q uetu	--|-|------⌫|-⌫-|-|
obg ran tgentte niras enen gualice	-|-⌫---⌫|---||-⌫|---|-|--⌫------|
sorel es sa r razinse quet u cic onbatras o tla	---|-⌫-|--⌫-⌫-----||--|-⌫|-|-⌫-------|-⌫|-|
mauuezegent e	------|---||
que tu ueira sou	--|-|-----⌫|-|
m is coresrepouse eque tu	-⌫-|----|------||--|-|
lau o ieeapr estoituitli	-|-⌫-⌫-||---⌫-|--|---|-|
poble d elun e	----|-⌫||--⌫|
me rtres quenlout reiront	--⌫|----⌫-|-||---⌫-|----|
laienper el inageeiloeccri eront mercidelorspec hiez	--|-|---⌫--⌫----||----|---⌫----|----|-|---|---⌫---|
esireconte rontles loengesnostre	|-|-------⌫---|--|------|-----|
segnioreles uertuzquilferaetot issi	------||--|-----|-|-|---||--|---|
si irontde cesttenstresquen l a fin	-|----|-|---|---|-----|-|-⌫|--|
-be au samisor e n	|--⌫--⌫|---|-|-⌫|
uaiouplu s tos tquetupoirascarie	--|-|---⌫|---⌫|--|-|-----|--|-|
seraitis aid eresen toteschose s.	----|--|---⌫---|-|----|-----⌫||
esach ie ́s	|----⌫--⌫-|
q ueperc es	-⌫-|--|-⌫-|
tra uausserascoro nezen l a ioie perdu rabledela	---⌫---|----|----⌫--|-|-⌫|---|-----⌫----|-|-|
coronequ edeus ta aparellié.	-----|--⌫|---|||---------||
e t isnonsserarenomeztresqu auderrei raini orn	|-⌫-|---|---|------|-----|-|------⌫---|-⌫--|
dau siegle	--|-----|
eni ceste m aneire mi ssiresainziaquessi	-|-⌫----|-⌫-----|--⌫|---|----|-----|-|
apa r ut akarlepertrois fo iz.	---⌫-⌫-||----|--|----|--⌫-||
li empereiresenfu moltcuriosper	-|---------|-|-|---|-----|--|
lam onestament	|--⌫---------|
eperco qu eli apost res li	|--|-|--⌫|-|-----⌫--|-|
auoi t dit	----⌫|--|
sif u molt seurs.	-|-⌫|---|----||
simandamoltgra nt ost	-|----|---|---⌫-|--|
epui s si lordistqu	|---⌫|-|--|---|-|
iluolei taler en esp agniesore	-|-----⌫|---|-|---⌫----|---|
les sarrazinseilsi fit .	--|--------||-|-|--||
la pr emeirecit e zquil a ss istsi	-|--⌫-----|---⌫-⌫|-|-|-⌫--⌫--|-|
fupanpelon eesist	-|--------⌫||---|
hitro is moisni onquesprendrene	-|---⌫-|---|-|-----|------|-|
lapoecperc o queleeste it closede molt	-|---|--|-⌫|-|--|----⌫-|----|-|---|
bon smur s .	---⌫|---⌫||
lors fitkarlessaproieir e anostre se gniorea	---|--|-----|-|-------⌫||-----|--⌫----|||
saintiaqu eesi dis t sire	----|----⌫||-|---⌫|---|
deusihesucris per la cui	---|----|---|--|-|--|
foieperlacu iamor	--||--|-|--⌫|---|
ia i enprisce ste uoie donemoique	|-⌫|-----|--⌫--|---|---|--|--|
ie puisseprendr e cetec ite	-|-----|------⌫|---|-⌫--|
aloengeealenor	|-----||||---|
de tonnom.	-|--|--||
-eapre sre fitsaproieirea	||----⌫|--⌫--|-|-------||
saint iasqueo tubon seurez	----|-----||-|---⌫-----|
sainziaques s i coestueritez quetu	----|-----|-⌫|-|--|------|--|-|
te a pareussesa moioutroiemoiqueie la	-|-⌫--------||--|------|--|--|-|-|
-lorsperla uertudedeue	|---|--|-|----|-|--||
perlaproieire desaintiaque li mur	--|-|-------|-|----|----|-|--|
s ont depecié efondupar	-⌫--|-------||----|--|
eausmoimes .	---|-----||
lirois entra enz la cite.	-|---|----|--|-|---||
elisarraz inq uiuogrentestrebap tizé	|-|------⌫-|-⌫-|------|----|---⌫----|
ne morirentmie .	-|-------|--||
ainzfure ntcre s tie n.	---|----⌫-|---⌫-⌫---⌫||
bap tesmerefusarentsi fu rent ocis.	---⌫----|---------|-|--⌫---|---||
quantcooi rentlioutresarrazinsi	----|-|--⌫---|-|----|-------|-|
ser e ndiren ta	-|-⌫-⌫------⌫||
ka rleelors uilese	--⌫--||---|----||
lorscitezel ienuoiarenttre u e	---|----||-⌫|---------|---⌫||
terresifuissiso smiseakarle.	----|-|-|---|--⌫----||----||
lagenz sarraz ine se merauilloientmolt	-|---|------⌫--|-|------------|---|
dela gentd efranceque sibela mente stoent	-|-|---|-⌫|-----|--|-|----⌫---|-⌫-----|
atornéesi bien armée per c oquil	------||-|---|----||--|-⌫|-|-|
auoientsibele formee siestoentfort	------|-|---|----||-|------|---|
e deb eausemblant.	|-|-⌫--|-------||
s i gitoi entlis arrazinl orsarmes e	-⌫|-----⌫--|-|-⌫------|-⌫--|----||
lesreceuoienten pais.	--|---------|-|---||
karlesse nalau eoirl o sep ocre o uli cors	-----||-⌫|--|-⌫---|-⌫|---⌫---|-⌫|-|---|
deiaque gi soit.	-|----|--⌫---||
puissisen ala t r esquaupeiro neficha	---|-||-|--|-⌫-⌫---|-|-----⌫||----|
enla mersalance erendi	-|-|--|-|----||----|
g ra ices adeu e asaint iaque	-⌫--⌫---||--|||----|----|
deco qu il lau oientconduit tres que	-|-|-|-||--⌫----|------|----⌫--|
iloecca roltrenepooientilaler .	----|--⌫|----|-|------|-|---||
lesgaliciensqu i apresla predication	--|--------|--⌫|----|-|----------|
de saintiaque	-|----|----|
ede se s decip lesse	|-|--⌫|-----⌫--|-|
departirentdelafoide s aintbapt esme ce z	----------|-|-|--|-|-⌫---|----⌫---|--⌫|
fitregenererperlesmai ns	--|--------|--|--|---⌫-|
turpin larceuesque .	-----||---------||
c ofure ntt uitcil	-⌫|----⌫-|-⌫--|--|
qu iseconuertirentdelor bongrequi	--⌫|-|-----------|-|--|--|--|--|
nauoient miees tébaptiz éeci lqui	|------|--|--⌫--|------⌫-||--⌫|--|
n e seuo grentconuertiralafoide cri st	-⌫|-|--⌫----|--------||-|--|-|---⌫-|
oilles fitocire o	|-|--|--|----||
ilremedre ntenchaitiue isons	-|-------⌫-|-|--------⌫----|
d iloec si s enalapertote	|----|-||-|--|--|---|
espagniedelu nem er tres que nloutre .	-------|-||-⌫-|-⌫-|----⌫-|-⌫||----||
les uileseles citetz q u	--|----||--|-----|-⌫|
ilconquist lorze n engalicesi suntissi apelees	-|-------|---|-⌫|-------|-|---|---|------|
enla t erre delpob lequienceltens	-|-|-⌫---|--|---⌫-|--|-|--|---|
esteitmoltpetite	-----|---|-----|
enespagniecoestcitez aute e beleelar gue	-|-------|-|--|----|---||---||---⌫--|
[IKéqu i estdit eca i t eu se	--|-|--⌫|--|---⌫|--⌫-⌫-⌫--⌫-|
c estenualuert	|--|-|------|
[IKéen l aqu elegi st unsbons	--|---|-⌫|--⌫--|--⌫-|--|---|
confessorsd e crist	---------|-⌫|----|
quifusergians demonsegnior	--|-|-------|-|--|------|
sain tiaque .	----⌫|----||
se pu lcresihiaunoliui erqui per	--⌫--⌫---|-|-||-|-----⌫-|--|--|
de d e ufl o ristcheun	-|-⌫-⌫|--⌫-⌫---|----|
anasafestee porte fruitlauellie	-||-|----||----|----|-|-----|
de la feste	-|-|----|
ausuespressi hisontlesfollies	--|------|-|-|---|--|------|
eles florselendemain li f ruiztoz	|--|----|||-------|-|-⌫---|--|
[IK( ...)éenlaquele	--|-⌫-----|-|-|----|
sontli fort cheualier qui conbatirent e	---|-|---|--------|--|----------||
sunt apeléarab iteesunt	---|-----|----⌫--||---|
dit[IK(...)é.	--|--|------||
[IK(...)élai ou licors dela mer	--|------|--|-|-|---|-|-|--|
est destrois.	--|-------||
detotesces testerresfukarlem ainessires	-|----|---⌫--|-----|-|------⌫----|----|
ed escitezqueie uos	|-⌫-|----|--|-|--|
ainomm ees siprist deteus	-|----⌫--|-|----|-|---|
bata llieeteusiot	----⌫---||---||-|
per gran t forcee permoltgranten geing for squant	--|----⌫|----||--|---|----|--⌫----|---⌫|----|
biternequi est en ualuert .	------|--|--|-|------||
c e lenepoecilprendretresquau derreirain.	-⌫-⌫-|-|---|-|------|-----|-|---------||
au dereirai nuinc ali	-|--------⌫|---||-|
es i l asist.	|-⌫||----||
efuassegei é	|-|-------⌫-|
quatremois .	-----|---||
adoncfits a	----|--|-⌫|
proieirean ostre segnoreasaintiaque	-------||-⌫----|-----|||----|----|
elorzch airentli mur .	|---|--⌫-----|-|--||
ee stdeserte iusquau ior nd u i .	|-⌫-|------|----|-|---⌫||-⌫||
hiesteitmolt ners ouilau eit	-|-----|---|---|-|-|--⌫--|
poiss onsassez -me stuit s ontner.	-----⌫--|----||--⌫|---|-⌫--|--||
iot de cezcitezqueieuo sai arreire	|-|-|--|----|--|-|--⌫|-|------|
nomees queli	-----|--|-|
roidef rance q uifurentdeuantk arle	--|-|-⌫----|-⌫-|-----|-----|-⌫---|
e liempereorde	|-|-------|-|
co nquistrentqui a presrefurent sa rrazi ne paian t resquea l	--⌫---------|--|-⌫---|-------|--⌫-----⌫||----|-⌫-----|||
a ue na mentka rle eapr es samort	-⌫--⌫--⌫---|--⌫--||---⌫-|-|---|
maint ro iemain tprincealer ent	----|--⌫||----⌫|-----|----⌫--|
enespagnieso re	-|-------|--⌫-|
sarrazi ns esi	-------⌫-||-|
co nbatirent cl odoue usquif u lipremiers	--⌫--------|--⌫-----⌫-|--|-⌫|-|-------|
francecrestiens	-----|--------|
clotairesda goberspep ins	--------|--⌫-----|---⌫--|
karlesmarteuscistco nquistren tpa rtie d	-----|------|---|--⌫---------⌫|--⌫---||
espagni ee par tieen	-------⌫||---⌫--|-|
lai ssarentaconquerre.	---⌫------||--------||
m esicestkarlemaineslac onqui st toteen sonte ns	-⌫-|----|----------|-|-⌫-----⌫-|---|-|--|--⌫-|
lesc itez qu ilconquistouilotmoltgranz	--|-⌫---|-|-|-------|-|-|-|---|----|
trauausepuissilesmaudi stepercosont	------||---|-|--|-----⌫-||--|-|---|
el esencor res anz habiteor s.	--⌫-|-----⌫-|-⌫--|--------⌫||
lesydreselessimulacres qu	--|----||--|---------|-|
lor senespagnietotdestruis sitforsqua ntsolament	---⌫|-|-------|--|--------⌫--|---|---⌫-|-------|
uneydrequi esten laterrealandelufquiest	--|---|--|--|-|-|----|--------|--|--|
si estapelez	-|--|-----|
li pro prament ouest .	-|---⌫------|-|--||
sidit outretant e nlenguesar razines che cu m	-|--|--------|-⌫|-----|---⌫-------⌫--|--⌫|
feitdeusenfranceis	---|---|-|-------|
e s idient lisarrazin quema homez queilaorent	|-⌫|----|-|-------|--|--⌫----|--|-|-----|
fitce ste en sonno mdentramentresqu	--|--⌫--|-|--|--⌫||-------------|
elalegion daus dea bles enclot	|-|-----|---|---⌫---|-----|
en cele idreperenchantament.	-|---|---|--|-----------||
e s ili percoqu	|-⌫|-|--|-|-|
il uol oi tqueceleymag iene eustsig rant	-|---⌫--⌫|--|---|----⌫-|-|---|-|-⌫---|
for cequenusne lapoustde pecoier .	---⌫-|--|--|-|-|----|--⌫------||
maintesfezauint quequ antouc u n s	------|--|----|--|--⌫--|---⌫-⌫-⌫|
cretianz sapro chio t de	-------||----⌫----⌫|-|
celeymag iequ i lperillot	---|----⌫-|-|-⌫|-------|
enieplepas	---------|
e q uantoucunssa rrazinss enaproch iotdecelmaomet	|-⌫---|-----|--⌫------||-|------⌫--|-|--|-----|
o per luidesproie ro	|--|--|--------⌫||
aorer to zaliegresse n	----|--⌫|-------||-⌫|
part isseit.	----⌫-----||
cele ym agie s i	---|--⌫---|-⌫|
esteit sienchante e que sio u cuns oiseaus	-----|-|--------⌫|--|-|-⌫-⌫---|------|
sea sse istdesore perauentureerrau ma n tmurei t.	-|-⌫---⌫--|-----|--|-------|-----⌫--⌫-⌫|-----⌫||
enla riue delamer	-|-|---|-|-|--|
siaueitunepierede ancianeou rede sarraz ins	-|----|--|----|-|------|--⌫-|-|------⌫--|
faiteepo lie mo lt	----||--⌫--|--⌫-|
sobtiume nt sore l aterr e assisetotecairee	--------⌫-|---|-⌫|----⌫|-----|---|-----|
per desozemoltl eeesiest droit econtre	--|----||---|-⌫-||-|--|-----⌫|-----|
amont totissi	----|--|---|
o utecumunsoiseaussoleituolere n	-⌫--|--|--|------|-----|----|-⌫|
edeseu scele	|-----⌫|---|
piere syesteita ssi secel e ymagie d	----|||-----|-⌫---⌫-|---⌫|-----||
ormusique molttres b iene si	-|---|--|---|---|-⌫--||-|
aueitsemblancedomee estei t	----|--------||--||-----⌫|
droi tesorese s piez	----⌫-|---|--⌫|---|
eteneit safac euers	|-----|-|---⌫|---|
eensamaindestretenei tlima gieuneclef	|-|-|---|-----|-----⌫||---⌫--|--|---|
que nu s neli	--|--⌫|-|-|
p oettol ir.	-⌫--|---⌫-||
etsidi soie nt	-|-|--⌫----⌫-|
lisarrazin	-|-------|
qu equant cele	--⌫|----|---|
c hairoitdelamainluesque un sroi snaitreten	-⌫------|-|-|---|------|--⌫|---⌫|------|-|
francequi toteespagniepend rei t	-----|--|---|-------|----⌫---⌫|
c o nue rti reitatenir	-⌫-⌫---⌫---⌫---||----|
lacrestiante mes co	-|---------|--|-|
seroitau der re irai n tens.	-----|-|---⌫--⌫----⌫|---||
coauoienti lsortiedistrentq uemaintenantquil ueiroen t	-|------|-⌫|----||-------|-⌫-|-----------|-|-------⌫|
laclefc heuequeserebouci sson t .	-|---|-⌫---|--|-|-------⌫----⌫||
esi auintautensk arlemaine	|-|----|-|---|-⌫--------|
de l orque	-||-|--|
liroieliprince	-|--||-|-----|
despa gniedona rentakarlem aine	|----⌫---|----⌫---||------⌫---|
si fundale mostierdesaintiaqu eelo	-|----|-|------|-|----|----⌫||-|
cruitpert roisanzquil	----|--|-⌫---|--|-|-|
demoraenic eles	-----|-|--⌫---|
ehimistarceu esque	|-|---|-----⌫----|
ec henoi n es seloncla reulesaintysydoi requi	|-⌫-----⌫-⌫-|-----|-|----|----|------⌫-|--|
fueue sques econfessorsmoltauz.	-|---⌫----||---------|---|--||
laornamoltbien d eli ures ed e	|----|---|---|-⌫|--⌫---||-⌫|
pailes edebones escha ilesd outres	-----||-|----|-----⌫---||-----|
ilauoi entmo l t	-|----⌫--|--⌫-⌫|
or emolta r gent .	-||---|-⌫-⌫---||
si separ ti karles	-|-|---⌫-|-----|
despag nieepuissi	|-----⌫--||---|-|
fitmaintesoutresy glis es	--|------|-----|-⌫----⌫-|
carilfitl iglisemadame	--|-|--||-----|-|---|
sanctemar ied aislachapeleeune outreyglise	-----|---⌫-||--|-|------||--|----|-----|
demon segni or saintiaqueenmoimelauile	-|--|-----⌫-|----|----|-|----|-|---|
eliglise demonsegniorsaint iaque a	||-----|-|--|------|----|----||
eu ne out reatolose	|-⌫-|---⌫-||-----|
e une outre engascogniee nt reun e citequ i	|--|----|-|--------|-⌫--⌫-|--⌫|---|--⌫|
anomaxe saintio hande	|--|-||----|--⌫--|-|
sorgesso rlechaminsaint	-----|--⌫|-|-----|----|
elig lise sa intiaquede	||--⌫---|--⌫--|----|-|
parisquiestentreseinee	----|--|--|----|----||
m o n tmartre.	-⌫-⌫-⌫------||
yglisese abeies fitas sezoutrespe rsater req ui	------||-----|--|--⌫--|-----|--⌫|-|---⌫-|-⌫-|
nesuntmieen	-|---|--|-|
cestliure amen tane r.	---|----||---⌫----⌫||
apre sco quekarl emaines s	----⌫|-|--|----⌫------||
enfuuenuzenf ra ncesiui nc	-|-|----|-|-⌫--⌫--|-|--⌫-|
uns r oisdaffriquequi auoitnoma iguolanz	--|-⌫--||-------|--|----|--|-⌫-------|
enespag nie	-|-----⌫--|
si amenamolt grantos t	-|----|---|----|--⌫|
e pr isttot elaterre elom la lirendi	|--⌫--|---⌫|-|----||--|-|-|----|
es ihi ocisttant	|-⌫|-|----|---|
d ecrestianzqu il	-⌫|--------|-|-|
nenfunusnom b r es .	|-|-|--|---⌫-⌫-⌫-||
epuissimist	|---|-|---|
toz l escrestianzforsdes chas teused esc itez	--|-⌫-|--------|---|--|----⌫---||-⌫-|-⌫---|
qu ekar lemaineshiauoitlaissezp orga r der.	--⌫|---⌫-------|-|----|------|-⌫-|--⌫-⌫--||
quantl esotkarle ssiassemb la ses oze	----|-⌫|--|-----⌫|-|------⌫-|--|-||
ret ornaenespagnie	---⌫---|-|-------|
esim ena auo ec se isig rantgentquil	|-|-⌫--|---⌫-|--⌫|-|-⌫---|---|-|-|
fu nu snomb res.	-|--⌫|----⌫--||
ac este u enue	|-⌫---|-⌫---|
