L AFI LLE	--⌫|--⌫--|
quantil lotdes a maisni esimont e-	----|-||-|-|-⌫|------⌫|-|----⌫-|
p liali quens	-⌫--|-|----|
dePontiue nmo ltgrant bien. Au repair	-|-----|-⌫|--⌫-|----|----|-|-----|
dun tourn o iementapiela	|-|-----⌫-⌫-----|-----|
liq uens monsegneu r	-|-⌫---|---------⌫|
----- --------------------------	-----⌫-------------------------|
uersionXIII(2)p002	----------|--|---|
non quiierthoi rsd elac ont rée	--|--|---|---⌫-|-⌫|-|-⌫---⌫---|
de Saint Polmaispoures	-|----|--|---|-----|
e stoittant co mse s	-⌫----|---|--⌫|--⌫|
oncl esuescui. Ilestoit cheuali ers	----⌫-|------|-|-----|-------⌫--|
etpreus asarmeset uailla nsetb ia u s	-|----|-|----|-|------⌫-|-|-⌫--⌫-⌫|
etm out estoitho nou-	-|-⌫--|-----|--⌫---|
ré s etamés	---⌫|-|----|
deb oines gens car (fol.	-|-⌫----|---|--|----|
315 e)ilestoith aus	--|-|-|-----|-⌫--|
hom et g entius.Li quens de Pon tiu de	--|-|-⌫------|-|----|-|---⌫--|-|
cuiliconte sco m-	--|-|-----⌫|--⌫-|
auoit femmemoutbonedameetde celedame	----|----|---|---|---|-|-|---|---|
o t unefille moutbie leetmout uailla nt.Elecru t	-⌫|--|----|---|---⌫-|-|---|------⌫--|--|---⌫|
biautéetmont eplia engrantbienetotbien.xui.	------|-|----⌫----|-|----|---|-|-|---|----|
maisdeden s le	---|-----⌫|-|
tierça nhkele fune esamere	-----|-⌫|||--|-|--⌫|-|---|
d ontelefumout	-⌫--|--|-|---|
dolanteietmou t	------||-|---⌫|
desto urbee. Liquens	-----⌫-----|-|----|
s es pere se mariamout tost apr èset prist	-⌫-|---|-|----|---|---|---⌫--|-|----|
haut ef emme	----⌫|-⌫---|
gentil.En poi	------|-|--|
liquen sot decele dameun	-|----⌫|-|-|---|---|-|
ama.Cilfius crute ngrant ualoret e ngr ant	---|--|---|---|-⌫|----|----|-|-⌫|--⌫--|
bi a uté etmontepliaengrantbie n.	--⌫-⌫---|-|--------|-|----|---⌫-|
q uensde Pon thiu kisiestoit	-⌫---|-|---⌫---|-|-|-----|
preudom uitmon-	------|--|---|
s eigneurTiebaut de D omartsi l apielaet	-⌫------|------|-|-⌫----|-||-----|-|
leret intde sa	-|---⌫--|-|-|
maisnie et q uantill	------|-|-⌫---|-||
ot desamaisniesienfu moutli és	-|-|-|------|-|-|-|---|--⌫--|
carliquensmontepliae n	--|-|----|--------|-⌫|
grantbienetengra nt	----|---|-|-|---⌫-|
Aur epairi erd u ntournoiem entapie lal iquens	-|-⌫------⌫-||-⌫|---------⌫--|----⌫-|-⌫|----|
uersionXIIIp0 03	-------------⌫-|
sili demand a T.	-|-|------⌫|-|
qelioeldema	--|---|-|-|
terea meriésuous	---|-⌫------|---|
T.iesui.i.pouresbacele rs	-|-|--|--|-----|------⌫-|
maisdetouslesioiausde	---|-|---|--|-----|-|
uostreterr e i e n amer oie	-----|----⌫|-⌫||----⌫--|
t antnulodamoise lle	-⌫--|--||-------⌫--|
uostr efille.	-----⌫|-----|
Liqensfulié se t	-|---|-|----⌫|-⌫|
dist T. i ole uousdonrai seleuous	---|-|-⌫|-|---|-----||--|---|
Liqensuintlau lidamoiselle	-|---|---|-||-|---------|
estoit etdistF il leuous	-----|-|---|-⌫--⌫-|---|
est es marieese n uous neremaint . —Sirefait	---⌫-|-----||-⌫|---|-|-------⌫||---|---|
a cui—Fille	|--||----|
faitil enmen	---|-|-|--|
boncheualierT.	--|--------|-|
deDomart.—Asirefaitelleseuostr e	-|------|||---|---|---|-|-----⌫|
estoitroiaumes et	-----|-------|-|
a mo ideüst tous uenir si me	|--⌫|-----|---|----|-|-|
t e nro ie	-⌫-⌫---⌫-|
ioamoltbien marieeenlui—Fille fait	-||---|---|-----|-|--||----|---|
soituostre s	---|------⌫|
3. —Limaria ges	-||-|-----⌫--|
fufai s.Li quensdePontiu	-|---⌫-|-|----|-|-----|
deSaintPolifurent	-|----|--||-----|
etmaintaut re	-|----|---⌫-|
preudome agrant	-------||----|
-------------------------------	------------------------------|
uersionX III(2) p0 03	------|-⌫--|--|--⌫-|
gnor T ieba utselidemandaet	---|-⌫----⌫-|-|-|------|-|
dis tTiebautlequel	---⌫|------|-----|
ioieldematiere ame rie ́ s uous	----|-|-|----|---⌫---⌫-⌫|---|
lemiex—Sire fait	-|---||---|---|
mesireTie baus io u sui unsp oureshommaisse	-----|---⌫---|--⌫|--|--|-⌫----|--|---|-|
touslesioia u sde uostre tier eiou	---|--|----⌫-⌫|-|-----|----⌫|--|
n ameroie nu l	|------|--⌫|
tantc ommemadam oisieleuostrefille.	---|-⌫---|-----⌫------|-----|-----|
Li quens quant il	-|----|----|-|
loÿsi enfumoutlie ́s et	|--|-|-|-|---|---⌫-|-|
mo ut ioians en	--⌫-|-----|-|
soncueredist	--|---||---|
Tiebautieleuousdoins se eleleueut.—	------|-|-|---|----|-|--|-|----||
fait il moutg rans(f olio315f)mier chiset	---|-|---|-⌫---|--⌫---|--|-|----⌫---|-|
D ius leuous	-⌫--|-|---|
mireLiqu ens uintasafillee tli dist	---|-|--⌫--|---||-|----|-⌫|-|---|
Bie l eiou	---⌫-⌫|--|
uousaimar iee seenuousnerema i nt.—Sire	---|-|---⌫--|-|-|---|-|----⌫-⌫--||---|
faitelle a	---|---||
cui—E n nonDiuf ait il am out	--||-⌫|--|--|-⌫--|-||-⌫--|
preudomeki	-------|-|
moutuautçou esta.i . mienc heualie r ki a	---|---|---|--||--⌫|---|-⌫-------⌫|-||
nonThiebaus	--|-------|
d eDoumart.—Ha sire	-⌫|-------||-|---|
seuostr ec on téses toit	-|-----⌫|-⌫--⌫---|--⌫---|
roiame setamoideu ̈st	------⌫|-||--|---⌫--|
tousuenirsimetenroieiou	---|----|-|-|------|--|
bienma r iee	---|--⌫-⌫--|
enlui—Filiefaitli quens	-|--||----|---|-|----|
beneois soit	------|---|
uost recors etTernekeuousfustes	----⌫-|---|-|----|-|---|-----|
3.— Limariage sfu	-||-|-------⌫|-|
fais.Li quensdePontiuetl iquens	----|-|----|-|-----|-|-⌫|----|
uer sionX IIIp004	---⌫-----⌫------|
ioiefurentasamble ́.Eta	---|-----|-------⌫-|-||
(folio205b) grantdédui t ues-	-----|--|-|----|------⌫|---|
qui re ntbien .u . ansensam blemaisneplut a Diu	---⌫--⌫-|---|--⌫|--|-----⌫--|---|-|---||--|
eü sentn uloirdontmolt	---⌫---|-⌫-|--|---|---|
pes aa cascun.Unenu itiut	---⌫||------|--|--⌫-|--|
mes i reT.en	---⌫-⌫-|-|-|
sen litet pensa Diudont u ientçoque	--|--|-|----|--|---|-⌫---|--|--|
i aintant cestedameetele	|--|---|----|---|-|--|
mietnep oons a uoiroir	-|-|-|-⌫---|-⌫---|--|
dontDix soit	---|--|---|
seruis eta u siecl ebienfais	-----|-|-⌫|-----⌫|---|---|
monsengneursaint	----------|----|
Iakequlld onaasu raisreq uer ans	---|-|-|-⌫--|-|-⌫---|---⌫---⌫--|
çoquillidemandoientetprem istsa	--|-|-|-|----------|-|----⌫--|-|
uoie.Lad a mese	----|-|-⌫-⌫-|-|
d ormoit e tquant ele fuesue llie il let int entre	-⌫-----|-⌫|----|--|-|----⌫---|-|-|-⌫--|----|
etrequ ist .i.don.Sir efaitelleqel —	-|----⌫--|--|---|---⌫|---|---|--||
fai tilestceseür tés queio Tarai—Si r e	---⌫|-|--|-|-----⌫---|--|-|----||--⌫-⌫|
faitesloïr	-----||---|
soit seie donerlepuis	---|-|-|----|-|---|
ie leuousdonra i.—	-|-|---|-----⌫-||
Damefaitilcongiédaler am on sengneursai nt	---|---|-|------||---||-⌫--⌫-------|---⌫-|
--- ---- ------------ ---- --------	---⌫----⌫------------⌫----⌫-------|
u er sion XIII (2)	-⌫--⌫---|---|--|
d e SaintPo li	-⌫|----|--⌫||
fure ntetmaint	----⌫-|-|----|
autre preud oume. Agrant	----|-----⌫----||----|
ioiefurentassamblé	---|-----|--------|
etaagrantseignori e eta grant	-|||----|--------⌫|-||----|
Et agrantio ieuesquirentb ien .u.a ns	-||----|--⌫-|---------|-⌫--|--|-⌫-|
ensamble m ai s	-------|-⌫--⌫|
pleutano s treseignorIhes u Cris tk	----||--⌫-⌫--|------|----⌫|----⌫||
i leu ̈ssent hoirdelo r	-⌫|--⌫-----|---|-|--⌫|
car do nt mou tpesa	--|--⌫-|---⌫|---|
Un enuitiu tmesir eTi e-	--⌫|---|--⌫|-----⌫|--⌫-|
bausen sen	---|-|--|
lit etpensa mo utetdist	--|-|----|--⌫-|-|---|
Dieusdontuient	----|---|----|
çou que io uaimmeta ntcele da me	---|--|--⌫|----|--⌫-|---|--⌫-|
et elemoi etnepoons	-|--|--|-|-|----|
auoirhoi r denostre cardon tDieusso it seruiset	----|---⌫|-|-----|--|---⌫|----|--⌫-|-----|-|
bi enfais Il	--⌫-|---|-|
sapensad emonsei g nor saint Iakemel a postl e	|-----|-⌫|------⌫-⌫--|----|-----||-⌫-----⌫|
de Ga licekidounoitasuraisrequerans çouqu	-|--⌫---|-|------|-|----|--------|---|-|
d oie nt par dro iteti proumis t sa	-⌫---⌫-|--|---⌫-|-||-------⌫|-|
uoieensoncuer.	---|-|--|----|
d ame sedormoitet	-⌫--|-|------|-|
fuesueilli eil le ti ntentre	-|--------⌫|-|-|--⌫-|----|
se sbrase tli requistu ndon .S irefait la	--⌫|---|-⌫|-|------|-⌫|---⌫|-⌫--|---|-|
quel— D am e	---||-⌫--⌫|
(fol io 316 a ) fait il	----⌫-|--|-⌫|---|-|
est çouseür tés	--|---|-----⌫---|
k eioulaurai— S ire	-⌫|--||----||-⌫--|
fait elleoïl uo irqué skeil	---|---|---|--⌫-|----⌫|-|-|
soit seioudouner le	---|-|--|-----|-|
uouspu isioule uous donrai.	---|--⌫-|--|-|---|------|
uers ionXIIIp005	----⌫----------|
Iakeetpr ieraiauboin sengneurquilnosdoinst	---|-|--⌫----|-|---|-------|-|-|--|-----|
do nt Dixsoitseruis etSainteEgli se	--⌫-|--|---|-----|-|-----|----⌫-|
oneree .—Sire	------⌫|----|
fait elecisdons es tmolt	---|--|--|---|--⌫|---|
courtoi setioleuous otroi.	-------⌫|-|-|-|---|-----|
Mol t furentengra ntioie.Trespa sa.i.	---⌫|-----|-|---⌫-|----|------⌫-|--|
tierçet iurent	-----|-|-----|
ensien leurlit unenuit. La	---|-|---|--|--|----|-|
damelidist	---|-|---|
Sireieuou s reqierq ue	---|-|---⌫|-----|-⌫-|
uous medonés. —Dame	---|-|------||---|
de mandés ie uousdonraise iedoner uous	--⌫------|-|---|-----|-|-|----|---|
puis.—Sirefaitellecongié	----||---|---|---|------|
auo ecuousence	---⌫-|---|-|-|
uoieage.Q uantmesiresT. loïsi fu	-------|-⌫---|--------||--|-|-|
molt dolans	---|-----|
Damegrie ́scos eseroita uostre	---|----⌫-|---⌫|-----||-----|
oe us.Et ellelidist	--⌫--|-|---|-|---|
S iren end outésmieque d ou	-⌫--||-|-⌫-----|--|--|-⌫-|
meneuresquier	-----|------|
uo usaués sere ́suousplus	--⌫-|----|----⌫-|---|---|
en blae ́squede moi . —D ame	--⌫----⌫-|--|-|---⌫||-⌫--|
fait ilielu ous	---|-|--|-⌫--|
otroi.Iorsui ntet	-----|---|--⌫-|-|
nouielecorutet	------|----|-|
-- ----- ------------------------	--⌫-----⌫-----------------------|
ue rsionXII I (2)p005	--⌫--------⌫|--|---|
Damefait ilaio u uo usrequie r u n donç ou	---|---|-||--⌫|--⌫-|------⌫|-⌫|--|--⌫-|
e st congiés	-⌫-|-------|
monseignorsaintIakeme enGalisseetproierai	---------|----|-----|-|------|-|-------|
aubeneoitapostlequeildeproit anostre	-|------|------|--|-|------||-----|
sei gnorI hesu	---⌫---|-⌫---|
Cri s tke ilnousdo insthoir de no	---⌫-⌫|-|-|---|--⌫---|---|-|-|
chardontDiex soitsie r-	---|---|---|---|---⌫-|
u isen cest	-⌫-|-|---|
si ec leet SainteEglyseessau cie.—Sirefaitla	--⌫--⌫-|-|-----|-----|-----⌫---||---|---|-|
dame li dons estmoutcourtois et iou le	---|-|---|--|---|-------|-|--|-|
uouso t roie t	---|-⌫-⌫--|-⌫|
d oins de bon airement.Mout	-⌫---|--⌫---⌫--------|---|
furent en grantioie f.	-----|-|----|---|-|
p assau nsio urs& etautre set	-⌫---|-⌫-|--⌫--||-|-----⌫|-|
tie rskilauintkili urent	---⌫-||-|----||-|-⌫----|
ens ambleenlorlit unenu it.	---⌫----|-|--|--|--|--⌫--|
La damel idistSire ie	-|---|-⌫|---|---|-|
uousproi e trequier	---|---|-⌫|------|
—Damefaitil a	|---|---|-||
d ésiou k le uous	-⌫--|--||-|---|
donrais e1	-----|-⌫-|
do unerleuous puis. —Sire	--⌫---|-|---|----||---|
çouestc ongiésdal er	---|--|-⌫------||--⌫-|
au oecuousen	--⌫--|---|-|
celuoiage .	--|------⌫|
Quantmesire Tiebausloÿsienfumout	----|-----|------||--|-|-|-|---|
d olanset dist	-⌫----|-|---|
D a megr iés coses eroit auostr ecors c arla uoie	-⌫-⌫-|--⌫---|---|-⌫----||-----⌫|---|-⌫-|-|---|
l on tai neet l ipais mout	-⌫--⌫---⌫-|-|-⌫|---|---|
estrangesetmoutdiuiers. Ele	--------|-|---|-------|--|
dist Siren e uousdo u tésmiede moicardel	---|---|-⌫|---|--⌫-⌫---|--|-|--|--|--|
escuierke uousa ue ́sserésuous plus	------|-|---|-⌫--⌫-|-----|---|---|
embleéskede	-------|-|-|
uersionX IIIp006	--------⌫------|
qensdePontiuleseut etma ndamonsen-	---|-|-----|-|---|-|--⌫--|------|
gn eurT.et li di s t	--⌫--|-|-|-|--⌫-⌫|
T .uous estes li	-⌫|---|----|-|
pel erinsuoe ́s	---⌫----|---⌫-|
c eme d istonet	-⌫|-|-⌫--|-|-|
me fille—Sire	-|----||---|
faitilc est	---|-||--|
uoir s.—(foli o 206 )T iebautfaitildeuousm	----⌫-||-----⌫|---⌫|-⌫-----|---|-|-|---||
beletdelimepoise.—	--|-|-|-|-|-----||
Si refaitiliene lipeuc	--⌫-|---|-|-|-|-|---|
e sco ndire.—T.fait ilmoue ́squant uous	-⌫---⌫-----||-|---|-|----⌫-|----|---|
hasté su ous.	------⌫|-⌫---|
Palefroiset	--------|-|
roncisetsom iersie u ous	-----|-|---⌫---|-|-⌫--|
autreauoir.	----|-----|
faitil gran t	---|-|----⌫|
aparelleet muet	-------|-|---|
am oltgrantioi eetua	|-⌫--|----|---⌫|-|-|
tantquilaprocemonse gneursaintIake a ma i ns	---|-|-|-----|-----⌫----|----|---||--⌫-⌫-|
iorne es.Unenu it iuten	-----⌫--|--|--⌫-|--|-|
uille. Aus oir	-----|-|-⌫--|
apellal o steet dem and a lide lauoi edou	-----||-⌫--|-|---⌫---⌫|-|-|-|---⌫|--|
d emainque le	-⌫----|---⌫-|
eleser oiteti lli distSireprésdeceste	--|---⌫--|-|-⌫|-|---|---|----|-|----|
uilleauérés	----|-------|
------- ----- ------------ -------	-------⌫-----⌫------------⌫------|
uersio nXIII(2)p006	------⌫----|--|---|
ildeparDiu et iouleuou s otroi.	-|-|--|--|-|--|-|---⌫|-----|
uintetnouuielecourutetatantke liquens	---|-|-------|-----|--|---|-|-|----|
deP on tiule	-|-⌫--⌫--|-|
ma ndamonseignourThiebau tetdist T iebaut	--⌫--|----------|-------⌫|-|---|-⌫-----|
(folio316b)uo usiestes	-----|--|-|--⌫-|-----|
li b p èlerins	-||-⌫-------|
u oé s çoumediston	-⌫---⌫|---|-|---|-|
etmafi llea usi	-|-|--⌫--|-⌫--|
—Sirefaitil ce stuoirs.—Tiebau t	|---|---|-||-⌫-|-----||------⌫|
fai til ç ou m est	---⌫|-|--⌫-||--|
biel deuou s mais demafille me	---|-|---⌫|---|-|-|----|-|
poise.—Si re faitTiebausdio u ne li pooie	-----||--⌫-|---|-------|--⌫|-|-|----|
dir e.—Tiebautfai tliq uensmouuésqu antuous	---⌫-||------|---⌫|-|-⌫---|------|--⌫--|---|
uolés et hast ésuos p alefroise t uosronchiset	-----|-|----⌫--|--|-⌫-------|-⌫|--|------|-|
miersiouuous	----|--|---|
donrai a sse ́s denier s etauoir.— Sirefait	-----|-⌫---⌫-|------⌫|-|-----||---|---|
mesire Tiebausgransmierchis.	-----|------|----|--------|
4. —Ils a parell ierent	-||-||-⌫------⌫-----|
etmurentagrant	-|-----||----|
ioi eet uon t	---⌫|-|---⌫|
parlori orn eestantk i l aprocierentde	--|--|-⌫---⌫--|---||-⌫|----------|-|
m o nseignorsaint	-⌫-⌫-------|----|
mainsde.ii. iornees.Unenuit	----|-|---|-------|--|---|
ui nrentauneb oi ne	--⌫----||--|-⌫--⌫-|
uile.Au s o irmesireThiebaus apiela	----|-|-⌫-⌫-|-----|-------|-----|
sonosteet lidemanda	--|---|-|-|------|
deleuo iede l	-|-|--⌫-|-||
e ndemain queleuoi e iltr ouueroientet	-⌫------|----|---⌫|-|--⌫---------|-|
elese roit	--|--⌫---|
lidistBiaus	-|---|----|
sire al issu e	---|||----⌫|
uersionXIIIp007	--------------|
de fores t apaser après	-|-----⌫||----|-----|
touteiourbeleu oi e.	----|---|---|-⌫--⌫||
At antseteuren t.Lilitfuren taparelliés i uontiesir.	--⌫--|-|------⌫-|-|--|-----⌫|---------|-⌫|---|-----|
dem ai n fistmolt	---⌫--⌫|---|---|
belpelerinse leuèrentains qui lfust	--|------|-|--------|---|-|-⌫|---|
l is e n tnoise.Etme sires T . sesuella etse	-⌫--⌫-⌫-⌫|-----|-|--⌫----|-⌫||------|-|-|
peupesa ntse nsance tdist a sencanbrel enc	--|----⌫-|--⌫|---|-⌫|---||--|-------⌫--|
nostremai snieleuerettours eretalerleur	-----|---⌫---|----|-|-----⌫-|-|---|---|
u oieettu remanrasettors er as	-⌫--|-|-|-------|-|----⌫--⌫-|
n ostrelitque iesuiun	-⌫----|--|--|-|--|-|
peupesa nset	--|----⌫-|-|
meha itiés.C ille	----⌫------|-⌫-|-|
conm a ndaet il s en	----⌫-⌫--|-|-||-|
a lerent.Petitdemou raaprès mesireT . seleualiuas-	-⌫------|----|-----⌫-|-----|-----|-⌫|-|---|-|---|
lésto rsaetlipal efroifurenta parellié si monterentet	---|--⌫--|-|-|---⌫----|-----|-⌫--------|-|--------|-|
n est oitencoremieiors	|---⌫--|-----|--|---|
m aismo l tfaisoit	-⌫--|--⌫-⌫|------|
isi re ntdelauilleilt roi	---⌫--⌫-|-|-|----|-|-⌫--|
s ains p lusde	-⌫---|-⌫--|-|
con pagniefo rs	---⌫-----|--⌫-|
quede Diu etaprocierentde	--|-|--|-|----------|-|
laforest.Etqua ntil i	-|------|-|---⌫-|-||
uinrentsitr ouerent.ii.	------|-|--⌫------|---|
uoieslunebon e et	----||--|---⌫|-|
-------- -----------------------	--------⌫----------------------|
u ersionXIII (2) p007	-⌫---------|--|---|
trou uerés.i. po i d e	----⌫-----|--|--⌫|-⌫|
for esta p asserapriéstoute ior	---⌫--||-⌫----|------|----|--|
b oineuoie.Atants eteur ent.Li litcfurent apa reillie ́si	-⌫---|----|----|-⌫|----⌫---|-|---|-----|---⌫-------⌫|-|
uontd iesir et	----|----|-|
lendem ainfist mo ut bel .	|-----⌫--|---|--⌫-|---⌫|
L icpelerin	-⌫-|------|
s eleuèr ent	-⌫|------⌫--|
a in s k il	-⌫--⌫||-|
fusti ourset lise ntnoise. Mes ire	---|-⌫---|-|----⌫-|-----|---⌫--|
Tiebausse leua e t	------|-|---|-⌫|
se trou ua.i. poi p esantfsiapielasoncambrelenc	-|----⌫-|--|--|-⌫-----|-|-----|--|---------|
distLi eue suset fa inostre maisnie	---|--⌫--|--|-|--⌫|-----|------|
tourser et	------|-|
t uremanras omoiett ourseras	-⌫|-------||--|-|-⌫-------|
nost re ha rnois	----⌫-|--⌫----|
io u sui.i.poi pes ans etdes haitiés.Cil	--⌫|--|--|--|---⌫--|-|---⌫--------|--|
lor a com-	--||---|
mandé(folio	-----|-----|
3 16 c) etilsen	-⌫-|-|-|-||-|
alerent.Peti t d emouraq ue	-------|----⌫|-⌫-----|-⌫-|
mesireTie b ausil et	-----|---⌫-⌫--|-|-|
saf emmese leuèrent et sa pare il lierent	-|-⌫---|-|--------|-||-⌫----⌫--⌫------|
etse misentale uoie.Licambrel e ns	-|-|-----||-|----|-|-------⌫-⌫-|
toursaleurl it etnes-	-----|---|-⌫-|-||--|
toit mie enco re iors ma ismout bielfaisoit.Il	---|--|----⌫-|---|--⌫-|---|---|-------|-|
issirentde	-------|-|
le uilee ntriau strois	-|---|-⌫--|---⌫|----|
sansplusd eco mpaigni efo r squed e	---|---|-⌫|--⌫-------⌫|--⌫-⌫|--|-⌫|
Diu eti laprochierentl aforest.E tq uant	--|-|-⌫|-----------|-⌫|------|-⌫|-⌫---|
iliuinrentsi	-||------|-|
uers ionXIII p008	----⌫-------⌫---|
mauua is e etdi st au	-----⌫--⌫|-|--⌫-|-|
canbrele ncFierdesespé rons	--------⌫-|---|--|-----⌫---|
atain gnost regen t et di qu ilnosa tengent.Lai de	-----⌫|----⌫-|---⌫|-|-|-|-|--|-⌫-------|---⌫-|
estadamedecheuaucier p armif orest apau	--||---|-|---------|-⌫---|-⌫----||--|
gnie.Cils en	----|--||-|
aleüre etmesireT. uinta	------|-|-----|-|---||
fo r este ttroua	--⌫-⌫--|-⌫|----|
(folio2 06b) les . ii. uoies et	-----|-⌫-|-|--|-⌫--|----|-|
neseut l equele	-|---|-⌫-----|
aleretdemanda le	---|-|------|-|
dameLaqueleironsnou s Et	---|------|----|---⌫|-|
elle dist SireseDiu	---|---|---|-|--|
plaist la bone.En laforest	-----|-|----|-|-|-----|
auoit larons q uimi batoie ntlafau se uo ie pour	----|-----|-⌫-|--⌫------⌫-|-|---⌫-|--⌫-|---|
pèler insde suoier . M esire	------⌫--|--⌫------⌫|-⌫----|
T. d escendi etesgardalau oie	-|-⌫------|-|------|-|-⌫--|
et trouala fauseu oie plusanteeet	-|----|-|----|-⌫--|---|----|-|
pluslargequ e la	---|----|--⌫|-|
boineetdistD amealonsde par Diu	----|-|---|-⌫--|----|-|--|--|
ent ren te nsetalere nt b ien le	---⌫---⌫|-⌫-|-|-----⌫-|-⌫--|-|
quartdunel i ue .L a uoie	----||--|-⌫-⌫--⌫|-⌫|---|
conmenç aa estrecier	--------⌫||--------|
etraimfurent basetildist	-|---|-----|--|-|-|---|
Dam emoisamble	---⌫|--|-----|
qu enousnal onsmie	--⌫|---||--⌫--|--|
----------------------------- - -	-----------------------------⌫-⌫|
uersionXIII(2 )p 008	----------|--⌫|-⌫--|
trouuèrent .i i.uoiesl une	----------|--⌫-|----||--|
autremal eet	----|---⌫|-|
Thiebausdi staso ncambrelencFi erde s espéronsataing	-------|--⌫-||--⌫|---------|--⌫-|--⌫|--------|-----|
n ostregent et	-⌫----|---|-|
dik il nousatengentcarlaide	-||-|---|-------|--|----|
dameeta cheua l ierpar miforest passer	---|-||-----⌫-⌫--|---⌫-|-----|-----|
a poidecomp ai-	|--|-|----⌫--|
gnie .Cils en	----⌫|--||-|
uagranta l e üreetmesir eTiebaus	-|----|-⌫-⌫-⌫---|-|-----⌫|------|
fo res tettrouuales.ii.uoies.Iln esotlequele	--⌫---⌫|-|-----|--|---|-----|-|-⌫|--|------|
distDameleque luoie iro ns nousEt	---|---|-----⌫|---|---⌫-|---|-|
eledi s t Sire	--|--⌫-⌫|---|
seDiu plai stla	-|--|----⌫-|-|
bone . En l aforiestestoientlaronki	----⌫|-|-⌫|------|-------|----|-|
abatoientle fauseuoi e etfa isoientgra ntetleee t	--------|-|----|---⌫|-|--⌫------|---⌫-|-|--|-⌫|
ala utrep ou r fa ire lespelerins	||-⌫---|-⌫--⌫|--⌫--|--|-------|
des uoi ie r.Me sireTie baus	---⌫---⌫--⌫-|--⌫---|---⌫---|
des ce ndietregardaleuoieet ktr ouual e	---⌫--⌫--|-|------|-|---|-||--⌫---|-⌫|
fause uoieplus	----|---|---|
kele boneet dista Dame alons	-|-|---|-|---||---|----|
Diu cesti.Ilen trent ensetalerent	--|-----|-|--⌫----|--|-|------|
bie nlequar tduneliue .	---⌫|-|----⌫||--|----⌫|
L auoiecommenchaaeslrechieret	-⌫|---|--------||---------|-|
lir aind eue n oient bas	-|-⌫--|-⌫---⌫-⌫----|--|
et i ldist Dame moisambleke nousn	-|-⌫|---|---|--|-----|-|---||
alo ns miebien.	---⌫-|--|----|
uersi onXI I Ip0 09	-----⌫----⌫-⌫---⌫-|
5-—Quant ileutcedit il uitdeua nt	-||----|-|--|-|--|-|--|----⌫-|
lui .liii.houme s	--|-----|-----⌫|
armé scomme larons	-----⌫|----|-----|
surgrati s che uau setcascuns	--|-----⌫|---⌫---⌫|-|------|
