Cycom me nc e	-|---⌫--⌫--⌫|
duroyaulmeet s ilzne ueulle nt obeyrieiray	-|-------|-||--|-|------⌫-|----|-|---|
enpers onneles mectre araison	-|----⌫---|--|-----||-----|
Esp aigneouyt ceste	---⌫----|---|----|
promes seil futterriblement ioyeulx etdittout	------⌫-|-|--|-----------|------|-|--|---|
humbleme nt auroyquil l e	--------⌫-|-|--|-|-|-⌫|
Dec ecyfur ent fortioyeulxles baronsde	-|-⌫--|---⌫--|---|------|--|-----|-|
Francecar gran tcompassion auoientduroyd	-----|--|----⌫|---------|------|-|--||
Espa igne etau ssi auo ientgrantdes irde	----⌫---|-|--⌫--|---⌫---|----|---⌫-|-|
eulx exercitere nfaitzdarmescarlongtempsauoit	---|--------|-⌫|----||----|--|---|----|----|
Francen auoiteuguerre	-----||----|-|-----|
Toutceluy iourfut mo ult festoyé	---|----|---|--|--⌫--|-------|
Es paigneetpour	--⌫-----|-|---|
lheureplus ne futpar lé	|----|---|-|--|---⌫--|
dela matieresinon	-|-|------|-|--|
defairebonnechie re	-|----|----|----⌫-|
Com mentler oyde	---⌫---|-|-⌫-|-|
France escriuit	-----|-------|
a uxb ar onsd	-⌫-|-⌫--⌫--||
Espaigne qu i lz eus sentauen irrepairer	-------|-|-⌫-|---⌫---||---⌫-|-------|
letort et deshonneur	-|---|-|---------|
quilz auo ientfaic taleurroy	-|--|---⌫---|----⌫||---|--|
Quantuint l elendem ainaumatin leroy	----|---|-⌫|------⌫--|-|----|-|--|
fitescripre unel ectreain si ques ensuit et	--|-------|--|-⌫----|---⌫-|--||-----|-|
dessu sestoitescript	-----⌫|-----|------|
leroyetlalectr e	-|--|-|-|-----⌫|
contenoitainsi	--------|----|
Chiersetbien	-----|-|---|
aymez nous auonsrec eula	----|---|----|---⌫-|-|
c om plainctedenost rechieretbien	-⌫--⌫-------|-|----⌫-|----|-|---|
aymé fre reler oyd	----|---⌫-|-|-⌫-||
E spaigne uostredroict et naturel	-⌫------|-----|-----|-|------|
seigneurcon tena nt	-------|---⌫----⌫-|
san scauselau ezdeschassé	---⌫|----||--⌫-|---------|
deson ro yaulme	-|--|--⌫-----|
Etqueplus est te nez assi ege e	-|--|---|--|--⌫--|----⌫---⌫|
nos tre bellese ursafemme et	---⌫--|----|--⌫-|-|----|-|
plusieur sault resg rans etenormescasqu auezfaitz	--------⌫|----⌫--|-⌫---|-|------|--|-|---|----|
al encontredelu yquesont detresmauuais	||-------|-|--⌫|--|---|-|----------|
exemp leat oute	-----⌫-||-⌫---|
royaulté et	--------|-|
Pource est	---|-|--|
il quenousuoulonssauoir lau e ri t e ́duc as p our	-|--|---|------|-----|-|-⌫-⌫--⌫-⌫-⌫|-|-⌫-|-⌫--|
y donnertelle pu gnition etprouisio nquilap partiendraest re	|-----|----|--⌫------|-|--------⌫|-|-|--⌫---------|---⌫-|
faicteparr aison car	-----|--|-⌫----|--|
nou s lauonsmis en	---⌫||----|--|-|
nostre protectionet sauue gardeluysafamilleetbiens	-----|---------|-|-----⌫----|--|-|------|-|----|
e nuousm andant que inco ntinantsans aulcun	-⌫|---|-⌫-----|--|----⌫------|---|-----|
delayu ous	----|-⌫--|
uuydezlesiegededeuant la royneuostre	-----|-|----|-|-----|-|----|-----|
n a turelledame e tluyfaictes etfa ictes	-⌫-⌫------|---|-⌫|--|------|-|--⌫----|
fairetell e ob eys sance com meparaua ntcestequestionluye stoit	----|----⌫|--⌫---⌫----|---⌫-|------⌫-|----|-------|--|-⌫----|
fai cteet ac oustumeede fa i re	---⌫--|-|--⌫-------|-|--⌫-⌫-|
ceuenezdes pri ncipaulx	-|----|--|---⌫-------|
dentreuous	|----|---|
iusquesaunombre de	------|-|-----|-|
ui ngtauecq tellecompaignie	--⌫--|----|----|---------|
que uous se mblerabo n	--|---|--⌫-----|--⌫|
pour direles causesqui uo us	---|---|--|-----|--|--⌫-|
ontm e u a cefair e pouren f airela	--|-⌫-⌫||-|----⌫|---|-|-⌫---|-|
raisoncom m eilapp arti endraenuous	-----|---⌫-⌫|-|---⌫----⌫----|-|---|
notiffian t q ueceuousyfaictesfa ulte nousy	---------⌫|-⌫-|-|---||------|--⌫---|---||
yronsenpersonne	----|-|-------|
et enferonstell e	-|-|-----|----⌫|
pugni t ionquilen sera	-----⌫-⌫--|-|-|-|---|
perpetuelle mem oire	----------|---⌫---|
premie riour demars	------⌫|---|-|---|
Etaudessus deslectresestoi tesc ript	-|-|-----|--|------|-----⌫|---⌫---|
Aux baronset peup l e d	--|-----|-|----⌫-⌫||
Lero yfit inconti nan t	-|--⌫|--|-------⌫---⌫|
d espesch er ungcourrie rauquel	-⌫-------⌫-|--|-------⌫|-----|
fur entbailleesle sdicteslectrese t	---⌫--|-------|--⌫------|------|-⌫|
luy commandale	--|-------|-|
royque ilfistextreme	--|--|-|---|------|
dili gence	----⌫----|
Etauss ifitilcar en cinqsepmain esil f ut	-|----⌫|--|-|--|-|---|-------⌫-|-|-⌫-|
alléetreuenu	----|-|-----|
Commentleherault duroy de	------|-|------|-|--|-|
F ranceapportalaresponcequelu yauoientf aictele sb arons	-⌫----|------|-|-------|--|--⌫|------|-⌫----|--⌫|-⌫----|
Quant ledictheraultfutar riué a	----|-----|------|--|--⌫----||
enalla toutd roitau	-|---|---|-⌫---|-|
palaixdes cendrede son	-----|---⌫-----|-|--|
cheual et monta lesde grezet	-----|-|----|--|--⌫---|-|
chambre ou leroyestoit	------|-|-|--|-----|
lareuerenceet	-|--------|-|
Sirep laiseuoussçau o ir	---|-⌫----|---|-----⌫-⌫-|
queiay estéa	--||-|----||
Seguonyeouiaytrouué grantpeuplede uant qui	-------|-||-|------|----|-----|--⌫---|--|
tiennentla ui lleassiegee etl a	-------|-|--⌫--|-------|-|-⌫|
r oynequi estdedans et	-⌫---|--|--|-----|-|
presentayuozlectres aux b aronset cappitay nes	--------|--|------|--|-⌫----|-|--------⌫--|
dela rmeelesquelzi ncon tinant se	-||-⌫---|-------|-⌫----⌫-----|-|
as semb lerente t f ire ntlireles le ctr es par	--⌫----⌫-----|-⌫|-⌫---⌫-|---|--|--⌫---⌫-|--|
ungdel eursgens	--|-|-⌫---|---|
Etincontinantqu ilzleseuren t fa itli reilz	-|----------|-|--|--|-----⌫|--⌫-|--⌫-|--|
me firenttirerapart	-|-----|----||---|
et tindre nt	-|------⌫-|
Auboutdedeux heuresa pres	-|---|-|---|-----|-⌫---|
menuoyer ent querir etmefirent res poncedeboucheen	|-------⌫--|-----|-|-|-----|---⌫----|-|-----|-|
di santquilz sesmerue il loient	--⌫---|-|--||-------⌫--⌫-----|
grandemen tdequoyuouspreni ezpeineets oucy d	---------⌫|-|---|---|-----⌫-|----|-|-⌫---||
une chosequi enriens	--|----|--|-|----|
neuous touchoitetqueuousne	-|---|-------|-|--|---|-|
uousmecteziaentelleaduenturedele saller	---|-----|-|-|----|--------|-|--⌫|----|
c hercheraupays pour te lleachoisonetque	-⌫------|-|---|---|--⌫--|-------|-|--|
parqu elquep romessequeleur	--|--⌫----|-⌫------|--|---|
ditroyuousayefa it	--|--|---|--|--⌫-|
neuousendebuezmesle r car	-|---|-|-----|-----⌫|--|
pouru oz lectresnepouruozmenassesne	---|-⌫-|------|-|---|--|-------|-|
lairront amectrefin aleu r	-------||-----|--||---⌫|
entreprinsec arauecquesuou s ilzn	----------|-⌫-|-------|---⌫|--||
ontr iens a faire	--|-⌫---||----|
I e leurrequisquilz mebaillasse ntleurresponcepar	-⌫|---|-----|-|--|-|---------⌫-|---|-------|--|
es criptmaisil z	--⌫----|---|--⌫|
mere spondir en tqu e ault rech osen	-|--⌫-------⌫--⌫|--⌫|----⌫-|--⌫--||
enau roye etm efirent commandem entque deda ns	-|--⌫---|-|-⌫|-----|---------⌫--|--|----⌫-|
sixheu res uuydasse lesiegeetbien	--|---⌫--|-------|-|----|-|---|
tostlepays	---|-|---|
Etquantieuisqueaultre	-|----|-|--|--|-----|
cho sene pouu oisfairemensuis	---⌫-|-|----⌫--|----||-|---|
retournéetmesemblequela uilleestassez	--------|-|-|-----|--|-|----|--|----|
forte ale ncontredeulx	----|||-⌫------||---|
etne lapourroi entprendr ed	-|-|-|-------⌫--|------⌫||
ungl ongtempssei l	--|-⌫--|----|-|-⌫|
y au iure sdedans e tgens qu ilz	||-⌫----⌫|-----|-⌫|---|-|--|
soient le aulxaleurdame	-----|--⌫---||---|---|
Quantle roy ouyt	----|-|--|---|
cel le respon ceilenfutmoult mal	---⌫-|------⌫-|-|-|--|----|--|
non sanscausemais	--|---|----|---|
Espaigneetlesbaro nsde	-------|-|--|----⌫-|-|
Franceenesto ie n tbien	-----|-|----⌫--⌫-⌫|---|
io yeulx cargra nt uou lo irauoie nt que ler oy	--⌫----|--|---⌫-|---⌫--⌫-|-----⌫-|--|-|-⌫-|
enar mescommeil fit	-|--⌫--|----|-|--|
Car i ncontinantleroy man da	--|-⌫---------|-|--|---⌫-|
tousses barons	---|--|-----|
cappitainesetchef z	----------|-|----⌫|
deguerre et sansaulcundelayf itappar eilliertout	-|-----|-|---|-----|----|-⌫-|-----⌫------|---|
cequiestoitde b es oing po u r aller	-|--|-----|-|-⌫--⌫---|--⌫-⌫|----|
Espaig ne commancerlaguerrecontr el esbaronsdu	------⌫-|--------|-|-----|-----⌫|-⌫-|-----|-|
Si futf ait	-|--|-⌫--|
telle diligen cequeala	----|-------⌫-|--||-|
find umoysdemay ensuiuan t leroy	--|-⌫|---|-|--|--------⌫|-|--|
Parisau ecq	----|--⌫--|
Espaigneiusquesaunombre de	-------|------|-|-----|-|
cinquantem il le bonscombatansbienenpointet s	--------|-⌫--⌫-|---|--------|---|-|----|-||
en u in t passera	-|-⌫--⌫|-----||
Bourdeaux etdelaa	--------|-|-|-||
Commentleroyde	------|-|--|-|
Fran ce arriua en	----⌫-|-----|-|
Espaign eetn etrouua	-------⌫|-|-⌫|-----|
personnee ncheminsinon	-------|-⌫|-----|-|--|
legouuerneur d	-|---------||
Esp aignel equel senfuit incont inent	---⌫----|-⌫----||-----|------⌫----|
Quant l eroy futprès d	----|-⌫|--|--|----||
Espai gneilmit	-----⌫--|-|--|
sesgensenmoult	--|---|-|----|
belleordonnan ceet	----|--------⌫-|-|
donnalachargedelau ant	----|-|-----|-||--⌫--|
garde auro yd	----|-|--⌫||
I lz entreren ten	-⌫-|--------⌫|-|
Bisc ayetousioursserr ezense mble carilz n	----⌫--|--------|----⌫-|----⌫---|--|--||
estoientiam ais	-------|---⌫--|
ungsdesa ultres d e	---|--|-⌫-----|-⌫|
d eux ou detr oislieu es	-⌫--|-|-|--⌫--|----⌫-|
sinet r ou uerentadu entureaulcun e quea	-|-|-⌫-⌫--⌫-----|---⌫-----|------⌫|--||
compter fac eiusques ilzfure ntbienauantdedans	------|---⌫|------|--|----⌫-|---|----|-----|
Espaig neouilz rencon trerentleg ouuerne urdud ictpa ys	------⌫-|-|--|------⌫------|-|-⌫-------⌫-|---⌫--|--⌫-|
aue c q bienuingt cinqmillecombat ans	---⌫-⌫|---|----|---|----|------⌫--|
qu il auoit	-|-|----|
amassez qui estoie ntfortma l	------|--|------⌫-|---|--⌫|
acou st rez	----⌫--⌫--|
Etquant i lzapparc e uren tnozg ensquiuenoient	-|----|-⌫-|------⌫-⌫----⌫|--|-⌫--|--|-------|
bienserrez etrengezlecueur l eur	---|-----|-|-----|-|----|-⌫--|
faillit et senfouy re nt depeur qu ilz	------|-||-|----⌫--⌫-|-|---|-|--|
auo ie ntde quoy	---⌫--⌫-|-|---|
noz gensnefire nt pas	--|---|-|----⌫-|--|
gra nt comptecarilz	---⌫-|-----|--|--|
uouloienta l le rleuer lesieged edeuant	--------|-⌫-⌫--⌫|----|-|----|-⌫|-----|
Siarriuer entdeuantune	-|-------⌫--|-----|--|
uil lequileurfutouuerte	---⌫-|--|---|--|------|
Burgesqu i	-----|--⌫|
es toitunedesbonnescitez du	--⌫---|--|--|-----|----|-|
paysetleroylesprint amercypource	---|-|-|--|--|----||----|---|-|
quil auoient	-|-|------|
sitostobey	-|---|---|
Commentlesembassadeursdes	------|--|-----------|--|
E spa igneuindrent deuers lero yde	-⌫---⌫---|-------|-----|-|--⌫|-|
Francepourauoirp ai x	-----|---|----|-⌫--⌫|
Encelle uille	-|----|----|
Burges seio urnerent	-----|----⌫-------|
huit io ursleroyde	---|--⌫--|-|--|-|
Etcependantle roy	-|-|------|-|--|
F rancerem ita son ob eyssanc egrant partie	-⌫----|---⌫-||--|--⌫-------⌫|----|-----|
d esuille salentour	-⌫-|-----⌫|||-----|
Et cel lesqu i faisoi en tgrant s ig nedereb ellion il le s	-|---⌫--|--⌫|------⌫--⌫|----|-⌫--⌫-|-|---⌫-----|-|--⌫|
faisoit raser et mectre toutafeu	------|----|-|-----|---||--|
et asang les aultre squi uenoient a	-||---|--|------⌫|--|-------||
merc yleurpardonnoittellemen t	----⌫|---|---------|--------⌫|
quele bruitetleffroyfutsi	--|-|----|-||-----|--|-|
grant par tout	----|--|---|
Espai gnequetout eslesuillescitez et chaste auxapportoient	-----⌫--|--|----⌫-|--|-----|----|-|------⌫--|----------|
lesc lefzetuenoientfai re	--|-⌫---|-|-------|---⌫-|
obeissanceauroyde	---------|-|--|-|
De laa huit	-|-||---|
iourspassezs enpartirentpouraller	----|-----||-|--------|---|----|
Segu ony emai silztrouuere nt enche my nlambassadedesbaro ns	----⌫---⌫|---⌫|--|--------⌫-|-|---⌫--⌫||--------|--|----⌫-|
dusiegequ i	-|----|--⌫|
uenoie n tdeuersleroypou r	------⌫-⌫|-----|-|--|---⌫|
traic terpai x	-----⌫--|---⌫|
Etfutfai tplus ieu rsre monstranc esauroy de	-|--|---⌫|----⌫---⌫-|--⌫---------⌫-|-|--|-|
lapartdesdictsbaro ns	-|---|-------|----⌫-|
en eul xcompl aignantagra nt	-|---⌫|-----⌫------||---⌫-|
tort duroyd	---|-|--||
Espaigneleurs eigneur mais po uren fa irebrefle	-------|---|-⌫------|---|--⌫-|-|--⌫--|---|-|
Francequimoultsaigeet uaillantestoitcongn oiss antleurmalice	-----|--|----|----|-|-------|-----|-----⌫----⌫--|---|-----|
e tm altalantfitresponceq ue sebonleu r	-⌫|-⌫-|-----|--|-------|-⌫-|-|--|---⌫|
se mbloitqu ilzs emissentend effence	--⌫-----|-|--|-⌫|------|-|-⌫------|
ca r iam a i silne l espre ndroit a	--⌫|---⌫-⌫-⌫|-|-|-⌫-|---⌫-----||
mercy iusquesacequ	----|------||-|-|
iluerr oit et	-|----⌫--|-|
uiendroient touslesnobl esa	----------|---|--|----⌫-||
genoulxdeuan t leurr oy	------|-----⌫|---|-⌫-|
crier mercy	----|----|
etlepeupl e	-|-|-----⌫|
toutenchemi sen uestestesetque	---|-|-----⌫-|-⌫--|-----|-|--|
d esplu scoulpables il	-⌫-|---⌫|---------|-|
enpugniroitiu sque sau nombredecinquant eafin qu	-|--------|--⌫----⌫|-|-----|-|--------⌫|---|-|
ile n fus tperpetuel le memoi re	-|-⌫|---⌫|---------⌫-|-----⌫-|
C eulxquiestoi entuenuzpo urladicte embassadefuren tbien	-⌫---|--|-----⌫--|----|--⌫-|------|--------|-----⌫|---|
esbayset n onpas san s	-----|-|-⌫-|--|---⌫|
bonneraison u oyant que a	----|-----|-⌫----|--||
lapuissanced e	-|--------|-⌫|
France n epourroient	-----|-⌫|---------|
r esisteretm e smement queia	-⌫------|-|-⌫-⌫------|--|-|
le sdeuxt i ers	--⌫|---|-⌫-⌫--|
dupayses toitia	-|---|--⌫---|-|
S ine sceurent quefaire f orsqu	-⌫|-|-------|--|----|-⌫--|-|
ilz obtindrentdu roydi x iours	--|---------|-|--|--⌫|----|
derespitpour al ler notif fier lesnouuelles a ceulx	-|-----|---|--⌫--|-----⌫---|--|--------||----|
quilesauoyentenuoyez	--|--|------|------|
Etqua nti l zf urentde uers	-|---⌫-|-⌫-⌫|-⌫----|--⌫---|
eul xe tl eureurentditet f aitle urrapporttous	---⌫|-⌫|-⌫--|-----|--|-|-⌫--|--⌫-|------|---|
fur ent sies tonnez	---⌫--|-|--⌫-----|
queleplu shardinesçauoit	--|-|---⌫|----|-|-------|
Commentlesembassadeur s desba rons du royaulme d	------|--|-----------⌫|--|--⌫---|-|-------||
Es paigne apporte rentlar esp onceque leurauoit	--⌫-----|-------⌫---|-|-⌫---⌫---|--|---|----|
fa icteleroyde	--⌫---|-|--|-|
Et c omm entlepopula ireuintpardeuer sluy pou r	-|-⌫---⌫--|-|------⌫--|---|--------⌫|--|---⌫|
luycrier mercy quantilzsc eurent lesno uuelles	--|----|----|----|--|--⌫-----|--|--⌫------|
Commen tlepopulairefut tan t os tdesseuré	------⌫|-|--------|--|---⌫-⌫--⌫|--------|
dauec le sseign eurs par	|---|--⌫|-----⌫---|--|
quo yuoya ntqueresisterne	---⌫|----⌫-|--|-------|-|
pouuo ie nts iuind rentt ous	-----⌫--⌫-|-⌫|----⌫---|-⌫--|
ala mercyduroy	|-|----|-|--|
Fr a nceenlafo rmeque le s embassad e ursleur	--⌫-⌫--|-|-|--⌫--|--|--⌫|--------⌫-⌫--|---|
a uoientdenunci é	-⌫-----|-------⌫-|
le roylesr eceut	-|--|--|-⌫----|
am e rcye t	|-⌫-⌫--|-⌫|
sei nforma	-|-⌫-----|
d ilig emme ntdesprincipaulxammoteu rs dec es tuy peup le et	-⌫----⌫----⌫-|--|----------|-------⌫-|-|-⌫--⌫--|----⌫-|-|
trouuaquequatredes	-----|--|-----|--|
p l us grans baronsd	-⌫-⌫-|----|-----||
Espaigneauoientcecymachinépourparuenirauroyaulme	-------|------|---|-------|---|-------|-|-------|
a leuruo u loir	|---|--⌫-⌫---|
Ceulx furentprinsetiusquesacinqu ante deleurs	----|-----|----|-|------||-----⌫---|-|----|
compl i ces queleroyfit mener	-----⌫-⌫--|--|-|--|--|----|
aprèsluyiusquesa	-----|--|------||
Seguonyedeuersl a	-------|-----|-⌫|
royne laque lleuint agranthonneur	----|-----⌫--|---||----|------|
bell ecompaignieau deuant	----⌫|---------|-|-----|
dud itr oy et	---⌫-|-⌫-|-|
desonma ry iusquesa	-|--|--⌫-|------||
qu at relieues	--⌫--⌫-|-----|
Quant ellefutde uantleroyde	----|---|--|--⌫---|-|--|-|
Fr an ce ellese mitadeux ge noulx	--⌫--⌫-|---|-|--||---|--⌫----|
daussiloingqu ellele peut ue oiret de	|----|----|-|---|-|---|--⌫--|-|-|
l aneseuoult	-⌫|-|-|----|
l e uer iusq uesle royhastiuementdescendit et	-⌫-⌫--|----⌫--|-|--|----------|--------|-|
laredressapuislabaisa	-|-------|---|-|----|
royn equ imou ltsagedame	----⌫|--⌫|---⌫-|---|---|
e stoit uadiretellesp arol les	-⌫----|-|---|-----|-⌫----⌫--|
