domineexaudiorationemmeam	domine exaudi orationem meam
clamormeusadteveniat.Nonavertasfaciẽtuam	clamor meus ad te veniat . Non avertas faciẽ tuam
ameinquacũqdie	a me in quacũq die
tribulorinclinaadmeaurem	tribulor inclina ad me aurem
tuam.Inquacũqdieinvocaverotevelociterexaudi	tuam . In quacũq die invocavero te velociter exaudi
me.Quiadefeceruntsicutfumusdies	me . Quia defecerunt sicut fumus dies
meietossa	mei et ossa
measicutcremiũ	mea sicut cremiũ
aruerunt.	aruerunt .
percussussumutfenũet	percussus sum ut fenũ et
aruitcormeũ	aruit cor meũ
:quiaoblitus	: quia oblitus
sumcomederepanem	sum comedere panem
meum.avocegemitusmeiadhesitosmeum	meum . a voce gemitus mei adhesit os meum
carnimeesimilisfactussumpellicanosolitudinisfactus	carni mee similis factus sum pellicano solitudi nis factus
sumsicutnicticoraxindomicilio.vigilavi⁊factus	sum sicut nicticorax in domicilio . vigilavi ⁊ factus
sumsicutpasser	sum sicut passer
solitariusintecto.totadieexprobrabãt	solitarius in tecto . tota die exprobrabãt
michiinimicimei:etquilaudabantmeadversũme	michi inimici mei : et qui laudabant me adversũ me
jurabant.quiacynerẽ	jurabant . quia cynerẽ
tanꝙͣpanẽmãducabametpoculũ	tanꝙͣ panẽ mãducabam et poculũ
meũcumfletumiscebam	meũ cum fletu miscebam
.afacieireindignationistue:quia	. a facie ire indignationis tue : quia
elevãsallisistime.dies	elevãs allisisti me . dies
meisicutumbradeclinaverunt⁊	mei sicut umbra declinaverunt ⁊
egosicutfenumarui	ego sicut fenum arui
.tuautemdñeineternũpermaneset	. tu autem dñe in eternũ permanes et
mẽorialetuumingenerationemetgenerationem.tu	mẽoriale tuum in generationem et generationem . tu
exurgẽsdñemisereberissyonquiatempusmiserendiejusquia	exurgẽs dñe misereberis syon quia tempus miserendi ejus quia
venittempusqm̃placueruntservis	venit tempus qm̃ placuerunt servis
tuislapidesejus	tuis lapides ejus
etterreejusmiserebuntur.ettimebũtgentesnomentuum	et terre ejus miserebuntur . et timebũt gentes nomen tuum
domineetomnesregesterregloriamtuam	domine et omnes reges terre gloriam tuam
.quiaedificavit	. quia edificavit
dominussionetvidebiturĩgl̃a	dominus sion et videbitur ĩ gl̃a
sua.respexitinorationemhumilium	sua . respexit in orationem humilium
etnonsvitprecẽeorum.scribanturhecĩ	et non svit precẽ eorum . scribantur hec ĩ
generationealteraetppl̃usquicreabiturlaudabit	generatione altera et ppl̃us qui creabitur laudabit
dominũquiaprospexit	dominũ quia prospexit
deexcelsosanctosuodñs	de excelso sancto suo dñs
decelointerrãaspexit.utaudiret	de celo in terrã aspexit . ut audiret
gemituscompeditoꝝut	gemitus compeditoꝝ ut
solveretfiliosinteremptorũ.ut	solveret filios interemptorũ . ut
annuntientinsyonnomen	annuntient in syon nomen
dñi:etlaudemejusin	dñi : et laudem ejus in
ihrl̃m.inconveniendopopulosĩunũ:etreges	ihrl̃m . in conveniendo populos ĩ unũ : et reges
utserviantdomino.responditeiin	ut serviant domino . respondit ei in
viavirtutissuepaucitatẽ	via virtutis sue paucitatẽ
dieꝝmeorũnuntiamichi.	dieꝝ meorũ nuntia michi .
nerevocesmeindimidiodierũ	ne revoces me in dimidio dierũ
meorũingenerationem⁊generatiõemannitui.initio	meorũ in generationem ⁊ generatiõem anni tui . initio
tudomĩeterramfundasti:et	tu domĩe terram fundasti : et
oꝑamanuumtuarũsunt	oꝑa manuum tuarũ sunt
celi.ip̃iperibunt	celi . ip̃i peribunt
tuautẽpermanesetomnessicutvestimẽtumveterascent	tu autẽ permanes et omnes sicut vestimẽtum veterascent
.etsicutoportoriummutabiseos	. et sicut oportorium mutabis eos
⁊mutabunturtuautemidemip̃e	⁊ mu tabuntur tu autem idem ip̃e
esetannituinõdeficiẽt	es et anni tui nõ deficiẽt
.filiiservorũtuorũhabitabunt⁊semeneorũ	. filii servorũ tuorũ habitabunt ⁊ semen eorũ
inseculũdirigetur.domineexaudiorationẽmeametclamor	in seculũ dirigetur . domine exaudi orationẽ meam et clamor
meusadteveniat	meus ad te veniat
.nonavertasfaciẽtuãame	. non avertas faciẽ tuã a me
inquacũqdietribulorinclinaadmeauremtuam	in quacũq die tribulor inclina ad me aurem tuam
.inquacũq	. in quacũq
dieinvocaverote	die invocavero te
velociterexaudime.quia	velociter exaudi me . quia
defeceruntsicut	defecerunt sicut
fumusdiesmeietossameasicutcremiumaruerunt	fumus dies mei et ossa mea sicut cremium aruerunt
.percussussumutfenumet	. percussus sum ut fenum et
aruitcormeũquiaoblitussũcomederepanẽ	aruit cor meũ quia oblitus sũ comedere panẽ
meum.avoce	meum . a voce
gemitusmeiadhesitosmeumcarnimee.	gemitus mei adhesit os meum carni mee .
similisfactussũ	similis factus sũ
pellicanosolitudinisfactussumsicut	pellicano solitudinis factus sum sicut
nicticoraxindomicilio.vigilavietfactussũ	nicticorax in domicilio . vigilavi et factus sũ
sicutpassersolitariusin	sicut passer solitarius in
tecto.tota	tecto . tota
dieexprobrabantmichiinimicimeiet	die exprobrabant michi inimici mei et
quilaudabant	qui laudabant
meadversũmejurabant.quiacyneremtanꝙͣ	me adversũ me jurabant . quia cynerem tanꝙͣ
panẽmanducabametpotummeũcumfletu	panẽ manducabam et potum meũ cum fletu
miscebam.afacieireindignationistue	miscebam . a facie ire indignationis tue
quiaelevansallisistime.	quia elevans allisisti me .
diesmeisicut	dies mei sicut
umbradeclinaverunt⁊egosicutfenũ	umbra declinaverunt ⁊ ego sicut fenũ
arui.tuautemdñeineternũꝑmaneset	arui . tu autem dñe in eternũ ꝑmanes et
memorialetuumingenerationem	memoriale tuum in generationem
etgenerationem.tu	et generationem . tu
exurgensdñemisereberissyonquiatempusmiserendiei᷒quia	exurgens dñe misereberis syon quia tempus miserendi ei᷒ quia
venittempus.qm̃placuerũtservistuislapides	venit tempus . qm̃ placuerũt servis tuis lapides
ejus⁊terreejusmiserebũtur.ettimebũt	ejus ⁊ terre ejus miserebũtur . et timebũt
gentesnomẽtuũdñeetões	gentes nomẽ tuũ dñe et ões
regesterregloriãtuamquiaedificavitdñssyonet	reges terre gloriã tuam quia edificavit dñs syon et
videbituringloriasua.respexitinorationẽhumiliumet	videbitur in gloria sua . respexit in orationẽ humilium et
nõsprevit	nõ sprevit
precẽeorum.scribanturhecingenerationealteraetpopulus	precẽ eorum . scribantur hec in generatione altera et populus
quicreabi	qui creabi
turlaudabitdominum.quiaprospexitde	tur laudabit dominum . quia prospexit de
excelsosc̃osuodñs	excelso sc̃o suo dñs
decelointerrãaspexit.utaudiret	de celo in terrã aspexit . ut audiret
gemituscompeditorumutsolveretfiliosinterẽptorũ	gemitus compeditorum ut solveret filios interẽptorũ
utannũtient	ut annũtient
insyõnomendñi	in syõ nomen dñi
etlaudẽejusin	et laudẽ ejus in
ihrl̃m.in	ihrl̃m . in
cõveniendoppl̃osinunũetreges	cõveniendo ppl̃os in unũ et reges
utserviantdomino.responditei	ut serviant domino . respondit ei
inviavirtutissuepaucitatẽdierummeorumnuntia	in via virtutis sue paucitatẽ dierum meorum nuntia
michi.nerevocesmein	michi . ne revoces me in
dimidiodierum	dimidio dierum
meorũingenerationem⁊generationẽanni	meorũ in generationem ⁊ generationẽ anni
tuiinitiotudñeterrãfundastietoꝑa	tui initio tu dñe terrã fundasti et oꝑa
manuũtuarũsuntceli.ipsiperibunttuautempermanes	manuũ tuarũ sunt celi . ipsi peribunt tu autem permanes
etom̃ssicutvestimentumveterascent.etsicut	et om̃s sicut vestimentum veterascent . et sicut
opertoriũmutabiseosetmutabuntur	opertoriũ mutabis eos et mutabuntur
tuautẽidemipsees	tu autẽ idem ipse es
etannituinondeficient	et anni tui non deficient
.filiiservoꝝtuoꝝ	. filii servoꝝ tuoꝝ
habitabuntetsemeneorũinseculũ	habitabunt et semen eorũ in seculũ
dirigetur.Gloriapr̃iSicuterat.ps̃	dirigetur . Gloria pr̃i Sicut erat . ps̃
.domineexaudiorationẽmeam	. domine exaudi orationẽ meam
etclamorm̃sadtevẽiatnon	et clamor m̃s ad te vẽiat non
avertasfaciẽtuamameinquacumqdietribulor	avertas faciẽ tuam a me in quacumq die tribulor
inclinaad	inclina ad
meaurẽtuã.inqͣcũdie	me aurẽ tuã . in qͣcũ die
invocaverotevelocit͛exaudime.quiadefeceruntsicut	invocavero te velocit͛ exaudi me . quia defecerunt sicut
fumusdiesmeietossa	fumus dies mei et ossa
measicutcremiũaruerunt.percussus	mea sicut cre miũ aruerunt . percussus
sumutfenumetaruitcormeum	sum ut fenum et aruit cor meum
quiaoblitussumcomed͛epanẽmeum.a	quia oblitus sum comed͛e panẽ meum . a
vocegemitusmeiadhesitosmeumcarnimee.	voce gemitus mei adhesit os meum carni mee .
similisfactussumpellicano	similis factus sum pellicano
solitudinisfactussumsicutniticoraxin	solitudinis factus sum sicut niticorax in
domicilio.vigilavietfactussumsicutpassersolitarius	domicilio . vigilavi et factus sum sicut passer solitarius
intecto.	in tecto .
totadieexprobrabantmichiinimicimeietqui	tota die exprobrabant michi inimici mei et qui
laudabantadversummejurabant.quiacinerẽtanqͣmpanemmanducabam	laudabant adversum me jurabant . quia cinerẽ tanqͣm panem manducabam
etpotum	et potum
meũcum	meũ cum
fletumiscebam.afacieireetindignationistue	fletu miscebam . a facie ire et indignationis tue
qͥaelevansallisistime	qͥa elevans allisisti me
.diesmeisicut	. dies mei sicut
umbradeclinaveruntetegosicutfenũ	um bra declinaverunt et ego sicut fenũ
arui.tuautemdñeineternũpermaneset	arui . tu autem dñe in eternũ permanes et
memorialetuumingenerationem	memoriale tuum in generationem
etgenerationẽ.tuexurgensdñemisereberissyonquiatempus	et generationẽ . tu exurgens dñe misereberis syon quia tempus
miserendiejusquiavenittempus.qm̃placueruntservis	miserendi ejus quia venit tempus . qm̃ placuerunt servis
tuislapidesejuset	tuis lapides ejus et
terreejusmiserebuntur.et	terre ejus mi serebuntur . et
timebuntgentesnomẽtuum	timebunt gentes nomẽ tuum
dñeetomnesreges	dñe et omnes reges
terregloriamtuam.quiaedificavit	terre gloriam tuam . quia edificavit
dominussyonet	dominus syon et
videbit᷑ingl̃a	videbit᷑ in gl̃a
sua.respexitin	sua . respexit in
or̃onemhumiliumetnonsprevitprecẽeoꝝ	or̃onem humilium et non sprevit precẽ eoꝝ
.scribantur	. scribantur
hecingenerationealtera	hec in generatione altera
etpopulusquicreabit᷑.laudabitdñm.	et populus qui creabit᷑ . laudabit dñm .
quiaprospexitdeexcelsosc̃o	quia prospexit de excelso sc̃o
suodñsdecelointerrãaspexit.utaudiret	suo dñs de celo in terrã aspexit . ut audiret
gemituscompeditoꝝutsolveretfiliosinteremptorum.ut	gemitus compeditoꝝ ut solveret filios interemptorum . ut
annuntientinsyon	annuntient in syon
nomẽdñiet	nomẽ dñi et
laudemejusiniherusalem.in	laudem ejus in iherusalem . in
conveniẽdopopulosin	conveniẽ do populos in
unũetregesutserviantdño.respondit	unũ et reges ut serviant dño . respondit
eiinviavirtutissuepaucitatẽdierũmeoꝝnũtiamͥ	ei in via virtutis sue paucitatẽ dierũ meoꝝ nũtia mͥ
nerevocesme	ne revoces me
indimidiodierũmeoꝝingenerationemetgenerationẽannitui	in dimidio dierũ meoꝝ in generationem et generationẽ anni tui
.initiotu	. initio tu
dñeterramfundastietoperamanuũtuarũsuntceli	dñe terram fundasti et opera manuũ tuarũ sunt celi
.ipsiperibunttuautempermanesetomnessicutvestimentũ	. ipsi peribunt tu autem permanes et omnes sicut vestimentũ
veterascentetsicut	veterascent et sicut
opertoriummutabiseosetmutabuntur	opertorium mutabis eos et mutabuntur
tuautemidem	tu autem idem
ipseesetannituinondeficient.	ipse es et anni tui non deficient .
filiiservoꝝtuoꝝhabitabunt	filii servoꝝ tuoꝝ habitabunt
etsemeneoruminseculumdirigetur.Gloria.	et semen eorum in seculum dirigetur . Gloria .
domineexaudior̃onemmeametclamormeus	domine exaudi or̃onem meam et clamor meus
adteveniat.	ad te veniat .
nonavertasfaciemtuamamein	non avertas faciem tuam a me in
quacumquedietribulorinclinaad	quacumque die tribulor inclina ad
meauremtuam.inquacumquedieinvocavero	me aurem tuam . in quacumque die invocavero
tevelociter	te velociter
exaudime.quiadefeceruntsicutfumusdiesmei	exaudi me . quia defecerunt sicut fumus dies mei
etossamea	et ossa mea
sicutcremiumarueruntpercussussumutfenumetaruit	sicut cremium aruerunt percussus sum ut fenum et aruit
cormeumquiaoblitussumcomederepanemmeum	cor meum quia oblitus sum comedere panem meum
.avocegemitusmeiadhesitos	. a voce gemitus mei adhesit os
meumcarnimei.similisfactussumpellicanosolitudinisfactus	meum carni mei . similis factus sum pellicano solitudinis factus
sumsicutnicticorax	sum sicut nicticorax
indomicilio.vigilavietfactussum	in domicilio . vigilavi et factus sum
sicutpassersolitariusintecto.tota	sicut pas ser solitarius in tecto . tota
dieexprobrabantmihiinimicimeietquilaudabantmeadversũ	die exprobrabant mihi inimici mei et qui laudabant me adversũ
mejurabant	me jurabant
.quiacyneremtamquam	. quia cynerem tamquam
panemmanducabã⁊potũmeũcũfletumiscebamafacie	panem manducabã ⁊ potũ meũ cũ fletu miscebam a facie
ireetindignationistue	ire et indignationis tue
quiaelevansallisistime.diesmeisicutumbradeclinaverũt	quia elevans allisisti me . dies mei sicut umbra declinaverũt
etegosicutfenum	et ego sicut fenum
arui.tuautemdomineineternumpermanesetmemoriale	arui . tu autem domine in eternum permanes et memoriale
tuumingenerationemetgenerationem.tuexurgensdominemisereberis	tuum in generationem et generationem . tu exurgens domine misereberis
syonquiatempusmiserendiejus	syon quia tempus miserendi ejus
quiavenittempus	quia venit tempus
.quoniamplacuerunt	. quoniam placuerunt
servistuislapidesejus⁊terreejusmiserebuntur.et	servis tuis lapides ejus ⁊ terre ejus miserebuntur . et
timebuntgentesnomentuumdomine⁊omnes	timebunt gentes nomen tuum domine ⁊ omnes
regesterregloriamtuamquia	reges terre gloriam tuam quia
edificavitdominussyonetvidebituringloriasua.	edificavit dominus syon et videbitur in gloria sua .
respexitinorationemhumiliumetnonsprevitprecemeorum.	respexit in orationem humilium et non sprevit precem eorum .
scribanturhecingenerationealtera⁊populusquicreabitur	scribantur hec in generatione altera ⁊ populus qui creabitur
laudabitdñm.quiaprospexitdeexcelso	laudabit dñm . quia prospexit de excelso
sanctosuodominus	sancto suo dominus
decelointerramaspexitutaudiretgemituscompeditorumut	de celo in terram aspexit ut audiret gemitus compeditorum ut
solveretfiliosinterremptorum.utannuntientinsyon	solveret filios interremptorum . ut annuntient in syon
nomendominietlaudemejusiniherusalem.	nomen domini et laudem ejus in iherusalem .
inconveniendopopulosinunumetregesutserviantdomino	in conveniendo populos in unum et reges ut serviant domino
.responditeiinviavirtutis	. respondit ei in via virtutis
suepaucitatemdierum	sue paucitatem dierum
meorumnuntiamͥ.nerevocesmeindimidiodierum	meorum nuntia mͥ . ne revoces me in dimidio dierum
meorumingenerationemetgenerationemannitui	meorum in generationem et generationem anni tui
.initiotudomineterramfundasti	. initio tu domine terram fundasti
etoperamanuumtuarumsuntceli	et opera manuum tuarum sunt celi
.ipsiperibunttuautempermanesetomnessicut	. ipsi peribunt tu autem permanes et omnes sicut
vestimentumveterascentetsicutopertoriummutabiseosetmutabunturtu	vestimentum veterascent et sicut opertorium mutabis eos et mutabuntur tu
autemidemipseesetannituinondeficient.	autem idem ipse es et anni tui non deficient .
filiiservorumtuorumhabitabũtet	filii servorum tuorum habitabũt et
semeneoruminseculumdirigetur.	semen eorum in seculum dirigetur .
ps̃domineexaudior̃onemmeam.etclamor	ps̃ domine exaudi or̃onem meam . et clamor
meusadteveniatnonavertasfaciemtuãame	meus ad te veniat non avertas faciem tuã a me
inquacũqdietribulorinclinaadme	in quacũq die tribulor inclina ad me
aurẽtuaminquacumqdieinvocavero	aurẽ tuam in quacumq die invocavero
tevelociterexaudi	te velociter exaudi
me.quia	me . quia
defeceruntsicut	defecerunt sicut
fumusdiesmeietossa	fumus dies mei et ossa
measicutcremiumaruerũtpercussussumutfenumet	mea sicut cremium aruerũt percussus sum ut fenum et
etaruitcor	et aruit cor
meumquiaoblitussumcomederepanẽ	meum quia oblitus sum comedere panẽ
meumavocegemitusmeiadhesit	meum a voce gemitus mei adhesit
osmeumcarnimeesimilisfactussum	os meum carni mee similis factus sum
pellicanosolitudinisfactussumsicutniticoraxin	pellicano solitudinis factus sum sicut niticorax in
domiciliovigilaviet	domicilio vigilavi et
factussumsicutpassersolitariusintectototadieexprobrabant	factus sum sicut passer solitarius in tecto tota die exprobrabant
mimichiinimicimeietquilaudabant	mi michi inimici mei et qui laudabant
adversummejurabãtquiacineremtanꝙͣpanẽmanducabamet	adversum me jurabãt quia cinerem tanꝙͣ panẽ manducabam et
potummeũcum	potum meũ cum
fletumiscebamafacieireet	fletu miscebam a facie ire et
indignationistuequiaelevansallixistime	indignationis tue quia elevans allixisti me
