Stephanus,δ̄i	Stephanus , δ̄i
metaſp̃nominataſſicutdiviδit᷑uſq;aδtͣmitẽet	metaſp̃nominataſ ſicut diviδit᷑ uſq ; aδtͣmitẽ et
uttͣmestenditur	ut tͣmes tenditur
ṽſuſquantũipſaꝓcedit	ṽſuſ quantũ ipſa ꝓcedit
utFontenetenſeshabeant	ut Fontenetenſes habeant
diviſionequãfecerunt	diviſione quã fecerunt
homineſdeſtalentajurejuranδoꝓ	homineſ de ſtalenta jurejuranδo ꝓ
Ongiacenſib⁹ꝑlocaδet̃minata,ſcilicetꝑ	Ongiacenſib ⁹ ꝑ loca δet̃minata , ſcilicet ꝑ
caſtrũGrerecteuſq;aδcũbãTortefagi	caſtrũ Gre recte uſq ; aδ cũbã Tortefagi
quamfecerunt,	quam fecerunt ,
datoſacram̃to,tresp̃dictiviridudo,Rob̃t	dato ſacram̃to , tres p̃dicti viri dudo , Rob̃t
⁹,Hugo,ſcilicet	⁹, Hugo , ſcilicet
acũbaPevinꝑcumbamCorbunrecte	a cũba Pevin ꝑ cumbam Corbun recte
uſq;aδcumbãTortefagi.Ongiacenſeſ	uſq ; aδ cumbã Tortefagi . Ongiacenſeſ
etmonachiterciam	et monachi terciam
.Necp̃tereundũẽqd̃ſiOngiacenſeſg̃geſſuoſ	. Nec p̃tereundũ ẽ qd̃ ſi Ongiacenſeſ g̃geſ ſuoſ
vłarm̃taſeualiqͣ	vł arm̃ta ſeu aliqͣ
pecoraꝑfaiſũſc̃eReginęaδdeſertũCaſſenetiducere	pecora ꝑ faiſũ ſc̃e Reginę aδ deſertũ Caſſeneti ducere
faciant.Tand̃e	faciant . Tand̃e
,dilectiſſimi,voſmonem⁹etmonenteſp̃cam᷑uthanc	, dilectiſſimi , voſ monem ⁹ et monenteſp̃cam᷑ ut hanc
pacẽcuſtodiatiſ,voſtalesinvicẽexibeatisne	pacẽ cuſtodiatiſ , voſ tales invicẽ exibeatis ne
ꝓt̃ralitiganδoδ̃mvr̃moffendatiſ	ꝓ t̃ra litiganδo δ̃m vr̃m offendatiſ
,ſ;caritatiſ	, ſ ; caritatiſ
vincłoſicſitiſconexiutleoqͥrugitq̃renſquẽ	vincło ſic ſitiſ conexi ut leo qͥ rugit q̃renſ quẽ
δevoretvoſſeparare	δevoret voſ ſeparare
ñpoſſit.Querelaquędiuextiteratinter	ñ poſſit . Querela quę diu extiterat inter
Franci,Juviniaci⁊	Franci , Juviniaci ⁊
AganoFlaviniacenſiſetVuillermuſ	Agano Flaviniacenſiſ et Vuillermuſ
Fontenetenſiſ—conſiliodõniObertiprioriſ	Fontenetenſiſ — conſilio dõni Oberti prioriſ
ſc̃iſimphoriani⁊Teobaudimilitiſ	ſc̃i ſimphoriani ⁊ Teobaudi militiſ
deGriſineto	de Griſineto
⁊aliorũtammonachorũ	⁊ aliorũ tam monachorũ
quãlaicorũqͥnoncõmuneſſed	quã laicorũ qͥ non cõmuneſ ſed
velhincvelindeerant—quoδidemabbaſVuillermuſ	vel hinc vel inde erant — quoδ idem abbaſ Vuillermuſ
cũſuiſiretillucſecũq;duceretexſuaparte	cũ ſuiſ iret illuc ſecũq ; duceret ex ſua parte
aliaquoq;parteiretillucexpreceptopredictiabbatiſ	alia quoq ; parte iret illuc ex precepto predicti abbatiſ
Aganoniſdõn⁹Vuido	Aganoniſ dõn ⁹ Vuido
ſimilit̃p̃dictoꝝ	ſimilit̃ p̃dictoꝝ
exutraq;	ex utraq ;
parteadvenientiũp̃ſentiaquerele	parte advenientiũ p̃ſentia querele
partiret᷑calũpnia.	partiret᷑ calũpnia .
Preſtitutaigit᷑dieutdictũfuerat	Preſtituta igit᷑ die ut dictũ fuerat
utrinq;advenienteſ	utrinq ; advenienteſ
,incipienteſacapitecũbequęeſtinterVillare⁊	, incipienteſ a capite cũbe quę eſt inter Villare ⁊
cũbeFilo⁊tendenteſjuſũverſuſdeſignaver̃tloca	cũbe Filo ⁊ tendenteſ juſũ verſuſ deſignaver̃t loca
demonſtrantquantũexillapartefineſutrinq;durabant.	demonſtrant quantũ ex illa parte fineſ utrinq ; durabant .
ExalteraveroparteſuſũJuviniacũverſ	Ex altera vero parte ſuſũ Juviniacũ verſ
⁹,nichilomin⁹deſignaver̃tlocauſq;adcũbã	⁹, nichilomin ⁹ deſignaver̃t loca uſq ; ad cũbã
Rivenxunſic̃⁊	Rivenxun ſic̃ ⁊
illicpoſitelapideemetedemonſtrant.Ipſã	illic poſite lapidee mete demonſtrant . Ipſã
vͦcũbãRivenxun	vͦ cũbã Rivenxun
partitiſt̃	partiti ſt̃
ꝑmediũitautneutͣparſſine	ꝑ mediũ ita ut neutͣ parſ ſine
alteraqͥcquãibiedificarepoſſitquantũſcilic&eorũdẽ	altera qͥcquã ibi edificare poſſit quantũ ſcilic & eorũdẽ
:Henric⁹	: Henric ⁹
deEſcaloio⁊xp̃ian⁹fili⁹ej⁹,Girard	de Eſcaloio ⁊ xp̃ian ⁹ fili ⁹ ej ⁹, Girard
⁹deLiri	⁹ de Liri
,Rob̃t⁹deMelicſun,	, Rob̃t ⁹ de Melicſun ,
Conſtanti⁹dePalu,Petr⁹avuncul⁹	Conſtanti ⁹ de Palu , Petr ⁹ avuncul ⁹
PetriMajorelli;expartedõniVuidoniſ	Petri Majorelli ; ex parte dõni Vuidoniſ
:Petr⁹p̃ſbit̃deCancelliſ,Hulduinuſ	: Petr ⁹ p̃ſbit̃ de Cancelliſ , Hulduinuſ
Vuidoniſ,Hunb̃t⁹fili⁹	Vuidoniſ , Hunb̃t ⁹ fili ⁹
ej⁹,OdodePeleri,Girard⁹fili	ej ⁹, Odo de Peleri , Girard ⁹ fili
egoAgano,d̃igrãFlaviniacenſiſabbaſ	ego Agano , d̃i grã Flaviniacenſiſ abbaſ
,⁊univerſũcapłmnr̃minfeſtoſc̃ip̃jectimr̃iſ	,⁊ univerſũ capłm nr̃m in feſto ſc̃i p̃jecti mr̃iſ
,poſtulanteabbateVuillelmo⁊fr̃ibuſqͥſecũ	, poſtulante abbate Vuillelmo ⁊ fr̃ibuſqͥ ſecũ
aderant,Vuillelmo⁊	aderant , Vuillelmo ⁊
incapło⁊laudaver̃theſt̃:Odopͥor	in capło ⁊ laudaver̃t he ſt̃ : Odo pͥor
,Giſleri⁹ſubpͥor,Teobaud⁹cantor	, Giſleri ⁹ ſubpͥor , Teobaud ⁹ cantor
,Gaufrid⁹cellerariuſ,	, Gaufrid ⁹ cellerariuſ ,
Girard⁹decan⁹,p̃dict⁹Vuidode	Girard ⁹ decan ⁹, p̃dict ⁹ Vuido de
ſinemurenſiſpͥor.&uthocratũfirmũq	ſinemurenſiſ pͥor .& ut hoc ratũ firmũq
,egoAgano	, ego Agano
,d̃igrãutdictũẽFlaviniacenſiſ	, d̃i grã ut dictũ ẽ Flaviniacenſiſ
abbaſ,appoſitione	abbaſ , appoſitione
ſigillinr̃iconfirmo	ſigilli nr̃i confirmo
hęcom̃ia	hęc om̃ia
,int̃minanſſubanathemateneqͥſdenr̃iſęccłęFonteneti	, int̃minanſ ſub anathemate ne qͥſ de nr̃iſ ęccłę Fonteneti
ſcient̃indeinjuriãfacereaut	ſcient̃ inde injuriã facere aut
temerariaeãvecxationefatigarep̃ſumat.	temeraria eã vecxatione fatigare p̃ſumat .
Agnes,δei	Agnes , δei
grãPuteiUrbisabbatiſſa	grã Putei Urbis abbatiſſa
,FontenetenſiscenobiiabbatiWillelmoejuſdemq;locireverenδecongregationi	, Fontenetenſis cenobii abbati Willelmo ejuſdemq ; loci reverenδe congregationi
om̃sęccłęqueunaſuntmutua	om̃s ęccłę que una ſunt mutua
ſeetveraefficaciq;caritateδiligereδebeant	ſe et vera efficaciq ; caritate δiligere δebeant
,tumillemaximequelocorumvicinitatejungunturorδinecaritatiſ	, tum ille maxime que locorum vicinitate junguntur orδine caritatiſ
itaexigentequi	ita exigente qui
rationisdivineq;legisjureꝓpinquoſquam	rationis divineq ; legis jure ꝓpinquoſ quam
longinquos,notoſqͣm	longinquos , notoſqͣm
ignotos,δomeſticosquãextraneoſ	ignotos , δomeſticos quã extraneoſ
,δevotiusteneriuſq	, δevotius teneriuſq
;δiligenδosipſorerũeffectuδecernit	; δiligenδos ipſo rerũ effectu δecernit
.Unδeego	. Unδe ego
etuniverſitatis	et univerſitatis
iδẽvobiſ⁊om̃ib;ſucceſſoribuſvr̃isinꝑpetuumconceſſimus	iδẽ vobiſ ⁊ om̃ib ; ſucceſſoribuſ vr̃is in ꝑpetuum conceſſimus
vineametpͣtumquinq;autqͣtuorcarrarum	vineam et pͣtum quinq ; aut qͣtuor carrarum
quejuxtavillamFaniumhabebamus,que	que juxta villam Fanium habebamus , que
cauſaErmengarδis,filieHugonisδe	cauſa Ermengarδis , filie Hugonis δe
Corraboionobiscollatafuerant.Hocſicut	Corraboio nobis collata fuerant . Hoc ſicut
p̃δiximusconceſſitet	p̃δiximus conceſſit et
lauδavituniverſitasnr̃a,ſeδaliqͣrumnominaaδmajorem	lauδavit univerſitas nr̃a , ſeδ aliqͣrum nomina aδ majorem
certituδinẽδuximusexpͥmenδa:	certituδinẽ δuximus expͥmenδa :
Eglentinapͥoriſſa,Margaritaſubpͥoriſſa,Gertruδis	Eglentina pͥoriſſa , Margarita ſubpͥoriſſa , Gertruδis
p̃centrix,Aδelinaneptisnr̃a,p̃δictaErmengarδis	p̃centrix , Aδelina neptis nr̃a , p̃δicta Ermengarδis
.Actumin	. Actum in
capitulonr̃o,quartotoiδusapͥlis,annoab	capitulo nr̃o , quarto to iδus apͥlis , anno ab
incarnationeδñimillſimocenteſimoquinqͣgeſimopͥmo;p̃ſentib;vobis	incarnatione δñi millſimo centeſimo quinqͣgeſimo pͥmo ; p̃ſentib ; vobis
,quiethoc	, qui et hoc
ſuſcepiſtisveneranδeabbaWillelmeetmonachisvr̃isWillelmo,qui	ſuſcepiſtis veneranδe abba Willelme et monachis vr̃is Willelmo , qui
fuitabbasſcarleiarum,etBernarδo	fuit abbas ſcarleiarum , et Bernarδo
Sarmeio,etHugone	Sarmeio , et Hugone
,jamδictęErmengarδisfr̃e,etHaimone	, jamδictę Ermengarδis fr̃e , et Haimone
,capellanonr̃o.Vos	, capellano nr̃o . Vos
autem,hacδecauſa,octolibras	autem , hac δe cauſa , octo libras
ꝓvenienſismonetenobiscontuliſtis	ꝓvenienſis monete nobis contuliſtis
etſepeδicteErmengarδimantellumetpelliciametbotas.Ego	et ſepeδicte Ermengarδi mantellum et pelliciam et botas . Ego
vero,aδteſtimonium&confirmationemſigilli	vero , aδ teſtimonium & confirmationem ſigilli
nr̃iauctoritatemapponens,quantapoſſumanathematis	nr̃i auctoritatem apponens , quanta poſſum anathematis
animaδverſioneint̃dicone	animaδverſione int̃dico ne
quaumquamaδnosꝑtinens	qua umquam aδ nos ꝑtinens
ꝑſonaullãiñvobiſinferreinjuriamp̃ſumat.Ego	ꝑſona ullã iñ vobiſ inferre injuriam p̃ſumat . Ego
Steph̃s,	Steph̃s ,
Regniaciabbas	Regniaci abbas
,⁊egoArmannus,Eδuenſisarchiδiacon	,⁊ ego Armannus , Eδuenſis archiδiacon
poſteroꝝqδ̃inp̃ſentianr̃at̃minataẽquerelaqueerat	poſteroꝝ qδ̃ in p̃ſentia nr̃a t̃minata ẽ querela que erat
Ob̃tuscalũpniãδicens	Ob̃tus calũpniã δicens
t̃rasqͣs	t̃ras qͣs
monachihabebantaWiłłmoδeFraxinoδebere	monachi habebant a Wiłłmo δe Fraxino δebere
eẽδeaſam̃toſuo,	eẽ δe aſam̃to ſuo ,
qδ̃monachiecontͣnegabant.Nos	qδ̃ monachi econtͣ negabant . Nos
cũvenientesauδitiſutͥuſq;partiſ	cũvenientes auδitiſ utͥuſq ; partiſ
allegationib;,fecim⁹juδiciũqδ̃	allegationib ;, fecim ⁹ juδiciũ qδ̃
parſutraq;lauδavit.Cuj⁹	parſ utraq ; lauδavit . Cuj ⁹
juδiciiexequtionefacta,liberepoſſeδeruntmonachit̃rascalũpniataſ,	juδicii exequtione facta , libere poſſeδerunt monachi t̃ras calũpniataſ ,
Ibiδ̃recognitũfuitqδ̃Wiłłm⁹δeFraxinounũ	Ibiδ̃ recognitũ fuit qδ̃ Wiłłm ⁹ δe Fraxino unũ
tantũmͦpͣtũtenueratδecaſam̃toOb̃ti,qδ̃ſtatimmonachi	tantũmͦ pͣtũ tenuerat δe caſam̃to Ob̃ti , qδ̃ ſtatim monachi
nͥaſſenſuOb̃ti.Finitaitaq;9tͦverſiaδe	nͥ aſſenſu Ob̃ti . Finita itaq ; 9tͦverſia δe
omnib;quecalũpniabat᷑Obert⁹,fecim⁹pacẽ	omnib ; que calũpniabat᷑ Obert ⁹, fecim ⁹ pacẽ
int̃monachos⁊Ob̃tũδeδecimisMorville⁊	int̃ monachos ⁊ Ob̃tũ δe δecimis Morville ⁊
Aringiarũ;⁊9ceſſitOb̃tuſeccłieFonteñt̃utin	Aringiarũ ;⁊ 9ceſſit Ob̃tuſ eccłie Fonteñ t̃ ut in
ꝑpetuũδecimasñδaretinillisgͣngiisn\	ꝑpetuũ δecimas ñ δaret in illis gͣngiis n \
cſibin\chereδiſuo	c ſibi n \ c hereδi ſuo
.Habuitaut̃δebñficioeccłieLXtalibras	. Habuit aut̃ δe bñficio eccłie LXta libras
⁊fiδeſuafirmavithecomniaſe	⁊ fiδe ſua firmavit hec omnia ſe
fiδelit̃ſervaturũFonteñ	fiδelit̃ ſervaturũ Fonteñ
eccłie.Huj⁹reiteſtesſuntHumb̃tus,	eccłie . Huj ⁹ rei teſtes ſunt Humb̃tus ,
δecan⁹Lingoñ,Durann	δecan ⁹ Lingoñ , Durann
⁹Runche,RainarδusδñsRubeiMontis,Rainauδ	⁹ Runche , Rainarδus δñs Rubei Montis , Rainauδ
⁹vicecomeſ,HugoCathins,frat̃ejus,Teobauδ	⁹ vicecomeſ , Hugo Cathins , frat̃ ejus , Teobauδ
⁹δegͥſini,	⁹ δe gͥſini ,
Ulδeeri⁹δeBirre,Rainauδ⁹major	Ulδeeri ⁹ δe Birre , Rainauδ ⁹ major
Tullionis,PetrusmajorδeFraxino,OδoδeWillenetis	Tullionis , Petrus major δe Fraxino , Oδo δe Willenetis
.Hoctotũlauδavitδña	. Hoc totũ lauδavit δña
Nurria,uxorOb̃ti	Nurria , uxor Ob̃ti
,⁊filieej⁹Materia⁊Bonamia	,⁊ filie ej ⁹ Materia ⁊ Bonamia
⁹Lingoñ⁊δurann⁹	⁹ Lingoñ ⁊ δurann ⁹
Rufus,Hugo	Rufus , Hugo
