tandus.si	tandus . si
.⁊tũcsufficienticautionerecepta.qd̃	. ⁊ tũc sufficienti cautione recepta . qd̃
corãeoadquẽextit̃itappellatum:ul̃delegato	corã eo ad quẽ extit̃it appellatum : ul̃ delegato
abip̃o.	ab ip̃o .
iuripareatexcõicatũabsoluat.sicq;penep̃scripteminime	iuri pareat excõicatũ absoluat . sicq; pene p̃scripte minime
subiacebit.cauensomninoneuolũtate	subiacebit . cauens omnino ne uolũtate
ꝑũsaĩalt̃iusp̃iudiciũm̃tiaturerrorẽ.	ꝑũsa ĩ alt̃ius p̃iudiciũ m̃tiatur errorẽ .
sidistͥctioniscanonice	si distͥctionis canonice
uulteffug̃edisciplinam.	uult effug̃e disciplinam .
DemodorecusandiiudicemDumsp̃alisit	De modo recusandi iudicem Dum sp̃ali sit
ꝓhibitioneꝓuisum.nequisĩaliquẽ	ꝓhibitione ꝓuisum . ne quis ĩ aliquẽ
excõicatõissententiãnͥꝮpetentiꝮmonitõnep̃missa.ꝓmulgarep̃sumat:	excõicatõis sententiã nͥ Ꝯpetenti Ꝯmonitõne p̃missa . ꝓmulgare p̃sumat :
uolentesetiãꝓuid̃e.ne	uolentes etiã ꝓuid̃e . ne
forteꝮmonit᷒frustratorierecusationisl̃appellatõnisobiectu:monentisdeclinare	forte Ꝯmonit᷒ frustratorie recusationis l̃ appellatõnis obiectu : monentis declinare
possitexamen:statuim᷒.qd̃siallegauerit.	possit examen : statuim᷒ . qd̃ si allegauerit .
seiudicẽ	se iudicẽ
hr̃esuspectũ	hr̃e suspectũ
.corãeodẽcausãsuspicionisiusteassignet.⁊	. corã eodẽ causã suspicionis iuste assignet . ⁊
ip̃ecũadũsario.	ip̃e cũ adũsario .
ul̃siadũsariũ	ul̃ si adũsariũ
forteñh̃t:cumiudicearbitͦscõmunit̃eligat.	forte ñ h̃t : cum iudice arbitͦs cõmunit̃ eligat .
autsiꝮmuniterꝮuenireñpossunt:	aut si Ꝯmuniter Ꝯuenire ñ possunt :
eligantabsq;malitia	eligant absq; malitia
.ip̃eunũ	. ip̃e unũ
.⁊illealium	. ⁊ ille alium
.qͥdesuspicioniscausacognoscant.Et	. qͥ de suspicionis causa cognoscant . Et
sineqͥuerĩtĩunãconcordaresententiã:aduocent	si neqͥuerĩt ĩ unã concordare sententiã : aduocent
t̃cium.utquodduoex	t̃cium . ut quod duo ex
ip̃isdecreũint:roburobtineatfirmitatis	ip̃is decreũint : robur obtineat firmitatis
.sciantq;seadidfidelit̃exeq̃ndũ.ex	. sciantq; se ad id fidelit̃ exeq̃ndũ . ex
ĩiunctonoƀinuintute	ĩiuncto noƀ in uintute
obedientie.subobtestationediuiniiudiciidistrictop̄ceptoteñi.	obedientie . sub obtestatione diuini iudicii districto p̄cepto teñi .
causauõsuspicionislegitima.coramip̃is	causa uõ suspicionis legitima . coram ip̃is
infracõpetentẽt̃minũñꝓbata:suaiuridcõneiudex	infra cõpetentẽ t̃minũ ñ ꝓbata : sua iuridcõne iudex
utatur.atip̃aꝓbatalegitime	utatur . at ip̃a ꝓbata legitime
.derecusatoris	. de recusatoris
assensu.ꝑsoneydoneeꝮmittatnegotiũrecusat᷒.	assensu . ꝑsone ydonee Ꝯmittat negotiũ recusat᷒ .
ul̃adsuꝑiorẽtransmittat	ul̃ ad suꝑiorẽ transmittat
.uͭĩeoip̃eꝓcedat.scd̃mꝙ	. uͭ ĩ eo ip̃e ꝓcedat . scd̃m ꝙ
fũitꝓcedendũ.porroexꝮmunicatoad	fũit ꝓcedendũ . porro exꝮmunicato ad
appellatõnisobstacl̃mcõuolante.siei᷒excessuseiudentia	appellatõnis obstacl̃m cõuolante . si ei᷒ excessus eiudentia
reiul̃ip̃iusꝮfessione.l̃	rei ul̃ ip̃ius Ꝯfessione . l̃
aliomodolegitimefũitmanifestus:cumappellationisremediũ	alio modo legitime fũit manifestus : cum appellationis remediũ
ñsitaddefensionemĩiquitatis.s;p̃sidiumĩnocentie	ñ sit ad defensionem ĩiquitatis . s; p̃sidium ĩnocentie
ĩstitutũ:ñẽꝓuocationih᷒ideferendũ.Excessu	ĩstitutũ : ñ ẽ ꝓuocationi h᷒i deferendũ . Excessu
qͦq;dubioexistente.nefriuoleappellationisdiffugio	qͦq; dubio existente . ne friuole appellationis diffugio
appelansiuidicisꝓcessũimpediat.corã	appelans iuidicis ꝓcessũ impediat . corã
eodemꝓbabilẽ	eodem ꝓbabilẽ
causãappellationisexponat.	causã appellationis exponat .
talemuidelicet.	talem uidelicet .
q̃siforet	q̃ si foret
ꝓbata:posset	ꝓbata : posset
legitimareputari⁊sitc̃habueritadũsarũinfrat̃minumsecl̃m	legitima reputari ⁊ si tc̃ habuerit adũsarũ infra t̃minum secl̃m
locoꝝdistantiã⁊tẽporisqͣlitatem	locoꝝ distantiã ⁊ tẽporis qͣlitatem
⁊nat᷑amnegotii	⁊ nat᷑am negotii
.abeodẽiudicemod̃and̃appellatõneint̃positaꝓsequat᷑.	. ab eodẽ iudice mod̃and̃ appellatõne int̃posita ꝓsequat᷑ .
qͣmsiꝓsequi	qͣm si ꝓ sequi
ñcuraũit:extc̃.ip̃eiudexñobstãte	ñ curaũit : ex tc̃ . ip̃e iudex ñ obstãte
ꝓcedat.	ꝓcedat .
nulloaũ	nullo aũ
adũsarioꝮparente.cum	adũsario Ꝯparente . cum
iudexexsuoofficio	iudex ex suo officio
ꝓceditappellationiscausacorã	ꝓcedit appellationis causa corã
suꝑioreꝓbata:	suꝑiore ꝓbata :
sr̃iorsueiuridc̃onisoffm̃exeqͣtur.sz⁊	sr̃ior sue iuridc̃onis offm̃ exeqͣtur . sz ⁊
siappellansĩei᷒ꝓbationedefec̃it:adeũa	si appellans ĩ ei᷒ ꝓbatione defec̃it : ad eũ a
qͦip̃mmalitioseappellasseꝮstit̃it:reũtat᷑.cet̃m.	qͦ ip̃m malitiose appellasse Ꝯstit̃it : reũtat᷑ . cet̃m .
hasduasꝮstitutiones	has duas Ꝯstitutiones
p̃missas.	p̃missas .
nolum᷒adregularesextendi	nolum᷒ ad regulares extendi
Ꝯtͣsuasobseruantias	Ꝯtͣ suas obseruantias
sp̃ales.Depena	sp̃ales . De pena
excõicatõnisiniusteint̃minatõnediuini	excõicatõnis in iuste in t̃minatõne diuini
iudiciipenitusint̃dicim᷒.	iudicii penitus int̃dicim᷒ .
necausacupiditatisullusaudeat	ne causa cupiditatis ullus audeat
excõicatõisuincl̃oaliꝗ̃ĩnodare	excõicatõis uincl̃o aliꝗ̃ ĩnodare
.l̃absolũeĩnodatum:	. l̃ absolũe ĩnodatum :
inillismaxime	in illis maxime
regionib;ĩ	regionib; ĩ
quib;exꝮsuetudine	quib; ex Ꝯsuetudine
cũexcõicat᷒absoluit᷑pecuniariapenamulctant᷑.statuentes	cũ excõicat᷒ absoluit᷑ pecuniaria pena mulctant᷑ . statuentes
uͭcũexcommunicatõis	uͭ cũ excommunicatõis
sententiãĩiustã	sententiã ĩiustã
fuisseꝮstit̃it.excõicatorad	fuisse Ꝯstit̃it . excõicator ad
restituendãpecuniãsicextortã.per.cen.	restituendã pecuniã sic ex tortã . per . cen .
ec.cõpellat᷑.⁊nͥfũitꝓbabili	ec. cõpellat᷑ . ⁊ nͥ fũit ꝓbabili
exroredecept᷒.tm̃demĩiuriãpasso	exrore decept᷒ . tm̃dem ĩiuriã passo
ꝑsoluat.⁊siforte	ꝑsoluat . ⁊ si forte
soluendoñfũit.aĩadũsionealiicastiget᷑.	soluendo ñ fũit . aĩadũsione alii castiget᷑ .
DerestͥctaꝓhibitioneNon	De restͥcta ꝓhibitione Non
debetrep̃hensibile	debet rep̃hensibile
matͥmoniiudicari.si	matͥmoni iudicari . si
scd̃muarietatẽtẽpoꝝstatutaquoq;uariant᷑humana.p̃sertim	scd̃m uarietatẽ tẽpoꝝ statuta quoq; uariant᷑ humana . p̃sertim
cũurgẽsnecc̃itas.l̃	cũ urgẽs necc̃itas . l̃
euidẽsutilitas	euidẽs utilitas
idexposcat.qñ	id exposcat . qñ
ip̃ed̃sexhiisq̃ĩ	ip̃e d̃s ex hiis q̃ ĩ
uet̃.t̃	uet̃ . t̃
.statuerat:ñnullamutauitĩ	. statuerat : ñ nulla mutauit ĩ
nouo.cũgͦ	nouo . cũ gͦ
ꝓhibitionesdeꝮiugioĩscd̃o⁊tͥcioaffinitatisgeñe.	ꝓhibitiones de Ꝯiugio ĩ scd̃o ⁊ tͥcio affinitatis geñe .
minimeꝮtͣhendo	minime Ꝯtͣhendo
:⁊desobolesuscepta.ex	: ⁊ de sobole suscepta . ex
scd̃isnuptiis.cognationiuiri	scd̃is nuptiis . cognationi uiri
ñcopulanda.pͥorisdifficultatẽfreq̃nt̃ĩducant.⁊	ñ copulanda . pͥoris difficultatẽ freq̃nt̃ ĩducant . ⁊
aliq̃nꝑiculumꝑiantaĩarum.	aliq̃n ꝑiculum ꝑiant aĩarum .
utcessanteꝓhibitione.cesseteffect᷒:Ꝯstitutõessr̃ḣ	ut cessante ꝓhibitione . cesset effect᷒ : Ꝯstitutões sr̃ ḣ
editas.sacricõꝓbatõecõciliireuocantes:p̃senticõstitutõne	editas . sacri cõꝓbatõe cõcilii reuocantes : p̃senti cõstitutõne
det̃nim᷒.ut	det̃nim᷒ . ut
siccontͣhentes	sic contͣhentes
.decet̃olib̃ecopl̃ent᷑.	. de cet̃o lib̃e copl̃ent᷑ .
ꝓhibitioquoq;copulecõiugal̃	ꝓhibitio quoq; copule cõiugal̃
.qͣrtumꝮsanguinitatis⁊	. qͣrtum Ꝯsanguinitatis ⁊
affinitatisgradũñexcedat.q̃mĩult̃iorib;gradib;	affinitatis gradũ ñ excedat . q̃m ĩ ult̃iorib; gradib;
iãñpot̃absq;graui	iã ñ pot̃ absq; graui
dispensiohui᷒ꝓhibitioobseruari:Quat̃nari᷒	dispensio hui᷒ ꝓhibitio obseruari : Quat̃nari᷒
enimnum̃usbñꝮgruitꝓhibitioniꝮiugiicorporal̃.de	enim num̃us bñ Ꝯgruit ꝓhibitioni Ꝯiugii corporal̃ . de
quodic̃apl̃c	quo dic̃ apl̃c
.ꝙuirñh̃t	. ꝙ uir ñ h̃t
potestatẽsuicorporis.sedmulier.neq;mulierh̃t	potestatẽ sui corporis . sed mulier . neq; mulier h̃t
potestatẽsuicorporis.s;uir	potestatẽ sui corporis . s; uir
.Quia.iiiiͦ.sũthumoreᷤ	. Quia . iiiiͦ . sũt humoreᷤ
ĩcorpore.ꝙꝮstatex	ĩ corpore . ꝙ Ꝯstat ex
qͣtuorelem̃tis.	qͣtuor elem̃tis .
cũergoiamusq;adqͣrtũgradũꝓhibitõꝮiugal̃	cũ ergo iam usq; ad qͣrtũ gradũ ꝓhibitõ Ꝯiugal̃
copulesitrestricta:	copule sit restricta :
eamuolum᷒itaeẽ	eam uolum᷒ ita eẽ
ꝑpetuã.ñobstantib;Ꝯsultationib;suꝑhocdudũeditis	ꝑpetuã . ñ obstantib; Ꝯsultationib; suꝑ hoc dudũ editis
.uelabaliis.ul̃a	. uel ab aliis . ul̃ a
noƀ:utsiquis	noƀ : ut siquis
Ꝯtraꝓhibitionemhui᷒modip̃sumpserit	Ꝯtra ꝓhibitionem hui᷒modi p̃sumpserit
copularinll̃alonginqͥtatedefendat᷑annoꝝ.c̃	copulari nll̃a longinqͥtate defendat᷑ annoꝝ . c̃
qͥdemdiuturnitastemporis	qͥdem diuturnitas temporis
ñminuatpecc̃m.s;augeat.tantoq;	ñ minuat pecc̃m . s; augeat . tantoq;
gͥuiorasĩtcrimina:qͣntodiuti᷒.infelicẽaĩam	gͥuiora sĩt crimina : qͣnto diuti᷒ . infelicẽ aĩam
tenuerintalligatam	tenuerint alligatam
destͥnamatrimonia	destͥna matrimonia
DepenaꝮtͣhentiumclamumĩhibitio	De pena Ꝯtͣhentium clamum ĩhibitio
copuleꝮiugal̃sitintribus	copule Ꝯiugal̃ sit in tribus
ultimisgradib;reuocata:eamuolum᷒ĩ	ultimis gradib; reuocata : eam uolum᷒ ĩ
aliisdistricteseruari	aliis districte seruari
.uñp̃decessorũ	. uñ p̃decessorũ
nr̃oꝝinherendouestigiis.clamdestinaꝮiugiapenit᷒inhibemus.	nr̃oꝝ inherendo uestigiis . clamdestina Ꝯiugia penit᷒ inhibemus .
ꝓhibẽtesetiã.ne	ꝓhibẽtes etiã . ne
quissacerdostalib̃int̃eẽ	quis sacerdos talib̃ int̃ eẽ
p̃sumat.qͣre	p̃sumat . qͣre
sp̃alemquoꝝdãlocoꝝꝮsuetudinẽ.adaliagñal̃r	sp̃alem quoꝝdã locoꝝ Ꝯsuetudinẽ . ad alia gñal̃r
ꝓrogando.statuimusuͭcũmatrimonia	ꝓrogando . statuimus uͭ cũ matrimonia
fũintꝮtͣhenda:ĩeccl̃iisꝑp̃sbit̃ospubliceꝓponat᷑	fũint Ꝯtͣhenda : ĩ eccl̃iis ꝑ p̃sbit̃os publice ꝓponat᷑
.cõpetẽtit̃minop̃finito	. cõpetẽti t̃mino p̃finito
.utinfrcaillũ:quiuoluerit	. ut infrca illũ : qui uoluerit
⁊ualuerit:legittimũimpedim̃tum	⁊ ualuerit : legittimũ impedim̃tum
opponat.⁊ip̃i	opponat . ⁊ ip̃i
p̃sbit̃inich̃omin᷒	p̃sbit̃i nich̃omin᷒
ĩuestigentutrũaliqd̃impedim̃tũobsistat.cum	ĩuestigent utrũ aliqd̃ impedim̃tũ obsistat . cum
gͦꝓbabilis	gͦ ꝓbabilis
apparueritcõtecta:statuimusuttales	apparuerit cõtecta : statuimus ut tales
ꝑprelatos	ꝑ prelatos
eccͣrumabobseruantiauet̃is	eccͣrum ab obseruantia uet̃is
rituscompeseant᷑.utquosxp̃ianereligionilibereuoluntatis	ritus compeseant᷑ . ut quos xp̃iane religioni libere uoluntatis
arbitͥumobtulit	arbitͥum obtulit
.salutiferecoactionisnecc̃itasĩeiusobseruatione	. salutifere coactionis necc̃itas ĩ eius obseruatione
Ꝯseruet.cumminusmalũexistatuiamdominiñ	Ꝯseruet . cum minus malũ existat uiam domini ñ
agnosc̃e.qͣmagnitã:retroire	agnosc̃e . qͣm agnitã : retroire
proliberationesc̃eterre.adlib̃andumsc̃amt̃̄ramde	pro liberatione sc̃e terre . ad lib̃andum sc̃am t̃̄ram de
manib᷒impioꝝ:ardentidesiderioaspirantes:deprudentũuiroꝝ	manib᷒ impioꝝ : ardenti desiderio aspirantes : de prudentũ uiroꝝ
quiplenenoueruntcͥcumstantiastempoꝝ⁊locoꝝ	qui plene nouerunt cͥcumstantias tempoꝝ ⁊ locoꝝ
sacͦapprobanteꝮsiliodiffininim᷒.utitacrucesignati	sacͦ approbante Ꝯsilio diffininim᷒ . ut ita cruce signati
sep̃parent:qd̃inkl̃.uiniiseq̃ntis	se p̃parent : qd̃ in kl̃ . uinii seq̃ntis
p᷒ꝓximum.om̃sqͥdisposuer̃ttͣnsireꝑmare:	p᷒ ꝓximum . om̃s qͥ disposuer̃t tͣnsire ꝑ mare :
cõueniantĩregnũsiciliealii	cõueniant ĩ regnũ sicilie alii
sicutopportuerit.⁊decuerit.apud	sicut opportuerit . ⁊ decuerit . apud
brundusiũ.⁊alii	brundusiũ . ⁊ alii
apudmessanam.⁊partesutrobiq;uicinas.ubi	apud messanam . ⁊ partes utrobiq; uicinas . ubi
⁊nosdisponente	⁊ nos disponente
dñodisposuim᷒ꝑsonal̃rtc̃adeẽ.qͣtinusconsilio	dño disposuim᷒ ꝑsonal̃r tc̃ ad eẽ . qͣtinus consilio
⁊auxilio:ex̃citusxp̃ianus	⁊ auxilio : ex̃citus xp̃ianus
salubrit̃ordinet᷑.cũbenedictionediuina⁊apl̃icaꝓfecturus.	salubrit̃ ordinet᷑ . cũ benedictione diuina ⁊ apl̃ica ꝓfecturus .
adeundẽquoq;t̃minũsestudeantp̃parare:quiꝓposuerũt	ad eundẽ quoq; t̃minũ se studeant p̃parare : qui ꝓposuerũt
ꝓficisciꝑt̃ram.significaturi	ꝓficisci ꝑ t̃ram . significaturi
ḣint̃imnob̃.uteisadauxilium⁊	ḣ int̃im nob̃ . ut eis ad auxilium ⁊
Ꝯsiliũopportunũ.legatumdenr̃olat̃eidoneumconcedam᷒	Ꝯsiliũ opportunũ . legatum de nr̃o lat̃e idoneum concedam᷒
.sac̃dotes	. sac̃dotes
aut̃⁊clerici	aut̃ ⁊ clerici
quifuerĩtĩ	qui fuerĩt ĩ
ex̃cituxp̃ianotamsubditiquamp̃lati	ex̃citu xp̃iano tam subditi quam p̃lati
or̃oni⁊exhortationidiligent̃insistant	or̃oni ⁊ exhortationi diligent̃ insistant
docenteseosũbopariter⁊exemplo.uttimorẽ⁊	docentes eos ũbo pariter ⁊ exemplo . ut timorẽ ⁊
amorẽdiuinũsemperhabeantañoculos	amorẽ diuinũ semper habeant añ oculos
.neqͥddicãtautfaciant.ꝙdiuinã	. ne qͥd dicãt aut faciant . ꝙ diuinã
maiestatẽoffendat.	maiestatẽ offendat .
Etsialiquandolapsifuerintĩpecc̃mꝑ	Et si aliquando lapsi fuerint ĩ pecc̃m ꝑ
uerampenitentiãmoxresurgantgerenteshumilitatẽ	ueram penitentiã mox resurgant gerentes humilitatẽ
cordis⁊corꝑis.⁊	cordis ⁊ corꝑis . ⁊
tamĩuictuqͣmĩ	tam ĩ uictu qͣm ĩ
uestitu:mediocritatem	uestitu : mediocritatem
seruantes:dissensiones⁊	seruantes : dissensiones ⁊
emulationesom̃inouitando	emulationes om̃ino uitando
.liuore&rancoreoĩorelegatis.uͭ	. liuore & rancore oĩo relegatis . uͭ
sicspũalib᷒⁊	sic spũalib᷒ ⁊
mat̃iralib;armismuniti	mat̃iralib; armis muniti
adũsushostesfideisecuriusp̃lient᷑.nͨ	adũsus hostes fidei securius p̃lient᷑ . nͨ
desuap̃sum̃tes.	de sua p̃sum̃tes .
s;dediuina	s; de diuina
uirtutesꝑanteᷤ.Ip̃isaũtcl̃icisindulgemus.utbeneficia	uirtute sꝑanteᷤ . Ip̃is aũt cl̃icis indulgemus . ut beneficia
suaintegreꝑcipiantꝑtͥennium.	sua integre ꝑcipiant ꝑ tͥennium .
acsieẽntineccl̃iaresidentes.	ac si eẽnt in eccl̃ia residentes .
⁊sinecc̃efũit:eaꝑidem	⁊ si necc̃e fũit : ea ꝑ idem
temp᷒pignoriualeantobligare.neaũtḣsc̃mꝓpositum	temp᷒ pignori ualeant obligare . ne aũt ḣ sc̃m ꝓpositum
impediriul̃	impediri ul̃
tardariꝮtingatuniũsis	tardari Ꝯtingat uniũsis
eccͣrump̃latisdistricte	eccͣrum p̃latis districte
p̃cipimus.utsinguliꝑlocasua	p̃cipimus . ut singuli ꝑ loca sua
illosqͥsignũcrucisdeposuert̃:resumere.actam	illos qͥ signũ crucis deposuert̃ : resumere . ac tam
illosqͣmalios	illos qͣm alios
crucesignatoᷤ⁊quosadhucsignariconting̃it:	cruce signatoᷤ ⁊ quos adhuc signari conting̃it :
adreodendũdominouota	ad reodendũ domino uota
sua.diligent̃moneant⁊	sua . diligent̃ moneant ⁊
inducant.⁊sinecc̃efueritꝑexcõicationisĩꝑsonas	inducant . ⁊ si necc̃e fuerit ꝑ excõicationis ĩ ꝑsonas
.⁊int̃dictisententiasint̃riseoꝝ:	. ⁊ int̃dicti sententias in t̃ris eoꝝ :
omnit̃giũsationecessante:compellant.illisdũtaxatexceptis	omni t̃giũsatione cessante : compellant . illis dũtaxat exceptis
.qͥb;taleĩpedim̃tumoccurrerit	. qͥb; tale ĩpedim̃tum occurrerit
.utscd̃mꝓuidentiamuotũeoꝝm̃itocõmutari	. ut scd̃m ꝓuidentiam uotũ eoꝝ m̃ito cõmutari
debeatul̃differri	debeat ul̃ differri
.adhecneqͥdinnegotioxp̃iih̃s	. ad hec ne qͥd in negotio xp̃i ih̃s
deꝮtingentib;omittatur.uolum᷒⁊mandam᷒.	de Ꝯtingentib; omittatur . uolum᷒ ⁊ mandam᷒ .
utpatriarche.archiep̃i.ep̃i.	ut patriarche . archiep̃i . ep̃i .
abbates.⁊alii	abbates . ⁊ alii
qͥcuramobtinentaĩarumstudioseꝓponant	qͥ curam obtinent aĩarum studiose ꝓponant
Ꝯmississibippl̃isũbumcrucis.obsecrantes.	Ꝯmissis sibi ppl̃is ũbum crucis . obsecrantes .
ꝑ.p.⁊fi.	ꝑ . p. ⁊ fi.
⁊sp.sc̃munũsolumuerũet̃num	⁊ sp. sc̃m unũ solum uerũ et̃num
dm̃.regesDuces.pͥncipes.marchiones.comiteᷤ	dm̃ . reges Duces . pͥncipes . marchiones . comiteᷤ
.⁊barones.aliosq;magnates.nͨ	. ⁊ barones . aliosq; magnates . nͨ
nonꝮmuniaciutatũuillarũq;⁊oppidũut	non Ꝯmunia ciutatũ uillarũq; ⁊ oppidũ ut
qͥꝑsonal̃r⁊illucñaccesserintĩ	qͥ ꝑsonal̃r ⁊ illuc ñ accesserint ĩ
subsidiũt̃resc̃ecõpetentẽꝮferantnumerũbellatoꝝ.cum	subsidiũ t̃re sc̃e cõpetentẽ Ꝯferant numerũ bellatoꝝ . cum
expensisusq;adtͥenniũnecc̃iisscd̃mꝓpriasfacl̃tatesĩremissionẽ	expensis usq; ad tͥenniũ necc̃iis scd̃m ꝓprias facl̃tates ĩ remissionẽ
pecc̃oꝝsuoꝝproutĩgeñalib;litt̃isest	pecc̃oꝝ suoꝝ prout ĩ geñalib; litt̃is est
exp̃ssum.⁊admaioremcautelametiãinferi᷒	exp̃ssum . ⁊ ad maiorem cautelam etiã inferi᷒
expͥmet᷑.cui᷒remissionisuolumus	expͥmet᷑ . cui᷒ remissionis uolumus
eẽparticipesñsolũeosqͥadḣ	eẽ participes ñ solũ eos qͥ ad ḣ
nauespropͥasexhibuerint:s;⁊illos	naues propͥas exhibuerint : s; ⁊ illos
quip̃phocopusstuduerĩtfabricare.renuentib;:	qui p̃p hoc opus studuerĩt fabricare . renuentib; :
autsiquifortetamĩgratifuerintdominod̃o	aut si qui forte tam ĩgrati fuerint domino d̃o
nr̃o.exparte	nr̃o . ex parte
apl̃icafirmit̃ꝓtestent᷑.utsciantse	apl̃ica firmit̃ ꝓtestent᷑ . ut sciant se
suꝑhocĩ	suꝑ hoc ĩ
nouissimodistrictiexaminisdie:coramtrem̃doiudiceresponsuros.	nouissimo districti examinis die : coram trem̃do iudice responsuros .
pͥustñꝮsid̃antesquaconsc̃iaqͣuesecuritatecõparerepotuerĩtcoram	pͥus tñ Ꝯsid̃antes qua consc̃ia qͣue securitate cõparere potuerĩt coram
unigenitodeifilioih̃sxp̃o.cuiõiadeditpat̃	unigenito dei filio ih̃s xp̃o . cui õia dedit pat̃
ĩman᷒.si	ĩ man᷒ . si
eiꝓpecc̃orib;crucifixoseruirerenuerintinhocnegotio	ei ꝓ pecc̃orib; crucifixo seruire renuerint in hoc negotio
.qͣiꝓpͥesibiꝓpͥo.cui᷒	. qͣi ꝓpͥe sibi ꝓpͥo . cui᷒
muñeuiuũt	muñe uiuũt
.cui᷒bñficiosustentant᷑.qͥnetiamcui᷒sanguine	. cui᷒ bñficio sustentant᷑ . qͥn etiam cui᷒ sanguine
sũtredempti.negͦinhumeroshominũonera	sũt redempti . ne gͦ in humeros hominũ onera
grauia⁊importabiliaĩponereuideam᷑quedigitonr̃o	grauia ⁊ importabilia ĩponere uideam᷑ que digito nr̃o
mouerenolum᷒:similesillisquidicunt.	mouere nolum᷒ : similes illis qui dicunt .
utiq;⁊ñfaciunt.Eccenosdehiisq̃	utiq; ⁊ ñ faciunt . Ecce nos de hiis q̃
ultranecessarias⁊mod̃atasexpensaspotuimus	ultra necessarias ⁊ mod̃atas expensas potuimus
reseruare.xxx.	reseruare . xxx .
milialibrarũinhocopusconcedim᷒	milia librarũ in hoc opus concedim᷒
.⁊donam᷒	. ⁊ donam᷒
.p̃t̃nauigiũqd̃	. p̃t̃ nauigiũ qd̃
crucesignatisdeurbeatq;uicinispartib;	cruce signa tis de urbe atq; uicinis partib;
