P A TROLOGIAETOMUSuIII .	-⌫-⌫--------|----|----⌫|
QuodD ei quidemfamu lus, gentiumautemuictorfuerit.	---|-⌫-|-----|----⌫---|------|----|-----|------|
Comparatioeius cum C yr oPersarum etAlex andr oMacedonumrege.	---------|---|--|-⌫--⌫|-------|-|----⌫----⌫|--------|----|
Quodo rbemprop em odumuniuersumsubegerit .	---|-⌫---|----⌫--⌫---|--------|---------⌫|
Quodpiiimperatorisfil ius imperiumfiliis reliquit.	---|--|----------|---⌫--|-------|-----|--------|
Quod historia hec nec essaria etad formandosmores u ti lissit.	---|-------|--|---⌫------|-|-|--------|----|-⌫--⌫--|---|
Qu odsolaConst ant i nigesta que ad pietatemp ertinen tnarraturus sit.	--⌫-|---|-----⌫---⌫-⌫-|----|--|-|-------|-⌫-------⌫|---------|---|
QuodCons ta ntin usintyran norum edibus, sicu tMoses,educatuss it.	---|----⌫--⌫----⌫-|-|-----⌫----|------|----⌫|-----|-------|-⌫--|
Dep atreeius Consta nt i o,quiChristiano s ut Diocletianuset Maxi mianuspersequinol uit.	-|-⌫---|---|------⌫--⌫-⌫-|--|----------⌫|-|-----------|-|----⌫-----|-----------⌫---|
Quomod oConstantiusexprobrat aip si a Diocletiano p aupert a te, e rari umim pleuerit,et postea c ollatoribuspecu niam reddiderit.	------⌫|----------|---------⌫|--⌫-||----------|-⌫------⌫-⌫--|-⌫----⌫-|--⌫--------|-|-----|-⌫----------|----⌫---|----------|
Deper secutioneabal iisco ncitata.	-|---⌫--------|-|--⌫--|--⌫-------|
QuomodoCo nstant iussimulanssesimulacracoler e, e osq uidemq uisac r ifi careparatie ss en t expulerit:illos ue roqu i seChris tia n osprofiteri maluis sent,inpalatio retinue rit.	------|--⌫------⌫--|-------|-|--------|-----⌫-|-⌫-|-⌫----|-⌫-|---⌫-⌫---⌫---|-----|-⌫--⌫--⌫|---------|----|--⌫-|--⌫|-|-----⌫---⌫-⌫-|--------|------⌫----|-|------|-------⌫---|
- --XuI I.	-⌫-----⌫-|
Deaffec tu etamoreCo ns tantiier g aC hristu m.	-|-----⌫-|-|----|--⌫--⌫-----|--⌫-⌫|-⌫------⌫-|
--- X uIII.	---⌫-⌫----|
Q uodpo stab d i cati o nemDioc let ian i e tMaximiani,Constantius pr imus Aug ustusf uit ,numer osap rolei nsig nis.	-⌫--|--⌫-|--⌫-⌫-⌫----⌫-⌫--|----⌫---⌫---⌫|-⌫|---------|----------|--⌫---|---⌫----|-⌫---⌫|-----⌫--|-⌫---|-⌫----⌫---|
De filioeiusCon stantino, qui adhucadol escens, unacumDiocletianoinPalestinam uenit.	-|----|---|---⌫--------|--|----|----⌫------|--|--|----------|-|---------|-----|
Constantinus propterDioc letianietGaleriiinsidias adpatrem reuertitur .	-----------|------|----⌫------|-|------|-------|-|-----|----------⌫|
MorsConst antiiConstanti num filiumi mperatorem relinquenti s .	---|-----⌫----|---------⌫--|-----|-⌫---------|-----------⌫-⌫|
Quomodo elato Const ant ioCons tant inusa mili tibu s Augustusappell atussit.	------|----|-----⌫---⌫-|----⌫----⌫---||----⌫----⌫|-------|------⌫---|---|
Interit u s tyrannorumbre uiscomm emoratio .	-------⌫-⌫|---------|---⌫--|----⌫--------⌫|
QuodConstantin usimperiumDei a rbitriosit consecutus.	---|----------⌫-|-------|--|-⌫------|--|----------|
ConstantinideBritannise tBarbarisuictorie.	----------|-|--------|-⌫|-------|--------|
Quom odoRomam Maxentiityrannide libe raredec r euerit.	----⌫--|----|-------|--------|----⌫---|---⌫-⌫------|
-- -XXuII.	--⌫------|
Q uodC onstantinusGent ili uminteri lumc onsiderans,Christianismumpotius e le git .	-⌫--|-⌫----------|----⌫---⌫-|------⌫--|-⌫----------|-------------|-----|-⌫--⌫---⌫|
- --XXuIII.	-⌫--------|
QuomodoDeusorantiui sionemos ten derit ince losubm eridiem, crucemuidelicetlucid amcumins cripti one, monente utinhac uinceret.	------|---|-----|--⌫-----|--⌫---⌫----|-|--⌫-|--|-⌫-------|-----|--------|-----⌫-|--|---⌫------⌫---|------|-|-|--|--------|
CAPUT PRIMUM.	----|------|
Nuperquid emuniuersumhominumgenussecun d a ac terti amagniImperatoris nostridec ennaliacertist emporumsp atii sredeuntiafestiuitatibusetconuiuii sc ele b rauit.	----|----⌫-|--------|------|----|-----⌫-⌫|-|-----⌫|----|----------|-----|---⌫------|-----|-⌫------|--⌫----⌫|--------|-------------|-|--------⌫|-⌫---⌫-⌫-----|
Nosquo queipsinuper e umdem uictoremactr iumphatorem cetu fam ulorum Deic ircumsept um,laudationeineiusuicennal ibus d ictaueneratisumus.	--|---⌫--|---|----|-⌫----|-------|-|--⌫----------|---|---⌫-----|--|-⌫---------⌫--|---------|-|---|--------⌫---|-⌫---|-------|-----|
S edett ricen nal iumor atio nu m co ronas e itexente s,n uperi nipsopalatiosacr u meiuscapu tredimiuimus.	-⌫-|-|-⌫-----⌫---⌫--|--⌫----⌫--⌫|--⌫----|-⌫|-------⌫-|-⌫---|-⌫|---|------|----⌫-⌫|---|----⌫|-----------|
u erum nuncance p sanimi hereo;	-⌫---|---|----⌫-⌫|----|-----|
cupiensquidem a liquid moresol itopro ferre,sedquomeuertam,prorsusigna rus,inusitatereispect aculoperculsus.	------|-----|-⌫-----|---|---⌫--|---⌫-----|--|--|-|------|------|----⌫---|--------|--|-----⌫----|---------|
Cumque eu m qui paulo ante inmor talicorpore cerne batur, et n obis cumunaue rsabatur,admirabiliquadamrationeetiam postobitum,quotemporenatu raqu idquidsuperfluumest,tanquama l ienumrefu ta t,iisde mr egi is edibus et hono ri busa c laudati onibus fruiu ideo,incredibili a dm irationepercell or.	-----|--⌫|--|----|---|-|---⌫---|------|-----⌫-----|-|-⌫----⌫--|--|--⌫--------|---------|-----|------|----|---|------|--|------|----⌫-|--⌫-----|---------|---|------|-⌫-⌫----|----⌫--⌫-|-----⌫|-⌫---⌫-|-----|-|----⌫--⌫--|-⌫|-------⌫-----|---|-⌫----|----------|-⌫--⌫-------|-------⌫--|
Iamuero cumad ipsos us queceliforni cesmentismee aci emex t end i,atqueilli cbeatissimam eiusan imam cum ip soDeouersaricogito.	--|---|--|-|----|--⌫--|---|-----⌫--|-----|--|---⌫-|--⌫-⌫---⌫-|----|----⌫|----------|---|--⌫---|--|--⌫-|--|------|------|
Cume nimpredixe rit, eo saquibuscul tusetho nora t usfuisset, maximis p re mii s aseuicissimremunerandos es se;	--|-⌫--|-------⌫---|--⌫||-----|---⌫--|-|--⌫----⌫-⌫-|-------|------|-⌫--⌫---⌫||-|-------|-----------|--⌫--|
illosueroqu i seh ostesatqueinimicos ip siusprofess i essen t,sibimeti p sispernicie m creatur os,prom issor um acuer borumsuoru muerit atemiaminde ab hac u ita comprob auit.	----|---|--⌫|-|-⌫----|----|-------|--⌫---|-------⌫|-----⌫-|--------⌫-⌫--|--------⌫|-------⌫--|----⌫-----⌫-|-|---⌫----|-----⌫|-----⌫---|--|---|-|--|-⌫--|-------⌫----|
Quipp eimp iorumquidemDe iqueaduersa riorumtyrannorumabominandosexitusnobis ob oc ulosproposuit : famuloau temsuononuitamsolum,uerumetiam mo rtemfelic issimamet maximi slaudibusdignamprestitit: ade outhecetiam omn iumposter orum sermonib uscelebrari,nectantumcaducis,sedetiamimmortal ibus honoribusafficimeruerit;	-----⌫|---⌫----|-----|--⌫---|-------⌫-----|---------|----------|-----|----|-|--⌫---|---------⌫|-----|--⌫--|--|--|----|-----|---------|--⌫---|-----⌫------|-|------⌫|-------|-----|---------|---⌫|-|--|----|---⌫--|------⌫---|--------⌫-|---------|--|-----|-------|--|----|--------⌫---|--------|-----|--------|
Mortaliumquidemgenussolatioaliquoletiferiinte ritusexc o gitato,consecratisimaginibus ,tanq uamimmor talibush onoribussuperiorumho mi nummemorias c oler esolitum est.	--------|-----|----|------|-----|-------|----⌫----|---⌫-⌫------|----------|----------⌫|----⌫--|-----⌫------|-⌫-------|---------|--⌫--⌫--|-------|-⌫----⌫|------|---|
Etaliiqu idema dumbra tis encausticepicturecoloribus.	-|---|--⌫---|-⌫------⌫--|---------|------|---------|
aliiinanimis mate riesculptura s im il it u dinemhominumexprimentes ;	---|-------|----⌫--|--------|-⌫--⌫--⌫--⌫-⌫----|------|-----------⌫|
quidaminligneisautlapidei stabu lislitt erasaltiusincidentes,eorumquos co lebantuirt ute madete rnam posteritat ismemo ria mconsecrareinstit uerunt.	-----|-|------|--|-------⌫|----⌫--|----⌫---|-----|----------|----|---|--⌫-----|----⌫---⌫|-|---⌫---|----------⌫-|----⌫---⌫|---------|------⌫------|
uerumheco mniacaduc a,et t emporis longin quitatepe re untia.	----|--|-⌫---|-----⌫-|-|-⌫------|------⌫------|--⌫--⌫-----|
Ho cdeniqueDeu sipse quem ue neratusestConstantinu s,euidentisuffragioc omprobauit, dumilli no n modoin exordio,se detiamin progres su eti n fineimperiisemperpropitiusbe nignusqueadfuit,quippe quem humanogen eria ddiuinicultusinformati on empropo suerat.	--⌫|------|---⌫|---|---|--⌫------|--|-----------⌫-|-------|--------|-⌫----------|--|---|--⌫|---|-|-------|--⌫|----|-|-------⌫-|-|-⌫|---|------|-----|--------|--⌫--------|------|-----|---|-----|---⌫--|-⌫|-----|-----|---------⌫--⌫-|-----⌫------|
Actempusquidemimper iiipsius, tri busdenuma nnorum circul is absolutisetaliq uantoampliushonorauit;	-|-----|-----|-----⌫-|------|---⌫--|----|-⌫-----|------⌫-|--------|-|----⌫----|------|---------|
totiusautem uite t empu squaminte rho minesduxit,duplomaiorespat io ci r cu m scripsit .	-----|----|---|-⌫----⌫|---|----⌫|--⌫----|-----|----|-----|----⌫-|--⌫-⌫--⌫-⌫--------⌫|
Porrocum eum dem u elut imagi nemmonarchie su eproponereuellet,u ic toremeu momnistyra nni ci g enerisprestitit,etimpiorum Gigan tumexstincto rem, quidesp erate men tisaudaciaimpulsi,c ont raipsumDe umsummumom niumRegemimpietatisuexillum sustulera nt;	----|--|---⌫--|-⌫---|-----⌫--|--------|--⌫|--------|------|-⌫--⌫----|--⌫|----|----⌫---⌫-|-⌫-----|---------|-|-------|-----⌫--|---------⌫---|--|----⌫----|---⌫--|------|-------|-⌫---⌫-|----|--⌫-|-----|--⌫---|----|---------|-------|---------⌫--|
CAPUT uI .	----|--⌫|
Ethic quide mtanquambonusa c fidelisseruus, idegi ta cpredicauit;	-|--|-----⌫|------|----|-⌫|------|------|-|---⌫|-⌫|----------|
seruumsepal amnomi nans,s ummiqueRegisfamulu msefaterinon e rub escens ;	-----|-|---⌫-|----⌫----|-⌫------|----|------⌫|-|-----|--|-⌫---⌫------⌫|
CAPUT uII.	----|---|
CyrumPersarumregemprecunctisqu iunquam e xstiterintenituisseuetus narrathis to ria.	----|-------|----|--|------|--⌫|-----|-⌫---------|--------|----|-----|---⌫--⌫---|
ue ru m illenequaquam felicem ex it umu ite, immot urpemp otiusatqueignomi niosums ortitusess edicitur,utpoteamuliereinterfectus.	--⌫--⌫|---|--------|------|--⌫--⌫-|-⌫---|---|-⌫----|-⌫----|----|------⌫-----|-⌫------|---⌫|-------|-----||------|-----------|
Alexan drumM ac edonumregeminnumerabilesgentesdomuissepred icantGreci:sedp riusquamaduir ilemeta tempe ruenisset, c ommessationibus ettemulentia confectum, i mma t ur amorte pe riisse.	------⌫---|-⌫--⌫-----|----|------------|-----|-------|----⌫----|-----|--|-⌫-------|-|---⌫---|---⌫--|--⌫---------|-⌫--------------|-|---------|---------|-⌫---⌫-⌫--⌫|----|--⌫------|
Et hicqui demd uoruma c trigintaa nno rum spatio totiusuite cur sumabsoluit;	-|--|---⌫--|-⌫----|-⌫|-------|-⌫---⌫--|-----|-----|---|---⌫--|--------|
quorum nonplusquam tertiampartemtempusregni illiussibiuindicat .	-----|--|---|---|------|-----|-----|----|-----|---|--------⌫|
Grassatus au temestperc edesin star fulm ini s, gentesa tqueurbesint egrasabsq ue ul loetatisdis criminecrudeliter seruitutisub iicie ns.	--------|--⌫--|--|--|-⌫---|--⌫---|----⌫---⌫-|-----|-⌫---|----|---⌫----|----⌫-|--⌫-|-----|---⌫------|---------|--------|---⌫-----⌫--|
CAPUTuIII.	----|----|
Noster ueroimperatorexeoeta ti s annoregnareors usest,quoMacedo ille decessit.	-----|---|--------|-|-|---⌫--⌫|---|------|---⌫-|---|--|-----|---|--------|
Ac ui te qui demspat ium du ploma i us h abuit quami lle.	-|--⌫-|---⌫--|----⌫--|--⌫--|--⌫-⌫-|-⌫----|---|-⌫---|
reg niuerot r iplolon gius.	---⌫-|---|-⌫-⌫---|---⌫----|
Ceterumcum exercitum suumman suetisacmodesti s religi oni s prec eptismuniui sset, inBritan niam quidem etineos q ui in ip sohabita bantOceanoadS olisoccasumlo nge lat eque dif fuso ,signain tulit.	------|--|--------|---|---⌫-----|-|-------⌫|------⌫---⌫|----⌫----|------⌫----|-|------⌫---|-----|-|-|--|-⌫-|-|--⌫-|------⌫---|-----|-|-⌫---|------|--⌫--|---⌫---|---⌫----⌫|----|--⌫-----|
Scy thiamu ero uniuer samquesubipsoSeptentrioneposita,i np lurimasgenteset nomin ee t moribusdiscrepantes diuid itur,suo adiunxitimp erio.	---⌫----|-⌫--|------⌫--|--|--|---|-----------|------|-⌫|-⌫------|-----|-|-----⌫|-⌫|------|-----------|-----⌫----|--|-------|---⌫----|
Ceterumnoni d uerbisquidemprestitit, reautemipsafrust ratus est.	------|--|-⌫|-----|-----|---------|-|----|---|-----⌫----|---|
Se din omnigenereuirtutissemetexercens,uariispieta tis fructib usab undauit ;	--⌫|-|---|-----|-------|----|--------|-----|-----⌫--|-------⌫-|--⌫-------⌫|
amico s quidemingentibusbeneficii ssibideuincie ns ;	-----⌫|-----|---------|---------⌫|---|--------⌫--⌫|
su bdito s ueroelementie leg ibusmoderans,etimperium s uu mplacidumcunctisatqueopta bileexhibens;	--⌫-----⌫|---|--------|---⌫---|--------|-|-------|-⌫--⌫|-------|------|----|----⌫---|--------|
Do necpostlonga an no rum curricula,Deusquemcolue rat,ua riisillum cer taminibus de fessum immo rt ali tatispr em i isremuneratus,exmor taliregno adi mmortalem ui tamsanctisani m isapudsepre paratamtran stulit ;	--⌫--|---|----|--⌫--⌫--|---------|---|---|-----⌫---|--⌫---|----|---⌫--------|--⌫-----|----⌫--⌫---⌫----|--⌫--⌫-⌫-|-----------|-|---⌫---|----|-|-⌫--------|--⌫--|------|---⌫-⌫-|---|-|---⌫------|----⌫------⌫|
Ego ue rotametsit a ntiquidemuir i felicitate dig numquidpia m dicere difficileadmodume sseintelligam,siler eautemtutumacpericulouacuum:nec essariu mnichilominusputo piissimiPrincip isimaginem ,exemplo mo rt a lispictur e,u erbo rumcoloribus expr essam ads empiternampost erorum memo ria mco ns ecrare,ut desid ie at queinertiecr ime na nobis depellamus.	--|--⌫-|------|-⌫-⌫--|-----|---⌫|---------|---⌫--|-------⌫|-----|--------|------|-⌫--|----------|-----⌫|----|----|-|-------|------|---⌫-------⌫|-----------|---|-------|-------⌫-|--------⌫|------|--⌫--⌫-⌫--|------⌫-|-⌫----⌫--|--------|----⌫----|-|-⌫---------|----⌫-----|----⌫---⌫|--⌫--⌫------|-|-----⌫-|--⌫--|------|--⌫---⌫||----|----------|
Me enim profecto pu deretmeii psius,ni si omnemmeam i ndus triamacfacultatem,li cetadmoduml e u i ssitatquee xi gua, in huncqui d iuinumNum ensummaobs erua ntia u eneratusest ,conferrem.	-|---|-------|--⌫----|--|-⌫-----|--⌫-|----|---|-⌫----⌫----|-|----------|--⌫--|------|-⌫-⌫-⌫-⌫|--|----|-⌫--⌫---|-|---|--|-⌫-----|---⌫-|----|---⌫----⌫---|-⌫-------|---⌫|---------|
CAPU TXI .	----⌫|--⌫|
Quamobr e msicu iquamalt e ri, nobiscertepreci pueconuenit,uttot ac tant aqueau diu im usbona,iisnuntiemus,quorummentesbonorumo p erumexempload amore mDeiexcitantur.	-------⌫-⌫|-|--⌫----|---⌫-⌫--|----|----|-----⌫--|--------|-|--|-|----⌫|--|--⌫---⌫--⌫-|----|--|---------|-----|-----|------|-⌫-⌫---|------|-|-----⌫|--|----------|
Quipp ealiiqui dem uitamh ominum minimegrauium, etresgestas admorumemendationempro rsu sinutil es, autgratia,auto dioquorum dam,autaddoctrine sue o stentationemscr ibe r e ag gress i,turpissimorumf l agitiorumnarrationemmagn ifico uerb orum a pparatualiterquamdecuitamplificarunt:iisquisingul ari D eibeneficiomalorum expe rtes fuer a n t,pess imorum op erumet que obliu ioneactenebrisinuolui debuerant,magistrosseprebe ntes.	-----⌫|---|---⌫--|----|-⌫-----|-----|-------|-|--|-----|-|----|-----------|---⌫---⌫|------⌫--|--|------|--|-⌫--|------⌫---|--|-|-------|--|-⌫-----------|---⌫---⌫-⌫|--⌫-----⌫-|------------|-⌫-⌫--------|----------|----⌫----|----⌫---|-⌫------|-----|---|-----|-------------|--|--|------⌫--|-⌫-|--------|------|----⌫---|----⌫-⌫-⌫-|----⌫-----|--⌫---|-|--|-----⌫---|-|-------|------|---------|--------|-|-----⌫----|
At nobisoratioquid em ipsaquamuis susceptioperismagnitudi nip ror s usimpa rsit,solata menpulcherrimorum fac inorumnarratione illustra ripo sseuidetur;	-|----|-----|----⌫-|---|------|-------|-----|---------⌫-|-⌫---⌫-⌫-|----⌫|---|---|--⌫--|-------------|---⌫-----|---------|--------⌫-|--⌫--|-------|
Ipsa uerooperumDeo acceptorumcommemoratio,iisutiq u equ i animumrectec omparatum habuerint,noninu t ilems edin prim isf ru ctuosamlecti on emp reb i turaest;	---|---|-----|--|---------|------------|--|----⌫-⌫|--⌫|-----|----|-⌫--------|---------|--|---⌫-⌫---|-⌫-|-|----⌫-|-⌫--⌫------|-----⌫--⌫-|-⌫---⌫-⌫---|---|
Itaquequa mpl urimaa liaquedehoc princ i penarraripo ss unt: conflictuset prelia,fo r t iafacino raatqueuictorias,tr opea a c triumphosdeh os tibus partos , etquepret ereaadsing ulorum util itatem abeoconstitut as unt:leg esads ubditorum etR ei p ubli ceco mmodum la tas.	-----|---⌫---⌫----|-⌫--|--|-|--|-----⌫-⌫-|------|--⌫--⌫---|---------|-|------|--⌫-⌫-⌫-|------⌫-|----|---------|--⌫---|-⌫|--------|-|-⌫--⌫----|------⌫|-|--|----⌫---|-|----⌫-----|----⌫-----|-|-|---------⌫|-⌫---|---⌫-|-|-⌫--------|-|-⌫--⌫-⌫----⌫-|--⌫-----|--⌫---|
aliosdeniqueplurimos Prin cipatuslabo resab e oe x antlatos,qui i n omnium ore ac memori a uersantur, prete reundosmihi nuncessearbitror: quippe cuminstitutioperi s ar gumentum admone a t me,ut e asolaqueadDe ic ultu m p ertinent, dicendoacscribendopersequar.	----|------|-------|----⌫------|----⌫--|-|-⌫|-⌫-⌫--------|--|-⌫|-----|--|-|------⌫|---------|-----⌫------|---|---|---|--------|-----|--|--------|-----⌫|--⌫-------|------⌫-⌫|--|-|-⌫|---|--|-|--⌫|-⌫----⌫|-⌫--------|------|-|--------|---------|
Ceterumcumhec ipsanumeropeneinfinita sint.	------|--|--|---|-----|---|-------|----|
CA PUTXII.	--⌫--|---|
uetus na r rathistori a,gentemHebreo rumaseuissimis o lim t yr annis oppre ssamfuisse :Deumque cu moppressos benigno acprop itiouu l turespe xisset, proui disseutprophetaMoses,quitumadhucinfans erat,in medi istyra nnorumedibusetinips oeorumgre m ioeducaretur,omn em quequeap udilloseratsapientiam perdi scere t.	----|--⌫-⌫--|-------⌫-|-----|------⌫--||---------|-⌫--|-⌫--⌫----|-----⌫---|------⌫|------|--⌫|--------|------|-|----⌫---|--⌫-⌫-|-----⌫------|-----⌫----|-|-------|-----|--|--|----|-----|----|-|----⌫-|----⌫-----|-----|-|-|---⌫|----|---⌫-⌫-|----------|---⌫--⌫--|--|--⌫-|----|---|---------|-----⌫-----⌫-|
Posteauerocu mi llep rogressut em p oris aduirilem peruenisseteta tem,etdiu inaiusti tia qu eoppres sisopitulari so le t, penasa b iniquistyrannisexposceret.	-----|---|--⌫|-⌫--|-⌫-------|-⌫--⌫-⌫---|-|------|----------|---⌫---|-|---⌫--|-----⌫--|--⌫|------⌫--|--------|--⌫--⌫-|----|-⌫|------|-------|----------|
tunc Dei Prophetaex ipsistyrannic isprofectusedib us, diuineuolunta ti minis ter iu msuum e xhib uit.	---|--|-------|-|----|--------⌫-|--------|----⌫--|-----|-------⌫-|-----⌫---⌫--⌫|---|-⌫----⌫---|
Et ip s os q u idem tyrannosaquibus fuerate d ucatus,reacuerbi sa uers atus est:eosueroqui reueraf r atres et co g natierant,amicos ac familiareselegit.	-|--⌫-⌫-|-⌫-⌫---|-------||-----|-----|-⌫-⌫------|-|-|-----⌫||----⌫---|---|--|---|--|-----|-⌫-⌫----|-|--⌫-⌫---|-----|-----|-|---------|------|
