PATROLOGIAE TO MUSCXXuIII.	----------|--⌫--|-------|
Hic declarauitCons t anti u mfili um Cons ta ntini hereticumet se cundorebaptiz atumabEusebioNicomed iensiiuxtaNico m ediam i nA quilone u i lla[b 1Kb] ,et perhocde claratu m eiu s demCon stantiiAu gus ti filiiC onst anti ni,pre cepto[c1Kb]martyriocoronaturetcapite truncatur.	--|---------|----⌫-⌫----⌫-⌫|----⌫-|----⌫--⌫----|--------|-|--⌫----|--------⌫---|-|------|-------⌫----|----|----⌫-⌫----|-⌫|-⌫------|-⌫-⌫--|-|---||-|--|--|--⌫-------⌫|---⌫-⌫--|---⌫------|--⌫---⌫-|----|-⌫----⌫----⌫--|---⌫----|-|---|-------|--------|-|-----|---------|
Hicfecitb asilicamui a Aureliacum presbyteriihonore fungeretur.	--|----|-⌫-------|--⌫|------|--|----------|-----|----------|
SANCTUSDAMASUS .	------|-------⌫|
[ 4Kb] [ Schelstratius,Emmanuel: 1 Kb][Alta serra,A nto nius:2Kb] [Bencinus:4Kb] [Binius, S e uerinu s;	-⌫---|-⌫-------------|--------|-⌫--|-----⌫-----|-⌫---⌫----|---|---------|---|-------|-⌫-⌫------⌫-|
54Damasus, nationeHispanus, ex Pat reAnt o nio,sedit[a1Kb]annisdecemetocto,mensibusduobus,diebusdecem,etcumeo demordinatursub cont entioneUrsicinus .	-|-------|------|--------|-|---⌫-|---⌫-⌫---|----|-|---|----|----|-|----|-------|------|-----|-----|-|--|--⌫--|--------|--|----⌫------|---------⌫|
E tfactoconsilio s acerd otumconstitu eruntDamasum,quiafortio ret p luri ma m ultitud oer at, etsicco nstitutus est Damasus,etUrsi cinum e iecer unta b urbe ,et const ituerun teumNeapoli episcopum.	-⌫|----|-------|-⌫-----⌫---|--------⌫----|-------|---|------⌫|-|-⌫----⌫-|-⌫-------⌫|--⌫--|-|--|--⌫--------|--|-------|-|----⌫----|-⌫-----⌫--|-⌫|----⌫|-|-----⌫-------⌫|--|------|---------|
EtmansitDamasu sinurbe Rom anapr esul in sedeapostol ic a.	-|-----|------⌫|-|---|---⌫--|--⌫---|-|---|-------⌫--⌫-|
Fuitautem[b 1Kb] tempor ibus Iuli ani.	---|----|-|---|------⌫---|----⌫---|
Hicf e citbasil icasd uas,unamiuxtatheatrum[a1Kb] sanctoLauren tio,et aliamuia A rdea tina,ub irequiescitincatacumb is,et[b1K b]ed ificau itplato nia m, ubi corporaapostoloru miacuer unt ,id est b e atiPetriet Pauli, quame t uers ibusornauit;	--|-⌫-⌫--|-----⌫---|-⌫---|---|----|-------|-|---|-----|------⌫---|-|----|--|-⌫----⌫----|--⌫|---------|-|--------⌫--|-|-|--⌫-|--⌫------⌫-|-----⌫---⌫-|--|------|----------⌫|------⌫---⌫|-|--|-⌫-⌫--|----|-|-----|---|-⌫|----⌫---|-------|
Hicmultacorporas anctorum m a rty rum requisiu it, q uorumetia m [c1K b]c onciliauers ibusde cora uit;	--|----|------|-⌫-------|-⌫-⌫---⌫--|--------⌫--|-⌫----|----⌫|-|--⌫-|-⌫------|----⌫---|--⌫----⌫---|
Hiccons tit u tu m fecit deEcclesia;	--|----⌫---⌫-⌫--⌫|----|-|--------|
[d 1K b] Hic acc u s atuses tinuidiosee tincrimina tusdeadulterio, etfactasyno d o,purgatu sestaquadragintaqua tuorepiscopis , q uietiamd a mn auer untConcordiumetCalixtum diaconosaccus a tor es ,etproi eceruntdeEcclesia.	-|--⌫-|--|---⌫-⌫-⌫---|--⌫|--------|-⌫|---------⌫--|-|---------|-|----|----⌫-⌫-|-------⌫|--||----------|---⌫---|---------⌫|-⌫-|----|-⌫-⌫--⌫----⌫--|---------|-|-------|-------|-----⌫-⌫---⌫--⌫|-|----⌫------|-|--------|
Hiccon s tituittitulumi nurbeR omana,scili cet basilicam qua mips econstrux i t,ubiet donauitpa tenamargent e am pensan temlibras 15[e1Kb],scyphum anag lyphu m[f1Kb] pensante mlibras decem.	--|---⌫-⌫-----|------|-⌫|---|-⌫-----|-----⌫--|--------|---⌫|---⌫|--------⌫-⌫-|--|-|------|--⌫----|------⌫-⌫-|------⌫--|-----|-|-|---||------|----⌫-----⌫|-|---|--------⌫|-----|-----|
calicesministerial esargenteosquinquepe nsantessingulilibrastres .	------|-----------⌫-|--------|------|--⌫------|------|-----|----⌫|
coron a s argenteas quinquepens antessingule libras oct o.	-----⌫-⌫|--------|------|----⌫----|------|-----|---⌫-|
SANCT USSIRICI U S .	-----⌫-|------⌫-⌫-⌫|
[ 3Kb][S che lst ratius,Emmanuel:1Kb ][Alt aserra,Antonius:4Kb][Bencinu s:28Kb][Bin ius,Seuerinu s;	-⌫---|--⌫---⌫---⌫------|--------|---⌫|----⌫------|--------|---|--------⌫-|----|----⌫---|--------⌫-|
55 Siricius,n ationeRomanus,expatreTi b urtio, se d it[a1Kb]annos15 , menses11,d ies 25.	-|--------|-⌫-----|-------|-|----|--⌫-⌫-----|--⌫-⌫-|-|---|----|--⌫|-----|--|-⌫--|--|
Hiccon sti t utumfecitde omniEcclesia,uelcontraomneshereses,etdispers it p eru n iu ersum mundum,utinomnis Eccles i earchiuiotenea ntur obimpugnationem[b 1Kb]c ontraomnesh er eses.	--|---⌫---⌫-⌫---|----|-|---|--------|--|-----|----|-------|-|-------⌫-|-⌫-|-⌫-⌫--⌫----|------|-|-|----|------⌫-⌫|-------|-----⌫---|-|------------|-|---|-⌫----|----|-⌫--⌫----|
Hic constitui t, utnul lu spresbytermissascel e braretpero mnem hebdom adam, nisi con s ec ratumepisco piloc id esigna tisuscipe r et declaratum ,quodnominaturfermen tu m[c1Kb].	--|---------⌫-|-|---⌫--⌫|--------|-----|---⌫-⌫-----|--|-⌫---|------⌫----|---|---⌫-⌫--⌫----|------⌫-|---⌫|-⌫------⌫-|-------⌫-⌫-|----------⌫|---|--------|------⌫--⌫|-|---||
Hi cManicheo s,quo sexsilio deportauit,[ d1Kb] hocconstit uit, utnon participarentcumf id elibu scomm unionem,quia ore polluto nonlic eretsanctum corpusDo minicum uexari .	--⌫|--------⌫-|---⌫|------|----------|-⌫|---|--|-------⌫---|-|--|------------|--|-⌫--⌫-----⌫|----⌫-------|---|--|------|--|---⌫---|------|-----|--⌫------|------⌫|
SANCT US ANASTASIUS.	-----⌫-|----------|
[2Kb][Altaserra,Antonius:4Kb][Bencinus:19Kb][Bin iu s,Se uerinus;	----|----------|--------|---|---------|----|----⌫--⌫-|--⌫-------|
56Anastasius, nati one Romanus,expatreMaximo,sedit[a1Kb] ann osduos,d ies ui ginti quatuor.	-|----------|----⌫--|-------|-|----|------|----|-|---|---⌫-|----|-⌫--|--⌫----|-------|
Hicconstitui tut quot iescumque Euangeliasanctarecitantur , [b 1Kb] sacerdotes no nsede rent,sedcur uistarent.	--|---------⌫|-|----⌫--------|--------|-----|----------⌫|-|---|---------|--⌫|----⌫----|--|---⌫-|-------|
Hicfecitconsti tutu mdeEccl esia.	--|----|------⌫----⌫|-|----⌫----|
Hicfecit basilicam,quedic i tu r Crescent ianain regi one secunda,in uia [c 1Kb]Ma m ertinia,inurbeRoma.	--|----|---------|--|---⌫-⌫--⌫|--------⌫---|-|----⌫--|-------|-|--|-|---|--⌫-⌫-------|-|---|----|
SANC TUSINNOCENTI US.	----⌫--|---------⌫--|
[ 8Kb][Schel str atius,Emmanuel:1Kb][Al tase r r a, An tonius:2K b ][B e nci nus:13 Kb][Binius,S euerinus;	-⌫---|------⌫---⌫-----|--------|---|---⌫----⌫-⌫-⌫-|--⌫------|--⌫-⌫|--⌫-⌫---⌫---|--⌫--|-------|-⌫--------|
57Innocentius,nationeAlbanensis,expatreInnoce nt io,seditannosquin decim, mensesduos,di esuig inti[a1Kb].	-|-----------|------|----------|-|----|------⌫--⌫--|----|----|----⌫-----|-----|----|--⌫-|---⌫---|-|---||
Hicconstitu tum fecitdeo mn iEcclesia,etderegulis monasteriorum , etdeIudeis, et depaganis,etm ultosCataphryga sin u rbeinuenit,quo sexsilioetmona ste riis[b 1Kb]relegau it.	--|--------⌫--|----|-|-⌫--⌫|--------|-|-|------|-------------⌫|-|-|------|-|-|-------|-|-⌫----|----------⌫|-|-⌫--|-------|---⌫|------|-|----⌫---⌫---|-|---|-------⌫--|
Et hicinuenitPelagium,Cel estiumhereticos,etdamna uiteos.	-|--|------|--------|---⌫-----|---------|-|-----⌫--|---|
Ethocco nstituit, ut qui n atusfueritdeChristiana,denuoperbaptis mumrenascidebeat,hocestbaptiz ari,q uodPelag iusdamnabat[c1Kb] ;	-|--|--⌫--------|-|--|-⌫---|-----|-|----------|----|--|------⌫--|------|------|--|--|------⌫---|-⌫--|-----⌫--|-------|-|---||
E odemt emporededicauit ba silicamsanc torumG eruasiietProtasii, exdeuo tione tes ta men ti cuiusdamillustrisfemineuest ine labo ra ntibuspresbyterisCusicin o[d 1Kb] ,etLeopardo,et diaconoLibyan o;	-⌫---|-⌫-----|--------|--⌫------|----⌫----|-⌫------|-|--------|-|----⌫----|---⌫--⌫---⌫-|-------|--------|-----|----⌫--|----⌫--⌫-----|----------|-------⌫|-|---||-|--------|-|------|------⌫-|
Quefeminasuprascr i p tatestamentipaginamsic ordinauit,utbasilic amsanct oru mmartyrum e xo rnamentis,etmargaritis,uenditisiustise s timationi buscon s t ruere tur , et c onstr u ctaestusque adperfectum;	--|-----|--------⌫-⌫-⌫-|---------|------|--|---------|-|-------⌫-|-----⌫---⌫|-------|-⌫|-⌫---------|-|----------|-------|-----|-⌫-⌫---------⌫--|---⌫-⌫-⌫-----⌫---⌫|-|-⌫-----⌫-⌫--|--|----|-|---------|
Inq u o locobeatiss imus Inn ocentiusexdelega tioneillustris femine ue stine titu lumR omanumconstituit, eti neodem Dominico loco[e1Kb] obtul itpatenasargenteasduas,p en san te ss ingulelib rasuiginti;	-|-⌫-⌫|---|-------⌫---|---⌫-------|-|------⌫----|--------|-----|--⌫----|----⌫--|-⌫-----|----------|-|-⌫|----|-------|---|-|---|-----⌫-|------|--------|----|-⌫--⌫---⌫--⌫|-⌫-----|---⌫--|-------|
coronasa rgenteas duodecim ,p ensante ssingul e libras quind ecim;	------|-⌫-------|--------⌫|-⌫-------⌫|------⌫|-----|-----⌫----|
am asargenteasduas , pensantessingule librasuiginti;	--⌫-|--------|----⌫|--------|------|-----|-------|
pharumcantharum arge ntum unum,pensanslibras 22;	-----|--------|----⌫---|----|------|-----|--|
c erostrat a ar genteaquatuorpensantiasingula l ibrastrigintaq uinque;	-⌫--------⌫|--⌫-----|------|--------|------|-⌫----|-------|-⌫------|
turrem argenteamcum paten a,et c olumba dea urata pensantemlibr ast rigin ta;	-----|--------|--|-----⌫-|-|-⌫-----|---⌫----|--------|----⌫-|-⌫-----⌫--|
58 Do mosiuxtabasilicamLibyana m,prest ante m solidos32[ a1 Kb ];	-|--⌫--|----|--------|-------⌫-|-----⌫----⌫|------|-|-⌫|-⌫--⌫||
domum incliuosalutis balnearium[b1K b] ,prestant em solidos88,ettrimis ium[c 1Kb] ;	----|-|----|------|---------|-|--⌫-||--------⌫-|------|--|-|------⌫--|-|---||
possessionemCorras[ d1Kb]in territorioClusino,prestantems ol idosseptuagi ntaunum, et tr imisium ;	-----------|-----|-⌫|---|-|---------|-------|---------|-⌫--⌫---|--------⌫--|----|-|--⌫-------⌫|
posses sionem Coruia naminte rritorioClusino,prestantem so li dosoctua gintaoc to;	------⌫-----|------⌫--|-|--⌫-------|-------|---------|--⌫--⌫--|-----⌫----|--⌫--|
po sse s sionemFundanens emin t erritorio Fund ano,cum adia centibusattiguis15, pres tant emsolidoscentumoctuaginta unum ,ettrimisium;	--⌫---⌫-⌫-----|---------⌫-|-|-⌫--------|----⌫---|--|----⌫-------|-------|--|----⌫----⌫-|------|-----|---------|----⌫|-|---------|
possession emFiglynasinte r ritori oCasinate, pres tante ms olidosse xa gintatres [e1K b],et trimi sium;	----------⌫-|-------|-|--⌫-⌫------⌫|--------|----⌫-----⌫|-⌫-----|--⌫--⌫----|---|-|--⌫-||-|-----⌫----|
possessionem Antonian aminterritori oCl odiano,prestante msolidosquadraginta[ f 1Kb]duos;	-----------|--------⌫-|-|---------⌫|--⌫------|---------⌫|------|----------|-⌫|---|----|
possessionem A mandani,quamdonauit illus tr is femi nauestinaconsobrinesue, inte rritoriouegetano,pres tantemsolidos quadragin tase x ettrimisium.	-----------|-⌫-------|---|------|-----⌫--⌫-|----⌫-|------|---------|---|-|--⌫-------|--------|----⌫-----|------|---------⌫-|--⌫|-|---------|
domosEmeritiincliuomam m ori[g 1Kb]intra Urbem i uxtabasilicam, pr esta ntem solid o ssexagintaduo s.	----|------|-|----|---⌫-⌫--|-|---|----|----|-⌫---|---------|--⌫----⌫---|-----⌫-⌫|--------|---⌫-|
domum incliu oP atr icii arbitr at a mdomumiuxtab asilicam in uico long o,q uecogno minatu r ad lacum,prestantemsolidosoctuagintadu os.	----|-|----⌫|-⌫---⌫---|------⌫--⌫-⌫|----|----|-⌫-------|-|---|----⌫-|-⌫-|-----⌫------⌫|-|-----|---------|------|---------|--⌫--|
[2Kb][Altas er ra,Antonius:2Kb][Be ncinus: 4Kb][B in ius,Se uerinus;	----|------⌫--⌫--|--------|---|---⌫------|---|--⌫--⌫---|--⌫-------|
